# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0224_LKAP-FHGF1_C07_059 -               21     881       6     858       1     860    1474    +           0 1040.7  20.8  -
Halothiobacillaceae       -          A0224_LKAP-FHGF1_C07_059 -               38     888       6     857       1     860    1500    +    2.6e-242  802.4  20.8  -
Succinivibrionaceae       -          A0224_LKAP-FHGF1_C07_059 -               24     847       6     857       1     860    1473    +    6.1e-242  801.1  21.0  -
Methylococcaceae          -          A0224_LKAP-FHGF1_C07_059 -               36     877       7     857       1     860    1481    +    6.5e-241  797.7  20.6  -
Hahellaceae               -          A0224_LKAP-FHGF1_C07_059 -               21     868       6     857       1     860    1473    +    5.1e-240  794.8  20.9  -
Thermoleophilaceae        -          A0224_LKAP-FHGF1_C07_059 -               14     871       6     857       1     860    1494    +    1.7e-237  786.4  20.5  -
Ectothiorhodospiraceae    -          A0224_LKAP-FHGF1_C07_059 -               28     876       6     857       1     860    1463    +    1.9e-237  786.4  20.7  -
Thioalkalispiraceae       -          A0224_LKAP-FHGF1_C07_059 -               33     888       6     857       1     860    1479    +    2.2e-237  786.0  20.8  -
Halieaceae                -          A0224_LKAP-FHGF1_C07_059 -               29     870       6     857       1     860    1484    +      5e-237  784.8  20.7  -
Halomonadaceae            -          A0224_LKAP-FHGF1_C07_059 -               21     869       6     857       1     860    1466    +    2.3e-235  779.3  20.8  -
Kangiellaceae             -          A0224_LKAP-FHGF1_C07_059 -               30     882       6     857       2     860    1479    +    6.7e-235  777.8  20.6  -
Moraxellaceae             -          A0224_LKAP-FHGF1_C07_059 -               19     861       7     857       1     860    1468    +    9.9e-235  777.4  20.8  -
Spongiibacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               24     867       6     857       1     860    1462    +    1.7e-233  773.0  20.4  -
Microbulbiferaceae        -          A0224_LKAP-FHGF1_C07_059 -               21     863       6     857       1     860    1480    +    3.1e-233  772.5  20.4  -
Saccharospirillaceae      -          A0224_LKAP-FHGF1_C07_059 -               22     863       6     857       1     860    1468    +    5.6e-232  768.1  20.2  -
Litoricolaceae            -          A0224_LKAP-FHGF1_C07_059 -               29     877       6     858       1     860    1474    +    1.1e-231  767.3  20.9  -
Chromobacteriaceae        -          A0224_LKAP-FHGF1_C07_059 -               21     862       7     857       1     860    1460    +    2.8e-229  759.3  20.7  -
Cardiobacteriaceae        -          A0224_LKAP-FHGF1_C07_059 -               30     874       7     857       1     860    1464    +    4.3e-228  755.6  20.4  -
Rhodanobacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               22     873       6     858       1     861    1473    +      5e-228  755.1  20.6  -
Granulosicoccaceae        -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     856       2     860    1471    +    5.7e-226  748.3  20.9  -
Rhodocyclaceae            -          A0224_LKAP-FHGF1_C07_059 -               22     867       7     857       2     860    1484    +    2.5e-225  746.1  20.8  -
Nevskiaceae               -          A0224_LKAP-FHGF1_C07_059 -               30     864       6     857       1     860    1470    +    3.8e-225  745.8  20.2  -
Coxiellaceae              -          A0224_LKAP-FHGF1_C07_059 -               21     877       6     857       1     860    1475    +    4.1e-225  745.4  20.9  -
Legionellaceae            -          A0224_LKAP-FHGF1_C07_059 -               18     869       7     858       1     860    1446    +    6.8e-225  744.8  20.9  -
Thiotrichaceae            -          A0224_LKAP-FHGF1_C07_059 -               22     826       7     857       2     860    1421    +    1.3e-224  743.7  19.5  -
Neisseriaceae             -          A0224_LKAP-FHGF1_C07_059 -               36     885       7     858       1     860    1477    +    2.6e-222  736.2  20.7  -
Burkholderiaceae          -          A0224_LKAP-FHGF1_C07_059 -               21     864       6     858       1     860    1482    +    1.1e-221  734.2  20.8  -
Rhodospirillaceae         -          A0224_LKAP-FHGF1_C07_059 -               23     818       6     857       1     860    1429    +      2e-220  730.1  20.4  -
Hydrogenophilaceae        -          A0224_LKAP-FHGF1_C07_059 -               21     865       6     857       1     860    1461    +    5.8e-220  728.5  20.7  -
Alcaligenaceae            -          A0224_LKAP-FHGF1_C07_059 -               21     867       6     858       2     860    1467    +      1e-218  724.3  20.3  -
Thiotrichales             -          A0224_LKAP-FHGF1_C07_059 -               41     889       6     857       2     860    1519    +    5.2e-217  718.3  20.0  -
Arenicellaceae            -          A0224_LKAP-FHGF1_C07_059 -               22     865       7     858       2     860    1488    +    9.4e-216  714.5  20.5  -
Sutterellaceae            -          A0224_LKAP-FHGF1_C07_059 -               22     868       7     858       2     860    1487    +    1.6e-215  713.5  20.7  -
Oxalobacteraceae          -          A0224_LKAP-FHGF1_C07_059 -               21     866       6     858       1     860    1459    +    8.8e-215  711.3  20.4  -
Sulfuricellaceae          -          A0224_LKAP-FHGF1_C07_059 -               23     869       7     858       4     860    1463    +    9.6e-215  711.1  20.4  -
Methylophilaceae          -          A0224_LKAP-FHGF1_C07_059 -                6     855       8     858       5     860    1431    +    8.4e-214  708.1  20.6  -
Acidiferrobacteraceae     -          A0224_LKAP-FHGF1_C07_059 -               21     862       6     858       1     860    1454    +    1.1e-213  707.6  20.7  -
Nitrosomonadaceae         -          A0224_LKAP-FHGF1_C07_059 -               22     867       7     858       1     860    1461    +      1e-210  697.8  20.5  -
Salinisphaeraceae         -          A0224_LKAP-FHGF1_C07_059 -                9     855       6     857       1     860    1429    +    1.2e-210  697.6  20.6  -
Burkholderiales           -          A0224_LKAP-FHGF1_C07_059 -               21     864       6     857       1     860    1463    +    1.2e-210  697.5  20.8  -
Azonexaceae               -          A0224_LKAP-FHGF1_C07_059 -               22     869       6     857       1     860    1474    +      4e-209  692.6  20.7  -
Desulfovibrionaceae       -          A0224_LKAP-FHGF1_C07_059 -               36     893       6     858       2     861    1527    +    6.5e-209  691.8  20.1  -
Geobacteraceae            -          A0224_LKAP-FHGF1_C07_059 -               29     892       6     858       1     860    1487    +    1.2e-208  690.8  20.3  -
Hyphomicrobiaceae         -          A0224_LKAP-FHGF1_C07_059 -               21     814       6     857       1     860    1427    +    1.2e-208  691.0  20.3  -
Francisellaceae           -          A0224_LKAP-FHGF1_C07_059 -               32     871       7     857       2     860    1508    +    1.3e-208  690.8  20.3  -
Deltaproteobacteria       -          A0224_LKAP-FHGF1_C07_059 -               37     902       6     857       1     860    1514    +    7.4e-208  688.3  20.1  -
Thermithiobacillaceae     -          A0224_LKAP-FHGF1_C07_059 -                6     850       6     858       3     861    1419    +    2.9e-207  686.3  20.3  -
Clostridiaceae            -          A0224_LKAP-FHGF1_C07_059 -               35     859       6     857       2     860    1485    +      1e-206  684.3  20.4  -
Comamonadaceae            -          A0224_LKAP-FHGF1_C07_059 -               21     863       6     857       1     860    1466    +    1.9e-206  683.3  20.8  -
Rhodobiaceae              -          A0224_LKAP-FHGF1_C07_059 -               31     823       6     858       1     860    1440    +    1.9e-206  683.8  19.6  -
Acidithiobacillaceae      -          A0224_LKAP-FHGF1_C07_059 -               20     861       6     857       1     860    1457    +    2.1e-206  683.3  20.8  -
Eubacteriaceae            -          A0224_LKAP-FHGF1_C07_059 -               35     870       6     857       2     860    1485    +    4.9e-206  682.1  20.8  -
Desulfobacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               35     903       7     858       2     860    1516    +    1.1e-205  681.0  19.9  -
Clostridiales             -          A0224_LKAP-FHGF1_C07_059 -               28     863       6     857       1     860    1470    +    1.7e-205  680.4  20.5  -
Syntrophaceae             -          A0224_LKAP-FHGF1_C07_059 -               38     902       6     858       1     860    1551    +    2.2e-205  680.0  20.1  -
Desulfuromonadaceae       -          A0224_LKAP-FHGF1_C07_059 -               38     901       6     857       2     860    1518    +    1.1e-204  677.7  20.2  -
Syntrophomonadaceae       -          A0224_LKAP-FHGF1_C07_059 -               38     896       6     857       2     860    1515    +    2.8e-204  676.2  20.3  -
Desulfohalobiaceae        -          A0224_LKAP-FHGF1_C07_059 -               27     896       6     857       2     860    1509    +    3.9e-204  675.9  20.4  -
Alphaproteobacteria       -          A0224_LKAP-FHGF1_C07_059 -               21     812       6     857       1     860    1409    +    4.4e-204  676.0  20.6  -
Thiobacilliaceae          -          A0224_LKAP-FHGF1_C07_059 -               41     886       7     859       3     861    1517    +    6.4e-204  675.2  20.6  -
Methylothermaceae         -          A0224_LKAP-FHGF1_C07_059 -               43     891       7     857       1     860    1491    +    2.6e-203  673.1  20.9  -
Zoogloeaceae              -          A0224_LKAP-FHGF1_C07_059 -               29     872       7     857       1     860    1474    +    3.9e-203  672.5  21.0  -
Acetobacteraceae          -          A0224_LKAP-FHGF1_C07_059 -               27     820       7     857       1     860    1438    +    8.2e-203  671.8  20.5  -
Methylocystaceae          -          A0224_LKAP-FHGF1_C07_059 -               32     825       6     858       1     860    1424    +    8.4e-203  671.7  19.6  -
Sneathiellaceae           -          A0224_LKAP-FHGF1_C07_059 -               26     828       6     858       1     860    1427    +      1e-202  671.3  19.5  -
Sphingomonadaceae         -          A0224_LKAP-FHGF1_C07_059 -               28     821       6     858       1     860    1434    +    1.9e-202  670.6  18.8  -
Desulfobulbaceae          -          A0224_LKAP-FHGF1_C07_059 -               23     886       7     858       2     860    1483    +    6.9e-201  665.1  20.0  -
Rhizobiales               -          A0224_LKAP-FHGF1_C07_059 -               32     823       7     858       1     860    1438    +    2.3e-198  657.0  20.1  -
Xanthobacteraceae         -          A0224_LKAP-FHGF1_C07_059 -               21     811       6     858       1     860    1415    +    3.9e-198  656.2  19.9  -
Bdellovibrionaceae        -          A0224_LKAP-FHGF1_C07_059 -               17     840       6     858       2     860    1430    +    9.5e-198  654.8  19.9  -
Peptococcaceae            -          A0224_LKAP-FHGF1_C07_059 -               28     856       6     857       2     860    1479    +    1.4e-197  654.0  20.9  -
Hyphomonadaceae           -          A0224_LKAP-FHGF1_C07_059 -               21     812       6     857       1     860    1400    +    2.4e-197  653.7  19.3  -
Wenzhouxiangellaceae      -          A0224_LKAP-FHGF1_C07_059 -               21     875       6     857       1     860    1472    +    2.8e-197  653.0  20.4  -
Erythrobacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               22     815       6     858       1     860    1433    +    3.1e-196  650.0  18.7  -
Rhodobacteraceae          -          A0224_LKAP-FHGF1_C07_059 -               21     815       6     858       1     860    1402    +    3.6e-196  649.6  19.6  -
Syntrophobacteraceae      -          A0224_LKAP-FHGF1_C07_059 -               29     894       6     858       1     860    1496    +    9.4e-196  648.3  20.3  -
Acidobacteria             -          A0224_LKAP-FHGF1_C07_059 -               41     902       6     858       1     861    1505    +    1.3e-195  648.2  20.4  -
Ruminococcaceae           -          A0224_LKAP-FHGF1_C07_059 -               21     862       6     858       1     860    1457    +    7.6e-195  645.0  20.8  -
Rhizobiaceae              -          A0224_LKAP-FHGF1_C07_059 -               21     812       6     858       1     860    1422    +    1.2e-194  644.6  19.8  -
Phyllobacteriaceae        -          A0224_LKAP-FHGF1_C07_059 -               21     812       6     858       1     860    1424    +      7e-194  642.1  19.8  -
Peptostreptococcaceae     -          A0224_LKAP-FHGF1_C07_059 -               21     844       6     857       1     860    1441    +    5.8e-192  635.4  20.8  -
Methylobacteriaceae       -          A0224_LKAP-FHGF1_C07_059 -               21     815       6     858       1     860    1426    +    1.2e-191  634.6  20.2  -
Desulfomicrobiaceae       -          A0224_LKAP-FHGF1_C07_059 -               31     886       6     858       1     861    1495    +    2.3e-191  633.5  20.0  -
Brucellaceae              -          A0224_LKAP-FHGF1_C07_059 -               27     816       7     858       1     860    1411    +      3e-191  633.4  19.9  -
Thermoanaerobacteraceae   -          A0224_LKAP-FHGF1_C07_059 -               27     867       6     857       1     860    1492    +      3e-191  633.0  22.0  -
Deferribacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               28     880       6     857       1     860    1513    +    4.1e-191  632.6  20.4  -
Anaplasmataceae           -          A0224_LKAP-FHGF1_C07_059 -               32     845       6     858       1     860    1441    +    4.3e-191  633.0  20.2  -
Bacteroidaceae            -          A0224_LKAP-FHGF1_C07_059 -               31     879       7     855       2     859    1480    +    2.9e-190  629.9  21.0  -
Lachnospiraceae           -          A0224_LKAP-FHGF1_C07_059 -               21     860       6     857       1     860    1469    +    5.4e-190  629.0  20.8  -
Holophagaceae             -          A0224_LKAP-FHGF1_C07_059 -               40     887       6     858       2     861    1502    +    7.3e-190  628.8  20.5  -
Aurantimonadaceae         -          A0224_LKAP-FHGF1_C07_059 -               39     830       7     858       1     860    1442    +    9.3e-190  628.5  19.5  -
Bacillales                -          A0224_LKAP-FHGF1_C07_059 -               28     893       6     857       2     860    1503    +    1.3e-189  627.9  20.6  -
Kordiimonadaceae          -          A0224_LKAP-FHGF1_C07_059 -               21     824       6     858       1     860    1421    +      2e-189  627.4  20.2  -
Nautiliaceae              -          A0224_LKAP-FHGF1_C07_059 -               21     837       6     857       1     860    1431    +    4.6e-189  626.2  21.4  -
Beijerinckiaceae          -          A0224_LKAP-FHGF1_C07_059 -               34     826       6     858       1     860    1421    +    1.6e-188  624.2  20.4  -
Streptomycetaceae         -          A0224_LKAP-FHGF1_C07_059 -               22     847       7     857       1     860    1479    +    5.3e-188  622.6  21.1  -
Thermoactinomycetaceae    -          A0224_LKAP-FHGF1_C07_059 -               29     882       6     857       1     860    1495    +      1e-187  621.7  20.5  -
Bradyrhizobiaceae         -          A0224_LKAP-FHGF1_C07_059 -               21     815       6     858       1     860    1428    +    2.2e-187  620.4  19.8  -
Kiloniellaceae            -          A0224_LKAP-FHGF1_C07_059 -               41     842       7     858       1     860    1450    +    1.2e-186  617.8  20.2  -
Paenibacillaceae          -          A0224_LKAP-FHGF1_C07_059 -               22     885       6     857       1     860    1493    +    1.6e-186  617.6  20.6  -
Synergistaceae            -          A0224_LKAP-FHGF1_C07_059 -               21     845       6     859       1     860    1450    +    1.8e-186  617.4  22.1  -
Bacillaceae               -          A0224_LKAP-FHGF1_C07_059 -               18     886       5     857       1     860    1493    +    2.1e-186  617.2  20.6  -
Haliangiaceae             -          A0224_LKAP-FHGF1_C07_059 -               38     900       7     857       1     860    1507    +    2.7e-186  616.9  20.6  -
Lactobacillaceae          -          A0224_LKAP-FHGF1_C07_059 -               24     911       6     857       1     860    1522    +    1.2e-185  614.7  20.3  -
Caulobacteraceae          -          A0224_LKAP-FHGF1_C07_059 -               21     813       6     858       1     860    1415    +    2.2e-185  613.9  19.2  -
Patulibacteraceae         -          A0224_LKAP-FHGF1_C07_059 -               41     880       6     857       1     860    1494    +    3.9e-185  612.7  20.3  -
Desulfarculaceae          -          A0224_LKAP-FHGF1_C07_059 -               30     897       6     857       1     860    1516    +      7e-185  612.2  20.1  -
Thermoanaerobacterales    -          A0224_LKAP-FHGF1_C07_059 -               29     869       6     857       1     860    1472    +    1.1e-184  611.4  21.3  -
Micrococcaceae            -          A0224_LKAP-FHGF1_C07_059 -               31     862       7     857       1     860    1476    +    1.3e-184  611.3  20.9  -
Verrucomicrobiaceae       -          A0224_LKAP-FHGF1_C07_059 -               22     871       6     857       1     860    1470    +    2.3e-184  610.6  21.0  -
Spirochaetaceae           -          A0224_LKAP-FHGF1_C07_059 -               30     873       9     854       2     859    1486    +    4.6e-184  609.5  21.0  -
Selenomonadaceae          -          A0224_LKAP-FHGF1_C07_059 -               41     908       7     857       1     860    1531    +    5.9e-184  608.9  20.4  -
Alicyclobacillaceae       -          A0224_LKAP-FHGF1_C07_059 -               41     887       6     858       2     861    1512    +    1.1e-183  608.4  20.8  -
Helicobacteraceae         -          A0224_LKAP-FHGF1_C07_059 -               40     850       6     858       2     860    1473    +    6.8e-182  601.9  19.1  -
Halobacteriovoracaceae    -          A0224_LKAP-FHGF1_C07_059 -               21     884       6     858       1     860    1480    +    1.1e-181  601.5  19.7  -
Planococcaceae            -          A0224_LKAP-FHGF1_C07_059 -               21     881       6     858       1     861    1491    +    1.9e-181  600.6  20.8  -
Polyangiaceae             -          A0224_LKAP-FHGF1_C07_059 -               40     899       6     857       1     860    1548    +    2.5e-181  600.3  20.3  -
Rubrobacteraceae          -          A0224_LKAP-FHGF1_C07_059 -               24     874       9     857       3     860    1495    +    4.7e-181  599.4  20.8  -
Erysipelotrichaceae       -          A0224_LKAP-FHGF1_C07_059 -               26     864       6     857       2     860    1466    +    2.6e-180  597.1  20.7  -
Aerococcaceae             -          A0224_LKAP-FHGF1_C07_059 -               21     883       6     857       1     860    1473    +      6e-180  595.8  20.4  -
Fusobacteriaceae          -          A0224_LKAP-FHGF1_C07_059 -               39     852       7     857       2     860    1458    +    7.7e-180  595.5  20.7  -
Chelatococcaceae          -          A0224_LKAP-FHGF1_C07_059 -               32     824       6     858       1     860    1439    +    9.1e-180  595.4  20.2  -
Cystobacteraceae          -          A0224_LKAP-FHGF1_C07_059 -               21     879       6     858       1     860    1491    +    1.2e-179  594.7  20.0  -
Staphylococcaceae         -          A0224_LKAP-FHGF1_C07_059 -               23     880       6     857       1     860    1479    +    2.5e-179  593.8  20.1  -
Carnobacteriaceae         -          A0224_LKAP-FHGF1_C07_059 -               21     883       6     857       1     860    1496    +    2.8e-179  593.5  20.6  -
Rickettsiaceae            -          A0224_LKAP-FHGF1_C07_059 -               22     826       7     858       3     860    1430    +      4e-179  593.1  19.2  -
Bartonellaceae            -          A0224_LKAP-FHGF1_C07_059 -               22     814       7     858       1     860    1410    +    5.3e-179  592.7  19.4  -
Heliobacteriaceae         -          A0224_LKAP-FHGF1_C07_059 -               38     866       6     857       1     860    1500    +    5.5e-179  592.6  20.8  -
Campylobacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               21     848       6     858       1     860    1429    +    5.9e-179  592.2  19.9  -
Bacteriovoracaceae        -          A0224_LKAP-FHGF1_C07_059 -               21     879       6     858       2     860    1473    +    8.4e-179  591.9  20.0  -
Desulfonatronaceae        -          A0224_LKAP-FHGF1_C07_059 -               21     881       6     858       1     861    1495    +    2.3e-178  590.4  20.4  -
Nitrospiraceae            -          A0224_LKAP-FHGF1_C07_059 -               27     854       6     857       2     860    1479    +    2.5e-178  590.4  19.3  -
Brevibacteriaceae         -          A0224_LKAP-FHGF1_C07_059 -               32     866       7     857       1     860    1487    +    2.5e-178  590.2  20.6  -
Rhodothermaceae           -          A0224_LKAP-FHGF1_C07_059 -               21     860       6     857       1     860    1457    +    8.2e-178  588.7  20.9  -
Spirillaceae              -          A0224_LKAP-FHGF1_C07_059 -               37     890       6     858       1     861    1447    +      9e-178  588.7  20.7  -
Cohaesibacteraceae        -          A0224_LKAP-FHGF1_C07_059 -               41     832       7     858       1     860    1425    +    1.2e-177  588.3  19.5  -
Oleiphilaceae             -          A0224_LKAP-FHGF1_C07_059 -               30     868       6     858       1     861    1437    +    1.2e-177  588.0  20.4  -
Myxococcaceae             -          A0224_LKAP-FHGF1_C07_059 -               35     895       6     858       1     861    1517    +    1.8e-177  587.4  20.2  -
Sporolactobacillaceae     -          A0224_LKAP-FHGF1_C07_059 -               21     877       6     857       1     860    1503    +    2.2e-177  587.2  20.4  -
Parvularculaceae          -          A0224_LKAP-FHGF1_C07_059 -               42     833       7     858       1     860    1428    +    3.4e-177  587.0  19.2  -
Parviterribacteraceae     -          A0224_LKAP-FHGF1_C07_059 -               22     860       7     857       2     860    1456    +    7.5e-177  585.5  20.0  -
Pseudonocardiaceae        -          A0224_LKAP-FHGF1_C07_059 -               28     855       7     857       2     860    1475    +    1.2e-176  584.8  20.9  -
Streptococcaceae          -          A0224_LKAP-FHGF1_C07_059 -               27     889       6     857       1     860    1497    +    1.4e-176  584.6  20.3  -
Veillonellaceae           -          A0224_LKAP-FHGF1_C07_059 -                2     869       9     857       8     860    1450    +    3.6e-176  583.1  20.7  -
Thermolithobacteraceae    -          A0224_LKAP-FHGF1_C07_059 -               41     915       6     857       1     860    1546    +    4.3e-176  582.7  20.7  -
Immundisolibacteraceae    -          A0224_LKAP-FHGF1_C07_059 -               51     900       7     858       2     861    1555    +    5.9e-176  582.3  20.7  -
Acidimicrobiaceae         -          A0224_LKAP-FHGF1_C07_059 -               41     870       6     858       1     860    1464    +    8.5e-176  582.1  20.9  -
Solirubrobacteraceae      -          A0224_LKAP-FHGF1_C07_059 -                6     858       7     857       3     860    1443    +    8.9e-176  581.8  20.4  -
Mycoplasmataceae          -          A0224_LKAP-FHGF1_C07_059 -               16     852       6     857       2     860    1467    +      1e-175  581.9  19.4  -
Flammeovirgaceae          -          A0224_LKAP-FHGF1_C07_059 -               21     858       6     856       1     860    1446    +    1.7e-175  581.2  20.7  -
Halanaerobiaceae          -          A0224_LKAP-FHGF1_C07_059 -               30     901       7     858       2     860    1503    +      2e-175  580.6  20.8  -
Leptospiraceae            -          A0224_LKAP-FHGF1_C07_059 -               21     840       6     857       1     860    1431    +    2.8e-175  580.1  19.4  -
Microbacteriaceae         -          A0224_LKAP-FHGF1_C07_059 -               25     855       7     857       1     860    1464    +    2.9e-175  580.2  20.9  -
Propionibacteriaceae      -          A0224_LKAP-FHGF1_C07_059 -               26     853       7     857       2     860    1462    +    4.6e-175  579.6  20.6  -
Conexibacteraceae         -          A0224_LKAP-FHGF1_C07_059 -               41     895       6     857       1     860    1536    +    6.6e-175  578.8  20.9  -
Actinomycetaceae          -          A0224_LKAP-FHGF1_C07_059 -               22     879       7     857       2     860    1468    +      1e-174  578.5  20.7  -
Oscillatoriales           -          A0224_LKAP-FHGF1_C07_059 -               22     814       7     854       2     859    1445    +    1.4e-174  578.1  20.2  -
Intrasporangiaceae        -          A0224_LKAP-FHGF1_C07_059 -               22     853       7     857       1     860    1461    +    2.6e-174  577.1  21.0  -
Nakamurellaceae           -          A0224_LKAP-FHGF1_C07_059 -               22     846       7     857       2     860    1462    +    4.5e-174  576.2  20.6  -
Porticoccaceae            -          A0224_LKAP-FHGF1_C07_059 -               29     872       6     858       1     861    1497    +    5.1e-174  576.0  20.5  -
Calditrichaeota           -          A0224_LKAP-FHGF1_C07_059 -               28     887       6     857       2     860    1483    +    1.2e-173  575.0  20.3  -
Nocardiaceae              -          A0224_LKAP-FHGF1_C07_059 -               22     846       7     857       2     860    1472    +    1.3e-173  574.8  21.1  -
Ventosimonadaceae         -          A0224_LKAP-FHGF1_C07_059 -               48     898       6     858       1     861    1489    +    4.1e-173  572.9  20.6  -
Flavobacteriaceae         -          A0224_LKAP-FHGF1_C07_059 -               20     867       6     857       1     860    1451    +    7.7e-173  572.1  20.7  -
Nannocystaceae            -          A0224_LKAP-FHGF1_C07_059 -               35     878       6     858       1     860    1487    +      1e-172  571.8  20.9  -
Algiphilaceae             -          A0224_LKAP-FHGF1_C07_059 -               42     884       7     858       2     861    1501    +    2.7e-172  570.2  20.6  -
Leuconostocaceae          -          A0224_LKAP-FHGF1_C07_059 -               17     883       6     856       2     860    1479    +    2.7e-172  570.5  20.0  -
Listeriaceae              -          A0224_LKAP-FHGF1_C07_059 -                8     864       6     855       2     860    1448    +    8.4e-172  568.9  20.1  -
Acidaminococcaceae        -          A0224_LKAP-FHGF1_C07_059 -               28     889       6     857       1     860    1504    +    1.6e-171  567.4  20.1  -
Corynebacteriaceae        -          A0224_LKAP-FHGF1_C07_059 -               21     853       7     857       2     860    1459    +    1.8e-171  567.5  20.9  -
Salinibacteraceae         -          A0224_LKAP-FHGF1_C07_059 -               47     891       7     858       1     861    1497    +    2.2e-171  567.4  20.6  -
