# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_E12_088   -               12     947       6     937       1     937    1474    +           0 1142.0  26.2  -
Ferrimonadaceae           -          LKAP-GutHK_E12_088   -                9     947       3     937       1     937    1475    +    1.6e-303 1005.2  26.4  -
Microbulbiferaceae        -          LKAP-GutHK_E12_088   -               12     930       6     937       1     937    1480    +    5.6e-262  867.9  25.9  -
Thioalkalispiraceae       -          LKAP-GutHK_E12_088   -               42     955      20     937       1     937    1479    +    1.8e-261  865.9  25.3  -
Halomonadaceae            -          LKAP-GutHK_E12_088   -               12     936       6     937       1     937    1466    +      2e-261  865.8  25.8  -
Lysobacteraceae           -          LKAP-GutHK_E12_088   -               15     939       8     937       1     937    1484    +    3.7e-261  865.0  25.9  -
Spongiibacteraceae        -          LKAP-GutHK_E12_088   -               15     934       6     937       1     937    1462    +    3.8e-261  864.8  25.5  -
Halothiobacillaceae       -          LKAP-GutHK_E12_088   -               44     955      17     937       2     937    1500    +    6.7e-261  864.1  25.7  -
Thermoleophilaceae        -          LKAP-GutHK_E12_088   -               20     938      17     937       3     937    1494    +      6e-260  860.9  25.3  -
Saccharospirillaceae      -          LKAP-GutHK_E12_088   -               15     930       8     937       1     937    1468    +    9.1e-259  857.0  25.2  -
Litoricolaceae            -          LKAP-GutHK_E12_088   -               21     943       7     937       1     937    1474    +    3.4e-258  855.3  25.7  -
Kangiellaceae             -          LKAP-GutHK_E12_088   -               36     949      17     937       2     937    1479    +    9.4e-255  843.7  25.2  -
Chromobacteriaceae        -          LKAP-GutHK_E12_088   -               26     929      17     937       2     937    1460    +    6.4e-252  834.5  25.7  -
Thiotrichaceae            -          LKAP-GutHK_E12_088   -               27     893      17     937       3     937    1421    +    3.5e-251  831.9  24.4  -
Cardiobacteriaceae        -          LKAP-GutHK_E12_088   -               35     941      17     937       1     937    1464    +    3.2e-249  825.7  25.3  -
Nevskiaceae               -          LKAP-GutHK_E12_088   -               66     931      69     937      48     937    1470    +    7.5e-249  824.5  24.7  -
Legionellaceae            -          LKAP-GutHK_E12_088   -               63     935      65     937      41     937    1446    +    2.6e-247  819.2  24.7  -
Arenicellaceae            -          LKAP-GutHK_E12_088   -               47     931      44     937      23     937    1488    +    3.5e-247  818.8  25.3  -
Rhodocyclaceae            -          LKAP-GutHK_E12_088   -               27     934      17     937       2     937    1484    +    2.4e-246  815.9  26.3  -
Coxiellaceae              -          LKAP-GutHK_E12_088   -               27     944      17     937       1     937    1475    +    3.1e-246  815.6  25.9  -
Rhodospirillaceae         -          LKAP-GutHK_E12_088   -               55     885      67     937      45     937    1429    +    6.3e-245  811.4  24.1  -
Granulosicoccaceae        -          LKAP-GutHK_E12_088   -               68     938      66     937      45     937    1471    +    7.7e-245  811.0  25.1  -
Rhodanobacteraceae        -          LKAP-GutHK_E12_088   -               28     939      17     937       1     937    1473    +    3.2e-244  808.9  25.8  -
Thiotrichales             -          LKAP-GutHK_E12_088   -               47     956      17     937       4     937    1519    +    4.3e-242  801.5  24.8  -
Burkholderiaceae          -          LKAP-GutHK_E12_088   -               56     930      60     937      32     937    1482    +    1.3e-240  797.0  25.2  -
Acidiferrobacteraceae     -          LKAP-GutHK_E12_088   -               59     928      66     937      45     937    1454    +    2.7e-240  795.9  25.0  -
Neisseriaceae             -          LKAP-GutHK_E12_088   -               80     951      64     937      41     937    1477    +      2e-238  789.7  25.0  -
Hydrogenophilaceae        -          LKAP-GutHK_E12_088   -               27     932      17     937       1     937    1461    +    6.3e-238  788.2  25.9  -
Alcaligenaceae            -          LKAP-GutHK_E12_088   -               28     933      18     937       2     937    1467    +    9.8e-238  787.5  25.4  -
Sulfuricellaceae          -          LKAP-GutHK_E12_088   -               64     935      65     937      45     937    1463    +      5e-236  781.8  24.7  -
Methylophilaceae          -          LKAP-GutHK_E12_088   -               10     921      17     937      10     937    1431    +    2.2e-234  776.4  24.9  -
Deltaproteobacteria       -          LKAP-GutHK_E12_088   -               44     969      18     937       2     937    1514    +    2.6e-234  776.1  25.4  -
Oxalobacteraceae          -          LKAP-GutHK_E12_088   -               27     932      17     937       1     937    1459    +    4.9e-234  775.2  25.8  -
Salinisphaeraceae         -          LKAP-GutHK_E12_088   -               15     922      17     937       6     937    1429    +      1e-233  774.2  25.7  -
Geobacteraceae            -          LKAP-GutHK_E12_088   -               35     958      17     937       2     937    1487    +    2.1e-233  773.0  25.3  -
Hyphomicrobiaceae         -          LKAP-GutHK_E12_088   -               55     881      69     937      47     937    1427    +    3.9e-233  772.2  23.7  -
Thermithiobacillaceae     -          LKAP-GutHK_E12_088   -               12     916      17     937      12     937    1419    +    2.6e-232  769.4  25.3  -
Sutterellaceae            -          LKAP-GutHK_E12_088   -               65     934      65     937      43     937    1487    +    5.7e-232  768.1  24.9  -
Burkholderiales           -          LKAP-GutHK_E12_088   -               28     931      18     937       1     937    1463    +    6.1e-232  768.2  26.0  -
Desulfobacteraceae        -          LKAP-GutHK_E12_088   -               41     969      18     937       2     937    1516    +    1.1e-231  767.4  25.2  -
Eubacteriaceae            -          LKAP-GutHK_E12_088   -               41     937      17     937       2     937    1485    +    3.4e-231  765.7  26.0  -
Francisellaceae           -          LKAP-GutHK_E12_088   -               43     938      22     937       6     937    1508    +    3.9e-231  765.5  25.0  -
Rhodobiaceae              -          LKAP-GutHK_E12_088   -               38     889      18     937       1     937    1440    +    5.8e-231  765.2  24.2  -
Desulfobulbaceae          -          LKAP-GutHK_E12_088   -               28     952      17     937       2     937    1483    +    2.6e-229  759.4  25.6  -
Acidithiobacillaceae      -          LKAP-GutHK_E12_088   -               26     928      17     937       1     937    1457    +    3.7e-229  758.8  25.8  -
Desulfovibrionaceae       -          LKAP-GutHK_E12_088   -               42     959      17     937       2     937    1527    +    5.2e-229  758.5  25.6  -
Clostridiaceae            -          LKAP-GutHK_E12_088   -               41     926      17     937       2     937    1485    +    6.3e-229  758.0  25.3  -
Clostridiales             -          LKAP-GutHK_E12_088   -               34     930      17     937       2     937    1470    +      7e-229  758.0  25.2  -
Nitrosomonadaceae         -          LKAP-GutHK_E12_088   -               62     933      64     937      39     937    1461    +    7.3e-229  758.1  24.7  -
Syntrophaceae             -          LKAP-GutHK_E12_088   -               55     968      32     937      11     937    1551    +    9.5e-229  757.6  24.9  -
Acetobacteraceae          -          LKAP-GutHK_E12_088   -               58     887      69     937      46     937    1438    +    2.7e-228  756.4  24.5  -
Desulfuromonadaceae       -          LKAP-GutHK_E12_088   -               45     968      18     937       2     937    1518    +    7.2e-228  754.7  25.5  -
Alphaproteobacteria       -          LKAP-GutHK_E12_088   -               53     879      69     937      29     937    1409    +    2.2e-227  753.4  23.9  -
Azonexaceae               -          LKAP-GutHK_E12_088   -               29     936      18     937       2     937    1474    +    3.3e-227  752.7  25.6  -
Syntrophomonadaceae       -          LKAP-GutHK_E12_088   -               44     963      17     937       2     937    1515    +    6.2e-226  748.1  25.5  -
Methylothermaceae         -          LKAP-GutHK_E12_088   -               48     958      17     937       1     937    1491    +    1.4e-225  747.1  26.1  -
Sphingomonadaceae         -          LKAP-GutHK_E12_088   -               59     887      68     937      48     937    1434    +    1.4e-225  747.4  23.2  -
Comamonadaceae            -          LKAP-GutHK_E12_088   -               27     930      17     937       1     937    1466    +    4.6e-225  745.1  25.8  -
Desulfohalobiaceae        -          LKAP-GutHK_E12_088   -               33     963      17     937       2     937    1509    +    5.4e-225  745.1  25.9  -
Methylocystaceae          -          LKAP-GutHK_E12_088   -               63     891      67     937      44     937    1424    +    7.5e-225  744.9  24.0  -
Thiobacilliaceae          -          LKAP-GutHK_E12_088   -               80     951      65     937      43     937    1517    +    3.1e-224  742.7  25.3  -
Sneathiellaceae           -          LKAP-GutHK_E12_088   -               17     894       6     937       1     937    1427    +    1.2e-223  740.8  24.3  -
Zoogloeaceae              -          LKAP-GutHK_E12_088   -               34     939      17     937       1     937    1474    +    1.5e-223  740.3  25.6  -
Bdellovibrionaceae        -          LKAP-GutHK_E12_088   -               24     906      18     937       3     937    1430    +      2e-222  736.6  25.0  -
Wenzhouxiangellaceae      -          LKAP-GutHK_E12_088   -               70     942      68     937      48     937    1472    +    3.9e-222  735.5  24.3  -
Rhizobiales               -          LKAP-GutHK_E12_088   -               23     889       7     937       1     937    1438    +      3e-221  732.9  24.4  -
Hyphomonadaceae           -          LKAP-GutHK_E12_088   -               27     879      17     937       1     937    1400    +    4.1e-221  732.6  23.6  -
Peptococcaceae            -          LKAP-GutHK_E12_088   -               34     923      17     937       2     937    1479    +    1.3e-220  730.4  25.7  -
Xanthobacteraceae         -          LKAP-GutHK_E12_088   -               53     877      71     937      50     937    1415    +    4.5e-220  729.0  23.6  -
Rhodobacteraceae          -          LKAP-GutHK_E12_088   -               27     881      17     937       1     937    1402    +    5.8e-220  728.6  23.8  -
Syntrophobacteraceae      -          LKAP-GutHK_E12_088   -               39     960      25     937       5     937    1496    +    6.2e-220  728.6  25.2  -
Erythrobacteraceae        -          LKAP-GutHK_E12_088   -               44     881      45     937       7     937    1433    +    1.3e-219  727.6  23.4  -
Rhizobiaceae              -          LKAP-GutHK_E12_088   -               51     878      68     937      46     937    1422    +    3.1e-218  722.9  23.3  -
Phyllobacteriaceae        -          LKAP-GutHK_E12_088   -               51     878      68     937      47     937    1424    +    7.8e-218  721.6  23.3  -
Ruminococcaceae           -          LKAP-GutHK_E12_088   -               27     928      17     937       1     937    1457    +    1.2e-217  720.8  25.7  -
Anaplasmataceae           -          LKAP-GutHK_E12_088   -               38     911      17     937       1     937    1441    +    1.5e-217  720.7  24.0  -
Acidobacteria             -          LKAP-GutHK_E12_088   -               81     968      66     937      44     937    1505    +    3.6e-216  716.4  24.8  -
Brucellaceae              -          LKAP-GutHK_E12_088   -               57     882      70     937      50     937    1411    +    8.5e-215  711.6  23.4  -
Deferribacteraceae        -          LKAP-GutHK_E12_088   -               36     947      19     937       2     937    1513    +    6.2e-214  708.4  25.4  -
Bacillales                -          LKAP-GutHK_E12_088   -               34     960      17     937       2     937    1503    +    1.3e-213  707.6  25.4  -
Lachnospiraceae           -          LKAP-GutHK_E12_088   -               27     927      17     937       2     937    1469    +    1.5e-213  707.2  25.9  -
Aurantimonadaceae         -          LKAP-GutHK_E12_088   -               69     896      68     937      47     937    1442    +    1.9e-213  707.1  23.3  -
Methylobacteriaceae       -          LKAP-GutHK_E12_088   -               27     881      17     937       1     937    1426    +    2.6e-213  706.5  25.0  -
Peptostreptococcaceae     -          LKAP-GutHK_E12_088   -               27     911      17     937       2     937    1441    +    2.6e-213  706.3  25.3  -
Thermoanaerobacteraceae   -          LKAP-GutHK_E12_088   -               33     934      17     937       2     937    1492    +    4.6e-213  705.4  26.5  -
Holophagaceae             -          LKAP-GutHK_E12_088   -               77     953      75     937      64     937    1502    +    3.5e-212  702.9  24.3  -
Synergistaceae            -          LKAP-GutHK_E12_088   -               27     910      17     937       2     937    1450    +    3.5e-212  702.7  26.9  -
Nautiliaceae              -          LKAP-GutHK_E12_088   -               27     904      17     937       2     937    1431    +    1.3e-211  701.1  25.3  -
Kordiimonadaceae          -          LKAP-GutHK_E12_088   -               27     890      17     937       1     937    1421    +    1.4e-211  701.0  24.2  -
Beijerinckiaceae          -          LKAP-GutHK_E12_088   -               67     892      70     937      49     937    1421    +      4e-211  699.2  23.6  -
Kiloniellaceae            -          LKAP-GutHK_E12_088   -               56     908      31     937       7     937    1450    +    6.5e-211  698.3  24.4  -
Lactobacillaceae          -          LKAP-GutHK_E12_088   -               30     978      17     937       2     937    1522    +    1.4e-210  697.5  25.5  -
Bacteroidaceae            -          LKAP-GutHK_E12_088   -               36     948      17     937       2     937    1480    +    1.4e-210  697.3  25.9  -
Spirochaetaceae           -          LKAP-GutHK_E12_088   -               31     943      15     937       2     937    1486    +    2.1e-210  696.9  25.8  -
Bradyrhizobiaceae         -          LKAP-GutHK_E12_088   -               57     881      71     937      50     937    1428    +    4.2e-210  695.8  23.8  -
Caulobacteraceae          -          LKAP-GutHK_E12_088   -               13     879       7     937       1     937    1415    +    6.2e-210  695.3  23.8  -
Desulfarculaceae          -          LKAP-GutHK_E12_088   -               21     964       6     937       1     937    1516    +    8.6e-210  694.9  25.5  -
Bacillaceae               -          LKAP-GutHK_E12_088   -               20     953      14     937       1     937    1493    +    2.7e-209  693.2  25.7  -
Thermoanaerobacterales    -          LKAP-GutHK_E12_088   -               33     936      15     937       1     937    1472    +    4.6e-209  692.4  26.7  -
Paenibacillaceae          -          LKAP-GutHK_E12_088   -               28     952      17     937       2     937    1493    +    1.1e-208  691.1  25.5  -
Thermoactinomycetaceae    -          LKAP-GutHK_E12_088   -               35     949      17     937       2     937    1495    +    2.7e-208  690.0  25.4  -
Desulfomicrobiaceae       -          LKAP-GutHK_E12_088   -               70     952      65     937      25     937    1495    +    4.6e-208  689.0  24.7  -
Streptomycetaceae         -          LKAP-GutHK_E12_088   -               37     914      31     937       8     937    1479    +      5e-208  689.1  25.9  -
Haliangiaceae             -          LKAP-GutHK_E12_088   -               43     967      17     937       3     937    1507    +    8.7e-208  688.2  25.8  -
Selenomonadaceae          -          LKAP-GutHK_E12_088   -               46     975      17     937       2     937    1531    +    1.9e-207  686.9  25.1  -
Helicobacteraceae         -          LKAP-GutHK_E12_088   -               87     916      68     937      47     937    1473    +    1.2e-206  684.1  22.8  -
Micrococcaceae            -          LKAP-GutHK_E12_088   -               36     929      17     937       2     937    1476    +    8.1e-206  681.7  25.3  -
Alicyclobacillaceae       -          LKAP-GutHK_E12_088   -               47     953      17     937       2     937    1512    +    9.3e-206  681.7  25.6  -
Verrucomicrobiaceae       -          LKAP-GutHK_E12_088   -               29     938      18     937       2     937    1470    +      3e-205  679.9  25.7  -
Erysipelotrichaceae       -          LKAP-GutHK_E12_088   -               32     931      17     937       2     937    1466    +    1.3e-204  677.7  25.5  -
Chelatococcaceae          -          LKAP-GutHK_E12_088   -               23     890       6     937       1     937    1439    +    2.7e-204  676.8  24.8  -
Halobacteriovoracaceae    -          LKAP-GutHK_E12_088   -               32     950      26     937       5     937    1480    +    7.3e-204  675.1  25.1  -
Fusobacteriaceae          -          LKAP-GutHK_E12_088   -               73     919      67     937      30     937    1458    +    1.8e-203  673.9  24.8  -
Patulibacteraceae         -          LKAP-GutHK_E12_088   -               80     947      64     937      43     937    1494    +    6.3e-203  671.8  24.7  -
Bacteriovoracaceae        -          LKAP-GutHK_E12_088   -               62     945      69     937      48     937    1473    +    1.1e-202  671.2  24.5  -
Polyangiaceae             -          LKAP-GutHK_E12_088   -               81     966      69     937      48     937    1548    +    1.2e-202  671.1  25.0  -
Heliobacteriaceae         -          LKAP-GutHK_E12_088   -               44     933      17     937       1     937    1500    +    1.3e-202  671.0  25.6  -
Cohaesibacteraceae        -          LKAP-GutHK_E12_088   -               32     898       7     937       1     937    1425    +    2.1e-202  670.5  24.0  -
Bartonellaceae            -          LKAP-GutHK_E12_088   -               55     880      70     937      50     937    1410    +    1.9e-201  667.2  23.7  -
Campylobacteraceae        -          LKAP-GutHK_E12_088   -               73     914      71     937      41     937    1429    +    2.2e-201  666.6  23.3  -
Rhodothermaceae           -          LKAP-GutHK_E12_088   -               27     927      17     937       1     937    1457    +      3e-201  666.5  25.6  -
Parvularculaceae          -          LKAP-GutHK_E12_088   -               72     899      68     937      26     937    1428    +    4.2e-201  666.4  23.2  -
Rubrobacteraceae          -          LKAP-GutHK_E12_088   -               31     941      25     937       5     937    1495    +    5.4e-201  665.6  25.7  -
Aerococcaceae             -          LKAP-GutHK_E12_088   -               27     950      17     937       2     937    1473    +    9.4e-201  664.9  24.9  -
Planococcaceae            -          LKAP-GutHK_E12_088   -               26     947      16     937       1     937    1491    +    2.4e-200  663.5  25.5  -
Streptococcaceae          -          LKAP-GutHK_E12_088   -               34     956      18     937       2     937    1497    +      4e-200  662.7  25.2  -
Leptospiraceae            -          LKAP-GutHK_E12_088   -               55     907      71     937      51     937    1431    +    5.1e-200  662.3  23.8  -
Carnobacteriaceae         -          LKAP-GutHK_E12_088   -               28     950      18     937       2     937    1496    +    5.5e-200  662.3  25.3  -
Halanaerobiaceae          -          LKAP-GutHK_E12_088   -               35     967      17     937       2     937    1503    +    7.2e-200  661.8  25.8  -
Spirillaceae              -          LKAP-GutHK_E12_088   -               43     956      17     937       1     937    1447    +    1.4e-199  661.1  24.9  -
Cystobacteraceae          -          LKAP-GutHK_E12_088   -               59     945      68     937      47     937    1491    +    4.2e-199  659.3  24.4  -
Rickettsiaceae            -          LKAP-GutHK_E12_088   -               70     892      72     937      52     937    1430    +    6.7e-199  658.8  23.1  -
Mycoplasmataceae          -          LKAP-GutHK_E12_088   -               23     919      18     937       9     937    1467    +      1e-198  658.3  24.5  -
Oleiphilaceae             -          LKAP-GutHK_E12_088   -               36     934      17     937       1     937    1437    +    1.3e-198  657.6  25.8  -
Staphylococcaceae         -          LKAP-GutHK_E12_088   -               29     947      17     937       2     937    1479    +    1.5e-198  657.5  24.8  -
Nitrospiraceae            -          LKAP-GutHK_E12_088   -               33     921      17     937       2     937    1479    +    2.5e-198  656.8  25.3  -
Veillonellaceae           -          LKAP-GutHK_E12_088   -               49     936      69     937      46     937    1450    +    3.2e-198  656.3  24.7  -
Thermolithobacteraceae    -          LKAP-GutHK_E12_088   -               94     982      70     937      41     937    1546    +    4.1e-198  655.8  24.8  -
Brevibacteriaceae         -          LKAP-GutHK_E12_088   -               81     933      70     937      46     937    1487    +    6.7e-198  655.2  24.5  -
Myxococcaceae             -          LKAP-GutHK_E12_088   -               75     961      68     937      48     937    1517    +    8.1e-198  655.0  24.6  -
Flammeovirgaceae          -          LKAP-GutHK_E12_088   -               13     926       7     937       1     937    1446    +    8.2e-198  655.3  25.4  -
Desulfonatronaceae        -          LKAP-GutHK_E12_088   -               28     947      18     937       2     937    1495    +    9.5e-198  654.8  25.5  -
Calditrichaeota           -          LKAP-GutHK_E12_088   -               67     954      62     937      28     937    1483    +    1.8e-197  654.1  24.7  -
Pseudonocardiaceae        -          LKAP-GutHK_E12_088   -               33     922      17     937       2     937    1475    +      4e-197  652.8  25.9  -
Oscillatoriales           -          LKAP-GutHK_E12_088   -               56     884      71     937      50     937    1445    +    2.8e-196  650.2  23.7  -
Propionibacteriaceae      -          LKAP-GutHK_E12_088   -               32     920      18     937       2     937    1462    +    4.2e-196  649.5  25.5  -
Salinibacteraceae         -          LKAP-GutHK_E12_088   -               94     957      69     937      48     937    1497    +    4.3e-196  649.4  25.2  -
Porticoccaceae            -          LKAP-GutHK_E12_088   -               35     938      17     937       1     937    1497    +    6.9e-196  648.5  25.9  -
Nannocystaceae            -          LKAP-GutHK_E12_088   -               42     944      18     937       1     937    1487    +    8.5e-196  648.5  25.3  -
Sporolactobacillaceae     -          LKAP-GutHK_E12_088   -               27     944      17     937       2     937    1503    +      1e-195  648.1  24.8  -
Acidimicrobiaceae         -          LKAP-GutHK_E12_088   -               57     936      31     937       8     937    1464    +    1.6e-195  647.6  25.0  -
Nocardiaceae              -          LKAP-GutHK_E12_088   -               27     913      17     937       2     937    1472    +    3.4e-195  646.5  26.3  -
Flavobacteriaceae         -          LKAP-GutHK_E12_088   -               11     934       6     937       1     937    1451    +    5.8e-195  645.6  25.6  -
Leuconostocaceae          -          LKAP-GutHK_E12_088   -               64     951      57     937       3     937    1479    +    6.5e-195  645.6  25.1  -
Intrasporangiaceae        -          LKAP-GutHK_E12_088   -               71     920      71     937      47     937    1461    +    9.4e-195  644.9  24.4  -
Microbacteriaceae         -          LKAP-GutHK_E12_088   -               73     922      71     937      49     937    1464    +    1.5e-194  644.2  24.5  -
Nakamurellaceae           -          LKAP-GutHK_E12_088   -               28     913      18     937       2     937    1462    +    2.4e-194  643.6  25.8  -
Parviterribacteraceae     -          LKAP-GutHK_E12_088   -               63     926      67     936      44     937    1456    +    2.9e-194  643.3  24.6  -
Solirubrobacteraceae      -          LKAP-GutHK_E12_088   -               48     925      68     937      45     937    1443    +    5.5e-194  642.3  25.0  -
Halobacteroidaceae        -          LKAP-GutHK_E12_088   -               35     938      17     937       2     937    1478    +    5.5e-194  642.2  25.3  -
Natranaerobiaceae         -          LKAP-GutHK_E12_088   -                2     911      13     937      12     937    1429    +    7.1e-194  642.0  25.2  -
Actinomycetaceae          -          LKAP-GutHK_E12_088   -               28     946      18     937       2     937    1468    +    3.5e-193  639.8  25.3  -
Sporomusaceae             -          LKAP-GutHK_E12_088   -               47     967      18     937       2     937    1535    +      7e-193  638.5  25.1  -
Nocardioidaceae           -          LKAP-GutHK_E12_088   -               27     915      17     937       2     937    1455    +    8.6e-193  638.6  26.0  -
Mycobacteriaceae          -          LKAP-GutHK_E12_088   -               32     922      17     937       2     937    1471    +    1.1e-192  638.1  26.2  -
Micromonosporaceae        -          LKAP-GutHK_E12_088   -               41     928      17     937       2     937    1482    +    1.7e-192  637.5  25.7  -
Thermodesulfobiaceae      -          LKAP-GutHK_E12_088   -               43     937      17     937       2     937    1520    +    2.6e-192  636.8  25.9  -
Enterococcaceae           -          LKAP-GutHK_E12_088   -               33     955      22     937       2     937    1498    +    3.7e-192  636.4  25.4  -
Chroococcales             -          LKAP-GutHK_E12_088   -               70     898      72     937      51     937    1445    +    4.6e-192  635.9  24.2  -
Acidaminococcaceae        -          LKAP-GutHK_E12_088   -               35     956      18     937       2     937    1504    +    7.5e-192  634.9  24.6  -
Listeriaceae              -          LKAP-GutHK_E12_088   -               58     933      71     937      51     937    1448    +    8.3e-192  635.3  24.3  -
Cytophagaceae             -          LKAP-GutHK_E12_088   -               59     921      69     937      46     937    1437    +    1.7e-191  634.2  24.5  -
Thermaceae                -          LKAP-GutHK_E12_088   -               37     918      17     937       2     937    1477    +    1.9e-191  634.2  25.6  -
Corynebacteriaceae        -          LKAP-GutHK_E12_088   -               26     920      17     937       2     937    1459    +    2.1e-191  633.7  25.5  -
Tsukamurellaceae          -          LKAP-GutHK_E12_088   -               53     932      23     937       3     937    1495    +    8.6e-191  631.9  25.7  -
Conexibacteraceae         -          LKAP-GutHK_E12_088   -               88     962      72     937      51     937    1536    +    8.8e-191  631.5  24.9  -
Balneolaceae              -          LKAP-GutHK_E12_088   -               69     931      71     937      50     937    1459    +    4.4e-190  629.4  24.9  -
Kineosporiaceae           -          LKAP-GutHK_E12_088   -               35     920      17     937       2     937    1463    +    5.8e-190  629.2  25.3  -
Corynebacterineae         -          LKAP-GutHK_E12_088   -               27     912      17     937       2     937    1473    +    6.5e-190  629.0  25.8  -
Woeseiaceae               -          LKAP-GutHK_E12_088   -               70     946      61     937       2     937    1476    +      1e-189  628.0  25.4  -
Puniceicoccaceae          -          LKAP-GutHK_E12_088   -               37     951      17     937       2     937    1485    +    1.1e-189  628.1  25.1  -
Geodermatophilaceae       -          LKAP-GutHK_E12_088   -               41     929      18     937       2     937    1479    +    1.8e-189  627.5  25.8  -
