# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_B12_094.seq -               27     915      10     897       3     897    1474    +           0 1090.6  24.0  -
Colwelliaceae             -          LKAP.g-Gut1_B12_094.seq -               27     905      10     896       1     897    1467    +    2.5e-268  888.7  23.5  -
Budviciaceae              -          LKAP.g-Gut1_B12_094.seq -               59     894      60     896      37     897    1483    +    3.3e-268  888.2  23.3  -
Oceanospirillaceae        -          LKAP.g-Gut1_B12_094.seq -               28     905      11     896       2     897    1467    +    8.9e-268  886.8  23.5  -
Oceanospirillales         -          LKAP.g-Gut1_B12_094.seq -               33     909      10     896       2     897    1489    +    3.3e-263  871.5  23.8  -
Moritellaceae             -          LKAP.g-Gut1_B12_094.seq -               42     921      10     896       3     897    1501    +    8.7e-263  870.2  23.6  -
Cellvibrionaceae          -          LKAP.g-Gut1_B12_094.seq -               27     903      10     896       2     897    1472    +    3.2e-262  868.4  23.6  -
Chromatiaceae             -          LKAP.g-Gut1_B12_094.seq -               27     893      10     896       2     897    1455    +    3.6e-262  868.3  23.7  -
Psychromonadaceae         -          LKAP.g-Gut1_B12_094.seq -               27     904      10     896       2     897    1467    +    4.5e-262  868.0  23.3  -
Thorselliaceae            -          LKAP.g-Gut1_B12_094.seq -               38     873      60     896      36     897    1419    +    1.5e-261  866.1  23.3  -
Pseudomonadaceae          -          LKAP.g-Gut1_B12_094.seq -               34     908      10     896       2     897    1491    +    5.8e-261  864.2  23.5  -
Alcanivoracaceae          -          LKAP.g-Gut1_B12_094.seq -               47     923      10     896       3     897    1504    +    8.7e-258  853.6  23.6  -
Piscirickettsiaceae       -          LKAP.g-Gut1_B12_094.seq -               67     907      58     896      33     897    1466    +    3.6e-257  851.6  23.1  -
Methylococcaceae          -          LKAP.g-Gut1_B12_094.seq -               41     911      10     896       2     897    1481    +    1.1e-253  840.1  23.7  -
Halieaceae                -          LKAP.g-Gut1_B12_094.seq -               35     904      10     896       3     897    1484    +    2.2e-252  835.8  23.8  -
Hahellaceae               -          LKAP.g-Gut1_B12_094.seq -               27     902      10     896       2     897    1473    +    1.3e-251  833.3  23.4  -
Orbaceae                  -          LKAP.g-Gut1_B12_094.seq -               93     928      61     896      39     897    1539    +    1.9e-251  832.7  23.2  -
Pasteurellaceae           -          LKAP.g-Gut1_B12_094.seq -               69     905      58     896      36     897    1422    +    7.5e-250  827.5  23.0  -
Moraxellaceae             -          LKAP.g-Gut1_B12_094.seq -               24     895      10     896       2     897    1468    +    1.9e-249  826.2  23.6  -
Lysobacteraceae           -          LKAP.g-Gut1_B12_094.seq -               28     906      10     896       3     897    1484    +    4.7e-248  821.5  23.9  -
Microbulbiferaceae        -          LKAP.g-Gut1_B12_094.seq -               27     897      10     896       2     897    1480    +    6.1e-248  821.3  23.4  -
Ectothiorhodospiraceae    -          LKAP.g-Gut1_B12_094.seq -               34     910      10     896       2     897    1463    +      7e-248  821.0  23.6  -
Succinivibrionaceae       -          LKAP.g-Gut1_B12_094.seq -               75     881      61     896      39     897    1473    +    1.6e-247  819.7  23.1  -
Celerinatantimonadaceae   -          LKAP.g-Gut1_B12_094.seq -               23     911      11     896       2     897    1433    +      3e-247  818.9  23.2  -
Halomonadaceae            -          LKAP.g-Gut1_B12_094.seq -               27     903      10     896       2     897    1466    +    4.6e-247  818.1  23.6  -
Thioalkalispiraceae       -          LKAP.g-Gut1_B12_094.seq -               80     922      57     896      35     897    1479    +    5.2e-247  817.9  23.1  -
Spongiibacteraceae        -          LKAP.g-Gut1_B12_094.seq -               30     901      10     896       2     897    1462    +    6.7e-246  814.2  23.3  -
Thermoleophilaceae        -          LKAP.g-Gut1_B12_094.seq -               20     905      10     896       4     897    1494    +    1.2e-245  813.5  23.5  -
Halothiobacillaceae       -          LKAP.g-Gut1_B12_094.seq -               44     922      10     896       2     897    1500    +    1.6e-245  813.1  23.4  -
Saccharospirillaceae      -          LKAP.g-Gut1_B12_094.seq -               31     897      12     896       2     897    1468    +    3.5e-244  808.6  23.1  -
Litoricolaceae            -          LKAP.g-Gut1_B12_094.seq -               35     910      10     896       2     897    1474    +    7.7e-244  807.7  23.5  -
Kangiellaceae             -          LKAP.g-Gut1_B12_094.seq -               37     916      11     896       4     897    1479    +    1.3e-240  796.8  23.4  -
Chromobacteriaceae        -          LKAP.g-Gut1_B12_094.seq -               59     896      57     896      33     897    1460    +    4.2e-239  791.9  23.2  -
Thiotrichaceae            -          LKAP.g-Gut1_B12_094.seq -               27     860      10     896       3     897    1421    +    1.2e-236  783.6  22.8  -
Nevskiaceae               -          LKAP.g-Gut1_B12_094.seq -               65     898      61     896      40     897    1470    +    6.5e-236  781.5  23.0  -
Cardiobacteriaceae        -          LKAP.g-Gut1_B12_094.seq -               36     905      11     893       2     897    1464    +    3.9e-235  779.0  23.2  -
Legionellaceae            -          LKAP.g-Gut1_B12_094.seq -               63     902      58     896      35     897    1446    +    3.9e-234  775.5  23.2  -
Rhodocyclaceae            -          LKAP.g-Gut1_B12_094.seq -               28     898      11     893       4     897    1484    +    1.1e-233  773.8  23.8  -
Arenicellaceae            -          LKAP.g-Gut1_B12_094.seq -               47     898      37     896      16     897    1488    +    1.7e-233  773.4  23.6  -
Coxiellaceae              -          LKAP.g-Gut1_B12_094.seq -               27     911      10     896       2     897    1475    +    4.8e-233  771.8  23.8  -
Rhodanobacteraceae        -          LKAP.g-Gut1_B12_094.seq -               30     906      12     896       3     897    1473    +    1.5e-232  770.2  23.9  -
Granulosicoccaceae        -          LKAP.g-Gut1_B12_094.seq -               68     905      59     896      38     897    1471    +    1.7e-231  766.7  23.4  -
Rhodospirillaceae         -          LKAP.g-Gut1_B12_094.seq -               43     852      52     896      31     897    1429    +    1.3e-230  763.9  22.5  -
Burkholderiaceae          -          LKAP.g-Gut1_B12_094.seq -               57     895      54     894      30     897    1482    +    9.6e-230  760.9  23.0  -
Thiotrichales             -          LKAP.g-Gut1_B12_094.seq -               47     923      10     896       3     897    1519    +    1.8e-229  759.6  23.0  -
Acidiferrobacteraceae     -          LKAP.g-Gut1_B12_094.seq -               59     895      59     896      39     897    1454    +    5.9e-228  755.0  23.2  -
Hydrogenophilaceae        -          LKAP.g-Gut1_B12_094.seq -               27     897      10     894       2     897    1461    +    1.1e-226  750.8  23.5  -
Neisseriaceae             -          LKAP.g-Gut1_B12_094.seq -               80     916      57     894      35     897    1477    +    4.6e-226  748.7  23.1  -
Alcaligenaceae            -          LKAP.g-Gut1_B12_094.seq -               63     897      57     893      34     897    1467    +    2.3e-225  746.4  22.9  -
Sulfuricellaceae          -          LKAP.g-Gut1_B12_094.seq -               64     902      58     896      38     897    1463    +    1.6e-224  743.5  23.0  -
Methylophilaceae          -          LKAP.g-Gut1_B12_094.seq -               11     888      11     896       5     897    1431    +    7.2e-223  738.2  23.1  -
Oxalobacteraceae          -          LKAP.g-Gut1_B12_094.seq -               50     896      45     893      19     897    1459    +    9.3e-222  734.5  23.1  -
Sutterellaceae            -          LKAP.g-Gut1_B12_094.seq -               65     898      58     893      36     897    1487    +    1.7e-221  733.3  23.0  -
Deltaproteobacteria       -          LKAP.g-Gut1_B12_094.seq -               50     936      16     896       6     897    1514    +      2e-220  730.0  23.3  -
Salinisphaeraceae         -          LKAP.g-Gut1_B12_094.seq -               15     889      10     896       3     897    1429    +    2.8e-220  729.5  23.7  -
Geobacteraceae            -          LKAP.g-Gut1_B12_094.seq -               36     925      11     896       6     897    1487    +    1.8e-219  726.7  23.3  -
Burkholderiales           -          LKAP.g-Gut1_B12_094.seq -               57     896      54     894      28     897    1463    +    1.9e-219  726.7  23.2  -
Hyphomicrobiaceae         -          LKAP.g-Gut1_B12_094.seq -               54     848      61     896      40     897    1427    +    2.1e-219  726.6  22.7  -
Thermithiobacillaceae     -          LKAP.g-Gut1_B12_094.seq -               12     883      10     896       5     897    1419    +    8.8e-219  724.5  23.6  -
Francisellaceae           -          LKAP.g-Gut1_B12_094.seq -               71     902      60     893      36     897    1508    +      3e-218  722.8  22.7  -
Eubacteriaceae            -          LKAP.g-Gut1_B12_094.seq -               41     902      10     894       5     897    1485    +    6.7e-218  721.5  24.0  -
Desulfobacteraceae        -          LKAP.g-Gut1_B12_094.seq -               46     936      20     896       7     897    1516    +    1.9e-217  720.1  23.2  -
Nitrosomonadaceae         -          LKAP.g-Gut1_B12_094.seq -               63     897      58     893      35     897    1461    +      2e-217  720.2  22.8  -
Rhodobiaceae              -          LKAP.g-Gut1_B12_094.seq -               58     856      57     896      18     897    1440    +    5.3e-217  718.9  22.5  -
Desulfovibrionaceae       -          LKAP.g-Gut1_B12_094.seq -               42     926      10     896       6     897    1527    +      4e-216  715.7  23.6  -
Azonexaceae               -          LKAP.g-Gut1_B12_094.seq -               35     900      16     893       5     897    1474    +    4.4e-216  715.7  23.1  -
Desulfobulbaceae          -          LKAP.g-Gut1_B12_094.seq -               29     919      11     896       5     897    1483    +    5.9e-216  715.1  23.7  -
Clostridiales             -          LKAP.g-Gut1_B12_094.seq -               34     895      10     894       5     897    1470    +    7.8e-216  714.7  23.3  -
Clostridiaceae            -          LKAP.g-Gut1_B12_094.seq -               41     893      10     896       5     897    1485    +    8.7e-216  714.4  23.6  -
Acidithiobacillaceae      -          LKAP.g-Gut1_B12_094.seq -               28     895      12     896       4     897    1457    +    5.5e-215  711.8  23.8  -
Acetobacteraceae          -          LKAP.g-Gut1_B12_094.seq -               58     854      62     896      40     897    1438    +    9.9e-215  711.3  23.2  -
Syntrophaceae             -          LKAP.g-Gut1_B12_094.seq -               80     935      59     896      21     897    1551    +    1.2e-214  710.7  22.8  -
Desulfuromonadaceae       -          LKAP.g-Gut1_B12_094.seq -               50     935      20     896       6     897    1518    +    2.1e-214  710.0  23.5  -
Thiobacilliaceae          -          LKAP.g-Gut1_B12_094.seq -               80     915      58     893      37     897    1517    +    2.6e-213  706.4  23.3  -
Methylothermaceae         -          LKAP.g-Gut1_B12_094.seq -               48     925      10     896       5     897    1491    +    3.1e-213  706.1  24.0  -
Alphaproteobacteria       -          LKAP.g-Gut1_B12_094.seq -               53     846      62     896      41     897    1409    +    3.2e-213  706.4  22.5  -
Sphingomonadaceae         -          LKAP.g-Gut1_B12_094.seq -               44     852      48     894      28     897    1434    +    4.4e-213  706.0  22.1  -
Comamonadaceae            -          LKAP.g-Gut1_B12_094.seq -               28     894      11     893       3     897    1466    +      8e-213  704.5  23.6  -
Syntrophomonadaceae       -          LKAP.g-Gut1_B12_094.seq -               44     930      10     896       5     897    1515    +    2.6e-212  702.9  23.7  -
Zoogloeaceae              -          LKAP.g-Gut1_B12_094.seq -               67     903      57     893      36     897    1474    +    5.5e-212  702.0  22.8  -
Methylocystaceae          -          LKAP.g-Gut1_B12_094.seq -               63     859      60     897      39     897    1424    +    1.4e-211  700.8  22.6  -
Desulfohalobiaceae        -          LKAP.g-Gut1_B12_094.seq -               33     930      10     896       6     897    1509    +      5e-211  698.8  23.7  -
Sneathiellaceae           -          LKAP.g-Gut1_B12_094.seq -               34     861      12     896       3     897    1427    +    2.3e-210  696.7  22.7  -
Bdellovibrionaceae        -          LKAP.g-Gut1_B12_094.seq -               24     873      11     896       6     897    1430    +    1.2e-207  687.7  23.5  -
Rhizobiales               -          LKAP.g-Gut1_B12_094.seq -               59     856      58     896      34     897    1438    +    1.4e-207  687.6  22.4  -
Wenzhouxiangellaceae      -          LKAP.g-Gut1_B12_094.seq -               70     909      61     896      41     897    1472    +      6e-207  685.1  22.5  -
Hyphomonadaceae           -          LKAP.g-Gut1_B12_094.seq -               50     846      59     896      38     897    1400    +    6.1e-207  685.5  22.3  -
Erythrobacteraceae        -          LKAP.g-Gut1_B12_094.seq -               39     846      49     894      20     897    1433    +    7.9e-207  685.1  22.1  -
Xanthobacteraceae         -          LKAP.g-Gut1_B12_094.seq -               52     844      63     896      43     897    1415    +    1.3e-206  684.3  22.5  -
Syntrophobacteraceae      -          LKAP.g-Gut1_B12_094.seq -               42     927      21     896       6     897    1496    +    1.7e-206  683.9  23.2  -
Peptococcaceae            -          LKAP.g-Gut1_B12_094.seq -               34     890      10     896       5     897    1479    +    3.7e-206  682.5  24.1  -
Rhodobacteraceae          -          LKAP.g-Gut1_B12_094.seq -               51     848      58     896      37     897    1402    +    8.9e-206  681.5  22.3  -
Anaplasmataceae           -          LKAP.g-Gut1_B12_094.seq -               38     875      10     893       1     897    1441    +    1.5e-205  680.9  22.4  -
Rhizobiaceae              -          LKAP.g-Gut1_B12_094.seq -               50     845      60     896      39     897    1422    +    5.1e-205  679.0  22.3  -
Phyllobacteriaceae        -          LKAP.g-Gut1_B12_094.seq -               51     845      61     896      40     897    1424    +    1.6e-204  677.4  22.2  -
Ruminococcaceae           -          LKAP.g-Gut1_B12_094.seq -               27     895      10     896       4     897    1457    +    3.2e-204  676.2  23.9  -
Acidobacteria             -          LKAP.g-Gut1_B12_094.seq -               81     935      59     896      37     897    1505    +    1.6e-202  671.1  23.1  -
Brucellaceae              -          LKAP.g-Gut1_B12_094.seq -               57     849      63     896      43     897    1411    +    4.6e-202  669.3  22.5  -
Peptostreptococcaceae     -          LKAP.g-Gut1_B12_094.seq -               27     875      10     893       5     897    1441    +      1e-201  667.8  23.5  -
Deferribacteraceae        -          LKAP.g-Gut1_B12_094.seq -               55     914      39     896      17     897    1513    +    3.1e-201  666.2  23.2  -
Aurantimonadaceae         -          LKAP.g-Gut1_B12_094.seq -               69     863      61     896      40     897    1442    +    8.6e-201  665.1  22.3  -
Bacillales                -          LKAP.g-Gut1_B12_094.seq -               34     926      10     895       6     897    1503    +    5.4e-200  662.4  23.4  -
Thermoanaerobacteraceae   -          LKAP.g-Gut1_B12_094.seq -               33     901      10     896       5     897    1492    +    8.2e-200  661.4  24.8  -
Holophagaceae             -          LKAP.g-Gut1_B12_094.seq -               77     920      68     896      57     897    1502    +    9.6e-200  661.6  22.8  -
Synergistaceae            -          LKAP.g-Gut1_B12_094.seq -               27     877      10     896       5     897    1450    +      3e-199  659.8  25.0  -
Methylobacteriaceae       -          LKAP.g-Gut1_B12_094.seq -               56     848      63     896      41     897    1426    +    3.6e-199  659.6  22.9  -
Lachnospiraceae           -          LKAP.g-Gut1_B12_094.seq -               28     891      11     893       5     897    1469    +    1.1e-198  657.8  23.8  -
Nautiliaceae              -          LKAP.g-Gut1_B12_094.seq -               27     868      10     893       4     897    1431    +    1.2e-198  658.1  23.6  -
Kordiimonadaceae          -          LKAP.g-Gut1_B12_094.seq -               37     857      24     896       4     897    1421    +    4.4e-198  656.2  22.5  -
Beijerinckiaceae          -          LKAP.g-Gut1_B12_094.seq -               66     859      62     896      42     897    1421    +    4.8e-198  655.8  22.6  -
Kiloniellaceae            -          LKAP.g-Gut1_B12_094.seq -               52     875      20     896       3     897    1450    +    5.1e-198  655.6  22.8  -
Lactobacillaceae          -          LKAP.g-Gut1_B12_094.seq -               30     945      10     896       5     897    1522    +    1.1e-196  651.4  23.5  -
Bacteroidaceae            -          LKAP.g-Gut1_B12_094.seq -               36     915      10     896       2     897    1480    +    1.1e-196  651.2  23.7  -
Bradyrhizobiaceae         -          LKAP.g-Gut1_B12_094.seq -               57     848      64     896      43     897    1428    +      2e-196  650.4  22.5  -
Caulobacteraceae          -          LKAP.g-Gut1_B12_094.seq -               52     846      61     896      18     897    1415    +      2e-196  650.5  22.0  -
Paenibacillaceae          -          LKAP.g-Gut1_B12_094.seq -               28     917      10     894       4     897    1493    +    1.2e-195  648.0  23.4  -
Thermoanaerobacterales    -          LKAP.g-Gut1_B12_094.seq -               34     903       9     896       4     897    1472    +    1.4e-195  647.6  24.8  -
Bacillaceae               -          LKAP.g-Gut1_B12_094.seq -               25     920      10     896       4     897    1493    +    1.5e-195  647.6  23.6  -
Spirochaetaceae           -          LKAP.g-Gut1_B12_094.seq -               31     910       8     896       4     897    1486    +    1.7e-195  647.4  23.8  -
Desulfarculaceae          -          LKAP.g-Gut1_B12_094.seq -               43     931      21     896       4     897    1516    +    1.8e-195  647.4  23.2  -
Desulfomicrobiaceae       -          LKAP.g-Gut1_B12_094.seq -               70     919      58     896      19     897    1495    +    3.1e-195  646.5  23.1  -
Haliangiaceae             -          LKAP.g-Gut1_B12_094.seq -               44     934      11     896       5     897    1507    +    3.3e-195  646.5  23.9  -
Streptomycetaceae         -          LKAP.g-Gut1_B12_094.seq -               64     881      63     896      38     897    1479    +    8.8e-195  645.1  24.0  -
Selenomonadaceae          -          LKAP.g-Gut1_B12_094.seq -               47     942      11     896       5     897    1531    +    2.4e-194  643.4  23.2  -
Thermoactinomycetaceae    -          LKAP.g-Gut1_B12_094.seq -               35     916      10     896       6     897    1495    +      3e-194  643.4  23.5  -
Helicobacteraceae         -          LKAP.g-Gut1_B12_094.seq -               87     880      61     893      40     897    1473    +    2.4e-193  639.8  21.4  -
Patulibacteraceae         -          LKAP.g-Gut1_B12_094.seq -               80     914      57     896      37     897    1494    +      6e-193  638.7  22.9  -
Verrucomicrobiaceae       -          LKAP.g-Gut1_B12_094.seq -               37     902      23     893       6     897    1470    +    6.3e-193  639.0  23.5  -
Alicyclobacillaceae       -          LKAP.g-Gut1_B12_094.seq -               48     920      11     896       5     897    1512    +    1.1e-192  638.3  23.7  -
Micrococcaceae            -          LKAP.g-Gut1_B12_094.seq -               76     896      63     896      38     897    1476    +    1.1e-192  638.0  23.4  -
Halobacteriovoracaceae    -          LKAP.g-Gut1_B12_094.seq -               33     917      20     896       4     897    1480    +    2.2e-192  637.0  23.2  -
Bacteriovoracaceae        -          LKAP.g-Gut1_B12_094.seq -               62     912      62     896      41     897    1473    +    4.8e-192  635.9  22.9  -
Erysipelotrichaceae       -          LKAP.g-Gut1_B12_094.seq -               33     898      11     896       6     897    1466    +    7.7e-192  635.4  23.4  -
Chelatococcaceae          -          LKAP.g-Gut1_B12_094.seq -               39     857      11     896       2     897    1439    +    2.5e-191  633.8  22.9  -
Fusobacteriaceae          -          LKAP.g-Gut1_B12_094.seq -               73     883      60     893      23     897    1458    +      6e-191  632.3  23.4  -
Rubrobacteraceae          -          LKAP.g-Gut1_B12_094.seq -               32     908      19     896       6     897    1495    +    9.3e-191  631.7  23.8  -
Polyangiaceae             -          LKAP.g-Gut1_B12_094.seq -               81     933      62     896      41     897    1548    +      3e-189  626.6  23.4  -
Spirillaceae              -          LKAP.g-Gut1_B12_094.seq -               50     920      16     893       5     897    1447    +    3.1e-189  626.8  22.9  -
Rhodothermaceae           -          LKAP.g-Gut1_B12_094.seq -               37     894      24     896       6     897    1457    +    4.2e-189  626.2  23.4  -
Cohaesibacteraceae        -          LKAP.g-Gut1_B12_094.seq -               41     865       4     896       1     897    1425    +    6.3e-189  625.7  22.1  -
Heliobacteriaceae         -          LKAP.g-Gut1_B12_094.seq -               44     900      10     896       3     897    1500    +    7.4e-189  625.3  23.9  -
Bartonellaceae            -          LKAP.g-Gut1_B12_094.seq -               55     847      63     896      43     897    1410    +    8.7e-189  625.2  22.6  -
Oleiphilaceae             -          LKAP.g-Gut1_B12_094.seq -               42     901      15     896       3     897    1437    +    3.5e-188  623.0  23.3  -
Campylobacteraceae        -          LKAP.g-Gut1_B12_094.seq -               73     878      64     893      39     897    1429    +    4.8e-188  622.3  22.1  -
Parvularculaceae          -          LKAP.g-Gut1_B12_094.seq -               59     866      50     896      29     897    1428    +    5.5e-188  622.8  22.0  -
Aerococcaceae             -          LKAP.g-Gut1_B12_094.seq -               28     914      11     893       5     897    1473    +    5.8e-188  622.4  22.8  -
Planococcaceae            -          LKAP.g-Gut1_B12_094.seq -               27     914      10     896       5     897    1491    +      1e-187  621.5  23.6  -
Rickettsiaceae            -          LKAP.g-Gut1_B12_094.seq -               70     857      65     894      45     897    1430    +    1.2e-187  621.4  21.9  -
Carnobacteriaceae         -          LKAP.g-Gut1_B12_094.seq -               28     915      11     894       5     897    1496    +    1.3e-187  621.3  23.2  -
Mycoplasmataceae          -          LKAP.g-Gut1_B12_094.seq -               23     883      11     893       7     897    1467    +    5.3e-187  619.4  22.7  -
Staphylococcaceae         -          LKAP.g-Gut1_B12_094.seq -               29     911      10     893       5     897    1479    +    9.1e-187  618.5  22.8  -
Streptococcaceae          -          LKAP.g-Gut1_B12_094.seq -               35     923      12     896       6     897    1497    +    1.7e-186  617.5  23.1  -
Leptospiraceae            -          LKAP.g-Gut1_B12_094.seq -               55     875      64     897      43     897    1431    +    3.6e-186  616.3  22.3  -
Cystobacteraceae          -          LKAP.g-Gut1_B12_094.seq -               59     912      61     896      40     897    1491    +      4e-186  616.2  22.8  -
Halanaerobiaceae          -          LKAP.g-Gut1_B12_094.seq -               35     934      10     896       5     897    1503    +    4.1e-186  616.1  23.8  -
Veillonellaceae           -          LKAP.g-Gut1_B12_094.seq -               49     903      62     896      40     897    1450    +    4.6e-186  615.9  23.0  -
Desulfonatronaceae        -          LKAP.g-Gut1_B12_094.seq -               30     914      13     896       5     897    1495    +    6.4e-186  615.5  23.5  -
Brevibacteriaceae         -          LKAP.g-Gut1_B12_094.seq -               81     900      63     896      40     897    1487    +      7e-186  615.3  22.9  -
Nitrospiraceae            -          LKAP.g-Gut1_B12_094.seq -               33     888      10     896       6     897    1479    +    1.1e-185  614.7  23.5  -
Acidimicrobiaceae         -          LKAP.g-Gut1_B12_094.seq -               57     903      24     896       6     897    1464    +    1.6e-185  614.4  23.2  -
Parviterribacteraceae     -          LKAP.g-Gut1_B12_094.seq -               63     894      60     896      37     897    1456    +    4.8e-185  612.7  22.9  -
Porticoccaceae            -          LKAP.g-Gut1_B12_094.seq -               42     905      16     896       3     897    1497    +    7.2e-185  612.0  23.5  -
Calditrichaeota           -          LKAP.g-Gut1_B12_094.seq -               68     921      56     896      33     897    1483    +    8.4e-185  612.1  22.9  -
Myxococcaceae             -          LKAP.g-Gut1_B12_094.seq -               75     928      61     896      41     897    1517    +    1.2e-184  611.3  23.0  -
Flammeovirgaceae          -          LKAP.g-Gut1_B12_094.seq -               27     893      10     896       3     897    1446    +    1.8e-184  611.0  22.9  -
Pseudonocardiaceae        -          LKAP.g-Gut1_B12_094.seq -               35     889      12     896       5     897    1475    +    1.8e-184  610.8  23.9  -
Propionibacteriaceae      -          LKAP.g-Gut1_B12_094.seq -               37     886      15     895       5     897    1462    +    2.7e-184  610.3  23.4  -
Thermolithobacteraceae    -          LKAP.g-Gut1_B12_094.seq -               94     949      63     896      36     897    1546    +    4.4e-184  609.3  23.2  -
Salinibacteraceae         -          LKAP.g-Gut1_B12_094.seq -               94     924      62     896      41     897    1497    +    4.4e-184  609.6  23.7  -
Solirubrobacteraceae      -          LKAP.g-Gut1_B12_094.seq -               48     892      61     896      39     897    1443    +    5.7e-184  609.1  23.2  -
Oscillatoriales           -          LKAP.g-Gut1_B12_094.seq -               56     851      64     896      43     897    1445    +    7.4e-184  608.9  22.5  -
Microbacteriaceae         -          LKAP.g-Gut1_B12_094.seq -               73     889      64     896      42     897    1464    +    1.3e-183  607.9  23.1  -
Nakamurellaceae           -          LKAP.g-Gut1_B12_094.seq -               33     880      15     896       5     897    1462    +    1.3e-183  608.0  24.0  -
Intrasporangiaceae        -          LKAP.g-Gut1_B12_094.seq -               71     887      64     896      41     897    1461    +    2.5e-183  607.0  23.2  -
Nocardiaceae              -          LKAP.g-Gut1_B12_094.seq -               27     880      10     896       4     897    1472    +    6.4e-183  605.7  24.3  -
Nannocystaceae            -          LKAP.g-Gut1_B12_094.seq -               51     911      24     896       6     897    1487    +    2.1e-182  604.0  22.9  -
Sporolactobacillaceae     -          LKAP.g-Gut1_B12_094.seq -               28     911      11     896       5     897    1503    +    2.2e-182  603.8  23.1  -
Halobacteroidaceae        -          LKAP.g-Gut1_B12_094.seq -               35     905      10     896       6     897    1478    +    4.5e-182  602.6  23.2  -
Flavobacteriaceae         -          LKAP.g-Gut1_B12_094.seq -               26     902      10     897       2     897    1451    +    1.5e-181  601.0  23.2  -
Leuconostocaceae          -          LKAP.g-Gut1_B12_094.seq -               75     916      61     894      33     897    1479    +    1.8e-181  601.0  22.5  -
Actinomycetaceae          -          LKAP.g-Gut1_B12_094.seq -               30     913      13     896       6     897    1468    +    2.3e-181  600.5  23.2  -
Micromonosporaceae        -          LKAP.g-Gut1_B12_094.seq -               41     895      10     896       4     897    1482    +    2.4e-181  600.5  24.0  -
Nocardioidaceae           -          LKAP.g-Gut1_B12_094.seq -               27     882      10     896       4     897    1455    +    3.3e-181  600.1  24.1  -
Conexibacteraceae         -          LKAP.g-Gut1_B12_094.seq -               88     929      65     896      44     897    1536    +    8.2e-181  598.4  23.2  -
Woeseiaceae               -          LKAP.g-Gut1_B12_094.seq -               73     911      57     894      34     897    1476    +    1.1e-180  598.1  22.9  -
Mycobacteriaceae          -          LKAP.g-Gut1_B12_094.seq -               32     889      10     896       5     897    1471    +    1.1e-180  598.1  24.0  -
Chroococcales             -          LKAP.g-Gut1_B12_094.seq -               50     865      49     896      29     897    1445    +    1.2e-180  598.0  22.9  -
Natranaerobiaceae         -          LKAP.g-Gut1_B12_094.seq -                2     878       6     896       5     897    1429    +    1.3e-180  598.0  23.9  -
Sporomusaceae             -          LKAP.g-Gut1_B12_094.seq -               53     934      16     896       6     897    1535    +    4.2e-180  596.0  23.3  -
Enterococcaceae           -          LKAP.g-Gut1_B12_094.seq -               33     922      15     896       5     897    1498    +      7e-180  595.7  23.4  -
