# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_D11_089   -               15     878      11     877       3     882    1474    +    4.8e-306 1013.5  23.9  -
Legionellaceae            -          LKAP-GutHK_D11_089   -               19     865      16     876       3     882    1446    +    4.9e-214  708.8  22.3  -
Burkholderiaceae          -          LKAP-GutHK_D11_089   -               22     861      15     877       3     882    1482    +    6.6e-213  705.1  22.8  -
Thiotrichales             -          LKAP-GutHK_D11_089   -               44     886      17     876       4     882    1519    +    1.3e-211  700.4  22.3  -
Hydrogenophilaceae        -          LKAP-GutHK_D11_089   -               22     862      15     876       3     882    1461    +    6.6e-210  695.2  23.6  -
Rhodospirillaceae         -          LKAP-GutHK_D11_089   -               26     816      17     877       3     882    1429    +    7.2e-210  695.1  22.0  -
Neisseriaceae             -          LKAP-GutHK_D11_089   -               36     882      15     877       3     882    1477    +    5.6e-209  692.0  22.7  -
Alcaligenaceae            -          LKAP-GutHK_D11_089   -               23     864      16     877       3     882    1467    +    6.6e-209  691.8  22.8  -
Acidiferrobacteraceae     -          LKAP-GutHK_D11_089   -               59     858      69     876      47     882    1454    +    7.5e-209  691.6  22.0  -
Sulfuricellaceae          -          LKAP-GutHK_D11_089   -               24     866      16     877       5     882    1463    +    6.9e-208  688.4  22.5  -
Oxalobacteraceae          -          LKAP-GutHK_D11_089   -               23     862      16     876       3     882    1459    +    5.8e-206  682.1  22.8  -
Salinisphaeraceae         -          LKAP-GutHK_D11_089   -               10     852      15     876       6     882    1429    +    6.3e-206  681.9  22.5  -
Sutterellaceae            -          LKAP-GutHK_D11_089   -               23     864      16     876       3     882    1487    +    4.7e-205  678.8  22.6  -
Methylophilaceae          -          LKAP-GutHK_D11_089   -                6     852      16     877      13     882    1431    +    3.1e-204  676.4  21.7  -
Burkholderiales           -          LKAP-GutHK_D11_089   -               23     861      16     876       3     882    1463    +    3.5e-204  676.1  22.8  -
Geobacteraceae            -          LKAP-GutHK_D11_089   -               32     888      17     876       2     882    1487    +    5.6e-204  675.3  22.4  -
Deltaproteobacteria       -          LKAP-GutHK_D11_089   -               40     900      17     877       2     882    1514    +      5e-202  669.0  22.6  -
Francisellaceae           -          LKAP-GutHK_D11_089   -               34     861      17     867       3     881    1508    +      6e-202  668.7  22.0  -
Azonexaceae               -          LKAP-GutHK_D11_089   -               24     866      16     876       3     882    1474    +    9.5e-202  668.2  22.7  -
Nitrosomonadaceae         -          LKAP-GutHK_D11_089   -               23     863      16     876       3     882    1461    +      3e-201  666.5  22.8  -
Thermithiobacillaceae     -          LKAP-GutHK_D11_089   -                9     846      17     876      13     882    1419    +    8.3e-201  664.9  22.4  -
Hyphomicrobiaceae         -          LKAP-GutHK_D11_089   -               23     811      16     876       3     882    1427    +    4.5e-200  662.6  22.5  -
Desulfobacteraceae        -          LKAP-GutHK_D11_089   -               37     899      17     876       2     882    1516    +    4.9e-200  662.3  22.1  -
Desulfuromonadaceae       -          LKAP-GutHK_D11_089   -               41     898      17     876       2     882    1518    +      1e-199  661.3  22.6  -
Eubacteriaceae            -          LKAP-GutHK_D11_089   -               38     866      17     875       3     882    1485    +    1.2e-199  661.0  23.0  -
Rhodobiaceae              -          LKAP-GutHK_D11_089   -               25     819      11     876       3     882    1440    +    2.3e-199  660.4  22.0  -
Desulfovibrionaceae       -          LKAP-GutHK_D11_089   -               39     890      17     877       2     882    1527    +    3.6e-199  659.5  22.9  -
Zoogloeaceae              -          LKAP-GutHK_D11_089   -               29     869      15     876       3     882    1474    +    1.8e-198  657.2  23.1  -
Desulfobulbaceae          -          LKAP-GutHK_D11_089   -               24     883      16     877       2     882    1483    +    4.4e-198  655.8  22.8  -
Syntrophaceae             -          LKAP-GutHK_D11_089   -               41     899      17     877       2     882    1551    +      5e-198  655.6  22.0  -
Thiobacilliaceae          -          LKAP-GutHK_D11_089   -               42     882      16     877       4     882    1517    +    2.4e-197  653.5  22.5  -
Comamonadaceae            -          LKAP-GutHK_D11_089   -               22     860      15     876       3     882    1466    +    3.9e-197  652.5  22.8  -
Clostridiaceae            -          LKAP-GutHK_D11_089   -               38     856      17     876       2     882    1485    +    5.1e-197  652.2  22.6  -
Clostridiales             -          LKAP-GutHK_D11_089   -               30     859      16     875       2     882    1470    +    8.4e-197  651.6  22.5  -
Acidithiobacillaceae      -          LKAP-GutHK_D11_089   -               23     856      17     874       4     882    1457    +    9.3e-196  648.0  22.6  -
Acetobacteraceae          -          LKAP-GutHK_D11_089   -               29     817      17     876       4     882    1438    +    1.3e-195  648.0  22.3  -
Methylothermaceae         -          LKAP-GutHK_D11_089   -               44     888      16     876       2     882    1491    +    1.5e-195  647.4  23.0  -
Syntrophomonadaceae       -          LKAP-GutHK_D11_089   -               41     894      17     877       2     882    1515    +    3.8e-195  646.0  22.7  -
Alphaproteobacteria       -          LKAP-GutHK_D11_089   -               23     810      16     877       3     882    1409    +    6.3e-195  645.7  22.0  -
Desulfohalobiaceae        -          LKAP-GutHK_D11_089   -               30     892      17     875       2     882    1509    +      2e-193  640.4  22.8  -
Methylocystaceae          -          LKAP-GutHK_D11_089   -               26     822      11     877       3     882    1424    +    2.4e-192  637.1  22.5  -
Sneathiellaceae           -          LKAP-GutHK_D11_089   -               19     825      10     877       3     882    1427    +    7.6e-192  635.3  22.4  -
Sphingomonadaceae         -          LKAP-GutHK_D11_089   -               44     818      58     877      38     882    1434    +    2.7e-191  633.7  20.9  -
Wenzhouxiangellaceae      -          LKAP-GutHK_D11_089   -               70     872      71     876      50     882    1472    +      3e-190  629.8  21.0  -
Syntrophobacteraceae      -          LKAP-GutHK_D11_089   -               32     890      17     876       2     882    1496    +    4.4e-190  629.5  22.0  -
Rhizobiales               -          LKAP-GutHK_D11_089   -               21     819       7     876       3     882    1438    +    6.9e-190  628.9  22.2  -
Peptococcaceae            -          LKAP-GutHK_D11_089   -               31     853      17     876       2     882    1479    +    8.3e-190  628.3  23.1  -
Bdellovibrionaceae        -          LKAP-GutHK_D11_089   -               20     836      17     876       3     882    1430    +    1.6e-189  627.5  22.5  -
Hyphomonadaceae           -          LKAP-GutHK_D11_089   -               23     809      16     876       3     882    1400    +    1.8e-189  627.6  21.5  -
Anaplasmataceae           -          LKAP-GutHK_D11_089   -               34     838      16     873       3     882    1441    +    6.2e-189  625.8  21.6  -
Acidobacteria             -          LKAP-GutHK_D11_089   -               44     899      17     877       2     882    1505    +    8.7e-189  625.6  22.8  -
Ruminococcaceae           -          LKAP-GutHK_D11_089   -               23     857      16     875       2     882    1457    +    5.3e-188  622.4  22.9  -
Erythrobacteraceae        -          LKAP-GutHK_D11_089   -               24     811      16     876       3     882    1433    +    8.7e-188  622.0  21.6  -
Rhodobacteraceae          -          LKAP-GutHK_D11_089   -               23     812      16     877       3     882    1402    +    1.3e-187  621.3  21.9  -
Xanthobacteraceae         -          LKAP-GutHK_D11_089   -               24     808      17     877       2     882    1415    +    1.5e-186  617.9  22.5  -
Rhizobiaceae              -          LKAP-GutHK_D11_089   -               23     809      16     877       3     882    1422    +    1.3e-185  614.6  22.4  -
Phyllobacteriaceae        -          LKAP-GutHK_D11_089   -               24     809      17     877       2     882    1424    +    1.5e-185  614.6  22.1  -
Holophagaceae             -          LKAP-GutHK_D11_089   -               77     883      78     876      65     882    1502    +    7.9e-184  608.8  21.4  -
Peptostreptococcaceae     -          LKAP-GutHK_D11_089   -               24     840      17     875       3     882    1441    +    1.5e-183  607.6  22.8  -
Thermoanaerobacteraceae   -          LKAP-GutHK_D11_089   -               30     864      17     876       2     882    1492    +    2.3e-183  606.9  23.6  -
Nautiliaceae              -          LKAP-GutHK_D11_089   -               24     834      17     876       3     882    1431    +    3.4e-183  606.8  23.1  -
Deferribacteraceae        -          LKAP-GutHK_D11_089   -               31     877      17     876       3     882    1513    +    1.9e-182  603.9  22.9  -
Bacillales                -          LKAP-GutHK_D11_089   -               31     890      17     876       2     882    1503    +    4.9e-182  602.8  22.8  -
Lachnospiraceae           -          LKAP-GutHK_D11_089   -               24     855      17     874       2     882    1469    +    5.5e-182  602.5  22.7  -
Synergistaceae            -          LKAP-GutHK_D11_089   -               24     840      17     876       2     882    1450    +    2.5e-181  600.4  24.8  -
Methylobacteriaceae       -          LKAP-GutHK_D11_089   -               22     812      15     877       2     882    1426    +    2.6e-181  600.4  22.9  -
Brucellaceae              -          LKAP-GutHK_D11_089   -               29     812      17     876       3     882    1411    +    2.9e-181  600.4  22.1  -
Aurantimonadaceae         -          LKAP-GutHK_D11_089   -               40     827      16     877       3     882    1442    +    2.9e-181  600.4  22.8  -
Kiloniellaceae            -          LKAP-GutHK_D11_089   -               29     838       6     876       1     882    1450    +    4.9e-181  599.2  23.0  -
Kordiimonadaceae          -          LKAP-GutHK_D11_089   -               24     820      17     876       4     882    1421    +    6.1e-181  599.3  21.5  -
Haliangiaceae             -          LKAP-GutHK_D11_089   -               39     897      16     876       3     882    1507    +    6.6e-181  599.1  23.0  -
Desulfarculaceae          -          LKAP-GutHK_D11_089   -               32     894      16     876       3     882    1516    +    1.2e-180  598.2  22.5  -
Bacillaceae               -          LKAP-GutHK_D11_089   -               20     888      15     882       2     882    1493    +    4.8e-180  596.2  23.6  -
Desulfomicrobiaceae       -          LKAP-GutHK_D11_089   -               34     883      17     877       2     882    1495    +    2.3e-179  593.8  22.7  -
Lactobacillaceae          -          LKAP-GutHK_D11_089   -               27     906      17     874       3     881    1522    +    3.5e-179  593.3  22.7  -
Bacteroidaceae            -          LKAP-GutHK_D11_089   -               33     876      17     874       7     879    1480    +    3.9e-179  593.0  22.3  -
Beijerinckiaceae          -          LKAP-GutHK_D11_089   -               66     823      72     877      47     882    1421    +    5.9e-179  592.5  21.2  -
Paenibacillaceae          -          LKAP-GutHK_D11_089   -               24     882      16     876       2     882    1493    +    8.7e-179  592.0  23.0  -
Streptomycetaceae         -          LKAP-GutHK_D11_089   -               24     844      17     876       2     882    1479    +    9.1e-179  592.0  23.4  -
Thermoactinomycetaceae    -          LKAP-GutHK_D11_089   -               32     879      17     876       2     882    1495    +    4.8e-178  589.7  22.5  -
Spirochaetaceae           -          LKAP-GutHK_D11_089   -               30     871      17     874       3     879    1486    +    1.3e-177  588.1  23.1  -
Micrococcaceae            -          LKAP-GutHK_D11_089   -               32     859      16     876       2     882    1476    +    1.5e-177  587.9  23.3  -
Bradyrhizobiaceae         -          LKAP-GutHK_D11_089   -               24     812      17     877       3     882    1428    +    1.6e-177  587.8  22.2  -
Thermoanaerobacterales    -          LKAP-GutHK_D11_089   -               30     866      15     876       2     882    1472    +    1.8e-177  587.6  24.3  -
Caulobacteraceae          -          LKAP-GutHK_D11_089   -               15     810      11     877       3     882    1415    +    2.1e-177  587.5  21.9  -
Helicobacteraceae         -          LKAP-GutHK_D11_089   -               87     847      71     877      47     882    1473    +    3.5e-177  586.3  20.1  -
Patulibacteraceae         -          LKAP-GutHK_D11_089   -               44     877      17     876       2     882    1494    +    6.8e-176  582.1  22.7  -
Selenomonadaceae          -          LKAP-GutHK_D11_089   -               43     905      17     876       2     882    1531    +    7.2e-176  582.2  22.2  -
Fusobacteriaceae          -          LKAP-GutHK_D11_089   -               41     847      17     874       8     881    1458    +      3e-175  580.3  22.6  -
Chelatococcaceae          -          LKAP-GutHK_D11_089   -               26     821      11     877       3     882    1439    +    9.5e-175  578.8  22.5  -
Polyangiaceae             -          LKAP-GutHK_D11_089   -               43     896      17     876       4     882    1548    +      1e-174  578.5  22.6  -
Alicyclobacillaceae       -          LKAP-GutHK_D11_089   -               44     883      17     876       2     882    1512    +    1.2e-174  578.5  23.1  -
Verrucomicrobiaceae       -          LKAP-GutHK_D11_089   -               25     868      17     876       2     882    1470    +    1.4e-174  578.2  23.0  -
Rubrobacteraceae          -          LKAP-GutHK_D11_089   -               25     871      18     876       4     882    1495    +    2.8e-174  577.0  22.7  -
Heliobacteriaceae         -          LKAP-GutHK_D11_089   -               41     863      17     876       3     882    1500    +    4.5e-174  576.3  22.8  -
Halobacteriovoracaceae    -          LKAP-GutHK_D11_089   -               24     880      17     876       5     882    1480    +    5.9e-174  575.9  22.1  -
Erysipelotrichaceae       -          LKAP-GutHK_D11_089   -               29     860      17     875       4     882    1466    +    2.3e-173  574.1  22.7  -
Oleiphilaceae             -          LKAP-GutHK_D11_089   -               32     862      16     874       2     881    1437    +    2.3e-173  573.9  23.0  -
Spirillaceae              -          LKAP-GutHK_D11_089   -               38     886      15     876       3     882    1447    +    8.2e-173  572.4  22.5  -
Bacteriovoracaceae        -          LKAP-GutHK_D11_089   -               62     875      72     876      49     882    1473    +    1.4e-172  571.3  21.4  -
Campylobacteraceae        -          LKAP-GutHK_D11_089   -               24     845      17     877       2     882    1429    +    1.7e-172  570.8  21.9  -
Rhodothermaceae           -          LKAP-GutHK_D11_089   -               23     856      16     875       2     882    1457    +    1.8e-172  571.1  22.8  -
Nitrospiraceae            -          LKAP-GutHK_D11_089   -               30     851      17     876       2     882    1479    +    3.5e-172  570.0  23.2  -
Parvularculaceae          -          LKAP-GutHK_D11_089   -               43     830      16     877       3     882    1428    +    5.4e-172  569.8  22.1  -
Carnobacteriaceae         -          LKAP-GutHK_D11_089   -               24     879      17     875       3     881    1496    +    2.3e-171  567.4  22.9  -
Aerococcaceae             -          LKAP-GutHK_D11_089   -               24     879      17     875       2     882    1473    +    3.7e-171  566.7  22.5  -
Cystobacteraceae          -          LKAP-GutHK_D11_089   -               24     874      17     875       2     882    1491    +    3.9e-171  566.5  22.1  -
Porticoccaceae            -          LKAP-GutHK_D11_089   -               31     866      16     874       2     881    1497    +    1.3e-170  564.7  23.1  -
Planococcaceae            -          LKAP-GutHK_D11_089   -               23     877      16     876       2     882    1491    +    1.9e-170  564.2  23.0  -
Bartonellaceae            -          LKAP-GutHK_D11_089   -               24     810      17     876       3     882    1410    +    3.6e-170  563.5  22.2  -
Mycoplasmataceae          -          LKAP-GutHK_D11_089   -               19     839      17     864       8     881    1467    +    5.6e-170  563.0  21.0  -
Brevibacteriaceae         -          LKAP-GutHK_D11_089   -               34     863      17     876       3     882    1487    +    6.6e-170  562.4  22.5  -
Woeseiaceae               -          LKAP-GutHK_D11_089   -               32     870      16     868       3     880    1476    +    8.4e-170  562.0  22.5  -
Rickettsiaceae            -          LKAP-GutHK_D11_089   -               24     822      17     876       7     882    1430    +    8.6e-170  562.2  21.1  -
Myxococcaceae             -          LKAP-GutHK_D11_089   -               38     890      17     875       2     882    1517    +    1.1e-169  561.6  22.8  -
Pseudonocardiaceae        -          LKAP-GutHK_D11_089   -               29     852      16     876       2     882    1475    +    1.3e-169  561.6  23.3  -
Staphylococcaceae         -          LKAP-GutHK_D11_089   -               26     876      17     875       2     882    1479    +    1.9e-169  561.0  22.4  -
Halanaerobiaceae          -          LKAP-GutHK_D11_089   -               32     895      17     874       2     882    1503    +    3.1e-169  560.1  23.1  -
Streptococcaceae          -          LKAP-GutHK_D11_089   -               30     884      17     874       2     881    1497    +    5.3e-169  559.5  22.1  -
Propionibacteriaceae      -          LKAP-GutHK_D11_089   -               27     850      16     876       2     882    1462    +    5.5e-169  559.5  22.9  -
Intrasporangiaceae        -          LKAP-GutHK_D11_089   -               24     850      17     876       2     882    1461    +    6.4e-169  559.2  22.7  -
Desulfonatronaceae        -          LKAP-GutHK_D11_089   -               24     877      17     876       2     882    1495    +    7.9e-169  558.9  23.0  -
Thermolithobacteraceae    -          LKAP-GutHK_D11_089   -               44     912      17     876       2     882    1546    +    9.3e-169  558.5  23.2  -
Parviterribacteraceae     -          LKAP-GutHK_D11_089   -               24     857      17     876       2     882    1456    +    1.1e-168  558.4  22.6  -
Oscillatoriales           -          LKAP-GutHK_D11_089   -               24     812      17     874       4     879    1445    +    1.5e-168  558.2  21.0  -
Cohaesibacteraceae        -          LKAP-GutHK_D11_089   -               44     828      18     876       3     882    1425    +    1.5e-168  558.2  21.9  -
Microbacteriaceae         -          LKAP-GutHK_D11_089   -               27     853      17     877       2     882    1464    +    1.6e-168  557.9  22.7  -
Calditrichaeota           -          LKAP-GutHK_D11_089   -               31     882      17     874       2     882    1483    +    1.7e-168  558.0  22.6  -
Nakamurellaceae           -          LKAP-GutHK_D11_089   -               24     843      17     876       2     882    1462    +    1.8e-168  557.7  23.6  -
Acidimicrobiaceae         -          LKAP-GutHK_D11_089   -               44     867      17     877       3     882    1464    +    2.6e-168  557.4  22.3  -
Nocardiaceae              -          LKAP-GutHK_D11_089   -               24     843      17     876       2     882    1472    +    6.9e-168  555.9  23.8  -
Leptospiraceae            -          LKAP-GutHK_D11_089   -               55     833      74     872      53     882    1431    +    7.6e-168  555.6  20.5  -
Veillonellaceae           -          LKAP-GutHK_D11_089   -                3     866      18     876      16     882    1450    +    2.9e-167  553.6  21.6  -
Flammeovirgaceae          -          LKAP-GutHK_D11_089   -               23     854      16     874       4     880    1446    +    3.1e-167  553.9  21.6  -
Micromonosporaceae        -          LKAP-GutHK_D11_089   -               37     858      16     876       2     882    1482    +    4.6e-167  553.1  23.3  -
Solirubrobacteraceae      -          LKAP-GutHK_D11_089   -                9     855      18     876      13     882    1443    +    1.2e-166  551.6  22.1  -
Nocardioidaceae           -          LKAP-GutHK_D11_089   -               23     845      16     876       2     882    1455    +    2.1e-166  551.0  23.4  -
Halobacteroidaceae        -          LKAP-GutHK_D11_089   -               32     861      17     867       2     879    1478    +    2.7e-166  550.3  22.2  -
Actinomycetaceae          -          LKAP-GutHK_D11_089   -               23     876      16     876       2     882    1468    +    5.3e-166  549.6  22.6  -
Salinibacteraceae         -          LKAP-GutHK_D11_089   -               39     885      10     874       2     882    1497    +    6.6e-166  549.3  23.9  -
Mycobacteriaceae          -          LKAP-GutHK_D11_089   -               29     852      17     876       2     882    1471    +    9.9e-166  548.6  23.8  -
Sporolactobacillaceae     -          LKAP-GutHK_D11_089   -               24     872      17     874       2     881    1503    +    1.9e-165  547.7  22.2  -
Immundisolibacteraceae    -          LKAP-GutHK_D11_089   -               53     894      17     874       3     881    1555    +    5.3e-165  546.1  22.5  -
Algiphilaceae             -          LKAP-GutHK_D11_089   -               43     878      16     874       3     881    1501    +    6.9e-165  545.7  23.1  -
Leuconostocaceae          -          LKAP-GutHK_D11_089   -               20     879      17     874       2     880    1479    +    9.7e-165  545.5  22.3  -
Corynebacteriaceae        -          LKAP-GutHK_D11_089   -               22     850      16     876       2     882    1459    +    2.6e-164  543.8  22.8  -
Flavobacteriaceae         -          LKAP-GutHK_D11_089   -               22     863      16     875       3     882    1451    +    7.9e-164  542.3  22.4  -
Chroococcales             -          LKAP-GutHK_D11_089   -               50     826      59     874      38     880    1445    +    9.2e-164  542.0  21.5  -
Corynebacterineae         -          LKAP-GutHK_D11_089   -               24     842      17     876       2     882    1473    +    9.7e-164  542.2  23.2  -
Tsukamurellaceae          -          LKAP-GutHK_D11_089   -               42     862      16     876       2     882    1495    +    1.1e-163  542.0  23.6  -
Kineosporiaceae           -          LKAP-GutHK_D11_089   -               32     850      17     876       2     882    1463    +    1.8e-163  541.3  22.9  -
Conexibacteraceae         -          LKAP-GutHK_D11_089   -               88     892      75     876      53     882    1536    +    3.6e-163  539.9  22.0  -
Enterococcaceae           -          LKAP-GutHK_D11_089   -               24     883      17     874       2     881    1498    +    4.6e-163  539.9  23.1  -
Caldilineaceae            -          LKAP-GutHK_D11_089   -               31     848      17     876       2     882    1434    +    5.5e-163  539.6  24.3  -
Sporomusaceae             -          LKAP-GutHK_D11_089   -               43     897      17     876       2     882    1535    +    5.6e-163  539.3  22.4  -
Nannocystaceae            -          LKAP-GutHK_D11_089   -               38     875      17     877       3     882    1487    +      7e-163  539.3  22.6  -
Demequinaceae             -          LKAP-GutHK_D11_089   -               24     847      17     876       2     882    1478    +    7.9e-163  539.0  22.4  -
Cytophagaceae             -          LKAP-GutHK_D11_089   -               59     849      72     874      46     879    1437    +    1.6e-162  538.1  21.2  -
Geodermatophilaceae       -          LKAP-GutHK_D11_089   -               37     859      17     876       2     882    1479    +    2.4e-162  537.5  23.6  -
Jiangellaceae             -          LKAP-GutHK_D11_089   -               29     849      16     876       2     882    1497    +    3.3e-162  536.9  23.2  -
Thermomonosporaceae       -          LKAP-GutHK_D11_089   -               24     843      17     876       2     882    1464    +    7.7e-162  535.8  23.4  -
Acidaminococcaceae        -          LKAP-GutHK_D11_089   -               31     885      17     875       2     882    1504    +      1e-161  535.0  21.8  -
Frankiaceae               -          LKAP-GutHK_D11_089   -               44     856      16     876       2     882    1499    +    1.2e-161  535.3  23.2  -
