# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_A12_096   -               10     938       4     927       2     927    1474    +           0 1134.5  25.5  -
Ferrimonadaceae           -          LKAP-GutHK_A12_096   -               10     938       4     927       2     927    1475    +    3.4e-303 1004.1  25.7  -
Ruminococcaceae           -          LKAP-GutHK_A12_096   -               27     919      18     927       2     927    1457    +    1.8e-220  730.1  24.4  -
Peptococcaceae            -          LKAP-GutHK_A12_096   -               34     914      18     927       2     927    1479    +    2.6e-220  729.5  24.4  -
Rhizobiaceae              -          LKAP-GutHK_A12_096   -               11     869       5     927       2     927    1422    +      1e-219  727.8  23.3  -
Phyllobacteriaceae        -          LKAP-GutHK_A12_096   -               51     869      69     927      47     927    1424    +    9.7e-219  724.6  22.1  -
Anaplasmataceae           -          LKAP-GutHK_A12_096   -               21     902       4     927       2     927    1441    +    8.1e-218  721.6  22.8  -
Lachnospiraceae           -          LKAP-GutHK_A12_096   -               27     918      18     927       3     927    1469    +    3.4e-217  719.3  24.6  -
Syntrophobacteraceae      -          LKAP-GutHK_A12_096   -               36     951      23     927       3     927    1496    +      3e-216  716.3  24.6  -
Brucellaceae              -          LKAP-GutHK_A12_096   -               16     873       5     927       2     927    1411    +    5.3e-216  715.5  23.1  -
Holophagaceae             -          LKAP-GutHK_A12_096   -               77     944      76     927      65     927    1502    +    5.6e-216  715.4  23.5  -
Caulobacteraceae          -          LKAP-GutHK_A12_096   -               10     870       4     927       2     927    1415    +    2.1e-214  710.2  22.6  -
Aurantimonadaceae         -          LKAP-GutHK_A12_096   -               27     887       4     927       2     927    1442    +    8.8e-214  708.2  23.0  -
Acidobacteria             -          LKAP-GutHK_A12_096   -               81     959      67     927      29     927    1505    +    1.5e-213  707.7  24.1  -
Bacillales                -          LKAP-GutHK_A12_096   -               34     951      18     927       2     927    1503    +      3e-213  706.3  24.4  -
Kordiimonadaceae          -          LKAP-GutHK_A12_096   -               10     881       4     927       2     927    1421    +    3.6e-213  706.2  23.1  -
Kiloniellaceae            -          LKAP-GutHK_A12_096   -               27     899       2     927       1     927    1450    +    5.1e-213  705.3  23.8  -
Deferribacteraceae        -          LKAP-GutHK_A12_096   -               34     938      18     927       3     927    1513    +    7.2e-213  704.8  24.8  -
Peptostreptococcaceae     -          LKAP-GutHK_A12_096   -               27     902      18     927       2     927    1441    +    9.5e-213  704.4  24.1  -
Nautiliaceae              -          LKAP-GutHK_A12_096   -               13     895       7     927       2     927    1431    +    1.6e-212  704.1  24.3  -
Methylobacteriaceae       -          LKAP-GutHK_A12_096   -               10     872       4     927       2     927    1426    +    5.1e-211  698.9  23.7  -
Bacillaceae               -          LKAP-GutHK_A12_096   -               21     944      13     927       2     927    1493    +    5.7e-211  698.7  25.0  -
Thermoanaerobacteraceae   -          LKAP-GutHK_A12_096   -               33     925      18     927       2     927    1492    +    6.4e-211  698.3  25.7  -
Beijerinckiaceae          -          LKAP-GutHK_A12_096   -               66     883      70     927      48     927    1421    +    7.6e-211  698.3  22.3  -
Synergistaceae            -          LKAP-GutHK_A12_096   -               26     901      17     927       3     927    1450    +    4.3e-210  695.8  25.8  -
Bacteroidaceae            -          LKAP-GutHK_A12_096   -               36     939      18     927       3     927    1480    +    1.2e-209  694.3  25.0  -
Bradyrhizobiaceae         -          LKAP-GutHK_A12_096   -               57     872      72     927      51     927    1428    +    2.4e-209  693.3  22.4  -
Helicobacteraceae         -          LKAP-GutHK_A12_096   -               87     907      69     927      46     927    1473    +    9.6e-209  690.9  21.6  -
Spirochaetaceae           -          LKAP-GutHK_A12_096   -               31     934      16     927       3     927    1486    +      1e-208  691.3  24.9  -
Streptomycetaceae         -          LKAP-GutHK_A12_096   -               28     904      19     926       2     927    1479    +    2.2e-208  690.3  25.1  -
Paenibacillaceae          -          LKAP-GutHK_A12_096   -               28     943      18     927       2     927    1493    +    2.5e-208  690.0  24.9  -
Selenomonadaceae          -          LKAP-GutHK_A12_096   -               46     966      18     927       3     927    1531    +    6.3e-208  688.5  24.6  -
Lactobacillaceae          -          LKAP-GutHK_A12_096   -               30     969      18     927       3     927    1522    +    6.8e-208  688.5  24.7  -
Desulfarculaceae          -          LKAP-GutHK_A12_096   -               19     955       4     927       2     927    1516    +    8.3e-208  688.3  24.9  -
Desulfomicrobiaceae       -          LKAP-GutHK_A12_096   -               70     943      66     927      25     927    1495    +    9.2e-208  688.0  23.9  -
Thermoanaerobacterales    -          LKAP-GutHK_A12_096   -               33     927      16     927       2     927    1472    +    1.1e-207  687.8  25.9  -
Haliangiaceae             -          LKAP-GutHK_A12_096   -               43     958      18     927       3     927    1507    +    1.6e-207  687.4  25.4  -
Verrucomicrobiaceae       -          LKAP-GutHK_A12_096   -               29     928      19     926       3     927    1470    +    1.3e-206  684.4  25.1  -
Thermoactinomycetaceae    -          LKAP-GutHK_A12_096   -               35     940      18     927       2     927    1495    +    1.1e-205  681.4  24.8  -
Chelatococcaceae          -          LKAP-GutHK_A12_096   -               21     881       4     927       2     927    1439    +    1.7e-204  677.5  23.4  -
Leptospiraceae            -          LKAP-GutHK_A12_096   -               55     898      72     927      51     927    1431    +    2.9e-204  676.4  22.5  -
Cohaesibacteraceae        -          LKAP-GutHK_A12_096   -               30     889       5     927       2     927    1425    +    3.3e-204  676.4  23.0  -
Micrococcaceae            -          LKAP-GutHK_A12_096   -               36     919      18     926       3     927    1476    +    3.8e-204  676.1  24.3  -
Halobacteriovoracaceae    -          LKAP-GutHK_A12_096   -               12     941       6     927       2     927    1480    +    9.1e-204  674.7  24.7  -
Parvularculaceae          -          LKAP-GutHK_A12_096   -               30     890       4     927       2     927    1428    +    1.1e-203  674.9  22.8  -
Erysipelotrichaceae       -          LKAP-GutHK_A12_096   -               32     922      18     927       3     927    1466    +    2.8e-203  673.3  24.9  -
Heliobacteriaceae         -          LKAP-GutHK_A12_096   -               27     924       4     927       2     927    1500    +    5.5e-203  672.2  24.2  -
Alicyclobacillaceae       -          LKAP-GutHK_A12_096   -               47     944      18     927       2     927    1512    +    5.7e-203  672.4  25.0  -
Campylobacteraceae        -          LKAP-GutHK_A12_096   -               73     905      72     927      41     927    1429    +    5.8e-203  671.8  21.9  -
Fusobacteriaceae          -          LKAP-GutHK_A12_096   -               73     910      68     927      29     927    1458    +    1.4e-202  670.9  23.7  -
Bartonellaceae            -          LKAP-GutHK_A12_096   -               55     871      71     927      51     927    1410    +      9e-202  668.3  22.6  -
Polyangiaceae             -          LKAP-GutHK_A12_096   -               81     957      70     927      49     927    1548    +    9.1e-202  668.2  24.1  -
Rhodothermaceae           -          LKAP-GutHK_A12_096   -               10     917       4     926       2     927    1457    +    1.6e-201  667.4  24.9  -
Rubrobacteraceae          -          LKAP-GutHK_A12_096   -               31     929      26     924       6     927    1495    +    5.5e-201  665.6  24.3  -
Bacteriovoracaceae        -          LKAP-GutHK_A12_096   -               62     936      70     927      49     927    1473    +    1.5e-200  664.1  23.8  -
Mycoplasmataceae          -          LKAP-GutHK_A12_096   -               22     910      18     927       4     927    1467    +    3.7e-200  663.1  23.7  -
Aerococcaceae             -          LKAP-GutHK_A12_096   -               27     941      18     927       2     927    1473    +    6.4e-200  662.1  24.4  -
Halanaerobiaceae          -          LKAP-GutHK_A12_096   -               35     958      18     927       2     927    1503    +    2.2e-199  660.1  25.1  -
Patulibacteraceae         -          LKAP-GutHK_A12_096   -               80     938      65     927      45     927    1494    +    2.9e-199  659.7  23.8  -
Spirillaceae              -          LKAP-GutHK_A12_096   -               27     946       5     926       2     927    1447    +    2.9e-199  660.1  24.5  -
Carnobacteriaceae         -          LKAP-GutHK_A12_096   -               27     941      18     927       2     927    1496    +      4e-199  659.4  24.5  -
Planococcaceae            -          LKAP-GutHK_A12_096   -               26     938      17     927       2     927    1491    +      5e-199  659.1  24.6  -
Desulfonatronaceae        -          LKAP-GutHK_A12_096   -               27     938      18     927       2     927    1495    +    8.1e-199  658.4  24.9  -
Staphylococcaceae         -          LKAP-GutHK_A12_096   -               29     938      18     927       2     927    1479    +    1.3e-198  657.8  24.0  -
Salinibacteraceae         -          LKAP-GutHK_A12_096   -               35     947       4     926       2     927    1497    +    1.6e-198  657.5  25.5  -
Cystobacteraceae          -          LKAP-GutHK_A12_096   -               27     936      18     927       2     927    1491    +      2e-198  657.0  24.5  -
Streptococcaceae          -          LKAP-GutHK_A12_096   -               33     947      18     927       2     927    1497    +    2.2e-198  657.0  24.2  -
Rickettsiaceae            -          LKAP-GutHK_A12_096   -               70     883      73     927      52     927    1430    +    4.3e-198  656.1  21.5  -
Flammeovirgaceae          -          LKAP-GutHK_A12_096   -               27     917      18     927       3     927    1446    +    4.4e-198  656.2  24.5  -
Acidimicrobiaceae         -          LKAP-GutHK_A12_096   -               47     926      18     926       3     927    1464    +      7e-198  655.4  23.8  -
Brevibacteriaceae         -          LKAP-GutHK_A12_096   -               81     923      71     926      46     927    1487    +    3.1e-197  653.0  23.2  -
Myxococcaceae             -          LKAP-GutHK_A12_096   -               75     952      69     927      36     927    1517    +    3.3e-197  653.0  23.6  -
Thermolithobacteraceae    -          LKAP-GutHK_A12_096   -               94     973      71     927      42     927    1546    +    5.1e-197  652.2  24.1  -
Flavobacteriaceae         -          LKAP-GutHK_A12_096   -               11     925       6     927       3     927    1451    +      6e-196  648.8  24.5  -
Oscillatoriales           -          LKAP-GutHK_A12_096   -               56     875      72     927      51     927    1445    +    7.2e-196  648.8  22.6  -
Nannocystaceae            -          LKAP-GutHK_A12_096   -               42     935      19     927       3     927    1487    +      1e-195  648.2  24.1  -
Oleiphilaceae             -          LKAP-GutHK_A12_096   -               20     925       5     927       2     927    1437    +    1.1e-195  647.9  25.1  -
Nitrospiraceae            -          LKAP-GutHK_A12_096   -               28     912      15     927       2     927    1479    +    1.3e-195  647.7  24.1  -
Sporolactobacillaceae     -          LKAP-GutHK_A12_096   -               27     935      18     927       2     927    1503    +      2e-195  647.1  24.3  -
Veillonellaceae           -          LKAP-GutHK_A12_096   -               49     927      70     927      48     927    1450    +    3.7e-195  646.1  24.0  -
Pseudonocardiaceae        -          LKAP-GutHK_A12_096   -               33     912      18     926       2     927    1475    +    4.1e-195  646.2  24.9  -
Porticoccaceae            -          LKAP-GutHK_A12_096   -               19     929       5     927       2     927    1497    +    4.4e-195  645.8  25.2  -
Propionibacteriaceae      -          LKAP-GutHK_A12_096   -               31     910      18     926       3     927    1462    +    4.5e-195  646.0  24.2  -
Halobacteroidaceae        -          LKAP-GutHK_A12_096   -               35     929      18     927       2     927    1478    +    9.3e-195  644.7  24.5  -
Nocardiaceae              -          LKAP-GutHK_A12_096   -               27     903      18     926       3     927    1472    +    1.2e-194  644.6  25.4  -
Microbacteriaceae         -          LKAP-GutHK_A12_096   -               73     912      72     926      49     927    1464    +    3.2e-194  643.1  23.4  -
Leuconostocaceae          -          LKAP-GutHK_A12_096   -               24     942      19     927       2     927    1479    +    4.9e-194  642.7  24.3  -
Calditrichaeota           -          LKAP-GutHK_A12_096   -               67     945      63     927      29     927    1483    +      9e-194  641.8  24.0  -
Sporomusaceae             -          LKAP-GutHK_A12_096   -               46     958      18     927       3     927    1535    +    1.5e-193  640.7  24.6  -
Thermodesulfobiaceae      -          LKAP-GutHK_A12_096   -               42     928      17     927       2     927    1520    +    2.2e-193  640.3  25.0  -
Micromonosporaceae        -          LKAP-GutHK_A12_096   -               41     918      18     926       2     927    1482    +    2.6e-193  640.2  24.9  -
Intrasporangiaceae        -          LKAP-GutHK_A12_096   -               71     910      72     926      47     927    1461    +    2.6e-193  640.1  23.7  -
Nakamurellaceae           -          LKAP-GutHK_A12_096   -               27     903      18     926       3     927    1462    +    5.6e-193  639.0  24.8  -
Cytophagaceae             -          LKAP-GutHK_A12_096   -               59     912      70     927      47     927    1437    +    7.3e-193  638.7  23.7  -
Puniceicoccaceae          -          LKAP-GutHK_A12_096   -               37     941      18     926       2     927    1485    +    8.6e-193  638.4  24.1  -
Immundisolibacteraceae    -          LKAP-GutHK_A12_096   -               94     957      64     927      40     927    1555    +    1.3e-192  637.6  24.0  -
Listeriaceae              -          LKAP-GutHK_A12_096   -               58     924      72     927      52     927    1448    +    1.9e-192  637.4  23.4  -
Parviterribacteraceae     -          LKAP-GutHK_A12_096   -               63     918      68     927      45     927    1456    +    5.1e-192  635.8  23.7  -
Corynebacteriaceae        -          LKAP-GutHK_A12_096   -               26     910      18     926       3     927    1459    +    5.5e-192  635.6  24.0  -
Actinomycetaceae          -          LKAP-GutHK_A12_096   -               27     936      18     926       3     927    1468    +    2.2e-191  633.8  24.4  -
Hymenobacteraceae         -          LKAP-GutHK_A12_096   -               27     909      18     927       3     927    1445    +    3.1e-191  633.4  24.3  -
Caldilineaceae            -          LKAP-GutHK_A12_096   -               34     909      18     927       2     927    1434    +    6.9e-191  632.2  25.9  -
Balneolaceae              -          LKAP-GutHK_A12_096   -               12     921       6     926       2     927    1459    +    1.1e-190  631.4  24.7  -
Natranaerobiaceae         -          LKAP-GutHK_A12_096   -                2     902      14     927      13     927    1429    +    1.5e-190  631.0  23.5  -
Conexibacteraceae         -          LKAP-GutHK_A12_096   -               88     953      73     927      52     927    1536    +    1.7e-190  630.6  24.0  -
Nocardioidaceae           -          LKAP-GutHK_A12_096   -               26     905      17     926       2     927    1455    +    2.2e-190  630.6  24.9  -
Enterococcaceae           -          LKAP-GutHK_A12_096   -               28     946      19     927       2     927    1498    +    3.3e-190  629.9  24.6  -
Solirubrobacteraceae      -          LKAP-GutHK_A12_096   -               48     916      69     927      47     927    1443    +    4.4e-190  629.3  24.1  -
Mycobacteriaceae          -          LKAP-GutHK_A12_096   -               32     912      18     926       2     927    1471    +    6.3e-190  628.9  25.1  -
Desulfurellaceae          -          LKAP-GutHK_A12_096   -               67     947      67     927      45     927    1529    +      7e-190  628.6  24.0  -
Acidaminococcaceae        -          LKAP-GutHK_A12_096   -               34     947      18     927       2     927    1504    +    7.7e-190  628.2  24.1  -
Kineosporiaceae           -          LKAP-GutHK_A12_096   -               35     910      18     926       3     927    1463    +    1.1e-189  628.2  24.4  -
Thermaceae                -          LKAP-GutHK_A12_096   -               37     909      18     927       3     927    1477    +    1.4e-189  627.9  24.7  -
Corynebacterineae         -          LKAP-GutHK_A12_096   -               27     902      18     926       3     927    1473    +    4.2e-189  626.3  25.2  -
