# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0517_LKAP-FHGF1_B01_013 -               23     951       5     927       1     939    1474    +           0 1057.4  15.7  -
Thioalkalispiraceae       -          A0517_LKAP-FHGF1_B01_013 -               35     961       5     929       2     940    1479    +    1.8e-240  796.4  15.5  -
Halomonadaceae            -          A0517_LKAP-FHGF1_B01_013 -               23     940       5     927       1     939    1466    +    2.7e-240  795.7  15.6  -
Moraxellaceae             -          A0517_LKAP-FHGF1_B01_013 -               21     932       6     927       2     939    1468    +    1.7e-239  793.3  15.8  -
Kangiellaceae             -          A0517_LKAP-FHGF1_B01_013 -               33     953       6     927       2     939    1479    +    5.8e-239  791.4  15.8  -
Microbulbiferaceae        -          A0517_LKAP-FHGF1_B01_013 -               23     941       5     934       1     940    1480    +    1.1e-238  790.7  15.1  -
Spongiibacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               26     940       5     929       1     940    1462    +    1.7e-238  789.8  15.3  -
Saccharospirillaceae      -          A0517_LKAP-FHGF1_B01_013 -               25     932       6     925       2     936    1468    +    5.9e-237  784.7  15.8  -
Litoricolaceae            -          A0517_LKAP-FHGF1_B01_013 -               31     946       5     926       2     939    1474    +    4.8e-236  781.9  15.8  -
Chromobacteriaceae        -          A0517_LKAP-FHGF1_B01_013 -               22     932       5     926       2     939    1460    +    5.3e-233  771.8  15.7  -
Rhodanobacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               24     943       5     927       1     939    1473    +    2.7e-230  762.8  15.6  -
Legionellaceae            -          A0517_LKAP-FHGF1_B01_013 -               20     942       6     930       2     940    1446    +    2.8e-230  762.8  15.3  -
Granulosicoccaceae        -          A0517_LKAP-FHGF1_B01_013 -               24     951       6     936       2     940    1471    +    2.8e-229  759.4  15.5  -
Cardiobacteriaceae        -          A0517_LKAP-FHGF1_B01_013 -               32     947       6     929       2     940    1464    +      7e-229  758.3  15.3  -
Coxiellaceae              -          A0517_LKAP-FHGF1_B01_013 -               22     958       5     937       1     940    1475    +    8.3e-229  757.8  15.4  -
Thiotrichaceae            -          A0517_LKAP-FHGF1_B01_013 -               24     896       6     926       2     939    1421    +    8.8e-229  757.6  15.2  -
Rhodocyclaceae            -          A0517_LKAP-FHGF1_B01_013 -               23     937       5     926       2     939    1484    +    1.4e-228  757.0  15.8  -
Nevskiaceae               -          A0517_LKAP-FHGF1_B01_013 -               31     935       5     927       1     939    1470    +    1.5e-226  750.6  15.2  -
Neisseriaceae             -          A0517_LKAP-FHGF1_B01_013 -               37     956       5     928       2     940    1477    +      5e-226  748.6  15.5  -
Burkholderiaceae          -          A0517_LKAP-FHGF1_B01_013 -               22     933       4     926       2     939    1482    +    7.1e-226  748.2  15.6  -
Rhodospirillaceae         -          A0517_LKAP-FHGF1_B01_013 -               26     888       6     926       1     930    1429    +    7.9e-223  738.1  16.1  -
Alcaligenaceae            -          A0517_LKAP-FHGF1_B01_013 -               22     939       4     929       2     940    1467    +    9.3e-223  737.8  15.2  -
Hydrogenophilaceae        -          A0517_LKAP-FHGF1_B01_013 -               22     935       4     926       2     939    1461    +      8e-222  734.8  15.6  -
Arenicellaceae            -          A0517_LKAP-FHGF1_B01_013 -               24     937       6     929       3     940    1488    +    3.2e-221  732.7  15.1  -
Sutterellaceae            -          A0517_LKAP-FHGF1_B01_013 -               23     940       5     929       2     940    1487    +      2e-220  729.8  15.5  -
Sulfuricellaceae          -          A0517_LKAP-FHGF1_B01_013 -               24     941       5     929       2     940    1463    +    3.6e-220  729.2  15.1  -
Methylophilaceae          -          A0517_LKAP-FHGF1_B01_013 -                6     927       5     929       2     940    1431    +    1.1e-219  727.7  15.4  -
Thiotrichales             -          A0517_LKAP-FHGF1_B01_013 -               44     959       6     926       2     935    1519    +    2.2e-219  726.2  15.6  -
Oxalobacteraceae          -          A0517_LKAP-FHGF1_B01_013 -               22     938       4     929       2     940    1459    +    1.1e-218  724.3  15.2  -
Acidiferrobacteraceae     -          A0517_LKAP-FHGF1_B01_013 -               24     935       6     930       2     940    1454    +    9.1e-218  721.2  15.3  -
Nitrosomonadaceae         -          A0517_LKAP-FHGF1_B01_013 -               23     939       5     929       2     940    1461    +    6.4e-215  711.9  15.2  -
Burkholderiales           -          A0517_LKAP-FHGF1_B01_013 -               22     938       4     930       2     940    1463    +    4.7e-214  708.9  15.3  -
Salinisphaeraceae         -          A0517_LKAP-FHGF1_B01_013 -               10     928       4     929       2     940    1429    +    7.3e-214  708.3  15.3  -
Azonexaceae               -          A0517_LKAP-FHGF1_B01_013 -               23     943       4     930       2     940    1474    +    1.1e-212  704.6  15.4  -
Hyphomicrobiaceae         -          A0517_LKAP-FHGF1_B01_013 -               24     884       6     926       2     934    1427    +    2.1e-212  703.5  16.0  -
Geobacteraceae            -          A0517_LKAP-FHGF1_B01_013 -               32     961       6     926       2     933    1487    +    4.1e-212  702.4  15.8  -
Francisellaceae           -          A0517_LKAP-FHGF1_B01_013 -               34     944       6     929       2     940    1508    +    2.6e-211  699.8  15.2  -
Thermithiobacillaceae     -          A0517_LKAP-FHGF1_B01_013 -                6     919       4     926       1     934    1419    +    3.5e-211  699.4  15.7  -
Syntrophaceae             -          A0517_LKAP-FHGF1_B01_013 -               41     971       6     926       2     939    1551    +    8.6e-211  698.1  15.2  -
Deltaproteobacteria       -          A0517_LKAP-FHGF1_B01_013 -               39     972       5     926       2     936    1514    +    9.8e-211  698.0  15.6  -
Desulfobacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               37     972       6     926       2     932    1516    +    4.8e-210  695.6  15.7  -
Comamonadaceae            -          A0517_LKAP-FHGF1_B01_013 -               22     939       4     932       2     940    1466    +    7.1e-210  694.8  15.0  -
Clostridiaceae            -          A0517_LKAP-FHGF1_B01_013 -               38     929       6     926       2     931    1485    +    1.3e-209  694.1  16.2  -
Rhodobiaceae              -          A0517_LKAP-FHGF1_B01_013 -               33     892       5     926       2     931    1440    +    1.4e-209  694.4  15.6  -
Desulfovibrionaceae       -          A0517_LKAP-FHGF1_B01_013 -               39     962       6     926       2     939    1527    +    3.9e-209  692.6  15.4  -
Thiobacilliaceae          -          A0517_LKAP-FHGF1_B01_013 -               42     961       5     933       2     940    1517    +    2.8e-208  689.8  15.3  -
Methylothermaceae         -          A0517_LKAP-FHGF1_B01_013 -               45     965       6     930       2     940    1491    +      4e-208  689.2  15.5  -
Acidithiobacillaceae      -          A0517_LKAP-FHGF1_B01_013 -               20     934       4     929       1     940    1457    +    4.9e-208  688.8  15.5  -
Eubacteriaceae            -          A0517_LKAP-FHGF1_B01_013 -               38     939       6     925       2     929    1485    +    1.1e-207  687.7  16.9  -
Clostridiales             -          A0517_LKAP-FHGF1_B01_013 -               31     933       6     926       2     933    1470    +      5e-207  685.6  16.4  -
Desulfuromonadaceae       -          A0517_LKAP-FHGF1_B01_013 -               41     971       6     926       2     936    1518    +    8.4e-207  684.9  15.7  -
Zoogloeaceae              -          A0517_LKAP-FHGF1_B01_013 -               30     945       5     929       2     940    1474    +    1.2e-206  684.3  15.5  -
Alphaproteobacteria       -          A0517_LKAP-FHGF1_B01_013 -               23     882       5     926       2     930    1409    +    1.5e-206  684.3  16.3  -
Syntrophomonadaceae       -          A0517_LKAP-FHGF1_B01_013 -               41     966       6     926       2     935    1515    +    3.2e-206  682.8  15.7  -
Methylocystaceae          -          A0517_LKAP-FHGF1_B01_013 -               35     893       6     925       2     930    1424    +    4.1e-206  682.8  15.7  -
Sneathiellaceae           -          A0517_LKAP-FHGF1_B01_013 -               29     896       6     925       1     930    1427    +    1.8e-205  680.5  15.3  -
Sphingomonadaceae         -          A0517_LKAP-FHGF1_B01_013 -               31     890       6     926       1     930    1434    +    2.7e-205  680.2  14.8  -
Acetobacteraceae          -          A0517_LKAP-FHGF1_B01_013 -               29     890       6     926       2     930    1438    +    5.9e-205  679.0  16.2  -
Desulfohalobiaceae        -          A0517_LKAP-FHGF1_B01_013 -               30     966       6     926       2     939    1509    +    2.7e-204  676.5  15.6  -
Desulfobulbaceae          -          A0517_LKAP-FHGF1_B01_013 -               24     955       5     926       2     934    1483    +    3.7e-204  676.0  15.7  -
Rhizobiales               -          A0517_LKAP-FHGF1_B01_013 -               34     891       6     925       1     931    1438    +    5.5e-203  672.4  15.9  -
Xanthobacteraceae         -          A0517_LKAP-FHGF1_B01_013 -               24     879       6     925       2     929    1415    +    2.5e-201  666.9  15.9  -
Bdellovibrionaceae        -          A0517_LKAP-FHGF1_B01_013 -               20     909       6     926       2     939    1430    +    2.9e-201  666.5  15.3  -
Peptococcaceae            -          A0517_LKAP-FHGF1_B01_013 -               31     926       6     926       2     938    1479    +    3.2e-201  666.2  16.3  -
Wenzhouxiangellaceae      -          A0517_LKAP-FHGF1_B01_013 -               23     948       5     929       2     940    1472    +    3.4e-201  666.1  15.0  -
Rhodobacteraceae          -          A0517_LKAP-FHGF1_B01_013 -               23     883       5     925       1     929    1402    +    3.1e-200  663.2  15.6  -
Erythrobacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               24     883       5     925       2     930    1433    +    1.1e-199  661.5  14.9  -
Hyphomonadaceae           -          A0517_LKAP-FHGF1_B01_013 -               24     881       6     925       2     930    1400    +    1.4e-199  661.2  15.3  -
Syntrophobacteraceae      -          A0517_LKAP-FHGF1_B01_013 -               32     963       6     926       2     939    1496    +    6.4e-199  658.9  15.4  -
Rhizobiaceae              -          A0517_LKAP-FHGF1_B01_013 -               24     880       6     925       2     930    1422    +    1.5e-198  657.6  15.8  -
Ruminococcaceae           -          A0517_LKAP-FHGF1_B01_013 -               23     931       5     926       2     938    1457    +    2.7e-198  656.6  16.1  -
Acidobacteria             -          A0517_LKAP-FHGF1_B01_013 -               41     971       4     926       1     939    1505    +    7.3e-198  655.7  15.4  -
Phyllobacteriaceae        -          A0517_LKAP-FHGF1_B01_013 -               24     880       6     925       2     930    1424    +    1.3e-197  654.6  15.8  -
Methylobacteriaceae       -          A0517_LKAP-FHGF1_B01_013 -               23     883       5     925       2     930    1426    +    8.9e-196  648.4  16.2  -
Thermoanaerobacteraceae   -          A0517_LKAP-FHGF1_B01_013 -               28     940       5     929       1     940    1492    +    1.9e-195  647.1  16.5  -
Brucellaceae              -          A0517_LKAP-FHGF1_B01_013 -               29     884       6     925       2     930    1411    +    1.3e-194  644.6  16.0  -
Anaplasmataceae           -          A0517_LKAP-FHGF1_B01_013 -               35     919       6     931       1     940    1441    +    3.1e-194  643.5  15.2  -
Aurantimonadaceae         -          A0517_LKAP-FHGF1_B01_013 -               41     898       6     925       2     930    1442    +    3.9e-194  643.1  15.6  -
Kordiimonadaceae          -          A0517_LKAP-FHGF1_B01_013 -               21     892       4     925       1     931    1421    +    3.4e-193  640.0  15.9  -
Deferribacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               31     951       6     927       2     935    1513    +    3.6e-193  639.6  15.7  -
Bacillaceae               -          A0517_LKAP-FHGF1_B01_013 -               19     956       3     926       1     938    1493    +      1e-192  638.3  15.7  -
Desulfomicrobiaceae       -          A0517_LKAP-FHGF1_B01_013 -               32     958       5     929       1     940    1495    +    1.5e-192  637.6  14.9  -
Peptostreptococcaceae     -          A0517_LKAP-FHGF1_B01_013 -               24     913       6     925       2     930    1441    +    1.7e-192  637.3  16.7  -
Bacillales                -          A0517_LKAP-FHGF1_B01_013 -               30     963       5     926       2     935    1503    +    1.8e-192  637.5  16.1  -
Beijerinckiaceae          -          A0517_LKAP-FHGF1_B01_013 -               37     894       6     925       2     930    1421    +      4e-192  636.2  16.1  -
Holophagaceae             -          A0517_LKAP-FHGF1_B01_013 -               73     956      54     926      32     939    1502    +      5e-192  636.1  15.3  -
Thermoactinomycetaceae    -          A0517_LKAP-FHGF1_B01_013 -               32     952       6     926       2     936    1495    +    3.8e-191  633.2  16.0  -
Bradyrhizobiaceae         -          A0517_LKAP-FHGF1_B01_013 -               24     884       6     926       2     931    1428    +    6.5e-191  632.2  15.7  -
Lachnospiraceae           -          A0517_LKAP-FHGF1_B01_013 -               24     930       6     926       2     936    1469    +    1.5e-190  630.9  16.5  -
Bacteroidaceae            -          A0517_LKAP-FHGF1_B01_013 -               33     952       6     927       2     933    1480    +    2.3e-190  630.3  16.5  -
Kiloniellaceae            -          A0517_LKAP-FHGF1_B01_013 -               43     910       6     925       2     931    1450    +    7.9e-190  628.5  16.3  -
Streptomycetaceae         -          A0517_LKAP-FHGF1_B01_013 -               24     917       6     926       2     934    1479    +    1.7e-189  627.7  16.6  -
Paenibacillaceae          -          A0517_LKAP-FHGF1_B01_013 -               24     954       5     925       2     934    1493    +    1.9e-189  627.5  16.3  -
Haliangiaceae             -          A0517_LKAP-FHGF1_B01_013 -               40     970       6     926       2     932    1507    +    3.6e-189  626.5  16.1  -
Lactobacillaceae          -          A0517_LKAP-FHGF1_B01_013 -               28     984       7     929       2     940    1522    +      5e-189  626.0  15.0  -
Caulobacteraceae          -          A0517_LKAP-FHGF1_B01_013 -               23     881       5     925       1     930    1415    +    5.8e-189  625.9  15.2  -
Desulfarculaceae          -          A0517_LKAP-FHGF1_B01_013 -               80     967      55     926      11     934    1516    +    1.1e-188  625.0  15.5  -
Nautiliaceae              -          A0517_LKAP-FHGF1_B01_013 -               24     904       6     923       2     936    1431    +    1.2e-188  625.0  16.9  -
Synergistaceae            -          A0517_LKAP-FHGF1_B01_013 -               24     913       6     926       2     931    1450    +    2.3e-188  623.8  17.5  -
Thermoanaerobacterales    -          A0517_LKAP-FHGF1_B01_013 -               30     939       4     926       2     938    1472    +      1e-187  621.6  16.5  -
Alicyclobacillaceae       -          A0517_LKAP-FHGF1_B01_013 -               42     956       5     926       1     936    1512    +    1.5e-187  621.4  16.3  -
Patulibacteraceae         -          A0517_LKAP-FHGF1_B01_013 -               42     950       5     926       1     939    1494    +    4.9e-187  619.1  15.5  -
Micrococcaceae            -          A0517_LKAP-FHGF1_B01_013 -               33     932       6     926       2     935    1476    +    5.6e-187  619.2  16.4  -
Selenomonadaceae          -          A0517_LKAP-FHGF1_B01_013 -               43     978       6     926       2     939    1531    +    3.7e-186  616.4  15.6  -
Spirochaetaceae           -          A0517_LKAP-FHGF1_B01_013 -               30     947       6     927       2     931    1486    +    6.1e-186  615.8  16.4  -
Verrucomicrobiaceae       -          A0517_LKAP-FHGF1_B01_013 -               26     941       7     926       2     937    1470    +    2.2e-185  614.1  16.2  -
Planococcaceae            -          A0517_LKAP-FHGF1_B01_013 -               23     950       5     926       2     939    1491    +    7.2e-185  612.1  15.7  -
Rubrobacteraceae          -          A0517_LKAP-FHGF1_B01_013 -               26     945       8     927       3     939    1495    +    9.7e-185  611.8  15.7  -
Chelatococcaceae          -          A0517_LKAP-FHGF1_B01_013 -               35     892       6     925       2     930    1439    +    2.5e-184  610.6  15.9  -
Heliobacteriaceae         -          A0517_LKAP-FHGF1_B01_013 -               41     941       6     931       2     940    1500    +    3.4e-184  610.0  15.7  -
Polyangiaceae             -          A0517_LKAP-FHGF1_B01_013 -               43     969       6     926       2     931    1548    +    3.6e-184  609.9  15.9  -
Helicobacteraceae         -          A0517_LKAP-FHGF1_B01_013 -               43     926       6     933       2     940    1473    +    5.4e-184  608.9  14.4  -
Halobacteriovoracaceae    -          A0517_LKAP-FHGF1_B01_013 -               22     952       5     925       1     930    1480    +    7.3e-184  608.8  15.8  -
Cystobacteraceae          -          A0517_LKAP-FHGF1_B01_013 -               21     948       4     926       1     931    1491    +    1.3e-183  608.0  15.8  -
Bartonellaceae            -          A0517_LKAP-FHGF1_B01_013 -               24     882       6     925       2     931    1410    +    1.7e-183  607.7  15.4  -
Erysipelotrichaceae       -          A0517_LKAP-FHGF1_B01_013 -               29     934       6     926       2     933    1466    +    1.8e-183  607.7  16.3  -
Spirillaceae              -          A0517_LKAP-FHGF1_B01_013 -               38     963       4     930       2     940    1447    +    2.8e-183  607.1  15.1  -
Oleiphilaceae             -          A0517_LKAP-FHGF1_B01_013 -               32     947       5     936       1     940    1437    +    5.6e-183  605.8  14.8  -
Sporolactobacillaceae     -          A0517_LKAP-FHGF1_B01_013 -               24     947       6     926       2     939    1503    +    9.1e-183  605.2  15.6  -
Rickettsiaceae            -          A0517_LKAP-FHGF1_B01_013 -               24     907       6     938       2     940    1430    +    1.1e-182  605.0  14.2  -
Aerococcaceae             -          A0517_LKAP-FHGF1_B01_013 -               24     953       6     926       2     936    1473    +    2.3e-182  603.9  15.9  -
Campylobacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               23     922       5     931       2     940    1429    +    2.5e-182  603.4  14.9  -
Fusobacteriaceae          -          A0517_LKAP-FHGF1_B01_013 -               41     921       6     925       2     929    1458    +    7.6e-182  602.2  16.5  -
Nitrospiraceae            -          A0517_LKAP-FHGF1_B01_013 -               27     924       4     926       1     937    1479    +    7.9e-182  602.1  15.1  -
Cohaesibacteraceae        -          A0517_LKAP-FHGF1_B01_013 -               67     900      45     925      20     931    1425    +    1.8e-181  601.1  15.5  -
Myxococcaceae             -          A0517_LKAP-FHGF1_B01_013 -               36     964       5     926       1     931    1517    +    1.9e-181  600.7  15.8  -
Parvularculaceae          -          A0517_LKAP-FHGF1_B01_013 -               44     902       6     926       2     938    1428    +      2e-181  601.2  15.0  -
Staphylococcaceae         -          A0517_LKAP-FHGF1_B01_013 -               26     950       6     926       2     939    1479    +    2.3e-181  600.6  15.3  -
Immundisolibacteraceae    -          A0517_LKAP-FHGF1_B01_013 -               53     979       6     936       2     940    1555    +    2.3e-181  600.4  15.0  -
Carnobacteriaceae         -          A0517_LKAP-FHGF1_B01_013 -               24     952       6     925       2     934    1496    +    2.4e-181  600.5  15.9  -
Brevibacteriaceae         -          A0517_LKAP-FHGF1_B01_013 -               34     936       6     926       2     939    1487    +    1.1e-180  598.2  15.8  -
Bacteriovoracaceae        -          A0517_LKAP-FHGF1_B01_013 -               24     947       6     925       2     929    1473    +    1.8e-180  597.6  15.9  -
Rhodothermaceae           -          A0517_LKAP-FHGF1_B01_013 -               24     932       6     928       2     939    1457    +    3.2e-180  596.8  15.8  -
Desulfonatronaceae        -          A0517_LKAP-FHGF1_B01_013 -               23     953       5     929       2     940    1495    +    3.3e-180  596.7  15.1  -
Veillonellaceae           -          A0517_LKAP-FHGF1_B01_013 -                2     939       6     926       5     936    1450    +    4.6e-180  596.1  16.1  -
Porticoccaceae            -          A0517_LKAP-FHGF1_B01_013 -               31     951       5     936       1     940    1497    +    6.5e-180  595.7  14.9  -
Pseudonocardiaceae        -          A0517_LKAP-FHGF1_B01_013 -               30     927       6     928       2     940    1475    +    1.2e-179  594.9  15.9  -
Solirubrobacteraceae      -          A0517_LKAP-FHGF1_B01_013 -                8     928       6     926       2     939    1443    +    1.3e-179  594.6  15.8  -
Acidimicrobiaceae         -          A0517_LKAP-FHGF1_B01_013 -               44     943       6     930       2     940    1464    +    1.8e-179  594.4  15.6  -
Leptospiraceae            -          A0517_LKAP-FHGF1_B01_013 -               55     913      54     929      33     940    1431    +    4.2e-179  593.0  14.3  -
Streptococcaceae          -          A0517_LKAP-FHGF1_B01_013 -               30     959       6     926       2     938    1497    +    6.7e-179  592.4  15.7  -
Thermolithobacteraceae    -          A0517_LKAP-FHGF1_B01_013 -               44     985       6     926       2     939    1546    +    1.7e-178  590.8  15.6  -
Parviterribacteraceae     -          A0517_LKAP-FHGF1_B01_013 -               24     924       6     920       2     937    1456    +    2.3e-178  590.6  15.8  -
Halanaerobiaceae          -          A0517_LKAP-FHGF1_B01_013 -               32     970       6     926       2     939    1503    +    4.3e-178  589.6  15.9  -
Flammeovirgaceae          -          A0517_LKAP-FHGF1_B01_013 -               23     929       5     926       2     931    1446    +    7.7e-178  589.1  16.1  -
Ventosimonadaceae         -          A0517_LKAP-FHGF1_B01_013 -               50     975       5     934       1     940    1489    +    1.1e-177  588.2  15.2  -
Conexibacteraceae         -          A0517_LKAP-FHGF1_B01_013 -               44     965       6     926       2     939    1536    +    1.7e-177  587.5  16.0  -
Mycoplasmataceae          -          A0517_LKAP-FHGF1_B01_013 -               19     920       6     924       2     935    1467    +    1.9e-177  587.8  15.6  -
Intrasporangiaceae        -          A0517_LKAP-FHGF1_B01_013 -               24     926       6     929       2     940    1461    +    9.8e-177  585.2  15.8  -
Microbacteriaceae         -          A0517_LKAP-FHGF1_B01_013 -               27     925       6     926       2     938    1464    +      1e-176  585.1  16.3  -
Nakamurellaceae           -          A0517_LKAP-FHGF1_B01_013 -               24     917       6     927       2     939    1462    +    1.2e-176  584.9  16.0  -
Nocardiaceae              -          A0517_LKAP-FHGF1_B01_013 -               24     918       6     928       2     940    1472    +      2e-176  584.3  16.1  -
Flavobacteriaceae         -          A0517_LKAP-FHGF1_B01_013 -               22     938       5     927       1     931    1451    +    2.2e-176  584.0  16.2  -
Oscillatoriales           -          A0517_LKAP-FHGF1_B01_013 -               24     896       6     935       2     940    1445    +    2.2e-176  584.2  14.9  -
Propionibacteriaceae      -          A0517_LKAP-FHGF1_B01_013 -               28     923       6     926       2     936    1462    +    2.3e-176  584.1  16.3  -
Actinomycetaceae          -          A0517_LKAP-FHGF1_B01_013 -               24     949       6     926       2     936    1468    +    3.1e-176  583.6  16.2  -
Nannocystaceae            -          A0517_LKAP-FHGF1_B01_013 -               38     948       6     927       2     933    1487    +    3.4e-176  583.5  16.2  -
Calditrichaeota           -          A0517_LKAP-FHGF1_B01_013 -               31     957       6     926       2     938    1483    +    4.1e-176  583.4  15.5  -
Algiphilaceae             -          A0517_LKAP-FHGF1_B01_013 -               44     963       6     936       2     940    1501    +    8.3e-176  581.9  15.2  -
Acidaminococcaceae        -          A0517_LKAP-FHGF1_B01_013 -               31     959       6     926       2     939    1504    +    2.3e-175  580.3  15.1  -
Listeriaceae              -          A0517_LKAP-FHGF1_B01_013 -               11     936       6     926       2     939    1448    +    3.7e-175  580.2  15.4  -
Micromonosporaceae        -          A0517_LKAP-FHGF1_B01_013 -               38     934       6     929       2     940    1482    +    1.3e-174  578.2  15.7  -
Corynebacteriaceae        -          A0517_LKAP-FHGF1_B01_013 -               23     926       6     929       2     940    1459    +    2.6e-174  577.1  16.1  -
Salinibacteraceae         -          A0517_LKAP-FHGF1_B01_013 -               49     963       6     929       2     940    1497    +    3.9e-174  576.7  15.3  -
