# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales                -          LKAP-GUTHK2_C04_028_2017_1 -               18    1189       1    1143       1    1145    1503    +           0 1088.8  18.0  -
Clostridiaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               26    1092       2    1086       1    1127    1485    +    5.5e-261  864.6  16.3  -
Leuconostocaceae          -          LKAP-GUTHK2_C04_028_2017_1 -                8    1178       2    1143       1    1145    1479    +    4.6e-260  861.8  18.8  -
Clostridiales             -          LKAP-GUTHK2_C04_028_2017_1 -               18    1162       1    1143       1    1145    1470    +    3.1e-259  858.9  17.6  -
Erysipelotrichaceae       -          LKAP-GUTHK2_C04_028_2017_1 -               17    1154       2    1143       1    1145    1466    +      1e-257  854.0  17.9  -
Streptococcaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               18    1183       2    1143       1    1145    1497    +    5.5e-254  841.6  18.1  -
Peptostreptococcaceae     -          LKAP-GUTHK2_C04_028_2017_1 -               12    1142       2    1143       1    1145    1441    +    4.4e-253  838.4  16.9  -
Thermoanaerobacteraceae   -          LKAP-GUTHK2_C04_028_2017_1 -               18    1107       2    1083       1    1106    1492    +      9e-245  810.8  17.0  -
Ruminococcaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               12    1151       2    1142       1    1145    1457    +    5.9e-244  808.2  17.9  -
Syntrophomonadaceae       -          LKAP-GUTHK2_C04_028_2017_1 -               29    1120       2    1081       1    1105    1515    +    2.4e-242  802.8  18.0  -
Thermoanaerobacterales    -          LKAP-GUTHK2_C04_028_2017_1 -               20    1099       2    1078       1    1100    1472    +    2.6e-241  799.5  18.3  -
Mycoplasmataceae          -          LKAP-GUTHK2_C04_028_2017_1 -               13    1140       8    1142       1    1145    1467    +    7.1e-238  788.4  17.4  -
Lachnospiraceae           -          LKAP-GUTHK2_C04_028_2017_1 -               12    1090       2    1086       1    1126    1469    +    6.7e-234  774.9  17.5  -
Brevibacteriaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               23    1163       3    1143       1    1145    1487    +    1.3e-233  773.9  17.4  -
Geobacteraceae            -          LKAP-GUTHK2_C04_028_2017_1 -               20    1187       2    1143       1    1145    1487    +    1.3e-233  773.9  17.7  -
Heliobacteriaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               29    1075       2    1066       1    1100    1500    +    1.7e-233  773.6  17.6  -
Deltaproteobacteria       -          LKAP-GUTHK2_C04_028_2017_1 -               28    1200       2    1143       1    1145    1514    +    2.3e-231  766.6  18.2  -
Selenomonadaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               31    1134       2    1082       1    1105    1531    +    2.9e-230  762.8  17.4  -
Halanaerobiaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               20    1198       2    1143       1    1145    1503    +      3e-230  762.8  19.0  -
Spirochaetaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               17    1174       1    1143       1    1145    1486    +    4.7e-230  762.3  17.7  -
Desulfuromonadaceae       -          LKAP-GUTHK2_C04_028_2017_1 -               29    1198       2    1143       1    1145    1518    +    7.9e-230  761.5  17.8  -
Veillonellaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               49    1155      70    1133      50    1145    1450    +      1e-228  757.6  15.7  -
Natranaerobiaceae         -          LKAP-GUTHK2_C04_028_2017_1 -                5    1138      16    1143      12    1145    1429    +    2.2e-227  753.3  16.5  -
Desulfovibrionaceae       -          LKAP-GUTHK2_C04_028_2017_1 -               27    1116       2    1078       1    1099    1527    +    2.3e-227  753.3  18.2  -
Gammaproteobacteria       -          LKAP-GUTHK2_C04_028_2017_1 -               12    1165       2    1143       1    1145    1481    +    3.2e-227  752.6  17.6  -
Sporomusaceae             -          LKAP-GUTHK2_C04_028_2017_1 -               31    1197       2    1142       1    1145    1535    +    3.5e-227  752.5  17.8  -
Peptoniphilaceae          -          LKAP-GUTHK2_C04_028_2017_1 -                2    1126      16    1142      15    1145    1437    +    1.2e-226  751.1  17.2  -
Deferribacteraceae        -          LKAP-GUTHK2_C04_028_2017_1 -               19    1094       2    1066       1    1093    1513    +    2.7e-225  746.3  18.3  -
Rhodospirillaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               21    1117       9    1143       1    1145    1429    +    3.1e-225  746.4  16.0  -
Halobacteroidaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               20    1100       2    1081       1    1103    1478    +    3.4e-225  745.9  17.1  -
Spiroplasmataceae         -          LKAP-GUTHK2_C04_028_2017_1 -               76    1117      70    1099      46    1120    1516    +    4.4e-225  746.1  15.0  -
Desulfobacteraceae        -          LKAP-GUTHK2_C04_028_2017_1 -               25    1128       2    1081       1    1105    1516    +      2e-224  743.6  17.5  -
Micrococcaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               21    1089       2    1082       1    1105    1476    +    5.9e-224  742.1  17.2  -
Bacteroidaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               31    1099      12    1078       1    1102    1480    +    7.4e-222  735.0  18.5  -
Bdellovibrionaceae        -          LKAP-GUTHK2_C04_028_2017_1 -                8    1133       2    1143       1    1145    1430    +    7.9e-222  735.0  16.7  -
Thermoleophilaceae        -          LKAP-GUTHK2_C04_028_2017_1 -                6    1176       3    1143       1    1145    1494    +    1.1e-221  734.3  17.8  -
Symbiobacteriaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               10    1177       7    1143       1    1145    1468    +    1.5e-220  731.0  18.0  -
Acidaminococcaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               19    1119       2    1086       1    1107    1504    +    2.3e-220  729.7  16.8  -
Desulfobulbaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               14    1186       3    1143       1    1145    1483    +    3.2e-220  729.6  17.7  -
Streptomycetaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               12    1136       2    1133       1    1145    1479    +      5e-220  729.1  17.2  -
Desulfohalobiaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               18    1123       2    1081       1    1102    1509    +      1e-219  728.0  17.8  -
Fusobacteriaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               71    1098      67    1097      46    1124    1458    +    1.3e-219  727.7  14.3  -
Rubrobacteraceae          -          LKAP-GUTHK2_C04_028_2017_1 -               14    1167       4    1143       1    1145    1495    +    6.6e-219  725.3  18.0  -
Acetobacteraceae          -          LKAP-GUTHK2_C04_028_2017_1 -               55    1119      67    1143      45    1145    1438    +    2.2e-218  723.8  15.0  -
Ectothiorhodospiraceae    -          LKAP-GUTHK2_C04_028_2017_1 -               19    1171       2    1143       1    1145    1463    +    3.4e-218  723.0  18.0  -
Syntrophaceae             -          LKAP-GUTHK2_C04_028_2017_1 -               29    1196       2    1142       1    1145    1551    +    1.2e-217  721.0  17.5  -
Anaeroplasmataceae        -          LKAP-GUTHK2_C04_028_2017_1 -               39    1155       2    1142       1    1145    1453    +    1.7e-217  720.7  15.5  -
Microbacteriaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               15    1150       2    1143       1    1145    1464    +    2.5e-217  720.0  17.1  -
Leptospiraceae            -          LKAP-GUTHK2_C04_028_2017_1 -               11    1131       1    1143       1    1145    1431    +    1.2e-216  717.7  16.2  -
Hyphomicrobiaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               23    1110      13    1143       1    1145    1427    +    6.2e-216  715.5  15.8  -
Syntrophobacteraceae      -          LKAP-GUTHK2_C04_028_2017_1 -               20    1189       2    1142       1    1145    1496    +    7.8e-216  715.3  18.1  -
Pseudonocardiaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               18    1079       2    1082       1    1102    1475    +    1.1e-215  714.7  17.3  -
Hyphomonadaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               21    1112      11    1143       1    1145    1400    +      4e-215  713.0  15.9  -
Methylococcaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               36    1173      12    1143       1    1145    1481    +    5.2e-215  712.3  17.5  -
Alphaproteobacteria       -          LKAP-GUTHK2_C04_028_2017_1 -               12    1110       2    1143       1    1145    1409    +    7.9e-215  712.0  16.1  -
Acholeplasmataceae        -          LKAP-GUTHK2_C04_028_2017_1 -                4    1138       2    1142       1    1145    1437    +    2.1e-214  710.2  17.7  -
Rhodobiaceae              -          LKAP-GUTHK2_C04_028_2017_1 -               31    1120      11    1143       1    1145    1440    +    2.3e-213  707.2  15.5  -
Calditrichaeota           -          LKAP-GUTHK2_C04_028_2017_1 -               19    1113       2    1084       1    1105    1483    +    2.3e-213  707.1  17.4  -
Entomoplasmataceae        -          LKAP-GUTHK2_C04_028_2017_1 -               21    1105       4    1099       1    1119    1497    +    7.9e-213  705.4  15.5  -
Caldicoprobacteraceae     -          LKAP-GUTHK2_C04_028_2017_1 -               28    1115       2    1080       1    1102    1530    +      1e-212  704.7  17.8  -
Acidobacteria             -          LKAP-GUTHK2_C04_028_2017_1 -               31    1195       1    1143       1    1145    1505    +    2.4e-212  704.0  18.3  -
Thermomonosporaceae       -          LKAP-GUTHK2_C04_028_2017_1 -               13    1128       3    1132       1    1145    1464    +    2.7e-212  703.4  17.5  -
Alteromonadaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               14    1164       4    1143       1    1145    1468    +    2.7e-212  703.2  17.4  -
Chrysiogenaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               32    1163       2    1143       1    1145    1513    +    3.5e-212  703.1  16.4  -
Glycomycetaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               19    1145       2    1132       1    1143    1495    +    4.3e-212  702.9  17.9  -
Spongiibacteraceae        -          LKAP-GUTHK2_C04_028_2017_1 -               16    1161       3    1141       1    1145    1462    +    7.1e-212  701.8  17.3  -
Chromatiaceae             -          LKAP-GUTHK2_C04_028_2017_1 -               13    1155       3    1143       1    1145    1455    +    7.7e-212  701.9  17.6  -
Oceanospirillaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               24    1167      14    1143       1    1145    1467    +    8.5e-212  701.6  17.1  -
Actinomycetaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               12    1163       2    1133       1    1145    1468    +    9.7e-212  701.6  18.0  -
Piscirickettsiaceae       -          LKAP-GUTHK2_C04_028_2017_1 -               17    1167       5    1143       1    1145    1466    +    1.6e-211  700.6  17.5  -
Oceanospirillales         -          LKAP-GUTHK2_C04_028_2017_1 -               19    1171       3    1143       1    1145    1489    +    2.4e-211  700.0  17.5  -
Lysobacteraceae           -          LKAP-GUTHK2_C04_028_2017_1 -               14    1168       3    1143       1    1145    1484    +      9e-211  698.3  17.7  -
Micromonosporaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               26    1082       2    1080       1    1101    1482    +    1.2e-210  697.9  17.6  -
Kineosporiaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               20    1136       2    1133       1    1145    1463    +    1.3e-210  698.0  17.2  -
Hahellaceae               -          LKAP-GUTHK2_C04_028_2017_1 -               22    1163      12    1142       1    1145    1473    +    3.6e-210  696.3  17.7  -
Desulfonatronaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               12    1110       2    1085       1    1105    1495    +    5.1e-210  695.8  17.3  -
Halothiobacillaceae       -          LKAP-GUTHK2_C04_028_2017_1 -               35    1183      10    1143       1    1145    1500    +    5.7e-210  695.6  17.6  -
Geodermatophilaceae       -          LKAP-GUTHK2_C04_028_2017_1 -               26    1086       3    1082       1    1143    1479    +    6.1e-210  695.6  17.5  -
Thiotrichaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               19    1122      11    1143       1    1145    1421    +    8.5e-210  695.0  16.1  -
Caulobacteraceae          -          LKAP-GUTHK2_C04_028_2017_1 -               16    1106       6    1143       1    1145    1415    +    1.2e-209  694.7  15.5  -
Synergistaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               11    1058       1    1065       1    1085    1450    +    1.3e-209  694.5  19.0  -
Streptosporangiaceae      -          LKAP-GUTHK2_C04_028_2017_1 -               12    1062       2    1079       1    1100    1464    +    3.4e-209  693.0  17.1  -
Cellvibrionaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               13    1165       3    1143       1    1145    1472    +    4.5e-209  692.6  17.8  -
Pseudomonadaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               19    1170       2    1143       1    1145    1491    +    1.3e-208  691.0  17.5  -
Erythrobacteraceae        -          LKAP-GUTHK2_C04_028_2017_1 -               13    1112       2    1143       1    1145    1433    +    2.5e-208  690.5  15.2  -
Methylocystaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               34    1119      13    1143       1    1145    1424    +    2.6e-208  690.3  15.7  -
Kangiellaceae             -          LKAP-GUTHK2_C04_028_2017_1 -               80    1174      70    1141      50    1145    1479    +    7.3e-208  688.6  15.6  -
Sphingomonadaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               58    1118      68    1143      39    1145    1434    +    1.8e-207  687.7  14.6  -
Intrasporangiaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               12    1076       2    1080       1    1103    1461    +    2.9e-207  686.7  17.5  -
Rhodobacteraceae          -          LKAP-GUTHK2_C04_028_2017_1 -               12    1114       2    1143       1    1145    1402    +    4.9e-207  686.1  16.2  -
Patulibacteraceae         -          LKAP-GUTHK2_C04_028_2017_1 -               32    1173       2    1143       1    1145    1494    +    8.3e-207  685.0  18.0  -
Thermolithobacteraceae    -          LKAP-GUTHK2_C04_028_2017_1 -               32    1220       2    1143       1    1145    1546    +    1.8e-206  683.8  18.4  -
Nannocystaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               27    1171       3    1143       1    1145    1487    +    2.1e-206  683.9  17.2  -
Dermacoccaceae            -          LKAP-GUTHK2_C04_028_2017_1 -                9    1066       2    1077       1    1101    1456    +    2.8e-206  683.3  17.9  -
Coxiellaceae              -          LKAP-GUTHK2_C04_028_2017_1 -               12    1172       2    1142       1    1145    1475    +    4.5e-206  682.7  18.1  -
Nocardioidaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               12    1129       2    1131       1    1145    1455    +    5.4e-206  682.6  17.3  -
Bogoriellaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               12    1081       2    1085       1    1143    1470    +    7.9e-206  681.9  17.6  -
Nocardiaceae              -          LKAP-GUTHK2_C04_028_2017_1 -               12    1139       2    1142       1    1145    1472    +    9.9e-206  681.7  17.5  -
Nocardiopsaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               12    1083       2    1081       1    1102    1475    +    1.5e-205  681.1  17.4  -
Rhizobiales               -          LKAP-GUTHK2_C04_028_2017_1 -               29    1101      11    1127       1    1145    1438    +    1.6e-205  681.1  15.7  -
Chromobacteriaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               14    1158       5    1143       1    1145    1460    +    2.3e-205  680.5  17.4  -
Conexibacteraceae         -          LKAP-GUTHK2_C04_028_2017_1 -               32    1188       2    1143       1    1145    1536    +    2.9e-205  679.8  18.1  -
Thioalkalispiraceae       -          LKAP-GUTHK2_C04_028_2017_1 -               86    1183      71    1143      50    1145    1479    +    3.6e-205  679.6  15.7  -
Dermatophilaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               17    1071       2    1077       1    1099    1480    +    5.7e-205  679.1  17.9  -
Defluviitaleaceae         -          LKAP-GUTHK2_C04_028_2017_1 -                3    1068       2    1086       1    1106    1413    +    9.7e-205  678.4  16.5  -
Methylobacteriaceae       -          LKAP-GUTHK2_C04_028_2017_1 -               12    1090       2    1127       1    1145    1426    +    1.3e-204  678.0  15.9  -
Alteromonadales           -          LKAP-GUTHK2_C04_028_2017_1 -               71    1165      70    1141      50    1145    1468    +    1.5e-204  677.3  15.5  -
Halieaceae                -          LKAP-GUTHK2_C04_028_2017_1 -               27    1165       9    1142       1    1145    1484    +    2.9e-204  676.6  17.7  -
Haloplasmataceae          -          LKAP-GUTHK2_C04_028_2017_1 -               13    1138       2    1133       1    1145    1345    +    3.8e-204  676.2  17.3  -
Promicromonosporaceae     -          LKAP-GUTHK2_C04_028_2017_1 -               13    1072       3    1082       1    1103    1462    +    6.8e-204  675.6  16.9  -
Cellulomonadaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               16    1078       2    1082       1    1104    1465    +    8.5e-204  675.3  17.1  -
Sneathiellaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               26    1126      11    1143       1    1145    1427    +      1e-203  675.0  16.2  -
Thermodesulfobiaceae      -          LKAP-GUTHK2_C04_028_2017_1 -               28    1116       2    1093       1    1113    1520    +    1.3e-203  674.5  15.8  -
Rhizobiaceae              -          LKAP-GUTHK2_C04_028_2017_1 -               19    1083       9    1122       1    1143    1422    +    1.5e-203  674.5  15.8  -
Acidimicrobiaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               32    1163       2    1143       1    1145    1464    +    1.7e-203  674.3  17.6  -
Litoricolaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               22    1169       4    1141       1    1145    1474    +    1.8e-203  674.2  17.5  -
Propionibacteriaceae      -          LKAP-GUTHK2_C04_028_2017_1 -               16    1134       2    1133       1    1145    1462    +    2.2e-203  673.9  17.0  -
Alcanivoracaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               32    1182       2    1141       1    1145    1504    +    5.2e-203  672.4  17.8  -
Thiotrichales             -          LKAP-GUTHK2_C04_028_2017_1 -               41    1183      11    1143       1    1145    1519    +    1.9e-202  670.4  17.1  -
Phyllobacteriaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               18    1109       8    1142       1    1145    1424    +    4.6e-202  669.6  15.9  -
Desulfomicrobiaceae       -          LKAP-GUTHK2_C04_028_2017_1 -               23    1109       3    1078       1    1099    1495    +    5.5e-202  669.2  17.9  -
Parviterribacteraceae     -          LKAP-GUTHK2_C04_028_2017_1 -               12    1153       2    1143       1    1145    1456    +    1.1e-201  668.1  17.8  -
Sanguibacteraceae         -          LKAP-GUTHK2_C04_028_2017_1 -               29    1160       2    1143       1    1145    1483    +    1.3e-201  668.0  17.0  -
Frankiales                -          LKAP-GUTHK2_C04_028_2017_1 -               19    1144       2    1142       1    1145    1425    +      2e-201  667.5  17.5  -
Dermabacteraceae          -          LKAP-GUTHK2_C04_028_2017_1 -               22    1080       3    1080       1    1102    1470    +    2.1e-201  667.1  17.6  -
Cryptosporangiaceae       -          LKAP-GUTHK2_C04_028_2017_1 -               12    1062       2    1078       1    1102    1470    +    2.8e-201  666.9  17.5  -
Jiangellaceae             -          LKAP-GUTHK2_C04_028_2017_1 -               18    1133       2    1132       1    1145    1497    +    3.1e-201  666.7  17.2  -
Sporichthyaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               12    1067       2    1081       1    1105    1472    +    5.1e-201  666.1  17.0  -
Saccharospirillaceae      -          LKAP-GUTHK2_C04_028_2017_1 -               21    1159      10    1143       1    1145    1468    +    8.2e-201  665.2  17.7  -
Frankiaceae               -          LKAP-GUTHK2_C04_028_2017_1 -               33    1085       2    1085       1    1143    1499    +    9.9e-201  665.2  16.5  -
Halomonadaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               12    1163       2    1142       1    1145    1466    +    1.3e-200  664.5  17.8  -
Aurantimonadaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               37    1100      10    1123       1    1143    1442    +    2.4e-200  664.0  15.6  -
Bradyrhizobiaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               55    1110      70    1142      49    1145    1428    +      3e-200  663.4  15.1  -
Iamiaceae                 -          LKAP-GUTHK2_C04_028_2017_1 -               12    1147       2    1143       1    1145    1480    +      3e-200  663.7  17.6  -
Brucellaceae              -          LKAP-GUTHK2_C04_028_2017_1 -               29    1112      14    1142       1    1145    1411    +    3.3e-200  663.5  15.6  -
Arenicellaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               24    1159      14    1143       2    1145    1488    +      5e-200  662.8  16.9  -
Beutenbergiaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               12    1144       2    1142       1    1145    1472    +    5.4e-200  662.6  17.7  -
Nakamurellaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               13    1069       3    1082       1    1112    1462    +    5.8e-200  662.5  16.7  -
Vibrionaceae              -          LKAP-GUTHK2_C04_028_2017_1 -               13    1174       3    1141       1    1145    1474    +    9.8e-200  661.6  18.4  -
Desulfarculaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               32    1118      13    1077       1    1100    1516    +    1.4e-199  661.3  17.8  -
Solirubrobacteraceae      -          LKAP-GUTHK2_C04_028_2017_1 -               50    1151      71    1143      45    1145    1443    +    1.6e-199  661.0  15.9  -
Rhodanobacteraceae        -          LKAP-GUTHK2_C04_028_2017_1 -               13    1168       2    1143       1    1145    1473    +      2e-199  660.8  17.9  -
Nitrospiraceae            -          LKAP-GUTHK2_C04_028_2017_1 -               18    1149       2    1133       1    1145    1479    +    3.8e-199  659.8  16.8  -
Streptosporangineae       -          LKAP-GUTHK2_C04_028_2017_1 -                3    1039      15    1079      13    1100    1443    +    6.5e-199  658.9  16.6  -
Actinospicaceae           -          LKAP-GUTHK2_C04_028_2017_1 -                4    1108      17    1130      14    1145    1425    +    8.2e-199  658.7  16.4  -
Beijerinckiaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               67    1123      71    1142      49    1145    1421    +    8.6e-199  658.6  15.0  -
Cohaesibacteraceae        -          LKAP-GUTHK2_C04_028_2017_1 -               61    1129      45    1143      23    1145    1425    +    1.4e-198  658.1  14.9  -
Thermodesulfobacteriaceae -          LKAP-GUTHK2_C04_028_2017_1 -               12    1121       2    1081       1    1102    1497    +    1.6e-198  657.9  17.3  -
Nautiliaceae              -          LKAP-GUTHK2_C04_028_2017_1 -               12    1068       2    1081       1    1101    1431    +    3.1e-198  657.1  17.0  -
Parvularculaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               32    1129       2    1143       1    1145    1428    +    3.7e-198  656.9  15.5  -
Xanthobacteraceae         -          LKAP-GUTHK2_C04_028_2017_1 -               23    1089      13    1127       1    1145    1415    +    4.3e-198  656.4  15.4  -
Demequinaceae             -          LKAP-GUTHK2_C04_028_2017_1 -               12    1143       2    1143       1    1145    1478    +    5.5e-198  655.9  17.1  -
Haliangiaceae             -          LKAP-GUTHK2_C04_028_2017_1 -               29    1117       3    1074       1    1088    1507    +    9.7e-198  655.2  18.9  -
Holophagaceae             -          LKAP-GUTHK2_C04_028_2017_1 -               76    1110      75    1082      55    1104    1502    +    3.8e-197  653.3  15.7  -
Micrococcales             -          LKAP-GUTHK2_C04_028_2017_1 -               12    1069       2    1080       1    1100    1475    +    4.8e-197  652.9  17.4  -
Corynebacteriaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               11    1079       2    1082       1    1105    1459    +    5.5e-197  652.5  16.7  -
Thermaceae                -          LKAP-GUTHK2_C04_028_2017_1 -               26    1079       6    1080       1    1101    1477    +    6.7e-197  652.5  17.3  -
Rhodothermaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               12    1065       2    1065       1    1086    1457    +    9.8e-197  651.8  19.1  -
Rhodocyclaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               12    1163       2    1143       1    1145    1484    +      1e-196  651.7  18.0  -
Morganellaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               75    1169      71    1143      50    1145    1487    +    1.2e-196  651.6  15.6  -
Polyangiaceae             -          LKAP-GUTHK2_C04_028_2017_1 -               31    1125       2    1080       1    1100    1548    +    1.4e-196  651.4  18.0  -
Cystobacteraceae          -          LKAP-GUTHK2_C04_028_2017_1 -               12    1170       2    1143       1    1145    1491    +    1.4e-196  651.2  17.0  -
Ruaniaceae                -          LKAP-GUTHK2_C04_028_2017_1 -               36    1177       2    1143       1    1145    1531    +      4e-196  649.6  17.7  -
Bacteriovoracaceae        -          LKAP-GUTHK2_C04_028_2017_1 -               16    1121       6    1096       1    1117    1473    +    5.4e-196  649.3  16.8  -
Dietziaceae               -          LKAP-GUTHK2_C04_028_2017_1 -                3    1055       2    1078       1    1100    1452    +    7.7e-196  648.9  17.6  -
Myxococcaceae             -          LKAP-GUTHK2_C04_028_2017_1 -               26    1186       2    1143       1    1145    1517    +    9.3e-196  648.5  16.9  -
Acidiferrobacteraceae     -          LKAP-GUTHK2_C04_028_2017_1 -               62    1155      70    1143      35    1145    1454    +    9.4e-196  648.6  16.4  -
Corynebacterineae         -          LKAP-GUTHK2_C04_028_2017_1 -               12    1138       2    1142       1    1145    1473    +    9.4e-196  648.6  17.6  -
Burkholderiaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               12    1154       2    1143       1    1145    1482    +    1.1e-195  648.4  18.1  -
Nevskiaceae               -          LKAP-GUTHK2_C04_028_2017_1 -               27    1158       8    1143       1    1145    1470    +    1.9e-195  647.7  16.8  -
Shewanellaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               14    1166       4    1141       1    1145    1483    +    2.2e-195  647.3  17.5  -
Caldilineaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               19    1076       2    1080       1    1106    1434    +    2.7e-195  647.0  17.4  -
Moraxellaceae             -          LKAP-GUTHK2_C04_028_2017_1 -               17    1146      10    1134       1    1145    1468    +    5.6e-195  646.1  17.3  -
