# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_E01_007_2017_1 -               27    1030      19    1027       4    1031    1474    +           0 1118.8  20.5  -
Psychromonadaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               27    1020      19    1027       4    1031    1467    +      1e-278  923.4  20.5  -
Moritellaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               42    1037      19    1027       5    1031    1501    +    3.2e-276  914.9  20.6  -
Thorselliaceae            -          LKAP-GUTHK2_E01_007_2017_1 -                6     989      24    1027      20    1031    1419    +      2e-275  912.3  20.3  -
Chromatiaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               27    1002      19    1019       4    1031    1455    +    5.9e-273  904.3  21.3  -
Oceanospirillales         -          LKAP-GUTHK2_E01_007_2017_1 -               33    1025      19    1027       4    1032    1489    +    7.8e-273  903.6  21.0  -
Pseudomonadaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               34    1024      19    1027       4    1031    1491    +    3.3e-272  901.7  20.7  -
Cellvibrionaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               27    1019      19    1027       4    1031    1472    +    4.2e-272  901.4  20.7  -
Pasteurellaceae           -          LKAP-GUTHK2_E01_007_2017_1 -               27    1021      19    1027       6    1031    1422    +    4.3e-270  894.7  20.2  -
Piscirickettsiaceae       -          LKAP-GUTHK2_E01_007_2017_1 -               29    1022      19    1026       5    1031    1466    +    1.4e-269  893.0  20.8  -
Celerinatantimonadaceae   -          LKAP-GUTHK2_E01_007_2017_1 -               22    1027      19    1027       6    1031    1433    +      7e-269  890.8  21.0  -
Alcanivoracaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               42    1031      16    1018       4    1032    1504    +      7e-269  890.6  20.8  -
Methylococcaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               41    1027      19    1027       5    1031    1481    +      5e-266  881.2  21.0  -
Hahellaceae               -          LKAP-GUTHK2_E01_007_2017_1 -               17    1017      11    1026       2    1032    1473    +      9e-266  880.5  21.2  -
Succinivibrionaceae       -          LKAP-GUTHK2_E01_007_2017_1 -               30     995      19    1025       6    1030    1473    +    5.1e-265  877.9  20.3  -
Orbaceae                  -          LKAP-GUTHK2_E01_007_2017_1 -               54    1044      19    1027       6    1031    1539    +    7.5e-265  877.3  20.6  -
Halieaceae                -          LKAP-GUTHK2_E01_007_2017_1 -               35    1019      19    1026       5    1032    1484    +    5.1e-263  871.2  21.2  -
Thioalkalispiraceae       -          LKAP-GUTHK2_E01_007_2017_1 -               39    1030      19    1018       4    1032    1479    +      6e-260  861.0  20.6  -
Halomonadaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               27    1019      19    1027       3    1031    1466    +    1.3e-259  859.9  21.0  -
Moraxellaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               24    1002      19    1017       5    1029    1468    +    2.1e-259  859.5  20.9  -
Ectothiorhodospiraceae    -          LKAP-GUTHK2_E01_007_2017_1 -               34    1018      19    1018       4    1032    1463    +    9.4e-259  857.3  21.2  -
Spongiibacteraceae        -          LKAP-GUTHK2_E01_007_2017_1 -               29    1015      18    1025       3    1032    1462    +    9.4e-258  853.7  21.0  -
Lysobacteraceae           -          LKAP-GUTHK2_E01_007_2017_1 -               23    1022      16    1027       3    1031    1484    +    2.9e-257  852.3  20.9  -
Saccharospirillaceae      -          LKAP-GUTHK2_E01_007_2017_1 -               29    1012      19    1026       3    1032    1468    +      6e-257  851.1  20.5  -
Halothiobacillaceae       -          LKAP-GUTHK2_E01_007_2017_1 -               44    1030      19    1018       5    1032    1500    +    1.1e-256  850.4  20.8  -
Thermoleophilaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               20    1018      19    1022       5    1030    1494    +    7.2e-256  847.5  20.8  -
Litoricolaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               35    1016      19    1016       5    1032    1474    +    2.8e-255  845.8  20.8  -
Microbulbiferaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               27    1011      19    1025       4    1032    1480    +    8.6e-255  844.2  20.8  -
Kangiellaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               36    1032      19    1027       5    1032    1479    +      1e-254  843.7  20.4  -
Thiotrichaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               27     976      19    1027       4    1031    1421    +    2.6e-248  822.5  19.3  -
Cardiobacteriaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               35    1024      19    1027       6    1031    1464    +    2.9e-248  822.7  20.5  -
Chromobacteriaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               26    1006      19    1018       5    1029    1460    +      3e-247  819.1  20.9  -
Granulosicoccaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               27    1013      19    1018       6    1029    1471    +    5.3e-244  808.4  20.9  -
Nevskiaceae               -          LKAP-GUTHK2_E01_007_2017_1 -               38    1006      21    1018       6    1030    1470    +    8.2e-244  807.9  20.9  -
Legionellaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               23    1018      19    1027       6    1031    1446    +    1.9e-243  806.5  20.2  -
Rhodocyclaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               27    1011      19    1018       4    1029    1484    +    4.7e-243  805.1  20.9  -
Coxiellaceae              -          LKAP-GUTHK2_E01_007_2017_1 -               27    1018      19    1017       5    1032    1475    +    5.9e-241  798.2  20.7  -
Rhodanobacteraceae        -          LKAP-GUTHK2_E01_007_2017_1 -               28    1011      19    1015       4    1029    1473    +    3.5e-240  795.7  20.6  -
Arenicellaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               34    1013      25    1027       6    1030    1488    +    2.1e-239  793.1  20.9  -
Neisseriaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               41    1026      19    1018       5    1030    1477    +    3.1e-239  792.5  20.7  -
Thiotrichales             -          LKAP-GUTHK2_E01_007_2017_1 -               47    1039      19    1027       7    1030    1519    +    1.3e-236  783.4  20.6  -
Rhodospirillaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               30     972      20    1027       4    1030    1429    +    8.1e-236  781.3  19.7  -
Burkholderiaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               27     994      19    1007       5    1027    1482    +    2.3e-235  779.7  20.6  -
Alcaligenaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               27     996      19    1006       6    1026    1467    +    4.9e-235  778.7  20.5  -
Acidiferrobacteraceae     -          LKAP-GUTHK2_E01_007_2017_1 -               64    1005      66    1020      57    1030    1454    +      1e-233  774.2  21.1  -
Sutterellaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               27     973      19     981       3    1006    1487    +      3e-232  769.2  20.9  -
Hydrogenophilaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               27    1009      19    1018       5    1030    1461    +    5.9e-232  768.5  20.9  -
Salinisphaeraceae         -          LKAP-GUTHK2_E01_007_2017_1 -               15     996      19    1017       8    1032    1429    +    2.9e-230  762.8  21.2  -
Sulfuricellaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               28     969      19     976       4     997    1463    +    8.8e-230  761.2  20.8  -
Methylophilaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               10     954      19     975      13     998    1431    +    2.1e-228  756.7  20.8  -
Oxalobacteraceae          -          LKAP-GUTHK2_E01_007_2017_1 -               27     995      19    1006       4    1026    1459    +    2.5e-228  756.4  20.4  -
Burkholderiales           -          LKAP-GUTHK2_E01_007_2017_1 -               27     994      19    1006       5    1026    1463    +    8.8e-228  754.6  20.6  -
Francisellaceae           -          LKAP-GUTHK2_E01_007_2017_1 -               38    1011      20    1016       7    1032    1508    +    9.6e-227  751.1  20.5  -
Acidithiobacillaceae      -          LKAP-GUTHK2_E01_007_2017_1 -               26     998      19    1012       5    1028    1457    +    5.2e-226  748.5  20.9  -
Hyphomicrobiaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               50     966      59    1027      35    1030    1427    +      9e-226  747.9  19.4  -
Geobacteraceae            -          LKAP-GUTHK2_E01_007_2017_1 -               35    1041      19    1025       3    1030    1487    +      4e-225  745.7  21.0  -
Desulfobacteraceae        -          LKAP-GUTHK2_E01_007_2017_1 -               40    1045      19    1018       5    1032    1516    +    1.4e-224  743.9  20.4  -
Nitrosomonadaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               27     997      19    1007       4    1027    1461    +    1.7e-224  743.8  20.4  -
Comamonadaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               27     993      19    1006       4    1026    1466    +    3.9e-224  742.2  20.7  -
Desulfobulbaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               29    1020      20    1011       5    1031    1483    +    1.5e-223  740.4  20.7  -
Deltaproteobacteria       -          LKAP-GUTHK2_E01_007_2017_1 -               44    1055      20    1027       4    1031    1514    +      8e-223  738.2  20.8  -
Thermithiobacillaceae     -          LKAP-GUTHK2_E01_007_2017_1 -               12     992      19    1017      14    1029    1419    +    2.2e-222  736.7  20.4  -
Clostridiales             -          LKAP-GUTHK2_E01_007_2017_1 -               34    1015      19    1026       4    1030    1470    +    2.6e-222  736.4  19.5  -
Desulfovibrionaceae       -          LKAP-GUTHK2_E01_007_2017_1 -               42    1043      19    1026       5    1031    1527    +    2.8e-222  736.3  20.8  -
Clostridiaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               41    1013      19    1027       3    1029    1485    +    3.4e-222  735.9  20.3  -
Syntrophaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               62    1052      45    1026      24    1030    1551    +    4.1e-221  732.4  20.3  -
Eubacteriaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               41    1022      19    1027       5    1030    1485    +    4.1e-221  732.4  19.9  -
Rhodobiaceae              -          LKAP-GUTHK2_E01_007_2017_1 -               64     957      65    1013      43    1032    1440    +    9.2e-221  731.5  20.0  -
Methylothermaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               48     995      19     979       4     999    1491    +    1.8e-220  730.3  21.6  -
Thiobacilliaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               46    1015      19    1007       3    1023    1517    +      2e-220  730.2  21.0  -
Azonexaceae               -          LKAP-GUTHK2_E01_007_2017_1 -               28    1000      19    1007       6    1026    1474    +    4.4e-220  729.2  20.7  -
Zoogloeaceae              -          LKAP-GUTHK2_E01_007_2017_1 -               34     975      19     978       6     999    1474    +    5.4e-220  728.7  20.9  -
Desulfohalobiaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               33    1048      19    1027       4    1031    1509    +    8.3e-220  728.1  21.0  -
Alphaproteobacteria       -          LKAP-GUTHK2_E01_007_2017_1 -               27     966      19    1027       5    1031    1409    +      2e-219  727.1  19.6  -
Wenzhouxiangellaceae      -          LKAP-GUTHK2_E01_007_2017_1 -               27    1016      19    1017       4    1032    1472    +    2.3e-219  726.5  20.9  -
Desulfuromonadaceae       -          LKAP-GUTHK2_E01_007_2017_1 -               44    1054      19    1027       4    1032    1518    +    2.3e-219  726.7  20.8  -
Syntrophomonadaceae       -          LKAP-GUTHK2_E01_007_2017_1 -               44    1045      19    1026       4    1029    1515    +    4.5e-219  725.5  21.1  -
Acetobacteraceae          -          LKAP-GUTHK2_E01_007_2017_1 -               58     921      64     976      44    1000    1438    +    2.8e-217  720.0  20.7  -
Methylocystaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               40     973      21    1026       6    1030    1424    +    5.1e-217  719.1  19.6  -
Hyphomonadaceae           -          LKAP-GUTHK2_E01_007_2017_1 -               27     917      19     980       4    1002    1400    +    1.4e-215  714.3  19.1  -
Sphingomonadaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               61     973      65    1026      43    1031    1434    +    9.5e-214  708.4  19.2  -
Anaplasmataceae           -          LKAP-GUTHK2_E01_007_2017_1 -               38     945      19     976       4    1000    1441    +    1.1e-213  708.1  19.1  -
Rhizobiales               -          LKAP-GUTHK2_E01_007_2017_1 -               37     974      19    1026       6    1030    1438    +    1.9e-213  707.2  20.0  -
Peptococcaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               34    1011      19    1026       4    1031    1479    +    2.9e-213  706.3  20.3  -
Sneathiellaceae           -          LKAP-GUTHK2_E01_007_2017_1 -               32     926      19     974       5     994    1427    +    1.1e-212  704.7  20.2  -
Ruminococcaceae           -          LKAP-GUTHK2_E01_007_2017_1 -               27    1013      19    1027       4    1030    1457    +    1.5e-212  704.0  20.0  -
Rhodobacteraceae          -          LKAP-GUTHK2_E01_007_2017_1 -               27     969      19    1027       4    1031    1402    +    3.4e-212  703.0  19.3  -
Bdellovibrionaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               23     979      19    1016       6    1028    1430    +      1e-211  701.3  20.5  -
Rhizobiaceae              -          LKAP-GUTHK2_E01_007_2017_1 -               49     963      61    1027      31    1031    1422    +    6.2e-211  698.8  18.9  -
Xanthobacteraceae         -          LKAP-GUTHK2_E01_007_2017_1 -               52     915      65     980      44    1021    1415    +    3.8e-210  696.2  19.6  -
Syntrophobacteraceae      -          LKAP-GUTHK2_E01_007_2017_1 -               70    1045      62    1027      24    1030    1496    +    4.2e-210  696.1  20.6  -
Phyllobacteriaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               50     963      62    1031      39    1033    1424    +    4.2e-209  692.8  19.5  -
Erythrobacteraceae        -          LKAP-GUTHK2_E01_007_2017_1 -               55     966      65    1031      43    1033    1433    +    1.9e-208  690.7  19.0  -
Bacillales                -          LKAP-GUTHK2_E01_007_2017_1 -               34    1045      19    1027       4    1031    1503    +    2.5e-208  690.2  20.6  -
Peptostreptococcaceae     -          LKAP-GUTHK2_E01_007_2017_1 -               27     996      19    1026       4    1029    1441    +      8e-208  688.2  20.0  -
Bacillaceae               -          LKAP-GUTHK2_E01_007_2017_1 -               24    1028      18    1016       2    1032    1493    +    8.3e-208  688.4  20.8  -
Nautiliaceae              -          LKAP-GUTHK2_E01_007_2017_1 -               27     971      19    1010       4    1030    1431    +    9.5e-208  688.4  19.9  -
Helicobacteraceae         -          LKAP-GUTHK2_E01_007_2017_1 -               46    1001      19    1025       4    1029    1473    +    3.5e-207  685.9  18.8  -
Acidobacteria             -          LKAP-GUTHK2_E01_007_2017_1 -               85     991      65     963      43     984    1505    +    2.8e-206  683.8  21.9  -
Aurantimonadaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               69     967      63    1013      41    1028    1442    +      4e-206  683.0  19.3  -
Lachnospiraceae           -          LKAP-GUTHK2_E01_007_2017_1 -               27     963      19     978       4     999    1469    +    1.3e-205  681.0  19.8  -
Methylobacteriaceae       -          LKAP-GUTHK2_E01_007_2017_1 -               27     955      19    1017       4    1029    1426    +    2.8e-204  676.7  19.9  -
Deferribacteraceae        -          LKAP-GUTHK2_E01_007_2017_1 -               73    1014      67    1010      46    1030    1513    +    6.5e-204  675.3  20.5  -
Desulfomicrobiaceae       -          LKAP-GUTHK2_E01_007_2017_1 -               75    1036      65    1026      43    1031    1495    +    7.9e-204  675.1  20.5  -
Bacteroidaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               36    1010      19    1004      10    1024    1480    +    2.4e-203  673.5  20.2  -
Thermoanaerobacteraceae   -          LKAP-GUTHK2_E01_007_2017_1 -               33    1003      19    1010       3    1029    1492    +    2.7e-203  673.2  21.6  -
Verrucomicrobiaceae       -          LKAP-GUTHK2_E01_007_2017_1 -               28     973      19     977       4    1005    1470    +    1.6e-202  671.0  21.3  -
Brucellaceae              -          LKAP-GUTHK2_E01_007_2017_1 -               57     919      65     979      43    1000    1411    +    1.6e-202  671.0  19.6  -
Paenibacillaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               28    1035      19    1026       3    1030    1493    +    1.9e-202  670.7  20.7  -
Beijerinckiaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               63     930      61     980      40    1004    1421    +    2.8e-202  670.0  19.5  -
Bradyrhizobiaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               49     964      57    1025      31    1030    1428    +    3.6e-202  669.7  19.5  -
Caulobacteraceae          -          LKAP-GUTHK2_E01_007_2017_1 -               54     948      65    1012      43    1030    1415    +      5e-202  669.3  19.0  -
Holophagaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               77     974      70     961      56     992    1502    +      9e-202  668.5  22.4  -
Selenomonadaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               46    1041      19    1009       4    1029    1531    +    1.1e-201  668.0  20.6  -
Lactobacillaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               30    1048      19    1013       4    1032    1522    +    1.9e-201  667.3  20.1  -
Campylobacteraceae        -          LKAP-GUTHK2_E01_007_2017_1 -               27     979      19    1008       3    1028    1429    +    4.1e-201  665.9  19.5  -
Synergistaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               27     945      19     977       4    1006    1450    +    7.1e-201  665.4  21.7  -
Kiloniellaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               48     964      21    1003       6    1030    1450    +    6.5e-200  662.0  20.0  -
Kordiimonadaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               28     923      20     975       6     996    1421    +    1.2e-199  661.6  19.6  -
Spirillaceae              -          LKAP-GUTHK2_E01_007_2017_1 -               43    1029      19    1016       6    1029    1447    +      2e-199  660.8  20.5  -
Thermoactinomycetaceae    -          LKAP-GUTHK2_E01_007_2017_1 -               35    1018      19    1012       4    1032    1495    +    2.4e-199  660.5  20.9  -
Spirochaetaceae           -          LKAP-GUTHK2_E01_007_2017_1 -               30    1000      16     999       3    1021    1486    +    3.3e-199  660.0  21.4  -
Thermoanaerobacterales    -          LKAP-GUTHK2_E01_007_2017_1 -               34    1003      18    1010       3    1029    1472    +    6.5e-199  658.9  21.3  -
Desulfarculaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               80     986      67     962      46     997    1516    +      7e-199  658.9  21.1  -
Streptomycetaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               27     948      19     976       4     997    1479    +    3.8e-198  656.5  21.5  -
Micrococcaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               35     982      18     995       3    1015    1476    +    7.1e-198  655.5  21.3  -
Haliangiaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               43    1035      19    1012       4    1031    1507    +    8.5e-198  655.3  21.9  -
Fusobacteriaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               66     992      52    1014      30    1032    1458    +    1.9e-197  654.1  20.0  -
Planococcaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               26    1024      18    1018       4    1032    1491    +    1.5e-196  651.0  20.8  -
Carnobacteriaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               27    1020      19    1013       4    1032    1496    +    9.2e-196  648.4  20.8  -
Aerococcaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               27    1028      19    1023       4    1030    1473    +    1.2e-195  648.1  20.0  -
Erysipelotrichaceae       -          LKAP-GUTHK2_E01_007_2017_1 -               32     986      19     997       5    1019    1466    +      8e-195  645.4  21.1  -
Heliobacteriaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               44    1018      19    1027       6    1030    1500    +    2.3e-194  643.8  20.3  -
Alicyclobacillaceae       -          LKAP-GUTHK2_E01_007_2017_1 -               47     990      19     979       3    1001    1512    +    2.5e-194  643.9  21.2  -
Oleiphilaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               36    1007      19    1016       3    1032    1437    +    9.1e-194  641.7  21.0  -
Veillonellaceae           -          LKAP-GUTHK2_E01_007_2017_1 -                8    1021      22    1027      16    1029    1450    +      1e-193  641.5  20.7  -
Staphylococcaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               29    1022      19    1017       3    1032    1479    +    2.4e-193  640.5  20.3  -
Streptococcaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               33    1027      19    1014       4    1031    1497    +      3e-193  640.1  20.1  -
Parvularculaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               74     984      65    1032      44    1033    1428    +    4.3e-193  640.0  19.4  -
Chelatococcaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               64     930      64     980      24    1001    1439    +    4.5e-193  639.7  19.2  -
Leptospiraceae            -          LKAP-GUTHK2_E01_007_2017_1 -               54     975      65    1012      45    1026    1431    +    8.5e-193  638.5  19.8  -
Rhodothermaceae           -          LKAP-GUTHK2_E01_007_2017_1 -               52     948      52     961      28     980    1457    +      1e-192  638.4  21.8  -
Bartonellaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               39     937      45     998      23    1019    1410    +    1.5e-192  637.9  19.3  -
Brevibacteriaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               37     966      19     975       5     997    1487    +    1.7e-192  637.4  20.7  -
Porticoccaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               35    1012      19    1017       3    1032    1497    +      5e-192  635.9  20.9  -
Bacteriovoracaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               65     975      67     972      44     991    1473    +    1.1e-191  634.8  21.2  -
Mycoplasmataceae          -          LKAP-GUTHK2_E01_007_2017_1 -               22     969      19     990       7    1009    1467    +    1.1e-191  635.1  19.9  -
Oscillatoriales           -          LKAP-GUTHK2_E01_007_2017_1 -               56     959      66    1018      44    1029    1445    +    2.1e-191  634.2  19.2  -
Polyangiaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               84     986      67     960      46     967    1548    +    3.3e-191  633.4  22.9  -
Patulibacteraceae         -          LKAP-GUTHK2_E01_007_2017_1 -               86     978      65     973      43     994    1494    +    4.9e-191  632.5  21.0  -
Cohaesibacteraceae        -          LKAP-GUTHK2_E01_007_2017_1 -               42     935      14     979       2    1000    1425    +    8.5e-191  632.1  19.9  -
Flammeovirgaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               27     994      19    1012       4    1024    1446    +    9.8e-191  632.0  20.4  -
Myxococcaceae             -          LKAP-GUTHK2_E01_007_2017_1 -               41    1007      19     987       4    1007    1517    +    1.1e-190  631.5  20.4  -
Halobacteriovoracaceae    -          LKAP-GUTHK2_E01_007_2017_1 -               59    1027      61    1019      33    1032    1480    +    1.6e-190  630.9  20.3  -
Cystobacteraceae          -          LKAP-GUTHK2_E01_007_2017_1 -               27     990      19     986       4    1006    1491    +    1.7e-190  630.9  20.4  -
Rubrobacteraceae          -          LKAP-GUTHK2_E01_007_2017_1 -               65     972      66     973      45     995    1495    +    4.2e-190  629.7  22.1  -
Rickettsiaceae            -          LKAP-GUTHK2_E01_007_2017_1 -               27     924      19     974      11     995    1430    +    1.2e-189  628.3  19.2  -
Woeseiaceae               -          LKAP-GUTHK2_E01_007_2017_1 -               36    1020      19    1017       3    1031    1476    +    1.7e-189  627.5  20.6  -
Microbacteriaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               30     957      19     977       3    1005    1464    +    2.3e-189  627.2  21.2  -
Acidimicrobiaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               47     957      19     961       4     981    1464    +    4.5e-189  626.4  21.1  -
Desulfonatronaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               27    1018      19    1013       3    1030    1495    +    5.8e-189  625.8  21.5  -
Salinibacteraceae         -          LKAP-GUTHK2_E01_007_2017_1 -               59     978      25     962       7     977    1497    +    7.7e-189  625.5  22.1  -
Intrasporangiaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               26     953      18     975       3     996    1461    +    7.9e-189  625.4  21.0  -
Flavobacteriaceae         -          LKAP-GUTHK2_E01_007_2017_1 -               26     953      19     959       4     981    1451    +    1.4e-188  624.5  21.2  -
Halanaerobiaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               35    1007      19     982       3    1002    1503    +    1.6e-188  624.3  20.7  -
Propionibacteriaceae      -          LKAP-GUTHK2_E01_007_2017_1 -               31     941      19     961       4     982    1462    +    6.5e-188  622.5  21.8  -
Immundisolibacteraceae    -          LKAP-GUTHK2_E01_007_2017_1 -               56    1042      19    1019       4    1031    1555    +    6.7e-188  622.1  20.5  -
Pseudonocardiaceae        -          LKAP-GUTHK2_E01_007_2017_1 -               33     943      19     961       3     982    1475    +    1.1e-187  621.7  22.3  -
Leuconostocaceae          -          LKAP-GUTHK2_E01_007_2017_1 -               23    1023      19    1015       4    1032    1479    +    1.6e-187  621.3  20.1  -
Thermolithobacteraceae    -          LKAP-GUTHK2_E01_007_2017_1 -               47    1013      19     973       3     995    1546    +    1.6e-187  620.9  21.7  -
Calditrichaeota           -          LKAP-GUTHK2_E01_007_2017_1 -               79    1023      69    1012      45    1029    1483    +    1.9e-187  621.0  20.6  -
Listeriaceae              -          LKAP-GUTHK2_E01_007_2017_1 -               15    1014      20    1031       9    1033    1448    +    2.7e-187  620.6  19.8  -
