# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae            -          F0117_LKAP-FHGF1_A12_096 -               20     871       6     855       1     855    1483    +           0 1032.0  20.3  -
Yersiniaceae              -          F0117_LKAP-FHGF1_A12_096 -               19     869       5     855       1     855    1473    +    1.7e-262  869.2  20.1  -
Oceanospirillaceae        -          F0117_LKAP-FHGF1_A12_096 -               19     870       5     855       1     855    1467    +    6.8e-262  867.2  20.4  -
Enterobacteriaceae        -          F0117_LKAP-FHGF1_A12_096 -               19     869       5     855       1     855    1465    +    8.1e-261  863.8  20.0  -
Hahellaceae               -          F0117_LKAP-FHGF1_A12_096 -               18     867       4     855       1     855    1473    +    3.3e-260  861.8  20.5  -
Morganellaceae            -          F0117_LKAP-FHGF1_A12_096 -               21     872       4     855       1     855    1487    +    5.6e-260  861.1  20.2  -
Idiomarinaceae            -          F0117_LKAP-FHGF1_A12_096 -               19     870       5     855       1     855    1466    +    6.9e-260  860.4  20.2  -
Oceanospirillales         -          F0117_LKAP-FHGF1_A12_096 -               25     874       5     855       1     855    1489    +    8.4e-260  860.2  20.7  -
Erwiniaceae               -          F0117_LKAP-FHGF1_A12_096 -               14     864       5     855       1     855    1483    +    2.2e-259  859.0  20.1  -
Hafniaceae                -          F0117_LKAP-FHGF1_A12_096 -               20     863      10     855       1     855    1459    +    1.2e-257  853.0  20.1  -
Budviciaceae              -          F0117_LKAP-FHGF1_A12_096 -                8     859       4     855       1     855    1483    +    1.5e-257  852.9  20.2  -
Succinivibrionaceae       -          F0117_LKAP-FHGF1_A12_096 -               24     846       7     855       1     855    1473    +    9.6e-257  850.2  21.3  -
Piscirickettsiaceae       -          F0117_LKAP-FHGF1_A12_096 -               21     871       5     854       1     855    1466    +    3.1e-255  845.1  20.4  -
Alcanivoracaceae          -          F0117_LKAP-FHGF1_A12_096 -               39     888       5     855       1     855    1504    +    9.3e-255  843.5  20.4  -
Chromatiaceae             -          F0117_LKAP-FHGF1_A12_096 -               20     858       6     855       1     855    1455    +    1.6e-254  842.9  20.9  -
Pseudomonadaceae          -          F0117_LKAP-FHGF1_A12_096 -               26     873       5     855       1     855    1491    +    3.5e-254  841.7  20.4  -
Methylococcaceae          -          F0117_LKAP-FHGF1_A12_096 -               41     876      11     855       1     855    1481    +    9.2e-253  837.0  20.7  -
Spongiibacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               22     866       5     855       1     855    1462    +    3.2e-252  835.1  20.6  -
Halomonadaceae            -          F0117_LKAP-FHGF1_A12_096 -               19     868       5     855       1     855    1466    +    1.4e-250  829.7  20.5  -
Celerinatantimonadaceae   -          F0117_LKAP-FHGF1_A12_096 -               14     876       5     855       1     855    1433    +    4.2e-250  828.3  20.2  -
Moraxellaceae             -          F0117_LKAP-FHGF1_A12_096 -               24     859      11     854       1     855    1468    +    2.2e-249  826.0  20.8  -
Litoricolaceae            -          F0117_LKAP-FHGF1_A12_096 -               35     874      11     854       1     855    1474    +    6.9e-249  824.3  20.6  -
Halieaceae                -          F0117_LKAP-FHGF1_A12_096 -               26     869       4     855       1     855    1484    +      4e-248  821.6  21.1  -
Thioalkalispiraceae       -          F0117_LKAP-FHGF1_A12_096 -               33     887       7     855       1     855    1479    +    2.7e-247  818.8  20.2  -
Ectothiorhodospiraceae    -          F0117_LKAP-FHGF1_A12_096 -               33     875      10     855       1     855    1463    +    7.4e-245  810.9  20.6  -
Microbulbiferaceae        -          F0117_LKAP-FHGF1_A12_096 -               19     862       5     855       1     855    1480    +    3.8e-244  808.6  20.8  -
Pasteurellaceae           -          F0117_LKAP-FHGF1_A12_096 -               27     870      11     855       1     855    1422    +    1.4e-242  803.3  20.3  -
Lysobacteraceae           -          F0117_LKAP-FHGF1_A12_096 -               20     870       5     854       1     855    1484    +    7.9e-242  800.8  20.1  -
Halothiobacillaceae       -          F0117_LKAP-FHGF1_A12_096 -               44     887      11     855       1     855    1500    +    2.2e-241  799.3  20.4  -
Orbaceae                  -          F0117_LKAP-FHGF1_A12_096 -               54     893      11     855       1     855    1539    +    1.5e-240  796.4  20.4  -
Chromobacteriaceae        -          F0117_LKAP-FHGF1_A12_096 -               26     861      11     855       1     855    1460    +    2.1e-239  792.9  20.8  -
Kangiellaceae             -          F0117_LKAP-FHGF1_A12_096 -               36     881      11     855       1     855    1479    +    8.6e-239  790.7  20.1  -
Rhodocyclaceae            -          F0117_LKAP-FHGF1_A12_096 -               27     866      11     855       1     855    1484    +    1.3e-237  786.8  20.6  -
Saccharospirillaceae      -          F0117_LKAP-FHGF1_A12_096 -               21     862       6     855       1     855    1468    +    8.7e-237  784.0  20.2  -
Thermoleophilaceae        -          F0117_LKAP-FHGF1_A12_096 -               12     870       5     855       1     855    1494    +    2.9e-235  778.9  20.5  -
Thorselliaceae            -          F0117_LKAP-FHGF1_A12_096 -                6     838      16     855      12     855    1419    +    2.3e-233  772.6  20.0  -
Neisseriaceae             -          F0117_LKAP-FHGF1_A12_096 -               41     882      11     854       1     855    1477    +    4.2e-233  771.9  20.4  -
Granulosicoccaceae        -          F0117_LKAP-FHGF1_A12_096 -               27     869      11     854       1     855    1471    +    7.1e-233  771.2  20.5  -
Thiotrichaceae            -          F0117_LKAP-FHGF1_A12_096 -               27     824      11     854       1     855    1421    +    1.5e-232  770.0  20.9  -
Alcaligenaceae            -          F0117_LKAP-FHGF1_A12_096 -               27     864      11     854       2     855    1467    +      2e-232  769.7  20.2  -
Rhodanobacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               22     870       7     854       1     855    1473    +    8.1e-229  757.7  20.4  -
Cardiobacteriaceae        -          F0117_LKAP-FHGF1_A12_096 -               35     873      11     855       1     855    1464    +      1e-228  757.7  20.5  -
Sulfuricellaceae          -          F0117_LKAP-FHGF1_A12_096 -               28     866      11     854       4     855    1463    +    1.1e-228  757.3  20.3  -
Burkholderiaceae          -          F0117_LKAP-FHGF1_A12_096 -               27     861      11     854       1     855    1482    +    3.5e-227  752.4  20.7  -
Hydrogenophilaceae        -          F0117_LKAP-FHGF1_A12_096 -               16     864       6     855       1     855    1461    +    2.8e-225  746.1  20.6  -
Oxalobacteraceae          -          F0117_LKAP-FHGF1_A12_096 -               26     863      10     854       1     855    1459    +    1.2e-223  740.7  20.6  -
Acidiferrobacteraceae     -          F0117_LKAP-FHGF1_A12_096 -               64     860      58     855      48     855    1454    +      1e-222  737.5  21.4  -
Methylophilaceae          -          F0117_LKAP-FHGF1_A12_096 -               10     852      11     854       5     855    1431    +    1.7e-222  736.9  20.0  -
Burkholderiales           -          F0117_LKAP-FHGF1_A12_096 -               27     863      11     855       1     855    1463    +    2.8e-222  736.0  20.7  -
Sutterellaceae            -          F0117_LKAP-FHGF1_A12_096 -               27     865      11     854       1     855    1487    +    4.9e-222  735.1  20.4  -
Azonexaceae               -          F0117_LKAP-FHGF1_A12_096 -               28     868      11     855       1     855    1474    +    3.4e-221  732.6  20.6  -
Rhodospirillaceae         -          F0117_LKAP-FHGF1_A12_096 -               22     817       6     855       1     855    1429    +    8.2e-220  728.0  20.7  -
Thiobacilliaceae          -          F0117_LKAP-FHGF1_A12_096 -               47     882      12     854       3     855    1517    +      1e-219  727.6  20.5  -
Nevskiaceae               -          F0117_LKAP-FHGF1_A12_096 -               36     863      11     855       1     855    1470    +    2.1e-219  726.7  20.7  -
Legionellaceae            -          F0117_LKAP-FHGF1_A12_096 -               23     866      11     854       1     855    1446    +    2.2e-219  726.5  20.5  -
Coxiellaceae              -          F0117_LKAP-FHGF1_A12_096 -               21     876       7     855       1     855    1475    +    1.2e-218  724.0  20.5  -
Acidithiobacillaceae      -          F0117_LKAP-FHGF1_A12_096 -               19     860       6     855       1     855    1457    +    4.8e-218  721.9  20.8  -
Nitrosomonadaceae         -          F0117_LKAP-FHGF1_A12_096 -               27     864      11     854       1     855    1461    +    4.2e-217  719.0  20.7  -
Arenicellaceae            -          F0117_LKAP-FHGF1_A12_096 -               34     862      17     854       5     855    1488    +    6.1e-217  718.4  20.2  -
Zoogloeaceae              -          F0117_LKAP-FHGF1_A12_096 -               34     871      11     855       1     855    1474    +    1.1e-216  717.4  20.9  -
Thermithiobacillaceae     -          F0117_LKAP-FHGF1_A12_096 -                7     847       8     854       4     855    1419    +    1.3e-216  717.3  20.4  -
Salinisphaeraceae         -          F0117_LKAP-FHGF1_A12_096 -               15     854      11     855       1     855    1429    +      3e-215  712.8  20.5  -
Comamonadaceae            -          F0117_LKAP-FHGF1_A12_096 -               27     862      11     855       1     855    1466    +    3.1e-215  712.4  20.7  -
Francisellaceae           -          F0117_LKAP-FHGF1_A12_096 -               38     870      12     855       3     855    1508    +    3.3e-215  712.6  20.2  -
Thiotrichales             -          F0117_LKAP-FHGF1_A12_096 -               47     888      11     855       2     855    1519    +    7.3e-214  707.8  20.3  -
Desulfovibrionaceae       -          F0117_LKAP-FHGF1_A12_096 -               42     890      11     854       1     855    1527    +    8.5e-211  698.0  20.9  -
Hyphomicrobiaceae         -          F0117_LKAP-FHGF1_A12_096 -               49     812      50     854      26     855    1427    +    8.7e-210  694.7  20.4  -
Clostridiaceae            -          F0117_LKAP-FHGF1_A12_096 -               35     857       7     854       1     855    1485    +    1.1e-208  690.9  21.3  -
Wenzhouxiangellaceae      -          F0117_LKAP-FHGF1_A12_096 -               27     874      11     855       1     855    1472    +    1.3e-208  690.6  20.3  -
Methylothermaceae         -          F0117_LKAP-FHGF1_A12_096 -               48     890      11     855       1     855    1491    +    2.2e-208  689.9  20.7  -
Eubacteriaceae            -          F0117_LKAP-FHGF1_A12_096 -               41     867      11     853       1     855    1485    +    1.4e-207  687.2  21.3  -
Clostridiales             -          F0117_LKAP-FHGF1_A12_096 -               34     861      11     854       1     855    1470    +    3.4e-207  686.0  20.8  -
Rhodobiaceae              -          F0117_LKAP-FHGF1_A12_096 -               62     820      55     854      24     855    1440    +      4e-206  682.7  20.4  -
Acetobacteraceae          -          F0117_LKAP-FHGF1_A12_096 -               58     819      56     855      36     855    1438    +    7.1e-205  678.6  21.8  -
Geobacteraceae            -          F0117_LKAP-FHGF1_A12_096 -               29     889       7     854       1     855    1487    +    2.2e-204  676.6  20.6  -
Alphaproteobacteria       -          F0117_LKAP-FHGF1_A12_096 -               27     810      11     854       1     855    1409    +    3.3e-204  676.4  20.7  -
Syntrophomonadaceae       -          F0117_LKAP-FHGF1_A12_096 -               40     894       9     854       1     855    1515    +      1e-203  674.3  20.9  -
Spirillaceae              -          F0117_LKAP-FHGF1_A12_096 -               43     887      11     854       1     855    1447    +    2.3e-203  673.6  20.2  -
Deltaproteobacteria       -          F0117_LKAP-FHGF1_A12_096 -               43     901      11     855       1     855    1514    +    9.5e-203  671.4  20.7  -
Sneathiellaceae           -          F0117_LKAP-FHGF1_A12_096 -               24     825       5     854       1     855    1427    +    1.2e-202  671.0  20.6  -
Ruminococcaceae           -          F0117_LKAP-FHGF1_A12_096 -               27     859      11     854       1     855    1457    +    1.7e-202  670.3  21.2  -
Hyphomonadaceae           -          F0117_LKAP-FHGF1_A12_096 -               27     811      11     855       1     855    1400    +    2.7e-202  670.1  20.8  -
Desulfobacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               40     900      11     854       1     855    1516    +    2.6e-201  666.5  20.3  -
Desulfobulbaceae          -          F0117_LKAP-FHGF1_A12_096 -               29     883      12     854       1     855    1483    +    3.8e-200  662.6  20.5  -
Lachnospiraceae           -          F0117_LKAP-FHGF1_A12_096 -               27     857      11     853       1     855    1469    +      4e-199  659.2  20.7  -
Desulfuromonadaceae       -          F0117_LKAP-FHGF1_A12_096 -               44     900      11     855       1     855    1518    +    4.3e-199  659.2  20.8  -
Desulfohalobiaceae        -          F0117_LKAP-FHGF1_A12_096 -               26     894       6     854       1     855    1509    +    6.1e-199  658.7  20.8  -
Rhodobacteraceae          -          F0117_LKAP-FHGF1_A12_096 -               19     812       5     854       1     855    1402    +      8e-198  655.1  20.7  -
Peptococcaceae            -          F0117_LKAP-FHGF1_A12_096 -               34     855      11     855       1     855    1479    +    2.8e-197  653.0  21.5  -
Methylocystaceae          -          F0117_LKAP-FHGF1_A12_096 -               38     822      11     854       1     855    1424    +    5.1e-197  652.5  20.9  -
Nautiliaceae              -          F0117_LKAP-FHGF1_A12_096 -               27     836      11     855       1     855    1431    +    1.8e-196  650.8  20.8  -
Phyllobacteriaceae        -          F0117_LKAP-FHGF1_A12_096 -               50     809      54     854      31     855    1424    +    3.6e-196  649.7  20.6  -
Sphingomonadaceae         -          F0117_LKAP-FHGF1_A12_096 -               59     818      55     854      19     855    1434    +    8.7e-196  648.6  20.0  -
Rhizobiaceae              -          F0117_LKAP-FHGF1_A12_096 -               49     809      53     854      17     855    1422    +    5.1e-195  645.8  20.5  -
Rhizobiales               -          F0117_LKAP-FHGF1_A12_096 -               37     820      11     854       1     855    1438    +    6.6e-195  645.5  21.3  -
Kiloniellaceae            -          F0117_LKAP-FHGF1_A12_096 -               47     839      12     854       2     855    1450    +    4.8e-194  642.3  20.3  -
Syntrophaceae             -          F0117_LKAP-FHGF1_A12_096 -               62     899      37     854      16     855    1551    +    6.9e-194  641.9  20.4  -
Peptostreptococcaceae     -          F0117_LKAP-FHGF1_A12_096 -               27     841      11     853       1     855    1441    +    4.1e-193  639.2  21.1  -
Kordiimonadaceae          -          F0117_LKAP-FHGF1_A12_096 -               21     821       7     854       1     855    1421    +    7.6e-193  638.7  20.3  -
Bdellovibrionaceae        -          F0117_LKAP-FHGF1_A12_096 -               23     837      11     854       1     855    1430    +    1.7e-192  637.4  20.4  -
Thermoanaerobacteraceae   -          F0117_LKAP-FHGF1_A12_096 -               26     866       6     855       1     855    1492    +    6.1e-192  635.3  22.1  -
Rickettsiaceae            -          F0117_LKAP-FHGF1_A12_096 -               27     823      11     854       4     855    1430    +    2.3e-191  633.7  19.8  -
Xanthobacteraceae         -          F0117_LKAP-FHGF1_A12_096 -               52     808      57     854      35     855    1415    +    4.2e-191  632.9  21.1  -
Brucellaceae              -          F0117_LKAP-FHGF1_A12_096 -               57     813      57     854      35     855    1411    +    1.2e-190  631.4  20.8  -
Acidobacteria             -          F0117_LKAP-FHGF1_A12_096 -               48     899      12     854       1     855    1505    +    1.7e-190  631.2  21.0  -
Bacillales                -          F0117_LKAP-FHGF1_A12_096 -               34     891      11     854       1     855    1503    +    1.1e-189  628.1  20.3  -
Desulfarculaceae          -          F0117_LKAP-FHGF1_A12_096 -               80     896      59     855      37     855    1516    +    1.6e-189  627.6  20.8  -
Paenibacillaceae          -          F0117_LKAP-FHGF1_A12_096 -               21     883      10     854       1     855    1493    +    1.7e-189  627.4  20.5  -
Anaplasmataceae           -          F0117_LKAP-FHGF1_A12_096 -               38     842      11     854       1     855    1441    +    4.7e-189  626.2  19.8  -
Syntrophobacteraceae      -          F0117_LKAP-FHGF1_A12_096 -               56     891      39     854      15     855    1496    +    5.2e-189  625.9  20.5  -
Caulobacteraceae          -          F0117_LKAP-FHGF1_A12_096 -               27     810      11     854       1     855    1415    +    7.6e-189  625.3  20.7  -
Thermoanaerobacterales    -          F0117_LKAP-FHGF1_A12_096 -               34     868      10     855       1     855    1472    +    2.7e-188  623.4  21.6  -
Bradyrhizobiaceae         -          F0117_LKAP-FHGF1_A12_096 -               43     812      43     854      21     855    1428    +    3.4e-188  623.1  20.1  -
Porticoccaceae            -          F0117_LKAP-FHGF1_A12_096 -               28     870       6     855       1     855    1497    +    3.7e-188  622.8  20.7  -
Erysipelotrichaceae       -          F0117_LKAP-FHGF1_A12_096 -               32     861      11     853       1     855    1466    +    6.1e-188  622.4  21.2  -
Bacteroidaceae            -          F0117_LKAP-FHGF1_A12_096 -               36     879      11     854       3     855    1480    +    1.8e-187  620.6  20.4  -
Erythrobacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               55     812      57     854      35     855    1433    +      2e-187  620.7  20.5  -
Helicobacteraceae         -          F0117_LKAP-FHGF1_A12_096 -               46     847      11     854       1     855    1473    +    4.2e-187  619.1  19.0  -
Methylobacteriaceae       -          F0117_LKAP-FHGF1_A12_096 -               27     812      11     854       1     855    1426    +    5.9e-187  619.0  21.1  -
Lactobacillaceae          -          F0117_LKAP-FHGF1_A12_096 -               30     909      11     854       1     855    1522    +    6.5e-187  618.9  20.0  -
Deferribacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               73     878      59     854      37     855    1513    +    1.1e-186  617.9  21.0  -
Bartonellaceae            -          F0117_LKAP-FHGF1_A12_096 -               37     811      35     854      14     855    1410    +    2.5e-186  617.0  20.1  -
Beijerinckiaceae          -          F0117_LKAP-FHGF1_A12_096 -               63     823      53     854      32     855    1421    +    4.7e-186  616.0  21.0  -
Synergistaceae            -          F0117_LKAP-FHGF1_A12_096 -               27     841      11     854       1     855    1450    +    8.9e-186  615.1  21.8  -
Alicyclobacillaceae       -          F0117_LKAP-FHGF1_A12_096 -               42     884       8     854       1     855    1512    +      1e-185  615.1  21.1  -
Bacillaceae               -          F0117_LKAP-FHGF1_A12_096 -               24     882      10     853       1     855    1493    +    3.4e-185  613.2  19.8  -
Spirochaetaceae           -          F0117_LKAP-FHGF1_A12_096 -               31     872       9     852       2     855    1486    +    4.2e-185  612.9  20.6  -
Micrococcaceae            -          F0117_LKAP-FHGF1_A12_096 -               36     861      11     855       1     855    1476    +    4.9e-185  612.7  21.4  -
Carnobacteriaceae         -          F0117_LKAP-FHGF1_A12_096 -               27     882      11     855       1     855    1496    +    5.1e-185  612.6  20.6  -
Thermoactinomycetaceae    -          F0117_LKAP-FHGF1_A12_096 -               35     881      11     855       1     855    1495    +    6.7e-185  612.4  20.6  -
Streptomycetaceae         -          F0117_LKAP-FHGF1_A12_096 -               27     846      11     855       1     855    1479    +    9.6e-185  611.8  22.1  -
Holophagaceae             -          F0117_LKAP-FHGF1_A12_096 -               77     884      62     854      48     855    1502    +    1.4e-184  611.2  21.1  -
Aurantimonadaceae         -          F0117_LKAP-FHGF1_A12_096 -               69     827      55     854      33     855    1442    +    2.7e-184  610.4  20.9  -
Campylobacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               27     845      11     854       1     855    1429    +    1.1e-182  604.5  20.7  -
Selenomonadaceae          -          F0117_LKAP-FHGF1_A12_096 -               46     906      11     854       1     855    1531    +    7.8e-182  601.9  20.2  -
Immundisolibacteraceae    -          F0117_LKAP-FHGF1_A12_096 -               57     898      12     855       2     855    1555    +    8.5e-182  601.7  20.4  -
Oleiphilaceae             -          F0117_LKAP-FHGF1_A12_096 -               28     866       5     855       1     855    1437    +    1.1e-181  601.4  20.4  -
Brevibacteriaceae         -          F0117_LKAP-FHGF1_A12_096 -               37     864      11     854       1     855    1487    +    1.7e-181  600.7  21.0  -
Aerococcaceae             -          F0117_LKAP-FHGF1_A12_096 -               27     882      11     855       1     855    1473    +    1.3e-180  598.0  19.9  -
Heliobacteriaceae         -          F0117_LKAP-FHGF1_A12_096 -               38     865       7     855       1     855    1500    +    1.3e-180  598.0  21.5  -
Halobacteriovoracaceae    -          F0117_LKAP-FHGF1_A12_096 -               57     881      51     854      24     855    1480    +    1.5e-180  597.6  20.2  -
Planococcaceae            -          F0117_LKAP-FHGF1_A12_096 -               26     879      10     855       1     855    1491    +    2.2e-180  597.1  19.9  -
Streptococcaceae          -          F0117_LKAP-FHGF1_A12_096 -               33     887      11     854       1     855    1497    +    4.9e-180  596.0  20.1  -
Leptospiraceae            -          F0117_LKAP-FHGF1_A12_096 -               54     837      57     853      37     854    1431    +    1.8e-179  594.1  20.8  -
Haliangiaceae             -          F0117_LKAP-FHGF1_A12_096 -               43     899      11     855       1     855    1507    +    3.4e-179  593.3  21.2  -
Sporolactobacillaceae     -          F0117_LKAP-FHGF1_A12_096 -               27     875      11     854       1     855    1503    +    1.6e-178  591.0  19.8  -
Desulfomicrobiaceae       -          F0117_LKAP-FHGF1_A12_096 -               75     883      57     854      34     855    1495    +    2.1e-178  590.5  20.9  -
Chelatococcaceae          -          F0117_LKAP-FHGF1_A12_096 -               63     821      55     854      14     855    1439    +    9.8e-178  588.6  20.5  -
Veillonellaceae           -          F0117_LKAP-FHGF1_A12_096 -                9     867      15     854       9     855    1450    +    1.1e-177  588.1  20.6  -
Staphylococcaceae         -          F0117_LKAP-FHGF1_A12_096 -               29     878      11     854       1     855    1479    +    1.8e-177  587.6  20.0  -
Woeseiaceae               -          F0117_LKAP-FHGF1_A12_096 -               36     876      11     853       1     855    1476    +    2.6e-177  586.9  20.2  -
Patulibacteraceae         -          F0117_LKAP-FHGF1_A12_096 -               86     879      57     855      35     855    1494    +    7.8e-177  585.2  20.5  -
Rubrobacteraceae          -          F0117_LKAP-FHGF1_A12_096 -               65     873      58     855      37     855    1495    +    1.4e-176  584.6  21.0  -
Caldicoprobacteraceae     -          F0117_LKAP-FHGF1_A12_096 -               36     878       6     855       1     855    1530    +    1.5e-176  584.4  21.1  -
Parvularculaceae          -          F0117_LKAP-FHGF1_A12_096 -               74     830      57     854      36     855    1428    +    1.7e-176  584.7  20.7  -
Enterococcaceae           -          F0117_LKAP-FHGF1_A12_096 -               27     886      11     854       1     855    1498    +    3.3e-176  583.4  20.1  -
Bacteriovoracaceae        -          F0117_LKAP-FHGF1_A12_096 -               27     876      11     854       1     855    1473    +    5.8e-176  582.5  20.2  -
Rhodothermaceae           -          F0117_LKAP-FHGF1_A12_096 -               28     858      12     854       1     855    1457    +    7.3e-176  582.2  20.4  -
Desulfonatronaceae        -          F0117_LKAP-FHGF1_A12_096 -               21     878       7     854       1     855    1495    +    7.3e-176  582.2  21.2  -
Polyangiaceae             -          F0117_LKAP-FHGF1_A12_096 -               84     898      59     855      38     855    1548    +    7.9e-176  582.1  21.1  -
Microbacteriaceae         -          F0117_LKAP-FHGF1_A12_096 -               30     853      11     854       1     855    1464    +    1.1e-175  581.6  21.3  -
Listeriaceae              -          F0117_LKAP-FHGF1_A12_096 -               15     863      12     853       4     855    1448    +    2.2e-175  580.8  19.4  -
Fusobacteriaceae          -          F0117_LKAP-FHGF1_A12_096 -               65     849      43     853      21     855    1458    +    4.8e-175  579.6  21.1  -
Nitrospiraceae            -          F0117_LKAP-FHGF1_A12_096 -               26     853       6     855       1     855    1479    +    7.5e-175  578.8  20.8  -
Intrasporangiaceae        -          F0117_LKAP-FHGF1_A12_096 -               26     852      10     855       1     855    1461    +    1.2e-174  578.1  21.1  -
Cohaesibacteraceae        -          F0117_LKAP-FHGF1_A12_096 -               42     829       6     854       1     855    1425    +    1.3e-174  578.2  20.3  -
Mycoplasmataceae          -          F0117_LKAP-FHGF1_A12_096 -               22     849      11     853       2     854    1467    +      2e-174  577.6  20.5  -
Ventosimonadaceae         -          F0117_LKAP-FHGF1_A12_096 -               47     896       6     855       1     855    1489    +    3.6e-174  576.4  20.5  -
Pseudonocardiaceae        -          F0117_LKAP-FHGF1_A12_096 -               33     854      11     855       1     855    1475    +    1.7e-173  574.4  22.2  -
Leuconostocaceae          -          F0117_LKAP-FHGF1_A12_096 -               23     882      11     854       1     855    1479    +    2.4e-173  574.0  19.9  -
Propionibacteriaceae      -          F0117_LKAP-FHGF1_A12_096 -               31     852      11     855       1     855    1462    +      3e-173  573.6  21.8  -
Acidimicrobiaceae         -          F0117_LKAP-FHGF1_A12_096 -               47     867      11     854       1     855    1464    +    4.6e-173  573.0  21.1  -
Bryobacteraceae           -          F0117_LKAP-FHGF1_A12_096 -               86     844      59     854      38     855    1417    +    7.2e-173  572.4  21.3  -
Gallionellaceae           -          F0117_LKAP-FHGF1_A12_096 -               46     881      13     855       1     855    1385    +    9.7e-173  571.9  20.2  -
Flammeovirgaceae          -          F0117_LKAP-FHGF1_A12_096 -               27     856      11     853       1     855    1446    +    1.4e-171  568.3  20.6  -
Lysobacteriales           -          F0117_LKAP-FHGF1_A12_096 -               51     893       9     855       1     855    1508    +    1.8e-171  567.7  20.4  -
Natranaerobiaceae         -          F0117_LKAP-FHGF1_A12_096 -                1     842       6     854       6     855    1429    +    3.4e-171  566.7  19.6  -
Nocardioidaceae           -          F0117_LKAP-FHGF1_A12_096 -               27     847      11     855       1     855    1455    +    3.8e-171  566.7  22.3  -
Kineosporiaceae           -          F0117_LKAP-FHGF1_A12_096 -               35     852      11     855       1     855    1463    +    4.5e-171  566.5  22.0  -
Sterolibacteriaceae       -          F0117_LKAP-FHGF1_A12_096 -               44     886      13     854       4     855    1531    +    4.6e-171  566.3  20.5  -
Puniceicoccaceae          -          F0117_LKAP-FHGF1_A12_096 -               37     883      11     855       1     855    1485    +    1.2e-170  564.9  20.4  -
Actinomycetaceae          -          F0117_LKAP-FHGF1_A12_096 -               27     878      11     855       1     855    1468    +    1.6e-170  564.5  20.2  -
Oscillatoriales           -          F0117_LKAP-FHGF1_A12_096 -               55     814      57     853      24     854    1445    +    2.1e-170  564.3  19.9  -
Cellulomonadaceae         -          F0117_LKAP-FHGF1_A12_096 -               31     854      11     855       1     855    1465    +    2.2e-170  564.2  21.3  -
Nannocystaceae            -          F0117_LKAP-FHGF1_A12_096 -               34     875       6     854       1     855    1487    +    2.5e-170  563.9  21.0  -
Halanaerobiaceae          -          F0117_LKAP-FHGF1_A12_096 -               35     897      11     853       1     855    1503    +      7e-170  562.2  20.4  -
Verrucomicrobiaceae       -          F0117_LKAP-FHGF1_A12_096 -               28     869      11     854       2     855    1470    +    7.9e-170  562.4  20.5  -
Parviterribacteraceae     -          F0117_LKAP-FHGF1_A12_096 -               67     859      58     855      38     855    1456    +    8.2e-170  562.1  20.8  -
Thermolithobacteraceae    -          F0117_LKAP-FHGF1_A12_096 -               40     914       6     855       1     855    1546    +    1.3e-169  561.3  20.5  -
