# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               18     923      14     917       8     918    1468    +           0 1050.4  18.3  -
Hyphomicrobiaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               27     875      18     916       8     918    1427    +      5e-229  758.6  17.9  -
Acetobacteraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               32     881      18     916       9     918    1438    +    8.1e-229  758.0  18.7  -
Budviciaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               17     921      18     916      10     918    1483    +    2.3e-228  756.2  17.8  -
Thiobacilliaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               46     944      18     915       9     918    1517    +    3.6e-228  755.7  18.3  -
Rhodobiaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               37     883      18     916       8     918    1440    +    1.6e-227  753.8  17.6  -
Comamonadaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               24     924      16     916       8     918    1466    +    1.4e-226  750.1  18.0  -
Nitrosomonadaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               25     927      17     916       9     918    1461    +    4.6e-225  745.5  18.1  -
Alphaproteobacteria       -          LKAP-TSAKG2_E06_040_2018_2 -               27     873      18     916       9     918    1409    +      6e-224  741.9  17.7  -
Acidithiobacillaceae      -          LKAP-TSAKG2_E06_040_2018_2 -               26     922      18     916      10     918    1457    +    6.3e-224  741.5  18.0  -
Clostridiaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               41     920      18     916       8     918    1485    +    1.8e-222  736.7  18.4  -
Azonexaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               23     930      14     916       8     918    1474    +    1.1e-220  731.0  17.8  -
Eubacteriaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               41     931      18     916       9     918    1485    +    1.2e-220  730.7  18.8  -
Clostridiales             -          LKAP-TSAKG2_E06_040_2018_2 -               35     925      19     917       9     918    1470    +    2.2e-220  729.8  18.0  -
Rhodobacteraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               27     875      18     916       8     918    1402    +    9.3e-220  727.9  17.5  -
Syntrophomonadaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               44     957      18     916       8     918    1515    +    1.7e-219  726.7  18.2  -
Thorselliaceae            -          LKAP-TSAKG2_E06_040_2018_2 -                1     900      19     916      19     918    1419    +    3.7e-219  725.7  18.0  -
Desulfovibrionaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               36     953      14     916       8     918    1527    +    8.3e-219  724.6  18.0  -
Orbaceae                  -          LKAP-TSAKG2_E06_040_2018_2 -               54     955      18     916       9     918    1539    +    4.1e-218  722.2  18.0  -
Desulfobacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               40     963      18     916       8     918    1516    +    7.3e-218  721.5  17.9  -
Deltaproteobacteria       -          LKAP-TSAKG2_E06_040_2018_2 -               43     963      18     916       9     918    1514    +    3.9e-217  719.1  17.8  -
Methylocystaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               38     885      18     916      10     918    1424    +    7.7e-217  718.3  17.9  -
Phyllobacteriaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               23     872      16     916       7     918    1424    +    9.6e-217  718.0  18.1  -
Hyphomonadaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               27     873      18     916       8     918    1400    +      1e-216  718.0  17.7  -
Ruminococcaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               27     922      18     916       8     918    1457    +    3.4e-216  715.9  18.5  -
Rhizobiales               -          LKAP-TSAKG2_E06_040_2018_2 -               37     883      18     916       9     918    1438    +    2.3e-215  713.4  18.0  -
Desulfohalobiaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               33     957      18     916       9     918    1509    +      3e-215  712.8  17.8  -
Methylothermaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               40     952      12     916       7     918    1491    +    4.6e-215  712.2  18.0  -
Nautiliaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               27     898      18     916       8     918    1431    +    1.4e-214  710.9  18.0  -
Syntrophaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               44     962      18     916       8     918    1551    +    7.1e-214  708.2  17.9  -
Rhizobiaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               27     872      18     916       7     918    1422    +    9.3e-214  708.0  18.0  -
Desulfobulbaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               28     946      18     916       7     918    1483    +    1.2e-213  707.5  17.8  -
Xanthobacteraceae         -          LKAP-TSAKG2_E06_040_2018_2 -               27     871      18     916       8     918    1415    +    1.6e-213  707.2  17.8  -
Peptococcaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               34     917      18     916       8     918    1479    +    6.8e-213  704.9  18.9  -
Aurantimonadaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               44     890      18     916       8     918    1442    +    9.2e-213  704.8  17.8  -
Sneathiellaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               32     888      18     916      10     918    1427    +    1.2e-211  701.0  17.8  -
Kiloniellaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               39     902      13     916       5     918    1450    +    1.8e-211  700.2  17.7  -
Helicobacteraceae         -          LKAP-TSAKG2_E06_040_2018_2 -               46     910      18     916       9     918    1473    +    1.1e-210  697.3  17.7  -
Sphingomonadaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               34     881      18     916       9     918    1434    +    1.2e-210  697.9  17.3  -
Geobacteraceae            -          LKAP-TSAKG2_E06_040_2018_2 -               35     952      18     916       8     918    1487    +      3e-210  696.2  17.6  -
Lachnospiraceae           -          LKAP-TSAKG2_E06_040_2018_2 -               20     921      13     916       7     918    1469    +    1.2e-209  694.3  18.7  -
Beijerinckiaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               40     886      18     916      10     918    1421    +    4.5e-209  692.4  18.0  -
Spirillaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               38     950      14     916       9     918    1447    +    2.1e-208  690.4  17.9  -
Thermoanaerobacteraceae   -          LKAP-TSAKG2_E06_040_2018_2 -               33     928      18     916       8     918    1492    +    3.2e-208  689.4  18.3  -
Anaplasmataceae           -          LKAP-TSAKG2_E06_040_2018_2 -               38     905      18     916       9     918    1441    +    4.2e-208  689.4  17.4  -
Methylobacteriaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               27     875      18     916       7     918    1426    +    5.1e-208  689.0  17.7  -
Bradyrhizobiaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               27     875      18     916       7     918    1428    +    3.3e-207  686.2  17.7  -
Desulfuromonadaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               44     962      18     916       8     918    1518    +    1.8e-206  683.8  17.8  -
Bdellovibrionaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               23     900      18     916       7     918    1430    +    2.2e-206  683.5  18.3  -
Brucellaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               32     876      18     916       8     918    1411    +    4.5e-206  682.6  18.0  -
Porticoccaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               35     932      18     916       6     918    1497    +      3e-205  679.5  17.8  -
Parvularculaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               47     893      18     916       9     918    1428    +    3.3e-205  680.0  17.5  -
Oleiphilaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               36     928      18     916       6     918    1437    +    4.5e-205  678.9  18.2  -
Erythrobacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               28     875      18     916      10     918    1433    +    1.3e-204  677.8  17.3  -
Peptostreptococcaceae     -          LKAP-TSAKG2_E06_040_2018_2 -               27     905      18     916       8     918    1441    +    5.1e-204  675.5  18.0  -
Acidobacteria             -          LKAP-TSAKG2_E06_040_2018_2 -               47     962      18     916       9     918    1505    +    6.5e-204  675.8  17.9  -
Caulobacteraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               27     873      18     916       9     918    1415    +      1e-203  674.7  17.6  -
Thermoanaerobacterales    -          LKAP-TSAKG2_E06_040_2018_2 -               35     930      18     916       8     918    1472    +    2.3e-203  673.5  19.0  -
Bacillales                -          LKAP-TSAKG2_E06_040_2018_2 -               35     954      19     916      10     918    1503    +      3e-203  673.2  17.8  -
Spirochaetaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               29     937      14     916       7     918    1486    +    4.8e-203  672.5  17.7  -
Leptospiraceae            -          LKAP-TSAKG2_E06_040_2018_2 -               27     901      18     916       9     918    1431    +    6.7e-203  671.8  17.9  -
Bacteroidaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               29     942      13     916       8     918    1480    +    6.9e-203  671.8  17.8  -
Bacteriovoracaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               27     939      18     916       8     918    1473    +    4.4e-202  669.1  17.7  -
Flavobacteriaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               26     928      18     916       7     918    1451    +    5.2e-202  668.9  18.0  -
Nitrospiraceae            -          LKAP-TSAKG2_E06_040_2018_2 -               34     915      19     916       9     918    1479    +    6.5e-202  668.6  17.6  -
Flammeovirgaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               28     920      19     916       9     918    1446    +    1.2e-200  664.7  18.1  -
Bartonellaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               27     874      18     916       8     918    1410    +    1.6e-200  664.1  17.6  -
Chelatococcaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               38     884      18     916       9     918    1439    +    2.2e-200  663.8  17.6  -
Kordiimonadaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               27     884      18     916      10     918    1421    +    3.9e-200  663.0  17.4  -
Woeseiaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               36     940      18     916       7     918    1476    +    1.5e-199  660.5  17.8  -
Haliangiaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               35     961      12     916       7     918    1507    +      2e-199  660.5  17.2  -
Desulfarculaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               36     958      18     916       8     918    1516    +    3.3e-199  659.8  17.6  -
Lactobacillaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               30     972      18     916       8     918    1522    +    6.3e-199  658.8  17.9  -
Synergistaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               27     904      18     916       8     918    1450    +    1.7e-198  657.4  19.6  -
Micrococcaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               28     923      12     916       6     918    1476    +    1.7e-198  657.4  18.3  -
Cohaesibacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               47     892      19     916       8     918    1425    +    1.9e-198  657.3  17.5  -
Cytophagaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               29     915      18     916       7     918    1437    +    2.2e-198  656.9  18.3  -
Deferribacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               28     941      14     916       8     918    1513    +    2.3e-198  656.7  17.9  -
Immundisolibacteraceae    -          LKAP-TSAKG2_E06_040_2018_2 -               56     960      18     916       7     918    1555    +    2.6e-198  656.4  17.9  -
Halobacteriovoracaceae    -          LKAP-TSAKG2_E06_040_2018_2 -               28     944      19     916      11     918    1480    +    2.9e-198  656.5  17.8  -
Campylobacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               27     908      18     916       7     918    1429    +    5.6e-198  655.3  18.2  -
Bacillaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               26     947      19     916       6     918    1493    +    3.5e-197  653.0  17.9  -
Ventosimonadaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               54     958      18     916       6     918    1489    +    3.9e-197  652.5  18.0  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_E06_040_2018_2 -               36     943      19     916       9     918    1495    +    7.5e-197  652.1  18.0  -
Rickettsiaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               27     886      18     916       8     918    1430    +    1.7e-196  650.8  17.4  -
Erysipelotrichaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               33     925      19     916      10     918    1466    +    2.8e-196  650.1  18.2  -
Selenomonadaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               39     969      13     916       7     918    1531    +    7.4e-196  648.5  17.9  -
Syntrophobacteraceae      -          LKAP-TSAKG2_E06_040_2018_2 -               36     954      19     916       9     918    1496    +    8.7e-196  648.5  17.9  -
Paenibacillaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               28     946      18     916       8     918    1493    +    2.1e-195  647.1  18.0  -
Streptomycetaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               19     908      12     916       7     918    1479    +      4e-195  646.3  18.7  -
Streptococcaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               33     950      18     916       9     918    1497    +    1.1e-194  644.7  18.1  -
Brevibacteriaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               30     927      13     916       7     918    1487    +    1.2e-194  644.4  18.1  -
Mycoplasmataceae          -          LKAP-TSAKG2_E06_040_2018_2 -               23     913      19     916       9     918    1467    +    3.1e-194  643.4  18.0  -
Planococcaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               27     941      18     916       9     918    1491    +    6.7e-193  638.7  17.5  -
Desulfomicrobiaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               37     946      18     916       8     918    1495    +      1e-191  634.8  17.7  -
Lysobacteriales           -          LKAP-TSAKG2_E06_040_2018_2 -               55     955      18     916       6     918    1508    +    1.3e-191  634.5  18.0  -
Alicyclobacillaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               47     947      18     916       8     918    1512    +    2.6e-191  633.8  18.0  -
Verrucomicrobiaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               28     932      18     916       9     918    1470    +    4.2e-191  633.0  18.1  -
Polyangiaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               46     960      18     916       8     918    1548    +    4.8e-191  632.6  17.4  -
Caldicoprobacteraceae     -          LKAP-TSAKG2_E06_040_2018_2 -               43     940      18     916       8     918    1530    +    9.1e-191  631.6  18.6  -
Aerococcaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               27     944      18     916       9     918    1473    +    2.4e-190  630.3  17.8  -
Porphyromonadaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               36     935      19     916      10     918    1473    +    2.6e-190  630.2  17.9  -
Bernardetiaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               27     923      18     916       9     918    1481    +    1.6e-189  627.5  17.8  -
Hymenobacteraceae         -          LKAP-TSAKG2_E06_040_2018_2 -               27     912      18     916       7     918    1445    +    2.4e-189  627.1  18.5  -
Patulibacteraceae         -          LKAP-TSAKG2_E06_040_2018_2 -               48     941      19     916       9     918    1494    +    3.4e-189  626.3  17.6  -
Puniceicoccaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               38     945      19     916      11     918    1485    +    3.8e-189  626.3  17.5  -
Carnobacteriaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               28     944      19     916       8     918    1496    +    4.2e-189  626.2  17.8  -
Staphylococcaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               29     941      18     916       8     918    1479    +      1e-188  624.9  17.7  -
Desulfurellaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               33     950      18     916       9     918    1529    +    1.2e-188  624.5  17.4  -
Parviterribacteraceae     -          LKAP-TSAKG2_E06_040_2018_2 -               20     921      13     916       8     918    1456    +    1.7e-188  624.2  18.0  -
Cytophagales              -          LKAP-TSAKG2_E06_040_2018_2 -               27     920      18     916       9     918    1444    +    1.7e-188  624.2  17.4  -
Calditrichaeota           -          LKAP-TSAKG2_E06_040_2018_2 -               34     948      18     916       8     918    1483    +    5.7e-188  622.6  18.0  -
Thermolithobacteraceae    -          LKAP-TSAKG2_E06_040_2018_2 -               47     976      18     916       8     918    1546    +    5.9e-188  622.2  17.6  -
Microbacteriaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               22     916      12     916       6     918    1464    +    1.2e-187  621.2  18.2  -
Algiphilaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               47     944      18     916       7     918    1501    +    1.8e-187  620.5  18.0  -
Holophagaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               77     947      66     916      45     918    1502    +    2.4e-187  620.5  17.7  -
Chitinophagaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               28     926      18     917       7     918    1458    +    3.2e-187  620.3  17.4  -
Halobacteroidaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               28     932      13     916       8     918    1478    +    7.4e-187  618.5  17.7  -
Heliobacteriaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               44     927      18     916      10     918    1500    +    1.6e-186  617.6  18.1  -
Cyclobacteriaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               27     922      18     916       8     918    1447    +      3e-186  616.8  17.9  -
Bryobacteraceae           -          LKAP-TSAKG2_E06_040_2018_2 -               46     907      18     916       8     918    1417    +    6.5e-186  615.7  18.5  -
Rhodothermaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               27     921      18     916       8     918    1457    +    2.1e-185  614.0  18.2  -
Pseudonocardiaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               25     916      12     916       6     918    1475    +    2.3e-185  613.8  18.7  -
Fusobacteriaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               44     913      18     916       8     918    1458    +    2.5e-185  613.8  18.1  -
Intrasporangiaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               19     914      12     916       6     918    1461    +    3.1e-185  613.3  18.5  -
Sporomusaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               46     961      18     916       8     918    1535    +    8.5e-185  611.7  18.0  -
