# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               19     880      15     872       7     872    1491    +           0 1038.1  18.5  -
Streptococcaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               25     889      15     872       7     872    1497    +    7.7e-241  797.6  18.5  -
Clostridiales             -          LKAP-TSAKG2_H09_065_2018_2 -               28     862      17     871      10     872    1470    +    2.7e-239  792.4  18.3  -
Erysipelotrichaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               23     861      14     869       8     872    1466    +    2.5e-237  786.1  18.4  -
Syntrophomonadaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               36     896      15     872       8     872    1515    +    1.3e-231  766.8  18.2  -
Peptostreptococcaceae     -          LKAP-TSAKG2_H09_065_2018_2 -               19     842      15     870       8     872    1441    +    3.6e-231  765.4  18.3  -
Thermoanaerobacteraceae   -          LKAP-TSAKG2_H09_065_2018_2 -               24     867      14     872       8     872    1492    +    4.2e-230  761.8  18.1  -
Ruminococcaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               21     861      17     872       8     872    1457    +    1.9e-228  756.4  18.0  -
Selenomonadaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               43     908      19     872       8     872    1531    +    5.7e-225  744.9  18.9  -
Sporomusaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               38     900      15     872       8     872    1535    +    2.1e-223  739.5  18.7  -
Heliobacteriaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               35     866      14     872       8     872    1500    +      2e-222  736.6  18.3  -
Thermoanaerobacterales    -          LKAP-TSAKG2_H09_065_2018_2 -               28     869      16     872       7     872    1472    +    2.5e-222  736.2  18.3  -
Mycoplasmataceae          -          LKAP-TSAKG2_H09_065_2018_2 -               13     849      14     869       8     872    1467    +    2.5e-221  733.1  18.9  -
Veillonellaceae           -          LKAP-TSAKG2_H09_065_2018_2 -                2     869      19     872      18     872    1450    +    3.6e-219  725.6  19.3  -
Brevibacteriaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               33     866      18     872       7     872    1487    +      3e-216  715.9  18.2  -
Lachnospiraceae           -          LKAP-TSAKG2_H09_065_2018_2 -               21     857      17     869       8     872    1469    +    4.8e-215  712.0  18.0  -
Desulfovibrionaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               34     891      15     871       8     872    1527    +    5.1e-214  708.7  18.7  -
Deferribacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               27     879      16     871       9     872    1513    +    5.4e-214  708.5  18.1  -
Acidaminococcaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               25     889      14     872       7     872    1504    +    2.8e-213  705.8  18.3  -
Entomoplasmataceae        -          LKAP-TSAKG2_H09_065_2018_2 -               25     861      14     868       8     872    1497    +    3.6e-213  706.1  18.8  -
Spiroplasmataceae         -          LKAP-TSAKG2_H09_065_2018_2 -               41     873      14     868       8     872    1516    +    4.7e-213  705.8  18.5  -
Geobacteraceae            -          LKAP-TSAKG2_H09_065_2018_2 -               26     891      14     872       8     872    1487    +    1.1e-212  704.1  18.3  -
Thermoleophilaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               12     871      15     872       8     872    1494    +      9e-210  694.5  18.8  -
Spirochaetaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               28     873      17     869       8     872    1486    +    8.3e-209  691.5  18.8  -
Gammaproteobacteria       -          LKAP-TSAKG2_H09_065_2018_2 -               23     869      18     872       7     872    1481    +    8.5e-209  691.2  19.3  -
Desulfuromonadaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               35     901      14     872       7     872    1518    +    3.8e-208  689.3  18.4  -
Halobacteroidaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               27     871      15     872       8     872    1478    +    1.3e-207  687.2  18.2  -
Peptoniphilaceae          -          LKAP-TSAKG2_H09_065_2018_2 -                2     828      21     869      20     872    1437    +    2.1e-207  687.0  19.2  -
Desulfobacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               35     901      18     871       9     872    1516    +    1.3e-206  684.1  18.5  -
Rhodospirillaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               21     818      15     872       7     872    1429    +      4e-206  682.7  18.3  -
Acholeplasmataceae        -          LKAP-TSAKG2_H09_065_2018_2 -               10     846      14     869      10     872    1437    +    4.3e-205  678.9  18.4  -
Bacteroidaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               33     880      19     871       8     872    1480    +    5.9e-205  678.6  18.8  -
Syntrophaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               36     901      15     872       8     872    1551    +      1e-204  677.8  18.2  -
Acetobacteraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               25     820      16     872       8     872    1438    +    1.9e-204  677.2  18.1  -
Deltaproteobacteria       -          LKAP-TSAKG2_H09_065_2018_2 -               35     902      15     872       8     872    1514    +    2.4e-204  676.7  18.5  -
Anaeroplasmataceae        -          LKAP-TSAKG2_H09_065_2018_2 -               45     863      14     869       8     872    1453    +    8.5e-204  674.9  18.2  -
Rubrobacteraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               23     874      18     872       6     872    1495    +    5.6e-203  672.1  18.2  -
Acidobacteria             -          LKAP-TSAKG2_H09_065_2018_2 -               39     900      15     871       9     872    1505    +    9.5e-203  671.8  18.4  -
Thermolithobacteraceae    -          LKAP-TSAKG2_H09_065_2018_2 -               38     915      14     872       8     872    1546    +      1e-202  671.0  18.7  -
Natranaerobiaceae         -          LKAP-TSAKG2_H09_065_2018_2 -                6     843      22     871      17     872    1429    +    1.8e-202  670.4  18.4  -
Streptomycetaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               21     847      17     872       7     872    1479    +    2.1e-201  667.0  18.0  -
Hyphomicrobiaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               23     814      18     872       7     872    1427    +    4.4e-201  665.9  18.5  -
Ectothiorhodospiraceae    -          LKAP-TSAKG2_H09_065_2018_2 -               26     876      15     872       7     872    1463    +    1.1e-200  664.5  19.1  -
Desulfohalobiaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               24     895      14     871       8     872    1509    +    1.8e-200  663.7  18.2  -
Micrococcaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               31     862      18     872       7     872    1476    +    3.5e-200  662.9  18.4  -
Methylococcaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               38     877      19     872       9     872    1481    +    1.5e-198  657.3  19.2  -
Thermodesulfobiaceae      -          LKAP-TSAKG2_H09_065_2018_2 -               34     870      14     872       9     872    1520    +    1.5e-198  657.4  17.9  -
Halothiobacillaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               35     888      14     872       7     872    1500    +    3.6e-198  656.1  18.9  -
Piscirickettsiaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               21     873      15     872       8     872    1466    +    4.9e-198  655.6  19.2  -
Oceanospirillaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               24     871      19     872       8     872    1467    +    8.6e-198  654.7  19.4  -
Pseudonocardiaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               28     855      18     872       7     872    1475    +    9.9e-198  654.7  18.0  -
Symbiobacteriaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               11     876      13     872       5     872    1468    +    2.4e-197  653.8  18.4  -
Chrysiogenaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               38     867      14     871       7     872    1513    +    3.1e-197  653.2  18.2  -
Bdellovibrionaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               14     837      14     870       8     872    1430    +    4.4e-197  652.6  17.6  -
Alteromonadaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               23     869      18     872       8     872    1468    +    4.5e-197  652.4  19.0  -
Rhodobiaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               33     821      18     871       7     872    1440    +    4.8e-197  652.7  17.9  -
Halanaerobiaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               32     898      19     870      10     872    1503    +    5.1e-197  652.2  18.9  -
Synergistaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               24     843      19     872       8     872    1450    +      6e-197  652.1  19.1  -
Haliangiaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               40     900      19     872      10     872    1507    +    6.5e-197  652.1  18.9  -
Oceanospirillales         -          LKAP-TSAKG2_H09_065_2018_2 -               28     875      18     872       8     872    1489    +    7.1e-197  651.6  19.1  -
Syntrophobacteraceae      -          LKAP-TSAKG2_H09_065_2018_2 -               27     893      15     872       8     872    1496    +    7.8e-197  651.9  18.7  -
Chromatiaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               19     859      15     872       6     872    1455    +    2.4e-196  650.1  18.9  -
Hyphomonadaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               24     812      19     872       8     872    1400    +    2.6e-196  650.3  17.9  -
Fusobacteriaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               38     850      17     870       8     872    1458    +    1.2e-195  647.9  18.0  -
Lysobacteraceae           -          LKAP-TSAKG2_H09_065_2018_2 -               21     871      16     871       7     872    1484    +    1.5e-195  647.5  19.2  -
Nitrospiraceae            -          LKAP-TSAKG2_H09_065_2018_2 -               24     854      14     872       8     872    1479    +    2.1e-195  647.0  18.3  -
Pseudomonadaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               29     874      17     872       7     872    1491    +    2.2e-195  646.8  19.1  -
Defluviitaleaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               15     836      19     869       8     872    1413    +    2.9e-195  646.6  18.9  -
Desulfonatronaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               18     879      14     871       7     872    1495    +    4.1e-195  646.0  19.1  -
Microbacteriaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               25     854      18     871       7     872    1464    +    4.4e-195  645.9  18.5  -
Desulfobulbaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               24     884      18     871       8     872    1483    +    5.2e-195  645.6  18.4  -
Kangiellaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               29     882      16     872       8     872    1479    +    6.8e-195  645.2  18.8  -
Alphaproteobacteria       -          LKAP-TSAKG2_H09_065_2018_2 -               23     812      18     872       8     872    1409    +    1.3e-194  644.7  18.5  -
Polyangiaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               43     899      19     872      10     872    1548    +    4.2e-194  642.7  18.5  -
Alcanivoracaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               43     889      18     872       8     872    1504    +    4.8e-194  642.3  19.2  -
Spongiibacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               24     867      17     872       7     872    1462    +    1.3e-193  640.9  19.5  -
Hahellaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               20     868      16     872       7     872    1473    +    2.6e-193  640.0  19.2  -
Micromonosporaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               37     861      18     872       8     872    1482    +      5e-193  639.2  18.5  -
Methylobacteriaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               23     813      18     871       7     872    1426    +    5.8e-193  639.0  18.1  -
Caldicoprobacteraceae     -          LKAP-TSAKG2_H09_065_2018_2 -               34     879      14     872       8     872    1530    +      3e-192  636.5  18.5  -
Actinomycetaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               22     879      18     872       8     872    1468    +    3.5e-192  636.3  18.7  -
Calditrichaeota           -          LKAP-TSAKG2_H09_065_2018_2 -               26     884      15     869       8     872    1483    +    5.4e-192  635.9  18.5  -
Desulfomicrobiaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               28     884      14     871       7     872    1495    +    6.2e-192  635.5  18.4  -
Geodermatophilaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               37     862      19     872       7     872    1479    +    6.7e-192  635.5  18.4  -
Sneathiellaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               27     827      18     872       9     872    1427    +    9.5e-192  635.0  17.8  -
Cellvibrionaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               21     869      17     872       7     872    1472    +    1.1e-191  634.5  19.3  -
Thiotrichaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               18     825      14     871       5     872    1421    +    1.5e-191  634.1  18.4  -
Litoricolaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               31     876      18     872       8     872    1474    +    2.3e-191  633.7  19.1  -
Kineosporiaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               30     853      18     872       8     872    1463    +      4e-191  633.0  18.7  -
Conexibacteraceae         -          LKAP-TSAKG2_H09_065_2018_2 -               38     895      14     872       8     872    1536    +    6.5e-191  631.9  18.7  -
Rhodobacteraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               21     814      17     872       7     872    1402    +    9.3e-191  631.7  18.1  -
Coxiellaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               19     877      15     872       8     872    1475    +    9.6e-191  631.5  19.2  -
Chromobacteriaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               21     862      17     872       5     872    1460    +      1e-190  631.5  18.9  -
Rhizobiales               -          LKAP-TSAKG2_H09_065_2018_2 -               30     820      17     870       6     872    1438    +    2.7e-190  630.3  18.5  -
Parviterribacteraceae     -          LKAP-TSAKG2_H09_065_2018_2 -               24     860      19     872       8     872    1456    +    4.2e-190  629.4  19.2  -
Methylocystaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               35     823      19     871       9     872    1424    +      5e-190  629.4  18.2  -
Thiotrichales             -          LKAP-TSAKG2_H09_065_2018_2 -               40     889      16     872       9     872    1519    +    1.1e-189  627.7  18.6  -
Cellulomonadaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               27     855      18     872       8     872    1465    +    1.3e-189  627.9  18.8  -
Bacteriovoracaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               18     877      14     871       6     872    1473    +    1.8e-189  627.2  18.4  -
Promicromonosporaceae     -          LKAP-TSAKG2_H09_065_2018_2 -               24     847      19     872       7     872    1462    +    2.3e-189  627.0  18.6  -
Nocardiaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               24     846      19     872       7     872    1472    +      4e-189  626.3  18.3  -
Nakamurellaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               24     846      19     872       7     872    1462    +    4.4e-189  626.0  17.8  -
Acidiferrobacteraceae     -          LKAP-TSAKG2_H09_065_2018_2 -               18     861      14     872       8     872    1454    +      5e-189  625.9  19.3  -
Thioalkalispiraceae       -          LKAP-TSAKG2_H09_065_2018_2 -               30     888      14     872       6     872    1479    +    1.2e-188  624.4  19.4  -
Leptospiraceae            -          LKAP-TSAKG2_H09_065_2018_2 -               21     837      16     869       9     872    1431    +    1.5e-188  624.2  18.4  -
Patulibacteraceae         -          LKAP-TSAKG2_H09_065_2018_2 -               38     880      14     872       8     872    1494    +    1.7e-188  623.9  19.2  -
Thermomonosporaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               24     846      19     872       7     872    1464    +    1.9e-188  624.0  18.2  -
Solirubrobacteraceae      -          LKAP-TSAKG2_H09_065_2018_2 -                8     858      19     872      13     872    1443    +    2.1e-188  623.7  18.7  -
Acidimicrobiaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               41     869      17     872       9     872    1464    +    3.9e-188  623.0  18.2  -
Bogoriellaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               21     855      17     872       7     872    1470    +    5.6e-188  622.4  18.8  -
Intrasporangiaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               22     853      18     872       7     872    1461    +    7.8e-188  621.9  18.9  -
Beijerinckiaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               35     824      18     871       9     872    1421    +    1.1e-187  621.5  18.9  -
Caulobacteraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               21     811      17     871       8     872    1415    +    1.2e-187  621.4  17.9  -
Haloplasmataceae          -          LKAP-TSAKG2_H09_065_2018_2 -               20     855      15     871       5     872    1345    +    1.4e-187  621.0  18.2  -
Frankiaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               44     859      18     872       8     872    1499    +    2.3e-187  620.6  18.4  -
Corynebacteriaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               23     853      19     872       8     872    1459    +    4.7e-187  619.2  18.6  -
Nocardioidaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               22     848      18     872       7     872    1455    +    8.7e-187  618.5  18.2  -
Halieaceae                -          LKAP-TSAKG2_H09_065_2018_2 -               29     870      17     872       9     872    1484    +      1e-186  618.1  18.8  -
Bradyrhizobiaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               23     813      18     871       6     872    1428    +    1.4e-186  617.7  18.6  -
Glycomycetaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               30     865      18     872       7     872    1495    +    1.5e-186  617.8  18.5  -
Sanguibacteraceae         -          LKAP-TSAKG2_H09_065_2018_2 -               41     867      19     872       7     872    1483    +    1.8e-186  617.4  18.7  -
Halomonadaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               22     869      17     872       7     872    1466    +    2.5e-186  616.8  19.5  -
Sphingomonadaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               25     820      14     872       7     872    1434    +    2.7e-186  617.1  17.4  -
Rhizobiaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               24     810      19     871       6     872    1422    +    4.6e-186  616.2  19.0  -
Alteromonadales           -          LKAP-TSAKG2_H09_065_2018_2 -               23     871      18     872       7     872    1468    +    7.1e-186  615.0  19.6  -
Saccharospirillaceae      -          LKAP-TSAKG2_H09_065_2018_2 -               24     863      18     872       7     872    1468    +    7.4e-186  615.3  19.4  -
Dietziaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               15     835      19     872       9     872    1452    +    1.6e-185  614.3  18.3  -
Micrococcales             -          LKAP-TSAKG2_H09_065_2018_2 -               24     848      19     872       8     872    1475    +      3e-185  613.4  18.7  -
Beutenbergiaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               23     850      18     872       8     872    1472    +    3.2e-185  613.2  19.0  -
Xanthobacteraceae         -          LKAP-TSAKG2_H09_065_2018_2 -               24     809      19     871       7     872    1415    +    3.4e-185  613.3  19.0  -
Phyllobacteriaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               23     810      18     871       6     872    1424    +    5.8e-185  612.6  19.0  -
Thermodesulfobacteriaceae -          LKAP-TSAKG2_H09_065_2018_2 -               19     879      15     872       8     872    1497    +    6.4e-185  612.5  18.8  -
Cryptosporangiaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               24     843      19     872       8     872    1470    +    8.2e-185  611.9  18.5  -
Propionibacteriaceae      -          LKAP-TSAKG2_H09_065_2018_2 -               26     853      18     872       7     872    1462    +    1.7e-184  610.9  17.8  -
Streptosporangiaceae      -          LKAP-TSAKG2_H09_065_2018_2 -               24     842      19     872       7     872    1464    +    1.7e-184  610.7  18.2  -
Dermatophilaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               29     853      19     872       8     872    1480    +    2.2e-184  610.5  18.5  -
Aurantimonadaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               41     828      19     871       7     872    1442    +    4.9e-184  609.5  18.2  -
Corynebacterineae         -          LKAP-TSAKG2_H09_065_2018_2 -               24     845      19     872       9     872    1473    +    5.3e-184  609.3  18.4  -
Nevskiaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               27     864      14     872       7     872    1470    +    1.6e-183  607.8  19.1  -
Mycobacteriaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               29     855      19     872       8     872    1471    +      3e-183  606.6  18.4  -
Moraxellaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               21     861      19     872       7     872    1468    +    9.1e-183  605.2  19.2  -
Nautiliaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               20     837      16     872       8     872    1431    +    1.3e-182  604.8  18.7  -
Rhodanobacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               20     871      15     871       6     872    1473    +    1.4e-182  604.5  19.0  -
Demequinaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               24     850      19     872       8     872    1478    +    1.4e-182  604.4  19.3  -
Succinivibrionaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               27     847      19     872       9     872    1473    +    1.5e-182  604.3  19.3  -
Rhodocyclaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               22     867      17     872       7     872    1484    +    1.8e-182  604.1  19.0  -
Jiangellaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               29     852      18     872       6     872    1497    +    2.3e-182  603.7  18.7  -
Sporichthyaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               23     845      18     872       8     872    1472    +    2.8e-182  603.6  18.6  -
Flammeovirgaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               21     856      16     869       8     872    1446    +    4.1e-182  603.2  18.4  -
Catenulisporaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               24     845      19     872       8     872    1460    +    4.1e-182  603.0  18.5  -
Desulfurellaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               24     889      14     872       8     872    1529    +    5.9e-182  602.3  18.6  -
Thermithiobacillaceae     -          LKAP-TSAKG2_H09_065_2018_2 -                4     848      15     871      13     872    1419    +    6.1e-182  602.4  19.3  -
Cystobacteraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               18     877      14     871       8     872    1491    +    7.5e-182  602.0  18.7  -
Segniliparaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               22     847      14     872       8     872    1462    +    8.7e-182  602.0  17.8  -
Chelatococcaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               35     822      19     871       7     872    1439    +    1.1e-181  601.7  18.4  -
Nannocystaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               36     876      18     871      11     872    1487    +    1.1e-181  601.6  18.5  -
Salinisphaeraceae         -          LKAP-TSAKG2_H09_065_2018_2 -               10     855      17     872      10     872    1429    +    2.7e-181  600.3  19.1  -
Thermaceae                -          LKAP-TSAKG2_H09_065_2018_2 -               28     851      14     872       7     872    1477    +    5.3e-181  599.4  18.0  -
Thermotogaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               37     888      15     871       8     872    1545    +    6.4e-181  599.1  19.0  -
Dehalococcoidaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               21     835      16     871       9     872    1437    +      1e-180  598.8  18.5  -
Rarobacteraceae           -          LKAP-TSAKG2_H09_065_2018_2 -               13     836      19     872      12     872    1464    +    1.1e-180  598.0  18.7  -
Burkholderiaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               21     862      16     871       7     872    1482    +    1.3e-180  598.0  19.1  -
Atopobacteriaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               24     851      16     872       8     872    1442    +    1.4e-180  598.0  18.3  -
Tsukamurellaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               42     865      18     872       6     872    1495    +    1.7e-180  597.6  18.3  -
Myxococcaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               32     893      14     871       8     872    1517    +    2.4e-180  597.0  18.8  -
Cytophagaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               24     851      17     869       7     872    1437    +    3.3e-180  596.7  18.4  -
Wenzhouxiangellaceae      -          LKAP-TSAKG2_H09_065_2018_2 -               20     875      16     872       6     872    1472    +    4.3e-180  596.1  19.2  -
Anaerolineaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               18     846      14     872       8     872    1430    +    5.4e-180  596.5  18.2  -
Balneolaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               23     861      18     869       6     872    1459    +    6.9e-180  595.5  18.5  -
Dermacoccaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               20     848      18     872       7     872    1456    +    1.4e-179  594.5  18.5  -
Erythrobacteraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               20     813      15     871       7     872    1433    +    1.4e-179  594.7  17.4  -
Actinomycetales           -          LKAP-TSAKG2_H09_065_2018_2 -               44     883      19     872       9     872    1535    +    1.8e-179  594.2  19.0  -
Helicobacteraceae         -          LKAP-TSAKG2_H09_065_2018_2 -               37     848      14     871       8     872    1473    +    2.7e-179  593.3  18.2  -
Neisseriaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               36     883      17     871       8     872    1477    +      3e-179  593.5  19.2  -
Cardiobacteriaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               30     874      18     872       8     872    1464    +    3.7e-179  593.4  19.2  -
Brucellaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               29     814      19     871       7     872    1411    +    3.9e-179  593.3  19.0  -
Actinospicaceae           -          LKAP-TSAKG2_H09_065_2018_2 -                2     823      20     872      19     872    1425    +      6e-179  592.4  18.5  -
Rhodothermaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               21     860      17     872       8     872    1457    +    6.5e-179  592.4  18.2  -
Arenicellaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               24     863      19     871       8     872    1488    +    6.8e-179  592.4  18.8  -
