# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               16     946      13     947       6     947    1468    +           0 1102.4  19.5  -
Oceanospirillaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               29     956      20     947       7     947    1467    +    3.1e-303 1004.4  19.3  -
Aeromonadaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               44     969      23     947       8     947    1496    +    7.1e-265  877.1  19.0  -
Legionellaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               27     953      23     947       8     947    1446    +    1.8e-264  876.1  18.8  -
Moritellaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               34     972      13     947       7     947    1501    +    1.9e-264  875.8  19.3  -
Acidiferrobacteraceae     -          LKAP-TSAKG2_B11_093_2018_2 -               64     946      67     947      56     947    1454    +      1e-263  873.5  19.6  -
Vibrionaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               30     965      22     947       8     947    1474    +    1.5e-263  872.8  18.9  -
Thiotrichales             -          LKAP-TSAKG2_B11_093_2018_2 -               53     974      24     947      11     947    1519    +    3.1e-263  871.6  19.3  -
Alcaligenaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               30     951      22     947       6     947    1467    +      3e-262  868.7  19.1  -
Burkholderiaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               33     948      24     947       8     947    1482    +    1.1e-261  866.9  19.1  -
Neisseriaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               45     969      23     947       9     947    1477    +    6.5e-261  864.3  19.2  -
Succinivibrionaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               32     932      21     947       8     947    1473    +      1e-258  856.8  19.5  -
Salinisphaeraceae         -          LKAP-TSAKG2_B11_093_2018_2 -               17     940      21     947       9     947    1429    +    4.4e-257  851.6  19.0  -
Rhodocyclaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               30     952      22     947       7     947    1484    +    2.9e-256  848.8  19.1  -
Burkholderiales           -          LKAP-TSAKG2_B11_093_2018_2 -               29     949      21     947       7     947    1463    +    1.9e-254  842.8  19.0  -
Rhodanobacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               31     957      21     947       7     947    1473    +    1.2e-253  840.1  18.9  -
Enterobacteriaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               30     955      22     947       7     947    1465    +    2.3e-253  839.2  19.1  -
Rhodospirillaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               53     903      61     947      33     947    1429    +    9.2e-253  837.3  19.0  -
Oxalobacteraceae          -          LKAP-TSAKG2_B11_093_2018_2 -               29     950      21     947       7     947    1459    +    2.1e-252  836.1  19.2  -
Methylophilaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               13     939      22     947      13     947    1431    +    1.2e-251  833.6  19.3  -
Pasteurellaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               29     956      21     947       7     947    1422    +    3.1e-251  832.1  19.0  -
Sulfuricellaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               34     953      24     947      12     947    1463    +    3.5e-251  832.0  19.3  -
Pectobacteriaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               26     952      21     947       7     947    1477    +    4.4e-251  831.5  19.1  -
Erwiniaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               27     950      23     947       7     947    1483    +      9e-251  830.6  19.1  -
Yersiniaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               30     955      22     947       8     947    1473    +    3.9e-249  825.1  19.1  -
Celerinatantimonadaceae   -          LKAP-TSAKG2_B11_093_2018_2 -               24     962      21     947       8     947    1433    +    4.3e-249  825.1  19.3  -
Psychromonadaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               29     955      21     947       7     947    1467    +    8.7e-249  824.0  19.2  -
Francisellaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               39     956      20     947       8     947    1508    +    5.1e-248  821.5  19.0  -
Hafniaceae                -          LKAP-TSAKG2_B11_093_2018_2 -               25     949      22     947       7     947    1459    +    5.3e-248  821.3  19.0  -
Morganellaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               33     958      22     947       8     947    1487    +    3.3e-246  815.6  19.2  -
Hyphomicrobiaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               55     899      65     947      44     947    1427    +    8.4e-246  814.2  19.3  -
Acetobacteraceae          -          LKAP-TSAKG2_B11_093_2018_2 -               28     905      35     947      21     947    1438    +    4.9e-245  811.8  19.9  -
Hydrogenophilaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               29     950      21     947       8     947    1461    +    1.9e-244  809.8  18.9  -
Budviciaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               21     945      23     947       9     947    1483    +    3.8e-244  808.6  19.2  -
Rhodobiaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               64     907      66     947      44     947    1440    +    8.5e-244  807.7  19.5  -
Sutterellaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               28     952      20     947       7     947    1487    +    1.1e-243  806.9  19.1  -
Zoogloeaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               37     957      22     947       9     947    1474    +      2e-243  806.2  20.0  -
Thiobacilliaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               53     969      25     947      11     947    1517    +    1.9e-242  803.1  19.4  -
Thermithiobacillaceae     -          LKAP-TSAKG2_B11_093_2018_2 -               18     934      24     947      13     947    1419    +    2.1e-242  802.9  18.9  -
Alphaproteobacteria       -          LKAP-TSAKG2_B11_093_2018_2 -               51     897      63     947      39     947    1409    +    7.9e-240  794.6  19.0  -
Comamonadaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               29     948      21     947       7     947    1466    +    1.3e-239  793.3  19.0  -
Clostridiaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               47     944      24     947      11     947    1485    +    3.8e-239  791.9  19.4  -
Acidithiobacillaceae      -          LKAP-TSAKG2_B11_093_2018_2 -               30     946      23     947      11     947    1457    +    1.2e-238  790.3  18.9  -
Nitrosomonadaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               68     951      66     947      45     947    1461    +    4.7e-238  788.6  20.0  -
Clostridiales             -          LKAP-TSAKG2_B11_093_2018_2 -               40     948      24     947      13     947    1470    +    6.3e-238  788.0  18.9  -
Eubacteriaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               47     955      24     947      12     947    1485    +    6.7e-238  787.9  19.8  -
Syntrophomonadaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               50     981      24     947      11     947    1515    +    2.5e-236  782.6  19.5  -
Desulfovibrionaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               48     977      24     947      12     947    1527    +      7e-235  778.0  19.1  -
Rhodobacteraceae          -          LKAP-TSAKG2_B11_093_2018_2 -               22     899      34     947      14     947    1402    +    1.6e-234  776.9  18.6  -
Ruminococcaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               33     946      24     947       9     947    1457    +    6.2e-234  774.7  19.6  -
Azonexaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               34     954      24     947       7     947    1474    +    1.4e-233  773.8  19.3  -
Thorselliaceae            -          LKAP-TSAKG2_B11_093_2018_2 -                6     924      24     947      20     947    1419    +    1.5e-233  773.4  19.3  -
Deltaproteobacteria       -          LKAP-TSAKG2_B11_093_2018_2 -               86     987      67     947      47     947    1514    +    4.1e-233  772.2  19.6  -
Phyllobacteriaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               23     896      35     947      15     947    1424    +    1.5e-232  770.4  18.8  -
Hyphomonadaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               51     897      63     947      36     947    1400    +    1.8e-232  770.2  19.1  -
Orbaceae                  -          LKAP-TSAKG2_B11_093_2018_2 -               56     979      21     947       8     947    1539    +    1.9e-232  769.8  19.3  -
Desulfobacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               47     987      25     947      13     947    1516    +    1.9e-232  769.8  18.9  -
Methylocystaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               66     909      66     947      42     947    1424    +    3.5e-232  769.2  19.3  -
Desulfohalobiaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               39     981      24     947      13     947    1509    +    1.3e-231  767.1  19.0  -
Rhizobiales               -          LKAP-TSAKG2_B11_093_2018_2 -               55     907      57     947      16     947    1438    +    1.5e-231  767.1  18.9  -
Syntrophaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               86     986      68     947      48     947    1551    +    6.1e-231  764.9  19.5  -
Peptococcaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               40     941      24     947      10     947    1479    +    5.6e-230  761.5  20.0  -
Desulfobulbaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               69     970      67     947      45     947    1483    +    4.1e-229  758.8  19.7  -
Xanthobacteraceae         -          LKAP-TSAKG2_B11_093_2018_2 -               53     895      67     947      46     947    1415    +      5e-229  758.7  19.4  -
Nautiliaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               31     922      23     947       9     947    1431    +    7.1e-229  758.3  19.0  -
Rhizobiaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               53     896      66     947      43     947    1422    +      1e-228  757.6  19.4  -
Methylothermaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               50     976      21     947       7     947    1491    +    1.2e-228  757.2  19.1  -
Aurantimonadaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               71     914      66     947      45     947    1442    +    3.5e-228  756.0  19.5  -
Lachnospiraceae           -          LKAP-TSAKG2_B11_093_2018_2 -               31     945      22     947       9     947    1469    +    8.7e-228  754.4  19.6  -
Sphingomonadaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               56     905      61     947      39     947    1434    +    7.3e-227  751.7  19.0  -
Geobacteraceae            -          LKAP-TSAKG2_B11_093_2018_2 -               41     976      24     947      10     947    1487    +    3.6e-226  749.0  18.8  -
Sneathiellaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               70     912      67     947      47     947    1427    +      7e-226  748.2  19.3  -
Kiloniellaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               85     926      68     947      47     947    1450    +    1.8e-225  746.6  19.2  -
Thermoanaerobacteraceae   -          LKAP-TSAKG2_B11_093_2018_2 -               37     952      23     947      11     947    1492    +    4.6e-225  745.2  19.4  -
Anaplasmataceae           -          LKAP-TSAKG2_B11_093_2018_2 -               44     929      24     947       9     947    1441    +    4.7e-225  745.6  18.4  -
Beijerinckiaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               66     910      65     947      44     947    1421    +    6.9e-225  744.8  19.4  -
Bradyrhizobiaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               57     899      67     947      45     947    1428    +    4.9e-223  738.7  19.3  -
Methylobacteriaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               57     899      67     947      43     947    1426    +    1.2e-222  737.5  19.4  -
Bdellovibrionaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               59     924      66     947      42     947    1430    +    1.6e-222  737.0  19.6  -
Desulfuromonadaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               50     986      24     947      11     947    1518    +    1.8e-222  736.8  19.0  -
Parvularculaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               71     917      63     947      43     947    1428    +    2.5e-222  736.8  19.3  -
Brucellaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               58     900      67     947      43     947    1411    +    4.7e-221  732.3  19.4  -
Spirillaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               45     974      21     947       8     947    1447    +    5.2e-221  732.2  19.1  -
Thermoanaerobacterales    -          LKAP-TSAKG2_B11_093_2018_2 -               37     954      21     947       8     947    1472    +    7.5e-221  731.5  19.9  -
Erythrobacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               53     899      64     947      43     947    1433    +    8.2e-221  731.6  19.2  -
Peptostreptococcaceae     -          LKAP-TSAKG2_B11_093_2018_2 -               33     929      24     947      11     947    1441    +    1.3e-220  730.5  19.1  -
Helicobacteraceae         -          LKAP-TSAKG2_B11_093_2018_2 -               48     934      20     947      11     947    1473    +    1.4e-220  730.3  18.6  -
Bacillales                -          LKAP-TSAKG2_B11_093_2018_2 -               40     978      24     947      13     947    1503    +    2.4e-220  729.9  18.7  -
Acidobacteria             -          LKAP-TSAKG2_B11_093_2018_2 -               85     986      66     947      46     947    1505    +    4.8e-220  729.3  19.6  -
Caulobacteraceae          -          LKAP-TSAKG2_B11_093_2018_2 -               54     897      66     947      43     947    1415    +    2.6e-219  726.4  19.3  -
Bacteroidaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               38     966      21     947       9     947    1480    +    2.2e-218  723.2  18.8  -
Nitrospiraceae            -          LKAP-TSAKG2_B11_093_2018_2 -               76     939      64     947      40     947    1479    +    3.8e-218  722.5  19.5  -
Spirochaetaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               37     961      23     947       9     947    1486    +    1.7e-217  720.4  19.1  -
Porticoccaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               73     956      66     947      36     947    1497    +      5e-217  718.5  19.2  -
Lactobacillaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               36     996      24     947      12     947    1522    +    8.4e-217  718.1  18.8  -
Oleiphilaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               40     952      22     947       6     947    1437    +      1e-216  717.5  19.4  -
Leptospiraceae            -          LKAP-TSAKG2_B11_093_2018_2 -               52     925      64     947      43     947    1431    +    5.6e-216  715.2  19.8  -
Chelatococcaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               66     908      67     947      47     947    1439    +    5.8e-216  715.5  19.3  -
Flavobacteriaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               28     952      21     947       7     947    1451    +    7.6e-216  714.8  19.3  -
Bacteriovoracaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               65     963      68     947      48     947    1473    +    9.4e-216  714.5  19.5  -
Desulfarculaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               80     982      68     947      48     947    1516    +    3.5e-215  712.8  19.4  -
Cohaesibacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               73     916      66     947      43     947    1425    +      6e-215  712.1  19.4  -
Bacillaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               24     971      17     947       5     947    1493    +      6e-215  711.9  19.0  -
Synergistaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               32     928      23     947       9     947    1450    +    8.1e-215  711.5  20.5  -
Kordiimonadaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               34     908      25     947      12     947    1421    +      1e-214  711.3  18.8  -
Bartonellaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               50     898      61     947      40     947    1410    +    1.3e-214  710.9  19.4  -
Flammeovirgaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               30     944      21     947       8     947    1446    +    2.9e-214  709.9  19.0  -
Cytophagaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               33     939      22     947       7     947    1437    +      1e-213  707.8  19.6  -
Haliangiaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               85     985      68     947      47     947    1507    +    1.5e-213  707.4  19.1  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_B11_093_2018_2 -               40     967      23     947      12     947    1495    +    3.2e-213  706.4  19.2  -
Erysipelotrichaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               38     949      24     947      12     947    1466    +    4.6e-213  705.8  19.5  -
Micrococcaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               38     947      21     947       7     947    1476    +    5.7e-213  705.4  19.5  -
Syntrophobacteraceae      -          LKAP-TSAKG2_B11_093_2018_2 -               80     978      68     947      47     947    1496    +    1.3e-212  704.3  19.6  -
Deferribacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               75     965      70     947      50     947    1513    +    2.3e-212  703.2  19.7  -
Paenibacillaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               31     970      21     947       8     947    1493    +    2.7e-212  703.1  19.3  -
Selenomonadaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               52     993      24     947       9     947    1531    +    4.5e-212  702.3  19.0  -
Halobacteriovoracaceae    -          LKAP-TSAKG2_B11_093_2018_2 -               66     968      67     947      47     947    1480    +    8.6e-212  701.4  19.5  -
Campylobacteraceae        -          LKAP-TSAKG2_B11_093_2018_2 -               31     932      23     947       9     947    1429    +    3.6e-211  699.1  19.1  -
Streptococcaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               39     974      24     947      11     947    1497    +    4.6e-211  699.0  19.1  -
Immundisolibacteraceae    -          LKAP-TSAKG2_B11_093_2018_2 -               61     984      23     947       7     947    1555    +    3.4e-210  695.8  19.0  -
Woeseiaceae               -          LKAP-TSAKG2_B11_093_2018_2 -               41     964      23     947       7     947    1476    +    7.3e-210  694.7  19.0  -
Streptomycetaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               66     932      68     947      45     947    1479    +    1.8e-209  693.9  20.2  -
Rickettsiaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               33     910      24     947      10     947    1430    +    3.2e-209  693.0  18.6  -
Verrucomicrobiaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               34     956      24     947      11     947    1470    +    1.9e-208  690.5  19.0  -
Mycoplasmataceae          -          LKAP-TSAKG2_B11_093_2018_2 -               29     937      25     947      16     947    1467    +      2e-208  690.5  19.6  -
Ventosimonadaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               61     982      25     947       7     947    1489    +    3.3e-208  689.2  19.3  -
Planococcaceae            -          LKAP-TSAKG2_B11_093_2018_2 -               32     965      23     947      10     947    1491    +    5.4e-208  688.8  18.6  -
Brevibacteriaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               43     951      24     947      10     947    1487    +    6.8e-208  688.4  19.1  -
Desulfomicrobiaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               76     970      67     947      50     947    1495    +    3.3e-207  686.2  19.6  -
Aerococcaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               33     968      24     947      10     947    1473    +    6.9e-207  685.2  18.8  -
Alicyclobacillaceae       -          LKAP-TSAKG2_B11_093_2018_2 -               51     971      22     947      11     947    1512    +      1e-206  684.9  19.2  -
Caldicoprobacteraceae     -          LKAP-TSAKG2_B11_093_2018_2 -               49     964      24     947      11     947    1530    +    1.5e-206  684.0  19.7  -
Puniceicoccaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               43     969      24     947      12     947    1485    +    4.4e-206  682.5  18.6  -
Polyangiaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               84     984      68     947      47     947    1548    +    1.4e-205  680.8  19.5  -
Carnobacteriaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               32     968      23     947       8     947    1496    +    4.5e-205  679.2  18.9  -
Patulibacteraceae         -          LKAP-TSAKG2_B11_093_2018_2 -               85     965      65     947      46     947    1494    +    4.6e-205  678.9  19.4  -
Holophagaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               77     971      71     947      51     947    1502    +    3.8e-204  676.3  19.6  -
Calditrichaeota           -          LKAP-TSAKG2_B11_093_2018_2 -               79     972      70     947      50     947    1483    +    6.7e-204  675.4  19.6  -
Staphylococcaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               34     965      23     947       9     947    1479    +    1.1e-203  674.7  18.7  -
Thermolithobacteraceae    -          LKAP-TSAKG2_B11_093_2018_2 -               53    1000      24     947      11     947    1546    +    1.3e-203  674.1  18.7  -
Heliobacteriaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               50     951      24     947      12     947    1500    +    1.3e-202  671.1  19.7  -
Hymenobacteraceae         -          LKAP-TSAKG2_B11_093_2018_2 -               57     936      65     947      41     947    1445    +    1.7e-202  670.7  19.4  -
Bernardetiaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               29     947      21     947       8     947    1481    +    1.7e-202  670.6  19.4  -
Porphyromonadaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               39     959      23     947      11     947    1473    +    2.1e-202  670.4  18.8  -
Parviterribacteraceae     -          LKAP-TSAKG2_B11_093_2018_2 -               65     945      65     947      54     947    1456    +    2.2e-202  670.2  20.0  -
Desulfurellaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               73     974      68     947      48     947    1529    +    6.6e-202  668.5  19.2  -
Halobacteroidaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               77     956      68     947      47     947    1478    +    9.1e-202  668.0  19.6  -
Microbacteriaceae         -          LKAP-TSAKG2_B11_093_2018_2 -               32     940      21     947       7     947    1464    +    9.9e-202  668.0  19.4  -
Bryobacteraceae           -          LKAP-TSAKG2_B11_093_2018_2 -               86     931      68     947      48     947    1417    +    1.3e-201  667.8  20.2  -
Cytophagales              -          LKAP-TSAKG2_B11_093_2018_2 -               19     944      13     947       7     947    1444    +    3.5e-201  666.3  19.2  -
Fusobacteriaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               74     937      65     947      40     947    1458    +      4e-201  666.2  19.9  -
Pseudonocardiaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               36     940      22     947       7     947    1475    +    5.5e-201  665.7  19.8  -
Veillonellaceae           -          LKAP-TSAKG2_B11_093_2018_2 -               11     954      24     947      16     947    1450    +    6.5e-201  665.2  19.1  -
Lysobacteriales           -          LKAP-TSAKG2_B11_093_2018_2 -               60     979      23     947       7     947    1508    +    9.7e-201  664.7  19.2  -
Sporomusaceae             -          LKAP-TSAKG2_B11_093_2018_2 -               52     985      24     947      11     947    1535    +    1.4e-200  664.0  19.2  -
Chitinophagaceae          -          LKAP-TSAKG2_B11_093_2018_2 -               28     949      18     947       6     947    1458    +    2.1e-200  664.0  18.8  -
Nocardiaceae              -          LKAP-TSAKG2_B11_093_2018_2 -               33     931      24     947       8     947    1472    +    3.8e-200  662.9  19.9  -
Desulfonatronaceae        -          LKAP-TSAKG2_B11_093_2018_2 -               68     965      67     947      46     947    1495    +    6.1e-200  662.1  20.1  -
