# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          A0224_LKAP-FHGF1_C07_059 -               21     881       6     858       1     860    1466    +           0 1052.1  20.8  -
Vibrionaceae_Photobacterium                      -          A0224_LKAP-FHGF1_C07_059 -               21     881       6     858       1     860    1487    +    4.7e-303 1006.2  20.8  -
Morganellaceae_Providencia                       -          A0224_LKAP-FHGF1_C07_059 -               29     876       6     857       1     860    1489    +    2.9e-259  861.2  20.5  -
Enterobacteriaceae_Gibbsiella                    -          A0224_LKAP-FHGF1_C07_059 -                2     832      25     857      24     860    1396    +      7e-259  860.0  20.9  -
Enterobacteriaceae_Franconibacter                -          A0224_LKAP-FHGF1_C07_059 -               27     874       6     857       1     860    1325    +    9.5e-259  859.8  20.9  -
Budviciaceae_Budvicia                            -          A0224_LKAP-FHGF1_C07_059 -               42     891       6     857       1     860    1536    +    2.3e-258  858.1  20.9  -
Enterobacteriaceae_Mangrovibacter                -          A0224_LKAP-FHGF1_C07_059 -                3     817      41     857      39     860    1368    +      3e-257  854.5  20.1  -
Gammaproteobacteria_Gallaecimonas                -          A0224_LKAP-FHGF1_C07_059 -               41     890       6     857       1     860    1506    +    1.2e-256  852.4  20.8  -
Psychromonadaceae_Psychromonas                   -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     857       1     860    1467    +    1.9e-256  851.9  20.7  -
Moritellaceae_Paramoritella                      -          A0224_LKAP-FHGF1_C07_059 -               22     868       7     857       1     860    1512    +    3.1e-256  851.0  20.6  -
Aeromonadaceae_Zobellella                        -          A0224_LKAP-FHGF1_C07_059 -               28     877       6     857       1     860    1478    +    4.1e-256  850.5  20.9  -
Hafniaceae_Edwardsiella                          -          A0224_LKAP-FHGF1_C07_059 -               22     872       7     857       1     860    1466    +    9.8e-256  849.4  20.8  -
Colwelliaceae_Thalassotalea                      -          A0224_LKAP-FHGF1_C07_059 -               22     868       7     857       1     860    1463    +      2e-255  848.6  20.8  -
Pseudoalteromonadaceae_Algicola                  -          A0224_LKAP-FHGF1_C07_059 -               36     884       6     858       1     860    1490    +    1.6e-254  845.4  20.9  -
Colwelliaceae_Colwellia                          -          A0224_LKAP-FHGF1_C07_059 -               22     870       7     857       1     860    1485    +    1.1e-253  842.7  20.9  -
Aeromonadaceae_Pseudaeromonas                    -          A0224_LKAP-FHGF1_C07_059 -                4     853       6     857       3     860    1491    +    3.8e-253  840.7  20.7  -
Yersiniaceae_Rahnella                            -          A0224_LKAP-FHGF1_C07_059 -                1     791      65     857      65     860    1345    +    5.8e-253  840.4  19.1  -
Alteromonadaceae_Catenovulum                     -          A0224_LKAP-FHGF1_C07_059 -               21     862       6     857       1     860    1451    +    1.5e-252  838.8  20.2  -
Morganellaceae_Morganella                        -          A0224_LKAP-FHGF1_C07_059 -                3     817      41     857      39     860    1356    +    2.4e-252  838.5  20.2  -
Morganellaceae_Proteus                           -          A0224_LKAP-FHGF1_C07_059 -               31     880       6     857       1     860    1494    +    7.6e-252  836.6  20.8  -
Gammaproteobacteria_Alkalimonas                  -          A0224_LKAP-FHGF1_C07_059 -               39     887       6     858       1     861    1502    +    2.8e-251  834.7  20.5  -
Chromatiaceae_Rheinheimera                       -          A0224_LKAP-FHGF1_C07_059 -               28     860       6     858       1     860    1472    +    5.2e-251  833.9  20.4  -
Aeromonadaceae_Oceanimonas                       -          A0224_LKAP-FHGF1_C07_059 -               18     869       6     857       1     860    1483    +    1.4e-250  832.3  20.8  -
Thorselliaceae_Thorsellia                        -          A0224_LKAP-FHGF1_C07_059 -                3     847       7     857       4     860    1421    +    2.9e-250  831.2  20.6  -
Colwelliaceae_Thalassomonas                      -          A0224_LKAP-FHGF1_C07_059 -               21     868       6     857       1     860    1462    +    6.8e-250  830.1  21.0  -
Enterobacteriaceae_Cedecea                       -          A0224_LKAP-FHGF1_C07_059 -                1     792      64     857      64     860    1403    +    1.1e-249  829.5  19.0  -
Morganellaceae_Photorhabdus                      -          A0224_LKAP-FHGF1_C07_059 -               23     874       6     857       1     860    1478    +      1e-248  826.6  20.7  -
Alteromonadaceae_Alishewanella                   -          A0224_LKAP-FHGF1_C07_059 -               26     862       2     858       1     860    1426    +    2.1e-248  825.2  20.3  -
Pseudomonadaceae_Pseudomonas                     -          A0224_LKAP-FHGF1_C07_059 -               28     874       6     857       1     860    1502    +    1.9e-247  822.1  20.8  -
Aeromonadaceae_Tolumonas                         -          A0224_LKAP-FHGF1_C07_059 -               31     881       6     857       1     860    1514    +      8e-247  820.0  20.9  -
Idiomarinaceae_Aliidiomarina                     -          A0224_LKAP-FHGF1_C07_059 -                2     844      12     857      11     860    1410    +    1.8e-246  818.6  21.0  -
Idiomarinaceae_Pseudidiomarina                   -          A0224_LKAP-FHGF1_C07_059 -               21     871       6     857       1     860    1499    +    2.5e-246  818.1  20.7  -
Alteromonadaceae_Marinobacterium                 -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     857       1     860    1465    +    3.9e-246  817.7  21.0  -
Alteromonadaceae_Bowmanella                      -          A0224_LKAP-FHGF1_C07_059 -               39     882       6     857       1     860    1496    +    2.9e-244  811.5  20.2  -
Celerinatantimonadaceae_Celerinatantimonas       -          A0224_LKAP-FHGF1_C07_059 -               16     877       6     857       1     860    1433    +    3.3e-244  811.4  20.7  -
Pseudoalteromonadaceae_Psychrosphaera            -          A0224_LKAP-FHGF1_C07_059 -               25     865       6     857       1     860    1450    +      4e-243  807.7  20.0  -
Pasteurellaceae_Pasteurella                      -          A0224_LKAP-FHGF1_C07_059 -               22     871       7     857       1     860    1365    +    4.1e-240  797.9  20.8  -
Pasteurellaceae_Actinobacillus                   -          A0224_LKAP-FHGF1_C07_059 -               22     870       7     857       1     860    1364    +    5.9e-240  797.4  20.7  -
Moritellaceae_Moritella                          -          A0224_LKAP-FHGF1_C07_059 -               42     892       7     857       1     860    1506    +    2.2e-239  795.2  20.4  -
Alteromonadaceae_Paraglaciecola                  -          A0224_LKAP-FHGF1_C07_059 -               31     872       6     857       1     860    1495    +    2.5e-239  794.9  20.4  -
Alteromonadaceae_Aliiglaciecola                  -          A0224_LKAP-FHGF1_C07_059 -                7     850       6     857       2     860    1440    +    3.3e-239  794.6  20.1  -
Alteromonadaceae_Glaciecola                      -          A0224_LKAP-FHGF1_C07_059 -               41     882       6     857       1     860    1474    +    5.5e-239  793.9  20.5  -
Oceanospirillaceae_Marinomonas                   -          A0224_LKAP-FHGF1_C07_059 -               22     870       7     857       1     860    1467    +      1e-238  792.8  20.9  -
Alteromonadaceae_Aliagarivorans                  -          A0224_LKAP-FHGF1_C07_059 -               14     876       6     857       1     860    1462    +    1.5e-238  792.7  20.8  -
Alcanivoracaceae_Alcanivorax                     -          A0224_LKAP-FHGF1_C07_059 -               41     889       6     857       1     860    1505    +    1.7e-238  792.2  20.5  -
Pasteurellaceae_Haemophilus                      -          A0224_LKAP-FHGF1_C07_059 -               22     868       7     857       1     860    1450    +      4e-238  791.1  20.7  -
Pectobacteriaceae_Lonsdalea                      -          A0224_LKAP-FHGF1_C07_059 -                1     791      65     857      65     860    1345    +    6.7e-238  790.4  19.0  -
Thermoleophilaceae_Thermoleophilum               -          A0224_LKAP-FHGF1_C07_059 -               14     871       6     857       1     860    1494    +      1e-236  786.4  20.5  -
Oceanospirillaceae_Thalassolituus                -          A0224_LKAP-FHGF1_C07_059 -               29     875       7     857       1     860    1476    +    1.3e-236  786.0  20.8  -
Orbaceae_Orbus                                   -          A0224_LKAP-FHGF1_C07_059 -               35     879       7     857       1     860    1522    +    4.2e-236  784.3  20.7  -
Pasteurellaceae_Mannheimia                       -          A0224_LKAP-FHGF1_C07_059 -               42     888       7     857       1     860    1504    +    4.7e-236  784.3  20.7  -
Alteromonadaceae_Alteromonas                     -          A0224_LKAP-FHGF1_C07_059 -               21     862       6     857       1     860    1464    +    6.4e-236  783.7  20.3  -
Cellvibrionaceae_Cellvibrio                      -          A0224_LKAP-FHGF1_C07_059 -               41     884       6     858       1     860    1505    +    1.7e-235  782.4  20.5  -
Alteromonadaceae_Aestuariibacter                 -          A0224_LKAP-FHGF1_C07_059 -               21     862       6     857       1     860    1455    +    1.1e-234  779.7  20.1  -
Pasteurellaceae_Ursidibacter                     -          A0224_LKAP-FHGF1_C07_059 -               67     917       7     857       1     860    1409    +    1.2e-234  779.7  20.7  -
Alteromonadaceae_Salinimonas                     -          A0224_LKAP-FHGF1_C07_059 -               21     866       6     857       1     860    1459    +    8.2e-234  776.9  20.4  -
Oceanospirillaceae_Marinospirillum               -          A0224_LKAP-FHGF1_C07_059 -               21     862       6     857       1     860    1451    +      2e-233  775.6  20.3  -
Oceanospirillaceae_Oceanospirillum               -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     858       1     860    1462    +    2.7e-233  775.2  20.6  -
Microbulbiferaceae_Microbulbifer                 -          A0224_LKAP-FHGF1_C07_059 -               21     863       6     857       1     860    1480    +    1.9e-232  772.5  20.4  -
Pasteurellaceae_Gallibacterium                   -          A0224_LKAP-FHGF1_C07_059 -               22     871       7     857       1     860    1464    +    8.7e-231  767.0  20.7  -
Cellvibrionaceae_Gilvimarinus                    -          A0224_LKAP-FHGF1_C07_059 -               17     859       6     857       1     860    1445    +    2.3e-230  765.3  20.7  -
Vibrionaceae_Paraphotobacterium                  -          A0224_LKAP-FHGF1_C07_059 -               46     897       6     859       1     861    1539    +    3.1e-230  764.5  20.8  -
Pseudomonadaceae_Azomonas                        -          A0224_LKAP-FHGF1_C07_059 -                4     852       6     857       3     860    1453    +    7.9e-230  763.6  20.6  -
Lysobacteraceae_Luteimonas                       -          A0224_LKAP-FHGF1_C07_059 -               26     877       6     858       1     861    1490    +    8.9e-230  763.4  20.9  -
Lysobacteraceae_Lysobacter                       -          A0224_LKAP-FHGF1_C07_059 -               23     875       6     858       1     861    1475    +    1.6e-229  762.6  20.9  -
Hahellaceae_Hahella                              -          A0224_LKAP-FHGF1_C07_059 -               48     894       6     857       1     860    1539    +    1.8e-229  762.5  20.8  -
Oceanospirillaceae_Neptuniibacter                -          A0224_LKAP-FHGF1_C07_059 -               48     895       6     857       1     860    1541    +      3e-229  761.4  20.8  -
Oceanospirillaceae_Amphritea                     -          A0224_LKAP-FHGF1_C07_059 -               21     868       6     857       1     860    1463    +    1.8e-228  759.1  20.7  -
Cellvibrionaceae_Simiduia                        -          A0224_LKAP-FHGF1_C07_059 -               21     869       6     858       1     861    1463    +    1.8e-228  759.1  20.5  -
Halieaceae_Halioglobus                           -          A0224_LKAP-FHGF1_C07_059 -               22     862       6     857       1     860    1433    +      3e-228  758.4  20.6  -
Alteromonadaceae_Marinobacter                    -          A0224_LKAP-FHGF1_C07_059 -               21     868       6     857       1     860    1478    +    5.4e-228  757.5  20.8  -
Oceanospirillaceae_Neptunomonas                  -          A0224_LKAP-FHGF1_C07_059 -               21     871       6     858       1     860    1484    +    6.5e-228  757.2  20.8  -
Pseudomonadaceae_Azotobacter                     -          A0224_LKAP-FHGF1_C07_059 -               28     871       6     857       1     860    1473    +    8.1e-228  757.1  20.7  -
Halomonadaceae_Halomonas                         -          A0224_LKAP-FHGF1_C07_059 -               21     869       6     857       1     860    1463    +    1.4e-227  756.1  20.9  -
Lysobacteraceae_Arenimonas                       -          A0224_LKAP-FHGF1_C07_059 -               25     876       6     858       1     861    1490    +    3.5e-226  751.7  21.0  -
Lysobacteraceae_Thermomonas                      -          A0224_LKAP-FHGF1_C07_059 -               21     872       6     858       1     861    1488    +    2.1e-225  749.0  21.0  -
Methylococcaceae_Methylocaldum                   -          A0224_LKAP-FHGF1_C07_059 -               42     889       7     857       1     860    1491    +    2.2e-225  749.1  21.6  -
Pasteurellaceae_Avibacterium                     -          A0224_LKAP-FHGF1_C07_059 -               46     895       6     857       1     860    1480    +    3.2e-225  748.5  20.7  -
Methylococcaceae_Methylococcus                   -          A0224_LKAP-FHGF1_C07_059 -               34     875       7     857       2     860    1482    +    5.3e-225  747.6  20.9  -
Chromobacteriaceae_Aquaspirillum                 -          A0224_LKAP-FHGF1_C07_059 -               41     884       6     858       1     860    1488    +    1.8e-224  746.0  20.9  -
Halomonadaceae_Salinicola                        -          A0224_LKAP-FHGF1_C07_059 -               21     868       6     857       1     860    1471    +    1.9e-224  745.7  21.2  -
Legionellaceae_Legionella                        -          A0224_LKAP-FHGF1_C07_059 -               18     869       7     858       1     860    1446    +    4.2e-224  744.8  20.9  -
Halieaceae_Parahaliea                            -          A0224_LKAP-FHGF1_C07_059 -               21     863       6     857       1     860    1498    +      7e-224  743.9  20.5  -
Halothiobacillaceae_Halothiobacillus             -          A0224_LKAP-FHGF1_C07_059 -               42     891       7     857       1     860    1505    +    1.8e-223  742.6  20.7  -
Piscirickettsiaceae_Methylophaga                 -          A0224_LKAP-FHGF1_C07_059 -               20     865       6     858       1     861    1487    +    1.6e-222  739.3  20.4  -
Cellvibrionaceae_Eionea                          -          A0224_LKAP-FHGF1_C07_059 -               23     866       6     857       1     860    1469    +      2e-221  735.8  20.3  -
Halieaceae_Haliea                                -          A0224_LKAP-FHGF1_C07_059 -               41     884       6     857       1     860    1500    +    2.6e-221  735.4  20.5  -
Alcanivoracaceae_Pseudohongiella                 -          A0224_LKAP-FHGF1_C07_059 -               22     869       7     858       1     860    1461    +    3.8e-221  734.9  20.9  -
Moraxellaceae_Alkanindiges                       -          A0224_LKAP-FHGF1_C07_059 -                9     853       7     858       1     861    1396    +    3.8e-221  735.0  20.8  -
Cellvibrionaceae_Pseudomaricurvus                -          A0224_LKAP-FHGF1_C07_059 -               21     862       6     858       1     860    1490    +    4.1e-221  734.6  20.2  -
Halomonadaceae_Kushneria                         -          A0224_LKAP-FHGF1_C07_059 -               25     872       6     857       1     860    1461    +    8.8e-221  733.5  20.8  -
Saccharospirillaceae_Saccharospirillum           -          A0224_LKAP-FHGF1_C07_059 -               22     863       6     857       1     860    1459    +    9.6e-221  733.6  20.3  -
Oceanospirillaceae_Nitrincola                    -          A0224_LKAP-FHGF1_C07_059 -               32     875       7     858       1     860    1477    +    1.2e-220  733.1  20.5  -
Pasteurellaceae_Aggregatibacter                  -          A0224_LKAP-FHGF1_C07_059 -               47     893       7     857       1     860    1480    +    2.7e-220  732.0  20.7  -
Piscirickettsiaceae_Thiomicrospira               -          A0224_LKAP-FHGF1_C07_059 -               25     874       6     858       1     860    1466    +    3.5e-220  731.6  20.2  -
Halomonadaceae_Chromohalobacter                  -          A0224_LKAP-FHGF1_C07_059 -               21     868       6     857       1     861    1480    +    3.6e-220  731.7  21.1  -
Rhodanobacteraceae_Dokdonella                    -          A0224_LKAP-FHGF1_C07_059 -               21     866       6     858       1     861    1480    +      4e-220  731.5  21.5  -
Pasteurellaceae_Bisgaardia                       -          A0224_LKAP-FHGF1_C07_059 -               30     885       7     859       1     862    1389    +    4.4e-220  731.5  20.7  -
Moraxellaceae_Moraxella                          -          A0224_LKAP-FHGF1_C07_059 -               14     852       7     857       1     860    1446    +    1.1e-219  730.1  20.2  -
Gammaproteobacteria_Thiohalomonas                -          A0224_LKAP-FHGF1_C07_059 -               14     865       6     857       1     860    1483    +    1.2e-219  729.6  20.7  -
Cardiobacteriaceae_Suttonella                    -          A0224_LKAP-FHGF1_C07_059 -               23     869       7     857       1     860    1486    +    2.2e-219  729.3  20.7  -
Oceanospirillaceae_Oleispira                     -          A0224_LKAP-FHGF1_C07_059 -               41     889       6     858       1     860    1500    +    2.9e-219  728.6  20.9  -
Oceanospirillaceae_Reinekea                      -          A0224_LKAP-FHGF1_C07_059 -               32     872       7     857       1     860    1512    +    4.1e-219  728.0  20.2  -
Chromatiaceae_Thiohalocapsa                      -          A0224_LKAP-FHGF1_C07_059 -               31     870       6     857       1     860    1436    +    4.3e-219  728.3  20.1  -
Lysobacteraceae_Pseudoxanthomonas                -          A0224_LKAP-FHGF1_C07_059 -               24     877       6     858       1     861    1484    +    8.7e-219  727.0  20.8  -
Methylococcaceae_Methylomonas                    -          A0224_LKAP-FHGF1_C07_059 -               41     880       7     857       3     860    1475    +    1.1e-218  726.6  20.4  -
Spongiibacteraceae_Sinobacterium                 -          A0224_LKAP-FHGF1_C07_059 -               41     890       6     857       1     860    1504    +    1.3e-218  726.4  20.6  -
Spongiibacteraceae_Spongiibacter                 -          A0224_LKAP-FHGF1_C07_059 -               24     865       6     857       1     860    1441    +    1.8e-218  725.8  20.6  -
Succinivibrionaceae_Anaerobiospirillum           -          A0224_LKAP-FHGF1_C07_059 -               31     850       6     857       1     860    1494    +    2.2e-218  725.6  20.1  -
Pasteurellaceae_Rodentibacter                    -          A0224_LKAP-FHGF1_C07_059 -               47     889       6     857       1     860    1478    +    3.5e-218  725.1  20.7  -
Cellvibrionaceae_Umboniibacter                   -          A0224_LKAP-FHGF1_C07_059 -               33     873       6     857       1     860    1507    +    1.1e-217  723.6  20.6  -
Lysobacteraceae_Silanimonas                      -          A0224_LKAP-FHGF1_C07_059 -               40     886       6     858       1     861    1493    +    1.1e-217  723.4  21.5  -
Kangiellaceae_Kangiella                          -          A0224_LKAP-FHGF1_C07_059 -               30     881       7     857       3     860    1478    +    1.9e-217  722.6  20.4  -
Thiotrichaceae_Leucothrix                        -          A0224_LKAP-FHGF1_C07_059 -               14     862       5     858       1     860    1445    +    1.9e-217  722.3  20.8  -
Moraxellaceae_Acinetobacter                      -          A0224_LKAP-FHGF1_C07_059 -               18     863       7     858       1     860    1463    +    9.8e-217  720.4  20.6  -
Halomonadaceae_Cobetia                           -          A0224_LKAP-FHGF1_C07_059 -               34     880       7     857       1     860    1516    +    1.1e-216  720.0  20.9  -
Gammaproteobacteria_Sedimenticola                -          A0224_LKAP-FHGF1_C07_059 -               36     889       7     857       2     860    1540    +    1.2e-216  719.8  20.5  -
Hahellaceae_Endozoicomonas                       -          A0224_LKAP-FHGF1_C07_059 -               41     891       6     857       1     860    1524    +    1.8e-216  719.4  20.8  -
Chromatiaceae_Halochromatium                     -          A0224_LKAP-FHGF1_C07_059 -               21     858       6     857       1     860    1451    +    1.8e-216  719.6  20.4  -
Lysobacteraceae_Vulcaniibacterium                -          A0224_LKAP-FHGF1_C07_059 -               48     899       6     858       1     861    1549    +      2e-216  719.2  20.7  -
Cardiobacteriaceae_Cardiobacterium               -          A0224_LKAP-FHGF1_C07_059 -                8     850       7     857       3     860    1493    +    3.5e-216  718.4  20.9  -
Methylococcaceae_Methylomicrobium                -          A0224_LKAP-FHGF1_C07_059 -               42     882       7     857       2     860    1467    +    5.4e-216  717.7  20.6  -
Yersiniaceae_Chania                              -          A0224_LKAP-FHGF1_C07_059 -               50     900       6     858       1     861    1546    +    5.9e-216  717.4  20.8  -
Rhodanobacteraceae_Luteibacter                   -          A0224_LKAP-FHGF1_C07_059 -               28     878       7     858       1     861    1457    +    3.5e-215  715.1  20.5  -
Methylococcaceae_Methylobacter                   -          A0224_LKAP-FHGF1_C07_059 -               42     882       7     857       3     860    1500    +    6.1e-215  714.1  20.9  -
Lysobacteraceae_Ignatzschineria                  -          A0224_LKAP-FHGF1_C07_059 -               41     888       7     858       2     861    1541    +    1.6e-214  712.9  20.6  -
Moraxellaceae_Psychrobacter                      -          A0224_LKAP-FHGF1_C07_059 -               22     866       7     857       1     860    1491    +    1.7e-214  712.9  20.7  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          A0224_LKAP-FHGF1_C07_059 -               12     858       6     857       1     860    1438    +    2.6e-214  712.0  20.7  -
Enterobacteriaceae_Phytobacter                   -          A0224_LKAP-FHGF1_C07_059 -               26     874       6     858       1     861    1440    +    3.9e-214  711.4  21.0  -
Hafniaceae_Obesumbacterium                       -          A0224_LKAP-FHGF1_C07_059 -               15     865       6     858       1     861    1490    +    5.1e-214  710.8  20.9  -
Granulosicoccaceae_Granulosicoccus               -          A0224_LKAP-FHGF1_C07_059 -               22     868       7     854       2     858    1471    +    5.5e-214  711.2  21.1  -
Lysobacteraceae_Oleiagrimonas                    -          A0224_LKAP-FHGF1_C07_059 -               21     874       6     858       1     861    1469    +    7.4e-214  710.7  20.7  -
Lysobacteraceae_Wohlfahrtiimonas                 -          A0224_LKAP-FHGF1_C07_059 -               22     871       7     858       2     861    1448    +      8e-214  710.6  20.5  -
Yersiniaceae_Samsonia                            -          A0224_LKAP-FHGF1_C07_059 -               43     894       6     858       1     861    1503    +    9.9e-214  710.1  20.8  -
Lysobacteraceae_Stenotrophomonas                 -          A0224_LKAP-FHGF1_C07_059 -               21     873       6     858       1     861    1484    +    1.8e-213  709.5  20.8  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          A0224_LKAP-FHGF1_C07_059 -               38     880       6     857       1     860    1490    +    2.2e-213  709.2  21.0  -
Cellvibrionaceae_Marinimicrobium                 -          A0224_LKAP-FHGF1_C07_059 -               21     862       6     857       1     860    1455    +    2.3e-213  709.0  20.9  -
Enterobacteriaceae_Enterobacillus                -          A0224_LKAP-FHGF1_C07_059 -               44     894       6     858       1     861    1404    +    3.3e-213  708.3  20.8  -
