# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_C01_011_2017_1 -               26     971       9     957       5     959    1526    +           0 1138.3  28.6  -
Bacillaceae_Thermolongibacillus                  -          LKAP-GUTHK2_C01_011_2017_1 -               39     922      78     957      69     959    1432    +    6.7e-245  813.7  25.3  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-GUTHK2_C01_011_2017_1 -               59     941      75     957      55     959    1453    +      7e-245  813.6  25.8  -
Paenibacillaceae_Saccharibacillus                -          LKAP-GUTHK2_C01_011_2017_1 -               15     952       8     957       3     959    1498    +    9.3e-245  813.8  26.7  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-GUTHK2_C01_011_2017_1 -               36     979      11     957       3     959    1546    +    2.4e-244  811.9  27.7  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-GUTHK2_C01_011_2017_1 -                9     942       9     957       6     959    1466    +    1.5e-243  809.4  27.1  -
Listeriaceae_Brochothrix                         -          LKAP-GUTHK2_C01_011_2017_1 -               15     934      21     957      10     959    1421    +    3.4e-243  808.4  26.4  -
Bacillales_Desulfuribacillus                     -          LKAP-GUTHK2_C01_011_2017_1 -               21     955       8     957       4     959    1495    +    4.6e-241  801.0  26.5  -
Paenibacillaceae_Fontibacillus                   -          LKAP-GUTHK2_C01_011_2017_1 -               18     954       9     957       4     959    1487    +    7.8e-241  800.3  26.2  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-GUTHK2_C01_011_2017_1 -               32     966       8     957       4     959    1510    +    4.2e-239  794.8  27.4  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-GUTHK2_C01_011_2017_1 -               25     944      13     957       6     959    1489    +      5e-239  794.5  26.7  -
Bacillaceae_Marinococcus                         -          LKAP-GUTHK2_C01_011_2017_1 -               13     952      15     951       7     959    1503    +    1.1e-238  793.3  28.7  -
Lactobacillaceae_Pediococcus                     -          LKAP-GUTHK2_C01_011_2017_1 -              101     983      72     956      50     959    1526    +    2.6e-237  788.7  26.2  -
Thermoactinomycetaceae_Planifilum                -          LKAP-GUTHK2_C01_011_2017_1 -               92     969      79     957      54     959    1517    +    1.3e-236  786.4  25.5  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-GUTHK2_C01_011_2017_1 -               33     952       9     957       5     959    1509    +    2.5e-235  782.3  27.1  -
Thermoactinomycetaceae_Desmospora                -          LKAP-GUTHK2_C01_011_2017_1 -               32     968       9     957       5     959    1548    +    1.1e-234  780.2  27.5  -
Thermoactinomycetaceae_Marininema                -          LKAP-GUTHK2_C01_011_2017_1 -               32     965       9     957       5     959    1553    +    2.4e-232  772.1  26.4  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-GUTHK2_C01_011_2017_1 -               22     954       8     957       5     959    1439    +    8.6e-231  767.1  26.9  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-GUTHK2_C01_011_2017_1 -               17     914      19     952       7     957    1465    +    3.1e-230  765.4  26.9  -
Paenibacillaceae_Thermobacillus                  -          LKAP-GUTHK2_C01_011_2017_1 -               32     984       8     957       5     959    1599    +    3.7e-230  765.0  28.2  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-GUTHK2_C01_011_2017_1 -               19     960       9     951       4     959    1523    +    5.7e-230  764.2  27.2  -
Streptococcaceae_Streptococcus                   -          LKAP-GUTHK2_C01_011_2017_1 -               18     957       9     957       4     959    1497    +      7e-230  764.1  27.3  -
Leuconostocaceae_Weissella                       -          LKAP-GUTHK2_C01_011_2017_1 -                9     971       8     957       4     959    1485    +    2.8e-229  762.1  28.1  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-GUTHK2_C01_011_2017_1 -               12     903       8     957       3     959    1428    +      5e-229  761.3  24.9  -
Leuconostocaceae_Leuconostoc                     -          LKAP-GUTHK2_C01_011_2017_1 -                4     939       8     957       6     959    1477    +    5.9e-228  757.8  26.4  -
Streptococcaceae_Lactococcus                     -          LKAP-GUTHK2_C01_011_2017_1 -               19     953       9     957       5     959    1492    +    2.1e-227  755.6  27.2  -
Peptococcaceae_Desulfitobacterium                -          LKAP-GUTHK2_C01_011_2017_1 -               13     970       9     955       5     959    1521    +    7.4e-227  753.5  27.7  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-GUTHK2_C01_011_2017_1 -               35     924      10     957       4     959    1464    +    1.7e-226  753.0  24.7  -
Bacillaceae_Salirhabdus                          -          LKAP-GUTHK2_C01_011_2017_1 -               27     973       9     956       4     959    1546    +      4e-226  751.3  28.4  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-GUTHK2_C01_011_2017_1 -               33     929       9     955       5     959    1510    +    5.5e-225  748.0  26.2  -
Peptococcaceae_Pelotomaculum                     -          LKAP-GUTHK2_C01_011_2017_1 -               12     919       8     951       3     959    1467    +      8e-223  740.4  25.9  -
Acetobacteraceae_Acetobacter                     -          LKAP-GUTHK2_C01_011_2017_1 -               12     884       8     957       5     959    1433    +    9.3e-223  740.5  25.1  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-GUTHK2_C01_011_2017_1 -               23     932       9     955       5     959    1485    +    1.5e-222  739.5  26.1  -
Leuconostocaceae_Fructobacillus                  -          LKAP-GUTHK2_C01_011_2017_1 -               12     947       8     957       3     959    1485    +    3.8e-222  738.5  26.3  -
Ruminococcaceae_Ruminococcus                     -          LKAP-GUTHK2_C01_011_2017_1 -                2     915      10     957       9     959    1394    +    2.2e-221  735.8  26.8  -
Bacillaceae_Melghiribacillus                     -          LKAP-GUTHK2_C01_011_2017_1 -               22     969       9     956       4     959    1552    +    1.5e-220  732.9  28.5  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-GUTHK2_C01_011_2017_1 -               35     946       8     957       4     959    1516    +      2e-220  733.0  26.7  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-GUTHK2_C01_011_2017_1 -               30     951      19     951       4     959    1493    +    3.1e-220  732.2  28.2  -
Bacillaceae_Filobacillus                         -          LKAP-GUTHK2_C01_011_2017_1 -                7     952      10     956       6     959    1491    +    3.2e-220  731.5  28.7  -
Desulfuromonadaceae_Pelobacter                   -          LKAP-GUTHK2_C01_011_2017_1 -               31     967       8     951       4     959    1542    +    1.9e-219  729.5  26.9  -
Selenomonadaceae_Selenomonas                     -          LKAP-GUTHK2_C01_011_2017_1 -               33     979       8     956       5     959    1508    +      2e-219  729.2  27.0  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-GUTHK2_C01_011_2017_1 -               21     951       8     951       2     959    1521    +    2.3e-219  729.2  27.1  -
Geobacteraceae_Geobacter                         -          LKAP-GUTHK2_C01_011_2017_1 -               13     949       9     954       5     959    1470    +    2.7e-219  728.8  27.0  -
Clostridiaceae_Brassicibacter                    -          LKAP-GUTHK2_C01_011_2017_1 -               12     920       8     951       3     959    1454    +    3.1e-218  725.3  27.1  -
Desulfuromonadaceae_Desulfuromonas               -          LKAP-GUTHK2_C01_011_2017_1 -               21     959       8     951       4     959    1512    +    2.5e-217  722.4  27.2  -
Clostridiaceae_Alkaliphilus                      -          LKAP-GUTHK2_C01_011_2017_1 -               13     927       9     957       4     959    1465    +    2.6e-217  721.9  26.8  -
Clostridiales_Tissierella                        -          LKAP-GUTHK2_C01_011_2017_1 -               29     944       8     957       4     959    1415    +    4.4e-217  721.6  26.6  -
Peptoniphilaceae_Peptoniphilus                   -          LKAP-GUTHK2_C01_011_2017_1 -                1     895      22     956      22     959    1433    +      9e-217  720.8  27.3  -
Bacillaceae_Halalkalibacillus                    -          LKAP-GUTHK2_C01_011_2017_1 -                7     950      10     952       6     959    1492    +    1.1e-216  719.9  28.6  -
Bacillaceae_Paucisalibacillus                    -          LKAP-GUTHK2_C01_011_2017_1 -               28     974       9     956       4     959    1441    +    1.5e-216  719.4  28.3  -
Bacillaceae_Saliterribacillus                    -          LKAP-GUTHK2_C01_011_2017_1 -               33     986       9     956       4     959    1472    +    1.8e-216  719.2  28.3  -
Bacillaceae_Caenibacillus                        -          LKAP-GUTHK2_C01_011_2017_1 -               13     959       9     956       4     959    1490    +    1.9e-216  719.3  28.6  -
Bacillaceae_Aquisalibacillus                     -          LKAP-GUTHK2_C01_011_2017_1 -               36     977       9     952       4     959    1484    +    2.8e-216  718.5  28.4  -
Spirochaetaceae_Spirochaeta                      -          LKAP-GUTHK2_C01_011_2017_1 -               23     943       8     951       4     956    1495    +    3.4e-216  718.6  27.4  -
Veillonellaceae_Dialister                        -          LKAP-GUTHK2_C01_011_2017_1 -               71     955      76     951      53     959    1502    +    1.3e-215  716.7  25.5  -
Sporolactobacillaceae_Tuberibacillus             -          LKAP-GUTHK2_C01_011_2017_1 -               13     958       9     956       4     959    1486    +    1.5e-215  716.2  28.4  -
Peptococcaceae_Sporotomaculum                    -          LKAP-GUTHK2_C01_011_2017_1 -              159    1006      78     955      58     959    1510    +    6.1e-215  714.4  24.6  -
Bacillaceae_Allobacillus                         -          LKAP-GUTHK2_C01_011_2017_1 -                5     936      21     952      17     958    1431    +    6.2e-215  714.1  28.2  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-GUTHK2_C01_011_2017_1 -               29     973       8     951       4     959    1529    +    1.2e-214  713.4  27.8  -
Bacillaceae_Tenuibacillus                        -          LKAP-GUTHK2_C01_011_2017_1 -               10     956       9     956       5     959    1479    +    1.2e-214  713.0  28.6  -
Clostridiaceae_Caloramator                       -          LKAP-GUTHK2_C01_011_2017_1 -               26     913      21     957       5     959    1453    +    1.7e-214  713.0  25.6  -
Clostridiaceae_Sporosalibacterium                -          LKAP-GUTHK2_C01_011_2017_1 -               32     946       8     957       5     959    1521    +    5.8e-214  711.2  26.4  -
Veillonellaceae_Megasphaera                      -          LKAP-GUTHK2_C01_011_2017_1 -               36     979       9     951       4     959    1528    +    6.4e-214  710.9  26.9  -
Symbiobacteriaceae_Symbiobacterium               -          LKAP-GUTHK2_C01_011_2017_1 -                7     945       8     957       5     959    1468    +    8.9e-214  711.0  27.8  -
Erysipelotrichaceae_Breznakia                    -          LKAP-GUTHK2_C01_011_2017_1 -               18     969       9     957       3     959    1508    +    1.5e-213  709.8  28.4  -
Bacillaceae_Natronobacillus                      -          LKAP-GUTHK2_C01_011_2017_1 -               39     988       8     956       3     959    1473    +    4.5e-213  708.1  28.2  -
Natranaerobiaceae_Natranaerobius                 -          LKAP-GUTHK2_C01_011_2017_1 -               17     909      49     957      29     959    1424    +    5.2e-213  708.0  25.9  -
Rubrobacteraceae_Rubrobacter                     -          LKAP-GUTHK2_C01_011_2017_1 -               12     941       8     955       4     959    1495    +    1.1e-212  707.0  26.9  -
Bacillaceae_Streptohalobacillus                  -          LKAP-GUTHK2_C01_011_2017_1 -                2     942      16     956      15     959    1481    +    1.5e-212  706.1  28.2  -
Bacillaceae_Cerasibacillus                       -          LKAP-GUTHK2_C01_011_2017_1 -               16     963       9     955       4     959    1484    +    1.9e-212  705.9  28.5  -
Clostridiaceae_Tepidimicrobium                   -          LKAP-GUTHK2_C01_011_2017_1 -               33     945       9     951       5     959    1528    +    1.9e-212  706.3  27.0  -
Clostridiaceae_Hathewaya                         -          LKAP-GUTHK2_C01_011_2017_1 -               32     931       8     956       5     959    1507    +    4.3e-212  705.0  25.6  -
Planococcaceae_Filibacter                        -          LKAP-GUTHK2_C01_011_2017_1 -               38     955      21     956       4     959    1517    +    5.3e-212  704.4  26.5  -
Sporolactobacillaceae_Terrilactibacillus         -          LKAP-GUTHK2_C01_011_2017_1 -               12     912      50     956      36     959    1456    +    8.7e-212  703.7  27.3  -
Bacillaceae_Sinibacillus                         -          LKAP-GUTHK2_C01_011_2017_1 -               13     962       9     956       4     959    1489    +    9.8e-212  703.7  28.3  -
Clostridiaceae_Natronincola                      -          LKAP-GUTHK2_C01_011_2017_1 -               30     940       9     957       4     959    1489    +    1.1e-211  703.5  27.3  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-GUTHK2_C01_011_2017_1 -                7     939      10     956       6     959    1494    +    1.1e-211  703.6  27.2  -
Peptococcaceae_Thermincola                       -          LKAP-GUTHK2_C01_011_2017_1 -               19     923      11     951       4     959    1482    +    1.3e-211  703.4  25.0  -
Erysipelotrichaceae_Erysipelothrix               -          LKAP-GUTHK2_C01_011_2017_1 -               20     945       9     956       4     959    1467    +    1.5e-211  703.4  27.2  -
Bacillaceae_Falsibacillus                        -          LKAP-GUTHK2_C01_011_2017_1 -               37     918      73     956      51     959    1413    +    1.7e-211  702.7  26.0  -
Bacillales_Chungangia                            -          LKAP-GUTHK2_C01_011_2017_1 -               22     952      10     956       4     959    1440    +    3.7e-211  701.6  26.9  -
Bacillaceae_Fermentibacillus                     -          LKAP-GUTHK2_C01_011_2017_1 -               33     964      10     956       4     959    1530    +      4e-211  701.4  26.8  -
Heliobacteriaceae_Heliobacterium                 -          LKAP-GUTHK2_C01_011_2017_1 -               29     930       8     951       5     959    1500    +    7.9e-211  700.9  26.0  -
Bacillaceae_Alkalilactibacillus                  -          LKAP-GUTHK2_C01_011_2017_1 -               33     987       9     956       4     959    1567    +    1.1e-210  700.2  28.1  -
Bacillaceae_Aeribacillus                         -          LKAP-GUTHK2_C01_011_2017_1 -               19     952      10     956       4     959    1516    +    2.6e-210  699.0  26.7  -
Thermoanaerobacteraceae_Thermoanaerobacter       -          LKAP-GUTHK2_C01_011_2017_1 -               29     939       9     957       5     959    1525    +    2.6e-210  698.7  26.6  -
Peptococcaceae_Desulfitispora                    -          LKAP-GUTHK2_C01_011_2017_1 -               12     921      49     951      38     959    1479    +    2.7e-210  699.0  27.3  -
Thermoanaerobacteraceae_Thermanaeromonas         -          LKAP-GUTHK2_C01_011_2017_1 -               26     943       9     951       5     959    1506    +    3.4e-210  698.7  27.1  -
Sporomusaceae_Sporomusa                          -          LKAP-GUTHK2_C01_011_2017_1 -               32     964       9     951       5     959    1532    +    3.9e-210  698.3  26.2  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-GUTHK2_C01_011_2017_1 -               20     967       9     956       4     959    1521    +    1.9e-209  696.1  28.4  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-GUTHK2_C01_011_2017_1 -               54     896      78     956      57     959    1412    +    9.2e-209  694.1  24.0  -
Geobacteraceae_Geoalkalibacter                   -          LKAP-GUTHK2_C01_011_2017_1 -               33     971       9     951       5     959    1556    +    2.7e-208  692.2  27.1  -
Clostridiales_Thermaerobacter                    -          LKAP-GUTHK2_C01_011_2017_1 -               33     970       9     956       5     959    1520    +    5.2e-208  691.5  27.2  -
Planococcaceae_Savagea                           -          LKAP-GUTHK2_C01_011_2017_1 -               35     967      10     956       4     959    1547    +      7e-208  690.7  26.5  -
Streptococcaceae_Faecalicoccus                   -          LKAP-GUTHK2_C01_011_2017_1 -               32     960       8     957       3     959    1380    +    8.2e-208  691.1  27.2  -
Peptostreptococcaceae_Filifactor                 -          LKAP-GUTHK2_C01_011_2017_1 -               12     921       8     955       3     959    1450    +    8.7e-208  690.7  26.4  -
Spirochaetaceae_Treponema                        -          LKAP-GUTHK2_C01_011_2017_1 -               22     933      18     951       6     957    1477    +    1.6e-207  690.2  26.6  -
Staphylococcaceae_Corticicoccus                  -          LKAP-GUTHK2_C01_011_2017_1 -               12     949      15     956       5     959    1465    +    1.9e-207  689.4  28.2  -
Bacillaceae_Saccharococcus                       -          LKAP-GUTHK2_C01_011_2017_1 -               48     960      21     956       4     959    1538    +    2.7e-207  688.9  26.6  -
