# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          A1d2_forward         -                3     900       3     900       1     900    1491    +           0 1141.7  18.0  -
Moraxellaceae_Moraxella                          -          A1d2_forward         -                1     886       9     900       9     900    1446    +    6.2e-304 1009.3  18.1  -
Hahellaceae_Endozoicomonas                       -          A1d2_forward         -               22     925       2     900       1     900    1524    +    3.1e-263  874.5  18.0  -
Cellvibrionaceae_Simiduia                        -          A1d2_forward         -                3     902       3     900       1     900    1463    +    7.2e-263  873.2  18.1  -
Kangiellaceae_Kangiella                          -          A1d2_forward         -               10     915       2     900       1     900    1478    +    3.5e-262  870.9  18.0  -
Oceanospirillaceae_Oceanospirillum               -          A1d2_forward         -                2     903       2     900       1     900    1462    +    9.8e-262  869.5  18.1  -
Saccharospirillaceae_Saccharospirillum           -          A1d2_forward         -                4     897       3     900       1     900    1459    +    1.2e-261  869.2  18.2  -
Methylococcaceae_Methylomonas                    -          A1d2_forward         -               21     914       2     900       1     900    1475    +    1.2e-260  865.8  18.0  -
Methylococcaceae_Methylomicrobium                -          A1d2_forward         -               22     916       2     900       1     900    1467    +    3.5e-260  864.2  18.0  -
Methylococcaceae_Methylobacter                   -          A1d2_forward         -               22     916       2     900       1     900    1500    +    2.3e-259  861.4  18.1  -
Halieaceae_Haliea                                -          A1d2_forward         -               22     918       2     900       1     900    1500    +    1.9e-258  858.6  18.4  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          A1d2_forward         -                3     909       3     900       1     900    1472    +    9.6e-258  856.1  18.0  -
Gammaproteobacteria_Thiohalomonas                -          A1d2_forward         -                2     899       9     900       8     900    1483    +    4.8e-257  853.7  18.1  -
Oceanospirillaceae_Thalassolituus                -          A1d2_forward         -               10     909       3     900       1     900    1476    +    3.7e-256  850.9  18.1  -
Thiotrichaceae_Leucothrix                        -          A1d2_forward         -                2     895       7     900       6     900    1445    +      5e-256  850.3  18.0  -
Pseudomonadaceae_Azotobacter                     -          A1d2_forward         -                9     905       2     900       1     900    1473    +    1.8e-255  848.8  17.9  -
Granulosicoccaceae_Granulosicoccus               -          A1d2_forward         -                3     905       3     900       1     900    1471    +    2.1e-255  848.6  18.1  -
Oceanospirillaceae_Nitrincola                    -          A1d2_forward         -               14     908       3     900       1     900    1477    +    3.5e-255  847.6  18.1  -
Spongiibacteraceae_Spongiibacter                 -          A1d2_forward         -                6     899       3     900       1     900    1441    +    4.9e-255  847.1  18.0  -
Cellvibrionaceae_Cellvibrio                      -          A1d2_forward         -               23     917       3     900       1     900    1505    +      5e-255  847.3  18.0  -
Oceanospirillaceae_Neptuniibacter                -          A1d2_forward         -               30     929       3     900       1     900    1541    +    8.3e-255  846.2  18.1  -
Chromobacteriaceae_Aquaspirillum                 -          A1d2_forward         -               22     917       2     900       1     900    1488    +    1.2e-254  846.1  18.0  -
Shewanellaceae_Shewanella                        -          A1d2_forward         -                3     906       3     900       1     900    1483    +    1.8e-254  845.4  18.1  -
Methylococcaceae_Methylosarcina                  -          A1d2_forward         -               16     910       2     900       1     900    1515    +    4.6e-254  843.9  18.0  -
Halieaceae_Parahaliea                            -          A1d2_forward         -                3     897       3     900       1     900    1498    +    4.2e-253  840.8  18.2  -
Idiomarinaceae_Idiomarina                        -          A1d2_forward         -                8     910       3     900       1     900    1471    +    2.5e-252  838.0  18.0  -
Gammaproteobacteria_Alkalimonas                  -          A1d2_forward         -               20     920       2     900       1     900    1502    +    1.3e-251  835.9  17.9  -
Gammaproteobacteria_Sedimenticola                -          A1d2_forward         -               17     923       3     900       1     900    1540    +    1.3e-251  835.8  18.0  -
Colwelliaceae_Thalassotalea                      -          A1d2_forward         -                3     902       3     900       1     900    1463    +    1.6e-251  835.7  18.1  -
Moraxellaceae_Alkanindiges                       -          A1d2_forward         -                1     886      14     900      14     900    1396    +    4.1e-251  834.3  17.9  -
Hahellaceae_Kistimonas                           -          A1d2_forward         -               22     923       2     900       1     900    1506    +    1.2e-250  832.7  18.1  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          A1d2_forward         -                2     892      11     900      10     900    1438    +    1.4e-250  832.3  18.2  -
Ectothiorhodospiraceae_Alkalilimnicola           -          A1d2_forward         -               16     914       2     900       1     900    1472    +    1.9e-250  832.3  18.2  -
Pseudomonadaceae_Azomonas                        -          A1d2_forward         -                2     886      19     900      18     900    1453    +    2.7e-250  831.5  17.5  -
Alteromonadaceae_Agarivorans                     -          A1d2_forward         -                9     911       2     900       1     900    1454    +    5.8e-250  830.5  18.2  -
Oceanospirillaceae_Oleispira                     -          A1d2_forward         -               23     922       3     900       1     900    1500    +    6.2e-250  830.3  18.0  -
Halieaceae_Halioglobus                           -          A1d2_forward         -                4     896       3     900       1     900    1433    +      1e-249  829.6  17.9  -
Thermoleophilaceae_Thermoleophilum               -          A1d2_forward         -                1     905       8     900       8     900    1494    +    1.6e-249  828.9  18.3  -
Thioalkalispiraceae_Thioprofundum                -          A1d2_forward         -               17     926       2     900       1     900    1537    +    2.4e-249  828.6  18.0  -
Ferrimonadaceae_Ferrimonas                       -          A1d2_forward         -                2     914       2     900       1     900    1475    +    2.7e-249  828.0  18.1  -
Legionellaceae_Legionella                        -          A1d2_forward         -                2     902       6     900       5     900    1446    +    3.9e-249  827.8  18.1  -
Cellvibrionaceae_Marinimicrobium                 -          A1d2_forward         -                2     896       2     900       1     900    1455    +    4.9e-249  827.3  18.1  -
Cardiobacteriaceae_Suttonella                    -          A1d2_forward         -                3     902       2     899       1     900    1486    +    5.2e-249  827.6  18.0  -
Colwelliaceae_Colwellia                          -          A1d2_forward         -                2     904       2     900       1     900    1485    +    6.1e-249  827.1  18.1  -
Thiotrichaceae_Thiothrix                         -          A1d2_forward         -                3     856       3     900       1     900    1417    +    6.3e-249  827.0  18.6  -
Chromatiaceae_Thiohalocapsa                      -          A1d2_forward         -               12     904       2     900       1     900    1436    +    1.8e-248  825.8  18.0  -
Oceanospirillales_Salicola                       -          A1d2_forward         -               23     913       3     900       1     900    1492    +    1.9e-248  825.4  18.2  -
Methylococcaceae_Methylocaldum                   -          A1d2_forward         -               22     923       2     900       1     900    1491    +      2e-248  825.5  18.1  -
Alteromonadaceae_Catenovulum                     -          A1d2_forward         -                3     896       3     900       1     900    1451    +    3.3e-248  824.4  18.3  -
Cellvibrionaceae_Umboniibacter                   -          A1d2_forward         -               14     907       2     900       1     900    1507    +    8.6e-248  823.4  18.1  -
Hahellaceae_Allohahella                          -          A1d2_forward         -               23     916       3     900       1     900    1485    +    8.9e-248  823.3  18.1  -
Ectothiorhodospiraceae_Thiohalospira             -          A1d2_forward         -                2     865      40     900      39     900    1318    +    1.6e-247  822.4  17.5  -
Chromatiaceae_Halochromatium                     -          A1d2_forward         -                3     892       3     900       1     900    1451    +    1.9e-247  822.4  18.0  -
Idiomarinaceae_Aliidiomarina                     -          A1d2_forward         -                2     878      27     900      26     900    1410    +    3.3e-247  821.1  17.8  -
Hahellaceae_Zooshikella                          -          A1d2_forward         -                3     901       3     900       1     900    1483    +    4.5e-247  820.9  18.1  -
Pseudoalteromonadaceae_Algicola                  -          A1d2_forward         -               17     917       2     900       1     900    1490    +      5e-247  820.6  18.1  -
Spongiibacteraceae_Zhongshania                   -          A1d2_forward         -               22     918       2     900       1     900    1501    +    6.2e-247  820.3  18.2  -
Cellvibrionaceae_Eionea                          -          A1d2_forward         -                5     900       3     900       1     900    1469    +    2.3e-246  818.5  17.5  -
Methylococcaceae_Methylovulum                    -          A1d2_forward         -               21     912       2     900       1     900    1492    +    3.1e-246  818.1  18.1  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          A1d2_forward         -                3     898       3     900       1     900    1461    +    3.2e-246  817.9  17.9  -
Ectothiorhodospiraceae_Spiribacter               -          A1d2_forward         -               32     929       2     900       1     900    1544    +    3.3e-246  818.1  18.2  -
Moraxellaceae_Paraperlucidibaca                  -          A1d2_forward         -                2     898       2     900       1     900    1460    +    4.2e-246  817.6  17.8  -
Ectothiorhodospiraceae_Aquisalimonas             -          A1d2_forward         -               23     921       2     900       1     900    1464    +    1.1e-245  816.4  18.4  -
Piscirickettsiaceae_Methylophaga                 -          A1d2_forward         -                2     898       3     900       2     900    1487    +    1.5e-245  815.6  18.2  -
Chromatiaceae_Thiodictyon                        -          A1d2_forward         -                5     894       3     900       1     900    1500    +    3.9e-245  814.7  18.4  -
Cellvibrionaceae_Gilvimarinus                    -          A1d2_forward         -                2     893       6     900       5     900    1445    +      1e-244  812.9  18.2  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          A1d2_forward         -               20     914       3     900       1     900    1490    +    2.8e-244  811.7  18.2  -
Aeromonadaceae_Zobellella                        -          A1d2_forward         -                9     911       2     900       1     900    1478    +    1.4e-243  809.1  18.1  -
Pseudoalteromonadaceae_Psychrosphaera            -          A1d2_forward         -                6     899       2     900       1     900    1450    +    1.9e-243  808.8  18.2  -
Chromatiaceae_Thiocystis                         -          A1d2_forward         -                2     890       2     900       1     900    1451    +    4.5e-243  807.8  18.0  -
Moritellaceae_Moritella                          -          A1d2_forward         -               22     926       2     900       1     900    1506    +    7.5e-243  806.7  18.1  -
Halothiobacillaceae_Halothiobacillus             -          A1d2_forward         -               22     925       2     900       1     900    1505    +    1.2e-242  806.2  18.0  -
Chromatiaceae_Marichromatium                     -          A1d2_forward         -               13     900       3     900       1     900    1440    +    1.8e-242  805.9  18.4  -
Alteromonadaceae_Bowmanella                      -          A1d2_forward         -               20     916       2     900       1     900    1496    +    1.9e-242  805.5  18.3  -
Vibrionaceae_Vibrio                              -          A1d2_forward         -                3     914       3     900       1     900    1466    +    2.1e-242  805.3  18.1  -
Lysobacteraceae_Luteimonas                       -          A1d2_forward         -                9     910       4     900       2     900    1490    +    2.4e-242  805.1  18.2  -
Alteromonadaceae_Paraglaciecola                  -          A1d2_forward         -               12     906       2     900       1     900    1495    +    2.6e-242  804.8  18.4  -
Chromatiaceae_Thiocapsa                          -          A1d2_forward         -               18     906       2     900       1     900    1459    +    9.4e-242  803.5  18.2  -
Salinisphaeraceae_Salinisphaera                  -          A1d2_forward         -                1     889      13     900      13     900    1429    +    1.6e-241  802.6  18.0  -
Litoricolaceae_Litoricola                        -          A1d2_forward         -               13     915       2     900       1     900    1483    +    1.6e-241  802.6  18.1  -
Arenicellaceae_Arenicella                        -          A1d2_forward         -               10     906       2     900       1     900    1506    +    1.7e-241  802.6  17.9  -
Chromatiaceae_Lamprocystis                       -          A1d2_forward         -               27     917       2     900       1     900    1406    +    2.6e-241  802.0  18.1  -
Piscirickettsiaceae_Thiomicrospira               -          A1d2_forward         -                8     907       4     900       2     900    1466    +    5.2e-241  800.7  18.2  -
Vibrionaceae_Photobacterium                      -          A1d2_forward         -                3     914       3     900       1     900    1487    +    5.4e-241  800.6  18.0  -
Ectothiorhodospiraceae_Halorhodospira            -          A1d2_forward         -               22     926       2     900       1     900    1479    +    5.5e-241  800.9  18.0  -
Chromatiaceae_Thiorhodococcus                    -          A1d2_forward         -               39     866      70     900      48     900    1426    +    6.5e-241  800.5  17.9  -
Moritellaceae_Paramoritella                      -          A1d2_forward         -                3     902       3     900       1     900    1512    +    6.7e-241  800.2  18.0  -
Cellvibrionaceae_Pseudomaricurvus                -          A1d2_forward         -                3     895       3     900       1     900    1490    +    8.9e-241  799.8  17.4  -
Burkholderiaceae_Limnobacter                     -          A1d2_forward         -               22     916       2     899       1     900    1524    +    1.2e-240  799.6  18.2  -
Chromatiaceae_Allochromatium                     -          A1d2_forward         -                3     901       3     900       1     900    1462    +    1.4e-240  799.4  18.1  -
Chromatiaceae_Rheinheimera                       -          A1d2_forward         -               10     893       3     900       1     900    1472    +    8.5e-240  796.7  18.0  -
Ectothiorhodospiraceae_Arhodomonas               -          A1d2_forward         -                6     903       2     900       1     900    1487    +    9.6e-240  796.8  18.3  -
Alteromonadaceae_Glaciecola                      -          A1d2_forward         -               22     916       2     900       1     900    1474    +    9.7e-240  796.4  18.5  -
Burkholderiaceae_Paraburkholderia                -          A1d2_forward         -                3     896       3     899       1     900    1472    +    9.9e-240  796.7  17.9  -
Lysobacteraceae_Arenimonas                       -          A1d2_forward         -                8     909       4     900       2     900    1490    +    9.9e-240  796.6  18.3  -
Thiotrichaceae_Beggiatoa                         -          A1d2_forward         -               23     911       3     900       1     900    1491    +    1.3e-239  796.4  18.2  -
Colwelliaceae_Thalassomonas                      -          A1d2_forward         -                2     902       2     900       1     900    1462    +    1.5e-239  795.9  18.0  -
Chromatiaceae_Thiophaeococcus                    -          A1d2_forward         -                2     882      10     900       9     900    1440    +    1.9e-239  795.7  18.0  -
Nevskiaceae_Steroidobacter                       -          A1d2_forward         -                8     906       2     899       1     900    1500    +    2.3e-239  795.5  18.2  -
Burkholderiaceae_Pandoraea                       -          A1d2_forward         -                2     898       2     899       1     900    1456    +    2.5e-239  795.3  17.8  -
Aeromonadaceae_Oceanisphaera                     -          A1d2_forward         -                2     903       2     900       1     900    1464    +    3.3e-239  794.6  18.1  -
Chromatiaceae_Imhoffiella                        -          A1d2_forward         -               12     899       3     900       1     900    1484    +      4e-239  794.6  18.2  -
Lysobacteraceae_Lysobacter                       -          A1d2_forward         -                6     908       4     900       2     900    1475    +    2.1e-238  792.2  18.2  -
Burkholderiaceae_Caballeronia                    -          A1d2_forward         -               11     905       2     899       1     900    1479    +      9e-238  790.2  17.6  -
Burkholderiaceae_Burkholderia                    -          A1d2_forward         -                9     905       2     899       1     900    1502    +    1.4e-237  789.4  17.9  -
Piscirickettsiaceae_Hydrogenovibrio              -          A1d2_forward         -                4     919       4     900       2     900    1465    +    2.5e-237  788.5  18.2  -
Neisseriaceae_Neisseria                          -          A1d2_forward         -               16     917       2     899       1     900    1475    +    5.9e-237  787.5  18.0  -
Alteromonadaceae_Aliagarivorans                  -          A1d2_forward         -                1     910       8     900       8     900    1462    +    7.1e-237  787.2  18.4  -
Idiomarinaceae_Pseudidiomarina                   -          A1d2_forward         -                3     905       3     900       1     900    1499    +    8.2e-237  786.7  18.0  -
Nevskiaceae_Nevskia                              -          A1d2_forward         -                7     892       2     900       1     900    1451    +    1.1e-236  786.8  17.7  -
Erwiniaceae_Erwinia                              -          A1d2_forward         -                3     904       3     900       1     900    1495    +    1.3e-236  786.2  18.0  -
Gammaproteobacteria_Gallaecimonas                -          A1d2_forward         -               23     924       3     900       1     900    1506    +    1.4e-236  786.0  17.8  -
Aeromonadaceae_Aeromonas                         -          A1d2_forward         -               21     925       2     900       1     900    1503    +    1.8e-236  785.6  18.1  -
Cardiobacteriaceae_Cardiobacterium               -          A1d2_forward         -                2     883      16     899      15     900    1493    +    2.6e-236  785.2  18.0  -
Thiotrichales_Caedibacter                        -          A1d2_forward         -               22     882       2     899       1     900    1500    +    3.4e-236  784.6  18.8  -
Psychromonadaceae_Psychromonas                   -          A1d2_forward         -                3     904       3     900       1     900    1467    +    5.9e-236  784.0  18.0  -
Aeromonadaceae_Oceanimonas                       -          A1d2_forward         -                1     903       4     900       4     900    1483    +    8.3e-236  783.3  18.4  -
Oxalobacteraceae_Undibacterium                   -          A1d2_forward         -                2     892       6     899       5     900    1442    +    1.2e-235  783.1  18.3  -
Alcaligenaceae_Paenalcaligenes                   -          A1d2_forward         -                2     902       2     899       1     900    1432    +      2e-235  782.4  17.3  -
Chromobacteriaceae_Chromobacterium               -          A1d2_forward         -               21     914       3     899       1     900    1469    +    4.2e-235  781.3  18.4  -
Celerinatantimonadaceae_Celerinatantimonas       -          A1d2_forward         -                1     911       6     900       6     900    1433    +    5.5e-235  780.9  18.2  -
Yersiniaceae_Serratia                            -          A1d2_forward         -                6     908       2     900       1     900    1491    +    1.4e-234  779.4  18.0  -
Vibrionaceae_Enterovibrio                        -          A1d2_forward         -                2     908       2     900       1     900    1499    +    1.6e-234  779.0  18.1  -
Alteromonadaceae_Salinimonas                     -          A1d2_forward         -                3     900       3     900       1     900    1459    +    1.6e-234  779.3  18.1  -
Zoogloeaceae_Zoogloea                            -          A1d2_forward         -                9     905       2     899       1     900    1474    +      2e-234  778.9  18.7  -
Lysobacteraceae_Vulcaniibacterium                -          A1d2_forward         -               31     932       4     900       2     900    1549    +    2.3e-234  778.7  18.2  -
Kangiellaceae_Marinicella                        -          A1d2_forward         -               22     926       2     900       1     900    1529    +    2.5e-234  778.9  18.0  -
Neisseriaceae_Vitreoscilla                       -          A1d2_forward         -                1     886       8     899       8     900    1457    +    3.5e-234  778.2  17.7  -
Lysobacteraceae_Silanimonas                      -          A1d2_forward         -               23     919       4     900       2     900    1493    +    4.3e-234  777.9  18.2  -
Pasteurellaceae_Pasteurella                      -          A1d2_forward         -                2     905       2     900       1     900    1365    +      5e-234  777.8  18.2  -
Lysobacteraceae_Thermomonas                      -          A1d2_forward         -                4     905       4     900       2     900    1488    +    5.5e-234  777.6  18.2  -
Enterobacteriaceae_Enterobacter                  -          A1d2_forward         -                2     900       4     900       3     900    1476    +      2e-233  775.6  18.2  -
Alteromonadaceae_Alishewanella                   -          A1d2_forward         -               15     895       4     900       2     900    1426    +    2.1e-233  775.5  18.4  -
Gammaproteobacteria_Plasticicumulans             -          A1d2_forward         -               12     905       3     900       1     900    1491    +    2.4e-233  775.4  18.1  -
Oxalobacteraceae_Oxalicibacterium                -          A1d2_forward         -                2     898       2     899       1     900    1489    +    2.4e-233  775.5  18.2  -
Alteromonadaceae_Aestuariibacter                 -          A1d2_forward         -                3     896       3     900       1     900    1455    +    2.7e-233  775.1  18.3  -
Lysobacteraceae_Pseudoxanthomonas                -          A1d2_forward         -                7     910       4     900       1     900    1484    +    3.8e-233  774.7  18.0  -
Alcaligenaceae_Pelistega                         -          A1d2_forward         -                9     910       2     899       1     900    1472    +    4.5e-233  774.6  18.0  -
Neisseriaceae_Alysiella                          -          A1d2_forward         -               26     925       2     899       1     900    1524    +    8.4e-233  773.6  18.3  -
Oxalobacteraceae_Glaciimonas                     -          A1d2_forward         -               22     918       2     899       1     900    1525    +    8.4e-233  773.7  18.2  -
Vibrionaceae_Aliivibrio                          -          A1d2_forward         -               27     928       3     900       1     900    1474    +    8.7e-233  773.7  18.0  -
Pectobacteriaceae_Pectobacterium                 -          A1d2_forward         -               10     912       2     900       1     900    1499    +    1.2e-232  773.1  18.0  -
Enterobacteriaceae_Buttiauxella                  -          A1d2_forward         -                8     908       2     900       1     900    1503    +    1.2e-232  773.0  18.0  -
Moraxellaceae_Enhydrobacter                      -          A1d2_forward         -                2     895       2     900       1     900    1484    +    1.3e-232  772.6  18.2  -
Enterobacteriaceae_Escherichia                   -          A1d2_forward         -                3     904       3     900       1     900    1480    +    2.1e-232  772.3  18.0  -
Piscirickettsiaceae_Thiomicrorhabdus             -          A1d2_forward         -               11     916       4     900       2     900    1464    +    2.2e-232  772.0  18.2  -
Enterobacteriaceae_Citrobacter                   -          A1d2_forward         -               18     919       3     900       1     900    1517    +    3.4e-232  771.5  18.0  -
Oxalobacteraceae_Oxalobacter                     -          A1d2_forward         -               17     912       2     898       1     900    1524    +    3.9e-232  771.6  18.2  -
Oxalobacteraceae_Noviherbaspirillum              -          A1d2_forward         -                7     900       3     899       1     900    1464    +    4.9e-232  771.3  18.1  -
Rhodocyclaceae_Azoarcus                          -          A1d2_forward         -                3     898       3     899       1     900    1471    +      5e-232  771.0  17.8  -
Lysobacteraceae_Oleiagrimonas                    -          A1d2_forward         -                3     907       3     900       1     900    1469    +    5.3e-232  770.9  18.0  -
Burkholderiaceae_Ralstonia                       -          A1d2_forward         -                1     892       9     899       9     900    1446    +    5.3e-232  771.1  17.7  -
Enterobacteriaceae_Klebsiella                    -          A1d2_forward         -               15     914       3     900       1     900    1436    +    6.5e-232  770.6  17.9  -
Burkholderiaceae_Chitinimonas                    -          A1d2_forward         -               18     911       2     900       1     900    1494    +    1.3e-231  769.7  18.2  -
Francisellaceae_Allofrancisella                  -          A1d2_forward         -                2     896       2     899       1     900    1452    +    1.7e-231  769.3  18.2  -
Neisseriaceae_Kingella                           -          A1d2_forward         -               28     925       2     899       1     900    1474    +    1.8e-231  769.2  18.1  -
Methylophilaceae_Methylobacillus                 -          A1d2_forward         -                3     885      20     900      18     900    1416    +      2e-231  769.2  18.0  -
Alcaligenaceae_Castellaniella                    -          A1d2_forward         -                2     898       9     899       8     900    1464    +    4.9e-231  767.8  18.1  -
Alteromonadaceae_Alteromonas                     -          A1d2_forward         -                2     896       2     900       1     900    1464    +    5.8e-231  767.3  18.2  -
Burkholderiales_Ideonella                        -          A1d2_forward         -                2     894       2     899       1     900    1493    +    6.3e-231  767.4  17.6  -
Enterobacteriaceae_Lelliottia                    -          A1d2_forward         -                1     897       6     900       6     900    1449    +    6.8e-231  767.2  18.0  -
Enterobacteriaceae_Raoultella                    -          A1d2_forward         -                2     900       4     900       3     900    1452    +      1e-230  766.7  18.2  -
Sulfuricellaceae_Sulfuriferula                   -          A1d2_forward         -                2     901       2     900       1     900    1461    +      2e-230  765.6  18.5  -
Alcaligenaceae_Advenella                         -          A1d2_forward         -                4     883      25     899      20     900    1428    +    5.2e-230  764.3  17.7  -
Rhodanobacteraceae_Dokdonella                    -          A1d2_forward         -                4     899       4     900       2     900    1480    +    5.3e-230  764.3  18.3  -
Nevskiaceae_Solimonas                            -          A1d2_forward         -               11     898       2     900       1     900    1476    +    6.1e-230  764.3  18.3  -
Oxalobacteraceae_Herbaspirillum                  -          A1d2_forward         -                2     898       2     899       1     900    1485    +      7e-230  764.1  18.3  -
Burkholderiaceae_Cupriavidus                     -          A1d2_forward         -                7     900       3     899       1     900    1488    +    2.3e-229  762.3  17.6  -
Enterobacteriaceae_Salmonella                    -          A1d2_forward         -                2     900       6     900       5     900    1457    +    2.4e-229  762.2  18.0  -
Alcaligenaceae_Alcaligenes                       -          A1d2_forward         -                1     897       6     899       6     900    1469    +    3.1e-229  761.7  17.4  -
Erwiniaceae_Tatumella                            -          A1d2_forward         -                3     904       3     900       1     900    1490    +    5.8e-229  760.9  18.0  -
Comamonadaceae_Schlegelella                      -          A1d2_forward         -               21     915       3     899       1     900    1517    +    8.4e-229  760.3  17.8  -
Hafniaceae_Hafnia                                -          A1d2_forward         -                3     904       3     900       1     900    1463    +    9.5e-229  760.0  18.0  -
Alcaligenaceae_Derxia                            -          A1d2_forward         -               20     913       3     899       1     900    1481    +    1.1e-228  760.1  18.3  -
Pectobacteriaceae_Dickeya                        -          A1d2_forward         -                1     901       4     900       4     900    1421    +    1.2e-228  759.8  18.3  -
Alcaligenaceae_Pusillimonas                      -          A1d2_forward         -                1     878      27     899      27     900    1446    +    1.3e-228  759.8  17.9  -
Burkholderiales_Rubrivivax                       -          A1d2_forward         -               22     915       2     899       1     900    1496    +    1.6e-228  759.4  18.2  -
Enterobacteriaceae_Siccibacter                   -          A1d2_forward         -               30     931       3     900       1     900    1451    +    2.9e-228  758.7  17.9  -
Thermithiobacillaceae_Thermithiobacillus         -          A1d2_forward         -                2     883      17     900      16     900    1419    +      3e-228  758.5  17.7  -
Yersiniaceae_Yersinia                            -          A1d2_forward         -                2     904       2     900       1     900    1461    +    3.1e-228  758.4  17.9  -
Alcaligenaceae_Pigmentiphaga                     -          A1d2_forward         -                2     896       2     899       1     900    1481    +    3.4e-228  758.3  18.1  -
Alcaligenaceae_Bordetella                        -          A1d2_forward         -               22     916       2     899       1     900    1476    +    3.4e-228  758.3  17.8  -
Chromobacteriaceae_Microvirgula                  -          A1d2_forward         -               23     919       3     900       1     900    1508    +    4.6e-228  758.0  17.9  -
Vibrionaceae_Salinivibrio                        -          A1d2_forward         -               21     936       2     900       1     900    1502    +      5e-228  757.2  18.3  -
Enterobacteriaceae_Pluralibacter                 -          A1d2_forward         -               23     927       3     900       1     900    1532    +    6.9e-228  757.2  18.0  -
Alcaligenaceae_Kerstersia                        -          A1d2_forward         -                1     889      12     899      12     900    1414    +    7.6e-228  757.4  17.5  -
Alteromonadaceae_Aliiglaciecola                  -          A1d2_forward         -                1     884      15     900      15     900    1440    +    8.4e-228  756.8  17.9  -
Lysobacteraceae_Stenotrophomonas                 -          A1d2_forward         -                4     906       4     900       2     900    1484    +      1e-227  756.7  18.2  -
Burkholderiales_Aquabacterium                    -          A1d2_forward         -                2     892       4     899       3     900    1451    +    1.4e-227  756.3  18.6  -
Pasteurellaceae_Actinobacillus                   -          A1d2_forward         -                2     904       2     900       1     900    1364    +    1.5e-227  756.3  18.0  -
