# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_E06_040_2018_2 -               27     928      18     917       8     918    1491    +           0 1137.8  17.8  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_E06_040_2018_2 -               19     913      18     916       8     918    1446    +    2.5e-304 1010.7  18.0  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-TSAKG2_E06_040_2018_2 -               27     930      18     916      10     918    1462    +    3.9e-259  860.9  17.9  -
Oceanospirillaceae_Nitrincola                    -          LKAP-TSAKG2_E06_040_2018_2 -               31     935      12     916       4     918    1477    +    5.1e-259  860.4  17.8  -
Methylococcaceae_Methylomicrobium                -          LKAP-TSAKG2_E06_040_2018_2 -               47     943      18     916       9     918    1467    +    1.2e-258  859.1  17.9  -
Methylococcaceae_Methylomonas                    -          LKAP-TSAKG2_E06_040_2018_2 -               46     941      18     916       9     918    1475    +    3.7e-258  857.6  17.8  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          LKAP-TSAKG2_E06_040_2018_2 -               27     936      18     916       7     918    1472    +    6.1e-258  856.8  17.8  -
Methylococcaceae_Methylobacter                   -          LKAP-TSAKG2_E06_040_2018_2 -               47     943      18     916       9     918    1500    +    1.9e-257  855.1  17.9  -
Thiotrichaceae_Leucothrix                        -          LKAP-TSAKG2_E06_040_2018_2 -               14     922      12     916       8     918    1445    +    2.2e-256  851.5  17.8  -
Gammaproteobacteria_Thiohalomonas                -          LKAP-TSAKG2_E06_040_2018_2 -               20     926      18     916       9     918    1483    +    4.1e-256  850.6  17.8  -
Halieaceae_Haliea                                -          LKAP-TSAKG2_E06_040_2018_2 -               47     945      18     916       9     918    1500    +    1.3e-255  849.2  18.2  -
Oceanospirillaceae_Neptuniibacter                -          LKAP-TSAKG2_E06_040_2018_2 -               54     956      18     916       6     918    1541    +    1.5e-255  848.7  17.9  -
Oceanospirillaceae_Thalassolituus                -          LKAP-TSAKG2_E06_040_2018_2 -               27     936      13     916       6     918    1476    +    1.9e-255  848.6  17.9  -
Granulosicoccaceae_Granulosicoccus               -          LKAP-TSAKG2_E06_040_2018_2 -               27     932      18     916       9     918    1471    +    3.3e-255  847.9  17.9  -
Pseudomonadaceae_Azomonas                        -          LKAP-TSAKG2_E06_040_2018_2 -               11     913      19     916      11     918    1453    +    1.2e-253  842.7  17.6  -
Idiomarinaceae_Aliidiomarina                     -          LKAP-TSAKG2_E06_040_2018_2 -                3     905      19     916      17     918    1410    +    1.5e-253  842.1  17.9  -
Pseudomonadaceae_Azotobacter                     -          LKAP-TSAKG2_E06_040_2018_2 -               34     932      18     916       8     918    1473    +    1.7e-253  842.3  17.7  -
Moraxellaceae_Alkanindiges                       -          LKAP-TSAKG2_E06_040_2018_2 -               14     913      18     916      10     918    1396    +    1.9e-253  842.1  17.6  -
Spongiibacteraceae_Spongiibacter                 -          LKAP-TSAKG2_E06_040_2018_2 -               30     926      18     916       8     918    1441    +    2.3e-253  841.6  17.8  -
Cellvibrionaceae_Cellvibrio                      -          LKAP-TSAKG2_E06_040_2018_2 -               47     944      18     916       8     918    1505    +    2.4e-253  841.7  17.8  -
Shewanellaceae_Shewanella                        -          LKAP-TSAKG2_E06_040_2018_2 -               27     933      18     916       7     918    1483    +    2.5e-253  841.6  17.9  -
Gammaproteobacteria_Sedimenticola                -          LKAP-TSAKG2_E06_040_2018_2 -               41     950      18     916       6     918    1540    +      5e-253  840.6  17.8  -
Chromobacteriaceae_Aquaspirillum                 -          LKAP-TSAKG2_E06_040_2018_2 -               42     944      14     916       8     918    1488    +    9.6e-253  839.8  17.8  -
Ectothiorhodospiraceae_Thiohalospira             -          LKAP-TSAKG2_E06_040_2018_2 -                2     892      31     916      30     918    1318    +    2.6e-252  838.4  17.5  -
Methylococcaceae_Methylosarcina                  -          LKAP-TSAKG2_E06_040_2018_2 -               41     937      18     916       9     918    1515    +      1e-251  836.1  17.9  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          LKAP-TSAKG2_E06_040_2018_2 -               18     919      18     916       9     918    1438    +    2.1e-251  835.0  17.8  -
Idiomarinaceae_Idiomarina                        -          LKAP-TSAKG2_E06_040_2018_2 -               32     937      18     916       8     918    1471    +    1.5e-250  832.2  17.9  -
Legionellaceae_Legionella                        -          LKAP-TSAKG2_E06_040_2018_2 -               23     929      18     916       8     918    1446    +    3.4e-250  831.3  17.9  -
Halieaceae_Parahaliea                            -          LKAP-TSAKG2_E06_040_2018_2 -               27     924      18     916       9     918    1498    +    8.9e-250  829.8  18.0  -
Thioalkalispiraceae_Thioprofundum                -          LKAP-TSAKG2_E06_040_2018_2 -               43     953      18     916       9     918    1537    +    4.6e-249  827.7  17.8  -
Thiotrichaceae_Thiothrix                         -          LKAP-TSAKG2_E06_040_2018_2 -               21     883      14     916       6     918    1417    +    4.9e-249  827.3  18.4  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_E06_040_2018_2 -               20     932      18     916       8     918    1494    +    7.6e-249  826.7  18.0  -
Chromatiaceae_Thiorhodococcus                    -          LKAP-TSAKG2_E06_040_2018_2 -               39     893      61     916      39     918    1426    +    1.5e-248  825.8  18.0  -
Oceanospirillaceae_Oleispira                     -          LKAP-TSAKG2_E06_040_2018_2 -               47     949      18     916       9     918    1500    +    1.8e-248  825.5  17.9  -
Colwelliaceae_Thalassotalea                      -          LKAP-TSAKG2_E06_040_2018_2 -               27     929      18     916       9     918    1463    +      2e-248  825.5  17.9  -
Alteromonadaceae_Catenovulum                     -          LKAP-TSAKG2_E06_040_2018_2 -               27     923      18     916       6     918    1451    +    2.1e-248  825.1  18.2  -
Gammaproteobacteria_Alkalimonas                  -          LKAP-TSAKG2_E06_040_2018_2 -               45     947      18     916       8     918    1502    +    2.4e-248  825.1  17.8  -
Hahellaceae_Kistimonas                           -          LKAP-TSAKG2_E06_040_2018_2 -               47     950      18     916       9     918    1506    +    5.4e-248  824.0  17.9  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-TSAKG2_E06_040_2018_2 -               27     941      18     916       7     918    1475    +    1.2e-247  822.6  17.9  -
Chromatiaceae_Thiohalocapsa                      -          LKAP-TSAKG2_E06_040_2018_2 -               38     931      19     916      11     918    1436    +    1.8e-247  822.4  17.7  -
Hahellaceae_Allohahella                          -          LKAP-TSAKG2_E06_040_2018_2 -               39     943      12     916       6     918    1485    +    2.8e-247  821.7  17.9  -
Halieaceae_Halioglobus                           -          LKAP-TSAKG2_E06_040_2018_2 -               28     923      18     916      10     918    1433    +    6.5e-247  820.4  17.7  -
Ectothiorhodospiraceae_Alkalilimnicola           -          LKAP-TSAKG2_E06_040_2018_2 -               41     941      18     916      11     918    1472    +      1e-246  819.9  17.9  -
Chromatiaceae_Halochromatium                     -          LKAP-TSAKG2_E06_040_2018_2 -               27     919      18     916      11     918    1451    +    1.8e-246  819.2  17.7  -
Hahellaceae_Zooshikella                          -          LKAP-TSAKG2_E06_040_2018_2 -               21     928      14     916       5     918    1483    +    1.8e-246  818.9  17.9  -
Cellvibrionaceae_Marinimicrobium                 -          LKAP-TSAKG2_E06_040_2018_2 -               27     923      18     916       9     918    1455    +    3.8e-246  817.7  18.0  -
Alteromonadaceae_Agarivorans                     -          LKAP-TSAKG2_E06_040_2018_2 -               34     938      18     916       9     918    1454    +    4.2e-246  817.7  18.0  -
Cardiobacteriaceae_Suttonella                    -          LKAP-TSAKG2_E06_040_2018_2 -               28     930      18     916       9     918    1486    +    4.3e-246  817.9  17.9  -
Colwelliaceae_Colwellia                          -          LKAP-TSAKG2_E06_040_2018_2 -               27     931      18     916       9     918    1485    +    5.1e-246  817.4  17.9  -
Oceanospirillales_Salicola                       -          LKAP-TSAKG2_E06_040_2018_2 -               47     940      18     916       9     918    1492    +    8.2e-246  816.7  18.2  -
Piscirickettsiaceae_Methylophaga                 -          LKAP-TSAKG2_E06_040_2018_2 -               26     925      18     916      10     918    1487    +    1.1e-245  816.2  17.9  -
Methylococcaceae_Methylocaldum                   -          LKAP-TSAKG2_E06_040_2018_2 -               47     950      18     916       9     918    1491    +    1.1e-245  816.5  17.9  -
Methylococcaceae_Methylovulum                    -          LKAP-TSAKG2_E06_040_2018_2 -               46     939      18     916       9     918    1492    +    2.2e-245  815.2  17.9  -
Cellvibrionaceae_Eionea                          -          LKAP-TSAKG2_E06_040_2018_2 -               29     927      18     916       9     918    1469    +    2.9e-245  814.8  17.4  -
Spongiibacteraceae_Zhongshania                   -          LKAP-TSAKG2_E06_040_2018_2 -               47     945      18     916       8     918    1501    +    4.1e-245  814.3  18.0  -
Cellvibrionaceae_Gilvimarinus                    -          LKAP-TSAKG2_E06_040_2018_2 -               18     920      14     916       8     918    1445    +    4.6e-245  814.1  17.9  -
Cellvibrionaceae_Umboniibacter                   -          LKAP-TSAKG2_E06_040_2018_2 -               39     934      18     916       9     918    1507    +    6.5e-245  813.9  17.9  -
Chromatiaceae_Thiophaeococcus                    -          LKAP-TSAKG2_E06_040_2018_2 -               18     909      18     916       8     918    1440    +    7.9e-245  813.6  17.8  -
Pseudoalteromonadaceae_Algicola                  -          LKAP-TSAKG2_E06_040_2018_2 -               42     944      18     916      10     918    1490    +    1.5e-244  812.4  17.8  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-TSAKG2_E06_040_2018_2 -               27     925      18     916       7     918    1461    +    2.7e-244  811.6  17.7  -
Chromatiaceae_Thiodictyon                        -          LKAP-TSAKG2_E06_040_2018_2 -               30     921      19     916      11     918    1500    +    3.6e-244  811.5  18.1  -
Ectothiorhodospiraceae_Spiribacter               -          LKAP-TSAKG2_E06_040_2018_2 -               57     956      18     916      11     918    1544    +    1.9e-242  805.7  17.9  -
Chromatiaceae_Thiocystis                         -          LKAP-TSAKG2_E06_040_2018_2 -               28     917      19     916      11     918    1451    +    2.4e-242  805.4  17.7  -
Moraxellaceae_Paraperlucidibaca                  -          LKAP-TSAKG2_E06_040_2018_2 -               27     925      18     916       9     918    1460    +    3.1e-242  804.8  17.6  -
Arenicellaceae_Arenicella                        -          LKAP-TSAKG2_E06_040_2018_2 -               35     933      18     916       9     918    1506    +    5.2e-242  804.3  17.8  -
Chromatiaceae_Marichromatium                     -          LKAP-TSAKG2_E06_040_2018_2 -               38     927      19     916      11     918    1440    +    5.4e-242  804.3  18.1  -
Ectothiorhodospiraceae_Aquisalimonas             -          LKAP-TSAKG2_E06_040_2018_2 -               48     948      18     916      11     918    1464    +    6.2e-242  804.0  18.2  -
Chromatiaceae_Imhoffiella                        -          LKAP-TSAKG2_E06_040_2018_2 -               29     926      13     916       5     918    1484    +    1.2e-241  803.0  18.0  -
Salinisphaeraceae_Salinisphaera                  -          LKAP-TSAKG2_E06_040_2018_2 -               15     916      18     916       8     918    1429    +    2.2e-241  802.1  18.1  -
Pseudoalteromonadaceae_Psychrosphaera            -          LKAP-TSAKG2_E06_040_2018_2 -               31     926      18     916       9     918    1450    +    2.3e-241  802.0  18.1  -
Alteromonadaceae_Paraglaciecola                  -          LKAP-TSAKG2_E06_040_2018_2 -               37     933      18     916       8     918    1495    +      3e-241  801.3  18.2  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          LKAP-TSAKG2_E06_040_2018_2 -               44     941      18     916       8     918    1490    +    3.4e-241  801.5  18.1  -
Chromatiaceae_Thiocapsa                          -          LKAP-TSAKG2_E06_040_2018_2 -               43     933      18     916      11     918    1459    +    4.9e-241  801.2  17.9  -
Chromatiaceae_Allochromatium                     -          LKAP-TSAKG2_E06_040_2018_2 -               20     928      13     916       5     918    1462    +    1.3e-240  799.5  18.0  -
Piscirickettsiaceae_Thiomicrospira               -          LKAP-TSAKG2_E06_040_2018_2 -               31     934      18     916       9     918    1466    +    1.9e-240  798.9  17.9  -
Vibrionaceae_Vibrio                              -          LKAP-TSAKG2_E06_040_2018_2 -               27     941      18     916       8     918    1466    +    2.2e-240  798.6  17.9  -
Chromatiaceae_Lamprocystis                       -          LKAP-TSAKG2_E06_040_2018_2 -               53     944      19     916      11     918    1406    +    2.7e-240  798.6  17.8  -
Aeromonadaceae_Zobellella                        -          LKAP-TSAKG2_E06_040_2018_2 -               34     938      18     916       9     918    1478    +    4.1e-240  797.6  17.9  -
Lysobacteraceae_Luteimonas                       -          LKAP-TSAKG2_E06_040_2018_2 -               31     937      17     916       6     918    1490    +    4.4e-240  797.7  17.9  -
Alteromonadaceae_Bowmanella                      -          LKAP-TSAKG2_E06_040_2018_2 -               45     943      18     916      10     918    1496    +    4.9e-240  797.6  18.1  -
Halothiobacillaceae_Halothiobacillus             -          LKAP-TSAKG2_E06_040_2018_2 -               47     952      18     916       9     918    1505    +    6.8e-240  797.1  17.8  -
Moritellaceae_Moritella                          -          LKAP-TSAKG2_E06_040_2018_2 -               47     953      18     916       9     918    1506    +    8.1e-240  796.7  17.9  -
Litoricolaceae_Litoricola                        -          LKAP-TSAKG2_E06_040_2018_2 -               38     942      18     916       9     918    1483    +    3.5e-239  794.9  17.8  -
Cellvibrionaceae_Pseudomaricurvus                -          LKAP-TSAKG2_E06_040_2018_2 -               27     922      18     916       9     918    1490    +    8.3e-239  793.3  17.3  -
Vibrionaceae_Photobacterium                      -          LKAP-TSAKG2_E06_040_2018_2 -               27     941      18     916       8     918    1487    +    2.3e-238  791.9  17.9  -
Cardiobacteriaceae_Cardiobacterium               -          LKAP-TSAKG2_E06_040_2018_2 -                8     911      15     916      10     918    1493    +    2.3e-238  792.0  18.1  -
Chromatiaceae_Rheinheimera                       -          LKAP-TSAKG2_E06_040_2018_2 -               34     920      18     916       7     918    1472    +    2.4e-238  792.0  17.9  -
Moritellaceae_Paramoritella                      -          LKAP-TSAKG2_E06_040_2018_2 -               27     929      18     916       8     918    1512    +    4.8e-238  790.8  17.8  -
Alteromonadaceae_Glaciecola                      -          LKAP-TSAKG2_E06_040_2018_2 -               47     943      18     916       9     918    1474    +    7.9e-238  790.1  18.3  -
Burkholderiaceae_Paraburkholderia                -          LKAP-TSAKG2_E06_040_2018_2 -               23     924      15     916       8     918    1472    +    9.4e-238  790.2  17.8  -
Burkholderiaceae_Limnobacter                     -          LKAP-TSAKG2_E06_040_2018_2 -               42     944      14     916       9     918    1524    +    1.2e-237  789.7  18.0  -
Thiotrichaceae_Beggiatoa                         -          LKAP-TSAKG2_E06_040_2018_2 -               41     938      14     916       6     918    1491    +    1.7e-237  789.4  18.1  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-TSAKG2_E06_040_2018_2 -               27     930      18     916       7     918    1464    +    4.6e-237  787.5  17.9  -
Burkholderiaceae_Pandoraea                       -          LKAP-TSAKG2_E06_040_2018_2 -               21     926      13     916       8     918    1456    +    5.3e-237  787.7  17.5  -
Ectothiorhodospiraceae_Halorhodospira            -          LKAP-TSAKG2_E06_040_2018_2 -               48     953      19     916      11     918    1479    +    7.1e-237  787.3  17.7  -
Nevskiaceae_Steroidobacter                       -          LKAP-TSAKG2_E06_040_2018_2 -               33     934      18     916       9     918    1500    +      1e-236  786.8  18.1  -
Ectothiorhodospiraceae_Arhodomonas               -          LKAP-TSAKG2_E06_040_2018_2 -               31     930      18     916      11     918    1487    +    1.3e-236  786.4  18.0  -
Colwelliaceae_Thalassomonas                      -          LKAP-TSAKG2_E06_040_2018_2 -               27     929      18     916       9     918    1462    +    1.8e-236  785.7  17.8  -
Lysobacteraceae_Lysobacter                       -          LKAP-TSAKG2_E06_040_2018_2 -               29     935      18     916       6     918    1475    +      4e-236  784.6  17.9  -
Lysobacteraceae_Arenimonas                       -          LKAP-TSAKG2_E06_040_2018_2 -               31     936      18     916       9     918    1490    +      4e-236  784.7  17.9  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-TSAKG2_E06_040_2018_2 -               47     951      18     916       6     918    1506    +    9.7e-236  783.2  17.7  -
Alteromonadaceae_Aliagarivorans                  -          LKAP-TSAKG2_E06_040_2018_2 -               20     937      18     916       9     918    1462    +    1.3e-235  783.1  18.0  -
Methylophilaceae_Methylobacillus                 -          LKAP-TSAKG2_E06_040_2018_2 -                5     912      14     916      11     918    1416    +    1.5e-235  782.9  18.0  -
Burkholderiaceae_Burkholderia                    -          LKAP-TSAKG2_E06_040_2018_2 -               29     933      14     916       8     918    1502    +    2.7e-235  781.9  17.7  -
Burkholderiaceae_Caballeronia                    -          LKAP-TSAKG2_E06_040_2018_2 -               31     933      14     916       9     918    1479    +    2.9e-235  781.9  17.4  -
Piscirickettsiaceae_Hydrogenovibrio              -          LKAP-TSAKG2_E06_040_2018_2 -               27     946      18     916       9     918    1465    +    5.2e-235  780.8  17.8  -
Alcaligenaceae_Advenella                         -          LKAP-TSAKG2_E06_040_2018_2 -                5     911      17     916      13     918    1428    +    1.6e-234  779.3  17.9  -
Idiomarinaceae_Pseudidiomarina                   -          LKAP-TSAKG2_E06_040_2018_2 -               27     932      18     916       9     918    1499    +    2.8e-234  778.3  17.8  -
Aeromonadaceae_Oceanimonas                       -          LKAP-TSAKG2_E06_040_2018_2 -               24     930      18     916       8     918    1483    +    2.8e-234  778.3  17.9  -
Oxalobacteraceae_Undibacterium                   -          LKAP-TSAKG2_E06_040_2018_2 -               23     920      18     916       8     918    1442    +    2.8e-234  778.6  18.0  -
Neisseriaceae_Neisseria                          -          LKAP-TSAKG2_E06_040_2018_2 -               41     945      18     916       9     918    1475    +    3.6e-234  778.3  17.9  -
Nevskiaceae_Nevskia                              -          LKAP-TSAKG2_E06_040_2018_2 -               33     919      19     916      10     918    1451    +    3.7e-234  778.4  17.5  -
Erwiniaceae_Erwinia                              -          LKAP-TSAKG2_E06_040_2018_2 -               27     931      18     916       9     918    1495    +    5.2e-234  777.7  17.8  -
Alteromonadaceae_Alishewanella                   -          LKAP-TSAKG2_E06_040_2018_2 -               36     922      18     916       7     918    1426    +      6e-234  777.4  17.8  -
Chromobacteriaceae_Chromobacterium               -          LKAP-TSAKG2_E06_040_2018_2 -               41     941      15     915       6     918    1469    +    1.5e-233  776.2  18.3  -
Alcaligenaceae_Paenalcaligenes                   -          LKAP-TSAKG2_E06_040_2018_2 -               25     930      17     916       9     918    1432    +    1.7e-233  776.0  17.2  -
Aeromonadaceae_Aeromonas                         -          LKAP-TSAKG2_E06_040_2018_2 -               46     952      18     916       9     918    1503    +    2.2e-233  775.3  18.0  -
Celerinatantimonadaceae_Celerinatantimonas       -          LKAP-TSAKG2_E06_040_2018_2 -               22     938      18     916       9     918    1433    +    5.3e-233  774.3  17.9  -
Alteromonadaceae_Salinimonas                     -          LKAP-TSAKG2_E06_040_2018_2 -               27     927      18     916       9     918    1459    +    5.7e-233  774.2  17.9  -
Alcaligenaceae_Pusillimonas                      -          LKAP-TSAKG2_E06_040_2018_2 -                2     906      19     916      18     918    1446    +    5.8e-233  774.2  18.2  -
Burkholderiaceae_Ralstonia                       -          LKAP-TSAKG2_E06_040_2018_2 -               17     920      17     916       7     918    1446    +    9.6e-233  773.6  17.6  -
Psychromonadaceae_Psychromonas                   -          LKAP-TSAKG2_E06_040_2018_2 -               27     931      18     916       8     918    1467    +    1.1e-232  773.2  17.8  -
Neisseriaceae_Vitreoscilla                       -          LKAP-TSAKG2_E06_040_2018_2 -               16     914      15     916      10     918    1457    +    1.3e-232  773.0  17.3  -
Thiotrichales_Caedibacter                        -          LKAP-TSAKG2_E06_040_2018_2 -               47     910      18     916       9     918    1500    +    2.3e-232  771.9  18.6  -
Lysobacteraceae_Silanimonas                      -          LKAP-TSAKG2_E06_040_2018_2 -               46     946      18     916       6     918    1493    +    2.5e-232  772.1  17.9  -
Alcaligenaceae_Pelistega                         -          LKAP-TSAKG2_E06_040_2018_2 -               29     938      14     916       9     918    1472    +    3.1e-232  771.9  17.8  -
Alteromonadaceae_Aestuariibacter                 -          LKAP-TSAKG2_E06_040_2018_2 -               27     923      18     916       8     918    1455    +    7.6e-232  770.4  18.1  -
Alcaligenaceae_Castellaniella                    -          LKAP-TSAKG2_E06_040_2018_2 -               20     926      18     916       6     918    1464    +    9.5e-232  770.1  17.9  -
Enterobacteriaceae_Enterobacter                  -          LKAP-TSAKG2_E06_040_2018_2 -               25     927      18     916       8     918    1476    +    1.4e-231  769.6  17.8  -
Kangiellaceae_Marinicella                        -          LKAP-TSAKG2_E06_040_2018_2 -               47     953      18     916      11     918    1529    +    1.5e-231  769.7  17.7  -
Piscirickettsiaceae_Thiomicrorhabdus             -          LKAP-TSAKG2_E06_040_2018_2 -               29     943      15     916       8     918    1464    +    1.7e-231  769.1  17.8  -
Vibrionaceae_Aliivibrio                          -          LKAP-TSAKG2_E06_040_2018_2 -               51     955      18     916       8     918    1474    +    3.4e-231  768.5  17.9  -
Enterobacteriaceae_Kosakonia                     -          LKAP-TSAKG2_E06_040_2018_2 -                7     909      18     916      13     918    1422    +    3.6e-231  767.9  17.6  -
Alteromonadaceae_Aliiglaciecola                  -          LKAP-TSAKG2_E06_040_2018_2 -                7     911      13     916       8     918    1440    +    3.6e-231  768.0  18.0  -
Pasteurellaceae_Pasteurella                      -          LKAP-TSAKG2_E06_040_2018_2 -               27     932      18     916       9     918    1365    +    3.6e-231  768.3  18.0  -
Yersiniaceae_Serratia                            -          LKAP-TSAKG2_E06_040_2018_2 -               31     935      18     916       9     918    1491    +    3.8e-231  768.0  17.9  -
Enterobacteriaceae_Cronobacter                   -          LKAP-TSAKG2_E06_040_2018_2 -                5     908      19     916      16     918    1422    +    4.3e-231  768.0  18.0  -
Vibrionaceae_Enterovibrio                        -          LKAP-TSAKG2_E06_040_2018_2 -               27     935      18     916      10     918    1499    +    4.9e-231  767.5  17.8  -
Zoogloeaceae_Zoogloea                            -          LKAP-TSAKG2_E06_040_2018_2 -               34     933      18     916      10     918    1474    +    1.4e-230  766.2  18.5  -
Oxalobacteraceae_Oxalicibacterium                -          LKAP-TSAKG2_E06_040_2018_2 -               22     926      14     916      10     918    1489    +    2.2e-230  765.6  17.9  -
Lysobacteraceae_Pseudoxanthomonas                -          LKAP-TSAKG2_E06_040_2018_2 -               30     937      18     916       8     918    1484    +    2.6e-230  765.3  17.8  -
Lysobacteraceae_Thermomonas                      -          LKAP-TSAKG2_E06_040_2018_2 -               28     932      19     916      10     918    1488    +      3e-230  765.2  17.9  -
Francisellaceae_Allofrancisella                  -          LKAP-TSAKG2_E06_040_2018_2 -               27     924      18     916       9     918    1452    +    4.3e-230  764.7  18.0  -
Lysobacteraceae_Vulcaniibacterium                -          LKAP-TSAKG2_E06_040_2018_2 -               54     959      18     916       9     918    1549    +    5.1e-230  764.3  17.9  -
Pectobacteriaceae_Pectobacterium                 -          LKAP-TSAKG2_E06_040_2018_2 -               35     939      18     916       8     918    1499    +    6.7e-230  764.0  17.8  -
Oxalobacteraceae_Glaciimonas                     -          LKAP-TSAKG2_E06_040_2018_2 -               42     946      14     916       9     918    1525    +    7.8e-230  763.9  18.0  -
Alcaligenaceae_Alcaligenes                       -          LKAP-TSAKG2_E06_040_2018_2 -               22     925      18     916       7     918    1469    +    9.6e-230  763.4  17.3  -
Moraxellaceae_Enhydrobacter                      -          LKAP-TSAKG2_E06_040_2018_2 -               27     922      18     916       6     918    1484    +    1.7e-229  762.3  18.1  -
