# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_G09_067_2018_2 -               37     829      18     810       6     810    1526    +    6.8e-302 1002.5  25.6  -
Bacillaceae_Alkalicoccus                         -          LKAP-TSAKG2_G09_067_2018_2 -               44     848      18     810       5     810    1558    +    9.7e-230  763.3  25.5  -
Bacillaceae_Anaerobacillus                       -          LKAP-TSAKG2_G09_067_2018_2 -               43     825      18     810       6     810    1512    +    3.9e-229  761.1  23.5  -
Aerococcaceae_Aerococcus                         -          LKAP-TSAKG2_G09_067_2018_2 -               15     796      18     810       7     810    1461    +    5.6e-228  757.4  23.5  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-TSAKG2_G09_067_2018_2 -               10     792      18     810      11     810    1443    +    8.8e-228  756.8  23.4  -
Bacillales_Gemella                               -          LKAP-TSAKG2_G09_067_2018_2 -               27     810      18     810       6     810    1511    +    1.1e-227  756.6  23.9  -
Bacillaceae_Salimicrobium                        -          LKAP-TSAKG2_G09_067_2018_2 -               24     823      18     810       6     810    1500    +    1.7e-227  755.9  25.5  -
Bacillales_Geomicrobium                          -          LKAP-TSAKG2_G09_067_2018_2 -               35     818      18     810       6     810    1537    +      2e-227  755.6  23.7  -
Bacillaceae_Alteribacillus                       -          LKAP-TSAKG2_G09_067_2018_2 -                2     793      25     810      24     810    1440    +      8e-227  753.7  25.7  -
Paenibacillaceae_Brevibacillus                   -          LKAP-TSAKG2_G09_067_2018_2 -               23     791      18     810       5     810    1486    +    1.5e-226  752.8  22.7  -
Bacillaceae_Tepidibacillus                       -          LKAP-TSAKG2_G09_067_2018_2 -               29     809      17     809       4     810    1493    +    6.4e-226  750.2  23.9  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-TSAKG2_G09_067_2018_2 -                3     802      19     809      17     810    1488    +    1.8e-225  749.1  25.1  -
Enterococcaceae_Tetragenococcus                  -          LKAP-TSAKG2_G09_067_2018_2 -               29     816      18     810       5     810    1518    +    4.2e-225  747.9  24.7  -
Bacillaceae_Geobacillus                          -          LKAP-TSAKG2_G09_067_2018_2 -               38     822      18     810       5     810    1527    +    7.4e-225  747.2  23.8  -
Carnobacteriaceae_Granulicatella                 -          LKAP-TSAKG2_G09_067_2018_2 -               44     826      18     810       5     810    1407    +    9.5e-225  746.7  24.1  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-TSAKG2_G09_067_2018_2 -               26     796      18     810       6     810    1497    +    1.2e-224  746.6  23.6  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-TSAKG2_G09_067_2018_2 -               32     827      18     810       5     810    1506    +      2e-224  745.8  25.6  -
Bacillaceae_Pelagirhabdus                        -          LKAP-TSAKG2_G09_067_2018_2 -                1     793      27     810      27     810    1462    +    2.3e-224  745.4  25.5  -
Bacillaceae_Salisediminibacterium                -          LKAP-TSAKG2_G09_067_2018_2 -                1     797      20     810      20     810    1449    +    3.9e-224  744.8  25.3  -
Bacillaceae_Salsuginibacillus                    -          LKAP-TSAKG2_G09_067_2018_2 -               47     847      17     810       4     810    1505    +    4.1e-223  741.4  25.6  -
Bacillaceae_Salibacterium                        -          LKAP-TSAKG2_G09_067_2018_2 -               11     802      23     810      13     810    1485    +    7.8e-221  733.8  25.3  -
Aerococcaceae_Facklamia                          -          LKAP-TSAKG2_G09_067_2018_2 -               24     808      18     810       6     810    1501    +    9.1e-221  733.7  24.2  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-TSAKG2_G09_067_2018_2 -               14     799      17     810       5     810    1453    +    1.6e-220  732.6  23.9  -
Listeriaceae_Brochothrix                         -          LKAP-TSAKG2_G09_067_2018_2 -               11     792      18     810      10     810    1421    +      5e-220  731.4  23.1  -
Paenibacillaceae_Fontibacillus                   -          LKAP-TSAKG2_G09_067_2018_2 -               29     811      18     809       5     810    1487    +    1.1e-219  729.9  22.9  -
Bacillales_Desulfuribacillus                     -          LKAP-TSAKG2_G09_067_2018_2 -               33     815      18     810       5     810    1495    +      8e-219  727.0  23.3  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-TSAKG2_G09_067_2018_2 -               24     821      18     810       6     810    1486    +    1.1e-218  726.7  24.2  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-TSAKG2_G09_067_2018_2 -               34     813      18     810       6     810    1439    +    1.8e-218  726.0  23.9  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-TSAKG2_G09_067_2018_2 -               12     794      18     810       9     810    1494    +    1.9e-218  725.9  24.3  -
Carnobacteriaceae_Trichococcus                   -          LKAP-TSAKG2_G09_067_2018_2 -               26     816      18     810       5     810    1513    +    1.3e-217  722.9  24.0  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-TSAKG2_G09_067_2018_2 -               20     800      18     810       6     810    1466    +    5.2e-217  721.2  23.7  -
Eubacteriaceae_Eubacterium                       -          LKAP-TSAKG2_G09_067_2018_2 -               45     805      19     808       7     810    1476    +    5.5e-216  717.7  25.2  -
Paenibacillaceae_Cohnella                        -          LKAP-TSAKG2_G09_067_2018_2 -               28     810      18     810       5     810    1482    +    7.4e-216  717.5  23.7  -
Paenibacillaceae_Saccharibacillus                -          LKAP-TSAKG2_G09_067_2018_2 -               27     810      18     810       4     810    1498    +    5.6e-215  714.8  23.6  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-TSAKG2_G09_067_2018_2 -               45     837      18     810       4     810    1546    +    1.7e-214  712.6  24.6  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-TSAKG2_G09_067_2018_2 -               12     794      18     810      10     810    1511    +    1.4e-213  709.5  24.3  -
Bacillaceae_Calditerricola                       -          LKAP-TSAKG2_G09_067_2018_2 -               44     838      18     809       6     810    1535    +    2.8e-212  705.5  25.3  -
Bacillaceae_Marinococcus                         -          LKAP-TSAKG2_G09_067_2018_2 -               12     815      16     810       5     810    1503    +      5e-212  704.7  25.7  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-TSAKG2_G09_067_2018_2 -               37     800      18     810       5     810    1493    +    9.2e-212  703.6  23.9  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-TSAKG2_G09_067_2018_2 -               44     825      18     810       6     810    1510    +    7.8e-209  694.2  24.0  -
Lactobacillaceae_Pediococcus                     -          LKAP-TSAKG2_G09_067_2018_2 -               33     841      19     809       5     810    1526    +    3.2e-208  692.1  24.8  -
Bacillaceae_Salirhabdus                          -          LKAP-TSAKG2_G09_067_2018_2 -               37     831      17     809       4     810    1546    +    7.9e-208  690.5  25.6  -
Streptococcaceae_Streptococcus                   -          LKAP-TSAKG2_G09_067_2018_2 -               29     815      18     810       5     810    1497    +    8.6e-208  690.6  24.3  -
Thermoactinomycetaceae_Marininema                -          LKAP-TSAKG2_G09_067_2018_2 -               43     824      18     810       6     810    1553    +    1.2e-207  690.0  23.5  -
Leuconostocaceae_Weissella                       -          LKAP-TSAKG2_G09_067_2018_2 -               21     829      18     810       4     810    1485    +    1.9e-207  689.4  25.4  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-TSAKG2_G09_067_2018_2 -               44     812      18     810       6     810    1509    +    3.3e-207  688.9  23.4  -
Streptococcaceae_Lactococcus                     -          LKAP-TSAKG2_G09_067_2018_2 -               30     812      18     810       5     810    1492    +    4.7e-207  687.9  24.2  -
Bacillaceae_Thermolongibacillus                  -          LKAP-TSAKG2_G09_067_2018_2 -               38     780      76     810      56     810    1432    +    2.8e-206  685.5  22.2  -
Thermoactinomycetaceae_Desmospora                -          LKAP-TSAKG2_G09_067_2018_2 -               43     827      18     810       6     810    1548    +      3e-206  685.7  23.4  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-TSAKG2_G09_067_2018_2 -               31     804      17     810       5     810    1489    +    7.4e-206  684.3  23.5  -
Thermoactinomycetaceae_Planifilum                -          LKAP-TSAKG2_G09_067_2018_2 -               44     828      18     810       6     810    1517    +    1.5e-205  683.2  23.9  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-TSAKG2_G09_067_2018_2 -               17     781      19     807       9     810    1465    +    3.7e-205  682.0  23.1  -
Leuconostocaceae_Leuconostoc                     -          LKAP-TSAKG2_G09_067_2018_2 -               16     794      18     807       6     810    1477    +    2.3e-203  676.0  23.2  -
Paenibacillaceae_Thermobacillus                  -          LKAP-TSAKG2_G09_067_2018_2 -               44     841      18     809       6     810    1599    +    2.6e-203  675.7  25.3  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-TSAKG2_G09_067_2018_2 -               23     763      17     810       5     810    1428    +    7.2e-202  671.0  22.7  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-TSAKG2_G09_067_2018_2 -               44     782      17     810       4     810    1464    +    5.4e-199  661.6  22.1  -
Leuconostocaceae_Fructobacillus                  -          LKAP-TSAKG2_G09_067_2018_2 -               24     802      18     807       5     809    1485    +    1.9e-195  649.8  22.4  -
Ruminococcaceae_Ruminococcus                     -          LKAP-TSAKG2_G09_067_2018_2 -               13     772      19     808       9     810    1394    +    1.3e-194  646.9  25.2  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-TSAKG2_G09_067_2018_2 -               47     810      18     809       7     810    1516    +    8.7e-194  644.5  23.1  -
Erysipelotrichaceae_Breznakia                    -          LKAP-TSAKG2_G09_067_2018_2 -               29     833      18     808       4     809    1508    +    1.1e-193  643.7  24.6  -
Bacillaceae_Paucisalibacillus                    -          LKAP-TSAKG2_G09_067_2018_2 -               38     832      17     809       4     810    1441    +    1.7e-193  642.9  25.6  -
Erysipelotrichaceae_Erysipelothrix               -          LKAP-TSAKG2_G09_067_2018_2 -               31     807      18     806       5     809    1467    +      2e-193  643.2  23.4  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-TSAKG2_G09_067_2018_2 -               45     790      19     807       6     809    1510    +    3.3e-193  642.4  23.7  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-TSAKG2_G09_067_2018_2 -               31     823      19     810       5     810    1523    +    4.1e-193  641.8  24.4  -
Bacillaceae_Filobacillus                         -          LKAP-TSAKG2_G09_067_2018_2 -               16     812      17     809       5     810    1491    +    5.1e-193  641.2  25.6  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-TSAKG2_G09_067_2018_2 -               34     789      18     808       6     810    1485    +    1.3e-192  640.0  23.8  -
Sporolactobacillaceae_Tuberibacillus             -          LKAP-TSAKG2_G09_067_2018_2 -               23     816      17     809       4     810    1486    +    7.4e-192  637.5  25.6  -
Bacillaceae_Aquisalibacillus                     -          LKAP-TSAKG2_G09_067_2018_2 -               46     840      17     809       4     810    1484    +    9.2e-192  637.1  25.3  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-TSAKG2_G09_067_2018_2 -               29     813      19     809       5     810    1493    +    1.1e-191  637.3  25.9  -
Clostridiaceae_Hathewaya                         -          LKAP-TSAKG2_G09_067_2018_2 -               45     791      19     809       6     810    1507    +    5.6e-191  634.8  23.3  -
Planococcaceae_Filibacter                        -          LKAP-TSAKG2_G09_067_2018_2 -               33     813      17     809       4     810    1517    +    3.6e-190  631.9  23.6  -
Bacillaceae_Melghiribacillus                     -          LKAP-TSAKG2_G09_067_2018_2 -               32     827      17     809       4     810    1552    +    8.1e-190  630.9  25.6  -
Peptococcaceae_Desulfitobacterium                -          LKAP-TSAKG2_G09_067_2018_2 -               25     830      19     810       6     810    1521    +      1e-189  630.2  25.0  -
Peptococcaceae_Pelotomaculum                     -          LKAP-TSAKG2_G09_067_2018_2 -               25     782      19     810       4     810    1467    +    1.2e-189  630.2  24.4  -
Bacillaceae_Natronobacillus                      -          LKAP-TSAKG2_G09_067_2018_2 -               50     846      17     809       4     810    1473    +    1.9e-189  629.7  25.6  -
Selenomonadaceae_Selenomonas                     -          LKAP-TSAKG2_G09_067_2018_2 -               46     836      19     808       6     810    1508    +    2.2e-189  629.4  23.9  -
Bacillaceae_Fermentibacillus                     -          LKAP-TSAKG2_G09_067_2018_2 -               42     822      17     809       4     810    1530    +    2.4e-189  629.1  23.8  -
Spirochaetaceae_Spirochaeta                      -          LKAP-TSAKG2_G09_067_2018_2 -               38     804      21     806       9     809    1495    +    3.7e-189  628.8  23.5  -
Bacillaceae_Tenuibacillus                        -          LKAP-TSAKG2_G09_067_2018_2 -               20     816      17     809       4     810    1479    +    5.6e-189  627.9  25.6  -
Bacillaceae_Caenibacillus                        -          LKAP-TSAKG2_G09_067_2018_2 -               23     817      17     809       4     810    1490    +      1e-188  627.2  25.6  -
Bacillaceae_Falsibacillus                        -          LKAP-TSAKG2_G09_067_2018_2 -                2     776      23     809      22     810    1413    +    1.7e-188  626.4  23.8  -
Sporolactobacillaceae_Terrilactibacillus         -          LKAP-TSAKG2_G09_067_2018_2 -               31     772      69     809      48     810    1456    +    2.4e-188  625.9  23.2  -
Bacillaceae_Halalkalibacillus                    -          LKAP-TSAKG2_G09_067_2018_2 -               16     813      17     809       5     810    1492    +    3.9e-188  625.2  25.6  -
Bacillaceae_Cerasibacillus                       -          LKAP-TSAKG2_G09_067_2018_2 -               26     822      17     809       4     810    1484    +    5.4e-188  624.8  25.6  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-TSAKG2_G09_067_2018_2 -               30     825      17     809       4     810    1521    +    6.1e-188  624.7  25.5  -
Bacillaceae_Compostibacillus                     -          LKAP-TSAKG2_G09_067_2018_2 -              152     888      75     809      54     810    1555    +    1.6e-187  623.1  22.7  -
Bacillaceae_Saliterribacillus                    -          LKAP-TSAKG2_G09_067_2018_2 -               43     844      17     809       4     810    1472    +    2.4e-187  622.6  25.4  -
Clostridiaceae_Brassicibacter                    -          LKAP-TSAKG2_G09_067_2018_2 -               24     784      18     809       4     810    1454    +    2.7e-187  622.5  25.2  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-TSAKG2_G09_067_2018_2 -               34     813      19     806       6     810    1521    +    5.6e-187  621.6  24.0  -
Bacillaceae_Streptohalobacillus                  -          LKAP-TSAKG2_G09_067_2018_2 -                3     801      17     810      15     810    1481    +    5.8e-187  621.1  25.2  -
Bacillaceae_Allobacillus                         -          LKAP-TSAKG2_G09_067_2018_2 -                2     800      19     810      18     810    1431    +    8.3e-187  620.8  25.0  -
Bacillaceae_Sinibacillus                         -          LKAP-TSAKG2_G09_067_2018_2 -               23     820      17     809       4     810    1489    +    8.6e-187  620.9  25.5  -
Entomoplasmataceae_Entomoplasma                  -          LKAP-TSAKG2_G09_067_2018_2 -               31     797      18     809       6     810    1498    +    9.3e-187  621.1  22.7  -
Acetobacteraceae_Acetobacter                     -          LKAP-TSAKG2_G09_067_2018_2 -               25     743      19     810       6     810    1433    +    1.9e-186  619.9  22.9  -
Clostridiaceae_Alkaliphilus                      -          LKAP-TSAKG2_G09_067_2018_2 -               25     789      19     810       5     810    1465    +      2e-186  619.3  25.3  -
Clostridiaceae_Caloramator                       -          LKAP-TSAKG2_G09_067_2018_2 -               23     773      19     809       5     810    1453    +    3.8e-186  618.8  23.2  -
Desulfuromonadaceae_Pelobacter                   -          LKAP-TSAKG2_G09_067_2018_2 -               44     829      19     809       6     810    1542    +      5e-186  618.5  24.1  -
Peptoniphilaceae_Peptoniphilus                   -          LKAP-TSAKG2_G09_067_2018_2 -                1     761      23     810      23     810    1433    +      1e-185  617.6  25.5  -
Planococcaceae_Savagea                           -          LKAP-TSAKG2_G09_067_2018_2 -               44     825      17     809       4     810    1547    +    1.9e-185  616.2  23.2  -
Geobacteraceae_Geobacter                         -          LKAP-TSAKG2_G09_067_2018_2 -               25     809      19     809       5     810    1470    +    4.1e-185  615.3  23.8  -
Peptococcaceae_Sporotomaculum                    -          LKAP-TSAKG2_G09_067_2018_2 -              144     867      68     810      47     810    1510    +    4.3e-185  615.2  23.2  -
Bacillaceae_Alkalilactibacillus                  -          LKAP-TSAKG2_G09_067_2018_2 -               43     845      17     809       4     810    1567    +    4.6e-185  615.1  25.5  -
Rubrobacteraceae_Rubrobacter                     -          LKAP-TSAKG2_G09_067_2018_2 -               16     798      12     807       3     809    1495    +    8.8e-185  614.3  24.0  -
Veillonellaceae_Dialister                        -          LKAP-TSAKG2_G09_067_2018_2 -               22     815      18     807       5     809    1502    +    9.6e-185  614.1  23.5  -
Clostridiales_Tissierella                        -          LKAP-TSAKG2_G09_067_2018_2 -               41     806      18     810       5     810    1415    +      2e-184  613.1  25.2  -
Staphylococcaceae_Corticicoccus                  -          LKAP-TSAKG2_G09_067_2018_2 -               11     807      14     809       6     810    1465    +      4e-184  611.9  25.7  -
Ruminococcaceae_Acetivibrio                      -          LKAP-TSAKG2_G09_067_2018_2 -               39     809      19     807       7     810    1529    +    4.3e-184  611.9  25.8  -
Clostridiaceae_Natronincola                      -          LKAP-TSAKG2_G09_067_2018_2 -               42     802      19     810       6     810    1489    +    6.8e-184  611.1  25.6  -
Desulfuromonadaceae_Desulfuromonas               -          LKAP-TSAKG2_G09_067_2018_2 -               34     820      19     808       6     810    1512    +    1.1e-183  610.6  24.0  -
Thermoanaerobacteraceae_Thermoanaerobacter       -          LKAP-TSAKG2_G09_067_2018_2 -               41     798      19     809       6     810    1525    +    1.8e-183  609.5  24.3  -
Entomoplasmataceae_Mesoplasma                    -          LKAP-TSAKG2_G09_067_2018_2 -               31     797      18     809       6     810    1497    +    3.9e-183  609.0  22.5  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_G09_067_2018_2 -               18     794      19     807       7     809    1494    +    1.1e-182  607.3  23.5  -
Peptostreptococcaceae_Filifactor                 -          LKAP-TSAKG2_G09_067_2018_2 -               24     786      18     809       4     810    1450    +    1.1e-182  607.3  25.1  -
Clostridiaceae_Sporosalibacterium                -          LKAP-TSAKG2_G09_067_2018_2 -               45     805      19     809       6     810    1521    +    1.9e-182  606.5  24.8  -
Bacillales_Chungangia                            -          LKAP-TSAKG2_G09_067_2018_2 -               31     810      17     809       4     810    1440    +    2.3e-182  606.1  23.5  -
Streptococcaceae_Faecalicoccus                   -          LKAP-TSAKG2_G09_067_2018_2 -               44     821      18     808       6     809    1380    +    3.1e-182  606.1  24.0  -
Staphylococcaceae_Auricoccus                     -          LKAP-TSAKG2_G09_067_2018_2 -               48     833      17     809       4     810    1507    +    4.7e-182  605.1  24.0  -
Acholeplasmataceae_Acholeplasma                  -          LKAP-TSAKG2_G09_067_2018_2 -               16     783      18     809       7     810    1437    +      5e-182  605.0  23.1  -
Staphylococcaceae_Abyssicoccus                   -          LKAP-TSAKG2_G09_067_2018_2 -               71     856      17     809       4     810    1576    +      9e-182  604.1  24.0  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-TSAKG2_G09_067_2018_2 -               42     832      19     806       5     809    1529    +    2.8e-181  602.6  24.4  -
Bacillaceae_Polygonibacillus                     -          LKAP-TSAKG2_G09_067_2018_2 -               35     772      76     809      56     810    1480    +    1.3e-180  600.2  22.7  -
Sporomusaceae_Sporomusa                          -          LKAP-TSAKG2_G09_067_2018_2 -               44     826      19     809       6     810    1532    +    1.5e-180  600.0  23.1  -
Clostridiaceae_Tepidimicrobium                   -          LKAP-TSAKG2_G09_067_2018_2 -               45     811      19     810       6     810    1528    +    2.4e-180  599.6  25.2  -
Veillonellaceae_Megasphaera                      -          LKAP-TSAKG2_G09_067_2018_2 -               48     839      19     807       5     810    1528    +    2.9e-180  599.1  23.8  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-TSAKG2_G09_067_2018_2 -               10     757      19     810      13     810    1412    +    6.3e-180  598.3  22.8  -
Clostridiaceae_Sarcina                           -          LKAP-TSAKG2_G09_067_2018_2 -               25     766      19     807       6     810    1461    +    7.9e-180  597.7  22.7  -
Caldicoprobacteraceae_Caldicoprobacter           -          LKAP-TSAKG2_G09_067_2018_2 -               41     802      19     806       6     809    1530    +    1.2e-179  597.2  24.5  -
Peptococcaceae_Thermincola                       -          LKAP-TSAKG2_G09_067_2018_2 -               28     785      18     809       4     810    1482    +    1.7e-179  596.7  24.0  -
