# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_D09_073_2018_2 -               33     960      23     946      14     948    1491    +           0 1167.1  18.3  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_D09_073_2018_2 -               25     946      23     946      13     948    1446    +           0 1043.2  18.4  -
Gammaproteobacteria_Thiohalomonas                -          LKAP-TSAKG2_D09_073_2018_2 -               26     955      23     942      15     947    1483    +      6e-264  876.6  18.5  -
Halieaceae_Haliea                                -          LKAP-TSAKG2_D09_073_2018_2 -               53     978      23     946      15     948    1500    +    6.1e-264  876.8  18.7  -
Moraxellaceae_Alkanindiges                       -          LKAP-TSAKG2_D09_073_2018_2 -               20     946      23     946      15     948    1396    +    6.9e-263  873.4  18.2  -
Oceanospirillaceae_Neptuniibacter                -          LKAP-TSAKG2_D09_073_2018_2 -               59     982      22     939       8     947    1541    +    1.3e-262  872.2  18.7  -
Chromobacteriaceae_Aquaspirillum                 -          LKAP-TSAKG2_D09_073_2018_2 -               49     977      20     946      10     948    1488    +    1.9e-262  872.0  18.5  -
Oceanospirillaceae_Thalassolituus                -          LKAP-TSAKG2_D09_073_2018_2 -               40     968      23     945      14     948    1476    +    4.3e-262  870.6  18.5  -
Ectothiorhodospiraceae_Thiohalospira             -          LKAP-TSAKG2_D09_073_2018_2 -                2     922      30     943      29     948    1318    +    4.5e-262  870.7  18.3  -
Pseudomonadaceae_Azotobacter                     -          LKAP-TSAKG2_D09_073_2018_2 -               40     965      23     946      11     948    1473    +    1.1e-261  869.5  18.3  -
Pseudomonadaceae_Azomonas                        -          LKAP-TSAKG2_D09_073_2018_2 -               16     946      23     946      13     948    1453    +    1.1e-261  869.3  18.3  -
Spongiibacteraceae_Spongiibacter                 -          LKAP-TSAKG2_D09_073_2018_2 -               67     959      60     946      38     948    1441    +    1.2e-261  869.1  18.4  -
Idiomarinaceae_Aliidiomarina                     -          LKAP-TSAKG2_D09_073_2018_2 -                7     928      22     937      17     945    1410    +      2e-261  868.3  18.8  -
Shewanellaceae_Shewanella                        -          LKAP-TSAKG2_D09_073_2018_2 -               33     965      23     945      11     948    1483    +    2.5e-261  868.2  18.6  -
Cellvibrionaceae_Cellvibrio                      -          LKAP-TSAKG2_D09_073_2018_2 -               53     977      23     946      14     948    1505    +    5.4e-261  867.1  18.3  -
Gammaproteobacteria_Sedimenticola                -          LKAP-TSAKG2_D09_073_2018_2 -               47     977      23     940      10     947    1540    +    1.4e-260  865.7  18.6  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          LKAP-TSAKG2_D09_073_2018_2 -               22     948      21     942      12     947    1438    +    8.7e-260  862.9  18.4  -
Methylococcaceae_Methylosarcina                  -          LKAP-TSAKG2_D09_073_2018_2 -               47     964      23     940      15     947    1515    +    8.1e-259  859.7  18.7  -
Thiotrichaceae_Thiothrix                         -          LKAP-TSAKG2_D09_073_2018_2 -               33     916      23     946      13     948    1417    +    2.5e-258  858.2  19.0  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_D09_073_2018_2 -               22     965      20     946      12     948    1494    +    2.8e-258  858.0  18.5  -
Chromatiaceae_Thiorhodococcus                    -          LKAP-TSAKG2_D09_073_2018_2 -               39     920      60     940      38     947    1426    +    4.5e-258  857.4  18.9  -
Legionellaceae_Legionella                        -          LKAP-TSAKG2_D09_073_2018_2 -               29     957      23     941      14     947    1446    +    9.3e-258  856.5  18.5  -
Halieaceae_Parahaliea                            -          LKAP-TSAKG2_D09_073_2018_2 -               65     957      60     946      38     948    1498    +    1.1e-257  856.2  18.4  -
Idiomarinaceae_Idiomarina                        -          LKAP-TSAKG2_D09_073_2018_2 -               38     960      23     937      12     945    1471    +    1.1e-257  855.9  18.8  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-TSAKG2_D09_073_2018_2 -               29     972      20     944       8     948    1475    +    3.5e-256  850.9  18.6  -
Thioalkalispiraceae_Thioprofundum                -          LKAP-TSAKG2_D09_073_2018_2 -               49     977      23     938      14     945    1537    +    4.1e-256  851.1  18.6  -
Alteromonadaceae_Catenovulum                     -          LKAP-TSAKG2_D09_073_2018_2 -               32     946      22     937       8     945    1451    +    7.6e-256  849.8  19.1  -
Hahellaceae_Kistimonas                           -          LKAP-TSAKG2_D09_073_2018_2 -               53     983      23     946      14     948    1506    +    1.2e-255  849.4  18.4  -
Colwelliaceae_Thalassotalea                      -          LKAP-TSAKG2_D09_073_2018_2 -               33     952      23     937      15     945    1463    +    1.4e-255  849.2  18.8  -
Oceanospirillaceae_Oleispira                     -          LKAP-TSAKG2_D09_073_2018_2 -               53     981      23     945      14     948    1500    +    1.9e-255  848.7  18.5  -
Hahellaceae_Allohahella                          -          LKAP-TSAKG2_D09_073_2018_2 -               49     976      20     946       8     948    1485    +    2.4e-255  848.5  18.6  -
Hahellaceae_Zooshikella                          -          LKAP-TSAKG2_D09_073_2018_2 -               18     961      11     946       4     948    1483    +    2.5e-255  848.3  18.5  -
Gammaproteobacteria_Alkalimonas                  -          LKAP-TSAKG2_D09_073_2018_2 -               51     979      23     945      12     948    1502    +    2.7e-255  848.2  18.4  -
Piscirickettsiaceae_Methylophaga                 -          LKAP-TSAKG2_D09_073_2018_2 -               31     958      22     946      14     948    1487    +    3.6e-255  847.6  18.4  -
Chromatiaceae_Thiohalocapsa                      -          LKAP-TSAKG2_D09_073_2018_2 -               75     958      60     940      39     947    1436    +    4.8e-255  847.6  18.6  -
Halieaceae_Halioglobus                           -          LKAP-TSAKG2_D09_073_2018_2 -               65     956      61     946      40     948    1433    +    7.5e-255  846.7  18.5  -
Methylococcaceae_Methylocaldum                   -          LKAP-TSAKG2_D09_073_2018_2 -               53     983      23     946      15     948    1491    +    9.7e-255  846.5  18.5  -
Ectothiorhodospiraceae_Alkalilimnicola           -          LKAP-TSAKG2_D09_073_2018_2 -               47     973      23     945      15     948    1472    +    2.2e-254  845.3  18.7  -
Chromatiaceae_Halochromatium                     -          LKAP-TSAKG2_D09_073_2018_2 -               64     946      61     940      40     947    1451    +      5e-254  844.2  18.7  -
Oceanospirillales_Salicola                       -          LKAP-TSAKG2_D09_073_2018_2 -               53     973      23     946      14     948    1492    +      7e-254  843.4  18.7  -
Alteromonadaceae_Agarivorans                     -          LKAP-TSAKG2_D09_073_2018_2 -               40     970      23     945      15     948    1454    +    9.2e-254  843.1  18.7  -
Spongiibacteraceae_Zhongshania                   -          LKAP-TSAKG2_D09_073_2018_2 -               53     978      23     946      11     948    1501    +    1.1e-253  842.7  18.6  -
Colwelliaceae_Colwellia                          -          LKAP-TSAKG2_D09_073_2018_2 -               32     954      22     937      13     945    1485    +    1.1e-253  842.8  18.8  -
Cellvibrionaceae_Marinimicrobium                 -          LKAP-TSAKG2_D09_073_2018_2 -               65     956      62     946      42     948    1455    +    1.2e-253  842.6  18.6  -
Cardiobacteriaceae_Suttonella                    -          LKAP-TSAKG2_D09_073_2018_2 -               34     963      23     946      15     948    1486    +    1.7e-253  842.6  18.5  -
Methylococcaceae_Methylovulum                    -          LKAP-TSAKG2_D09_073_2018_2 -               81     967      61     941      41     947    1492    +    2.5e-253  841.6  18.6  -
Chromatiaceae_Thiophaeococcus                    -          LKAP-TSAKG2_D09_073_2018_2 -               55     936      61     940      40     947    1440    +    3.3e-253  841.4  19.0  -
Cellvibrionaceae_Eionea                          -          LKAP-TSAKG2_D09_073_2018_2 -               35     960      23     946      14     948    1469    +    6.2e-253  840.3  17.9  -
Cellvibrionaceae_Gilvimarinus                    -          LKAP-TSAKG2_D09_073_2018_2 -               25     953      20     946      10     948    1445    +      7e-253  840.1  18.6  -
Cellvibrionaceae_Umboniibacter                   -          LKAP-TSAKG2_D09_073_2018_2 -               76     967      61     946      40     948    1507    +    1.3e-252  839.4  18.6  -
Chromatiaceae_Thiodictyon                        -          LKAP-TSAKG2_D09_073_2018_2 -               66     948      61     940      41     947    1500    +      4e-252  837.9  19.0  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-TSAKG2_D09_073_2018_2 -               31     953      22     941      10     947    1461    +    7.7e-252  836.6  18.5  -
Pseudoalteromonadaceae_Algicola                  -          LKAP-TSAKG2_D09_073_2018_2 -               48     967      23     937      14     945    1490    +      1e-251  836.2  18.8  -
Moraxellaceae_Paraperlucidibaca                  -          LKAP-TSAKG2_D09_073_2018_2 -               67     958      61     946      40     948    1460    +    3.5e-251  834.5  18.4  -
Ectothiorhodospiraceae_Spiribacter               -          LKAP-TSAKG2_D09_073_2018_2 -               63     988      23     945      15     948    1544    +    3.8e-250  831.3  18.7  -
Chromatiaceae_Thiocystis                         -          LKAP-TSAKG2_D09_073_2018_2 -               64     944      61     940      40     947    1451    +    9.7e-250  830.0  18.9  -
Ectothiorhodospiraceae_Aquisalimonas             -          LKAP-TSAKG2_D09_073_2018_2 -               54     977      23     942      15     948    1464    +    1.6e-249  829.2  19.0  -
Chromatiaceae_Marichromatium                     -          LKAP-TSAKG2_D09_073_2018_2 -               74     954      61     940      40     947    1440    +    1.6e-249  829.4  19.0  -
Chromatiaceae_Imhoffiella                        -          LKAP-TSAKG2_D09_073_2018_2 -               73     953      61     940      40     947    1484    +    1.8e-249  829.0  19.0  -
Salinisphaeraceae_Salinisphaera                  -          LKAP-TSAKG2_D09_073_2018_2 -               17     948      20     945      10     948    1429    +    2.7e-249  828.4  18.8  -
Arenicellaceae_Arenicella                        -          LKAP-TSAKG2_D09_073_2018_2 -               41     961      23     941      15     947    1506    +    2.9e-249  828.4  18.5  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          LKAP-TSAKG2_D09_073_2018_2 -               50     973      23     945      12     948    1490    +    2.9e-249  828.2  18.7  -
Alteromonadaceae_Paraglaciecola                  -          LKAP-TSAKG2_D09_073_2018_2 -               42     965      22     945      10     948    1495    +    4.2e-249  827.4  18.9  -
Lysobacteraceae_Luteimonas                       -          LKAP-TSAKG2_D09_073_2018_2 -               34     970      20     946       9     948    1490    +    8.7e-249  826.6  18.5  -
Chromatiaceae_Thiocapsa                          -          LKAP-TSAKG2_D09_073_2018_2 -               80     960      61     940      40     947    1459    +    1.4e-248  826.2  19.0  -
Pseudoalteromonadaceae_Psychrosphaera            -          LKAP-TSAKG2_D09_073_2018_2 -               37     952      23     939      14     947    1450    +    1.5e-248  825.8  18.8  -
Vibrionaceae_Vibrio                              -          LKAP-TSAKG2_D09_073_2018_2 -               32     973      22     945      11     948    1466    +    1.8e-248  825.5  18.6  -
Halothiobacillaceae_Halothiobacillus             -          LKAP-TSAKG2_D09_073_2018_2 -               53     985      23     946      15     948    1505    +    2.1e-248  825.4  18.4  -
Alteromonadaceae_Bowmanella                      -          LKAP-TSAKG2_D09_073_2018_2 -               47     975      20     945      13     948    1496    +      4e-248  824.4  18.8  -
Chromatiaceae_Allochromatium                     -          LKAP-TSAKG2_D09_073_2018_2 -               29     955      20     940      11     947    1462    +    5.3e-248  824.1  18.7  -
Piscirickettsiaceae_Thiomicrospira               -          LKAP-TSAKG2_D09_073_2018_2 -               37     957      23     937      14     945    1466    +    5.5e-248  823.9  18.7  -
Chromatiaceae_Lamprocystis                       -          LKAP-TSAKG2_D09_073_2018_2 -               89     971      61     940      41     947    1406    +    6.3e-248  824.0  18.9  -
Aeromonadaceae_Zobellella                        -          LKAP-TSAKG2_D09_073_2018_2 -               40     966      23     941      14     947    1478    +    1.9e-247  821.9  18.6  -
Moritellaceae_Moritella                          -          LKAP-TSAKG2_D09_073_2018_2 -               53     985      23     945      15     948    1506    +    5.6e-247  820.5  18.6  -
Burkholderiaceae_Paraburkholderia                -          LKAP-TSAKG2_D09_073_2018_2 -               33     952      23     941      14     947    1472    +      1e-246  819.9  18.4  -
Thiotrichaceae_Beggiatoa                         -          LKAP-TSAKG2_D09_073_2018_2 -               53     971      23     946      14     948    1491    +    1.7e-246  819.4  18.6  -
Cellvibrionaceae_Pseudomaricurvus                -          LKAP-TSAKG2_D09_073_2018_2 -               33     955      23     946      14     948    1490    +    1.9e-246  818.8  17.8  -
Vibrionaceae_Photobacterium                      -          LKAP-TSAKG2_D09_073_2018_2 -               33     973      23     945      11     948    1487    +    2.1e-246  818.6  18.5  -
Litoricolaceae_Litoricola                        -          LKAP-TSAKG2_D09_073_2018_2 -               44     974      23     945      13     948    1483    +    7.5e-246  817.1  18.5  -
Burkholderiaceae_Limnobacter                     -          LKAP-TSAKG2_D09_073_2018_2 -               53     972      23     941      14     947    1524    +    7.6e-246  816.9  18.7  -
Cardiobacteriaceae_Cardiobacterium               -          LKAP-TSAKG2_D09_073_2018_2 -               19     944      23     946      15     948    1493    +    1.1e-245  816.4  18.8  -
Chromatiaceae_Rheinheimera                       -          LKAP-TSAKG2_D09_073_2018_2 -               40     952      23     945      11     948    1472    +    1.1e-245  816.4  18.5  -
Nevskiaceae_Steroidobacter                       -          LKAP-TSAKG2_D09_073_2018_2 -               39     967      23     946      14     948    1500    +    1.4e-245  816.2  18.6  -
Alteromonadaceae_Glaciecola                      -          LKAP-TSAKG2_D09_073_2018_2 -               53     975      23     945      13     948    1474    +    1.7e-245  815.6  19.0  -
Moritellaceae_Paramoritella                      -          LKAP-TSAKG2_D09_073_2018_2 -               33     961      23     945      15     948    1512    +    1.7e-245  815.5  18.5  -
Burkholderiaceae_Pandoraea                       -          LKAP-TSAKG2_D09_073_2018_2 -               30     954      21     941      13     947    1456    +    2.1e-245  815.6  18.3  -
Ectothiorhodospiraceae_Halorhodospira            -          LKAP-TSAKG2_D09_073_2018_2 -               53     982      23     943      15     948    1479    +      3e-245  815.1  18.5  -
Lysobacteraceae_Lysobacter                       -          LKAP-TSAKG2_D09_073_2018_2 -               33     968      21     946       8     948    1475    +    3.3e-245  814.7  18.5  -
Methylophilaceae_Methylobacillus                 -          LKAP-TSAKG2_D09_073_2018_2 -               13     945      22     946      12     948    1416    +    4.7e-245  814.5  18.7  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-TSAKG2_D09_073_2018_2 -               30     958      21     941       8     947    1464    +    8.5e-245  813.2  18.7  -
Lysobacteraceae_Arenimonas                       -          LKAP-TSAKG2_D09_073_2018_2 -               37     969      23     946      12     948    1490    +    1.2e-244  813.0  18.5  -
Neisseriaceae_Neisseria                          -          LKAP-TSAKG2_D09_073_2018_2 -               47     978      23     946      13     948    1475    +    4.2e-244  811.2  18.4  -
Burkholderiaceae_Burkholderia                    -          LKAP-TSAKG2_D09_073_2018_2 -               41     961      24     941      14     947    1502    +    4.4e-244  811.1  18.3  -
Ectothiorhodospiraceae_Arhodomonas               -          LKAP-TSAKG2_D09_073_2018_2 -               37     962      23     945      15     948    1487    +      5e-244  811.1  18.8  -
Chromobacteriaceae_Chromobacterium               -          LKAP-TSAKG2_D09_073_2018_2 -               50     975      22     946      11     948    1469    +    1.4e-243  809.4  18.8  -
Alcaligenaceae_Advenella                         -          LKAP-TSAKG2_D09_073_2018_2 -               12     939      23     941      14     947    1428    +      2e-243  808.9  18.7  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-TSAKG2_D09_073_2018_2 -               50     983      21     945       8     948    1506    +      2e-243  808.8  18.4  -
Colwelliaceae_Thalassomonas                      -          LKAP-TSAKG2_D09_073_2018_2 -               33     953      23     938      15     946    1462    +    2.3e-243  808.6  18.7  -
Nevskiaceae_Nevskia                              -          LKAP-TSAKG2_D09_073_2018_2 -               62     952      61     946      40     948    1451    +    2.5e-243  808.8  18.4  -
Burkholderiaceae_Caballeronia                    -          LKAP-TSAKG2_D09_073_2018_2 -               72     961      57     941      35     947    1479    +    2.5e-243  808.7  18.3  -
Oxalobacteraceae_Undibacterium                   -          LKAP-TSAKG2_D09_073_2018_2 -               28     948      22     941      12     947    1442    +    2.6e-243  808.6  18.7  -
Alteromonadaceae_Aliagarivorans                  -          LKAP-TSAKG2_D09_073_2018_2 -               26     969      23     945      15     948    1462    +    3.5e-243  808.2  18.7  -
Erwiniaceae_Erwinia                              -          LKAP-TSAKG2_D09_073_2018_2 -               33     964      23     946      13     948    1495    +    5.1e-243  807.6  18.4  -
Alcaligenaceae_Pusillimonas                      -          LKAP-TSAKG2_D09_073_2018_2 -                6     934      22     941      17     947    1446    +    9.5e-243  806.7  18.7  -
Lysobacteraceae_Silanimonas                      -          LKAP-TSAKG2_D09_073_2018_2 -               83     979      58     946      38     948    1493    +    2.6e-242  805.2  18.4  -
Piscirickettsiaceae_Hydrogenovibrio              -          LKAP-TSAKG2_D09_073_2018_2 -               33     972      23     940      15     946    1465    +    3.8e-242  804.5  18.6  -
Alcaligenaceae_Paenalcaligenes                   -          LKAP-TSAKG2_D09_073_2018_2 -               33     957      23     940      14     946    1432    +    4.8e-242  804.4  17.9  -
Aeromonadaceae_Oceanimonas                       -          LKAP-TSAKG2_D09_073_2018_2 -               29     958      22     941      11     947    1483    +    4.9e-242  804.1  18.7  -
Aeromonadaceae_Aeromonas                         -          LKAP-TSAKG2_D09_073_2018_2 -               52     985      23     946      14     948    1503    +    5.6e-242  803.9  18.5  -
Neisseriaceae_Vitreoscilla                       -          LKAP-TSAKG2_D09_073_2018_2 -               26     947      23     946      15     948    1457    +    9.8e-242  803.3  18.1  -
Burkholderiaceae_Ralstonia                       -          LKAP-TSAKG2_D09_073_2018_2 -               24     948      22     941      11     947    1446    +    1.3e-241  803.1  18.3  -
Alteromonadaceae_Alishewanella                   -          LKAP-TSAKG2_D09_073_2018_2 -               63     954      60     945      40     948    1426    +    1.6e-241  802.6  18.6  -
Idiomarinaceae_Pseudidiomarina                   -          LKAP-TSAKG2_D09_073_2018_2 -               33     956      23     938      14     945    1499    +    2.5e-241  801.7  18.7  -
Celerinatantimonadaceae_Celerinatantimonas       -          LKAP-TSAKG2_D09_073_2018_2 -               28     970      23     945      14     948    1433    +    9.9e-241  800.0  18.6  -
Enterobacteriaceae_Kosakonia                     -          LKAP-TSAKG2_D09_073_2018_2 -               13     942      23     946      14     948    1422    +      1e-240  799.6  18.2  -
Enterobacteriaceae_Cronobacter                   -          LKAP-TSAKG2_D09_073_2018_2 -               10     941      23     946      16     948    1422    +      1e-240  799.9  18.5  -
Alcaligenaceae_Pelistega                         -          LKAP-TSAKG2_D09_073_2018_2 -               40     966      23     941      14     947    1472    +    1.2e-240  799.8  18.5  -
Alcaligenaceae_Castellaniella                    -          LKAP-TSAKG2_D09_073_2018_2 -               26     954      23     941      11     947    1464    +    2.1e-240  798.9  18.6  -
Alteromonadaceae_Salinimonas                     -          LKAP-TSAKG2_D09_073_2018_2 -               33     954      23     940      14     946    1459    +    2.9e-240  798.5  18.6  -
Thiotrichales_Caedibacter                        -          LKAP-TSAKG2_D09_073_2018_2 -               53     943      23     946      16     948    1500    +    4.6e-240  797.5  19.3  -
Enterobacteriaceae_Enterobacter                  -          LKAP-TSAKG2_D09_073_2018_2 -               31     960      23     946      12     948    1476    +      6e-240  797.3  18.3  -
Alteromonadaceae_Aestuariibacter                 -          LKAP-TSAKG2_D09_073_2018_2 -               32     951      22     941      11     947    1455    +      8e-240  796.9  18.8  -
Psychromonadaceae_Psychromonas                   -          LKAP-TSAKG2_D09_073_2018_2 -               33     954      23     937      14     945    1467    +    9.8e-240  796.6  18.7  -
Lysobacteraceae_Pseudoxanthomonas                -          LKAP-TSAKG2_D09_073_2018_2 -               35     970      22     946      12     948    1484    +    1.1e-239  796.5  18.3  -
Vibrionaceae_Aliivibrio                          -          LKAP-TSAKG2_D09_073_2018_2 -               56     987      22     945      10     948    1474    +    2.9e-239  795.3  18.6  -
Francisellaceae_Allofrancisella                  -          LKAP-TSAKG2_D09_073_2018_2 -               33     957      23     946      15     948    1452    +    2.9e-239  795.1  18.6  -
Zoogloeaceae_Zoogloea                            -          LKAP-TSAKG2_D09_073_2018_2 -               40     961      23     941      14     947    1474    +    4.6e-239  794.4  19.2  -
Pasteurellaceae_Pasteurella                      -          LKAP-TSAKG2_D09_073_2018_2 -               33     964      23     945      15     948    1365    +    7.1e-239  793.9  18.7  -
Yersiniaceae_Serratia                            -          LKAP-TSAKG2_D09_073_2018_2 -               37     967      23     945      14     948    1491    +    8.3e-239  793.5  18.5  -
Vibrionaceae_Enterovibrio                        -          LKAP-TSAKG2_D09_073_2018_2 -               33     967      23     945      14     948    1499    +    8.6e-239  793.2  18.5  -
Lysobacteraceae_Thermomonas                      -          LKAP-TSAKG2_D09_073_2018_2 -               33     965      23     946      14     948    1488    +    8.7e-239  793.5  18.4  -
Oxalobacteraceae_Oxalicibacterium                -          LKAP-TSAKG2_D09_073_2018_2 -               33     954      23     941      14     947    1489    +    9.2e-239  793.5  18.7  -
Kangiellaceae_Marinicella                        -          LKAP-TSAKG2_D09_073_2018_2 -               53     977      23     938      15     945    1529    +    1.1e-238  793.5  18.8  -
Piscirickettsiaceae_Thiomicrorhabdus             -          LKAP-TSAKG2_D09_073_2018_2 -               40     967      23     938      15     945    1464    +    1.2e-238  792.8  18.8  -
Alteromonadaceae_Aliiglaciecola                  -          LKAP-TSAKG2_D09_073_2018_2 -               19     943      23     945      12     948    1440    +    1.4e-238  792.7  18.7  -
Alcaligenaceae_Alcaligenes                       -          LKAP-TSAKG2_D09_073_2018_2 -               28     953      23     941      11     947    1469    +    1.7e-238  792.5  18.0  -
Neisseriaceae_Alysiella                          -          LKAP-TSAKG2_D09_073_2018_2 -               57     986      23     946      15     948    1524    +    1.8e-238  792.5  18.7  -
Alcaligenaceae_Candidimonas                      -          LKAP-TSAKG2_D09_073_2018_2 -                5     926      22     941      18     947    1411    +    1.8e-238  792.5  18.7  -
Lysobacteraceae_Oleiagrimonas                    -          LKAP-TSAKG2_D09_073_2018_2 -               33     967      23     946      15     948    1469    +    3.1e-238  791.6  18.3  -
Oxalobacteraceae_Noviherbaspirillum              -          LKAP-TSAKG2_D09_073_2018_2 -               37     956      23     941      15     947    1464    +    3.5e-238  791.7  18.7  -
