# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_H04_018_2018_2 -               18     854      14     848       5     848    1491    +           0 1031.8  15.3  -
Oceanospirillaceae_Marinospirillum               -          LKAP-TSAKG2_H04_018_2018_2 -               27     850      21     848       6     848    1451    +    1.3e-232  772.9  15.4  -
Alcanivoracaceae_Alcanivorax                     -          LKAP-TSAKG2_H04_018_2018_2 -               44     877      19     848       6     848    1505    +    1.8e-232  772.2  15.5  -
Oceanospirillaceae_Reinekea                      -          LKAP-TSAKG2_H04_018_2018_2 -               28     860      14     848       6     848    1512    +    5.1e-232  770.8  15.5  -
Cellvibrionaceae_Simiduia                        -          LKAP-TSAKG2_H04_018_2018_2 -               19     856      15     848       6     848    1463    +    6.9e-232  770.4  15.3  -
Halomonadaceae_Larsenimonas                      -          LKAP-TSAKG2_H04_018_2018_2 -               39     877      14     848       6     848    1495    +    3.5e-231  768.1  15.3  -
Hahellaceae_Endozoicomonas                       -          LKAP-TSAKG2_H04_018_2018_2 -               47     879      21     848       6     848    1524    +    4.1e-231  767.9  15.2  -
Thiotrichaceae_Leucothrix                        -          LKAP-TSAKG2_H04_018_2018_2 -               14     849      15     848       7     848    1445    +    2.9e-230  764.8  15.1  -
Saccharospirillaceae_Saccharospirillum           -          LKAP-TSAKG2_H04_018_2018_2 -               28     851      21     848       4     848    1459    +      3e-230  765.1  15.5  -
Hahellaceae_Hahella                              -          LKAP-TSAKG2_H04_018_2018_2 -               45     882      14     848       6     848    1539    +    5.9e-230  764.1  15.5  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-TSAKG2_H04_018_2018_2 -               27     857      21     848       7     848    1462    +    3.7e-229  761.5  15.3  -
Kangiellaceae_Kangiella                          -          LKAP-TSAKG2_H04_018_2018_2 -               35     869      21     848       9     848    1478    +    4.1e-229  761.2  15.1  -
Oceanospirillaceae_Nitrincola                    -          LKAP-TSAKG2_H04_018_2018_2 -               30     862      14     848       3     848    1477    +    5.2e-229  760.8  15.4  -
Gammaproteobacteria_Thiohalomonas                -          LKAP-TSAKG2_H04_018_2018_2 -               20     853      21     848       7     848    1483    +    9.7e-229  759.8  15.3  -
Granulosicoccaceae_Granulosicoccus               -          LKAP-TSAKG2_H04_018_2018_2 -               27     859      21     848       8     848    1471    +    1.3e-228  759.7  15.3  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          LKAP-TSAKG2_H04_018_2018_2 -               27     863      21     848       5     848    1472    +    1.3e-228  759.4  15.3  -
Methylococcaceae_Methylomicrobium                -          LKAP-TSAKG2_H04_018_2018_2 -               47     870      21     848       7     848    1467    +    1.8e-227  755.7  15.3  -
Methylococcaceae_Methylobacter                   -          LKAP-TSAKG2_H04_018_2018_2 -               47     870      21     848       9     848    1500    +    2.1e-227  755.5  15.3  -
Methylococcaceae_Methylomonas                    -          LKAP-TSAKG2_H04_018_2018_2 -               46     868      21     848       9     848    1475    +    2.6e-227  755.2  15.2  -
Halieaceae_Haliea                                -          LKAP-TSAKG2_H04_018_2018_2 -               47     872      21     848       7     848    1500    +    2.5e-226  752.0  15.4  -
Oceanospirillaceae_Thalassolituus                -          LKAP-TSAKG2_H04_018_2018_2 -               25     863      14     848       4     848    1476    +    7.4e-225  747.0  15.4  -
Moraxellaceae_Alkanindiges                       -          LKAP-TSAKG2_H04_018_2018_2 -                6     840      15     848      11     848    1396    +    1.4e-224  746.3  15.0  -
Shewanellaceae_Shewanella                        -          LKAP-TSAKG2_H04_018_2018_2 -               24     860      19     848       5     848    1483    +    1.6e-224  746.0  15.2  -
Oceanospirillaceae_Neptuniibacter                -          LKAP-TSAKG2_H04_018_2018_2 -               54     883      21     848       4     848    1541    +    8.6e-224  743.3  15.3  -
Chromobacteriaceae_Aquaspirillum                 -          LKAP-TSAKG2_H04_018_2018_2 -               40     871      15     848       5     848    1488    +    9.6e-224  743.5  15.5  -
Idiomarinaceae_Aliidiomarina                     -          LKAP-TSAKG2_H04_018_2018_2 -                3     832      22     848      20     848    1410    +    1.4e-223  742.8  15.0  -
Gammaproteobacteria_Sedimenticola                -          LKAP-TSAKG2_H04_018_2018_2 -               41     877      21     848       5     848    1540    +    1.7e-223  742.5  15.3  -
Ectothiorhodospiraceae_Thiohalospira             -          LKAP-TSAKG2_H04_018_2018_2 -                2     819      34     848      33     848    1318    +    2.9e-223  742.0  14.8  -
Cellvibrionaceae_Cellvibrio                      -          LKAP-TSAKG2_H04_018_2018_2 -               47     871      21     848       5     848    1505    +    6.7e-223  740.7  15.2  -
Spongiibacteraceae_Spongiibacter                 -          LKAP-TSAKG2_H04_018_2018_2 -               30     853      21     848       5     848    1441    +    4.2e-222  737.8  15.2  -
Pseudomonadaceae_Azomonas                        -          LKAP-TSAKG2_H04_018_2018_2 -                8     840      20     848      14     848    1453    +    4.3e-222  738.0  14.9  -
Legionellaceae_Legionella                        -          LKAP-TSAKG2_H04_018_2018_2 -               23     856      21     848       7     848    1446    +    5.3e-222  737.8  15.3  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          LKAP-TSAKG2_H04_018_2018_2 -               18     846      21     848       9     848    1438    +      8e-222  736.9  15.3  -
Pseudomonadaceae_Azotobacter                     -          LKAP-TSAKG2_H04_018_2018_2 -               34     859      21     848       5     848    1473    +      9e-222  737.1  15.1  -
Methylococcaceae_Methylosarcina                  -          LKAP-TSAKG2_H04_018_2018_2 -               41     864      21     848       9     848    1515    +    2.2e-221  735.5  15.2  -
Gammaproteobacteria_Alkalimonas                  -          LKAP-TSAKG2_H04_018_2018_2 -               43     874      20     848       6     848    1502    +    3.8e-221  734.8  15.2  -
Thiotrichaceae_Thiothrix                         -          LKAP-TSAKG2_H04_018_2018_2 -               21     810      17     848       5     848    1417    +    4.5e-221  734.5  15.9  -
Idiomarinaceae_Idiomarina                        -          LKAP-TSAKG2_H04_018_2018_2 -               31     864      20     848       6     848    1471    +    1.1e-220  733.1  15.2  -
Halieaceae_Parahaliea                            -          LKAP-TSAKG2_H04_018_2018_2 -               27     851      21     848       6     848    1498    +      7e-220  730.6  15.4  -
Thioalkalispiraceae_Thioprofundum                -          LKAP-TSAKG2_H04_018_2018_2 -               43     880      21     848       8     848    1537    +    7.9e-220  730.7  15.3  -
Hahellaceae_Kistimonas                           -          LKAP-TSAKG2_H04_018_2018_2 -               47     877      21     848       7     848    1506    +    2.3e-219  729.0  15.4  -
Piscirickettsiaceae_Methylophaga                 -          LKAP-TSAKG2_H04_018_2018_2 -               26     852      21     848       7     848    1487    +    6.3e-219  727.3  15.3  -
Oceanospirillaceae_Oleispira                     -          LKAP-TSAKG2_H04_018_2018_2 -               39     876      15     848       5     848    1500    +      7e-219  727.3  15.3  -
Alteromonadaceae_Catenovulum                     -          LKAP-TSAKG2_H04_018_2018_2 -               27     850      21     848       4     848    1451    +    8.3e-219  726.9  15.4  -
Chromatiaceae_Thiorhodococcus                    -          LKAP-TSAKG2_H04_018_2018_2 -               39     820      64     848      42     848    1426    +    8.8e-219  727.1  15.3  -
Cardiobacteriaceae_Suttonella                    -          LKAP-TSAKG2_H04_018_2018_2 -               28     857      21     848       8     848    1486    +    9.4e-219  727.2  15.2  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-TSAKG2_H04_018_2018_2 -               22     868      18     848       5     848    1475    +    1.5e-218  726.0  15.2  -
Colwelliaceae_Thalassotalea                      -          LKAP-TSAKG2_H04_018_2018_2 -               18     856      14     848       6     848    1463    +    4.1e-218  724.9  15.2  -
Alteromonadaceae_Agarivorans                     -          LKAP-TSAKG2_H04_018_2018_2 -               25     865      14     848       6     848    1454    +    4.2e-218  724.8  15.3  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_H04_018_2018_2 -               18     859      20     848       6     848    1494    +    9.4e-218  723.5  15.5  -
Hahellaceae_Allohahella                          -          LKAP-TSAKG2_H04_018_2018_2 -               36     870      13     848       3     848    1485    +    1.2e-217  723.5  15.7  -
Chromatiaceae_Thiohalocapsa                      -          LKAP-TSAKG2_H04_018_2018_2 -               37     858      21     848       8     848    1436    +    1.3e-217  723.3  15.3  -
Hahellaceae_Zooshikella                          -          LKAP-TSAKG2_H04_018_2018_2 -               19     855      15     848       4     848    1483    +    1.5e-217  723.0  15.5  -
Chromatiaceae_Halochromatium                     -          LKAP-TSAKG2_H04_018_2018_2 -               27     846      21     848       8     848    1451    +    1.6e-216  719.8  15.2  -
Ectothiorhodospiraceae_Alkalilimnicola           -          LKAP-TSAKG2_H04_018_2018_2 -               41     868      21     848       8     848    1472    +    2.2e-216  719.3  15.3  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-TSAKG2_H04_018_2018_2 -               24     852      19     848       5     848    1461    +    5.1e-216  717.7  15.1  -
Halieaceae_Halioglobus                           -          LKAP-TSAKG2_H04_018_2018_2 -               28     850      21     848       7     848    1433    +      8e-216  717.2  15.0  -
Lysobacteraceae_Luteimonas                       -          LKAP-TSAKG2_H04_018_2018_2 -               30     864      19     848       5     848    1490    +      3e-215  715.2  15.5  -
Colwelliaceae_Colwellia                          -          LKAP-TSAKG2_H04_018_2018_2 -               18     858      14     848       6     848    1485    +    3.1e-215  715.2  15.2  -
Chromatiaceae_Thiophaeococcus                    -          LKAP-TSAKG2_H04_018_2018_2 -               15     836      18     848       6     848    1440    +    3.1e-215  715.4  15.4  -
Oceanospirillales_Salicola                       -          LKAP-TSAKG2_H04_018_2018_2 -               47     867      21     848       6     848    1492    +    6.2e-215  714.2  15.6  -
Methylococcaceae_Methylovulum                    -          LKAP-TSAKG2_H04_018_2018_2 -               46     866      21     848       8     848    1492    +    6.5e-215  714.2  15.3  -
Pseudoalteromonadaceae_Algicola                  -          LKAP-TSAKG2_H04_018_2018_2 -               42     871      21     848       7     848    1490    +    7.4e-215  713.9  15.2  -
Cellvibrionaceae_Marinimicrobium                 -          LKAP-TSAKG2_H04_018_2018_2 -               27     850      21     848       7     848    1455    +    1.2e-214  713.3  15.3  -
Methylococcaceae_Methylocaldum                   -          LKAP-TSAKG2_H04_018_2018_2 -               47     877      21     848       8     848    1491    +    2.3e-214  712.6  15.3  -
Cellvibrionaceae_Gilvimarinus                    -          LKAP-TSAKG2_H04_018_2018_2 -               18     847      17     848       5     848    1445    +    2.6e-214  712.1  15.2  -
Chromatiaceae_Thiodictyon                        -          LKAP-TSAKG2_H04_018_2018_2 -               29     848      21     848       8     848    1500    +    4.8e-214  711.5  15.6  -
Cellvibrionaceae_Eionea                          -          LKAP-TSAKG2_H04_018_2018_2 -               29     854      21     848       6     848    1469    +    8.6e-214  710.4  14.8  -
Moraxellaceae_Paraperlucidibaca                  -          LKAP-TSAKG2_H04_018_2018_2 -               18     852      14     848       6     848    1460    +    9.6e-214  710.2  15.0  -
Spongiibacteraceae_Zhongshania                   -          LKAP-TSAKG2_H04_018_2018_2 -               47     872      21     848       5     848    1501    +      1e-213  710.1  15.4  -
Cellvibrionaceae_Umboniibacter                   -          LKAP-TSAKG2_H04_018_2018_2 -               39     861      21     848       7     848    1507    +    1.8e-213  709.5  15.2  -
Ectothiorhodospiraceae_Spiribacter               -          LKAP-TSAKG2_H04_018_2018_2 -               57     883      21     848       8     848    1544    +      5e-213  708.1  15.3  -
Arenicellaceae_Arenicella                        -          LKAP-TSAKG2_H04_018_2018_2 -               35     860      21     848       8     848    1506    +    6.8e-213  707.7  15.2  -
Vibrionaceae_Vibrio                              -          LKAP-TSAKG2_H04_018_2018_2 -               27     868      21     848       5     848    1466    +    1.3e-212  706.5  15.2  -
Moritellaceae_Moritella                          -          LKAP-TSAKG2_H04_018_2018_2 -               38     880      14     848       6     848    1506    +    1.8e-212  706.0  15.3  -
Chromatiaceae_Imhoffiella                        -          LKAP-TSAKG2_H04_018_2018_2 -               30     853      17     848       6     848    1484    +    1.9e-212  706.1  15.5  -
Ectothiorhodospiraceae_Aquisalimonas             -          LKAP-TSAKG2_H04_018_2018_2 -               48     875      21     848       8     848    1464    +    2.2e-212  705.9  15.7  -
Burkholderiaceae_Paraburkholderia                -          LKAP-TSAKG2_H04_018_2018_2 -               21     851      16     848       5     848    1472    +    3.2e-212  705.4  15.4  -
Pseudoalteromonadaceae_Psychrosphaera            -          LKAP-TSAKG2_H04_018_2018_2 -               31     853      21     848       5     848    1450    +    3.2e-212  705.2  15.5  -
Chromatiaceae_Marichromatium                     -          LKAP-TSAKG2_H04_018_2018_2 -               37     854      21     848       8     848    1440    +    3.6e-212  705.4  15.6  -
Alteromonadaceae_Paraglaciecola                  -          LKAP-TSAKG2_H04_018_2018_2 -               29     860      15     848       6     848    1495    +    7.7e-212  703.7  15.6  -
Salinisphaeraceae_Salinisphaera                  -          LKAP-TSAKG2_H04_018_2018_2 -               15     843      21     848       9     848    1429    +    7.7e-212  704.1  15.5  -
Halothiobacillaceae_Halothiobacillus             -          LKAP-TSAKG2_H04_018_2018_2 -               47     879      21     848       8     848    1505    +    8.2e-212  704.0  15.3  -
Chromatiaceae_Thiocystis                         -          LKAP-TSAKG2_H04_018_2018_2 -               27     844      21     848       9     848    1451    +    8.7e-212  704.0  15.2  -
Chromatiaceae_Thiocapsa                          -          LKAP-TSAKG2_H04_018_2018_2 -               43     860      21     848       9     848    1459    +    1.3e-211  703.5  15.5  -
Burkholderiaceae_Limnobacter                     -          LKAP-TSAKG2_H04_018_2018_2 -               41     871      16     848       6     848    1524    +    1.8e-211  702.9  15.5  -
Aeromonadaceae_Zobellella                        -          LKAP-TSAKG2_H04_018_2018_2 -               34     865      21     848       7     848    1478    +    1.9e-211  702.5  15.2  -
Lysobacteraceae_Lysobacter                       -          LKAP-TSAKG2_H04_018_2018_2 -               25     862      18     848       4     848    1475    +    1.9e-211  702.7  15.5  -
Piscirickettsiaceae_Thiomicrospira               -          LKAP-TSAKG2_H04_018_2018_2 -               24     861      16     848       6     848    1466    +      2e-211  702.6  15.4  -
Alteromonadaceae_Bowmanella                      -          LKAP-TSAKG2_H04_018_2018_2 -               45     870      21     848       7     848    1496    +    2.1e-211  702.6  15.4  -
Burkholderiaceae_Pandoraea                       -          LKAP-TSAKG2_H04_018_2018_2 -               20     853      15     848       5     848    1456    +    2.1e-211  702.7  15.3  -
Cardiobacteriaceae_Cardiobacterium               -          LKAP-TSAKG2_H04_018_2018_2 -               13     838      21     848      13     848    1493    +    2.6e-211  702.3  15.4  -
Moritellaceae_Paramoritella                      -          LKAP-TSAKG2_H04_018_2018_2 -               18     856      14     848       4     848    1512    +    6.7e-211  700.7  15.3  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          LKAP-TSAKG2_H04_018_2018_2 -               44     868      21     848       6     848    1490    +    7.4e-211  700.8  15.6  -
Lysobacteraceae_Arenimonas                       -          LKAP-TSAKG2_H04_018_2018_2 -               23     863      15     848       6     848    1490    +    7.6e-211  700.8  15.5  -
Vibrionaceae_Photobacterium                      -          LKAP-TSAKG2_H04_018_2018_2 -               27     868      21     848       6     848    1487    +    2.1e-210  699.1  15.2  -
Chromatiaceae_Allochromatium                     -          LKAP-TSAKG2_H04_018_2018_2 -               20     855      16     848       4     848    1462    +    2.4e-210  699.1  15.4  -
Nevskiaceae_Steroidobacter                       -          LKAP-TSAKG2_H04_018_2018_2 -               30     861      19     848       6     848    1500    +    3.8e-210  698.6  15.8  -
Chromatiaceae_Lamprocystis                       -          LKAP-TSAKG2_H04_018_2018_2 -               52     871      21     848       8     848    1406    +    4.1e-210  698.5  15.3  -
Cellvibrionaceae_Pseudomaricurvus                -          LKAP-TSAKG2_H04_018_2018_2 -               27     849      21     848       6     848    1490    +      1e-209  696.8  14.6  -
Burkholderiaceae_Burkholderia                    -          LKAP-TSAKG2_H04_018_2018_2 -               28     860      16     848       6     848    1502    +    1.3e-209  696.6  15.5  -
Burkholderiaceae_Caballeronia                    -          LKAP-TSAKG2_H04_018_2018_2 -               30     860      16     848       6     848    1479    +    1.7e-209  696.3  15.2  -
Litoricolaceae_Litoricola                        -          LKAP-TSAKG2_H04_018_2018_2 -               34     869      18     848       6     848    1483    +    2.3e-209  696.0  15.4  -
Chromatiaceae_Rheinheimera                       -          LKAP-TSAKG2_H04_018_2018_2 -               31     847      19     848       5     848    1472    +    3.3e-209  695.3  15.2  -
Methylophilaceae_Methylobacillus                 -          LKAP-TSAKG2_H04_018_2018_2 -                5     839      17     848      13     848    1416    +    6.2e-209  694.6  15.2  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-TSAKG2_H04_018_2018_2 -               21     857      17     848       5     848    1464    +    1.2e-208  693.2  15.3  -
Oxalobacteraceae_Undibacterium                   -          LKAP-TSAKG2_H04_018_2018_2 -               17     847      16     848       5     848    1442    +    1.3e-208  693.5  15.5  -
Thiotrichaceae_Beggiatoa                         -          LKAP-TSAKG2_H04_018_2018_2 -               41     865      17     848       5     848    1491    +    1.5e-208  693.4  15.5  -
Ectothiorhodospiraceae_Arhodomonas               -          LKAP-TSAKG2_H04_018_2018_2 -               31     857      21     848       8     848    1487    +    1.7e-208  693.2  15.6  -
Alteromonadaceae_Glaciecola                      -          LKAP-TSAKG2_H04_018_2018_2 -               44     870      19     848       6     848    1474    +    2.6e-208  692.2  15.8  -
Neisseriaceae_Neisseria                          -          LKAP-TSAKG2_H04_018_2018_2 -               41     872      21     848       6     848    1475    +    3.2e-208  692.1  15.3  -
Lysobacteraceae_Silanimonas                      -          LKAP-TSAKG2_H04_018_2018_2 -               46     873      21     848       4     848    1493    +    3.5e-208  691.9  15.5  -
Alcaligenaceae_Advenella                         -          LKAP-TSAKG2_H04_018_2018_2 -                5     838      20     848      16     848    1428    +    7.9e-208  690.7  15.0  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-TSAKG2_H04_018_2018_2 -               47     878      21     848       4     848    1506    +    1.7e-207  689.5  15.2  -
Alteromonadaceae_Aliagarivorans                  -          LKAP-TSAKG2_H04_018_2018_2 -               11     864      14     848       7     848    1462    +    1.8e-207  689.7  15.4  -
Nevskiaceae_Nevskia                              -          LKAP-TSAKG2_H04_018_2018_2 -               32     846      21     848       7     848    1451    +    1.9e-207  689.7  15.0  -
Colwelliaceae_Thalassomonas                      -          LKAP-TSAKG2_H04_018_2018_2 -               18     856      14     848       6     848    1462    +    2.1e-207  689.2  15.0  -
Alcaligenaceae_Paenalcaligenes                   -          LKAP-TSAKG2_H04_018_2018_2 -               23     857      18     848       8     848    1432    +    2.3e-207  689.3  14.4  -
Alcaligenaceae_Pusillimonas                      -          LKAP-TSAKG2_H04_018_2018_2 -                2     833      22     848      21     848    1446    +    4.1e-207  688.4  15.3  -
Chromobacteriaceae_Chromobacterium               -          LKAP-TSAKG2_H04_018_2018_2 -               40     869      17     848       5     848    1469    +    4.6e-207  688.3  15.6  -
Piscirickettsiaceae_Hydrogenovibrio              -          LKAP-TSAKG2_H04_018_2018_2 -               20     873      16     848       6     848    1465    +    4.7e-207  688.1  15.4  -
Burkholderiaceae_Ralstonia                       -          LKAP-TSAKG2_H04_018_2018_2 -               13     847      16     848       6     848    1446    +    5.2e-207  688.2  15.3  -
Ectothiorhodospiraceae_Halorhodospira            -          LKAP-TSAKG2_H04_018_2018_2 -               47     880      21     848       9     848    1479    +    8.6e-207  687.5  15.1  -
Neisseriaceae_Vitreoscilla                       -          LKAP-TSAKG2_H04_018_2018_2 -               15     841      17     848       8     848    1457    +    1.7e-206  686.3  14.7  -
Alcaligenaceae_Pelistega                         -          LKAP-TSAKG2_H04_018_2018_2 -               28     865      16     848       6     848    1472    +    3.1e-206  685.6  15.2  -
Alcaligenaceae_Castellaniella                    -          LKAP-TSAKG2_H04_018_2018_2 -               20     853      21     848       6     848    1464    +    3.2e-206  685.4  15.4  -
Psychromonadaceae_Psychromonas                   -          LKAP-TSAKG2_H04_018_2018_2 -               18     858      14     848       5     848    1467    +    3.3e-206  685.4  15.1  -
Lysobacteraceae_Vulcaniibacterium                -          LKAP-TSAKG2_H04_018_2018_2 -               54     886      21     848       7     848    1549    +    3.3e-206  685.3  15.4  -
Zoogloeaceae_Zoogloea                            -          LKAP-TSAKG2_H04_018_2018_2 -               30     860      18     848       8     848    1474    +    6.8e-206  684.3  15.8  -
Aeromonadaceae_Oceanimonas                       -          LKAP-TSAKG2_H04_018_2018_2 -               24     857      21     848       5     848    1483    +    1.7e-205  682.8  15.3  -
Alteromonadaceae_Alishewanella                   -          LKAP-TSAKG2_H04_018_2018_2 -               33     849      18     848       4     848    1426    +    2.2e-205  682.6  15.3  -
Moraxellaceae_Enhydrobacter                      -          LKAP-TSAKG2_H04_018_2018_2 -               18     849      14     848       4     848    1484    +    2.3e-205  682.3  15.5  -
Oxalobacteraceae_Oxalicibacterium                -          LKAP-TSAKG2_H04_018_2018_2 -               21     853      16     848       6     848    1489    +    3.2e-205  682.1  15.4  -
Aeromonadaceae_Aeromonas                         -          LKAP-TSAKG2_H04_018_2018_2 -               46     879      21     848       6     848    1503    +    3.2e-205  681.8  15.2  -
Celerinatantimonadaceae_Celerinatantimonas       -          LKAP-TSAKG2_H04_018_2018_2 -               14     864      15     848       6     848    1433    +    3.5e-205  682.0  15.3  -
Idiomarinaceae_Pseudidiomarina                   -          LKAP-TSAKG2_H04_018_2018_2 -               27     859      21     848       6     848    1499    +    6.9e-205  680.7  15.2  -
Oxalobacteraceae_Glaciimonas                     -          LKAP-TSAKG2_H04_018_2018_2 -               41     873      16     848       6     848    1525    +    8.3e-205  680.9  15.4  -
Lysobacteraceae_Thermomonas                      -          LKAP-TSAKG2_H04_018_2018_2 -               22     859      18     848       6     848    1488    +    9.5e-205  680.6  15.5  -
Oxalobacteraceae_Noviherbaspirillum              -          LKAP-TSAKG2_H04_018_2018_2 -               25     855      16     848       6     848    1464    +    1.1e-204  680.6  15.5  -
Erwiniaceae_Erwinia                              -          LKAP-TSAKG2_H04_018_2018_2 -               27     858      21     848       6     848    1495    +    1.9e-204  679.6  15.2  -
Kangiellaceae_Marinicella                        -          LKAP-TSAKG2_H04_018_2018_2 -               47     880      21     848       9     848    1529    +      2e-204  679.7  15.2  -
Alcaligenaceae_Candidimonas                      -          LKAP-TSAKG2_H04_018_2018_2 -                2     825      22     848      21     848    1411    +    2.9e-204  679.0  15.1  -
Lysobacteraceae_Pseudoxanthomonas                -          LKAP-TSAKG2_H04_018_2018_2 -               27     863      19     847       5     848    1484    +    5.2e-204  678.0  15.3  -
Thiotrichales_Caedibacter                        -          LKAP-TSAKG2_H04_018_2018_2 -               47     837      21     848       8     848    1500    +    1.1e-203  676.7  15.9  -
Piscirickettsiaceae_Thiomicrorhabdus             -          LKAP-TSAKG2_H04_018_2018_2 -               25     870      14     848       4     848    1464    +    1.2e-203  676.7  15.4  -
Alcaligenaceae_Alcaligenes                       -          LKAP-TSAKG2_H04_018_2018_2 -               22     852      21     848       6     848    1469    +    1.3e-203  676.7  14.6  -
Vibrionaceae_Aliivibrio                          -          LKAP-TSAKG2_H04_018_2018_2 -               51     882      21     848       5     848    1474    +    1.5e-203  676.8  15.2  -
Burkholderiaceae_Cupriavidus                     -          LKAP-TSAKG2_H04_018_2018_2 -               25     855      16     848       5     848    1488    +    1.7e-203  676.5  15.3  -
Vibrionaceae_Enterovibrio                        -          LKAP-TSAKG2_H04_018_2018_2 -               27     862      21     848       7     848    1499    +    1.7e-203  676.1  15.2  -
Alcaligenaceae_Derxia                            -          LKAP-TSAKG2_H04_018_2018_2 -               40     868      18     848       4     848    1481    +      2e-203  676.3  15.9  -
Lysobacteraceae_Oleiagrimonas                    -          LKAP-TSAKG2_H04_018_2018_2 -               27     861      21     848       6     848    1469    +    2.5e-203  675.7  15.4  -
Neisseriaceae_Alysiella                          -          LKAP-TSAKG2_H04_018_2018_2 -               47     880      18     848       8     848    1524    +    3.9e-203  675.2  15.5  -
Comamonadaceae_Schlegelella                      -          LKAP-TSAKG2_H04_018_2018_2 -               44     870      20     848       5     848    1517    +    4.1e-203  675.1  15.3  -
Alcaligenaceae_Kerstersia                        -          LKAP-TSAKG2_H04_018_2018_2 -               13     844      19     848      10     848    1414    +    4.8e-203  675.1  14.5  -
Pasteurellaceae_Pasteurella                      -          LKAP-TSAKG2_H04_018_2018_2 -               18     859      14     848       6     848    1365    +    5.2e-203  674.9  15.4  -
Enterobacteriaceae_Kosakonia                     -          LKAP-TSAKG2_H04_018_2018_2 -                7     836      21     848      16     848    1422    +    6.8e-203  674.1  14.7  -
Burkholderiaceae_Chitinimonas                    -          LKAP-TSAKG2_H04_018_2018_2 -               41     865      20     848       6     848    1494    +    8.2e-203  674.2  15.5  -
