# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_C07_059_2018_2 -               18     854      13     847       6     847    1491    +           0 1054.5  14.5  -
Spongiibacteraceae_Sinobacterium                 -          LKAP-TSAKG2_C07_059_2018_2 -               35     878      10     847       4     847    1504    +    2.9e-240  798.1  14.4  -
Oceanospirillaceae_Neptunomonas                  -          LKAP-TSAKG2_C07_059_2018_2 -               19     858      14     847       8     847    1484    +    6.3e-240  797.0  14.5  -
Methylococcaceae_Methylococcus                   -          LKAP-TSAKG2_C07_059_2018_2 -               40     863      21     847       9     847    1482    +    9.3e-240  796.5  14.6  -
Microbulbiferaceae_Microbulbifer                 -          LKAP-TSAKG2_C07_059_2018_2 -               28     851      21     847       8     847    1480    +      1e-239  796.5  14.7  -
Halomonadaceae_Salinicola                        -          LKAP-TSAKG2_C07_059_2018_2 -               28     856      21     847       7     847    1471    +    1.1e-239  796.3  14.4  -
Halomonadaceae_Kushneria                         -          LKAP-TSAKG2_C07_059_2018_2 -               31     860      20     847       7     847    1461    +      5e-239  794.0  14.3  -
Oceanospirillaceae_Marinospirillum               -          LKAP-TSAKG2_C07_059_2018_2 -               28     850      21     847       8     847    1451    +    5.3e-239  794.0  14.6  -
Oceanospirillaceae_Reinekea                      -          LKAP-TSAKG2_C07_059_2018_2 -               28     860      13     847       8     847    1512    +      3e-238  791.4  14.6  -
Hahellaceae_Endozoicomonas                       -          LKAP-TSAKG2_C07_059_2018_2 -               48     879      21     847       8     847    1524    +    4.1e-238  791.1  14.3  -
Alcanivoracaceae_Alcanivorax                     -          LKAP-TSAKG2_C07_059_2018_2 -               48     877      21     847       9     847    1505    +    7.7e-238  790.0  14.4  -
Cellvibrionaceae_Simiduia                        -          LKAP-TSAKG2_C07_059_2018_2 -               19     856      14     847       7     847    1463    +      2e-237  788.7  14.4  -
Halomonadaceae_Larsenimonas                      -          LKAP-TSAKG2_C07_059_2018_2 -               39     877      13     847       7     847    1495    +    2.7e-237  788.3  14.4  -
Gammaproteobacteria_Thiohalomonas                -          LKAP-TSAKG2_C07_059_2018_2 -               21     853      21     847       8     847    1483    +    6.3e-237  786.9  14.6  -
Hahellaceae_Hahella                              -          LKAP-TSAKG2_C07_059_2018_2 -               45     882      13     847       7     847    1539    +    6.9e-237  787.0  14.6  -
Saccharospirillaceae_Saccharospirillum           -          LKAP-TSAKG2_C07_059_2018_2 -               28     851      20     847       6     847    1459    +    1.3e-236  786.2  14.5  -
Oceanospirillaceae_Nitrincola                    -          LKAP-TSAKG2_C07_059_2018_2 -               30     862      13     847       5     847    1477    +    1.8e-236  785.6  14.4  -
Thiotrichaceae_Leucothrix                        -          LKAP-TSAKG2_C07_059_2018_2 -               14     849      14     847       8     847    1445    +    2.9e-236  784.6  14.4  -
Kangiellaceae_Kangiella                          -          LKAP-TSAKG2_C07_059_2018_2 -               36     869      21     847      10     847    1478    +      9e-236  783.3  14.4  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-TSAKG2_C07_059_2018_2 -               28     857      21     847       9     847    1462    +    2.1e-235  782.2  14.5  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          LKAP-TSAKG2_C07_059_2018_2 -               27     863      20     847       7     847    1472    +    3.8e-235  781.1  14.4  -
Granulosicoccaceae_Granulosicoccus               -          LKAP-TSAKG2_C07_059_2018_2 -               28     859      21     847       9     847    1471    +    2.9e-234  778.4  14.5  -
Methylococcaceae_Methylomicrobium                -          LKAP-TSAKG2_C07_059_2018_2 -               48     870      21     847       9     847    1467    +    5.5e-234  777.3  14.5  -
Methylococcaceae_Methylobacter                   -          LKAP-TSAKG2_C07_059_2018_2 -               48     870      21     847      10     847    1500    +    1.3e-233  776.0  14.6  -
Methylococcaceae_Methylomonas                    -          LKAP-TSAKG2_C07_059_2018_2 -               47     868      21     847      10     847    1475    +    2.6e-233  775.1  14.4  -
Oceanospirillaceae_Thalassolituus                -          LKAP-TSAKG2_C07_059_2018_2 -               24     863      12     847       4     847    1476    +    3.6e-232  771.3  14.4  -
Halieaceae_Haliea                                -          LKAP-TSAKG2_C07_059_2018_2 -               48     872      21     847       9     847    1500    +      6e-232  770.6  14.7  -
Moraxellaceae_Alkanindiges                       -          LKAP-TSAKG2_C07_059_2018_2 -                5     840      13     847       9     847    1396    +    1.4e-231  769.5  14.4  -
Oceanospirillaceae_Neptuniibacter                -          LKAP-TSAKG2_C07_059_2018_2 -               54     883      20     847       6     847    1541    +    2.3e-231  768.5  14.5  -
Chromobacteriaceae_Aquaspirillum                 -          LKAP-TSAKG2_C07_059_2018_2 -               41     871      15     847       8     847    1488    +    1.4e-230  766.2  14.4  -
Ectothiorhodospiraceae_Thiohalospira             -          LKAP-TSAKG2_C07_059_2018_2 -                2     819      33     847      32     847    1318    +    1.6e-230  766.1  14.1  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          LKAP-TSAKG2_C07_059_2018_2 -               19     846      21     847      10     847    1438    +    2.6e-230  765.0  14.5  -
Cellvibrionaceae_Cellvibrio                      -          LKAP-TSAKG2_C07_059_2018_2 -               48     871      21     847       7     847    1505    +    2.5e-229  762.0  14.4  -
Idiomarinaceae_Aliidiomarina                     -          LKAP-TSAKG2_C07_059_2018_2 -                4     832      22     847      19     847    1410    +    3.7e-229  761.2  14.5  -
Spongiibacteraceae_Spongiibacter                 -          LKAP-TSAKG2_C07_059_2018_2 -               31     853      21     847       7     847    1441    +    3.8e-229  761.2  14.4  -
Shewanellaceae_Shewanella                        -          LKAP-TSAKG2_C07_059_2018_2 -               27     860      20     847       7     847    1483    +      6e-229  760.7  14.3  -
Gammaproteobacteria_Sedimenticola                -          LKAP-TSAKG2_C07_059_2018_2 -               41     877      20     847       6     847    1540    +    6.3e-229  760.6  14.4  -
Pseudomonadaceae_Azomonas                        -          LKAP-TSAKG2_C07_059_2018_2 -                5     840      16     847      12     847    1453    +    1.3e-228  759.6  14.2  -
Pseudomonadaceae_Azotobacter                     -          LKAP-TSAKG2_C07_059_2018_2 -               34     859      20     847       7     847    1473    +      3e-228  758.5  14.3  -
Methylococcaceae_Methylosarcina                  -          LKAP-TSAKG2_C07_059_2018_2 -               42     864      21     847       9     847    1515    +    1.8e-227  755.6  14.5  -
Legionellaceae_Legionella                        -          LKAP-TSAKG2_C07_059_2018_2 -               24     856      21     847       7     847    1446    +    1.9e-227  755.9  14.5  -
Thiotrichaceae_Thiothrix                         -          LKAP-TSAKG2_C07_059_2018_2 -               28     810      21     847       7     847    1417    +    1.5e-226  752.7  14.9  -
Gammaproteobacteria_Alkalimonas                  -          LKAP-TSAKG2_C07_059_2018_2 -               46     874      21     847       8     847    1502    +    1.8e-226  752.5  14.5  -
Oceanospirillaceae_Oleispira                     -          LKAP-TSAKG2_C07_059_2018_2 -               39     876      14     847       7     847    1500    +      3e-226  751.7  14.5  -
Idiomarinaceae_Idiomarina                        -          LKAP-TSAKG2_C07_059_2018_2 -               32     864      20     847       8     847    1471    +    5.2e-226  750.7  14.4  -
Halieaceae_Parahaliea                            -          LKAP-TSAKG2_C07_059_2018_2 -               28     851      21     847       9     847    1498    +    7.2e-226  750.5  14.5  -
Thioalkalispiraceae_Thioprofundum                -          LKAP-TSAKG2_C07_059_2018_2 -               44     880      21     847      10     847    1537    +    1.3e-225  749.9  14.4  -
Chromatiaceae_Thiorhodococcus                    -          LKAP-TSAKG2_C07_059_2018_2 -               39     820      63     847      41     847    1426    +      3e-225  748.5  14.7  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_C07_059_2018_2 -               21     859      21     847       9     847    1494    +    4.2e-225  747.9  14.6  -
Ectothiorhodospiraceae_Alkalilimnicola           -          LKAP-TSAKG2_C07_059_2018_2 -               42     868      21     847      10     847    1472    +    7.9e-225  747.2  14.6  -
Alteromonadaceae_Catenovulum                     -          LKAP-TSAKG2_C07_059_2018_2 -               27     850      20     847       6     847    1451    +    1.2e-224  746.3  14.7  -
Cardiobacteriaceae_Suttonella                    -          LKAP-TSAKG2_C07_059_2018_2 -               29     857      21     847       9     847    1486    +    1.3e-224  746.7  14.3  -
Colwelliaceae_Thalassotalea                      -          LKAP-TSAKG2_C07_059_2018_2 -               18     856      13     847       7     847    1463    +    1.3e-224  746.4  14.5  -
Hahellaceae_Kistimonas                           -          LKAP-TSAKG2_C07_059_2018_2 -               48     877      21     847       9     847    1506    +    1.7e-224  746.0  14.4  -
Hahellaceae_Allohahella                          -          LKAP-TSAKG2_C07_059_2018_2 -               36     870      11     847       5     847    1485    +    1.8e-224  746.0  14.6  -
Hahellaceae_Zooshikella                          -          LKAP-TSAKG2_C07_059_2018_2 -               18     855      13     847       5     847    1483    +    2.8e-224  745.3  14.4  -
Oceanospirillales_Salicola                       -          LKAP-TSAKG2_C07_059_2018_2 -               48     867      21     847       9     847    1492    +    7.9e-224  743.7  14.8  -
Piscirickettsiaceae_Methylophaga                 -          LKAP-TSAKG2_C07_059_2018_2 -               27     852      21     847       9     847    1487    +    1.2e-223  743.0  14.6  -
Chromatiaceae_Thiohalocapsa                      -          LKAP-TSAKG2_C07_059_2018_2 -               38     858      21     847      10     847    1436    +    2.3e-223  742.4  14.4  -
Alteromonadaceae_Agarivorans                     -          LKAP-TSAKG2_C07_059_2018_2 -               25     865      13     847       8     847    1454    +    3.8e-223  741.5  14.5  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-TSAKG2_C07_059_2018_2 -               27     868      20     847       8     847    1475    +    4.5e-223  741.0  14.4  -
Halieaceae_Halioglobus                           -          LKAP-TSAKG2_C07_059_2018_2 -               29     850      21     847       9     847    1433    +    9.1e-223  740.2  14.3  -
Chromatiaceae_Halochromatium                     -          LKAP-TSAKG2_C07_059_2018_2 -               28     846      21     847      10     847    1451    +    1.5e-222  739.7  14.4  -
Methylococcaceae_Methylocaldum                   -          LKAP-TSAKG2_C07_059_2018_2 -               48     877      21     847       9     847    1491    +    2.1e-222  739.2  14.5  -
Colwelliaceae_Colwellia                          -          LKAP-TSAKG2_C07_059_2018_2 -               18     858      13     847       7     847    1485    +    1.5e-221  736.2  14.5  -
Chromatiaceae_Thiophaeococcus                    -          LKAP-TSAKG2_C07_059_2018_2 -               18     836      20     847       8     847    1440    +      2e-221  735.9  14.5  -
Spongiibacteraceae_Zhongshania                   -          LKAP-TSAKG2_C07_059_2018_2 -               47     872      20     847       7     847    1501    +      4e-221  734.6  14.6  -
Cellvibrionaceae_Marinimicrobium                 -          LKAP-TSAKG2_C07_059_2018_2 -               28     850      21     847       9     847    1455    +    5.5e-221  734.2  14.5  -
Ectothiorhodospiraceae_Spiribacter               -          LKAP-TSAKG2_C07_059_2018_2 -               58     883      21     847      10     847    1544    +      6e-221  734.3  14.5  -
Moraxellaceae_Paraperlucidibaca                  -          LKAP-TSAKG2_C07_059_2018_2 -               18     852      13     847       7     847    1460    +    1.1e-220  733.3  14.2  -
Methylococcaceae_Methylovulum                    -          LKAP-TSAKG2_C07_059_2018_2 -               47     866      21     847      10     847    1492    +    1.4e-220  733.0  14.5  -
Lysobacteraceae_Luteimonas                       -          LKAP-TSAKG2_C07_059_2018_2 -               32     864      20     847       7     847    1490    +    1.4e-220  732.9  14.5  -
Salinisphaeraceae_Salinisphaera                  -          LKAP-TSAKG2_C07_059_2018_2 -               16     843      21     847      10     847    1429    +    1.8e-220  732.7  14.7  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-TSAKG2_C07_059_2018_2 -               28     852      21     847       7     847    1461    +      2e-220  732.3  14.4  -
Chromatiaceae_Thiodictyon                        -          LKAP-TSAKG2_C07_059_2018_2 -               30     848      21     847      10     847    1500    +    2.3e-220  732.5  14.8  -
Arenicellaceae_Arenicella                        -          LKAP-TSAKG2_C07_059_2018_2 -               36     860      21     847      10     847    1506    +    4.1e-220  731.6  14.6  -
Cellvibrionaceae_Eionea                          -          LKAP-TSAKG2_C07_059_2018_2 -               30     854      21     847       8     847    1469    +    4.2e-220  731.3  14.0  -
Pseudoalteromonadaceae_Algicola                  -          LKAP-TSAKG2_C07_059_2018_2 -               43     871      21     847       9     847    1490    +    4.4e-220  731.2  14.5  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          LKAP-TSAKG2_C07_059_2018_2 -               45     868      21     847       8     847    1490    +    6.2e-220  730.9  14.6  -
Ectothiorhodospiraceae_Aquisalimonas             -          LKAP-TSAKG2_C07_059_2018_2 -               49     875      21     847      10     847    1464    +    6.8e-220  730.8  14.8  -
Cellvibrionaceae_Gilvimarinus                    -          LKAP-TSAKG2_C07_059_2018_2 -               18     847      16     847       7     847    1445    +      9e-220  730.2  14.5  -
Cellvibrionaceae_Umboniibacter                   -          LKAP-TSAKG2_C07_059_2018_2 -               40     861      21     847       9     847    1507    +    9.5e-220  730.4  14.5  -
Burkholderiaceae_Paraburkholderia                -          LKAP-TSAKG2_C07_059_2018_2 -               21     851      15     847       8     847    1472    +    1.3e-218  726.6  14.4  -
Chromatiaceae_Imhoffiella                        -          LKAP-TSAKG2_C07_059_2018_2 -               31     853      17     847       6     847    1484    +    2.6e-218  725.6  14.7  -
Cardiobacteriaceae_Cardiobacterium               -          LKAP-TSAKG2_C07_059_2018_2 -               14     838      21     847      11     847    1493    +    5.6e-218  724.4  14.6  -
Chromatiaceae_Thiocystis                         -          LKAP-TSAKG2_C07_059_2018_2 -               28     844      21     847      11     847    1451    +    6.1e-218  724.4  14.4  -
Piscirickettsiaceae_Thiomicrospira               -          LKAP-TSAKG2_C07_059_2018_2 -               24     861      15     847       7     847    1466    +    1.1e-217  723.3  14.5  -
Chromatiaceae_Thiocapsa                          -          LKAP-TSAKG2_C07_059_2018_2 -               44     860      21     847      11     847    1459    +    1.2e-217  723.6  14.7  -
Chromatiaceae_Marichromatium                     -          LKAP-TSAKG2_C07_059_2018_2 -               38     854      21     847      10     847    1440    +    1.5e-217  723.2  14.8  -
Burkholderiaceae_Limnobacter                     -          LKAP-TSAKG2_C07_059_2018_2 -               41     871      15     847      10     847    1524    +    1.6e-217  722.9  14.6  -
Burkholderiaceae_Pandoraea                       -          LKAP-TSAKG2_C07_059_2018_2 -               21     853      15     847       9     847    1456    +    2.9e-217  722.1  14.4  -
Pseudoalteromonadaceae_Psychrosphaera            -          LKAP-TSAKG2_C07_059_2018_2 -               32     853      21     847       7     847    1450    +    3.3e-217  721.8  14.7  -
Nevskiaceae_Steroidobacter                       -          LKAP-TSAKG2_C07_059_2018_2 -               34     861      21     847      11     847    1500    +    3.5e-217  721.9  14.7  -
Vibrionaceae_Vibrio                              -          LKAP-TSAKG2_C07_059_2018_2 -               27     868      20     847       7     847    1466    +    3.5e-217  721.6  14.4  -
Alteromonadaceae_Paraglaciecola                  -          LKAP-TSAKG2_C07_059_2018_2 -               29     860      14     847       8     847    1495    +    4.7e-217  721.0  14.8  -
Lysobacteraceae_Lysobacter                       -          LKAP-TSAKG2_C07_059_2018_2 -               29     862      20     847       6     847    1475    +    5.3e-217  721.1  14.5  -
Litoricolaceae_Litoricola                        -          LKAP-TSAKG2_C07_059_2018_2 -               39     869      21     847       9     847    1483    +    6.1e-217  721.1  14.3  -
Thiotrichaceae_Beggiatoa                         -          LKAP-TSAKG2_C07_059_2018_2 -               48     865      21     847       6     847    1491    +    7.2e-217  721.0  14.7  -
Lysobacteraceae_Arenimonas                       -          LKAP-TSAKG2_C07_059_2018_2 -               23     863      14     847       7     847    1490    +    9.5e-217  720.4  14.6  -
Halothiobacillaceae_Halothiobacillus             -          LKAP-TSAKG2_C07_059_2018_2 -               48     879      21     847       9     847    1505    +    1.7e-216  719.5  14.4  -
Chromatiaceae_Allochromatium                     -          LKAP-TSAKG2_C07_059_2018_2 -               21     855      16     847       5     847    1462    +    1.8e-216  719.4  14.6  -
Chromatiaceae_Lamprocystis                       -          LKAP-TSAKG2_C07_059_2018_2 -               53     871      21     847      10     847    1406    +    2.1e-216  719.3  14.5  -
Ectothiorhodospiraceae_Arhodomonas               -          LKAP-TSAKG2_C07_059_2018_2 -               32     857      21     847      10     847    1487    +    2.4e-216  719.2  14.8  -
Alteromonadaceae_Bowmanella                      -          LKAP-TSAKG2_C07_059_2018_2 -               46     870      21     847       9     847    1496    +    3.1e-216  718.6  14.7  -
Aeromonadaceae_Zobellella                        -          LKAP-TSAKG2_C07_059_2018_2 -               35     865      21     847       9     847    1478    +    3.5e-216  718.1  14.5  -
Vibrionaceae_Photobacterium                      -          LKAP-TSAKG2_C07_059_2018_2 -               28     868      21     847       8     847    1487    +    9.6e-216  716.8  14.3  -
Burkholderiaceae_Burkholderia                    -          LKAP-TSAKG2_C07_059_2018_2 -               28     860      15     847       9     847    1502    +    1.2e-215  716.7  14.5  -
Moritellaceae_Moritella                          -          LKAP-TSAKG2_C07_059_2018_2 -               38     880      13     847       7     847    1506    +    1.5e-215  716.2  14.4  -
Burkholderiaceae_Caballeronia                    -          LKAP-TSAKG2_C07_059_2018_2 -               30     860      15     847       9     847    1479    +    1.8e-215  716.2  14.3  -
Cellvibrionaceae_Pseudomaricurvus                -          LKAP-TSAKG2_C07_059_2018_2 -               28     849      21     847       8     847    1490    +    3.1e-215  715.1  13.9  -
Nevskiaceae_Nevskia                              -          LKAP-TSAKG2_C07_059_2018_2 -               33     846      21     847      10     847    1451    +    4.1e-215  715.2  14.1  -
Oxalobacteraceae_Undibacterium                   -          LKAP-TSAKG2_C07_059_2018_2 -               19     847      17     847       8     847    1442    +    4.2e-215  715.0  14.6  -
Chromatiaceae_Rheinheimera                       -          LKAP-TSAKG2_C07_059_2018_2 -               35     847      21     847       7     847    1472    +    4.5e-215  714.7  14.4  -
Ectothiorhodospiraceae_Halorhodospira            -          LKAP-TSAKG2_C07_059_2018_2 -               48     880      21     847      11     847    1479    +    5.2e-215  714.7  14.3  -
Neisseriaceae_Neisseria                          -          LKAP-TSAKG2_C07_059_2018_2 -               42     872      21     847       8     847    1475    +    8.1e-215  714.0  14.4  -
Moritellaceae_Paramoritella                      -          LKAP-TSAKG2_C07_059_2018_2 -               18     856      13     847       5     847    1512    +    1.1e-214  713.3  14.4  -
Methylophilaceae_Methylobacillus                 -          LKAP-TSAKG2_C07_059_2018_2 -                5     839      16     847      12     847    1416    +    4.4e-214  711.7  14.5  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-TSAKG2_C07_059_2018_2 -               22     857      17     847       7     847    1464    +    1.4e-213  709.6  14.5  -
Alteromonadaceae_Glaciecola                      -          LKAP-TSAKG2_C07_059_2018_2 -               48     870      21     847       8     847    1474    +    1.5e-213  709.6  14.9  -
Kangiellaceae_Marinicella                        -          LKAP-TSAKG2_C07_059_2018_2 -               48     880      21     847      11     847    1529    +    1.9e-213  709.6  14.3  -
Piscirickettsiaceae_Hydrogenovibrio              -          LKAP-TSAKG2_C07_059_2018_2 -               20     873      15     847       7     847    1465    +    3.2e-213  708.5  14.5  -
Alcaligenaceae_Advenella                         -          LKAP-TSAKG2_C07_059_2018_2 -                6     838      20     847      15     847    1428    +    3.2e-213  708.6  14.4  -
Burkholderiaceae_Ralstonia                       -          LKAP-TSAKG2_C07_059_2018_2 -               14     847      16     847       8     847    1446    +    3.5e-213  708.7  14.4  -
Lysobacteraceae_Silanimonas                      -          LKAP-TSAKG2_C07_059_2018_2 -               47     873      21     847       7     847    1493    +    4.3e-213  708.2  14.5  -
Alteromonadaceae_Aliagarivorans                  -          LKAP-TSAKG2_C07_059_2018_2 -               11     864      13     847       8     847    1462    +    4.3e-213  708.3  14.7  -
Chromobacteriaceae_Chromobacterium               -          LKAP-TSAKG2_C07_059_2018_2 -               40     869      16     847       6     847    1469    +    5.1e-213  708.0  14.7  -
Alcaligenaceae_Paenalcaligenes                   -          LKAP-TSAKG2_C07_059_2018_2 -               28     857      21     847       9     847    1432    +    9.3e-213  707.2  13.8  -
Alcaligenaceae_Pusillimonas                      -          LKAP-TSAKG2_C07_059_2018_2 -                3     833      22     847      20     847    1446    +    9.9e-213  707.1  14.6  -
Colwelliaceae_Thalassomonas                      -          LKAP-TSAKG2_C07_059_2018_2 -               18     856      13     847       7     847    1462    +      2e-212  705.9  14.4  -
Alcaligenaceae_Castellaniella                    -          LKAP-TSAKG2_C07_059_2018_2 -               20     853      20     847       7     847    1464    +    2.3e-212  705.8  14.4  -
Lysobacteraceae_Vulcaniibacterium                -          LKAP-TSAKG2_C07_059_2018_2 -               55     886      21     847       9     847    1549    +    3.3e-212  705.2  14.4  -
Thiotrichales_Caedibacter                        -          LKAP-TSAKG2_C07_059_2018_2 -               48     837      21     847      10     847    1500    +    7.9e-212  703.7  15.2  -
Alcaligenaceae_Pelistega                         -          LKAP-TSAKG2_C07_059_2018_2 -               27     865      14     847       7     847    1472    +    8.2e-212  704.0  14.4  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-TSAKG2_C07_059_2018_2 -               47     878      20     847       5     847    1506    +    8.9e-212  703.7  14.4  -
Neisseriaceae_Vitreoscilla                       -          LKAP-TSAKG2_C07_059_2018_2 -               15     841      16     847      10     847    1457    +      1e-211  703.6  13.9  -
Oxalobacteraceae_Oxalicibacterium                -          LKAP-TSAKG2_C07_059_2018_2 -               21     853      15     847      10     847    1489    +    1.3e-211  703.3  14.5  -
Lysobacteraceae_Thermomonas                      -          LKAP-TSAKG2_C07_059_2018_2 -               28     859      21     847       8     847    1488    +    2.8e-211  702.2  14.5  -
Lysobacteraceae_Pseudoxanthomonas                -          LKAP-TSAKG2_C07_059_2018_2 -               31     864      21     847       8     847    1484    +    3.4e-211  701.8  14.4  -
Oxalobacteraceae_Glaciimonas                     -          LKAP-TSAKG2_C07_059_2018_2 -               41     873      15     847      10     847    1525    +    3.8e-211  701.9  14.5  -
Alteromonadaceae_Alishewanella                   -          LKAP-TSAKG2_C07_059_2018_2 -               34     849      18     847       6     847    1426    +    4.7e-211  701.4  14.4  -
Idiomarinaceae_Pseudidiomarina                   -          LKAP-TSAKG2_C07_059_2018_2 -               28     859      21     847       9     847    1499    +    5.7e-211  700.9  14.4  -
Oxalobacteraceae_Noviherbaspirillum              -          LKAP-TSAKG2_C07_059_2018_2 -               25     855      15     847       9     847    1464    +    7.9e-211  700.9  14.4  -
Aeromonadaceae_Oceanimonas                       -          LKAP-TSAKG2_C07_059_2018_2 -               24     857      20     847       7     847    1483    +    1.8e-210  699.3  14.5  -
Celerinatantimonadaceae_Celerinatantimonas       -          LKAP-TSAKG2_C07_059_2018_2 -               14     864      14     847       8     847    1433    +    3.3e-210  698.7  14.6  -
Francisellaceae_Allofrancisella                  -          LKAP-TSAKG2_C07_059_2018_2 -               28     851      21     847       9     847    1452    +    3.3e-210  698.6  14.6  -
Lysobacteraceae_Oleiagrimonas                    -          LKAP-TSAKG2_C07_059_2018_2 -               28     861      21     847       8     847    1469    +    3.4e-210  698.5  14.4  -
Moraxellaceae_Enhydrobacter                      -          LKAP-TSAKG2_C07_059_2018_2 -               18     849      13     847       5     847    1484    +    6.2e-210  697.5  14.7  -
Alcaligenaceae_Alcaligenes                       -          LKAP-TSAKG2_C07_059_2018_2 -               22     852      20     847       7     847    1469    +      7e-210  697.5  13.9  -
Piscirickettsiaceae_Thiomicrorhabdus             -          LKAP-TSAKG2_C07_059_2018_2 -               23     870      11     847       6     847    1464    +    9.4e-210  696.9  14.5  -
Erwiniaceae_Erwinia                              -          LKAP-TSAKG2_C07_059_2018_2 -               28     858      21     847       8     847    1495    +    9.9e-210  697.1  14.3  -
Neisseriaceae_Alysiella                          -          LKAP-TSAKG2_C07_059_2018_2 -               52     880      21     847      10     847    1524    +    1.6e-209  696.4  14.7  -
Thermithiobacillaceae_Thermithiobacillus         -          LKAP-TSAKG2_C07_059_2018_2 -               13     837      21     847      13     847    1419    +    1.7e-209  696.3  14.7  -
Aeromonadaceae_Aeromonas                         -          LKAP-TSAKG2_C07_059_2018_2 -               47     879      21     847       8     847    1503    +    2.3e-209  695.6  14.6  -
Alcaligenaceae_Derxia                            -          LKAP-TSAKG2_C07_059_2018_2 -               45     868      21     847       7     847    1481    +    2.4e-209  695.9  14.5  -
Alcaligenaceae_Candidimonas                      -          LKAP-TSAKG2_C07_059_2018_2 -                3     825      22     847      20     847    1411    +    2.6e-209  695.7  14.5  -
Nevskiaceae_Solimonas                            -          LKAP-TSAKG2_C07_059_2018_2 -               37     852      21     847      10     847    1476    +    3.4e-209  695.5  14.6  -
Oxalobacteraceae_Oxalobacter                     -          LKAP-TSAKG2_C07_059_2018_2 -               43     868      21     847      10     847    1524    +    3.4e-209  695.4  14.6  -
Zoogloeaceae_Zoogloea                            -          LKAP-TSAKG2_C07_059_2018_2 -               35     860      21     847      10     847    1474    +    4.7e-209  694.7  14.7  -
Psychromonadaceae_Psychromonas                   -          LKAP-TSAKG2_C07_059_2018_2 -               18     858      13     847       7     847    1467    +    5.7e-209  694.5  14.5  -
Gammaproteobacteria_Plasticicumulans             -          LKAP-TSAKG2_C07_059_2018_2 -               37     859      21     847       9     847    1491    +    7.9e-209  694.0  14.7  -
Oxalobacteraceae_Massilia                        -          LKAP-TSAKG2_C07_059_2018_2 -               18     842      20     847       8     847    1438    +    1.2e-208  693.5  14.7  -
Oxalobacteraceae_Herbaspirillum                  -          LKAP-TSAKG2_C07_059_2018_2 -               21     853      15     847       9     847    1485    +    1.7e-208  693.1  14.7  -
Alteromonadaceae_Salinimonas                     -          LKAP-TSAKG2_C07_059_2018_2 -               28     854      21     847       9     847    1459    +    2.1e-208  692.7  14.6  -
