# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_B04_030_2017_1 -               23     984       6     966       3     966    1526    +           0 1159.4  32.9  -
Bacillaceae_Domibacillus                         -          LKAP-GUTHK2_B04_030_2017_1 -               67     960      74     966      48     966    1476    +    1.7e-280  931.8  29.1  -
Bacillaceae_Sediminibacillus                     -          LKAP-GUTHK2_B04_030_2017_1 -                9     959      21     966      14     966    1478    +    4.7e-280  930.3  31.3  -
Planococcaceae_Ureibacillus                      -          LKAP-GUTHK2_B04_030_2017_1 -               17     969       6     966       3     966    1497    +    5.7e-280  930.0  31.2  -
Bacillaceae_Amphibacillus                        -          LKAP-GUTHK2_B04_030_2017_1 -               10     977       6     966       3     966    1490    +    1.9e-279  928.3  32.5  -
Bacillaceae_Terribacillus                        -          LKAP-GUTHK2_B04_030_2017_1 -                5     966       7     966       4     966    1472    +    9.8e-279  926.0  32.3  -
Bacillaceae_Lysinibacillus                       -          LKAP-GUTHK2_B04_030_2017_1 -               22     963      14     966       2     966    1476    +      2e-278  924.7  30.8  -
Bacillaceae_Salipaludibacillus                   -          LKAP-GUTHK2_B04_030_2017_1 -               11     958      21     966      14     966    1480    +    1.1e-277  922.4  31.3  -
Bacillaceae_Halobacillus                         -          LKAP-GUTHK2_B04_030_2017_1 -               10     977       6     966       3     966    1520    +    2.1e-277  921.6  32.7  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-GUTHK2_B04_030_2017_1 -               11     961       7     966       3     966    1507    +    3.6e-277  920.7  30.8  -
Bacillaceae_Halolactibacillus                    -          LKAP-GUTHK2_B04_030_2017_1 -               15     964      21     966      10     966    1491    +    1.3e-276  918.7  31.6  -
Planococcaceae_Sporosarcina                      -          LKAP-GUTHK2_B04_030_2017_1 -               66     959      74     966      51     966    1504    +      2e-276  918.2  28.8  -
Bacillaceae_Alkalicoccus                         -          LKAP-GUTHK2_B04_030_2017_1 -               30    1003       6     966       2     966    1558    +    1.1e-275  915.8  33.0  -
Bacillales_Rummeliibacillus                      -          LKAP-GUTHK2_B04_030_2017_1 -               65     957      73     966      52     966    1473    +      5e-275  913.6  28.9  -
Bacillaceae_Paraliobacillus                      -          LKAP-GUTHK2_B04_030_2017_1 -               10     978       6     966       3     966    1511    +      5e-275  913.7  32.5  -
Bacillaceae_Piscibacillus                        -          LKAP-GUTHK2_B04_030_2017_1 -                2     953      16     966      15     966    1520    +    7.6e-275  913.1  31.2  -
Bacillaceae_Alkalibacillus                       -          LKAP-GUTHK2_B04_030_2017_1 -                6     966      11     966       6     966    1492    +    8.8e-275  912.9  32.7  -
Planococcaceae_Chryseomicrobium                  -          LKAP-GUTHK2_B04_030_2017_1 -               11     961       7     966       3     966    1483    +    1.2e-274  912.3  30.4  -
Staphylococcaceae_Macrococcus                    -          LKAP-GUTHK2_B04_030_2017_1 -               31     982       7     966       3     966    1547    +    1.8e-274  911.7  30.7  -
Bacillaceae_Fictibacillus                        -          LKAP-GUTHK2_B04_030_2017_1 -               46     938      73     966      53     966    1439    +    5.5e-274  910.1  29.1  -
Enterococcaceae_Enterococcus                     -          LKAP-GUTHK2_B04_030_2017_1 -               79     970      75     966      54     966    1502    +    4.8e-273  907.0  28.9  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-GUTHK2_B04_030_2017_1 -               12     952       6     966       3     966    1483    +    4.8e-273  907.0  30.0  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-GUTHK2_B04_030_2017_1 -                9     958      24     966      16     966    1488    +    9.3e-273  906.1  31.5  -
Planococcaceae_Bhargavaea                        -          LKAP-GUTHK2_B04_030_2017_1 -               85     978      73     966      53     966    1544    +    3.4e-272  904.2  29.3  -
Enterococcaceae_Vagococcus                       -          LKAP-GUTHK2_B04_030_2017_1 -               10     971       6     966       3     966    1472    +    1.3e-271  902.4  31.6  -
Bacillaceae_Salimicrobium                        -          LKAP-GUTHK2_B04_030_2017_1 -               10     978       6     966       3     966    1500    +      2e-270  898.5  32.8  -
Listeriaceae_Listeria                            -          LKAP-GUTHK2_B04_030_2017_1 -               55     946      76     966      56     966    1458    +    4.6e-270  897.3  28.8  -
Bacillaceae_Geobacillus                          -          LKAP-GUTHK2_B04_030_2017_1 -               25     977       7     966       3     966    1527    +    6.1e-270  896.9  31.2  -
Staphylococcaceae_Salinicoccus                   -          LKAP-GUTHK2_B04_030_2017_1 -               20     953      21     966       5     966    1476    +    7.5e-270  896.5  31.0  -
Bacillaceae_Pelagirhabdus                        -          LKAP-GUTHK2_B04_030_2017_1 -                1     948      25     966      25     966    1462    +    1.5e-268  892.0  31.7  -
Bacillaceae_Salisediminibacterium                -          LKAP-GUTHK2_B04_030_2017_1 -                4     952      21     966      18     966    1449    +    2.7e-268  891.4  31.6  -
Planococcaceae_Caryophanon                       -          LKAP-GUTHK2_B04_030_2017_1 -              101     992      76     966      56     966    1492    +      3e-268  891.0  28.8  -
Bacillaceae_Viridibacillus                       -          LKAP-GUTHK2_B04_030_2017_1 -               10     961       6     966       4     966    1505    +    4.9e-268  890.3  30.3  -
Planococcaceae_Planococcus                       -          LKAP-GUTHK2_B04_030_2017_1 -               21     969       7     966       3     966    1492    +    6.6e-268  890.1  30.8  -
Planococcaceae_Planomicrobium                    -          LKAP-GUTHK2_B04_030_2017_1 -               69     959      76     966      54     966    1485    +    1.9e-267  888.6  28.5  -
Paenibacillaceae_Brevibacillus                   -          LKAP-GUTHK2_B04_030_2017_1 -                9     946       6     966       3     966    1486    +    3.3e-267  887.7  30.5  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-GUTHK2_B04_030_2017_1 -               14     947      21     966      11     966    1443    +    4.3e-267  887.3  29.7  -
Bacillales_Solibacillus                          -          LKAP-GUTHK2_B04_030_2017_1 -               78     968      77     966      56     966    1525    +    5.4e-266  883.6  28.7  -
Staphylococcaceae_Staphylococcus                 -          LKAP-GUTHK2_B04_030_2017_1 -               79     969      76     966      51     966    1484    +      6e-266  883.5  28.7  -
Aerococcaceae_Aerococcus                         -          LKAP-GUTHK2_B04_030_2017_1 -               61     951      76     966      56     966    1461    +    7.6e-266  883.1  28.8  -
Planococcaceae_Paenisporosarcina                 -          LKAP-GUTHK2_B04_030_2017_1 -               63     954      76     966      55     966    1481    +    5.5e-265  880.2  28.7  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-GUTHK2_B04_030_2017_1 -               47     990      21     966       3     966    1520    +    9.8e-265  879.6  31.1  -
Bacillaceae_Alteribacillus                       -          LKAP-GUTHK2_B04_030_2017_1 -                3     948      24     966      22     966    1440    +    1.1e-264  879.4  31.9  -
Bacillaceae_Psychrobacillus                      -          LKAP-GUTHK2_B04_030_2017_1 -               74     969      73     966      52     966    1503    +    4.7e-264  877.2  28.9  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-GUTHK2_B04_030_2017_1 -               55     949      73     966      53     966    1494    +    1.2e-263  875.9  29.1  -
Bacillaceae_Anaerobacillus                       -          LKAP-GUTHK2_B04_030_2017_1 -               29     980       6     966       3     966    1512    +    1.2e-262  872.5  30.4  -
Carnobacteriaceae_Granulicatella                 -          LKAP-GUTHK2_B04_030_2017_1 -               30     981       6     966       3     966    1407    +    6.7e-261  866.8  31.4  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-GUTHK2_B04_030_2017_1 -               11     959       7     966       3     966    1503    +      9e-261  866.3  31.4  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-GUTHK2_B04_030_2017_1 -               18     981       6     966       3     966    1506    +    8.4e-260  863.3  33.0  -
Bacillaceae_Salibacterium                        -          LKAP-GUTHK2_B04_030_2017_1 -                5     957      15     966      11     966    1485    +    1.2e-259  862.7  31.7  -
Bacillaceae_Tepidibacillus                       -          LKAP-GUTHK2_B04_030_2017_1 -               74     965      77     966      55     966    1493    +    1.3e-259  862.1  28.9  -
Aerococcaceae_Facklamia                          -          LKAP-GUTHK2_B04_030_2017_1 -               10     963       6     966       3     966    1501    +    1.3e-259  862.6  30.9  -
Bacillaceae_Salsuginibacillus                    -          LKAP-GUTHK2_B04_030_2017_1 -               51    1002      20     966       2     966    1505    +    6.3e-259  860.3  32.4  -
Enterococcaceae_Tetragenococcus                  -          LKAP-GUTHK2_B04_030_2017_1 -               15     971       6     966       3     966    1518    +    7.9e-259  860.0  32.1  -
Bacillales_Gemella                               -          LKAP-GUTHK2_B04_030_2017_1 -               74     963      75     966      51     966    1511    +    6.6e-257  853.7  28.3  -
Paenibacillaceae_Cohnella                        -          LKAP-GUTHK2_B04_030_2017_1 -               15     964       7     966       3     966    1482    +    5.3e-255  847.5  30.8  -
Carnobacteriaceae_Trichococcus                   -          LKAP-GUTHK2_B04_030_2017_1 -               79     971      77     966      57     966    1513    +    6.7e-255  846.7  28.9  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-GUTHK2_B04_030_2017_1 -               56     949      74     966      54     966    1511    +      5e-254  843.9  29.0  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-GUTHK2_B04_030_2017_1 -               23     955       6     966       3     966    1493    +    6.7e-254  843.5  29.5  -
Bacillaceae_Thermolongibacillus                  -          LKAP-GUTHK2_B04_030_2017_1 -               39     935      77     966      68     966    1432    +    3.1e-253  841.3  28.3  -
Bacillales_Geomicrobium                          -          LKAP-GUTHK2_B04_030_2017_1 -               80     973      76     966      55     966    1537    +    8.2e-253  840.1  28.7  -
Eubacteriaceae_Eubacterium                       -          LKAP-GUTHK2_B04_030_2017_1 -               30     961       6     966       4     966    1476    +    9.7e-253  839.8  31.2  -
Listeriaceae_Brochothrix                         -          LKAP-GUTHK2_B04_030_2017_1 -               55     947      74     966      54     966    1421    +    1.1e-251  836.5  28.9  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-GUTHK2_B04_030_2017_1 -               60     954      75     966      53     966    1453    +    3.2e-251  834.6  28.8  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-GUTHK2_B04_030_2017_1 -               83     974      76     966      53     966    1486    +      1e-250  833.1  28.7  -
Bacillaceae_Calditerricola                       -          LKAP-GUTHK2_B04_030_2017_1 -               30     993       6     966       3     966    1535    +    1.9e-250  832.2  32.8  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-GUTHK2_B04_030_2017_1 -               70     950      76     966      56     966    1497    +    1.9e-249  829.0  28.5  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-GUTHK2_B04_030_2017_1 -               66     955      76     966      54     966    1466    +    2.4e-249  828.6  29.0  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-GUTHK2_B04_030_2017_1 -               34     992       9     966       2     966    1546    +    2.7e-249  828.3  31.7  -
Paenibacillaceae_Saccharibacillus                -          LKAP-GUTHK2_B04_030_2017_1 -               75     965      76     966      55     966    1498    +    1.1e-247  823.6  28.3  -
Lactobacillaceae_Pediococcus                     -          LKAP-GUTHK2_B04_030_2017_1 -              101     997      71     966      51     966    1526    +    3.3e-246  818.3  28.9  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-GUTHK2_B04_030_2017_1 -               18     957       6     966       3     966    1489    +    7.7e-245  813.8  30.9  -
Paenibacillaceae_Fontibacillus                   -          LKAP-GUTHK2_B04_030_2017_1 -               77     967      76     966      56     966    1487    +      1e-244  813.2  28.1  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-GUTHK2_B04_030_2017_1 -               30     979       6     966       3     966    1510    +    6.7e-244  810.7  31.7  -
Bacillaceae_Marinococcus                         -          LKAP-GUTHK2_B04_030_2017_1 -                9     970      11     966       3     966    1503    +    1.5e-243  809.5  32.5  -
Bacillales_Desulfuribacillus                     -          LKAP-GUTHK2_B04_030_2017_1 -               19     968       6     966       2     966    1495    +    3.9e-243  807.9  30.8  -
Thermoactinomycetaceae_Planifilum                -          LKAP-GUTHK2_B04_030_2017_1 -               92     982      78     966      58     966    1517    +    6.9e-243  807.2  28.5  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-GUTHK2_B04_030_2017_1 -               31     965       7     966       4     966    1509    +    2.5e-241  802.2  31.2  -
Thermoactinomycetaceae_Desmospora                -          LKAP-GUTHK2_B04_030_2017_1 -               86     981      73     966      51     966    1548    +    2.1e-240  799.2  28.7  -
Thermoactinomycetaceae_Marininema                -          LKAP-GUTHK2_B04_030_2017_1 -               87     978      76     966      53     966    1553    +    1.4e-238  792.8  28.4  -
Leuconostocaceae_Weissella                       -          LKAP-GUTHK2_B04_030_2017_1 -               88     984      70     966      46     966    1485    +    5.6e-236  784.3  29.2  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-GUTHK2_B04_030_2017_1 -                3     931       7     966       5     966    1465    +    6.7e-235  780.9  31.3  -
Leuconostocaceae_Leuconostoc                     -          LKAP-GUTHK2_B04_030_2017_1 -                4     952       8     966       5     966    1477    +    1.5e-234  779.7  30.2  -
Streptococcaceae_Streptococcus                   -          LKAP-GUTHK2_B04_030_2017_1 -               16     970       7     966       3     966    1497    +    2.9e-234  778.6  31.3  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-GUTHK2_B04_030_2017_1 -               58     916      78     966      57     966    1428    +    1.1e-233  776.7  28.2  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-GUTHK2_B04_030_2017_1 -               20     967       6     966       3     966    1439    +    1.4e-233  776.3  31.0  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-GUTHK2_B04_030_2017_1 -               81     937      78     966      55     966    1464    +    2.2e-233  775.8  27.1  -
Paenibacillaceae_Thermobacillus                  -          LKAP-GUTHK2_B04_030_2017_1 -               30     997       6     966       3     966    1599    +    3.7e-233  774.9  32.6  -
Peptococcaceae_Desulfitobacterium                -          LKAP-GUTHK2_B04_030_2017_1 -               86     985      76     966      53     966    1521    +    2.6e-232  771.6  28.5  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-GUTHK2_B04_030_2017_1 -               79     978      76     966      54     966    1523    +    1.2e-231  769.8  28.6  -
Bacillaceae_Salirhabdus                          -          LKAP-GUTHK2_B04_030_2017_1 -               24     986       6     965       2     966    1546    +      2e-230  765.5  32.8  -
Streptococcaceae_Lactococcus                     -          LKAP-GUTHK2_B04_030_2017_1 -               17     966       7     966       3     966    1492    +    2.2e-230  765.5  31.3  -
Leuconostocaceae_Fructobacillus                  -          LKAP-GUTHK2_B04_030_2017_1 -               71     960      76     966      54     966    1485    +    2.3e-230  765.8  28.6  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-GUTHK2_B04_030_2017_1 -               20     947       6     966       3     966    1485    +    2.2e-229  762.2  30.1  -
Peptococcaceae_Pelotomaculum                     -          LKAP-GUTHK2_B04_030_2017_1 -               10     937       6     966       3     966    1467    +    1.4e-227  756.1  29.7  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-GUTHK2_B04_030_2017_1 -               48     944      21     966       4     966    1510    +    3.5e-226  752.0  30.1  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-GUTHK2_B04_030_2017_1 -               32     969      21     966       3     966    1493    +    1.3e-225  750.0  31.9  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-GUTHK2_B04_030_2017_1 -               77     959      76     966      56     966    1516    +    7.8e-225  747.6  29.4  -
Desulfuromonadaceae_Pelobacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               30     985       7     966       3     966    1542    +    1.1e-224  746.8  30.8  -
Selenomonadaceae_Selenomonas                     -          LKAP-GUTHK2_B04_030_2017_1 -               31     993       6     966       3     966    1508    +    1.8e-224  746.0  31.1  -
Ruminococcaceae_Ruminococcus                     -          LKAP-GUTHK2_B04_030_2017_1 -               16     928      21     966       8     966    1394    +    4.1e-224  744.8  30.4  -
Bacillaceae_Melghiribacillus                     -          LKAP-GUTHK2_B04_030_2017_1 -               19     982       6     965       2     966    1552    +    5.5e-224  744.2  33.0  -
Acetobacteraceae_Acetobacter                     -          LKAP-GUTHK2_B04_030_2017_1 -               50     897      72     966      52     966    1433    +    9.9e-224  743.7  27.5  -
Geobacteraceae_Geobacter                         -          LKAP-GUTHK2_B04_030_2017_1 -               62     964      72     965      48     966    1470    +    1.9e-223  742.6  29.3  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-GUTHK2_B04_030_2017_1 -               19     969       6     966       4     966    1521    +    2.2e-223  742.5  31.2  -
Bacillaceae_Filobacillus                         -          LKAP-GUTHK2_B04_030_2017_1 -                4     965       7     965       4     966    1491    +    8.9e-223  740.0  32.7  -
Clostridiaceae_Alkaliphilus                      -          LKAP-GUTHK2_B04_030_2017_1 -               11     940       7     966       3     966    1465    +    9.8e-223  739.9  31.2  -
Clostridiaceae_Brassicibacter                    -          LKAP-GUTHK2_B04_030_2017_1 -               10     938       6     966       3     966    1454    +      2e-222  739.2  31.1  -
Clostridiales_Tissierella                        -          LKAP-GUTHK2_B04_030_2017_1 -               27     957       6     966       3     966    1415    +    3.1e-222  738.7  31.2  -
Natranaerobiaceae_Natranaerobius                 -          LKAP-GUTHK2_B04_030_2017_1 -                1     922      16     966      16     966    1424    +    1.4e-221  736.5  28.9  -
Bacillaceae_Caenibacillus                        -          LKAP-GUTHK2_B04_030_2017_1 -               11     972       7     965       3     966    1490    +    1.5e-221  736.1  32.9  -
Bacillaceae_Saliterribacillus                    -          LKAP-GUTHK2_B04_030_2017_1 -               30     999       6     965       2     966    1472    +    2.6e-221  735.2  32.6  -
Bacillaceae_Paucisalibacillus                    -          LKAP-GUTHK2_B04_030_2017_1 -               26     987       7     965       2     966    1441    +      4e-221  734.6  32.5  -
Peptoniphilaceae_Peptoniphilus                   -          LKAP-GUTHK2_B04_030_2017_1 -                5     909      25     966      22     966    1433    +    5.8e-221  734.7  30.7  -
Erysipelotrichaceae_Breznakia                    -          LKAP-GUTHK2_B04_030_2017_1 -              103     982      77     966      57     966    1508    +    9.7e-221  733.6  29.3  -
Desulfuromonadaceae_Desulfuromonas               -          LKAP-GUTHK2_B04_030_2017_1 -               19     977       6     966       3     966    1512    +    1.4e-220  733.1  31.1  -
Veillonellaceae_Dialister                        -          LKAP-GUTHK2_B04_030_2017_1 -               71     973      75     966      55     966    1502    +    1.8e-220  732.7  28.7  -
Spirochaetaceae_Spirochaeta                      -          LKAP-GUTHK2_B04_030_2017_1 -               74     960      75     965      52     966    1495    +    5.9e-220  731.1  28.9  -
Veillonellaceae_Megasphaera                      -          LKAP-GUTHK2_B04_030_2017_1 -               97     997      76     966      55     966    1528    +    7.3e-220  730.6  28.7  -
Clostridiaceae_Caloramator                       -          LKAP-GUTHK2_B04_030_2017_1 -               68     926      76     966      56     966    1453    +    8.3e-220  730.7  28.1  -
Bacillaceae_Streptohalobacillus                  -          LKAP-GUTHK2_B04_030_2017_1 -                3     955      17     965      15     966    1481    +    2.3e-219  728.6  31.3  -
Bacillaceae_Natronobacillus                      -          LKAP-GUTHK2_B04_030_2017_1 -               40    1001       9     965       3     966    1473    +    4.2e-219  728.1  32.3  -
Erysipelotrichaceae_Erysipelothrix               -          LKAP-GUTHK2_B04_030_2017_1 -               77     959      74     966      53     966    1467    +    8.1e-219  727.5  29.2  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-GUTHK2_B04_030_2017_1 -               91     991      76     966      53     966    1529    +    1.1e-218  726.8  28.9  -
Bacillaceae_Aquisalibacillus                     -          LKAP-GUTHK2_B04_030_2017_1 -               33     993       6     965       2     966    1484    +    1.7e-218  725.9  32.6  -
Bacillaceae_Halalkalibacillus                    -          LKAP-GUTHK2_B04_030_2017_1 -                4     966       7     965       4     966    1492    +    1.7e-218  725.9  33.0  -
Sporolactobacillaceae_Tuberibacillus             -          LKAP-GUTHK2_B04_030_2017_1 -               11     971       7     965       3     966    1486    +    1.7e-218  725.9  32.7  -
Clostridiaceae_Sporosalibacterium                -          LKAP-GUTHK2_B04_030_2017_1 -               30     959       6     966       3     966    1521    +    1.9e-218  726.0  30.5  -
Peptococcaceae_Sporotomaculum                    -          LKAP-GUTHK2_B04_030_2017_1 -              159    1021      77     964      57     966    1510    +    3.2e-218  725.3  27.2  -
Symbiobacteriaceae_Symbiobacterium               -          LKAP-GUTHK2_B04_030_2017_1 -                5     957       6     965       3     966    1468    +      6e-218  724.8  31.9  -
Bacillales_Chungangia                            -          LKAP-GUTHK2_B04_030_2017_1 -               76     965      76     965      56     966    1440    +    8.6e-218  723.6  28.9  -
Rubrobacteraceae_Rubrobacter                     -          LKAP-GUTHK2_B04_030_2017_1 -               10     956       6     966       3     966    1495    +    2.1e-217  722.7  30.9  -
Bacillaceae_Falsibacillus                        -          LKAP-GUTHK2_B04_030_2017_1 -               37     931      72     965      52     966    1413    +    2.8e-217  721.8  29.1  -
Clostridiaceae_Tepidimicrobium                   -          LKAP-GUTHK2_B04_030_2017_1 -               30     963       6     966       3     966    1528    +    3.2e-217  722.1  31.4  -
Clostridiaceae_Natronincola                      -          LKAP-GUTHK2_B04_030_2017_1 -               27     953       6     966       3     966    1489    +    3.8e-217  721.5  32.0  -
Planococcaceae_Filibacter                        -          LKAP-GUTHK2_B04_030_2017_1 -               78     968      76     965      56     966    1517    +    4.1e-217  721.4  28.8  -
Peptococcaceae_Desulfitispora                    -          LKAP-GUTHK2_B04_030_2017_1 -               12     939      48     966      37     966    1479    +    4.7e-217  721.4  30.3  -
Bacillaceae_Tenuibacillus                        -          LKAP-GUTHK2_B04_030_2017_1 -                7     969       6     965       3     966    1479    +      5e-217  721.0  32.8  -
Peptococcaceae_Thermincola                       -          LKAP-GUTHK2_B04_030_2017_1 -               77     941      76     966      56     966    1482    +    5.6e-217  721.2  27.1  -
Bacillaceae_Cerasibacillus                       -          LKAP-GUTHK2_B04_030_2017_1 -               14     977       7     965       3     966    1484    +    8.5e-217  720.3  32.7  -
Bacillaceae_Sinibacillus                         -          LKAP-GUTHK2_B04_030_2017_1 -               11     975       7     965       3     966    1489    +    1.3e-216  719.8  32.4  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-GUTHK2_B04_030_2017_1 -               61     953      77     966      55     966    1494    +    2.2e-216  719.2  28.9  -
Bacillaceae_Allobacillus                         -          LKAP-GUTHK2_B04_030_2017_1 -                9     952      24     965      17     966    1431    +    2.2e-216  718.9  31.3  -
Bacillaceae_Alkalilactibacillus                  -          LKAP-GUTHK2_B04_030_2017_1 -               30    1000       6     965       2     966    1567    +    1.2e-215  716.6  32.4  -
Sporolactobacillaceae_Terrilactibacillus         -          LKAP-GUTHK2_B04_030_2017_1 -               12     925      49     965      35     966    1456    +    2.9e-215  715.2  30.5  -
Thermoanaerobacteraceae_Thermanaeromonas         -          LKAP-GUTHK2_B04_030_2017_1 -               23     961       6     966       3     966    1506    +    3.3e-215  715.3  30.9  -
Thermoanaerobacteraceae_Thermoanaerobacter       -          LKAP-GUTHK2_B04_030_2017_1 -               26     952       6     966       3     966    1525    +      4e-215  714.7  30.8  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-GUTHK2_B04_030_2017_1 -               54     910      77     966      59     966    1412    +    4.2e-215  715.1  27.2  -
Bacillaceae_Aeribacillus                         -          LKAP-GUTHK2_B04_030_2017_1 -               74     965      77     965      56     966    1516    +    4.9e-215  714.6  28.8  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-GUTHK2_B04_030_2017_1 -               17     980       6     965       2     966    1521    +    2.4e-214  712.3  32.7  -
Bacillaceae_Fermentibacillus                     -          LKAP-GUTHK2_B04_030_2017_1 -               87     977      76     965      54     966    1530    +    2.8e-214  711.9  28.9  -
Geobacteraceae_Geoalkalibacter                   -          LKAP-GUTHK2_B04_030_2017_1 -               31     989       7     966       4     966    1556    +      3e-214  712.0  30.8  -
Clostridiaceae_Hathewaya                         -          LKAP-GUTHK2_B04_030_2017_1 -               30     945       6     966       3     966    1507    +    3.5e-214  711.9  29.8  -
Bacillaceae_Polygonibacillus                     -          LKAP-GUTHK2_B04_030_2017_1 -               35     927      76     965      56     966    1480    +    9.5e-214  710.0  28.9  -
Planococcaceae_Savagea                           -          LKAP-GUTHK2_B04_030_2017_1 -               90     980      75     965      53     966    1547    +    1.7e-213  709.3  28.8  -
Sporomusaceae_Sporomusa                          -          LKAP-GUTHK2_B04_030_2017_1 -               82     982      77     966      56     966    1532    +    2.1e-213  709.2  28.8  -
Clostridiales_Thermaerobacter                    -          LKAP-GUTHK2_B04_030_2017_1 -               94     984      78     966      58     966    1520    +    2.5e-213  709.1  28.6  -
Leuconostocaceae_Oenococcus                      -          LKAP-GUTHK2_B04_030_2017_1 -               12     980       6     966       3     966    1496    +    4.2e-213  708.6  32.2  -
Staphylococcaceae_Corticicoccus                  -          LKAP-GUTHK2_B04_030_2017_1 -               12     962      15     965       6     966    1465    +    1.4e-212  706.3  31.9  -
Streptococcaceae_Faecalicoccus                   -          LKAP-GUTHK2_B04_030_2017_1 -               89     973      75     966      54     966    1380    +    2.8e-212  706.0  29.3  -
Bacillaceae_Compostibacillus                     -          LKAP-GUTHK2_B04_030_2017_1 -              153    1043      76     965      56     966    1555    +    3.8e-212  704.9  28.7  -
Caldicoprobacteraceae_Caldicoprobacter           -          LKAP-GUTHK2_B04_030_2017_1 -               26     961       6     966       3     966    1530    +    5.2e-212  704.7  30.8  -
