# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_D06_042_2018_2 -               33     880      24     870      13     871    1491    +           0 1080.9  16.8  -
Oceanospirillaceae_Thalassolituus                -          LKAP-TSAKG2_D06_042_2018_2 -               40     889      24     870      11     871    1476    +    2.7e-238  791.6  16.8  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          LKAP-TSAKG2_D06_042_2018_2 -               24     865      24     864      12     871    1438    +    1.1e-237  789.5  16.7  -
Chromobacteriaceae_Aquaspirillum                 -          LKAP-TSAKG2_D06_042_2018_2 -               49     897      21     870      10     871    1488    +    1.1e-237  789.8  16.9  -
Moraxellaceae_Alkanindiges                       -          LKAP-TSAKG2_D06_042_2018_2 -               20     866      24     870      14     871    1396    +    1.4e-237  789.4  16.7  -
Gammaproteobacteria_Sedimenticola                -          LKAP-TSAKG2_D06_042_2018_2 -               47     903      24     870       9     871    1540    +    3.8e-237  787.9  16.8  -
Idiomarinaceae_Aliidiomarina                     -          LKAP-TSAKG2_D06_042_2018_2 -                7     858      23     870      19     871    1410    +    4.1e-237  787.6  16.9  -
Cellvibrionaceae_Cellvibrio                      -          LKAP-TSAKG2_D06_042_2018_2 -               53     896      24     869      17     871    1505    +    5.8e-237  787.3  17.0  -
Pseudomonadaceae_Azotobacter                     -          LKAP-TSAKG2_D06_042_2018_2 -               40     885      24     870      14     871    1473    +    5.8e-237  787.4  16.6  -
Pseudomonadaceae_Azomonas                        -          LKAP-TSAKG2_D06_042_2018_2 -               16     866      24     870      17     871    1453    +    6.2e-237  787.2  16.8  -
Spongiibacteraceae_Spongiibacter                 -          LKAP-TSAKG2_D06_042_2018_2 -               67     879      61     870      39     871    1441    +    2.4e-236  785.0  16.8  -
Shewanellaceae_Shewanella                        -          LKAP-TSAKG2_D06_042_2018_2 -               33     886      24     870      13     871    1483    +    5.8e-236  784.0  16.8  -
Methylococcaceae_Methylosarcina                  -          LKAP-TSAKG2_D06_042_2018_2 -               47     890      24     870      13     871    1515    +    8.2e-235  780.0  16.8  -
Chromatiaceae_Thiorhodococcus                    -          LKAP-TSAKG2_D06_042_2018_2 -               39     846      61     870      39     871    1426    +    1.2e-234  779.7  17.1  -
Legionellaceae_Legionella                        -          LKAP-TSAKG2_D06_042_2018_2 -               29     882      24     870      13     871    1446    +    2.3e-234  778.8  16.9  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_D06_042_2018_2 -               22     885      21     870      16     871    1494    +    1.2e-233  776.3  17.0  -
Thiotrichaceae_Thiothrix                         -          LKAP-TSAKG2_D06_042_2018_2 -               33     836      24     870      11     871    1417    +    2.5e-233  775.2  17.3  -
Idiomarinaceae_Idiomarina                        -          LKAP-TSAKG2_D06_042_2018_2 -               38     890      24     870      13     871    1471    +    2.7e-233  774.9  16.8  -
Halieaceae_Parahaliea                            -          LKAP-TSAKG2_D06_042_2018_2 -               65     877      61     870      40     871    1498    +    3.1e-233  774.9  16.9  -
Thioalkalispiraceae_Thioprofundum                -          LKAP-TSAKG2_D06_042_2018_2 -               49     906      24     870      17     871    1537    +    4.2e-233  774.7  16.9  -
Ectothiorhodospiraceae_Alkalilimnicola           -          LKAP-TSAKG2_D06_042_2018_2 -               47     894      24     870      17     871    1472    +    9.9e-233  773.5  17.1  -
Oceanospirillaceae_Oleispira                     -          LKAP-TSAKG2_D06_042_2018_2 -               53     902      24     870      16     871    1500    +      2e-232  772.2  17.0  -
Hahellaceae_Zooshikella                          -          LKAP-TSAKG2_D06_042_2018_2 -               29     881      21     870       7     871    1483    +    2.7e-232  771.9  17.0  -
Gammaproteobacteria_Alkalimonas                  -          LKAP-TSAKG2_D06_042_2018_2 -               51     899      24     869      17     871    1502    +    3.2e-232  771.6  16.9  -
Alteromonadaceae_Catenovulum                     -          LKAP-TSAKG2_D06_042_2018_2 -               32     876      23     870       9     871    1451    +    5.3e-232  770.7  17.1  -
Chromatiaceae_Thiohalocapsa                      -          LKAP-TSAKG2_D06_042_2018_2 -               75     884      61     870      40     871    1436    +    7.1e-232  770.7  16.8  -
Hahellaceae_Allohahella                          -          LKAP-TSAKG2_D06_042_2018_2 -               41     896      15     870       6     871    1485    +    1.2e-231  769.8  16.9  -
Cardiobacteriaceae_Suttonella                    -          LKAP-TSAKG2_D06_042_2018_2 -               34     876      24     864      14     871    1486    +    1.3e-231  769.8  16.7  -
Colwelliaceae_Thalassotalea                      -          LKAP-TSAKG2_D06_042_2018_2 -               33     882      24     870      13     871    1463    +    2.2e-231  768.9  16.9  -
Oceanospirillales_Salicola                       -          LKAP-TSAKG2_D06_042_2018_2 -               53     893      24     870      17     871    1492    +    2.9e-231  768.3  17.3  -
Hahellaceae_Kistimonas                           -          LKAP-TSAKG2_D06_042_2018_2 -               53     903      24     870      17     871    1506    +    3.4e-231  768.2  17.0  -
Chromatiaceae_Halochromatium                     -          LKAP-TSAKG2_D06_042_2018_2 -               64     872      62     870      41     871    1451    +    4.7e-231  768.0  16.9  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-TSAKG2_D06_042_2018_2 -               30     894      22     870      10     871    1475    +    7.1e-231  766.9  16.9  -
Methylococcaceae_Methylocaldum                   -          LKAP-TSAKG2_D06_042_2018_2 -               53     903      24     870      14     871    1491    +    1.1e-230  766.7  16.8  -
Piscirickettsiaceae_Methylophaga                 -          LKAP-TSAKG2_D06_042_2018_2 -               32     878      24     870      17     871    1487    +      6e-230  763.9  17.1  -
Halieaceae_Halioglobus                           -          LKAP-TSAKG2_D06_042_2018_2 -               65     876      62     870      41     871    1433    +    7.6e-230  763.7  16.8  -
Chromatiaceae_Thiophaeococcus                    -          LKAP-TSAKG2_D06_042_2018_2 -               55     862      62     870      41     871    1440    +    9.1e-230  763.6  17.2  -
Cellvibrionaceae_Marinimicrobium                 -          LKAP-TSAKG2_D06_042_2018_2 -               65     876      63     870      43     871    1455    +    1.6e-229  762.5  16.9  -
Chromatiaceae_Thiodictyon                        -          LKAP-TSAKG2_D06_042_2018_2 -               66     874      62     870      41     871    1500    +    2.7e-229  762.1  17.1  -
Methylococcaceae_Methylovulum                    -          LKAP-TSAKG2_D06_042_2018_2 -               81     892      62     870      42     871    1492    +    2.9e-229  761.7  16.8  -
Alteromonadaceae_Agarivorans                     -          LKAP-TSAKG2_D06_042_2018_2 -               40     891      24     870      13     871    1454    +    3.8e-229  761.5  17.0  -
Colwelliaceae_Colwellia                          -          LKAP-TSAKG2_D06_042_2018_2 -               32     884      23     870      13     871    1485    +    9.2e-229  760.1  16.9  -
Cellvibrionaceae_Gilvimarinus                    -          LKAP-TSAKG2_D06_042_2018_2 -               24     873      20     870       9     871    1445    +    1.6e-228  759.2  16.9  -
Spongiibacteraceae_Zhongshania                   -          LKAP-TSAKG2_D06_042_2018_2 -               53     898      24     870      14     871    1501    +    1.7e-228  759.1  16.9  -
Ectothiorhodospiraceae_Spiribacter               -          LKAP-TSAKG2_D06_042_2018_2 -               63     909      24     870      17     871    1544    +      2e-228  759.1  17.1  -
Cellvibrionaceae_Eionea                          -          LKAP-TSAKG2_D06_042_2018_2 -               35     880      24     870      17     871    1469    +    2.2e-228  758.8  16.5  -
Cellvibrionaceae_Umboniibacter                   -          LKAP-TSAKG2_D06_042_2018_2 -               76     887      62     870      41     871    1507    +    2.7e-228  758.7  17.0  -
Ectothiorhodospiraceae_Aquisalimonas             -          LKAP-TSAKG2_D06_042_2018_2 -               54     901      24     870      17     871    1464    +    6.9e-228  757.3  17.4  -
Pseudoalteromonadaceae_Algicola                  -          LKAP-TSAKG2_D06_042_2018_2 -               48     896      24     869      18     871    1490    +    8.5e-228  756.8  17.0  -
Lysobacteraceae_Luteimonas                       -          LKAP-TSAKG2_D06_042_2018_2 -               34     882      21     863       8     871    1490    +    8.5e-228  756.9  16.9  -
Salinisphaeraceae_Salinisphaera                  -          LKAP-TSAKG2_D06_042_2018_2 -               17     862      21     864      11     871    1429    +    1.9e-227  755.9  16.9  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-TSAKG2_D06_042_2018_2 -               33     878      24     870      14     871    1461    +    2.8e-227  755.1  16.6  -
Moraxellaceae_Paraperlucidibaca                  -          LKAP-TSAKG2_D06_042_2018_2 -               67     878      62     870      41     871    1460    +    4.4e-227  754.4  16.8  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          LKAP-TSAKG2_D06_042_2018_2 -               50     887      24     864      12     871    1490    +    5.6e-227  754.3  17.0  -
Chromatiaceae_Marichromatium                     -          LKAP-TSAKG2_D06_042_2018_2 -               74     880      62     870      41     871    1440    +    1.8e-226  752.8  17.2  -
Chromatiaceae_Imhoffiella                        -          LKAP-TSAKG2_D06_042_2018_2 -               73     879      62     870      41     871    1484    +    1.9e-226  752.6  17.2  -
Arenicellaceae_Arenicella                        -          LKAP-TSAKG2_D06_042_2018_2 -               41     885      24     869      14     871    1506    +    2.2e-226  752.5  16.7  -
Chromatiaceae_Thiocystis                         -          LKAP-TSAKG2_D06_042_2018_2 -               64     870      62     870      41     871    1451    +    1.1e-225  750.0  17.1  -
Chromatiaceae_Thiocapsa                          -          LKAP-TSAKG2_D06_042_2018_2 -               80     886      62     870      41     871    1459    +    2.2e-225  749.2  17.2  -
Chromatiaceae_Lamprocystis                       -          LKAP-TSAKG2_D06_042_2018_2 -               89     897      62     870      42     871    1406    +      5e-225  747.9  17.1  -
Chromatiaceae_Allochromatium                     -          LKAP-TSAKG2_D06_042_2018_2 -               29     881      21     870       8     871    1462    +    6.2e-225  747.5  16.9  -
Burkholderiaceae_Paraburkholderia                -          LKAP-TSAKG2_D06_042_2018_2 -               33     875      24     868      13     871    1472    +      1e-224  746.8  16.8  -
Pseudoalteromonadaceae_Psychrosphaera            -          LKAP-TSAKG2_D06_042_2018_2 -               37     879      24     870      17     871    1450    +    1.8e-224  745.9  17.2  -
Piscirickettsiaceae_Thiomicrospira               -          LKAP-TSAKG2_D06_042_2018_2 -               37     886      24     869      15     871    1466    +    1.9e-224  745.7  16.9  -
Litoricolaceae_Litoricola                        -          LKAP-TSAKG2_D06_042_2018_2 -               44     895      24     870      14     871    1483    +    2.7e-224  745.5  16.8  -
Alteromonadaceae_Paraglaciecola                  -          LKAP-TSAKG2_D06_042_2018_2 -               42     886      23     870      14     871    1495    +    3.1e-224  744.8  17.1  -
Cardiobacteriaceae_Cardiobacterium               -          LKAP-TSAKG2_D06_042_2018_2 -               19     857      24     864      14     871    1493    +    3.2e-224  745.1  17.1  -
Vibrionaceae_Vibrio                              -          LKAP-TSAKG2_D06_042_2018_2 -               33     893      24     869      14     871    1466    +    4.5e-224  744.5  16.8  -
Lysobacteraceae_Lysobacter                       -          LKAP-TSAKG2_D06_042_2018_2 -               34     880      23     863      10     871    1475    +    8.1e-224  743.7  16.9  -
Halothiobacillaceae_Halothiobacillus             -          LKAP-TSAKG2_D06_042_2018_2 -               53     898      24     864      13     871    1505    +    1.1e-223  743.4  16.7  -
Burkholderiaceae_Pandoraea                       -          LKAP-TSAKG2_D06_042_2018_2 -               30     878      22     869      13     871    1456    +    1.1e-223  743.4  16.6  -
Burkholderiaceae_Limnobacter                     -          LKAP-TSAKG2_D06_042_2018_2 -               53     897      24     870      14     871    1524    +    1.1e-223  743.3  17.0  -
Alteromonadaceae_Bowmanella                      -          LKAP-TSAKG2_D06_042_2018_2 -               47     896      21     870      16     871    1496    +    1.3e-223  743.1  17.2  -
Lysobacteraceae_Arenimonas                       -          LKAP-TSAKG2_D06_042_2018_2 -               37     881      24     863      15     871    1490    +    1.6e-223  742.9  17.0  -
Nevskiaceae_Steroidobacter                       -          LKAP-TSAKG2_D06_042_2018_2 -               39     880      24     864      17     871    1500    +    2.7e-223  742.2  17.1  -
Ectothiorhodospiraceae_Halorhodospira            -          LKAP-TSAKG2_D06_042_2018_2 -               53     907      24     871      18     871    1479    +      3e-223  742.1  16.9  -
Aeromonadaceae_Zobellella                        -          LKAP-TSAKG2_D06_042_2018_2 -               40     891      24     870      17     871    1478    +      3e-223  741.6  17.0  -
Thiotrichaceae_Beggiatoa                         -          LKAP-TSAKG2_D06_042_2018_2 -               53     890      24     869      12     871    1491    +    3.5e-223  741.9  17.1  -
Ectothiorhodospiraceae_Arhodomonas               -          LKAP-TSAKG2_D06_042_2018_2 -               37     883      24     870      17     871    1487    +    6.8e-223  740.9  17.2  -
Moritellaceae_Moritella                          -          LKAP-TSAKG2_D06_042_2018_2 -               53     905      24     869      13     871    1506    +    9.6e-223  740.0  16.9  -
Cellvibrionaceae_Pseudomaricurvus                -          LKAP-TSAKG2_D06_042_2018_2 -               33     874      24     869      17     871    1490    +    1.1e-222  739.8  16.4  -
Vibrionaceae_Photobacterium                      -          LKAP-TSAKG2_D06_042_2018_2 -               33     893      24     869      14     871    1487    +    2.4e-222  738.7  16.8  -
Burkholderiaceae_Burkholderia                    -          LKAP-TSAKG2_D06_042_2018_2 -               41     885      25     869      14     871    1502    +    3.1e-222  738.5  16.6  -
Chromatiaceae_Rheinheimera                       -          LKAP-TSAKG2_D06_042_2018_2 -               40     872      24     869      14     871    1472    +    3.3e-222  738.4  16.8  -
Burkholderiaceae_Caballeronia                    -          LKAP-TSAKG2_D06_042_2018_2 -               72     885      58     869      37     871    1479    +    5.2e-222  737.9  16.6  -
Oxalobacteraceae_Undibacterium                   -          LKAP-TSAKG2_D06_042_2018_2 -               28     872      23     869      12     871    1442    +    2.4e-221  735.7  17.0  -
Lysobacteraceae_Silanimonas                      -          LKAP-TSAKG2_D06_042_2018_2 -               83     891      59     863      39     871    1493    +    3.1e-221  735.2  16.9  -
Neisseriaceae_Neisseria                          -          LKAP-TSAKG2_D06_042_2018_2 -               47     897      24     869      12     871    1475    +    3.8e-221  735.0  16.9  -
Alteromonadaceae_Glaciecola                      -          LKAP-TSAKG2_D06_042_2018_2 -               53     896      24     870      17     871    1474    +    3.8e-221  734.7  17.4  -
Alcaligenaceae_Advenella                         -          LKAP-TSAKG2_D06_042_2018_2 -               13     863      25     869      15     871    1428    +    4.3e-221  734.7  17.0  -
Alcaligenaceae_Pusillimonas                      -          LKAP-TSAKG2_D06_042_2018_2 -                6     858      23     869      19     871    1446    +    4.6e-221  734.7  17.1  -
Methylophilaceae_Methylobacillus                 -          LKAP-TSAKG2_D06_042_2018_2 -               12     864      22     869      13     871    1416    +    5.1e-221  734.7  17.1  -
Moritellaceae_Paramoritella                      -          LKAP-TSAKG2_D06_042_2018_2 -               33     882      24     870      13     871    1512    +    5.3e-221  734.2  16.8  -
Nevskiaceae_Nevskia                              -          LKAP-TSAKG2_D06_042_2018_2 -               62     865      62     864      41     871    1451    +    6.2e-221  734.5  16.8  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-TSAKG2_D06_042_2018_2 -               32     883      23     870      14     871    1464    +    6.5e-221  733.9  16.9  -
Alcaligenaceae_Paenalcaligenes                   -          LKAP-TSAKG2_D06_042_2018_2 -               33     882      24     869      12     871    1432    +    2.1e-220  732.6  16.2  -
Burkholderiaceae_Ralstonia                       -          LKAP-TSAKG2_D06_042_2018_2 -               25     872      24     869      11     871    1446    +    5.8e-220  731.2  16.6  -
Piscirickettsiaceae_Hydrogenovibrio              -          LKAP-TSAKG2_D06_042_2018_2 -               33     898      24     869      18     871    1465    +      6e-220  730.8  17.0  -
Chromobacteriaceae_Chromobacterium               -          LKAP-TSAKG2_D06_042_2018_2 -               50     895      23     870       9     871    1469    +      8e-220  730.6  17.2  -
Colwelliaceae_Thalassomonas                      -          LKAP-TSAKG2_D06_042_2018_2 -               33     882      24     870      13     871    1462    +    1.3e-219  729.8  16.8  -
Thiotrichales_Caedibacter                        -          LKAP-TSAKG2_D06_042_2018_2 -               53     863      24     870      17     871    1500    +    1.6e-219  729.2  17.7  -
Alcaligenaceae_Pelistega                         -          LKAP-TSAKG2_D06_042_2018_2 -               40     890      24     869      14     871    1472    +    6.3e-219  727.7  16.8  -
Alteromonadaceae_Aliagarivorans                  -          LKAP-TSAKG2_D06_042_2018_2 -               26     890      24     870      14     871    1462    +    6.5e-219  727.6  16.9  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-TSAKG2_D06_042_2018_2 -               50     904      22     870       8     871    1506    +      9e-219  726.9  16.6  -
Alcaligenaceae_Castellaniella                    -          LKAP-TSAKG2_D06_042_2018_2 -               26     878      24     869       9     871    1464    +      1e-218  726.9  16.9  -
Alteromonadaceae_Alishewanella                   -          LKAP-TSAKG2_D06_042_2018_2 -               63     874      61     869      41     871    1426    +    1.9e-218  726.0  16.9  -
Francisellaceae_Allofrancisella                  -          LKAP-TSAKG2_D06_042_2018_2 -               33     877      24     870      13     871    1452    +      2e-218  725.9  17.0  -
Neisseriaceae_Vitreoscilla                       -          LKAP-TSAKG2_D06_042_2018_2 -               27     863      25     866      16     871    1457    +    2.3e-218  725.7  16.6  -
Lysobacteraceae_Pseudoxanthomonas                -          LKAP-TSAKG2_D06_042_2018_2 -               36     882      24     863      15     871    1484    +    5.8e-218  724.3  16.8  -
Lysobacteraceae_Thermomonas                      -          LKAP-TSAKG2_D06_042_2018_2 -               33     877      24     863      17     871    1488    +    8.4e-218  723.9  17.0  -
Lysobacteraceae_Vulcaniibacterium                -          LKAP-TSAKG2_D06_042_2018_2 -               60     904      24     863      17     871    1549    +    1.3e-217  723.2  17.0  -
Kangiellaceae_Marinicella                        -          LKAP-TSAKG2_D06_042_2018_2 -               53     906      24     870      17     871    1529    +    1.3e-217  723.4  16.9  -
Aeromonadaceae_Oceanimonas                       -          LKAP-TSAKG2_D06_042_2018_2 -               30     883      24     870      14     871    1483    +    1.4e-217  722.9  16.8  -
Idiomarinaceae_Pseudidiomarina                   -          LKAP-TSAKG2_D06_042_2018_2 -               33     885      24     870      17     871    1499    +    2.1e-217  722.3  16.9  -
Oxalobacteraceae_Oxalicibacterium                -          LKAP-TSAKG2_D06_042_2018_2 -               33     878      24     869      14     871    1489    +    4.2e-217  721.6  17.0  -
Alcaligenaceae_Candidimonas                      -          LKAP-TSAKG2_D06_042_2018_2 -                5     850      23     869      19     871    1411    +    5.1e-217  721.3  17.0  -
Erwiniaceae_Erwinia                              -          LKAP-TSAKG2_D06_042_2018_2 -               33     884      24     870      16     871    1495    +    5.6e-217  721.2  16.9  -
Alcaligenaceae_Alcaligenes                       -          LKAP-TSAKG2_D06_042_2018_2 -               28     877      24     869       9     871    1469    +    6.2e-217  720.9  16.3  -
Lysobacteraceae_Oleiagrimonas                    -          LKAP-TSAKG2_D06_042_2018_2 -               33     879      24     863      16     871    1469    +    7.2e-217  720.7  16.9  -
Oxalobacteraceae_Glaciimonas                     -          LKAP-TSAKG2_D06_042_2018_2 -               53     898      24     869      14     871    1525    +    1.3e-216  720.0  17.0  -
Zoogloeaceae_Zoogloea                            -          LKAP-TSAKG2_D06_042_2018_2 -               40     886      24     870      13     871    1474    +    1.3e-216  719.8  17.5  -
Aeromonadaceae_Aeromonas                         -          LKAP-TSAKG2_D06_042_2018_2 -               52     905      24     870      17     871    1503    +    1.4e-216  719.5  17.1  -
Oxalobacteraceae_Noviherbaspirillum              -          LKAP-TSAKG2_D06_042_2018_2 -               38     880      25     869      15     871    1464    +    2.5e-216  719.1  16.9  -
Moraxellaceae_Enhydrobacter                      -          LKAP-TSAKG2_D06_042_2018_2 -               33     872      24     867       9     871    1484    +      3e-216  718.4  17.0  -
Piscirickettsiaceae_Thiomicrorhabdus             -          LKAP-TSAKG2_D06_042_2018_2 -               40     895      24     869      13     871    1464    +    3.5e-216  718.3  16.9  -
Celerinatantimonadaceae_Celerinatantimonas       -          LKAP-TSAKG2_D06_042_2018_2 -               28     891      24     870      16     871    1433    +    4.3e-216  718.2  17.0  -
Neisseriaceae_Alysiella                          -          LKAP-TSAKG2_D06_042_2018_2 -               57     905      24     869      13     871    1524    +    4.7e-216  718.0  17.2  -
Alteromonadaceae_Salinimonas                     -          LKAP-TSAKG2_D06_042_2018_2 -               33     880      24     870      17     871    1459    +      5e-216  718.0  17.0  -
Alcaligenaceae_Derxia                            -          LKAP-TSAKG2_D06_042_2018_2 -               79     893      57     869      37     871    1481    +    8.1e-216  717.4  17.2  -
Alcaligenaceae_Kerstersia                        -          LKAP-TSAKG2_D06_042_2018_2 -               22     869      24     869      11     871    1414    +    8.8e-216  717.4  16.4  -
Oxalobacteraceae_Oxalobacter                     -          LKAP-TSAKG2_D06_042_2018_2 -               48     893      24     869      14     871    1524    +    1.8e-215  716.3  17.0  -
Psychromonadaceae_Psychromonas                   -          LKAP-TSAKG2_D06_042_2018_2 -               33     884      24     870      13     871    1467    +    1.8e-215  716.1  16.8  -
Enterobacteriaceae_Kosakonia                     -          LKAP-TSAKG2_D06_042_2018_2 -               13     862      24     870      15     871    1422    +    2.7e-215  715.2  16.7  -
Burkholderiaceae_Chitinimonas                    -          LKAP-TSAKG2_D06_042_2018_2 -               50     890      25     869      13     871    1494    +    3.8e-215  715.1  17.0  -
Vibrionaceae_Aliivibrio                          -          LKAP-TSAKG2_D06_042_2018_2 -               57     907      24     869      13     871    1474    +    3.9e-215  715.2  16.9  -
Rhodocyclaceae_Azoarcus                          -          LKAP-TSAKG2_D06_042_2018_2 -               34     879      25     870      13     871    1471    +    5.7e-215  714.4  16.7  -
