# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_B06_046_2018_2 -               28     977      20     966       7     966    1491    +           0 1208.7  18.5  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_B06_046_2018_2 -               20     962      20     965       7     966    1446    +           0 1079.1  18.6  -
Halomonadaceae_Kushneria                         -          LKAP-TSAKG2_B06_046_2018_2 -               32     982      20     965       7     966    1461    +    2.5e-280  931.0  18.5  -
Alcanivoracaceae_Alcanivorax                     -          LKAP-TSAKG2_B06_046_2018_2 -               48     997      20     963       8     965    1505    +    3.9e-279  927.1  18.9  -
Hahellaceae_Endozoicomonas                       -          LKAP-TSAKG2_B06_046_2018_2 -               48     991      20     955       8     964    1524    +    2.4e-278  924.7  18.9  -
Oceanospirillaceae_Neptunomonas                  -          LKAP-TSAKG2_B06_046_2018_2 -               28     977      20     962       8     966    1484    +    3.4e-278  924.0  18.7  -
Hahellaceae_Hahella                              -          LKAP-TSAKG2_B06_046_2018_2 -               55     997      20     958       7     965    1539    +    4.9e-278  923.6  19.0  -
Oceanospirillaceae_Reinekea                      -          LKAP-TSAKG2_B06_046_2018_2 -               38     964      20     948       7     963    1512    +    1.2e-277  922.2  19.2  -
Kangiellaceae_Kangiella                          -          LKAP-TSAKG2_B06_046_2018_2 -               36     984      20     958       8     965    1478    +    1.5e-277  921.9  18.8  -
Cellvibrionaceae_Simiduia                        -          LKAP-TSAKG2_B06_046_2018_2 -               28     975      20     962       8     965    1463    +    8.5e-277  919.4  18.9  -
Saccharospirillaceae_Saccharospirillum           -          LKAP-TSAKG2_B06_046_2018_2 -               29     955      20     948       6     964    1459    +    3.1e-276  917.7  19.1  -
Halomonadaceae_Larsenimonas                      -          LKAP-TSAKG2_B06_046_2018_2 -               49     989      20     955       7     965    1495    +    3.3e-276  917.5  18.9  -
Methylococcaceae_Methylomicrobium                -          LKAP-TSAKG2_B06_046_2018_2 -               48     992      20     965       7     966    1467    +    7.2e-275  913.0  18.7  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-TSAKG2_B06_046_2018_2 -               28     977      20     963       9     966    1462    +    8.4e-275  912.9  18.7  -
Methylococcaceae_Methylomonas                    -          LKAP-TSAKG2_B06_046_2018_2 -               47     990      20     965       8     966    1475    +    1.1e-274  912.5  18.5  -
Oceanospirillaceae_Nitrincola                    -          LKAP-TSAKG2_B06_046_2018_2 -               32     976      14     957       4     965    1477    +    1.5e-274  911.9  18.8  -
Methylococcaceae_Methylobacter                   -          LKAP-TSAKG2_B06_046_2018_2 -               48     992      20     965       8     966    1500    +      1e-273  909.1  18.6  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          LKAP-TSAKG2_B06_046_2018_2 -               27     975      19     955       6     964    1472    +    2.2e-273  908.0  18.9  -
Moraxellaceae_Alkanindiges                       -          LKAP-TSAKG2_B06_046_2018_2 -               15     962      20     965      10     966    1396    +    9.6e-273  906.1  18.3  -
Halieaceae_Haliea                                -          LKAP-TSAKG2_B06_046_2018_2 -               48     991      20     962       9     965    1500    +    1.1e-272  905.8  19.2  -
Thiotrichaceae_Leucothrix                        -          LKAP-TSAKG2_B06_046_2018_2 -               14     970      13     964       6     966    1445    +    1.6e-272  905.0  18.6  -
Gammaproteobacteria_Thiohalomonas                -          LKAP-TSAKG2_B06_046_2018_2 -               21     964      20     954       8     964    1483    +    2.3e-272  904.5  18.9  -
Chromobacteriaceae_Aquaspirillum                 -          LKAP-TSAKG2_B06_046_2018_2 -               42     993      15     965       6     966    1488    +    1.7e-271  902.0  18.6  -
Oceanospirillaceae_Thalassolituus                -          LKAP-TSAKG2_B06_046_2018_2 -               27     975      14     955       5     964    1476    +    8.7e-271  899.4  19.0  -
Shewanellaceae_Shewanella                        -          LKAP-TSAKG2_B06_046_2018_2 -               28     981      20     964       6     966    1483    +    1.3e-270  898.9  18.7  -
Pseudomonadaceae_Azomonas                        -          LKAP-TSAKG2_B06_046_2018_2 -                7     957      17     960      12     965    1453    +    1.3e-270  898.9  18.6  -
Oceanospirillaceae_Neptuniibacter                -          LKAP-TSAKG2_B06_046_2018_2 -               54     995      19     955       6     964    1541    +    1.7e-270  898.3  19.0  -
Spongiibacteraceae_Spongiibacter                 -          LKAP-TSAKG2_B06_046_2018_2 -               31     966      20     956       7     965    1441    +    2.1e-270  898.1  18.8  -
Granulosicoccaceae_Granulosicoccus               -          LKAP-TSAKG2_B06_046_2018_2 -               28     971      20     955       8     964    1471    +    2.6e-270  898.1  18.9  -
Pseudomonadaceae_Azotobacter                     -          LKAP-TSAKG2_B06_046_2018_2 -               35     972      20     956       7     965    1473    +    4.1e-270  897.5  18.7  -
Cellvibrionaceae_Cellvibrio                      -          LKAP-TSAKG2_B06_046_2018_2 -               48     988      20     960       8     965    1505    +    5.7e-270  896.9  18.8  -
Idiomarinaceae_Aliidiomarina                     -          LKAP-TSAKG2_B06_046_2018_2 -                4     952      21     963      18     965    1410    +    1.2e-269  895.6  18.9  -
Gammaproteobacteria_Sedimenticola                -          LKAP-TSAKG2_B06_046_2018_2 -               41     988      19     954       5     963    1540    +    6.7e-269  893.3  19.0  -
Ectothiorhodospiraceae_Thiohalospira             -          LKAP-TSAKG2_B06_046_2018_2 -                2     931      32     955      31     964    1318    +    8.8e-269  893.0  18.6  -
Methylococcaceae_Methylosarcina                  -          LKAP-TSAKG2_B06_046_2018_2 -               42     986      20     965       8     966    1515    +    8.2e-268  889.5  18.6  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          LKAP-TSAKG2_B06_046_2018_2 -               19     958      20     955       8     964    1438    +    1.1e-267  889.1  18.8  -
Thiotrichaceae_Thiothrix                         -          LKAP-TSAKG2_B06_046_2018_2 -               27     932      19     965       6     966    1417    +    1.9e-267  888.4  19.2  -
Halieaceae_Parahaliea                            -          LKAP-TSAKG2_B06_046_2018_2 -               28     971      20     963       9     965    1498    +    8.1e-267  886.4  19.0  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_B06_046_2018_2 -               21     971      20     955       9     963    1494    +    3.1e-266  884.4  19.1  -
Legionellaceae_Legionella                        -          LKAP-TSAKG2_B06_046_2018_2 -               24     969      20     956       6     965    1446    +    3.8e-266  884.3  18.9  -
Idiomarinaceae_Idiomarina                        -          LKAP-TSAKG2_B06_046_2018_2 -               33     976      20     955       7     965    1471    +    3.9e-266  883.9  18.9  -
Chromatiaceae_Thiorhodococcus                    -          LKAP-TSAKG2_B06_046_2018_2 -               39     941      62     964      40     966    1426    +    3.1e-265  881.2  18.8  -
Methylococcaceae_Methylocaldum                   -          LKAP-TSAKG2_B06_046_2018_2 -               48    1000      20     966       8     966    1491    +    9.2e-265  879.8  18.6  -
Thioalkalispiraceae_Thioprofundum                -          LKAP-TSAKG2_B06_046_2018_2 -               44    1001      20     964       9     966    1537    +    1.3e-264  879.3  18.5  -
Colwelliaceae_Thalassotalea                      -          LKAP-TSAKG2_B06_046_2018_2 -               28     977      20     964       7     966    1463    +    1.4e-264  879.1  18.7  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-TSAKG2_B06_046_2018_2 -               27     981      19     956       6     965    1475    +    2.8e-264  877.7  18.9  -
Hahellaceae_Kistimonas                           -          LKAP-TSAKG2_B06_046_2018_2 -               48     989      20     955       9     964    1506    +    3.9e-264  877.5  18.9  -
Hahellaceae_Allohahella                          -          LKAP-TSAKG2_B06_046_2018_2 -               38     982      12     955       3     965    1485    +    6.2e-264  877.0  19.1  -
Gammaproteobacteria_Alkalimonas                  -          LKAP-TSAKG2_B06_046_2018_2 -               46     988      20     957       8     965    1502    +      7e-264  876.6  18.7  -
Halieaceae_Halioglobus                           -          LKAP-TSAKG2_B06_046_2018_2 -               29     965      20     958       9     965    1433    +    7.6e-264  876.6  18.7  -
Alteromonadaceae_Catenovulum                     -          LKAP-TSAKG2_B06_046_2018_2 -               27     961      19     954       6     964    1451    +    8.6e-264  876.2  19.3  -
Oceanospirillaceae_Oleispira                     -          LKAP-TSAKG2_B06_046_2018_2 -               48     988      20     955       7     963    1500    +    1.5e-263  875.6  19.0  -
Alteromonadaceae_Agarivorans                     -          LKAP-TSAKG2_B06_046_2018_2 -               35     986      20     964       8     965    1454    +    1.8e-263  875.3  18.9  -
Piscirickettsiaceae_Methylophaga                 -          LKAP-TSAKG2_B06_046_2018_2 -               27     970      20     961       8     965    1487    +    4.3e-263  873.9  18.9  -
Chromatiaceae_Thiohalocapsa                      -          LKAP-TSAKG2_B06_046_2018_2 -               38     970      20     955       9     964    1436    +      5e-263  874.1  18.9  -
Ectothiorhodospiraceae_Alkalilimnicola           -          LKAP-TSAKG2_B06_046_2018_2 -               42     980      20     955       9     965    1472    +    6.2e-263  873.7  18.9  -
Spongiibacteraceae_Zhongshania                   -          LKAP-TSAKG2_B06_046_2018_2 -               48     992      20     963       7     966    1501    +    7.6e-263  873.1  18.9  -
Hahellaceae_Zooshikella                          -          LKAP-TSAKG2_B06_046_2018_2 -               22     967      16     955       5     964    1483    +    1.8e-262  872.0  19.0  -
Cellvibrionaceae_Marinimicrobium                 -          LKAP-TSAKG2_B06_046_2018_2 -               28     970      20     963       9     965    1455    +    2.1e-262  871.7  18.9  -
Chromatiaceae_Thiophaeococcus                    -          LKAP-TSAKG2_B06_046_2018_2 -               18     959      19     966       7     966    1440    +    2.1e-262  871.9  18.4  -
Cardiobacteriaceae_Suttonella                    -          LKAP-TSAKG2_B06_046_2018_2 -               29     972      20     958       8     965    1486    +    2.5e-262  871.8  18.9  -
Chromatiaceae_Halochromatium                     -          LKAP-TSAKG2_B06_046_2018_2 -               28     963      20     960       9     965    1451    +    3.6e-262  871.3  18.7  -
Oceanospirillales_Salicola                       -          LKAP-TSAKG2_B06_046_2018_2 -               48     979      20     955       9     963    1492    +    3.6e-262  870.9  19.3  -
Cellvibrionaceae_Eionea                          -          LKAP-TSAKG2_B06_046_2018_2 -               30     973      20     963       8     965    1469    +    8.4e-262  869.7  18.3  -
Colwelliaceae_Colwellia                          -          LKAP-TSAKG2_B06_046_2018_2 -               28     976      20     961       7     965    1485    +    1.2e-261  869.3  18.9  -
Methylococcaceae_Methylovulum                    -          LKAP-TSAKG2_B06_046_2018_2 -               47     987      20     964       8     966    1492    +    1.9e-261  868.6  18.6  -
Cellvibrionaceae_Gilvimarinus                    -          LKAP-TSAKG2_B06_046_2018_2 -               19     960      16     956       5     965    1445    +      3e-261  867.9  18.9  -
Cellvibrionaceae_Umboniibacter                   -          LKAP-TSAKG2_B06_046_2018_2 -               40     976      20     958       9     965    1507    +    3.6e-261  867.8  18.9  -
Moraxellaceae_Paraperlucidibaca                  -          LKAP-TSAKG2_B06_046_2018_2 -               28     974      20     965       7     966    1460    +    6.7e-261  866.7  18.2  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-TSAKG2_B06_046_2018_2 -               28     971      20     962       7     965    1461    +    1.1e-260  865.9  18.7  -
Chromatiaceae_Thiodictyon                        -          LKAP-TSAKG2_B06_046_2018_2 -               30     971      20     966       9     966    1500    +    1.2e-260  866.2  18.8  -
Pseudoalteromonadaceae_Algicola                  -          LKAP-TSAKG2_B06_046_2018_2 -               43     989      20     961       9     964    1490    +    2.7e-260  864.7  18.9  -
Chromatiaceae_Thiocystis                         -          LKAP-TSAKG2_B06_046_2018_2 -               28     967      20     966      10     966    1451    +    9.2e-259  859.9  18.4  -
Ectothiorhodospiraceae_Spiribacter               -          LKAP-TSAKG2_B06_046_2018_2 -               58     995      20     955       9     964    1544    +    1.2e-258  859.4  19.0  -
Ectothiorhodospiraceae_Aquisalimonas             -          LKAP-TSAKG2_B06_046_2018_2 -               49     987      20     955       9     964    1464    +    2.2e-258  858.5  19.3  -
Salinisphaeraceae_Salinisphaera                  -          LKAP-TSAKG2_B06_046_2018_2 -               16     964      20     964       9     966    1429    +    3.2e-258  858.0  18.8  -
Alteromonadaceae_Paraglaciecola                  -          LKAP-TSAKG2_B06_046_2018_2 -               38     980      20     963       7     965    1495    +    4.8e-258  857.0  19.1  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          LKAP-TSAKG2_B06_046_2018_2 -               45     990      20     965       7     966    1490    +    6.4e-258  857.0  18.8  -
Arenicellaceae_Arenicella                        -          LKAP-TSAKG2_B06_046_2018_2 -               36     983      20     966       8     966    1506    +    6.5e-258  857.1  18.3  -
Vibrionaceae_Vibrio                              -          LKAP-TSAKG2_B06_046_2018_2 -               28     989      20     964       7     966    1466    +    1.2e-257  856.0  18.7  -
Lysobacteraceae_Luteimonas                       -          LKAP-TSAKG2_B06_046_2018_2 -               32     984      19     963       6     966    1490    +    1.5e-257  855.6  18.7  -
Pseudoalteromonadaceae_Psychrosphaera            -          LKAP-TSAKG2_B06_046_2018_2 -               32     974      20     964       8     965    1450    +    1.8e-257  855.4  19.0  -
Chromatiaceae_Imhoffiella                        -          LKAP-TSAKG2_B06_046_2018_2 -               31     965      16     955       6     964    1484    +    5.1e-257  854.1  19.1  -
Chromatiaceae_Marichromatium                     -          LKAP-TSAKG2_B06_046_2018_2 -               38     966      20     955       9     964    1440    +    5.2e-257  854.2  19.2  -
Chromatiaceae_Thiocapsa                          -          LKAP-TSAKG2_B06_046_2018_2 -               44     982      20     965       9     966    1459    +    5.8e-257  854.0  18.7  -
Halothiobacillaceae_Halothiobacillus             -          LKAP-TSAKG2_B06_046_2018_2 -               48     991      20     955       8     964    1505    +    8.4e-257  853.3  18.9  -
Aeromonadaceae_Zobellella                        -          LKAP-TSAKG2_B06_046_2018_2 -               35     985      20     963       9     965    1478    +      1e-256  852.7  18.8  -
Alteromonadaceae_Bowmanella                      -          LKAP-TSAKG2_B06_046_2018_2 -               46     990      20     963       9     965    1496    +    1.4e-256  852.4  19.1  -
Chromatiaceae_Lamprocystis                       -          LKAP-TSAKG2_B06_046_2018_2 -               53     993      20     965       9     966    1406    +    1.7e-256  852.4  18.6  -
Chromatiaceae_Allochromatium                     -          LKAP-TSAKG2_B06_046_2018_2 -               19     969      13     957       4     965    1462    +    1.9e-256  852.1  19.0  -
Thiotrichaceae_Beggiatoa                         -          LKAP-TSAKG2_B06_046_2018_2 -               47     988      19     966       5     966    1491    +    2.3e-256  852.1  18.7  -
Moritellaceae_Moritella                          -          LKAP-TSAKG2_B06_046_2018_2 -               48    1001      20     964       7     966    1506    +    2.4e-256  851.6  18.7  -
Piscirickettsiaceae_Thiomicrospira               -          LKAP-TSAKG2_B06_046_2018_2 -               32     981      20     963       8     965    1466    +    2.5e-256  851.6  18.8  -
Vibrionaceae_Photobacterium                      -          LKAP-TSAKG2_B06_046_2018_2 -               28     988      20     963       7     966    1487    +    3.5e-255  847.7  18.7  -
Cellvibrionaceae_Pseudomaricurvus                -          LKAP-TSAKG2_B06_046_2018_2 -               28     961      20     955       8     964    1490    +    7.7e-255  846.5  18.3  -
Nevskiaceae_Steroidobacter                       -          LKAP-TSAKG2_B06_046_2018_2 -               34     984      20     966       9     966    1500    +    9.6e-255  846.6  18.7  -
Alteromonadaceae_Glaciecola                      -          LKAP-TSAKG2_B06_046_2018_2 -               48     987      20     960       8     965    1474    +      1e-254  846.2  19.3  -
Litoricolaceae_Litoricola                        -          LKAP-TSAKG2_B06_046_2018_2 -               39     988      20     962       8     965    1483    +    1.3e-254  846.1  18.8  -
Chromatiaceae_Rheinheimera                       -          LKAP-TSAKG2_B06_046_2018_2 -               35     966      20     962       7     965    1472    +    1.7e-254  845.5  18.8  -
Cardiobacteriaceae_Cardiobacterium               -          LKAP-TSAKG2_B06_046_2018_2 -               14     956      20     961      10     965    1493    +    1.8e-254  845.6  19.1  -
Lysobacteraceae_Lysobacter                       -          LKAP-TSAKG2_B06_046_2018_2 -               30     983      20     964       6     966    1475    +    3.6e-254  844.5  18.7  -
Burkholderiaceae_Paraburkholderia                -          LKAP-TSAKG2_B06_046_2018_2 -               23     973      16     965       7     966    1472    +    4.4e-254  844.3  18.4  -
Moritellaceae_Paramoritella                      -          LKAP-TSAKG2_B06_046_2018_2 -               28     968      20     955       6     964    1512    +    5.3e-254  843.7  18.9  -
Lysobacteraceae_Arenimonas                       -          LKAP-TSAKG2_B06_046_2018_2 -               32     985      20     965       7     966    1490    +    1.2e-253  842.8  18.7  -
Nevskiaceae_Nevskia                              -          LKAP-TSAKG2_B06_046_2018_2 -               33     968      20     965       9     966    1451    +    2.9e-253  841.8  18.3  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-TSAKG2_B06_046_2018_2 -               28     970      20     956       7     964    1464    +    4.6e-253  840.7  19.0  -
Aeromonadaceae_Aeromonas                         -          LKAP-TSAKG2_B06_046_2018_2 -               47    1002      20     966       8     966    1503    +    5.3e-253  840.4  18.5  -
Ectothiorhodospiraceae_Halorhodospira            -          LKAP-TSAKG2_B06_046_2018_2 -               48     992      20     955      10     965    1479    +      6e-253  840.7  18.7  -
Burkholderiaceae_Pandoraea                       -          LKAP-TSAKG2_B06_046_2018_2 -               21     975      14     965       7     966    1456    +    9.6e-253  839.9  18.2  -
Burkholderiaceae_Limnobacter                     -          LKAP-TSAKG2_B06_046_2018_2 -               42     983      15     955       8     964    1524    +      1e-252  839.8  18.9  -
Ectothiorhodospiraceae_Arhodomonas               -          LKAP-TSAKG2_B06_046_2018_2 -               32     969      20     955       9     964    1487    +    1.8e-252  839.1  19.2  -
Neisseriaceae_Neisseria                          -          LKAP-TSAKG2_B06_046_2018_2 -               42     994      20     965       7     966    1475    +    1.9e-252  838.9  18.5  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-TSAKG2_B06_046_2018_2 -               47     996      19     961       5     965    1506    +      2e-252  838.6  18.7  -
Alteromonadaceae_Aliagarivorans                  -          LKAP-TSAKG2_B06_046_2018_2 -               21     980      20     959       7     965    1462    +      3e-252  838.3  19.0  -
Methylophilaceae_Methylobacillus                 -          LKAP-TSAKG2_B06_046_2018_2 -                6     951      16     955      12     963    1416    +    4.6e-252  837.7  19.1  -
Colwelliaceae_Thalassomonas                      -          LKAP-TSAKG2_B06_046_2018_2 -               28     969      20     956       7     965    1462    +    6.7e-252  836.9  18.8  -
Erwiniaceae_Erwinia                              -          LKAP-TSAKG2_B06_046_2018_2 -               28     978      20     963       8     966    1495    +    7.3e-252  836.9  18.6  -
Alcaligenaceae_Advenella                         -          LKAP-TSAKG2_B06_046_2018_2 -                6     961      19     966      14     966    1428    +    1.8e-251  835.5  18.4  -
Aeromonadaceae_Oceanimonas                       -          LKAP-TSAKG2_B06_046_2018_2 -               25     977      20     963       7     965    1483    +    3.8e-251  834.3  18.9  -
Chromobacteriaceae_Chromobacterium               -          LKAP-TSAKG2_B06_046_2018_2 -               41     990      16     964       5     966    1469    +    4.9e-251  834.2  19.1  -
Burkholderiaceae_Burkholderia                    -          LKAP-TSAKG2_B06_046_2018_2 -               29     982      15     965       7     966    1502    +    5.6e-251  833.9  18.4  -
Oxalobacteraceae_Undibacterium                   -          LKAP-TSAKG2_B06_046_2018_2 -               23     970      19     966       7     966    1442    +    5.9e-251  834.0  18.6  -
Alcaligenaceae_Paenalcaligenes                   -          LKAP-TSAKG2_B06_046_2018_2 -               24     978      17     964       7     966    1432    +    9.4e-251  833.3  18.0  -
Neisseriaceae_Vitreoscilla                       -          LKAP-TSAKG2_B06_046_2018_2 -               17     963      17     965       9     966    1457    +    2.6e-250  831.7  18.0  -
Alteromonadaceae_Alishewanella                   -          LKAP-TSAKG2_B06_046_2018_2 -               36     969      19     963       4     965    1426    +    3.5e-250  831.3  18.9  -
Alcaligenaceae_Pusillimonas                      -          LKAP-TSAKG2_B06_046_2018_2 -                3     955      21     965      19     966    1446    +    4.6e-250  831.0  18.7  -
Burkholderiaceae_Caballeronia                    -          LKAP-TSAKG2_B06_046_2018_2 -               31     971      15     954       8     966    1479    +      8e-250  830.2  18.2  -
Enterobacteriaceae_Cronobacter                   -          LKAP-TSAKG2_B06_046_2018_2 -                6     958      21     966      17     966    1422    +    8.7e-250  830.0  18.6  -
Piscirickettsiaceae_Hydrogenovibrio              -          LKAP-TSAKG2_B06_046_2018_2 -               28     973      20     944       8     964    1465    +      9e-250  829.8  18.9  -
Celerinatantimonadaceae_Celerinatantimonas       -          LKAP-TSAKG2_B06_046_2018_2 -               23     978      20     956       8     964    1433    +    1.3e-249  829.4  19.0  -
Idiomarinaceae_Pseudidiomarina                   -          LKAP-TSAKG2_B06_046_2018_2 -               28     960      20     945       9     964    1499    +    1.5e-249  829.0  18.9  -
Thiotrichales_Caedibacter                        -          LKAP-TSAKG2_B06_046_2018_2 -               48     955      20     961       8     965    1500    +    1.5e-249  828.9  19.6  -
Enterobacteriaceae_Kosakonia                     -          LKAP-TSAKG2_B06_046_2018_2 -                8     956      20     963      14     965    1422    +    2.8e-249  828.0  18.6  -
Lysobacteraceae_Silanimonas                      -          LKAP-TSAKG2_B06_046_2018_2 -               48     985      21     955       6     964    1493    +    4.1e-249  827.8  19.0  -
Alcaligenaceae_Castellaniella                    -          LKAP-TSAKG2_B06_046_2018_2 -               20     976      19     966       5     966    1464    +    5.6e-249  827.3  18.5  -
Enterobacteriaceae_Enterobacter                  -          LKAP-TSAKG2_B06_046_2018_2 -               26     973      20     962       7     965    1476    +    8.8e-249  826.6  18.8  -
Alteromonadaceae_Salinimonas                     -          LKAP-TSAKG2_B06_046_2018_2 -               28     966      20     955       9     964    1459    +    9.6e-249  826.6  18.9  -
Psychromonadaceae_Psychromonas                   -          LKAP-TSAKG2_B06_046_2018_2 -               28     980      20     965       7     966    1467    +    1.1e-248  826.4  18.6  -
Alteromonadaceae_Aestuariibacter                 -          LKAP-TSAKG2_B06_046_2018_2 -               28     963      20     956       7     965    1455    +    2.4e-248  825.2  19.1  -
Pasteurellaceae_Pasteurella                      -          LKAP-TSAKG2_B06_046_2018_2 -               28     979      20     963       8     966    1365    +    2.6e-248  825.2  18.8  -
Aeromonadaceae_Pseudaeromonas                    -          LKAP-TSAKG2_B06_046_2018_2 -               11     963      20     965      12     966    1491    +    2.9e-248  824.8  18.3  -
Vibrionaceae_Aliivibrio                          -          LKAP-TSAKG2_B06_046_2018_2 -               52    1004      20     965       7     966    1474    +    6.3e-248  824.0  18.6  -
Burkholderiaceae_Ralstonia                       -          LKAP-TSAKG2_B06_046_2018_2 -               16     958      17     954       7     962    1446    +    6.4e-248  824.0  18.6  -
Alcaligenaceae_Pelistega                         -          LKAP-TSAKG2_B06_046_2018_2 -               28     983      14     961       6     965    1472    +    8.9e-248  823.4  18.8  -
Yersiniaceae_Serratia                            -          LKAP-TSAKG2_B06_046_2018_2 -               32     982      20     963       8     966    1491    +    9.6e-248  823.1  18.7  -
Francisellaceae_Allofrancisella                  -          LKAP-TSAKG2_B06_046_2018_2 -               28     970      20     962       7     965    1452    +      1e-247  823.2  19.1  -
Lysobacteraceae_Pseudoxanthomonas                -          LKAP-TSAKG2_B06_046_2018_2 -               31     982      20     961       7     965    1484    +    1.1e-247  822.9  18.8  -
Vibrionaceae_Enterovibrio                        -          LKAP-TSAKG2_B06_046_2018_2 -               28     982      20     963       9     966    1499    +    1.4e-247  822.4  18.7  -
Gammaproteobacteria_Plasticicumulans             -          LKAP-TSAKG2_B06_046_2018_2 -               37     982      20     966       8     966    1491    +    1.6e-247  822.5  18.6  -
Lysobacteraceae_Thermomonas                      -          LKAP-TSAKG2_B06_046_2018_2 -               28     980      20     964       9     966    1488    +    1.9e-247  822.3  18.6  -
Piscirickettsiaceae_Thiomicrorhabdus             -          LKAP-TSAKG2_B06_046_2018_2 -               34     989      19     962       6     965    1464    +    2.2e-247  821.8  18.8  -
Alteromonadaceae_Aliiglaciecola                  -          LKAP-TSAKG2_B06_046_2018_2 -               14     950      20     955      10     964    1440    +    2.7e-247  821.5  19.0  -
Lysobacteraceae_Oleiagrimonas                    -          LKAP-TSAKG2_B06_046_2018_2 -               28     981      20     963       7     965    1469    +    4.7e-247  820.9  18.8  -
Oxalobacteraceae_Oxalicibacterium                -          LKAP-TSAKG2_B06_046_2018_2 -               22     976      15     966       8     966    1489    +      1e-246  819.9  18.5  -
Kangiellaceae_Marinicella                        -          LKAP-TSAKG2_B06_046_2018_2 -               48     992      20     955      10     964    1529    +    1.2e-246  819.8  18.8  -
Pectobacteriaceae_Pectobacterium                 -          LKAP-TSAKG2_B06_046_2018_2 -               36     987      20     964       8     966    1499    +    1.3e-246  819.5  18.5  -
Enterobacteriaceae_Citrobacter                   -          LKAP-TSAKG2_B06_046_2018_2 -               43     992      20     962       8     965    1517    +    1.4e-246  819.3  18.7  -
Alcaligenaceae_Candidimonas                      -          LKAP-TSAKG2_B06_046_2018_2 -                3     948      21     966      19     966    1411    +    1.6e-246  819.3  18.5  -
