# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Planococcus                       -          LKAP-TSAKG2_C04_028_2018_2 -               39     845      21     826       4     828    1492    +           0 1042.7  20.5  -
Planococcaceae_Planomicrobium                    -          LKAP-TSAKG2_C04_028_2018_2 -               18     835      13     826       4     828    1485    +    9.5e-308 1022.0  20.6  -
Peptococcaceae_Pelotomaculum                     -          LKAP-TSAKG2_C04_028_2018_2 -               14     809       9     823       3     828    1467    +    4.1e-202  671.5  22.6  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-TSAKG2_C04_028_2018_2 -               23     836       9     814       4     823    1521    +    4.9e-202  671.5  22.1  -
Selenomonadaceae_Selenomonas                     -          LKAP-TSAKG2_C04_028_2018_2 -               35     867       9     826       4     828    1508    +    6.7e-202  670.9  21.2  -
Leuconostocaceae_Leuconostoc                     -          LKAP-TSAKG2_C04_028_2018_2 -               20     828      20     826       5     827    1477    +    2.5e-201  669.3  20.6  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-TSAKG2_C04_028_2018_2 -               31     840      19     822       3     828    1493    +    7.3e-201  667.7  21.4  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-TSAKG2_C04_028_2018_2 -               31     862       9     822       3     828    1529    +    1.8e-200  666.1  21.4  -
Bacillaceae_Aureibacillus                        -          LKAP-TSAKG2_C04_028_2018_2 -               48     862      20     826       3     828    1517    +      2e-200  666.0  20.2  -
Erysipelotrichaceae_Breznakia                    -          LKAP-TSAKG2_C04_028_2018_2 -               34     855      21     815       4     823    1508    +    4.5e-200  664.9  20.5  -
Clostridiaceae_Alkaliphilus                      -          LKAP-TSAKG2_C04_028_2018_2 -               14     803       9     809       3     822    1465    +    5.5e-200  664.3  23.2  -
Bacillaceae_Cerasibacillus                       -          LKAP-TSAKG2_C04_028_2018_2 -               32     853      21     825       3     828    1484    +      7e-200  664.2  20.5  -
Clostridiales_Carboxydocella                     -          LKAP-TSAKG2_C04_028_2018_2 -                5     820       9     809       5     826    1458    +    1.2e-199  663.5  21.3  -
Bacillaceae_Melghiribacillus                     -          LKAP-TSAKG2_C04_028_2018_2 -               38     858      21     825       3     828    1552    +    1.9e-199  662.8  20.8  -
Clostridiaceae_Caloramator                       -          LKAP-TSAKG2_C04_028_2018_2 -               27     788      21     809       4     823    1453    +    2.1e-199  662.8  22.2  -
Ruminococcaceae_Ruminococcus                     -          LKAP-TSAKG2_C04_028_2018_2 -               16     790      20     811       8     826    1394    +    3.4e-199  662.0  22.3  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-TSAKG2_C04_028_2018_2 -               21     803      21     814      10     823    1465    +    6.2e-199  661.5  20.8  -
Bacillaceae_Natronobacillus                      -          LKAP-TSAKG2_C04_028_2018_2 -               55     878      20     826       3     828    1473    +    1.1e-198  660.3  20.6  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_C04_028_2018_2 -               22     822      21     820       4     828    1494    +    2.3e-198  659.2  21.1  -
Bacillaceae_Allobacillus                         -          LKAP-TSAKG2_C04_028_2018_2 -               37     828      37     825      17     828    1431    +    2.9e-198  658.7  19.6  -
Bacillaceae_Filobacillus                         -          LKAP-TSAKG2_C04_028_2018_2 -               22     839      21     823       4     828    1491    +    4.3e-198  658.1  20.6  -
Ruminococcaceae_Acetivibrio                      -          LKAP-TSAKG2_C04_028_2018_2 -               28     834       9     818       4     826    1529    +    4.7e-198  658.2  23.0  -
Thermoanaerobacteraceae_Thermoanaerobacter       -          LKAP-TSAKG2_C04_028_2018_2 -               30     810       9     806       3     825    1525    +    2.3e-197  655.6  23.1  -
Leuconostocaceae_Fructobacillus                  -          LKAP-TSAKG2_C04_028_2018_2 -               28     836      20     826       3     828    1485    +    3.5e-197  655.5  20.5  -
Bacillaceae_Aquisalibacillus                     -          LKAP-TSAKG2_C04_028_2018_2 -               52     867      21     823       3     828    1484    +    7.6e-197  654.0  20.4  -
Bacillaceae_Vulcanibacillus                      -          LKAP-TSAKG2_C04_028_2018_2 -               38     847      20     823       3     827    1526    +    8.2e-197  653.9  20.7  -
Carnobacteriaceae_Atopococcus                    -          LKAP-TSAKG2_C04_028_2018_2 -               57     830      56     826      26     828    1500    +    2.5e-196  652.3  19.8  -
Peptococcaceae_Sporotomaculum                    -          LKAP-TSAKG2_C04_028_2018_2 -              156     888      58     817      38     826    1510    +    6.5e-196  651.2  21.1  -
Geobacteraceae_Geobacter                         -          LKAP-TSAKG2_C04_028_2018_2 -               14     825       9     810       3     822    1470    +    9.9e-196  650.5  22.1  -
Carnobacteriaceae_Desemzia                       -          LKAP-TSAKG2_C04_028_2018_2 -               34     844      20     826       3     828    1505    +    1.4e-195  649.7  20.7  -
Bacillaceae_Saliterribacillus                    -          LKAP-TSAKG2_C04_028_2018_2 -               49     876      21     826       3     828    1472    +    2.8e-195  648.9  20.4  -
Staphylococcaceae_Auricoccus                     -          LKAP-TSAKG2_C04_028_2018_2 -               53     865      20     826       3     828    1507    +    3.6e-195  648.6  20.9  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-TSAKG2_C04_028_2018_2 -               52     821      21     805       6     819    1516    +    4.3e-195  648.8  21.8  -
Sporomusaceae_Sporomusa                          -          LKAP-TSAKG2_C04_028_2018_2 -               33     853       9     822       3     828    1532    +    4.7e-195  648.1  21.7  -
Erysipelotrichaceae_Erysipelothrix               -          LKAP-TSAKG2_C04_028_2018_2 -               35     824      20     808       3     821    1467    +    5.5e-195  648.3  21.1  -
Bacillaceae_Alkalilactibacillus                  -          LKAP-TSAKG2_C04_028_2018_2 -               50     877      22     826       4     828    1567    +    6.5e-195  647.8  20.3  -
Staphylococcaceae_Abyssicoccus                   -          LKAP-TSAKG2_C04_028_2018_2 -               76     888      20     826       3     828    1576    +      7e-195  647.6  20.9  -
Bacillaceae_Caenibacillus                        -          LKAP-TSAKG2_C04_028_2018_2 -               29     849      21     826       3     828    1490    +    1.2e-194  646.9  20.5  -
Veillonellaceae_Dialister                        -          LKAP-TSAKG2_C04_028_2018_2 -               13     844      10     822       3     828    1502    +    1.5e-194  646.5  21.6  -
Bacillaceae_Streptohalobacillus                  -          LKAP-TSAKG2_C04_028_2018_2 -               25     832      24     826       8     828    1481    +      2e-194  645.9  19.8  -
Bacillaceae_Halalkalibacillus                    -          LKAP-TSAKG2_C04_028_2018_2 -               22     832      21     813       4     827    1492    +    2.3e-194  645.8  21.1  -
Sporomusaceae_Pelosinus                          -          LKAP-TSAKG2_C04_028_2018_2 -               32     849       9     820       3     825    1550    +    3.7e-194  644.7  20.9  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-TSAKG2_C04_028_2018_2 -               14     778      21     817      11     824    1412    +    4.5e-194  645.2  21.7  -
Natranaerobiaceae_Natranaerobius                 -          LKAP-TSAKG2_C04_028_2018_2 -               10     784      25     812      19     824    1424    +    5.4e-194  644.8  21.8  -
Bacillaceae_Tenuibacillus                        -          LKAP-TSAKG2_C04_028_2018_2 -               26     843      21     823       3     828    1479    +    6.4e-194  644.3  20.6  -
Bacillaceae_Sinibacillus                         -          LKAP-TSAKG2_C04_028_2018_2 -               29     852      21     826       4     828    1489    +    1.3e-193  643.5  20.4  -
Clostridiaceae_Natronincola                      -          LKAP-TSAKG2_C04_028_2018_2 -               31     816       9     809       4     820    1489    +      4e-193  641.7  23.3  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-TSAKG2_C04_028_2018_2 -               49     807      21     809       6     824    1510    +    6.1e-193  641.5  22.9  -
Desulfuromonadaceae_Desulfuromonas               -          LKAP-TSAKG2_C04_028_2018_2 -               23     837       9     810       4     823    1512    +    1.2e-192  640.3  22.1  -
Peptococcaceae_Desulfitispora                    -          LKAP-TSAKG2_C04_028_2018_2 -               40     810      60     822      40     828    1479    +    1.5e-192  639.9  20.0  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-TSAKG2_C04_028_2018_2 -               35     857      20     826       3     828    1521    +    2.5e-192  639.3  20.5  -
Sporolactobacillaceae_Terrilactibacillus         -          LKAP-TSAKG2_C04_028_2018_2 -               27     799      49     823      29     827    1456    +    2.5e-192  639.1  19.8  -
Clostridiaceae_Hathewaya                         -          LKAP-TSAKG2_C04_028_2018_2 -               34     809       9     814       4     822    1507    +    4.2e-192  638.5  23.2  -
Carnobacteriaceae_Pisciglobus                    -          LKAP-TSAKG2_C04_028_2018_2 -               25     816      42     826      25     828    1501    +    4.2e-192  638.2  19.7  -
Enterococcaceae_Bavariicoccus                    -          LKAP-TSAKG2_C04_028_2018_2 -               28     845      21     826       3     828    1470    +      7e-192  637.5  20.7  -
Staphylococcaceae_Corticicoccus                  -          LKAP-TSAKG2_C04_028_2018_2 -               20     839      21     826       6     828    1465    +    1.5e-191  636.5  20.0  -
Veillonellaceae_Megasphaera                      -          LKAP-TSAKG2_C04_028_2018_2 -               37     869       9     823       3     828    1528    +    1.5e-191  636.6  21.5  -
Sporolactobacillaceae_Tuberibacillus             -          LKAP-TSAKG2_C04_028_2018_2 -               29     848      21     826       3     828    1486    +    2.6e-191  635.7  20.6  -
Clostridiales_Thermaerobacter                    -          LKAP-TSAKG2_C04_028_2018_2 -               48     855      20     822       4     827    1520    +    2.9e-191  635.7  21.5  -
Thermoanaerobacteraceae_Caldanaerobacter         -          LKAP-TSAKG2_C04_028_2018_2 -               21     813       9     817       3     824    1449    +    4.5e-191  635.2  23.3  -
Desulfuromonadaceae_Pelobacter                   -          LKAP-TSAKG2_C04_028_2018_2 -               33     854       9     820       4     824    1542    +    7.5e-191  634.5  21.6  -
Peptococcaceae_Thermincola                       -          LKAP-TSAKG2_C04_028_2018_2 -               19     813      10     823       3     828    1482    +    1.6e-190  633.2  22.3  -
