# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          F0113_LKAP-FHGF1_B04_030 -               27     836       9     817       2     817    1466    +    8.9e-307 1018.5  23.0  -
Gammaproteobacteria_Gallaecimonas                -          F0113_LKAP-FHGF1_B04_030 -               47     845       9     816       2     817    1506    +    1.4e-242  805.8  22.4  -
Chromatiaceae_Rheinheimera                       -          F0113_LKAP-FHGF1_B04_030 -               34     813       9     815       3     816    1472    +    1.4e-242  805.8  22.3  -
Enterobacteriaceae_Siccibacter                   -          F0113_LKAP-FHGF1_B04_030 -               54     853       9     817       2     817    1451    +    5.7e-242  804.0  22.3  -
Enterobacteriaceae_Mangrovibacter                -          F0113_LKAP-FHGF1_B04_030 -               16     773      60     817      54     817    1368    +      1e-241  803.0  22.3  -
Colwelliaceae_Colwellia                          -          F0113_LKAP-FHGF1_B04_030 -               27     824       9     815       3     817    1485    +    8.1e-241  800.0  22.5  -
Alteromonadaceae_Catenovulum                     -          F0113_LKAP-FHGF1_B04_030 -               27     816       9     815       2     817    1451    +    9.3e-241  799.6  21.9  -
Enterobacteriaceae_Shimwellia                    -          F0113_LKAP-FHGF1_B04_030 -                5     804       9     817       7     817    1422    +    1.2e-240  799.6  22.8  -
Enterobacteriaceae_Raoultella                    -          F0113_LKAP-FHGF1_B04_030 -               25     822       9     817       3     817    1452    +    1.2e-240  799.5  22.7  -
Moritellaceae_Paramoritella                      -          F0113_LKAP-FHGF1_B04_030 -               27     819       9     812       4     817    1512    +    1.2e-239  795.9  22.8  -
Pseudoalteromonadaceae_Algicola                  -          F0113_LKAP-FHGF1_B04_030 -               42     826       9     804       3     816    1490    +      2e-239  795.3  21.7  -
Aeromonadaceae_Oceanisphaera                     -          F0113_LKAP-FHGF1_B04_030 -               24     823       8     815       2     817    1464    +    2.1e-239  795.1  22.3  -
Gammaproteobacteria_Alkalimonas                  -          F0113_LKAP-FHGF1_B04_030 -               45     834       9     809       4     816    1502    +    2.4e-239  795.1  22.4  -
Colwelliaceae_Thalassomonas                      -          F0113_LKAP-FHGF1_B04_030 -               27     823       9     816       4     817    1462    +      4e-239  794.4  22.4  -
Aeromonadaceae_Zobellella                        -          F0113_LKAP-FHGF1_B04_030 -               34     827       9     810       3     816    1478    +    4.9e-239  793.9  22.2  -
Morganellaceae_Xenorhabdus                       -          F0113_LKAP-FHGF1_B04_030 -               29     828       9     817       3     817    1493    +    7.1e-239  793.6  22.9  -
Psychromonadaceae_Psychromonas                   -          F0113_LKAP-FHGF1_B04_030 -               27     825       9     816       3     817    1467    +    9.4e-239  793.2  22.5  -
Aeromonadaceae_Oceanimonas                       -          F0113_LKAP-FHGF1_B04_030 -               24     819       9     810       3     816    1483    +    3.3e-238  791.2  22.2  -
Aeromonadaceae_Pseudaeromonas                    -          F0113_LKAP-FHGF1_B04_030 -               10     804       9     811       3     817    1491    +    3.7e-238  791.0  22.8  -
Budviciaceae_Budvicia                            -          F0113_LKAP-FHGF1_B04_030 -               48     847       9     817       3     817    1536    +    4.7e-238  790.7  22.6  -
Pseudomonadaceae_Pseudomonas                     -          F0113_LKAP-FHGF1_B04_030 -               34     824       9     811       3     816    1502    +      6e-238  790.5  22.2  -
Pectobacteriaceae_Sodalis                        -          F0113_LKAP-FHGF1_B04_030 -               23     822       9     817       3     817    1511    +      1e-237  789.7  22.6  -
Alteromonadaceae_Alishewanella                   -          F0113_LKAP-FHGF1_B04_030 -               36     815       9     815       1     816    1426    +    1.2e-237  789.4  21.7  -
Idiomarinaceae_Aliidiomarina                     -          F0113_LKAP-FHGF1_B04_030 -                2     789       9     807       8     815    1410    +    2.4e-237  788.3  22.1  -
Yersiniaceae_Rahnella                            -          F0113_LKAP-FHGF1_B04_030 -                1     747      71     817      71     817    1345    +    1.1e-236  786.3  21.1  -
Enterobacteriaceae_Cedecea                       -          F0113_LKAP-FHGF1_B04_030 -                1     748      70     817      70     817    1403    +    1.1e-236  786.3  21.0  -
Alteromonadaceae_Marinobacterium                 -          F0113_LKAP-FHGF1_B04_030 -               26     820       8     811       2     816    1465    +    6.5e-235  780.4  22.2  -
Hafniaceae_Edwardsiella                          -          F0113_LKAP-FHGF1_B04_030 -               27     828       9     817       2     817    1466    +    2.2e-234  778.6  22.8  -
Morganellaceae_Proteus                           -          F0113_LKAP-FHGF1_B04_030 -               37     836       9     817       3     817    1494    +    4.1e-234  777.7  23.0  -
Thorselliaceae_Thorsellia                        -          F0113_LKAP-FHGF1_B04_030 -                8     803       9     817       4     817    1421    +    4.7e-234  777.5  23.2  -
Morganellaceae_Morganella                        -          F0113_LKAP-FHGF1_B04_030 -               17     773      61     817      54     817    1356    +    4.9e-234  777.7  22.3  -
Aeromonadaceae_Tolumonas                         -          F0113_LKAP-FHGF1_B04_030 -               37     826       9     807       3     816    1514    +    4.6e-233  774.3  22.8  -
Morganellaceae_Photorhabdus                      -          F0113_LKAP-FHGF1_B04_030 -               29     830       9     817       3     817    1478    +    5.1e-233  774.5  22.7  -
Idiomarinaceae_Pseudidiomarina                   -          F0113_LKAP-FHGF1_B04_030 -               27     805       9     796       3     808    1499    +      6e-233  773.7  21.7  -
Morganellaceae_Providencia                       -          F0113_LKAP-FHGF1_B04_030 -               35     832       9     817       3     817    1489    +    3.7e-232  771.2  23.2  -
Alteromonadaceae_Paraglaciecola                  -          F0113_LKAP-FHGF1_B04_030 -               34     826       8     815       2     817    1495    +    5.7e-232  770.4  21.9  -
Alteromonadaceae_Glaciecola                      -          F0113_LKAP-FHGF1_B04_030 -               47     836       9     815       2     816    1474    +      3e-231  768.2  22.0  -
Alteromonadaceae_Bowmanella                      -          F0113_LKAP-FHGF1_B04_030 -               45     837       9     816       3     817    1496    +    3.4e-230  764.8  21.7  -
Pectobacteriaceae_Lonsdalea                      -          F0113_LKAP-FHGF1_B04_030 -                1     747      71     817      71     817    1345    +    4.7e-230  764.4  21.0  -
Alteromonadaceae_Aliagarivorans                  -          F0113_LKAP-FHGF1_B04_030 -               20     822       9     807       3     816    1462    +    1.7e-229  762.7  22.5  -
Oceanospirillaceae_Marinomonas                   -          F0113_LKAP-FHGF1_B04_030 -               27     804       9     793       3     813    1467    +      4e-229  761.0  21.7  -
Cellvibrionaceae_Cellvibrio                      -          F0113_LKAP-FHGF1_B04_030 -               47     834       9     812       3     817    1505    +    1.5e-228  759.3  22.2  -
Moritellaceae_Moritella                          -          F0113_LKAP-FHGF1_B04_030 -               47     841       9     810       4     816    1506    +    6.6e-228  757.1  22.2  -
Celerinatantimonadaceae_Celerinatantimonas       -          F0113_LKAP-FHGF1_B04_030 -               22     830       9     816       3     817    1433    +    9.7e-228  756.7  22.6  -
Alcanivoracaceae_Alcanivorax                     -          F0113_LKAP-FHGF1_B04_030 -               47     832       9     805       3     816    1505    +    1.6e-227  755.7  22.1  -
Alteromonadaceae_Aestuariibacter                 -          F0113_LKAP-FHGF1_B04_030 -               27     814       9     813       3     816    1455    +    3.5e-227  754.7  21.5  -
Alteromonadaceae_Aliiglaciecola                  -          F0113_LKAP-FHGF1_B04_030 -               13     791       9     802       3     815    1440    +    6.2e-227  753.8  21.5  -
Microbulbiferaceae_Microbulbifer                 -          F0113_LKAP-FHGF1_B04_030 -               27     811       9     809       3     815    1480    +    8.4e-227  753.7  22.3  -
Pseudoalteromonadaceae_Psychrosphaera            -          F0113_LKAP-FHGF1_B04_030 -               31     810       9     805       3     816    1450    +    8.8e-226  750.1  21.6  -
Alteromonadaceae_Alteromonas                     -          F0113_LKAP-FHGF1_B04_030 -               27     816       9     815       3     816    1464    +    2.5e-225  748.5  22.0  -
Oceanospirillaceae_Thalassolituus                -          F0113_LKAP-FHGF1_B04_030 -               34     810       9     796       4     816    1476    +    1.2e-224  746.3  21.9  -
Pseudomonadaceae_Azotobacter                     -          F0113_LKAP-FHGF1_B04_030 -               34     820       9     810       2     816    1473    +    1.4e-224  746.3  22.3  -
Halieaceae_Halioglobus                           -          F0113_LKAP-FHGF1_B04_030 -               28     803       9     802       3     816    1433    +    2.9e-224  745.2  22.3  -
Hahellaceae_Hahella                              -          F0113_LKAP-FHGF1_B04_030 -               54     838       9     806       4     815    1539    +    6.2e-224  744.0  22.3  -
Alteromonadaceae_Salinimonas                     -          F0113_LKAP-FHGF1_B04_030 -               27     819       9     814       3     816    1459    +    7.5e-224  743.8  22.0  -
Cellvibrionaceae_Gilvimarinus                    -          F0113_LKAP-FHGF1_B04_030 -               23     810       9     812       2     817    1445    +    1.4e-223  742.8  22.3  -
Orbaceae_Orbus                                   -          F0113_LKAP-FHGF1_B04_030 -               40     833       9     815       4     817    1522    +    1.6e-223  742.5  22.5  -
Pasteurellaceae_Pasteurella                      -          F0113_LKAP-FHGF1_B04_030 -               27     819       9     809       4     817    1365    +    2.4e-223  742.3  22.4  -
Thermoleophilaceae_Thermoleophilum               -          F0113_LKAP-FHGF1_B04_030 -               20     814       9     806       4     816    1494    +    2.6e-223  741.9  22.1  -
Pasteurellaceae_Actinobacillus                   -          F0113_LKAP-FHGF1_B04_030 -               27     821       9     811       4     816    1364    +    5.8e-223  741.0  22.3  -
Pseudomonadaceae_Azomonas                        -          F0113_LKAP-FHGF1_B04_030 -               10     803       9     812       4     817    1453    +    2.3e-222  738.8  21.8  -
Alteromonadaceae_Marinobacter                    -          F0113_LKAP-FHGF1_B04_030 -               27     815       9     808       3     816    1478    +    5.4e-222  737.5  22.2  -
Oceanospirillaceae_Oceanospirillum               -          F0113_LKAP-FHGF1_B04_030 -               27     818       9     810       3     816    1462    +    1.4e-221  736.3  22.1  -
Oceanospirillaceae_Amphritea                     -          F0113_LKAP-FHGF1_B04_030 -               27     807       9     800       3     815    1463    +    1.7e-221  735.9  21.8  -
Methylococcaceae_Methylococcus                   -          F0113_LKAP-FHGF1_B04_030 -               39     823       9     810       4     816    1482    +    3.7e-221  734.8  22.6  -
Oceanospirillaceae_Neptuniibacter                -          F0113_LKAP-FHGF1_B04_030 -               95     845      61     811      38     816    1541    +    3.8e-221  734.5  21.8  -
Pasteurellaceae_Haemophilus                      -          F0113_LKAP-FHGF1_B04_030 -               27     812       9     803       4     817    1450    +    3.8e-221  734.7  22.2  -
Halomonadaceae_Halomonas                         -          F0113_LKAP-FHGF1_B04_030 -               27     819       9     811       2     817    1463    +    3.2e-219  728.4  22.3  -
Halieaceae_Haliea                                -          F0113_LKAP-FHGF1_B04_030 -               47     833       9     810       3     817    1500    +    2.5e-218  725.4  22.4  -
Oceanospirillaceae_Marinospirillum               -          F0113_LKAP-FHGF1_B04_030 -               27     811       9     810       3     815    1451    +    2.7e-218  725.4  21.9  -
Pasteurellaceae_Mannheimia                       -          F0113_LKAP-FHGF1_B04_030 -               47     838       9     810       3     816    1504    +    3.6e-218  724.9  22.2  -
Halieaceae_Parahaliea                            -          F0113_LKAP-FHGF1_B04_030 -               27     814       9     812       3     817    1498    +    4.6e-218  724.6  22.8  -
Cellvibrionaceae_Simiduia                        -          F0113_LKAP-FHGF1_B04_030 -               27     818       9     811       3     816    1463    +    5.1e-218  724.4  22.2  -
Pasteurellaceae_Ursidibacter                     -          F0113_LKAP-FHGF1_B04_030 -               72     859       9     801       4     815    1409    +    1.1e-217  723.5  22.0  -
Oceanospirillaceae_Neptunomonas                  -          F0113_LKAP-FHGF1_B04_030 -               27     819       9     810       3     816    1484    +    1.2e-217  723.1  22.1  -
Oceanospirillaceae_Oleispira                     -          F0113_LKAP-FHGF1_B04_030 -               47     839       9     812       3     817    1500    +    3.7e-217  721.5  22.4  -
Pasteurellaceae_Gallibacterium                   -          F0113_LKAP-FHGF1_B04_030 -               27     814       9     802       3     815    1464    +    8.4e-217  720.6  22.0  -
Cellvibrionaceae_Pseudomaricurvus                -          F0113_LKAP-FHGF1_B04_030 -               27     812       9     812       3     817    1490    +    1.3e-216  719.6  21.9  -
Moraxellaceae_Moraxella                          -          F0113_LKAP-FHGF1_B04_030 -               19     786       9     795       3     814    1446    +    1.5e-216  719.7  20.9  -
Oceanospirillaceae_Nitrincola                    -          F0113_LKAP-FHGF1_B04_030 -               35     806       7     793       2     813    1477    +    2.3e-216  718.9  21.1  -
Alcanivoracaceae_Pseudohongiella                 -          F0113_LKAP-FHGF1_B04_030 -               27     800       9     793       2     813    1461    +    3.6e-216  718.3  22.1  -
Cellvibrionaceae_Eionea                          -          F0113_LKAP-FHGF1_B04_030 -               29     815       9     810       3     816    1469    +    7.5e-216  717.2  21.7  -
Piscirickettsiaceae_Methylophaga                 -          F0113_LKAP-FHGF1_B04_030 -               26     798       9     796       4     809    1487    +    1.2e-215  716.4  21.2  -
Methylococcaceae_Methylomonas                    -          F0113_LKAP-FHGF1_B04_030 -               46     811       9     792       5     812    1475    +    1.8e-215  715.9  21.7  -
Lysobacteraceae_Lysobacter                       -          F0113_LKAP-FHGF1_B04_030 -               29     813       9     802       2     812    1475    +    2.1e-215  715.7  22.0  -
Saccharospirillaceae_Saccharospirillum           -          F0113_LKAP-FHGF1_B04_030 -               28     808       9     807       2     816    1459    +    4.4e-215  714.8  21.4  -
Gammaproteobacteria_Thiohalomonas                -          F0113_LKAP-FHGF1_B04_030 -               20     796       9     793       4     812    1483    +    5.8e-215  714.0  22.1  -
Moraxellaceae_Alkanindiges                       -          F0113_LKAP-FHGF1_B04_030 -               14     803       9     812       4     817    1396    +    9.4e-215  713.7  21.9  -
Legionellaceae_Legionella                        -          F0113_LKAP-FHGF1_B04_030 -               23     800       9     794       3     810    1446    +    2.5e-214  712.3  21.8  -
Oceanospirillaceae_Reinekea                      -          F0113_LKAP-FHGF1_B04_030 -               37     805       9     794       4     814    1512    +    7.3e-214  710.6  21.5  -
Halomonadaceae_Chromohalobacter                  -          F0113_LKAP-FHGF1_B04_030 -               27     817       9     810       3     816    1480    +      1e-213  710.2  22.4  -
Spongiibacteraceae_Sinobacterium                 -          F0113_LKAP-FHGF1_B04_030 -               43     837       7     808       2     816    1504    +    1.3e-213  709.7  21.7  -
Cellvibrionaceae_Umboniibacter                   -          F0113_LKAP-FHGF1_B04_030 -               39     823       9     811       3     816    1507    +    1.3e-213  710.0  22.2  -
Lysobacteraceae_Luteimonas                       -          F0113_LKAP-FHGF1_B04_030 -               30     815       7     802       1     811    1490    +    1.4e-213  709.7  22.1  -
Methylococcaceae_Methylobacter                   -          F0113_LKAP-FHGF1_B04_030 -               47     814       9     794       5     814    1500    +    1.4e-213  709.6  22.1  -
Halomonadaceae_Salinicola                        -          F0113_LKAP-FHGF1_B04_030 -               27     813       9     807       3     813    1471    +    3.7e-213  708.2  22.3  -
Methylococcaceae_Methylocaldum                   -          F0113_LKAP-FHGF1_B04_030 -               47     819       9     792       4     810    1491    +    4.2e-213  708.3  22.5  -
Methylococcaceae_Methylomicrobium                -          F0113_LKAP-FHGF1_B04_030 -               47     814       9     794       4     814    1467    +    4.2e-213  708.0  22.2  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          F0113_LKAP-FHGF1_B04_030 -               44     814       9     796       3     815    1490    +    1.1e-212  706.8  22.5  -
Chromatiaceae_Thiohalocapsa                      -          F0113_LKAP-FHGF1_B04_030 -               37     801       9     793       4     810    1436    +    1.5e-212  706.5  21.4  -
Pasteurellaceae_Avibacterium                     -          F0113_LKAP-FHGF1_B04_030 -               52     843       9     808       4     817    1480    +    2.7e-212  705.5  22.3  -
Lysobacteraceae_Arenimonas                       -          F0113_LKAP-FHGF1_B04_030 -               31     813       9     801       2     811    1490    +    3.7e-212  705.1  22.4  -
Moraxellaceae_Acinetobacter                      -          F0113_LKAP-FHGF1_B04_030 -               23     813       9     812       3     817    1463    +      6e-212  704.4  22.1  -
Vibrionaceae_Paraphotobacterium                  -          F0113_LKAP-FHGF1_B04_030 -               52     851       9     817       2     817    1539    +    1.8e-211  702.3  22.7  -
Chromatiaceae_Halochromatium                     -          F0113_LKAP-FHGF1_B04_030 -               27     789       9     793       4     810    1451    +    7.1e-211  701.0  21.4  -
Halomonadaceae_Kushneria                         -          F0113_LKAP-FHGF1_B04_030 -               31     821       9     810       3     816    1461    +    1.1e-210  700.0  22.4  -
Thiotrichaceae_Leucothrix                        -          F0113_LKAP-FHGF1_B04_030 -               21     810       9     810       4     816    1445    +    1.3e-210  699.6  22.2  -
Chromobacteriaceae_Aquaspirillum                 -          F0113_LKAP-FHGF1_B04_030 -               44     819       7     796       3     816    1488    +    3.9e-210  698.4  22.1  -
Cardiobacteriaceae_Suttonella                    -          F0113_LKAP-FHGF1_B04_030 -               28     810       9     802       4     815    1486    +    5.7e-210  698.0  22.0  -
Halomonadaceae_Cobetia                           -          F0113_LKAP-FHGF1_B04_030 -               39     829       9     810       3     816    1516    +    8.2e-210  697.1  22.6  -
Cardiobacteriaceae_Cardiobacterium               -          F0113_LKAP-FHGF1_B04_030 -               13     787       9     796       4     813    1493    +    1.5e-209  696.4  22.7  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          F0113_LKAP-FHGF1_B04_030 -               18     801       9     805       3     816    1438    +    5.5e-209  694.3  22.3  -
Lysobacteraceae_Silanimonas                      -          F0113_LKAP-FHGF1_B04_030 -               46     823       9     801       2     810    1493    +    7.4e-209  694.1  23.3  -
Spongiibacteraceae_Spongiibacter                 -          F0113_LKAP-FHGF1_B04_030 -               30     813       9     809       3     816    1441    +    8.7e-209  693.6  22.2  -
Piscirickettsiaceae_Thiomicrospira               -          F0113_LKAP-FHGF1_B04_030 -               31     805       9     794       3     808    1466    +    1.5e-208  692.9  21.5  -
Lysobacteraceae_Vulcaniibacterium                -          F0113_LKAP-FHGF1_B04_030 -               54     835       9     800       3     810    1549    +    2.6e-208  692.2  22.9  -
Moraxellaceae_Psychrobacter                      -          F0113_LKAP-FHGF1_B04_030 -               27     815       9     810       3     815    1491    +      3e-208  692.1  22.1  -
Kangiellaceae_Kangiella                          -          F0113_LKAP-FHGF1_B04_030 -               35     812       9     793       5     806    1478    +    1.5e-207  689.7  21.3  -
Pasteurellaceae_Bisgaardia                       -          F0113_LKAP-FHGF1_B04_030 -               35     832       9     809       4     816    1389    +    1.6e-207  689.8  22.1  -
Lysobacteraceae_Thermomonas                      -          F0113_LKAP-FHGF1_B04_030 -               27     810       9     802       4     812    1488    +    7.1e-207  687.6  22.2  -
Arenicellaceae_Arenicella                        -          F0113_LKAP-FHGF1_B04_030 -               35     806       9     794       4     812    1506    +    8.5e-207  687.5  21.8  -
Chromatiaceae_Thiorhodococcus                    -          F0113_LKAP-FHGF1_B04_030 -               25     763      40     793      19     813    1426    +    9.7e-207  687.1  20.8  -
Halomonadaceae_Larsenimonas                      -          F0113_LKAP-FHGF1_B04_030 -               48     838       9     810       3     816    1495    +    1.2e-206  686.7  22.7  -
Gammaproteobacteria_Sedimenticola                -          F0113_LKAP-FHGF1_B04_030 -               41     822       9     795       3     814    1540    +    1.4e-206  686.4  21.6  -
Methylococcaceae_Methylosarcina                  -          F0113_LKAP-FHGF1_B04_030 -               41     808       9     794       4     810    1515    +    1.6e-206  686.2  22.3  -
Halothiobacillaceae_Halothiobacillus             -          F0113_LKAP-FHGF1_B04_030 -               47     833       9     804       4     815    1505    +    1.7e-206  686.3  22.2  -
Methylococcaceae_Methylovulum                    -          F0113_LKAP-FHGF1_B04_030 -               46     809       9     793       5     810    1492    +    2.1e-206  685.9  21.7  -
Piscirickettsiaceae_Hydrogenovibrio              -          F0113_LKAP-FHGF1_B04_030 -               27     826       9     806       3     809    1465    +    5.8e-206  684.4  21.7  -
Hahellaceae_Allohahella                          -          F0113_LKAP-FHGF1_B04_030 -               42     815       6     794       1     814    1485    +    6.4e-206  684.5  22.1  -
Hahellaceae_Endozoicomonas                       -          F0113_LKAP-FHGF1_B04_030 -               47     838       9     808       3     816    1524    +    1.1e-205  683.5  22.0  -
Pasteurellaceae_Aggregatibacter                  -          F0113_LKAP-FHGF1_B04_030 -               52     844       9     811       4     816    1480    +    1.6e-205  683.0  22.3  -
Cellvibrionaceae_Marinimicrobium                 -          F0113_LKAP-FHGF1_B04_030 -               27     813       9     812       3     817    1455    +    2.2e-205  682.4  22.5  -
Gammaproteobacteria_Plasticicumulans             -          F0113_LKAP-FHGF1_B04_030 -               36     810       9     799       4     816    1491    +    4.6e-205  681.5  22.5  -
Rhodanobacteraceae_Dokdonella                    -          F0113_LKAP-FHGF1_B04_030 -               27     802       9     800       3     810    1480    +    9.1e-205  680.6  23.2  -
Lysobacteraceae_Pseudoxanthomonas                -          F0113_LKAP-FHGF1_B04_030 -               30     814       9     801       4     812    1484    +    9.8e-205  680.4  22.1  -
Chromatiaceae_Marichromatium                     -          F0113_LKAP-FHGF1_B04_030 -               37     797       9     793       4     811    1440    +    1.4e-204  680.1  21.4  -
Piscirickettsiaceae_Thiomicrorhabdus             -          F0113_LKAP-FHGF1_B04_030 -               34     814       9     794       4     809    1464    +    1.8e-204  679.3  20.8  -
Granulosicoccaceae_Granulosicoccus               -          F0113_LKAP-FHGF1_B04_030 -               27     805       9     796       5     816    1471    +    1.8e-204  679.6  21.6  -
Ectothiorhodospiraceae_Thiohalospira             -          F0113_LKAP-FHGF1_B04_030 -               27     778      58     809      42     815    1318    +    2.3e-204  679.3  21.8  -
Lysobacteraceae_Wohlfahrtiimonas                 -          F0113_LKAP-FHGF1_B04_030 -               27     804       9     794       3     809    1448    +    4.4e-204  678.3  21.4  -
Thioalkalispiraceae_Thioprofundum                -          F0113_LKAP-FHGF1_B04_030 -               43     823       9     794       4     811    1537    +    1.4e-203  676.7  21.5  -
