# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae_Shewanella                        -          B1h_reverse          -              381    1442    1146      29    1166       9    1483    -      9e-304 1009.2  22.3  -
Alcanivoracaceae_Alcanivorax                     -          B1h_reverse          -              475    1474    1043      12    1068       3    1505    -    4.3e-244  811.2  21.7  -
Enterobacteriaceae_Gibbsiella                    -          B1h_reverse          -              420    1393    1042      37    1063      34    1396    -    4.4e-244  811.4  21.7  -
Enterobacteriaceae_Lelliottia                    -          B1h_reverse          -              451    1429    1042      32    1062      21    1449    -    6.7e-244  810.8  21.8  -
Alteromonadaceae_Bowmanella                      -          B1h_reverse          -              394    1448    1143      31    1165      11    1496    -    7.1e-244  810.7  22.0  -
Oceanospirillaceae_Thalassolituus                -          B1h_reverse          -              385    1442    1145      30    1165      10    1476    -    1.1e-243  809.9  21.7  -
Enterobacteriaceae_Siccibacter                   -          B1h_reverse          -              485    1447    1042      49    1067      45    1451    -    1.3e-243  810.0  20.2  -
Enterobacteriaceae_Kluyvera                      -          B1h_reverse          -              444    1424    1042      30    1062       9    1455    -    1.3e-243  809.8  21.8  -
Enterobacteriaceae_Klebsiella                    -          B1h_reverse          -              460    1432    1051      47    1166      42    1436    -    1.4e-243  809.7  21.2  -
Methylococcaceae_Methylobacter                   -          B1h_reverse          -              469    1452    1042      29    1067       9    1500    -    1.5e-243  809.5  21.3  -
Oceanospirillaceae_Neptuniibacter                -          B1h_reverse          -              404    1480    1146      12    1166       3    1541    -    2.6e-243  808.5  23.4  -
Idiomarinaceae_Pseudidiomarina                   -          B1h_reverse          -              442    1459    1059       9    1098       2    1499    -    3.1e-243  808.4  22.1  -
Methylococcaceae_Methylomonas                    -          B1h_reverse          -              488    1449    1015      30    1036      10    1475    -    3.4e-243  808.4  21.0  -
Enterobacteriaceae_Pluralibacter                 -          B1h_reverse          -              477    1457    1043      30    1069      10    1532    -    4.8e-243  807.9  21.6  -
Alteromonadaceae_Marinobacter                    -          B1h_reverse          -              378    1455    1145       9    1165       2    1478    -    8.3e-243  807.1  22.6  -
Enterobacteriaceae_Raoultella                    -          B1h_reverse          -              454    1434    1042      30    1063      16    1452    -    1.4e-242  806.5  21.8  -
Enterobacteriaceae_Shigella                      -          B1h_reverse          -              397    1446    1132      30    1165      10    1488    -    1.6e-242  806.2  22.3  -
Hafniaceae_Edwardsiella                          -          B1h_reverse          -              460    1440    1042      30    1068      10    1466    -      2e-242  805.8  21.5  -
Enterobacteriaceae_Kosakonia                     -          B1h_reverse          -              432    1416    1047      30    1075      25    1422    -    4.5e-242  804.4  21.7  -
Spongiibacteraceae_Sinobacterium                 -          B1h_reverse          -              469    1459    1052      30    1095      10    1504    -    5.4e-242  804.4  22.3  -
Gammaproteobacteria_Alkalimonas                  -          B1h_reverse          -              397    1454    1144      30    1165      10    1502    -    6.1e-242  804.3  22.9  -
Morganellaceae_Morganella                        -          B1h_reverse          -              414    1356    1033      61    1062      61    1356    -    9.4e-242  803.9  19.9  -
Aeromonadaceae_Pseudaeromonas                    -          B1h_reverse          -              363    1429    1145      30    1166      10    1491    -    1.4e-241  802.9  21.9  -
Oceanospirillaceae_Marinomonas                   -          B1h_reverse          -              384    1439    1143      32    1165      10    1467    -    1.6e-241  802.7  22.3  -
Cellvibrionaceae_Gilvimarinus                    -          B1h_reverse          -              369    1428    1145      30    1166      16    1445    -      3e-241  801.9  22.7  -
Enterobacteriaceae_Trabulsiella                  -          B1h_reverse          -              450    1432    1043      30    1063      13    1471    -    3.4e-241  802.0  21.7  -
Alteromonadaceae_Paraglaciecola                  -          B1h_reverse          -              384    1439    1143      30    1166      10    1495    -    3.4e-241  801.5  22.3  -
Alteromonadaceae_Aestuariibacter                 -          B1h_reverse          -              373    1429    1144      30    1166      10    1455    -      7e-241  800.7  22.0  -
Aeromonadaceae_Tolumonas                         -          B1h_reverse          -              391    1450    1144      30    1166      10    1514    -    1.8e-240  799.4  22.7  -
Spongiibacteraceae_Spongiibacter                 -          B1h_reverse          -              375    1434    1145      30    1166      23    1441    -    1.8e-240  799.2  22.4  -
Cellvibrionaceae_Cellvibrio                      -          B1h_reverse          -              466    1452    1048      30    1102      10    1505    -    2.6e-240  798.9  22.0  -
Enterobacteriaceae_Pseudocitrobacter             -          B1h_reverse          -              455    1439    1042      26    1062       6    1459    -    3.3e-240  798.5  21.6  -
Halomonadaceae_Cobetia                           -          B1h_reverse          -              477    1467    1030      10    1054       2    1516    -    3.6e-240  798.3  21.9  -
Alteromonadaceae_Aliagarivorans                  -          B1h_reverse          -              472    1445    1030      29    1138      12    1462    -    6.3e-240  797.8  22.6  -
Halieaceae_Halioglobus                           -          B1h_reverse          -              372    1431    1145      30    1166      28    1433    -    7.5e-240  797.4  23.3  -
Cellvibrionaceae_Eionea                          -          B1h_reverse          -              375    1435    1145      30    1166       9    1469    -    1.2e-239  796.6  22.7  -
Halieaceae_Haliea                                -          B1h_reverse          -              393    1455    1145      30    1166      10    1500    -    1.4e-239  796.4  22.9  -
Alcanivoracaceae_Pseudohongiella                 -          B1h_reverse          -              378    1436    1145      29    1165       9    1461    -    1.5e-239  796.4  22.9  -
Alteromonadaceae_Aliiglaciecola                  -          B1h_reverse          -              362    1417    1143      30    1166      10    1440    -    1.7e-239  796.0  22.1  -
Methylococcaceae_Methylomicrobium                -          B1h_reverse          -              391    1451    1146      30    1166      19    1467    -    1.1e-238  793.4  23.4  -
Aeromonadaceae_Zobellella                        -          B1h_reverse          -              388    1444    1144      31    1166      11    1478    -    1.3e-238  793.1  22.6  -
Hahellaceae_Endozoicomonas                       -          B1h_reverse          -              401    1462    1145      30    1166      10    1524    -    1.5e-238  793.1  22.5  -
Alteromonadaceae_Alteromonas                     -          B1h_reverse          -              372    1429    1145      30    1166      10    1464    -    1.8e-238  792.6  22.5  -
Spongiibacteraceae_Zhongshania                   -          B1h_reverse          -              395    1452    1144      31    1166      10    1501    -    9.3e-238  790.3  21.9  -
Cellvibrionaceae_Umboniibacter                   -          B1h_reverse          -              383    1442    1145      30    1166      10    1507    -    1.1e-237  790.3  23.0  -
Hahellaceae_Allohahella                          -          B1h_reverse          -              463    1466    1050      18    1094       4    1485    -    1.4e-237  790.0  22.9  -
Methylococcaceae_Methylococcus                   -          B1h_reverse          -              383    1444    1146      30    1166      10    1482    -    3.8e-237  788.4  23.1  -
Alteromonadaceae_Glaciecola                      -          B1h_reverse          -              392    1448    1145      30    1166       9    1474    -    6.2e-237  787.5  21.9  -
Thermoleophilaceae_Thermoleophilum               -          B1h_reverse          -              382    1451    1142      33    1163      12    1494    -    1.6e-236  786.2  23.4  -
Halieaceae_Parahaliea                            -          B1h_reverse          -              373    1432    1145      30    1166      10    1498    -    2.5e-236  785.7  23.2  -
Oceanospirillaceae_Reinekea                      -          B1h_reverse          -              444    1422    1059      50    1138      29    1512    -    2.9e-236  785.4  20.9  -
Methylococcaceae_Methylovulum                    -          B1h_reverse          -              485    1446    1015      31    1062      10    1492    -    3.7e-236  785.1  21.4  -
Cellvibrionaceae_Simiduia                        -          B1h_reverse          -              397    1436    1118      31    1163      10    1463    -    8.4e-236  783.9  22.0  -
Lysobacteraceae_Arenimonas                       -          B1h_reverse          -              385    1460    1144      13    1165       3    1490    -    1.3e-235  783.4  22.9  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          B1h_reverse          -              366    1427    1146      30    1166      19    1438    -    1.5e-235  782.9  23.0  -
Pasteurellaceae_Haemophilus                      -          B1h_reverse          -              467    1434    1030      32    1068      14    1450    -    4.1e-235  781.6  22.2  -
Gammaproteobacteria_Sedimenticola                -          B1h_reverse          -              398    1463    1144      29    1165       8    1540    -    4.2e-235  781.6  22.8  -
Microbulbiferaceae_Microbulbifer                 -          B1h_reverse          -              446    1432    1048      30    1099      10    1480    -    6.5e-235  781.1  22.4  -
Moraxellaceae_Moraxella                          -          B1h_reverse          -              364    1404    1143      47    1165      10    1446    -      2e-234  779.4  22.3  -
Saccharospirillaceae_Saccharospirillum           -          B1h_reverse          -              373    1414    1145      49    1165      29    1459    -    2.3e-234  779.3  20.9  -
Lysobacteraceae_Lysobacter                       -          B1h_reverse          -              385    1460    1143      12    1163       3    1475    -    2.3e-234  779.2  23.2  -
Halomonadaceae_Kushneria                         -          B1h_reverse          -              465    1440    1034      30    1086       9    1461    -    2.5e-234  778.9  22.9  -
Cellvibrionaceae_Marinimicrobium                 -          B1h_reverse          -              448    1429    1043      30    1080      10    1455    -    2.8e-234  778.8  21.3  -
Halomonadaceae_Salinicola                        -          B1h_reverse          -              464    1437    1031      30    1067       9    1471    -    3.3e-234  778.6  22.3  -
Thiotrichaceae_Leucothrix                        -          B1h_reverse          -              370    1428    1146      32    1166      22    1445    -    3.3e-234  778.4  22.9  -
Thiotrichaceae_Thiothrix                         -          B1h_reverse          -              408    1389    1043      32    1063      12    1417    -    1.7e-233  776.2  21.5  -
Lysobacteraceae_Luteimonas                       -          B1h_reverse          -              393    1462    1133      12    1156       3    1490    -    2.5e-233  775.7  22.5  -
Piscirickettsiaceae_Methylophaga                 -          B1h_reverse          -              362    1431    1163      30    1183      10    1487    -    1.2e-232  773.3  22.4  -
Halomonadaceae_Larsenimonas                      -          B1h_reverse          -              486    1457    1030      30    1066      10    1495    -    2.7e-232  772.2  22.0  -
Cellvibrionaceae_Pseudomaricurvus                -          B1h_reverse          -              370    1430    1146      30    1166      10    1490    -    3.1e-232  772.0  22.9  -
Enterobacteriaceae_Mangrovibacter                -          B1h_reverse          -              425    1365    1015      51    1036      48    1368    -    3.1e-232  772.1  20.1  -
Granulosicoccaceae_Granulosicoccus               -          B1h_reverse          -              381    1442    1144      29    1165       9    1471    -    6.4e-232  771.2  22.7  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          B1h_reverse          -              371    1463    1163       9    1183       2    1472    -    4.7e-231  768.1  23.4  -
Methylococcaceae_Methylosarcina                  -          B1h_reverse          -              483    1445    1015      30    1041      10    1515    -    1.4e-230  766.5  21.3  -
Orbaceae_Orbus                                   -          B1h_reverse          -              487    1444    1015      34    1036      12    1522    -    1.5e-230  766.4  20.7  -
Chromatiaceae_Allochromatium                     -          B1h_reverse          -              396    1454    1117       9    1138       3    1462    -    3.1e-230  765.5  23.0  -
Oceanospirillaceae_Nitrincola                    -          B1h_reverse          -              386    1442    1143      31    1165      10    1477    -    4.7e-230  764.8  22.3  -
Lysobacteraceae_Thermomonas                      -          B1h_reverse          -              387    1460    1134       9    1163       2    1488    -    6.1e-230  764.6  23.2  -
Chromobacteriaceae_Aquaspirillum                 -          B1h_reverse          -              393    1451    1146      31    1166      11    1488    -    6.1e-230  764.6  22.8  -
Lysobacteraceae_Silanimonas                      -          B1h_reverse          -              393    1471    1145      12    1165       2    1493    -    8.1e-230  764.1  23.5  -
Chromatiaceae_Thiohalocapsa                      -          B1h_reverse          -              378    1432    1146      36    1166      32    1436    -    1.4e-229  763.5  23.1  -
Pasteurellaceae_Aggregatibacter                  -          B1h_reverse          -              502    1459    1016      32    1068      12    1480    -    1.7e-229  763.0  22.3  -
Lysobacteraceae_Pseudoxanthomonas                -          B1h_reverse          -              395    1462    1131      12    1152       3    1484    -    1.9e-229  762.8  22.4  -
Chromatiaceae_Thiorhodococcus                    -          B1h_reverse          -              330    1399    1163      31    1183      10    1426    -    2.1e-229  762.8  23.0  -
Chromatiaceae_Thiodictyon                        -          B1h_reverse          -              446    1445    1043      12    1069       3    1500    -    2.4e-229  762.8  22.0  -
Gammaproteobacteria_Thiohalomonas                -          B1h_reverse          -              363    1430    1163      34    1183      13    1483    -    3.2e-229  761.9  23.3  -
Chromatiaceae_Thiocystis                         -          B1h_reverse          -              364    1440    1146      13    1183       3    1451    -    3.2e-229  762.3  23.7  -
Pasteurellaceae_Mannheimia                       -          B1h_reverse          -              488    1455    1029      31    1068      11    1504    -      5e-229  761.5  22.1  -
Chromatiaceae_Marichromatium                     -          B1h_reverse          -              374    1432    1146      32    1166      26    1440    -    5.7e-229  761.6  23.0  -
Thioalkalispiraceae_Thioprofundum                -          B1h_reverse          -              389    1465    1163      31    1183      11    1537    -    7.2e-229  761.1  23.0  -
Chromatiaceae_Thiocapsa                          -          B1h_reverse          -              380    1456    1146      12    1166       9    1459    -    7.9e-229  761.1  23.2  -
Moraxellaceae_Paraperlucidibaca                  -          B1h_reverse          -              375    1449    1144      12    1165       3    1460    -    3.4e-228  758.6  22.6  -
Pasteurellaceae_Rodentibacter                    -          B1h_reverse          -              498    1457    1016      30    1049      10    1478    -    3.9e-228  758.5  21.8  -
Pasteurellaceae_Gallibacterium                   -          B1h_reverse          -              374    1435    1150      35    1182      14    1464    -      4e-228  758.7  22.9  -
Legionellaceae_Legionella                        -          B1h_reverse          -              375    1436    1146      31    1166      20    1446    -      6e-228  758.0  23.2  -
Alteromonadaceae_Salinimonas                     -          B1h_reverse          -              395    1433    1118      30    1163       9    1459    -    1.2e-227  757.0  22.2  -
Ectothiorhodospiraceae_Alkalilimnicola           -          B1h_reverse          -              388    1467    1146      10    1166       6    1472    -    2.5e-227  756.0  23.5  -
Kangiellaceae_Kangiella                          -          B1h_reverse          -              399    1428    1132      51    1163      31    1478    -    3.1e-227  755.5  21.0  -
Hahellaceae_Kistimonas                           -          B1h_reverse          -              398    1458    1145      30    1165      10    1506    -    4.2e-227  755.1  22.3  -
Ectothiorhodospiraceae_Spiribacter               -          B1h_reverse          -              414    1461    1132      33    1163      12    1544    -    6.8e-227  754.5  23.2  -
Lysobacteraceae_Xanthomonas                      -          B1h_reverse          -              388    1452    1135      19    1157       4    1502    -    1.1e-226  753.7  22.5  -
Halothiobacillaceae_Halothiobacillus             -          B1h_reverse          -              399    1460    1146      30    1166      10    1505    -    1.2e-226  753.6  22.2  -
Moraxellaceae_Acinetobacter                      -          B1h_reverse          -              434    1431    1058      30    1137      10    1463    -    1.7e-226  753.2  22.1  -
Pasteurellaceae_Pasteurella                      -          B1h_reverse          -              380    1365    1143     105    1166     105    1365    -    2.4e-226  752.7  21.2  -
Halomonadaceae_Chromohalobacter                  -          B1h_reverse          -              465    1454    1030      10    1062       2    1480    -    3.8e-226  752.0  22.6  -
Pseudomonadaceae_Azomonas                        -          B1h_reverse          -              361    1420    1146      31    1166      18    1453    -    3.9e-226  751.9  22.4  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          B1h_reverse          -              388    1467    1146      12    1166       3    1490    -    1.4e-225  750.1  23.6  -
Pasteurellaceae_Actinobacillus                   -          B1h_reverse          -              456    1364    1047     105    1093     105    1364    -    2.7e-225  749.2  20.5  -
Lysobacteraceae_Oleiagrimonas                    -          B1h_reverse          -              382    1439    1145      34    1166      14    1469    -    2.8e-225  749.0  23.5  -
Arenicellaceae_Arenicella                        -          B1h_reverse          -              453    1440    1051      30    1104      10    1506    -      3e-225  749.2  22.3  -
Piscirickettsiaceae_Thiomicrospira               -          B1h_reverse          -              381    1441    1146      29    1166       9    1466    -    3.7e-225  748.6  22.6  -
Ectothiorhodospiraceae_Aquisalimonas             -          B1h_reverse          -              395    1455    1146      31    1166      20    1464    -    6.2e-225  748.0  23.0  -
Thorselliaceae_Thorsellia                        -          B1h_reverse          -              429    1411    1049      34    1138      26    1421    -    1.6e-224  746.4  21.4  -
Moraxellaceae_Psychrobacter                      -          B1h_reverse          -              474    1435    1015      30    1035       9    1491    -    1.7e-224  746.5  21.2  -
Ectothiorhodospiraceae_Halorhodospira            -          B1h_reverse          -              390    1460    1163      31    1183      13    1479    -      2e-224  746.5  23.8  -
Chromatiaceae_Halochromatium                     -          B1h_reverse          -              366    1424    1146      30    1166      10    1451    -    3.7e-224  745.6  23.3  -
Moraxellaceae_Alkanindiges                       -          B1h_reverse          -              459    1396    1016      55    1062      55    1396    -    8.3e-224  744.3  20.4  -
Chromatiaceae_Thiophaeococcus                    -          B1h_reverse          -              356    1415    1146      32    1183      12    1440    -      3e-223  742.5  23.7  -
Oceanospirillaceae_Oleispira                     -          B1h_reverse          -              398    1455    1145      30    1166      10    1500    -      4e-223  741.9  23.3  -
Pasteurellaceae_Avibacterium                     -          B1h_reverse          -              480    1462    1048      31    1091      13    1480    -    1.4e-222  740.2  22.0  -
Desulfovibrionaceae_Desulfovibrio                -          B1h_reverse          -              385    1415    1157      74    1177      34    1521    -      4e-222  738.7  22.0  -
Chromatiaceae_Imhoffiella                        -          B1h_reverse          -              373    1449    1146      13    1166       3    1484    -    4.3e-222  738.6  23.0  -
Methylococcaceae_Methylocaldum                   -          B1h_reverse          -              397    1475    1146       9    1166       2    1491    -    9.1e-222  737.6  24.2  -
Rhodanobacteraceae_Dokdonella                    -          B1h_reverse          -              379    1454    1136       9    1163       3    1480    -    3.3e-221  735.6  23.2  -
Pseudomonadaceae_Azotobacter                     -          B1h_reverse          -              380    1438    1146      31    1166      11    1473    -    3.5e-221  735.6  23.0  -
Piscirickettsiaceae_Thiomicrorhabdus             -          B1h_reverse          -              391    1450    1145      29    1166      16    1464    -    4.8e-221  734.9  22.3  -
Hahellaceae_Zooshikella                          -          B1h_reverse          -              376    1435    1145      31    1166      10    1483    -    8.4e-221  734.2  22.7  -
Lysobacteraceae_Vulcaniibacterium                -          B1h_reverse          -              416    1477    1132      19    1163       4    1549    -    2.9e-219  729.1  24.0  -
Lysobacteraceae_Tahibacter                       -          B1h_reverse          -              372    1433    1145      30    1166      10    1459    -    3.4e-219  728.8  23.0  -
Chromatiaceae_Lamprocystis                       -          B1h_reverse          -              392    1397    1145      86    1166      79    1406    -    4.3e-219  728.7  20.9  -
Desulfobacteraceae_Desulfobacterium              -          B1h_reverse          -              451    1468    1093      37    1137      23    1522    -    6.3e-219  727.8  22.8  -
Ectothiorhodospiraceae_Arhodomonas               -          B1h_reverse          -              397    1435    1118      33    1163      13    1487    -    7.1e-219  728.0  23.5  -
Litoricolaceae_Litoricola                        -          B1h_reverse          -              460    1445    1052      34    1078      12    1483    -    7.4e-219  727.9  21.7  -
Salinisphaeraceae_Salinisphaera                  -          B1h_reverse          -              365    1422    1144      31    1165      26    1429    -    1.4e-218  726.9  23.6  -
Chromobacteriaceae_Chitinilyticum                -          B1h_reverse          -              449    1416    1032      34    1052      13    1455    -    1.8e-218  726.7  21.6  -
Lysobacteraceae_Xylella                          -          B1h_reverse          -              404    1470    1137      19    1157       3    1537    -      2e-218  726.4  22.5  -
Lysobacteraceae_Stenotrophomonas                 -          B1h_reverse          -              388    1450    1134      20    1155       3    1484    -    3.6e-218  725.5  22.6  -
Acidithiobacillaceae_Acidithiobacillus           -          B1h_reverse          -              369    1429    1143      32    1163      11    1457    -    4.9e-218  724.9  23.1  -
Gammaproteobacteria_Plasticicumulans             -          B1h_reverse          -              380    1459    1146       9    1183       3    1491    -    5.4e-218  724.9  23.5  -
Rhodanobacteraceae_Luteibacter                   -          B1h_reverse          -              405    1443    1118      34    1165      25    1457    -    2.9e-217  722.6  23.1  -
Succinivibrionaceae_Anaerobiospirillum           -          B1h_reverse          -              436    1401    1048      49    1071      29    1494    -    9.4e-217  720.7  20.9  -
Piscirickettsiaceae_Hydrogenovibrio              -          B1h_reverse          -              393    1453    1146      29    1166      19    1465    -    1.1e-216  720.4  23.0  -
