# target name                                    accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP.g-Gut1_E11_087.seq -               27    1020       6    1010       3    1011    1461    +           0 1027.4  11.3  -
Vibrionaceae_Vibrio                              -          LKAP.g-Gut1_E11_087.seq -               27    1036       6    1010       2    1011    1466    +      1e-303 1008.7  11.9  -
Gammaproteobacteria_Alkalimonas                  -          LKAP.g-Gut1_E11_087.seq -               45    1042       6    1010       3    1011    1502    +    1.7e-270  898.6  11.7  -
Erwiniaceae_Erwinia                              -          LKAP.g-Gut1_E11_087.seq -               34    1026      12    1010       3    1011    1495    +    2.6e-270  898.1  11.9  -
Erwiniaceae_Tatumella                            -          LKAP.g-Gut1_E11_087.seq -               30    1026       9    1010       3    1011    1490    +    2.7e-270  898.0  11.9  -
Alteromonadaceae_Aliagarivorans                  -          LKAP.g-Gut1_E11_087.seq -               20    1028       6    1006       3    1011    1462    +      3e-270  898.0  12.1  -
Chromatiaceae_Rheinheimera                       -          LKAP.g-Gut1_E11_087.seq -               50    1015      46    1010      23    1011    1472    +    7.3e-270  896.6  11.4  -
Enterobacteriaceae_Enterobacter                  -          LKAP.g-Gut1_E11_087.seq -               26    1022       7    1010       3    1011    1476    +    1.2e-269  895.9  11.9  -
Gammaproteobacteria_Gallaecimonas                -          LKAP.g-Gut1_E11_087.seq -               48    1046       7    1010       2    1011    1506    +    1.2e-269  895.8  11.9  -
Pectobacteriaceae_Pectobacterium                 -          LKAP.g-Gut1_E11_087.seq -               35    1034       6    1010       3    1011    1499    +    5.5e-269  893.7  11.9  -
Enterobacteriaceae_Cronobacter                   -          LKAP.g-Gut1_E11_087.seq -                8    1003      10    1010       4    1011    1422    +      4e-268  890.8  12.0  -
Pectobacteriaceae_Brenneria                      -          LKAP.g-Gut1_E11_087.seq -                6    1004       7    1010       4    1011    1457    +    7.2e-268  889.9  12.0  -
Pseudomonadaceae_Pseudomonas                     -          LKAP.g-Gut1_E11_087.seq -               34    1030       6    1010       3    1011    1502    +    8.9e-268  889.6  12.0  -
Moritellaceae_Paramoritella                      -          LKAP.g-Gut1_E11_087.seq -               29    1024       8    1010       3    1011    1512    +    1.9e-267  888.4  12.2  -
Enterobacteriaceae_Klebsiella                    -          LKAP.g-Gut1_E11_087.seq -               40    1036       7    1010       3    1011    1436    +    3.4e-267  887.7  11.9  -
Erwiniaceae_Pantoea                              -          LKAP.g-Gut1_E11_087.seq -                2     963      51    1010      50    1011    1416    +    4.8e-267  887.2  11.7  -
Aeromonadaceae_Oceanisphaera                     -          LKAP.g-Gut1_E11_087.seq -               27    1025       6    1010       1    1011    1464    +    9.1e-267  886.1  11.8  -
Enterobacteriaceae_Citrobacter                   -          LKAP.g-Gut1_E11_087.seq -               49    1041      12    1010       3    1011    1517    +    2.1e-266  885.0  11.8  -
Enterobacteriaceae_Raoultella                    -          LKAP.g-Gut1_E11_087.seq -               27    1022       8    1010       3    1011    1452    +    4.9e-266  884.0  11.9  -
Enterobacteriaceae_Escherichia                   -          LKAP.g-Gut1_E11_087.seq -               28    1026       7    1010       3    1011    1480    +    5.8e-266  883.7  11.8  -
Enterobacteriaceae_Kluyvera                      -          LKAP.g-Gut1_E11_087.seq -               22    1012      12    1010       3    1011    1455    +    1.1e-265  882.7  11.9  -
Yersiniaceae_Rouxiella                           -          LKAP.g-Gut1_E11_087.seq -               57    1055       7    1010       3    1011    1551    +    1.3e-265  882.4  12.2  -
Pectobacteriaceae_Sodalis                        -          LKAP.g-Gut1_E11_087.seq -               24    1022       7    1010       3    1011    1511    +    2.3e-265  881.6  11.9  -
Pectobacteriaceae_Dickeya                        -          LKAP.g-Gut1_E11_087.seq -               24    1023       6    1010       2    1011    1421    +    2.4e-265  881.6  12.1  -
Yersiniaceae_Yersinia                            -          LKAP.g-Gut1_E11_087.seq -               28    1026       7    1010       3    1011    1461    +    2.8e-265  881.4  11.9  -
Moritellaceae_Moritella                          -          LKAP.g-Gut1_E11_087.seq -               47    1048       6    1010       3    1011    1506    +    3.2e-265  881.1  11.7  -
Enterobacteriaceae_Buttiauxella                  -          LKAP.g-Gut1_E11_087.seq -               33    1030       6    1010       2    1011    1503    +    3.9e-265  880.9  12.3  -
Enterobacteriaceae_Franconibacter                -          LKAP.g-Gut1_E11_087.seq -               39    1029      11    1010       3    1011    1325    +    5.9e-265  880.6  12.0  -
Enterobacteriaceae_Salmonella                    -          LKAP.g-Gut1_E11_087.seq -               61    1022      51    1010      28    1011    1457    +    8.6e-265  879.8  11.5  -
Aeromonadaceae_Aeromonas                         -          LKAP.g-Gut1_E11_087.seq -               48    1039       8    1002       3    1011    1503    +    3.7e-264  877.4  12.2  -
Enterobacteriaceae_Cedecea                       -          LKAP.g-Gut1_E11_087.seq -                1     948      65    1010      65    1011    1403    +    6.9e-264  876.8  10.7  -
Alteromonadaceae_Alishewanella                   -          LKAP.g-Gut1_E11_087.seq -               58    1016      51    1009      28    1011    1426    +    1.1e-263  876.0  11.5  -
Hafniaceae_Edwardsiella                          -          LKAP.g-Gut1_E11_087.seq -               60    1028      44    1010      23    1011    1466    +    1.6e-263  875.5  11.9  -
Enterobacteriaceae_Kosakonia                     -          LKAP.g-Gut1_E11_087.seq -               40    1004      48    1010      27    1011    1422    +    1.1e-262  872.5  11.6  -
Yersiniaceae_Rahnella                            -          LKAP.g-Gut1_E11_087.seq -                1     947      66    1010      66    1011    1345    +    3.6e-262  871.1  10.8  -
Enterobacteriaceae_Siccibacter                   -          LKAP.g-Gut1_E11_087.seq -               93    1053      52    1010      28    1011    1451    +    7.8e-262  870.1  11.5  -
Enterobacteriaceae_Pseudocitrobacter             -          LKAP.g-Gut1_E11_087.seq -               31    1023      12    1010       3    1011    1459    +    8.1e-262  869.9  11.7  -
Idiomarinaceae_Aliidiomarina                     -          LKAP.g-Gut1_E11_087.seq -                3    1000       7    1010       5    1011    1410    +    8.3e-262  869.6  12.0  -
Celerinatantimonadaceae_Celerinatantimonas       -          LKAP.g-Gut1_E11_087.seq -               22    1033       6    1010       3    1011    1433    +    1.3e-261  869.3  12.2  -
Enterobacteriaceae_Gibbsiella                    -          LKAP.g-Gut1_E11_087.seq -               25     988      49    1010      35    1011    1396    +    2.1e-261  868.6  11.7  -
Aeromonadaceae_Pseudaeromonas                    -          LKAP.g-Gut1_E11_087.seq -               51    1001      54    1002      33    1011    1491    +    2.5e-261  868.1  11.8  -
Enterobacteriaceae_Pluralibacter                 -          LKAP.g-Gut1_E11_087.seq -               83    1048      49    1010      26    1011    1532    +    3.2e-261  867.9  11.5  -
Enterobacteriaceae_Lelliottia                    -          LKAP.g-Gut1_E11_087.seq -               22    1019       6    1010       2    1011    1449    +    3.3e-261  867.9  12.0  -
Alteromonadaceae_Marinobacterium                 -          LKAP.g-Gut1_E11_087.seq -               27    1026       6    1010       2    1011    1465    +    3.5e-261  867.8  12.1  -
Morganellaceae_Morganella                        -          LKAP.g-Gut1_E11_087.seq -               16     973      55    1010      41    1011    1356    +    5.8e-261  867.2  11.6  -
Morganellaceae_Xenorhabdus                       -          LKAP.g-Gut1_E11_087.seq -               30    1028       7    1010       3    1011    1493    +    6.2e-261  867.1  12.0  -
Aeromonadaceae_Oceanimonas                       -          LKAP.g-Gut1_E11_087.seq -               27    1025       9    1010       3    1011    1483    +    1.3e-259  862.5  12.0  -
Morganellaceae_Photorhabdus                      -          LKAP.g-Gut1_E11_087.seq -               35    1030      11    1010       3    1011    1478    +    2.1e-259  862.3  11.8  -
Enterobacteriaceae_Shigella                      -          LKAP.g-Gut1_E11_087.seq -               42    1034      12    1010       3    1011    1488    +    4.9e-259  860.7  11.7  -
Enterobacteriaceae_Shimwellia                    -          LKAP.g-Gut1_E11_087.seq -                6    1004       7    1010       4    1011    1422    +    5.3e-259  860.7  11.7  -
Vibrionaceae_Salinivibrio                        -          LKAP.g-Gut1_E11_087.seq -               46    1058       6    1010       2    1011    1502    +    5.3e-259  860.1  11.7  -
Halieaceae_Halioglobus                           -          LKAP.g-Gut1_E11_087.seq -               29    1018       7    1010       3    1011    1433    +    8.7e-259  859.9  12.1  -
Budviciaceae_Budvicia                            -          LKAP.g-Gut1_E11_087.seq -               49    1047       7    1010       3    1011    1536    +    1.7e-258  858.8  11.9  -
Enterobacteriaceae_Mangrovibacter                -          LKAP.g-Gut1_E11_087.seq -                8     973      47    1010      41    1011    1368    +    5.1e-258  857.3  11.7  -
Alteromonadaceae_Catenovulum                     -          LKAP.g-Gut1_E11_087.seq -               29    1019       8    1010       2    1011    1451    +    6.6e-258  856.8  11.3  -
Enterobacteriaceae_Trabulsiella                  -          LKAP.g-Gut1_E11_087.seq -               61    1020      54    1010      32    1011    1471    +    1.2e-257  856.3  11.6  -
Alteromonadaceae_Paraglaciecola                  -          LKAP.g-Gut1_E11_087.seq -               39    1028       8    1010       2    1011    1495    +    1.3e-257  855.7  11.6  -
Oceanospirillaceae_Thalassolituus                -          LKAP.g-Gut1_E11_087.seq -               34    1031       6    1010       3    1011    1476    +    2.4e-257  855.0  12.1  -
Alteromonadaceae_Bowmanella                      -          LKAP.g-Gut1_E11_087.seq -               45    1038       6    1010       2    1011    1496    +    5.7e-257  853.8  11.4  -
Aeromonadaceae_Tolumonas                         -          LKAP.g-Gut1_E11_087.seq -               77    1037      53    1010      33    1011    1514    +    5.9e-256  850.5  11.6  -
Aeromonadaceae_Zobellella                        -          LKAP.g-Gut1_E11_087.seq -               35    1031       7    1008       3    1011    1478    +    1.1e-255  849.4  12.2  -
Morganellaceae_Providencia                       -          LKAP.g-Gut1_E11_087.seq -               36    1032       7    1010       3    1011    1489    +    3.4e-255  847.9  11.9  -
Alteromonadaceae_Aestuariibacter                 -          LKAP.g-Gut1_E11_087.seq -               65    1018      53    1010      30    1011    1455    +      1e-254  846.3  11.1  -
Pasteurellaceae_Pasteurella                      -          LKAP.g-Gut1_E11_087.seq -               27    1027       6    1010       3    1011    1365    +    1.2e-254  846.2  12.0  -
Pasteurellaceae_Actinobacillus                   -          LKAP.g-Gut1_E11_087.seq -               28    1026       7    1010       4    1011    1364    +    8.6e-254  843.4  12.0  -
Halieaceae_Parahaliea                            -          LKAP.g-Gut1_E11_087.seq -               28    1019       7    1010       3    1011    1498    +    2.9e-253  841.5  12.2  -
Pseudomonadaceae_Azomonas                        -          LKAP.g-Gut1_E11_087.seq -               12    1008       8    1010       3    1011    1453    +    3.9e-252  837.8  11.7  -
Alteromonadaceae_Alteromonas                     -          LKAP.g-Gut1_E11_087.seq -               28    1018       7    1010       3    1011    1464    +    5.4e-252  837.2  11.5  -
Hahellaceae_Hahella                              -          LKAP.g-Gut1_E11_087.seq -               54    1050       6    1010       3    1011    1539    +    1.2e-251  836.3  12.0  -
Alteromonadaceae_Aliiglaciecola                  -          LKAP.g-Gut1_E11_087.seq -               51    1006      53    1010      25    1011    1440    +    2.2e-251  835.1  11.2  -
Idiomarinaceae_Pseudidiomarina                   -          LKAP.g-Gut1_E11_087.seq -               28    1027       7    1010       3    1011    1499    +    5.7e-251  833.7  11.9  -
Pasteurellaceae_Haemophilus                      -          LKAP.g-Gut1_E11_087.seq -               28    1024       7    1010       4    1011    1450    +    9.7e-251  833.1  12.0  -
Morganellaceae_Proteus                           -          LKAP.g-Gut1_E11_087.seq -               37    1036       6    1010       3    1011    1494    +      1e-250  833.1  11.9  -
Cellvibrionaceae_Simiduia                        -          LKAP.g-Gut1_E11_087.seq -               27    1024       6    1010       3    1011    1463    +      1e-250  833.1  11.9  -
Alteromonadaceae_Glaciecola                      -          LKAP.g-Gut1_E11_087.seq -               48    1038       7    1010       2    1011    1474    +    1.6e-250  832.4  11.8  -
Pasteurellaceae_Mannheimia                       -          LKAP.g-Gut1_E11_087.seq -               49    1044       8    1010       3    1011    1504    +    2.3e-250  832.0  12.0  -
Cellvibrionaceae_Gilvimarinus                    -          LKAP.g-Gut1_E11_087.seq -               23    1014       6    1009       2    1011    1445    +    2.4e-250  831.8  11.6  -
Pectobacteriaceae_Lonsdalea                      -          LKAP.g-Gut1_E11_087.seq -                1     947      66    1010      66    1011    1345    +    3.4e-250  831.4  10.5  -
Microbulbiferaceae_Microbulbifer                 -          LKAP.g-Gut1_E11_087.seq -               27    1019       6    1010       3    1011    1480    +    3.8e-250  831.4  11.8  -
Spongiibacteraceae_Sinobacterium                 -          LKAP.g-Gut1_E11_087.seq -               43    1046       4    1010       1    1011    1504    +    7.7e-250  830.1  11.9  -
Oceanospirillaceae_Marinomonas                   -          LKAP.g-Gut1_E11_087.seq -               30    1026       9    1010       3    1011    1467    +    1.2e-249  829.4  11.9  -
Pseudomonadaceae_Azotobacter                     -          LKAP.g-Gut1_E11_087.seq -               38    1027      10    1010       3    1011    1473    +    2.3e-249  828.7  12.1  -
Alcanivoracaceae_Alcanivorax                     -          LKAP.g-Gut1_E11_087.seq -               48    1040       7    1005       2    1011    1505    +    5.3e-249  827.2  11.9  -
Moraxellaceae_Moraxella                          -          LKAP.g-Gut1_E11_087.seq -               25    1008      16    1010       4    1011    1446    +    1.1e-248  826.5  11.4  -
Cellvibrionaceae_Cellvibrio                      -          LKAP.g-Gut1_E11_087.seq -               48    1039       7    1010       3    1011    1505    +    1.3e-248  826.2  11.8  -
Thermoleophilaceae_Thermoleophilum               -          LKAP.g-Gut1_E11_087.seq -               20    1021       6    1003       2    1011    1494    +    1.8e-248  825.5  11.7  -
Oceanospirillaceae_Marinospirillum               -          LKAP.g-Gut1_E11_087.seq -               27    1018       6    1010       3    1011    1451    +    2.3e-248  825.3  11.8  -
Alteromonadaceae_Marinobacter                    -          LKAP.g-Gut1_E11_087.seq -               29    1024       8    1010       3    1011    1478    +    2.4e-248  825.2  12.1  -
Oceanospirillaceae_Amphritea                     -          LKAP.g-Gut1_E11_087.seq -               27    1024       6    1010       3    1011    1463    +      7e-248  823.6  11.8  -
Thorselliaceae_Thorsellia                        -          LKAP.g-Gut1_E11_087.seq -                9    1003       7    1010       2    1011    1421    +    1.9e-247  822.2  12.1  -
Pasteurellaceae_Ursidibacter                     -          LKAP.g-Gut1_E11_087.seq -              108    1073      49    1010      27    1011    1409    +    5.3e-247  820.9  11.8  -
Orbaceae_Orbus                                   -          LKAP.g-Gut1_E11_087.seq -               78    1032      55    1007      31    1011    1522    +    5.5e-247  820.6  12.0  -
Halieaceae_Haliea                                -          LKAP.g-Gut1_E11_087.seq -               48    1040       7    1010       3    1011    1500    +    1.8e-246  819.0  12.0  -
Methylococcaceae_Methylococcus                   -          LKAP.g-Gut1_E11_087.seq -               40    1031       7    1010       3    1011    1482    +    2.8e-246  818.4  12.0  -
Piscirickettsiaceae_Methylophaga                 -          LKAP.g-Gut1_E11_087.seq -               32    1018      16    1008       3    1011    1487    +    4.1e-246  817.7  11.5  -
Cellvibrionaceae_Pseudomaricurvus                -          LKAP.g-Gut1_E11_087.seq -               28    1010       7    1003       3    1011    1490    +    7.3e-246  816.9  11.3  -
Oceanospirillaceae_Oceanospirillum               -          LKAP.g-Gut1_E11_087.seq -               27    1025       6    1010       3    1011    1462    +      1e-245  816.6  11.8  -
Halomonadaceae_Halomonas                         -          LKAP.g-Gut1_E11_087.seq -               27    1025       6    1010       2    1011    1463    +    3.5e-245  814.7  12.0  -
Oceanospirillaceae_Neptunomonas                  -          LKAP.g-Gut1_E11_087.seq -               27    1026       6    1010       3    1011    1484    +    5.2e-244  810.8  11.8  -
Methylococcaceae_Methylobacter                   -          LKAP.g-Gut1_E11_087.seq -               48    1038       7    1010       3    1011    1500    +    8.5e-244  810.0  12.0  -
Oceanospirillaceae_Neptuniibacter                -          LKAP.g-Gut1_E11_087.seq -               63    1051      19    1010       3    1011    1541    +    1.8e-243  808.9  11.9  -
Pasteurellaceae_Gallibacterium                   -          LKAP.g-Gut1_E11_087.seq -               60    1027      44    1010      22    1011    1464    +    3.2e-243  808.4  11.7  -
Cardiobacteriaceae_Cardiobacterium               -          LKAP.g-Gut1_E11_087.seq -               14    1001       7    1005       3    1011    1493    +    6.3e-243  807.3  12.2  -
Methylococcaceae_Methylomonas                    -          LKAP.g-Gut1_E11_087.seq -               52    1036      16    1010       4    1011    1475    +    1.3e-242  806.1  11.8  -
Spongiibacteraceae_Spongiibacter                 -          LKAP.g-Gut1_E11_087.seq -               59    1020      50    1009      26    1011    1441    +    1.7e-242  805.7  11.5  -
Moraxellaceae_Acinetobacter                      -          LKAP.g-Gut1_E11_087.seq -               25    1017       8    1009       3    1011    1463    +    3.1e-242  805.1  12.1  -
Alteromonadaceae_Salinimonas                     -          LKAP.g-Gut1_E11_087.seq -               27    1022       6    1010       3    1011    1459    +    3.7e-242  804.8  11.5  -
Chromobacteriaceae_Aquaspirillum                 -          LKAP.g-Gut1_E11_087.seq -               45    1007       5     977       2    1002    1488    +    4.1e-242  804.7  12.3  -
Cardiobacteriaceae_Suttonella                    -          LKAP.g-Gut1_E11_087.seq -               69    1020      54    1005      30    1011    1486    +    8.6e-242  803.8  11.9  -
Halomonadaceae_Cobetia                           -          LKAP.g-Gut1_E11_087.seq -               39    1036       6    1010       2    1011    1516    +    8.9e-242  803.4  11.9  -
Methylococcaceae_Methylomicrobium                -          LKAP.g-Gut1_E11_087.seq -               48    1038       7    1010       3    1011    1467    +    1.8e-241  802.3  12.1  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP.g-Gut1_E11_087.seq -               27    1024       6    1010       2    1011    1461    +    3.5e-241  801.5  12.2  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          LKAP.g-Gut1_E11_087.seq -               25     997      12     993       3    1011    1438    +    8.2e-241  800.1  12.4  -
Cellvibrionaceae_Umboniibacter                   -          LKAP.g-Gut1_E11_087.seq -               64    1029      47    1010      26    1011    1507    +    9.9e-241  800.2  11.6  -
Oceanospirillaceae_Oleispira                     -          LKAP.g-Gut1_E11_087.seq -               47    1044       6    1010       3    1011    1500    +    1.2e-240  799.7  12.0  -
Methylococcaceae_Methylocaldum                   -          LKAP.g-Gut1_E11_087.seq -               53    1028      16     993       4    1011    1491    +    1.3e-240  799.8  12.7  -
Halomonadaceae_Salinicola                        -          LKAP.g-Gut1_E11_087.seq -               27    1024       6    1010       2    1011    1471    +    3.3e-240  798.2  12.2  -
Lysobacteraceae_Lysobacter                       -          LKAP.g-Gut1_E11_087.seq -               29    1030       6    1010       2    1011    1475    +    4.8e-240  797.8  11.9  -
Gammaproteobacteria_Sedimenticola                -          LKAP.g-Gut1_E11_087.seq -               47    1041      11    1005       3    1011    1540    +    1.8e-239  795.8  12.0  -
Legionellaceae_Legionella                        -          LKAP.g-Gut1_E11_087.seq -               29    1024      16    1010       3    1011    1446    +    4.1e-239  794.8  11.7  -
Cellvibrionaceae_Eionea                          -          LKAP.g-Gut1_E11_087.seq -               30    1008       7     997       3    1011    1469    +    5.3e-239  794.2  11.6  -
Moraxellaceae_Alkanindiges                       -          LKAP.g-Gut1_E11_087.seq -               16    1008       8    1010       4    1011    1396    +    8.4e-239  793.7  11.7  -
Gammaproteobacteria_Thiohalomonas                -          LKAP.g-Gut1_E11_087.seq -               20    1004       6     993       3    1007    1483    +    3.6e-238  791.3  12.5  -
Oceanospirillaceae_Reinekea                      -          LKAP.g-Gut1_E11_087.seq -               37    1028       6    1010       3    1011    1512    +    6.6e-238  790.6  11.7  -
Hahellaceae_Endozoicomonas                       -          LKAP.g-Gut1_E11_087.seq -               47    1046       6    1009       2    1011    1524    +    1.8e-237  789.3  11.8  -
Chromatiaceae_Thiohalocapsa                      -          LKAP.g-Gut1_E11_087.seq -               68    1018      51    1002      30    1011    1436    +      2e-236  786.0  11.4  -
Pasteurellaceae_Avibacterium                     -          LKAP.g-Gut1_E11_087.seq -               95    1004      54     962      28     994    1480    +    7.3e-236  784.0  12.3  -
Saccharospirillaceae_Saccharospirillum           -          LKAP.g-Gut1_E11_087.seq -               31    1019       8    1010       2    1011    1459    +    1.2e-235  783.2  11.6  -
Thiotrichaceae_Leucothrix                        -          LKAP.g-Gut1_E11_087.seq -               21    1017       6    1010       2    1011    1445    +    1.5e-235  782.6  12.0  -
Lysobacteraceae_Luteimonas                       -          LKAP.g-Gut1_E11_087.seq -               31    1032       5    1010       2    1011    1490    +    7.8e-235  780.4  11.8  -
Chromatiaceae_Thiorhodococcus                    -          LKAP.g-Gut1_E11_087.seq -                3     987       4    1009       2    1011    1426    +    9.8e-235  780.2  11.5  -
Lysobacteraceae_Wohlfahrtiimonas                 -          LKAP.g-Gut1_E11_087.seq -               27    1020       6    1004       2    1011    1448    +    1.3e-234  779.8  12.0  -
Halomonadaceae_Chromohalobacter                  -          LKAP.g-Gut1_E11_087.seq -               27    1023       6    1009       3    1011    1480    +    4.7e-234  777.9  12.0  -
Piscirickettsiaceae_Thiomicrospira               -          LKAP.g-Gut1_E11_087.seq -               43    1029      22    1010       4    1011    1466    +      7e-234  777.2  11.5  -
Salinisphaeraceae_Salinisphaera                  -          LKAP.g-Gut1_E11_087.seq -               15    1010       6    1009       2    1011    1429    +    1.2e-233  776.6  12.0  -
Moraxellaceae_Paraperlucidibaca                  -          LKAP.g-Gut1_E11_087.seq -               67    1012      59    1002      39    1011    1460    +    1.9e-233  775.7  11.8  -
Moraxellaceae_Psychrobacter                      -          LKAP.g-Gut1_E11_087.seq -               27    1019       6    1007       3    1011    1491    +    2.3e-233  775.6  12.1  -
Halothiobacillaceae_Halothiobacillus             -          LKAP.g-Gut1_E11_087.seq -               50    1031       9     994       4    1011    1505    +    3.2e-233  775.1  11.8  -
Oceanospirillaceae_Nitrincola                    -          LKAP.g-Gut1_E11_087.seq -               76    1030      58    1010      36    1011    1477    +      5e-233  774.4  11.4  -
Lysobacteraceae_Arenimonas                       -          LKAP.g-Gut1_E11_087.seq -               31    1031       6    1010       2    1011    1490    +    5.3e-233  774.5  12.0  -
Methylococcaceae_Methylosarcina                  -          LKAP.g-Gut1_E11_087.seq -               42    1032       7    1010       3    1011    1515    +    6.4e-233  774.0  12.1  -
Halomonadaceae_Kushneria                         -          LKAP.g-Gut1_E11_087.seq -               36    1028      10    1010       3    1011    1461    +    1.1e-232  773.2  12.2  -
Chromatiaceae_Halochromatium                     -          LKAP.g-Gut1_E11_087.seq -               45     975      31     971       3    1006    1451    +    3.3e-232  772.0  12.1  -
Succinivibrionaceae_Anaerobiospirillum           -          LKAP.g-Gut1_E11_087.seq -               38     991       7     996       3    1011    1494    +      5e-232  771.1  12.3  -
Pasteurellaceae_Aggregatibacter                  -          LKAP.g-Gut1_E11_087.seq -               93    1049      54    1010      31    1011    1480    +    5.5e-232  771.0  11.6  -
Spongiibacteraceae_Zhongshania                   -          LKAP.g-Gut1_E11_087.seq -               88    1039      60    1009      40    1011    1501    +    3.4e-231  768.3  11.4  -
Halomonadaceae_Larsenimonas                      -          LKAP.g-Gut1_E11_087.seq -               49    1045       7    1010       3    1011    1495    +    3.8e-231  768.2  12.3  -
Gammaproteobacteria_Plasticicumulans             -          LKAP.g-Gut1_E11_087.seq -               74    1013      59     997      38    1011    1491    +    9.3e-231  767.0  12.0  -
Pasteurellaceae_Rodentibacter                    -          LKAP.g-Gut1_E11_087.seq -               94    1045      54    1010      26    1011    1478    +    1.7e-230  766.0  11.7  -
Hahellaceae_Kistimonas                           -          LKAP.g-Gut1_E11_087.seq -               48    1040       7    1005       3    1011    1506    +      3e-230  765.3  11.9  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          LKAP.g-Gut1_E11_087.seq -               48     988      10     961       3     982    1490    +    5.7e-230  764.4  12.8  -
Kangiellaceae_Kangiella                          -          LKAP.g-Gut1_E11_087.seq -               36    1037       7    1010       3    1011    1478    +    9.6e-230  763.6  11.7  -
Thiotrichaceae_Thiothrix                         -          LKAP.g-Gut1_E11_087.seq -               34     977      12    1009       4    1011    1417    +    1.9e-229  762.6  11.2  -
Vibrionaceae_Paraphotobacterium                  -          LKAP.g-Gut1_E11_087.seq -               59    1051      12    1010       3    1011    1539    +    2.7e-229  761.6  11.8  -
Ectothiorhodospiraceae_Thiohalospira             -          LKAP.g-Gut1_E11_087.seq -               25     971      51     994      36    1011    1318    +    2.9e-229  762.1  11.6  -
Piscirickettsiaceae_Thiomicrorhabdus             -          LKAP.g-Gut1_E11_087.seq -               35    1038       7    1010       3    1011    1464    +    5.5e-229  760.9  11.5  -
Cellvibrionaceae_Marinimicrobium                 -          LKAP.g-Gut1_E11_087.seq -               28    1013       7    1005       3    1011    1455    +      6e-229  760.9  11.9  -
Pasteurellaceae_Bisgaardia                       -          LKAP.g-Gut1_E11_087.seq -               37    1036       8    1005       4    1011    1389    +    8.7e-229  760.6  12.1  -
