# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_A10_080_2018_2 -               31     959      15     942       4     942    1526    +           0 1179.3  33.8  -
Clostridiaceae_Sporosalibacterium                -          LKAP-TSAKG2_A10_080_2018_2 -               36     934      13     942       5     942    1521    +    5.8e-223  741.0  31.1  -
Bacillaceae_Aquisalibacillus                     -          LKAP-TSAKG2_A10_080_2018_2 -               40     968      12     941       3     942    1484    +    9.5e-223  739.9  33.9  -
Clostridiaceae_Natronincola                      -          LKAP-TSAKG2_A10_080_2018_2 -               35     928      15     942       5     942    1489    +      1e-222  740.0  32.8  -
Bacillaceae_Halalkalibacillus                    -          LKAP-TSAKG2_A10_080_2018_2 -               11     941      13     941       4     942    1492    +      1e-222  739.9  34.5  -
Veillonellaceae_Dialister                        -          LKAP-TSAKG2_A10_080_2018_2 -               15     948      14     942       4     942    1502    +    1.5e-222  739.6  32.1  -
Bacillaceae_Natronobacillus                      -          LKAP-TSAKG2_A10_080_2018_2 -               44     976      12     941       3     942    1473    +    1.5e-222  739.4  33.9  -
Clostridiaceae_Caloramator                       -          LKAP-TSAKG2_A10_080_2018_2 -               21     901      18     942       4     942    1453    +      2e-222  739.3  30.9  -
Rubrobacteraceae_Rubrobacter                     -          LKAP-TSAKG2_A10_080_2018_2 -               16     929      13     940       4     941    1495    +    2.2e-222  739.1  32.3  -
Sporolactobacillaceae_Tuberibacillus             -          LKAP-TSAKG2_A10_080_2018_2 -               17     946      12     941       3     942    1486    +    3.3e-222  738.2  34.2  -
Clostridiaceae_Tepidimicrobium                   -          LKAP-TSAKG2_A10_080_2018_2 -               38     938      15     942       5     942    1528    +    4.5e-222  738.2  32.1  -
Natranaerobiaceae_Natranaerobius                 -          LKAP-TSAKG2_A10_080_2018_2 -               57     897      76     942      31     942    1424    +    5.6e-222  737.7  30.0  -
Erysipelotrichaceae_Breznakia                    -          LKAP-TSAKG2_A10_080_2018_2 -               27     957      17     942       3     942    1508    +    6.2e-222  737.5  33.9  -
Symbiobacteriaceae_Symbiobacterium               -          LKAP-TSAKG2_A10_080_2018_2 -               10     933      12     942       4     942    1468    +    1.3e-221  736.9  33.0  -
Peptococcaceae_Thermincola                       -          LKAP-TSAKG2_A10_080_2018_2 -               21     916      14     942       3     942    1482    +    1.7e-221  736.1  30.2  -
Peptococcaceae_Sporotomaculum                    -          LKAP-TSAKG2_A10_080_2018_2 -              159     997      79     942      59     942    1510    +    3.8e-221  735.0  28.4  -
Bacillales_Chungangia                            -          LKAP-TSAKG2_A10_080_2018_2 -               26     940      13     941       3     942    1440    +    5.5e-221  734.1  32.5  -
Bacillaceae_Sinibacillus                         -          LKAP-TSAKG2_A10_080_2018_2 -               17     950      12     941       3     942    1489    +    6.6e-221  734.0  33.8  -
Bacillaceae_Allobacillus                         -          LKAP-TSAKG2_A10_080_2018_2 -                1     927      19     941      19     942    1431    +    8.9e-221  733.4  32.6  -
Bacillaceae_Tenuibacillus                        -          LKAP-TSAKG2_A10_080_2018_2 -               14     944      12     941       3     942    1479    +    1.3e-220  732.7  34.2  -
Bacillaceae_Streptohalobacillus                  -          LKAP-TSAKG2_A10_080_2018_2 -                1     930      16     941      16     942    1481    +    1.9e-220  732.1  32.7  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_A10_080_2018_2 -               17     928      19     942       6     942    1494    +    2.9e-220  732.0  32.1  -
Planococcaceae_Filibacter                        -          LKAP-TSAKG2_A10_080_2018_2 -               28     943      13     941       3     942    1517    +      4e-220  731.3  32.1  -
Bacillaceae_Cerasibacillus                       -          LKAP-TSAKG2_A10_080_2018_2 -               20     952      12     941       3     942    1484    +    4.7e-220  731.1  34.3  -
Erysipelotrichaceae_Erysipelothrix               -          LKAP-TSAKG2_A10_080_2018_2 -               26     934      14     942       4     942    1467    +      1e-219  730.5  32.8  -
Bacillaceae_Alkalilactibacillus                  -          LKAP-TSAKG2_A10_080_2018_2 -               37     975      12     941       3     942    1567    +    1.3e-219  729.6  33.8  -
Thermoanaerobacteraceae_Thermanaeromonas         -          LKAP-TSAKG2_A10_080_2018_2 -               31     936      15     942       5     942    1506    +    1.8e-219  729.4  31.7  -
Thermoanaerobacteraceae_Thermoanaerobacter       -          LKAP-TSAKG2_A10_080_2018_2 -               34     927      15     942       4     942    1525    +      2e-219  728.9  31.5  -
Peptococcaceae_Desulfitispora                    -          LKAP-TSAKG2_A10_080_2018_2 -               13     914      51     942      42     942    1479    +    2.5e-219  728.9  31.7  -
Spirochaetaceae_Treponema                        -          LKAP-TSAKG2_A10_080_2018_2 -               14     926       9     942       4     942    1477    +    7.1e-219  727.7  32.1  -
Bacillaceae_Aeribacillus                         -          LKAP-TSAKG2_A10_080_2018_2 -               23     940      13     941       3     942    1516    +    1.8e-218  725.9  32.1  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-TSAKG2_A10_080_2018_2 -                9     885      19     942      12     942    1412    +    2.9e-218  725.5  29.1  -
Clostridiaceae_Hathewaya                         -          LKAP-TSAKG2_A10_080_2018_2 -               35     920      12     942       5     942    1507    +    3.4e-218  725.2  30.8  -
Geobacteraceae_Geoalkalibacter                   -          LKAP-TSAKG2_A10_080_2018_2 -               38     964      15     942       5     942    1556    +    4.8e-218  724.5  32.4  -
Leuconostocaceae_Oenococcus                      -          LKAP-TSAKG2_A10_080_2018_2 -               20     955      15     942       5     942    1496    +    5.4e-218  724.8  33.5  -
Bacillaceae_Falsibacillus                        -          LKAP-TSAKG2_A10_080_2018_2 -               37     906      74     941      53     942    1413    +    5.4e-218  724.2  30.5  -
Staphylococcaceae_Corticicoccus                  -          LKAP-TSAKG2_A10_080_2018_2 -               11     937      15     941       6     942    1465    +    7.4e-218  723.8  33.2  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-TSAKG2_A10_080_2018_2 -               24     955      12     941       3     942    1521    +    8.5e-218  723.7  34.1  -
Sporomusaceae_Sporomusa                          -          LKAP-TSAKG2_A10_080_2018_2 -               37     957      15     942       4     942    1532    +    1.2e-217  723.2  31.1  -
Bacillaceae_Fermentibacillus                     -          LKAP-TSAKG2_A10_080_2018_2 -               37     952      13     941       3     942    1530    +    1.5e-217  722.7  32.4  -
Planococcaceae_Savagea                           -          LKAP-TSAKG2_A10_080_2018_2 -               38     955      12     941       3     942    1547    +    2.5e-217  722.0  32.0  -
Peptostreptococcaceae_Filifactor                 -          LKAP-TSAKG2_A10_080_2018_2 -               17     911      14     942       3     942    1450    +    3.9e-217  721.7  32.0  -
Peptococcaceae_Peptococcus                       -          LKAP-TSAKG2_A10_080_2018_2 -               23     951      18     942       4     942    1488    +    4.6e-217  721.4  33.7  -
Clostridiales_Thermaerobacter                    -          LKAP-TSAKG2_A10_080_2018_2 -               38     959      15     942       5     942    1520    +    7.9e-217  720.7  32.6  -
Heliobacteriaceae_Heliobacterium                 -          LKAP-TSAKG2_A10_080_2018_2 -               41     923      19     942       7     942    1500    +      8e-217  720.7  30.2  -
Desulfobacteraceae_Desulfobacterium              -          LKAP-TSAKG2_A10_080_2018_2 -               32     962      12     942       6     942    1522    +    1.8e-216  719.3  32.7  -
