# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_C01_011_2018_2 -               46     888      25     866       5     866    1526    +           0 1061.7  23.4  -
Planococcaceae_Paenisporosarcina                 -          LKAP-TSAKG2_C01_011_2018_2 -               63     858      73     866      51     866    1481    +    1.6e-261  868.6  19.7  -
Bacillaceae_Lysinibacillus                       -          LKAP-TSAKG2_C01_011_2018_2 -               26     867      18     866       4     866    1476    +    2.4e-259  861.4  21.7  -
Planococcaceae_Chryseomicrobium                  -          LKAP-TSAKG2_C01_011_2018_2 -               33     865      25     866       5     866    1483    +    3.2e-258  857.7  21.2  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-TSAKG2_C01_011_2018_2 -               33     865      25     866       5     866    1507    +    3.4e-257  854.3  21.2  -
Bacillaceae_Viridibacillus                       -          LKAP-TSAKG2_C01_011_2018_2 -               67     865      70     866      49     866    1505    +      1e-256  852.6  19.7  -
Planococcaceae_Planomicrobium                    -          LKAP-TSAKG2_C01_011_2018_2 -               33     863      25     866       5     866    1485    +    1.4e-256  852.4  21.1  -
Planococcaceae_Ureibacillus                      -          LKAP-TSAKG2_C01_011_2018_2 -               79     873      73     866      52     866    1497    +    1.5e-256  852.2  19.8  -
Enterococcaceae_Enterococcus                     -          LKAP-TSAKG2_C01_011_2018_2 -               79     874      72     866      51     866    1502    +    3.3e-256  851.0  19.9  -
Bacillaceae_Amphibacillus                        -          LKAP-TSAKG2_C01_011_2018_2 -               33     881      25     866       5     866    1490    +    8.5e-256  849.8  23.3  -
Bacillaceae_Sediminibacillus                     -          LKAP-TSAKG2_C01_011_2018_2 -               14     863      25     866      16     866    1478    +    8.9e-256  849.7  23.0  -
Bacillaceae_Gracilibacillus                      -          LKAP-TSAKG2_C01_011_2018_2 -               32     881      22     866       4     866    1511    +      1e-255  849.5  23.2  -
Listeriaceae_Listeria                            -          LKAP-TSAKG2_C01_011_2018_2 -               55     850      73     866      52     866    1458    +    1.3e-255  849.4  19.7  -
Enterococcaceae_Vagococcus                       -          LKAP-TSAKG2_C01_011_2018_2 -               76     875      69     866      48     866    1472    +    5.8e-255  847.1  20.0  -
Planococcaceae_Planococcus                       -          LKAP-TSAKG2_C01_011_2018_2 -               43     873      25     866       6     866    1492    +    6.5e-255  846.8  21.1  -
Bacillaceae_Psychrobacillus                      -          LKAP-TSAKG2_C01_011_2018_2 -               74     873      70     866      49     866    1503    +    1.9e-254  845.1  19.7  -
Bacillaceae_Anoxybacillus                        -          LKAP-TSAKG2_C01_011_2018_2 -               71     866      73     866      53     866    1495    +    6.5e-254  843.5  19.8  -
Bacillaceae_Fictibacillus                        -          LKAP-TSAKG2_C01_011_2018_2 -               14     842      25     866      16     866    1439    +    1.1e-253  842.6  20.8  -
Staphylococcaceae_Staphylococcus                 -          LKAP-TSAKG2_C01_011_2018_2 -               79     873      73     866      51     866    1484    +    5.2e-253  840.4  19.7  -
Bacillaceae_Paraliobacillus                      -          LKAP-TSAKG2_C01_011_2018_2 -               31     882      24     866       5     866    1511    +    9.9e-253  839.7  23.2  -
Planococcaceae_Bhargavaea                        -          LKAP-TSAKG2_C01_011_2018_2 -               53     882      25     866       5     866    1544    +    2.8e-252  838.1  20.9  -
Bacillales_Solibacillus                          -          LKAP-TSAKG2_C01_011_2018_2 -               78     872      74     866      64     866    1525    +    8.8e-252  836.4  19.3  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-TSAKG2_C01_011_2018_2 -               35     856      25     866       5     866    1483    +    3.3e-251  834.5  20.7  -
Bacillaceae_Thalassobacillus                     -          LKAP-TSAKG2_C01_011_2018_2 -               38     888      24     866       5     866    1506    +    3.3e-251  834.7  23.6  -
Bacillaceae_Halobacillus                         -          LKAP-TSAKG2_C01_011_2018_2 -               29     881      22     866       3     866    1520    +    1.6e-250  832.3  23.4  -
Staphylococcaceae_Salinicoccus                   -          LKAP-TSAKG2_C01_011_2018_2 -               59     857      70     866      47     866    1476    +    2.1e-250  831.9  19.9  -
Planococcaceae_Caryophanon                       -          LKAP-TSAKG2_C01_011_2018_2 -               60     896      25     866       5     866    1492    +    1.1e-249  829.3  21.7  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-TSAKG2_C01_011_2018_2 -               94     894      68     866      45     866    1520    +    1.8e-249  828.9  20.2  -
Bacillaceae_Halolactibacillus                    -          LKAP-TSAKG2_C01_011_2018_2 -               20     868      25     866      13     866    1491    +    4.4e-249  827.4  22.9  -
Bacillaceae_Alkalibacillus                       -          LKAP-TSAKG2_C01_011_2018_2 -               22     870      23     866       6     866    1492    +    7.1e-249  826.9  23.6  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-TSAKG2_C01_011_2018_2 -               33     863      25     866       5     866    1503    +    3.6e-248  824.4  21.8  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-TSAKG2_C01_011_2018_2 -               18     851      24     866      12     866    1443    +    1.1e-247  822.9  21.4  -
Aerococcaceae_Aerococcus                         -          LKAP-TSAKG2_C01_011_2018_2 -               61     855      73     866      53     866    1461    +    1.4e-246  819.1  19.8  -
Bacillaceae_Salipaludibacillus                   -          LKAP-TSAKG2_C01_011_2018_2 -               14     862      24     866      16     866    1480    +    6.1e-245  813.8  22.9  -
Bacillaceae_Piscibacillus                        -          LKAP-TSAKG2_C01_011_2018_2 -               10     857      24     866      15     866    1520    +    6.5e-245  813.8  22.8  -
Enterococcaceae_Tetragenococcus                  -          LKAP-TSAKG2_C01_011_2018_2 -               37     875      24     866       4     866    1518    +    3.9e-243  807.8  22.7  -
Bacillaceae_Anaerobacillus                       -          LKAP-TSAKG2_C01_011_2018_2 -               52     884      25     866       5     866    1512    +    1.4e-242  805.8  21.0  -
Bacillaceae_Pelagirhabdus                        -          LKAP-TSAKG2_C01_011_2018_2 -                1     852      25     866      25     866    1462    +    1.9e-242  805.4  23.0  -
Carnobacteriaceae_Granulicatella                 -          LKAP-TSAKG2_C01_011_2018_2 -               87     885      70     866      48     866    1407    +      2e-242  805.4  19.9  -
Bacillaceae_Salimicrobium                        -          LKAP-TSAKG2_C01_011_2018_2 -               31     882      24     866       5     866    1500    +      6e-242  803.9  23.4  -
Bacillaceae_Tepidibacillus                       -          LKAP-TSAKG2_C01_011_2018_2 -               57     869      50     866      26     866    1493    +    6.2e-241  800.1  20.6  -
Paenibacillaceae_Brevibacillus                   -          LKAP-TSAKG2_C01_011_2018_2 -               32     850      25     866       5     866    1486    +    6.8e-241  800.4  20.6  -
Bacillaceae_Alteribacillus                       -          LKAP-TSAKG2_C01_011_2018_2 -                3     852      24     866      22     866    1440    +    5.4e-240  797.5  23.1  -
Bacillales_Geomicrobium                          -          LKAP-TSAKG2_C01_011_2018_2 -               80     877      73     866      52     866    1537    +    1.1e-239  796.4  19.8  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-TSAKG2_C01_011_2018_2 -               18     858      20     866       6     866    1453    +    1.1e-239  796.2  21.8  -
Bacillaceae_Alkalicoccus                         -          LKAP-TSAKG2_C01_011_2018_2 -               51     907      24     866       4     866    1558    +    7.3e-239  793.6  23.3  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-TSAKG2_C01_011_2018_2 -               11     862      25     866      17     866    1488    +    4.1e-238  791.1  23.0  -
Bacillales_Gemella                               -          LKAP-TSAKG2_C01_011_2018_2 -               74     867      72     866      51     866    1511    +    8.7e-238  790.2  19.3  -
Listeriaceae_Brochothrix                         -          LKAP-TSAKG2_C01_011_2018_2 -               55     851      71     866      50     866    1421    +    1.7e-237  789.3  19.9  -
Aerococcaceae_Facklamia                          -          LKAP-TSAKG2_C01_011_2018_2 -               34     867      26     866       6     866    1501    +    3.4e-237  788.2  21.6  -
Bacillaceae_Geobacillus                          -          LKAP-TSAKG2_C01_011_2018_2 -               84     881      73     866      53     866    1527    +    3.6e-237  788.1  19.9  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-TSAKG2_C01_011_2018_2 -               51     853      65     866      40     866    1494    +    7.8e-237  786.9  20.6  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-TSAKG2_C01_011_2018_2 -               34     885      18     866       4     866    1506    +    1.5e-236  786.1  23.4  -
Bacillaceae_Salisediminibacterium                -          LKAP-TSAKG2_C01_011_2018_2 -                5     856      22     866      18     866    1449    +    7.5e-236  783.7  22.9  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-TSAKG2_C01_011_2018_2 -               70     854      73     866      53     866    1497    +    2.2e-235  782.2  19.8  -
Bacillaceae_Salibacterium                        -          LKAP-TSAKG2_C01_011_2018_2 -                7     861      17     866      12     866    1485    +    3.3e-235  781.5  23.0  -
Carnobacteriaceae_Trichococcus                   -          LKAP-TSAKG2_C01_011_2018_2 -               79     875      74     866      54     866    1513    +    5.3e-235  780.6  20.0  -
Bacillaceae_Salsuginibacillus                    -          LKAP-TSAKG2_C01_011_2018_2 -               53     906      22     866       5     866    1505    +    1.8e-233  775.8  23.2  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-TSAKG2_C01_011_2018_2 -               30     859      26     866       6     866    1466    +    3.3e-232  771.7  21.3  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-TSAKG2_C01_011_2018_2 -              100     896      73     866      53     866    1546    +    5.9e-232  770.6  19.8  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-TSAKG2_C01_011_2018_2 -               28     853      42     866      22     866    1511    +      9e-232  769.9  21.9  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-TSAKG2_C01_011_2018_2 -               83     878      73     866      51     866    1486    +    1.1e-231  769.8  19.7  -
Paenibacillaceae_Cohnella                        -          LKAP-TSAKG2_C01_011_2018_2 -               75     868      72     866      48     866    1482    +    2.3e-230  765.6  19.3  -
Paenibacillaceae_Fontibacillus                   -          LKAP-TSAKG2_C01_011_2018_2 -               77     871      73     866      29     866    1487    +    2.9e-230  765.1  19.4  -
Bacillales_Desulfuribacillus                     -          LKAP-TSAKG2_C01_011_2018_2 -               43     872      26     866       6     866    1495    +    6.6e-230  763.9  21.2  -
Eubacteriaceae_Eubacterium                       -          LKAP-TSAKG2_C01_011_2018_2 -               38     865      14     866       5     866    1476    +    1.3e-228  759.7  23.5  -
Lactobacillaceae_Pediococcus                     -          LKAP-TSAKG2_C01_011_2018_2 -              104     901      71     866      50     866    1526    +      2e-228  759.1  19.9  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-TSAKG2_C01_011_2018_2 -               43     871      25     866       5     866    1439    +      2e-227  755.7  21.8  -
Paenibacillaceae_Saccharibacillus                -          LKAP-TSAKG2_C01_011_2018_2 -               74     869      72     866      51     866    1498    +    6.2e-227  754.6  19.6  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-TSAKG2_C01_011_2018_2 -               30     859      13     866       4     866    1493    +    3.1e-226  751.6  22.0  -
Leuconostocaceae_Weissella                       -          LKAP-TSAKG2_C01_011_2018_2 -               89     888      68     866      46     866    1485    +    7.5e-226  750.5  20.4  -
Bacillaceae_Marinococcus                         -          LKAP-TSAKG2_C01_011_2018_2 -               11     874      13     866       5     866    1503    +    1.4e-224  746.4  23.4  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-TSAKG2_C01_011_2018_2 -               83     883      68     866      27     866    1510    +    8.7e-224  743.9  20.9  -
Bacillaceae_Thermolongibacillus                  -          LKAP-TSAKG2_C01_011_2018_2 -               38     839      73     866      53     866    1432    +    1.6e-222  739.4  19.9  -
Bacillaceae_Calditerricola                       -          LKAP-TSAKG2_C01_011_2018_2 -               53     897      25     866       6     866    1535    +    3.1e-222  738.5  23.2  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-TSAKG2_C01_011_2018_2 -               64     861      69     866      35     866    1489    +    5.9e-222  737.8  20.9  -
Streptococcaceae_Streptococcus                   -          LKAP-TSAKG2_C01_011_2018_2 -               78     874      70     866      48     866    1497    +    7.3e-222  737.4  19.9  -
Bacillaceae_Salirhabdus                          -          LKAP-TSAKG2_C01_011_2018_2 -               45     891      23     866       4     866    1546    +    4.8e-221  734.4  23.5  -
Leuconostocaceae_Leuconostoc                     -          LKAP-TSAKG2_C01_011_2018_2 -               61     856      71     866      50     866    1477    +    7.2e-220  730.8  19.8  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-TSAKG2_C01_011_2018_2 -               71     869      68     866      47     866    1509    +    8.1e-220  730.8  20.6  -
Thermoactinomycetaceae_Marininema                -          LKAP-TSAKG2_C01_011_2018_2 -               86     882      72     866      50     866    1553    +    9.1e-220  730.3  20.3  -
Thermoactinomycetaceae_Desmospora                -          LKAP-TSAKG2_C01_011_2018_2 -               86     885      70     866      48     866    1548    +    3.5e-219  728.7  19.9  -
Thermoactinomycetaceae_Planifilum                -          LKAP-TSAKG2_C01_011_2018_2 -               92     886      75     866      55     866    1517    +    6.5e-219  727.6  19.7  -
Streptococcaceae_Lactococcus                     -          LKAP-TSAKG2_C01_011_2018_2 -               39     870      25     866       5     866    1492    +    9.6e-218  723.4  22.0  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-TSAKG2_C01_011_2018_2 -               81     841      75     866      53     866    1464    +    3.4e-215  715.4  18.7  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-TSAKG2_C01_011_2018_2 -               58     820      75     866      55     866    1428    +    7.9e-215  714.1  19.7  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-TSAKG2_C01_011_2018_2 -               46     835      71     866      51     866    1465    +      7e-214  711.0  21.0  -
Paenibacillaceae_Thermobacillus                  -          LKAP-TSAKG2_C01_011_2018_2 -               53     901      25     866       5     866    1599    +    1.2e-212  706.8  23.2  -
Leuconostocaceae_Fructobacillus                  -          LKAP-TSAKG2_C01_011_2018_2 -               71     864      73     866      52     866    1485    +    2.7e-211  702.4  19.7  -
Bacillaceae_Paucisalibacillus                    -          LKAP-TSAKG2_C01_011_2018_2 -               47     892      24     866       4     866    1441    +    1.1e-206  686.6  23.2  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-TSAKG2_C01_011_2018_2 -               74     863      70     866      50     866    1516    +    1.3e-205  683.8  20.3  -
Ruminococcaceae_Ruminococcus                     -          LKAP-TSAKG2_C01_011_2018_2 -               20     831      24     865      10     866    1394    +    2.5e-205  682.4  23.0  -
Planococcaceae_Filibacter                        -          LKAP-TSAKG2_C01_011_2018_2 -               78     873      73     866      53     866    1517    +      3e-205  681.9  19.8  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-TSAKG2_C01_011_2018_2 -               27     851      13     866       4     866    1485    +    3.1e-205  682.0  22.2  -
Bacillaceae_Compostibacillus                     -          LKAP-TSAKG2_C01_011_2018_2 -              152     948      72     866      52     866    1555    +    3.5e-205  681.7  20.3  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-TSAKG2_C01_011_2018_2 -               85     848      74     866      29     866    1510    +    2.6e-204  679.3  21.0  -
Erysipelotrichaceae_Breznakia                    -          LKAP-TSAKG2_C01_011_2018_2 -              103     886      74     866      54     866    1508    +    4.9e-204  678.1  20.3  -
Bacillaceae_Falsibacillus                        -          LKAP-TSAKG2_C01_011_2018_2 -               37     836      69     866      49     866    1413    +    6.9e-204  677.4  20.2  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-TSAKG2_C01_011_2018_2 -               39     882      25     866       5     866    1523    +    7.4e-204  677.5  21.9  -
Bacillaceae_Streptohalobacillus                  -          LKAP-TSAKG2_C01_011_2018_2 -                9     860      22     866      15     866    1481    +    2.2e-202  672.3  23.0  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-TSAKG2_C01_011_2018_2 -               34     873      23     866       3     866    1493    +    2.5e-202  672.6  23.7  -
Bacillaceae_Natronobacillus                      -          LKAP-TSAKG2_C01_011_2018_2 -               58     906      23     866       4     866    1473    +    4.3e-202  671.6  23.4  -
Sporolactobacillaceae_Tuberibacillus             -          LKAP-TSAKG2_C01_011_2018_2 -               31     876      23     866       4     866    1486    +    6.1e-202  671.0  23.4  -
Sporolactobacillaceae_Terrilactibacillus         -          LKAP-TSAKG2_C01_011_2018_2 -               30     830      65     866      44     866    1456    +    7.7e-202  670.7  21.1  -
Clostridiaceae_Hathewaya                         -          LKAP-TSAKG2_C01_011_2018_2 -               34     849      10     866       4     866    1507    +    8.5e-202  670.7  21.0  -
Erysipelotrichaceae_Erysipelothrix               -          LKAP-TSAKG2_C01_011_2018_2 -               77     863      71     866      51     866    1467    +    2.3e-201  669.5  20.5  -
Bacillaceae_Filobacillus                         -          LKAP-TSAKG2_C01_011_2018_2 -               24     870      23     866       5     866    1491    +    2.4e-201  668.9  23.3  -
Bacillaceae_Saliterribacillus                    -          LKAP-TSAKG2_C01_011_2018_2 -               51     904      23     866       4     866    1472    +    6.9e-201  667.5  23.2  -
Peptococcaceae_Sporotomaculum                    -          LKAP-TSAKG2_C01_011_2018_2 -              144     926      65     866      44     866    1510    +    9.9e-201  667.2  20.7  -
Bacillaceae_Cerasibacillus                       -          LKAP-TSAKG2_C01_011_2018_2 -               34     882      23     866       4     866    1484    +    2.1e-200  665.9  23.4  -
Peptococcaceae_Pelotomaculum                     -          LKAP-TSAKG2_C01_011_2018_2 -               13     841       9     866       1     866    1467    +    2.1e-200  665.9  22.3  -
Selenomonadaceae_Selenomonas                     -          LKAP-TSAKG2_C01_011_2018_2 -               91     897      71     866      49     866    1508    +    2.6e-200  665.8  20.0  -
Clostridiaceae_Alkaliphilus                      -          LKAP-TSAKG2_C01_011_2018_2 -               33     844      25     866       5     866    1465    +    2.8e-200  665.3  23.4  -
Bacillaceae_Alkalilactibacillus                  -          LKAP-TSAKG2_C01_011_2018_2 -               51     905      23     866       4     866    1567    +    3.8e-200  665.2  23.4  -
Peptococcaceae_Desulfitobacterium                -          LKAP-TSAKG2_C01_011_2018_2 -               85     889      72     866      51     866    1521    +    3.8e-200  664.8  19.8  -
Bacillaceae_Fermentibacillus                     -          LKAP-TSAKG2_C01_011_2018_2 -               87     882      73     866      52     866    1530    +    5.1e-200  664.5  19.9  -
Bacillaceae_Aquisalibacillus                     -          LKAP-TSAKG2_C01_011_2018_2 -               54     898      23     866       4     866    1484    +    5.1e-200  664.5  23.1  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-TSAKG2_C01_011_2018_2 -               38     885      23     866       4     866    1521    +    5.2e-200  664.7  23.4  -
Entomoplasmataceae_Entomoplasma                  -          LKAP-TSAKG2_C01_011_2018_2 -               65     851      75     866      55     866    1498    +    1.2e-199  663.9  19.7  -
Planococcaceae_Savagea                           -          LKAP-TSAKG2_C01_011_2018_2 -               91     885      73     866      51     866    1547    +    1.9e-199  662.6  19.6  -
Bacillaceae_Melghiribacillus                     -          LKAP-TSAKG2_C01_011_2018_2 -               40     887      23     866       4     866    1552    +    1.9e-199  662.8  23.4  -
Bacillaceae_Sinibacillus                         -          LKAP-TSAKG2_C01_011_2018_2 -               31     880      23     866       4     866    1489    +    2.3e-199  662.6  23.4  -
Clostridiaceae_Caloramator                       -          LKAP-TSAKG2_C01_011_2018_2 -               31     830      25     866       6     866    1453    +    3.5e-199  662.1  21.1  -
Geobacteraceae_Geobacter                         -          LKAP-TSAKG2_C01_011_2018_2 -               63     869      70     866      48     866    1470    +    5.7e-199  661.3  20.0  -
Spirochaetaceae_Spirochaeta                      -          LKAP-TSAKG2_C01_011_2018_2 -               73     865      71     866      50     866    1495    +    5.7e-199  661.4  20.2  -
Clostridiaceae_Brassicibacter                    -          LKAP-TSAKG2_C01_011_2018_2 -               15     842      11     866       2     866    1454    +    6.9e-199  661.0  23.0  -
Desulfuromonadaceae_Pelobacter                   -          LKAP-TSAKG2_C01_011_2018_2 -               75     889      58     866      28     866    1542    +      8e-199  661.0  21.1  -
Acetobacteraceae_Acetobacter                     -          LKAP-TSAKG2_C01_011_2018_2 -               50     801      69     866      49     866    1433    +    8.7e-199  660.9  19.8  -
Bacillaceae_Caenibacillus                        -          LKAP-TSAKG2_C01_011_2018_2 -               31     877      23     866       4     866    1490    +    9.1e-198  657.3  23.5  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-TSAKG2_C01_011_2018_2 -               26     873      13     866       5     866    1521    +      1e-197  657.2  22.4  -
Bacillaceae_Tenuibacillus                        -          LKAP-TSAKG2_C01_011_2018_2 -               28     874      23     866       4     866    1479    +    2.6e-197  655.6  23.3  -
Bacillaceae_Halalkalibacillus                    -          LKAP-TSAKG2_C01_011_2018_2 -               24     871      23     866       5     866    1492    +    2.6e-197  655.7  23.7  -
Bacillales_Chungangia                            -          LKAP-TSAKG2_C01_011_2018_2 -               76     870      73     866      53     866    1440    +    5.3e-197  654.6  19.7  -
Desulfuromonadaceae_Desulfuromonas               -          LKAP-TSAKG2_C01_011_2018_2 -               67     881      60     866      27     866    1512    +      1e-196  653.9  20.9  -
Entomoplasmataceae_Mesoplasma                    -          LKAP-TSAKG2_C01_011_2018_2 -               65     851      75     866      54     866    1497    +    1.8e-196  653.3  20.0  -
Clostridiales_Tissierella                        -          LKAP-TSAKG2_C01_011_2018_2 -               33     861      12     866       3     866    1415    +    2.6e-196  652.6  23.5  -
Staphylococcaceae_Corticicoccus                  -          LKAP-TSAKG2_C01_011_2018_2 -               23     867      24     866       9     866    1465    +      3e-196  652.1  23.2  -
Bacillaceae_Allobacillus                         -          LKAP-TSAKG2_C01_011_2018_2 -               10     857      25     866      17     866    1431    +      4e-196  651.7  22.7  -
Clostridiaceae_Natronincola                      -          LKAP-TSAKG2_C01_011_2018_2 -               48     857      24     866       5     866    1489    +    5.3e-196  651.3  23.7  -
Veillonellaceae_Dialister                        -          LKAP-TSAKG2_C01_011_2018_2 -               71     877      72     866      51     866    1502    +    9.4e-196  650.6  19.9  -
Staphylococcaceae_Auricoccus                     -          LKAP-TSAKG2_C01_011_2018_2 -               92     893      67     866      46     866    1507    +    1.2e-195  650.1  20.2  -
Peptoniphilaceae_Peptoniphilus                   -          LKAP-TSAKG2_C01_011_2018_2 -                5     813      25     866      22     866    1433    +    1.3e-195  650.5  23.6  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_C01_011_2018_2 -               22     857      22     866       6     866    1494    +    1.6e-195  649.9  21.6  -
Rubrobacteraceae_Rubrobacter                     -          LKAP-TSAKG2_C01_011_2018_2 -               64     860      73     866      29     866    1495    +    1.9e-195  649.7  20.7  -
Natranaerobiaceae_Natranaerobius                 -          LKAP-TSAKG2_C01_011_2018_2 -                7     826      22     866      16     866    1424    +    2.3e-195  649.4  21.0  -
Staphylococcaceae_Abyssicoccus                   -          LKAP-TSAKG2_C01_011_2018_2 -              115     916      67     866      46     866    1576    +    2.4e-195  649.2  20.2  -
Ruminococcaceae_Acetivibrio                      -          LKAP-TSAKG2_C01_011_2018_2 -               28     870      10     865       4     866    1529    +    3.7e-195  648.7  24.2  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-TSAKG2_C01_011_2018_2 -               54     814      74     866      54     866    1412    +    7.3e-195  647.9  19.6  -
Peptostreptococcaceae_Filifactor                 -          LKAP-TSAKG2_C01_011_2018_2 -               56     840      46     866      25     866    1450    +    1.1e-194  647.2  21.9  -
Clostridiaceae_Sporosalibacterium                -          LKAP-TSAKG2_C01_011_2018_2 -               36     863      12     866       4     866    1521    +    1.2e-193  643.6  22.8  -
Bacillaceae_Polygonibacillus                     -          LKAP-TSAKG2_C01_011_2018_2 -               35     832      73     866      53     866    1480    +    1.6e-193  642.9  20.3  -
Carnobacteriaceae_Pisciglobus                    -          LKAP-TSAKG2_C01_011_2018_2 -               40     844      64     866      44     866    1501    +    2.5e-193  642.4  20.6  -
Acholeplasmataceae_Acholeplasma                  -          LKAP-TSAKG2_C01_011_2018_2 -               48     835      71     866      51     866    1437    +    5.2e-193  641.5  20.8  -
Carnobacteriaceae_Desemzia                       -          LKAP-TSAKG2_C01_011_2018_2 -               75     872      71     866      49     866    1505    +    1.1e-192  640.2  20.2  -
Carnobacteriaceae_Isobaculum                     -          LKAP-TSAKG2_C01_011_2018_2 -               79     876      72     866      52     866    1515    +    1.4e-192  639.8  20.1  -
Sporomusaceae_Sporomusa                          -          LKAP-TSAKG2_C01_011_2018_2 -               82     886      74     866      53     866    1532    +    2.6e-192  639.1  19.9  -
Enterococcaceae_Catellicoccus                    -          LKAP-TSAKG2_C01_011_2018_2 -               58     853      72     866      51     866    1480    +    7.4e-192  637.4  20.0  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-TSAKG2_C01_011_2018_2 -               76     895      62     866      32     866    1529    +    7.6e-192  637.7  21.0  -
Streptococcaceae_Faecalicoccus                   -          LKAP-TSAKG2_C01_011_2018_2 -               84     877      68     866      48     866    1380    +    1.2e-191  637.4  21.5  -
Clostridiaceae_Tepidimicrobium                   -          LKAP-TSAKG2_C01_011_2018_2 -               50     867      23     866       5     866    1528    +      6e-191  634.9  23.4  -
