# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_A08_064_2017_1 -               22     898       4     877       1     879    1526    +           0 1054.9  23.8  -
Bacillaceae_Halolactibacillus                    -          LKAP-GUTHK2_A08_064_2017_1 -               15     878      19     877       8     879    1491    +    4.9e-247  820.6  23.4  -
Planococcaceae_Chryseomicrobium                  -          LKAP-GUTHK2_A08_064_2017_1 -                9     875       4     877       1     879    1483    +    1.5e-246  819.0  22.0  -
Planococcaceae_Sporosarcina                      -          LKAP-GUTHK2_A08_064_2017_1 -                9     873       4     877       2     879    1504    +    2.9e-246  818.1  22.5  -
Bacillaceae_Alkalibacillus                       -          LKAP-GUTHK2_A08_064_2017_1 -               18     880      18     877       3     879    1492    +    5.1e-245  814.1  24.1  -
Enterococcaceae_Enterococcus                     -          LKAP-GUTHK2_A08_064_2017_1 -                9     884       4     877       1     879    1502    +    9.5e-245  813.1  23.1  -
Bacillaceae_Piscibacillus                        -          LKAP-GUTHK2_A08_064_2017_1 -                2     867      14     877      13     879    1520    +    1.5e-244  812.6  23.2  -
Staphylococcaceae_Macrococcus                    -          LKAP-GUTHK2_A08_064_2017_1 -               29     896       4     877       2     879    1547    +      2e-244  812.0  22.6  -
Bacillaceae_Paraliobacillus                      -          LKAP-GUTHK2_A08_064_2017_1 -                9     892       4     877       2     879    1511    +    5.7e-244  810.7  24.0  -
Bacillaceae_Fictibacillus                        -          LKAP-GUTHK2_A08_064_2017_1 -                9     852      19     877      14     879    1439    +    1.4e-243  809.2  21.5  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-GUTHK2_A08_064_2017_1 -                6     872      19     877      15     879    1488    +      1e-242  806.4  23.4  -
Enterococcaceae_Vagococcus                       -          LKAP-GUTHK2_A08_064_2017_1 -                9     885       4     877       1     879    1472    +    4.3e-242  804.4  23.1  -
Bacillaceae_Geobacillus                          -          LKAP-GUTHK2_A08_064_2017_1 -               22     891       3     877       1     879    1527    +    8.3e-242  803.5  22.6  -
Planococcaceae_Bhargavaea                        -          LKAP-GUTHK2_A08_064_2017_1 -               43     892      15     877       1     879    1544    +    9.6e-242  803.2  22.3  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-GUTHK2_A08_064_2017_1 -               10     866       3     877       2     879    1483    +    2.2e-241  802.0  21.7  -
Listeriaceae_Listeria                            -          LKAP-GUTHK2_A08_064_2017_1 -               12     860      19     877      11     878    1458    +    9.5e-241  800.1  21.3  -
Bacillaceae_Salimicrobium                        -          LKAP-GUTHK2_A08_064_2017_1 -                8     892       3     877       1     879    1500    +    1.5e-240  799.3  24.0  -
Staphylococcaceae_Salinicoccus                   -          LKAP-GUTHK2_A08_064_2017_1 -               16     867      16     877       2     879    1476    +      2e-240  798.9  22.6  -
Bacillaceae_Viridibacillus                       -          LKAP-GUTHK2_A08_064_2017_1 -                9     875       4     877       2     879    1505    +    4.4e-240  797.5  22.2  -
Bacillaceae_Salisediminibacterium                -          LKAP-GUTHK2_A08_064_2017_1 -                3     866      19     877      17     879    1449    +    3.8e-239  794.7  23.5  -
Planococcaceae_Planomicrobium                    -          LKAP-GUTHK2_A08_064_2017_1 -                9     873       4     877       1     879    1485    +    5.6e-239  794.1  22.4  -
Planococcaceae_Caryophanon                       -          LKAP-GUTHK2_A08_064_2017_1 -               36     906       4     877       2     879    1492    +      8e-239  793.3  22.7  -
Planococcaceae_Planococcus                       -          LKAP-GUTHK2_A08_064_2017_1 -               19     883       4     877       2     879    1492    +    3.2e-238  791.5  22.4  -
Paenibacillaceae_Brevibacillus                   -          LKAP-GUTHK2_A08_064_2017_1 -                7     860       3     877       1     878    1486    +    3.5e-238  791.4  21.8  -
Bacillaceae_Pelagirhabdus                        -          LKAP-GUTHK2_A08_064_2017_1 -                1     862      24     877      24     879    1462    +      8e-238  790.1  23.6  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-GUTHK2_A08_064_2017_1 -               11     861      17     877       8     879    1443    +    1.5e-236  786.0  21.8  -
Staphylococcaceae_Staphylococcus                 -          LKAP-GUTHK2_A08_064_2017_1 -               17     883       3     877       1     879    1484    +    3.2e-236  784.8  22.4  -
Bacillales_Solibacillus                          -          LKAP-GUTHK2_A08_064_2017_1 -               31     882      19     877       2     879    1525    +    5.3e-236  784.1  22.0  -
Bacillaceae_Alteribacillus                       -          LKAP-GUTHK2_A08_064_2017_1 -                2     862      22     877      21     878    1440    +    1.4e-235  782.9  23.9  -
Aerococcaceae_Aerococcus                         -          LKAP-GUTHK2_A08_064_2017_1 -               19     865      19     877       4     879    1461    +    1.4e-235  782.7  21.8  -
Planococcaceae_Paenisporosarcina                 -          LKAP-GUTHK2_A08_064_2017_1 -               16     868      17     877       2     879    1481    +    2.4e-235  781.8  21.9  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-GUTHK2_A08_064_2017_1 -               43     904      16     877       2     879    1520    +    7.1e-235  780.5  22.9  -
Bacillaceae_Psychrobacillus                      -          LKAP-GUTHK2_A08_064_2017_1 -               34     883      18     877       1     879    1503    +    1.2e-234  779.5  22.0  -
Bacillaceae_Anaerobacillus                       -          LKAP-GUTHK2_A08_064_2017_1 -               27     894       3     877       2     878    1512    +    1.9e-234  778.8  22.0  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-GUTHK2_A08_064_2017_1 -               10     873       5     877       1     878    1503    +    6.3e-234  777.2  22.8  -
Carnobacteriaceae_Granulicatella                 -          LKAP-GUTHK2_A08_064_2017_1 -               29     895       4     877       1     878    1407    +    2.8e-233  775.1  22.8  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-GUTHK2_A08_064_2017_1 -               55     863      71     877      43     879    1494    +      1e-231  770.0  20.9  -
Enterococcaceae_Tetragenococcus                  -          LKAP-GUTHK2_A08_064_2017_1 -               15     885       5     877       1     878    1518    +    1.3e-230  766.3  23.3  -
Bacillaceae_Salsuginibacillus                    -          LKAP-GUTHK2_A08_064_2017_1 -               51     916      18     877       2     878    1505    +    2.2e-230  765.6  23.7  -
Bacillaceae_Salibacterium                        -          LKAP-GUTHK2_A08_064_2017_1 -                5     871      13     877       8     878    1485    +    3.6e-229  761.5  23.3  -
Aerococcaceae_Facklamia                          -          LKAP-GUTHK2_A08_064_2017_1 -                9     877       4     877       2     879    1501    +      4e-229  761.5  22.6  -
Bacillaceae_Tepidibacillus                       -          LKAP-GUTHK2_A08_064_2017_1 -               24     879      12     877       1     879    1493    +    1.4e-228  759.1  22.5  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-GUTHK2_A08_064_2017_1 -               18     895       5     877       1     879    1506    +    3.4e-228  758.4  24.1  -
Bacillales_Gemella                               -          LKAP-GUTHK2_A08_064_2017_1 -               12     877       4     877       2     879    1511    +    3.4e-227  755.1  22.6  -
Carnobacteriaceae_Trichococcus                   -          LKAP-GUTHK2_A08_064_2017_1 -               30     885      19     877       1     879    1513    +    9.6e-226  750.0  22.3  -
Bacillales_Geomicrobium                          -          LKAP-GUTHK2_A08_064_2017_1 -               20     887       4     877       2     878    1537    +    6.6e-225  747.4  22.6  -
Listeriaceae_Brochothrix                         -          LKAP-GUTHK2_A08_064_2017_1 -               15     861      19     877       6     878    1421    +    8.4e-225  747.3  21.6  -
Paenibacillaceae_Cohnella                        -          LKAP-GUTHK2_A08_064_2017_1 -               22     878      12     877       2     879    1482    +      4e-224  745.0  22.3  -
Bacillaceae_Thermolongibacillus                  -          LKAP-GUTHK2_A08_064_2017_1 -               39     849      75     877      65     879    1432    +      5e-224  744.4  20.2  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-GUTHK2_A08_064_2017_1 -               16     863      19     877      12     879    1511    +    4.2e-223  741.2  22.3  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-GUTHK2_A08_064_2017_1 -               22     869       4     877       2     879    1493    +      6e-222  737.4  21.0  -
Eubacteriaceae_Eubacterium                       -          LKAP-GUTHK2_A08_064_2017_1 -               28     875       3     877       2     878    1476    +    6.3e-222  737.5  22.5  -
Bacillaceae_Calditerricola                       -          LKAP-GUTHK2_A08_064_2017_1 -               29     907       4     877       2     879    1535    +    1.2e-221  736.7  24.2  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-GUTHK2_A08_064_2017_1 -               59     868      72     877      52     879    1453    +    5.3e-221  734.4  20.7  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-GUTHK2_A08_064_2017_1 -                4     869       3     877       2     879    1466    +    6.9e-221  734.2  22.6  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-GUTHK2_A08_064_2017_1 -                9     888       4     877       2     879    1486    +    2.2e-220  732.4  23.1  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-GUTHK2_A08_064_2017_1 -               11     864       4     877       2     879    1497    +    7.6e-220  730.7  22.0  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-GUTHK2_A08_064_2017_1 -               44     906      15     877       1     879    1546    +    1.2e-219  729.9  22.9  -
Lactobacillaceae_Pediococcus                     -          LKAP-GUTHK2_A08_064_2017_1 -              101     911      69     877      48     878    1526    +    1.1e-217  723.5  20.9  -
Paenibacillaceae_Saccharibacillus                -          LKAP-GUTHK2_A08_064_2017_1 -               30     879      18     877       2     879    1498    +    5.8e-217  721.6  22.0  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-GUTHK2_A08_064_2017_1 -               17     871       4     877       1     879    1489    +    2.4e-215  715.9  22.3  -
Paenibacillaceae_Fontibacillus                   -          LKAP-GUTHK2_A08_064_2017_1 -               13     881       3     877       1     879    1487    +    1.9e-214  712.8  21.8  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-GUTHK2_A08_064_2017_1 -               29     893       4     877       2     879    1510    +      9e-214  710.7  23.1  -
Bacillaceae_Marinococcus                         -          LKAP-GUTHK2_A08_064_2017_1 -               12     884      12     877       3     878    1503    +    1.5e-213  709.9  23.9  -
Bacillales_Desulfuribacillus                     -          LKAP-GUTHK2_A08_064_2017_1 -               18     882       4     877       1     879    1495    +    3.3e-213  708.5  22.2  -
Thermoactinomycetaceae_Planifilum                -          LKAP-GUTHK2_A08_064_2017_1 -               29     896       4     877       2     879    1517    +    6.5e-212  704.4  22.7  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-GUTHK2_A08_064_2017_1 -               29     879       4     877       2     879    1509    +    1.3e-210  700.3  22.6  -
Thermoactinomycetaceae_Desmospora                -          LKAP-GUTHK2_A08_064_2017_1 -               27     895       3     877       1     879    1548    +    2.4e-210  699.4  23.0  -
Thermoactinomycetaceae_Marininema                -          LKAP-GUTHK2_A08_064_2017_1 -               28     892       4     877       2     879    1553    +    7.9e-209  694.0  22.1  -
Bacillaceae_Salirhabdus                          -          LKAP-GUTHK2_A08_064_2017_1 -               24     901       5     877       1     879    1546    +    7.4e-208  690.8  23.9  -
Leuconostocaceae_Leuconostoc                     -          LKAP-GUTHK2_A08_064_2017_1 -               15     866      15     877       2     878    1477    +    2.7e-206  685.8  21.9  -
Leuconostocaceae_Weissella                       -          LKAP-GUTHK2_A08_064_2017_1 -                8     898       6     877       1     878    1485    +    2.8e-206  685.7  23.3  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-GUTHK2_A08_064_2017_1 -               18     844      18     876       4     878    1465    +    6.1e-206  684.8  22.3  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-GUTHK2_A08_064_2017_1 -                9     830       4     877       1     879    1428    +    3.5e-204  678.8  20.5  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-GUTHK2_A08_064_2017_1 -               19     881       4     877       2     879    1439    +    5.5e-204  678.1  22.3  -
Streptococcaceae_Streptococcus                   -          LKAP-GUTHK2_A08_064_2017_1 -               14     884       4     877       1     878    1497    +    6.7e-204  677.8  22.7  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-GUTHK2_A08_064_2017_1 -               40     851      11     877       1     879    1464    +    8.1e-204  677.7  20.0  -
Paenibacillaceae_Thermobacillus                  -          LKAP-GUTHK2_A08_064_2017_1 -               28     911       3     877       2     879    1599    +    5.2e-203  674.8  23.9  -
Peptococcaceae_Desulfitobacterium                -          LKAP-GUTHK2_A08_064_2017_1 -                9     899       4     877       2     879    1521    +    1.1e-202  673.3  23.1  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-GUTHK2_A08_064_2017_1 -               33     892      18     877       2     879    1523    +      3e-202  672.2  22.6  -
Leuconostocaceae_Fructobacillus                  -          LKAP-GUTHK2_A08_064_2017_1 -                9     874       4     877       1     878    1485    +    4.4e-202  671.9  21.7  -
Streptococcaceae_Lactococcus                     -          LKAP-GUTHK2_A08_064_2017_1 -               16     880       5     877       2     878    1492    +    1.5e-201  669.7  22.8  -
Bacillaceae_Melghiribacillus                     -          LKAP-GUTHK2_A08_064_2017_1 -               19     897       5     877       1     879    1552    +    4.7e-201  668.2  24.0  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-GUTHK2_A08_064_2017_1 -               19     861       4     877       2     879    1485    +    4.6e-200  664.9  21.6  -
Bacillaceae_Filobacillus                         -          LKAP-GUTHK2_A08_064_2017_1 -               11     880      12     877       2     879    1491    +    1.9e-199  662.6  24.0  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-GUTHK2_A08_064_2017_1 -               38     858      12     877       2     879    1510    +    2.2e-199  663.0  21.8  -
Bacillaceae_Caenibacillus                        -          LKAP-GUTHK2_A08_064_2017_1 -               10     887       5     877       1     879    1490    +    1.2e-198  660.3  24.0  -
Bacillaceae_Saliterribacillus                    -          LKAP-GUTHK2_A08_064_2017_1 -               30     914       5     877       1     879    1472    +    1.2e-198  660.1  23.8  -
Peptococcaceae_Pelotomaculum                     -          LKAP-GUTHK2_A08_064_2017_1 -                9     851       4     877       2     879    1467    +    5.6e-198  657.9  21.3  -
Bacillaceae_Paucisalibacillus                    -          LKAP-GUTHK2_A08_064_2017_1 -               25     902       5     877       1     879    1441    +      2e-197  656.0  23.8  -
Sporolactobacillaceae_Tuberibacillus             -          LKAP-GUTHK2_A08_064_2017_1 -               10     886       5     877       1     879    1486    +      1e-196  653.7  23.9  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-GUTHK2_A08_064_2017_1 -               31     883      18     877       2     879    1493    +    4.7e-196  651.9  23.5  -
Bacillaceae_Aquisalibacillus                     -          LKAP-GUTHK2_A08_064_2017_1 -               33     908       5     877       1     879    1484    +    6.6e-196  651.0  23.7  -
Bacillaceae_Natronobacillus                      -          LKAP-GUTHK2_A08_064_2017_1 -               51     916      16     877       2     879    1473    +    8.9e-196  650.8  23.7  -
Bacillaceae_Halalkalibacillus                    -          LKAP-GUTHK2_A08_064_2017_1 -               11     881      12     877       2     879    1492    +    9.2e-196  650.6  24.3  -
Clostridiales_Tissierella                        -          LKAP-GUTHK2_A08_064_2017_1 -               26     871       4     877       1     878    1415    +    3.7e-195  648.8  22.3  -
Bacillaceae_Sinibacillus                         -          LKAP-GUTHK2_A08_064_2017_1 -               10     890       5     877       1     879    1489    +    4.5e-195  648.4  23.6  -
Spirochaetaceae_Spirochaeta                      -          LKAP-GUTHK2_A08_064_2017_1 -               20     873       4     875       1     877    1495    +    4.7e-195  648.4  22.4  -
Bacillales_Chungangia                            -          LKAP-GUTHK2_A08_064_2017_1 -               19     880       6     877       1     879    1440    +      6e-195  647.8  22.5  -
Clostridiaceae_Brassicibacter                    -          LKAP-GUTHK2_A08_064_2017_1 -               17     852      11     877       1     879    1454    +      9e-195  647.4  22.2  -
Desulfuromonadaceae_Pelobacter                   -          LKAP-GUTHK2_A08_064_2017_1 -               28     899       4     877       2     879    1542    +    1.4e-194  647.0  22.6  -
Erysipelotrichaceae_Breznakia                    -          LKAP-GUTHK2_A08_064_2017_1 -              103     895      75     876      54     878    1508    +    1.7e-194  646.5  20.9  -
Acetobacteraceae_Acetobacter                     -          LKAP-GUTHK2_A08_064_2017_1 -                9     811       4     877       2     879    1433    +    1.7e-194  646.7  20.5  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-GUTHK2_A08_064_2017_1 -               77     870      74     874      49     877    1516    +      2e-194  646.7  20.8  -
Geobacteraceae_Geobacter                         -          LKAP-GUTHK2_A08_064_2017_1 -                9     879       4     877       2     879    1470    +    2.3e-194  646.0  22.8  -
Peptoniphilaceae_Peptoniphilus                   -          LKAP-GUTHK2_A08_064_2017_1 -                1     823      20     877      20     878    1433    +    2.4e-194  646.4  22.5  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-GUTHK2_A08_064_2017_1 -               17     883       3     877       2     879    1521    +    3.7e-194  645.5  22.8  -
Bacillaceae_Cerasibacillus                       -          LKAP-GUTHK2_A08_064_2017_1 -               13     892       5     877       1     879    1484    +      6e-194  644.6  24.0  -
Bacillaceae_Streptohalobacillus                  -          LKAP-GUTHK2_A08_064_2017_1 -                2     870      14     877      13     879    1481    +    7.1e-194  644.1  23.2  -
Bacillaceae_Tenuibacillus                        -          LKAP-GUTHK2_A08_064_2017_1 -                7     884       5     877       1     879    1479    +    8.9e-194  643.9  23.9  -
Bacillaceae_Allobacillus                         -          LKAP-GUTHK2_A08_064_2017_1 -                5     867      19     877      16     879    1431    +    1.5e-193  643.2  23.2  -
Symbiobacteriaceae_Symbiobacterium               -          LKAP-GUTHK2_A08_064_2017_1 -                4     872       4     877       1     879    1468    +    1.6e-193  643.7  22.9  -
Clostridiaceae_Alkaliphilus                      -          LKAP-GUTHK2_A08_064_2017_1 -               11     854       6     877       2     878    1465    +    1.9e-193  642.7  22.4  -
Ruminococcaceae_Ruminococcus                     -          LKAP-GUTHK2_A08_064_2017_1 -               15     842      18     877       6     879    1394    +    2.4e-193  642.7  22.1  -
Planococcaceae_Filibacter                        -          LKAP-GUTHK2_A08_064_2017_1 -               35     883      17     877       1     879    1517    +      3e-193  642.2  22.2  -
Bacillaceae_Falsibacillus                        -          LKAP-GUTHK2_A08_064_2017_1 -               37     846      70     877      48     879    1413    +    3.9e-193  641.8  21.0  -
Bacillaceae_Alkalilactibacillus                  -          LKAP-GUTHK2_A08_064_2017_1 -               30     915       5     877       1     879    1567    +    2.1e-192  639.6  23.6  -
Rubrobacteraceae_Rubrobacter                     -          LKAP-GUTHK2_A08_064_2017_1 -                9     870       4     877       1     879    1495    +    2.1e-192  639.7  22.6  -
Selenomonadaceae_Selenomonas                     -          LKAP-GUTHK2_A08_064_2017_1 -               29     907       3     877       2     879    1508    +    2.8e-192  639.2  22.7  -
Bacillaceae_Fermentibacillus                     -          LKAP-GUTHK2_A08_064_2017_1 -               30     892       6     877       1     879    1530    +    3.5e-192  638.6  22.3  -
Sporolactobacillaceae_Terrilactibacillus         -          LKAP-GUTHK2_A08_064_2017_1 -               13     840      48     877      34     879    1456    +    6.5e-192  637.8  22.3  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-GUTHK2_A08_064_2017_1 -               17     895       5     877       1     879    1521    +      8e-192  637.7  23.9  -
Bacillaceae_Aeribacillus                         -          LKAP-GUTHK2_A08_064_2017_1 -               15     880       5     877       1     879    1516    +    9.9e-192  637.3  22.3  -
Desulfuromonadaceae_Desulfuromonas               -          LKAP-GUTHK2_A08_064_2017_1 -               17     891       3     877       1     879    1512    +    3.7e-191  635.5  22.7  -
Staphylococcaceae_Corticicoccus                  -          LKAP-GUTHK2_A08_064_2017_1 -                7     877       8     877       3     879    1465    +    6.8e-191  634.4  23.8  -
Veillonellaceae_Dialister                        -          LKAP-GUTHK2_A08_064_2017_1 -               71     887      73     877      50     878    1502    +    7.3e-191  634.4  20.3  -
Erysipelotrichaceae_Erysipelothrix               -          LKAP-GUTHK2_A08_064_2017_1 -               16     872       4     876       1     878    1467    +    1.1e-190  634.1  22.7  -
Clostridiaceae_Caloramator                       -          LKAP-GUTHK2_A08_064_2017_1 -               26     840      19     877       2     879    1453    +    2.2e-190  633.0  20.9  -
Planococcaceae_Savagea                           -          LKAP-GUTHK2_A08_064_2017_1 -               32     895       6     877       1     879    1547    +    2.7e-190  632.4  22.1  -
Clostridiaceae_Sporosalibacterium                -          LKAP-GUTHK2_A08_064_2017_1 -               28     873       3     877       2     879    1521    +    2.9e-190  632.5  21.9  -
Clostridiaceae_Tepidimicrobium                   -          LKAP-GUTHK2_A08_064_2017_1 -               29     877       4     877       2     879    1528    +    5.1e-189  628.5  22.7  -
Natranaerobiaceae_Natranaerobius                 -          LKAP-GUTHK2_A08_064_2017_1 -               17     836      46     877      26     879    1424    +    5.3e-189  628.4  20.6  -
Bacillaceae_Polygonibacillus                     -          LKAP-GUTHK2_A08_064_2017_1 -               35     842      74     877      54     879    1480    +    6.1e-189  627.8  20.8  -
Veillonellaceae_Megasphaera                      -          LKAP-GUTHK2_A08_064_2017_1 -               32     911       4     877       1     879    1528    +    8.2e-189  627.6  22.3  -
Streptococcaceae_Faecalicoccus                   -          LKAP-GUTHK2_A08_064_2017_1 -               48     886      19     876       2     878    1380    +    8.8e-189  627.9  22.6  -
Clostridiaceae_Natronincola                      -          LKAP-GUTHK2_A08_064_2017_1 -               26     867       4     877       2     879    1489    +    9.8e-189  627.2  23.2  -
Peptococcaceae_Sporotomaculum                    -          LKAP-GUTHK2_A08_064_2017_1 -              159     936      75     877      55     879    1510    +    1.6e-188  626.7  19.0  -
Clostridiaceae_Hathewaya                         -          LKAP-GUTHK2_A08_064_2017_1 -               28     859       3     877       2     878    1507    +    2.8e-188  625.9  21.2  -
Bacillaceae_Saccharococcus                       -          LKAP-GUTHK2_A08_064_2017_1 -               45     888      17     877       1     879    1538    +    5.8e-188  624.8  22.4  -
Bacillaceae_Compostibacillus                     -          LKAP-GUTHK2_A08_064_2017_1 -              153     958      74     877      54     879    1555    +    1.5e-187  623.3  20.7  -
Acholeplasmataceae_Acholeplasma                  -          LKAP-GUTHK2_A08_064_2017_1 -               17     844      17     876       4     878    1437    +    1.7e-187  623.2  22.2  -
Peptococcaceae_Thermincola                       -          LKAP-GUTHK2_A08_064_2017_1 -               32     855      19     877       2     879    1482    +    1.8e-187  623.2  20.4  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-GUTHK2_A08_064_2017_1 -               26     905       4     877       2     879    1529    +    2.2e-187  622.9  23.2  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-GUTHK2_A08_064_2017_1 -               54     824      75     877      54     878    1412    +    9.4e-187  621.0  18.7  -
Staphylococcaceae_Auricoccus                     -          LKAP-GUTHK2_A08_064_2017_1 -               35     903       5     877       1     879    1507    +    3.2e-186  619.0  22.6  -
Enterococcaceae_Catellicoccus                    -          LKAP-GUTHK2_A08_064_2017_1 -                8     863      20     877      15     879    1480    +    4.1e-186  618.5  22.2  -
Staphylococcaceae_Abyssicoccus                   -          LKAP-GUTHK2_A08_064_2017_1 -               58     926       5     877       1     879    1576    +    6.3e-186  618.0  22.6  -
Leuconostocaceae_Oenococcus                      -          LKAP-GUTHK2_A08_064_2017_1 -               12     894       5     877       2     879    1496    +    1.2e-185  617.5  23.7  -
Peptococcaceae_Desulfitispora                    -          LKAP-GUTHK2_A08_064_2017_1 -               12     853      46     877      36     879    1479    +    1.4e-185  617.0  22.1  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-GUTHK2_A08_064_2017_1 -               21     867      19     877       3     879    1494    +    1.6e-185  616.7  22.4  -
Spirochaetaceae_Treponema                        -          LKAP-GUTHK2_A08_064_2017_1 -               10     863       5     875       1     877    1477    +    1.6e-185  617.1  22.1  -
