# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          A1b_forward          -                2     900       2     900       1     900    1491    +           0 1155.7  18.8  -
Moraxellaceae_Moraxella                          -          A1b_forward          -                1     886       9     900       9     900    1446    +    1.3e-306 1018.3  18.9  -
Moraxellaceae_Alkanindiges                       -          A1b_forward          -                1     886      14     900      14     900    1396    +    4.2e-255  847.5  18.6  -
Thioalkalispiraceae_Thioprofundum                -          A1b_forward          -               17     926       2     900       1     900    1537    +    5.1e-255  847.4  18.8  -
Ectothiorhodospiraceae_Alkalilimnicola           -          A1b_forward          -               16     914       2     900       1     900    1472    +    3.9e-254  844.5  19.0  -
Oceanospirillaceae_Oleispira                     -          A1b_forward          -               23     922       3     900       1     900    1500    +      5e-254  843.9  18.8  -
Alteromonadaceae_Agarivorans                     -          A1b_forward          -                9     911       2     900       1     900    1454    +      6e-254  843.7  18.9  -
Cardiobacteriaceae_Suttonella                    -          A1b_forward          -                3     902       2     899       1     900    1486    +    1.1e-253  843.0  18.8  -
Ferrimonadaceae_Ferrimonas                       -          A1b_forward          -                2     914       2     900       1     900    1475    +    1.5e-253  842.1  18.8  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          A1b_forward          -                2     892      11     900      10     900    1438    +    1.8e-253  841.9  18.9  -
Pseudomonadaceae_Azomonas                        -          A1b_forward          -                2     886      19     900      18     900    1453    +    2.2e-253  841.7  18.2  -
Halieaceae_Halioglobus                           -          A1b_forward          -                4     896       3     900       1     900    1433    +    2.5e-253  841.6  18.6  -
Thermoleophilaceae_Thermoleophilum               -          A1b_forward          -                1     905       8     900       8     900    1494    +      4e-253  840.8  19.0  -
Thiotrichaceae_Thiothrix                         -          A1b_forward          -                3     856       3     900       1     900    1417    +    4.9e-253  840.6  19.7  -
Cellvibrionaceae_Marinimicrobium                 -          A1b_forward          -                2     896       2     900       1     900    1455    +      5e-253  840.5  18.9  -
Chromatiaceae_Thiohalocapsa                      -          A1b_forward          -               12     904       2     900       1     900    1436    +    6.9e-253  840.4  18.8  -
Legionellaceae_Legionella                        -          A1b_forward          -                2     902       6     900       5     900    1446    +    1.4e-252  839.3  18.9  -
Colwelliaceae_Colwellia                          -          A1b_forward          -                2     904       2     900       1     900    1485    +    1.6e-252  838.9  18.9  -
Alteromonadaceae_Catenovulum                     -          A1b_forward          -                3     896       3     900       1     900    1451    +    2.6e-252  838.1  19.1  -
Moraxellaceae_Paraperlucidibaca                  -          A1b_forward          -                2     898       2     900       1     900    1460    +    4.4e-252  837.4  18.6  -
Chromatiaceae_Halochromatium                     -          A1b_forward          -                3     892       3     900       1     900    1451    +    6.5e-252  837.2  18.7  -
Ectothiorhodospiraceae_Thiohalospira             -          A1b_forward          -                2     865      40     900      39     900    1318    +    1.6e-251  835.7  18.2  -
Methylococcaceae_Methylocaldum                   -          A1b_forward          -               22     923       2     900       1     900    1491    +    2.3e-251  835.3  18.9  -
Oceanospirillales_Salicola                       -          A1b_forward          -               23     913       3     900       1     900    1492    +      4e-251  834.2  19.0  -
Cellvibrionaceae_Umboniibacter                   -          A1b_forward          -               14     907       2     900       1     900    1507    +    8.8e-251  833.3  18.8  -
Idiomarinaceae_Aliidiomarina                     -          A1b_forward          -                2     878      27     900      26     900    1410    +    1.2e-250  832.5  18.5  -
Pseudoalteromonadaceae_Algicola                  -          A1b_forward          -               17     917       2     900       1     900    1490    +    1.3e-250  832.4  18.9  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          A1b_forward          -                3     898       3     900       1     900    1461    +    1.7e-250  832.1  18.6  -
Spongiibacteraceae_Zhongshania                   -          A1b_forward          -               22     918       2     900       1     900    1501    +    3.2e-250  831.2  18.9  -
Hahellaceae_Allohahella                          -          A1b_forward          -               23     916       3     900       1     900    1485    +    5.4e-250  830.7  18.9  -
Chromatiaceae_Thiodictyon                        -          A1b_forward          -                5     894       3     900       1     900    1500    +    5.4e-250  830.8  19.2  -
Cellvibrionaceae_Eionea                          -          A1b_forward          -                5     900       3     900       1     900    1469    +    6.3e-250  830.3  18.3  -
Ectothiorhodospiraceae_Aquisalimonas             -          A1b_forward          -               23     921       2     900       1     900    1464    +      1e-249  829.7  19.3  -
Methylococcaceae_Methylovulum                    -          A1b_forward          -               21     912       2     900       1     900    1492    +    2.1e-249  828.5  18.9  -
Piscirickettsiaceae_Methylophaga                 -          A1b_forward          -                2     898       3     900       2     900    1487    +    2.5e-249  828.2  19.0  -
Hahellaceae_Zooshikella                          -          A1b_forward          -                3     901       3     900       1     900    1483    +    3.2e-249  828.0  18.8  -
Cellvibrionaceae_Gilvimarinus                    -          A1b_forward          -                2     893       6     900       5     900    1445    +    5.8e-249  827.0  19.0  -
Ectothiorhodospiraceae_Spiribacter               -          A1b_forward          -               32     929       2     900       1     900    1544    +    2.1e-248  825.4  18.9  -
Aeromonadaceae_Zobellella                        -          A1b_forward          -                9     911       2     900       1     900    1478    +    3.1e-248  824.5  18.8  -
Pseudoalteromonadaceae_Psychrosphaera            -          A1b_forward          -                6     899       2     900       1     900    1450    +    2.1e-247  822.0  19.0  -
Chromatiaceae_Thiocystis                         -          A1b_forward          -                2     890       2     900       1     900    1451    +    2.5e-247  821.9  18.8  -
Chromatiaceae_Marichromatium                     -          A1b_forward          -               13     900       3     900       1     900    1440    +    2.6e-247  821.9  19.2  -
Alteromonadaceae_Bowmanella                      -          A1b_forward          -               20     916       2     900       1     900    1496    +    4.3e-247  820.9  19.1  -
Chromatiaceae_Thiocapsa                          -          A1b_forward          -               18     906       2     900       1     900    1459    +    5.6e-247  820.8  19.0  -
Moritellaceae_Moritella                          -          A1b_forward          -               22     926       2     900       1     900    1506    +    1.3e-246  819.2  18.8  -
Alteromonadaceae_Paraglaciecola                  -          A1b_forward          -               12     906       2     900       1     900    1495    +    1.6e-246  818.7  19.1  -
Chromatiaceae_Thiorhodococcus                    -          A1b_forward          -               39     866      70     900      48     900    1426    +    3.4e-246  818.0  18.7  -
Vibrionaceae_Vibrio                              -          A1b_forward          -                3     914       3     900       1     900    1466    +    3.6e-246  817.8  18.8  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          A1b_forward          -               20     914       3     900       1     900    1490    +    3.9e-246  817.8  19.0  -
Cellvibrionaceae_Pseudomaricurvus                -          A1b_forward          -                3     895       3     900       1     900    1490    +    1.7e-245  815.5  18.2  -
Halothiobacillaceae_Halothiobacillus             -          A1b_forward          -               22     925       2     900       1     900    1505    +    3.4e-245  814.7  18.7  -
Burkholderiaceae_Limnobacter                     -          A1b_forward          -               22     916       2     899       1     900    1524    +      6e-245  813.9  19.0  -
Chromatiaceae_Allochromatium                     -          A1b_forward          -                3     901       3     900       1     900    1462    +    7.5e-245  813.5  18.9  -
Piscirickettsiaceae_Thiomicrospira               -          A1b_forward          -                8     907       4     900       2     900    1466    +    8.3e-245  813.3  19.0  -
Arenicellaceae_Arenicella                        -          A1b_forward          -               10     906       2     900       1     900    1506    +    9.8e-245  813.3  18.7  -
Burkholderiaceae_Paraburkholderia                -          A1b_forward          -                3     896       3     899       1     900    1472    +    1.8e-244  812.4  18.7  -
Chromatiaceae_Lamprocystis                       -          A1b_forward          -               27     917       2     900       1     900    1406    +    1.8e-244  812.4  18.9  -
Salinisphaeraceae_Salinisphaera                  -          A1b_forward          -                1     889      13     900      13     900    1429    +      2e-244  812.2  18.7  -
Vibrionaceae_Photobacterium                      -          A1b_forward          -                3     914       3     900       1     900    1487    +    2.3e-244  811.7  18.8  -
Ectothiorhodospiraceae_Halorhodospira            -          A1b_forward          -               22     926       2     900       1     900    1479    +    3.2e-244  811.7  18.7  -
Lysobacteraceae_Luteimonas                       -          A1b_forward          -                9     910       4     900       2     900    1490    +    3.5e-244  811.2  19.0  -
Chromatiaceae_Imhoffiella                        -          A1b_forward          -               12     899       3     900       1     900    1484    +    5.5e-244  810.8  19.0  -
Moritellaceae_Paramoritella                      -          A1b_forward          -                3     902       3     900       1     900    1512    +    7.2e-244  810.1  18.8  -
Chromatiaceae_Thiophaeococcus                    -          A1b_forward          -                2     882      10     900       9     900    1440    +    1.1e-243  809.8  18.8  -
Chromatiaceae_Rheinheimera                       -          A1b_forward          -               10     893       3     900       1     900    1472    +    1.1e-243  809.7  18.8  -
Aeromonadaceae_Oceanisphaera                     -          A1b_forward          -                2     903       2     900       1     900    1464    +    1.7e-243  808.9  18.9  -
Litoricolaceae_Litoricola                        -          A1b_forward          -               13     915       2     900       1     900    1483    +    2.2e-243  808.8  18.8  -
Burkholderiaceae_Pandoraea                       -          A1b_forward          -                2     898       2     899       1     900    1456    +    2.3e-243  808.8  18.5  -
Alteromonadaceae_Glaciecola                      -          A1b_forward          -               22     916       2     900       1     900    1474    +    5.4e-243  807.2  19.2  -
Colwelliaceae_Thalassomonas                      -          A1b_forward          -                2     902       2     900       1     900    1462    +    7.7e-243  806.8  18.8  -
Lysobacteraceae_Arenimonas                       -          A1b_forward          -                8     909       4     900       2     900    1490    +    7.9e-243  806.9  19.1  -
Burkholderiaceae_Caballeronia                    -          A1b_forward          -               11     905       2     899       1     900    1479    +    2.8e-242  805.1  18.4  -
Burkholderiaceae_Burkholderia                    -          A1b_forward          -                9     905       2     899       1     900    1502    +    5.6e-242  804.0  18.6  -
Cardiobacteriaceae_Cardiobacterium               -          A1b_forward          -                2     883      16     899      15     900    1493    +    8.3e-242  803.5  18.7  -
Nevskiaceae_Steroidobacter                       -          A1b_forward          -                8     906       2     899       1     900    1500    +    1.5e-241  802.8  18.9  -
Thiotrichaceae_Beggiatoa                         -          A1b_forward          -               23     911       3     900       1     900    1491    +    1.8e-241  802.6  19.0  -
Neisseriaceae_Neisseria                          -          A1b_forward          -               16     917       2     899       1     900    1475    +    2.5e-241  802.0  18.8  -
Lysobacteraceae_Lysobacter                       -          A1b_forward          -                6     908       4     900       2     900    1475    +    4.3e-241  801.0  19.0  -
Piscirickettsiaceae_Hydrogenovibrio              -          A1b_forward          -                4     919       4     900       2     900    1465    +    5.8e-241  800.5  19.0  -
Erwiniaceae_Erwinia                              -          A1b_forward          -                2     904       2     900       1     900    1495    +      1e-240  799.9  18.8  -
Aeromonadaceae_Aeromonas                         -          A1b_forward          -               21     925       2     900       1     900    1503    +    1.2e-240  799.4  18.9  -
Idiomarinaceae_Pseudidiomarina                   -          A1b_forward          -                3     905       3     900       1     900    1499    +    1.2e-240  799.4  18.7  -
Gammaproteobacteria_Gallaecimonas                -          A1b_forward          -               23     924       3     900       1     900    1506    +    1.4e-240  799.3  18.6  -
Alteromonadaceae_Aliagarivorans                  -          A1b_forward          -                1     910       8     900       8     900    1462    +      4e-240  798.0  19.1  -
Psychromonadaceae_Psychromonas                   -          A1b_forward          -                3     904       3     900       1     900    1467    +    6.3e-240  797.2  18.8  -
Oxalobacteraceae_Undibacterium                   -          A1b_forward          -                2     892       6     899       5     900    1442    +      1e-239  796.6  19.0  -
Ectothiorhodospiraceae_Arhodomonas               -          A1b_forward          -                6     903       2     900       1     900    1487    +    1.1e-239  796.6  19.0  -
Aeromonadaceae_Oceanimonas                       -          A1b_forward          -                1     903       4     900       4     900    1483    +    2.1e-239  795.3  19.2  -
Thiotrichales_Caedibacter                        -          A1b_forward          -               22     883       2     900       1     900    1500    +      3e-239  794.7  19.9  -
Celerinatantimonadaceae_Celerinatantimonas       -          A1b_forward          -                1     911       6     900       6     900    1433    +    5.4e-239  794.1  18.9  -
Alteromonadaceae_Salinimonas                     -          A1b_forward          -                3     900       3     900       1     900    1459    +    1.1e-238  793.2  18.8  -
Chromobacteriaceae_Chromobacterium               -          A1b_forward          -               21     914       3     899       1     900    1469    +    1.2e-238  793.1  19.2  -
Yersiniaceae_Serratia                            -          A1b_forward          -                6     908       2     900       1     900    1491    +    1.2e-238  792.8  18.8  -
Vibrionaceae_Enterovibrio                        -          A1b_forward          -                2     908       2     900       1     900    1499    +    1.3e-238  792.6  18.8  -
Alcaligenaceae_Paenalcaligenes                   -          A1b_forward          -                2     902       2     899       1     900    1432    +    1.6e-238  792.6  18.1  -
Alcaligenaceae_Pelistega                         -          A1b_forward          -                9     910       2     899       1     900    1472    +    1.9e-238  792.4  18.8  -
Neisseriaceae_Vitreoscilla                       -          A1b_forward          -                1     886       8     899       8     900    1457    +    4.8e-238  791.0  18.5  -
Oxalobacteraceae_Oxalicibacterium                -          A1b_forward          -                2     898       2     899       1     900    1489    +    6.3e-238  790.6  19.0  -
Pasteurellaceae_Pasteurella                      -          A1b_forward          -                2     905       2     900       1     900    1365    +    8.8e-238  790.2  19.0  -
Nevskiaceae_Nevskia                              -          A1b_forward          -                7     892       2     900       1     900    1451    +    8.9e-238  790.4  18.5  -
Lysobacteraceae_Vulcaniibacterium                -          A1b_forward          -               31     932       4     900       2     900    1549    +    1.1e-237  789.8  19.0  -
Alteromonadaceae_Aestuariibacter                 -          A1b_forward          -                2     896       2     900       1     900    1455    +    1.1e-237  789.7  19.0  -
Zoogloeaceae_Zoogloea                            -          A1b_forward          -                9     905       2     899       1     900    1474    +    1.2e-237  789.6  19.5  -
Lysobacteraceae_Silanimonas                      -          A1b_forward          -               23     919       4     900       2     900    1493    +    1.3e-237  789.6  19.1  -
Neisseriaceae_Alysiella                          -          A1b_forward          -               26     925       2     899       1     900    1524    +    2.2e-237  788.8  19.1  -
Oxalobacteraceae_Glaciimonas                     -          A1b_forward          -               22     918       2     899       1     900    1525    +      3e-237  788.5  19.0  -
Enterobacteriaceae_Enterobacter                  -          A1b_forward          -                2     900       4     900       3     900    1476    +    3.8e-237  788.0  19.0  -
Kangiellaceae_Marinicella                        -          A1b_forward          -               22     926       2     900       1     900    1529    +      5e-237  787.8  18.7  -
Enterobacteriaceae_Escherichia                   -          A1b_forward          -                3     904       3     900       1     900    1480    +    5.2e-237  787.6  18.8  -
Alteromonadaceae_Alishewanella                   -          A1b_forward          -               15     895       4     900       2     900    1426    +    5.5e-237  787.4  19.2  -
Gammaproteobacteria_Plasticicumulans             -          A1b_forward          -               12     905       3     900       1     900    1491    +    9.9e-237  786.6  18.9  -
Pectobacteriaceae_Pectobacterium                 -          A1b_forward          -               10     912       2     900       1     900    1499    +    1.4e-236  786.1  18.7  -
Lysobacteraceae_Thermomonas                      -          A1b_forward          -                4     905       4     900       2     900    1488    +    2.3e-236  785.5  19.0  -
Piscirickettsiaceae_Thiomicrorhabdus             -          A1b_forward          -               11     916       4     900       2     900    1464    +    2.7e-236  785.0  18.9  -
Enterobacteriaceae_Klebsiella                    -          A1b_forward          -               14     914       2     900       1     900    1436    +    5.4e-236  784.2  18.7  -
Vibrionaceae_Aliivibrio                          -          A1b_forward          -               27     928       3     900       1     900    1474    +    8.1e-236  783.8  18.8  -
Oxalobacteraceae_Oxalobacter                     -          A1b_forward          -               17     912       2     898       1     900    1524    +    8.6e-236  783.7  18.9  -
Oxalobacteraceae_Noviherbaspirillum              -          A1b_forward          -                7     900       3     899       1     900    1464    +    1.2e-235  783.3  18.8  -
Sulfuricellaceae_Sulfuriferula                   -          A1b_forward          -                2     901       2     900       1     900    1461    +    1.3e-235  782.8  19.3  -
Burkholderiaceae_Chitinimonas                    -          A1b_forward          -               18     911       2     900       1     900    1494    +    1.7e-235  782.6  19.0  -
Rhodocyclaceae_Azoarcus                          -          A1b_forward          -                3     898       3     899       1     900    1471    +    1.8e-235  782.4  18.5  -
Lysobacteraceae_Oleiagrimonas                    -          A1b_forward          -                3     907       3     900       1     900    1469    +    2.3e-235  782.0  18.7  -
Alcaligenaceae_Castellaniella                    -          A1b_forward          -                2     898       9     899       8     900    1464    +    2.5e-235  782.0  18.8  -
Enterobacteriaceae_Buttiauxella                  -          A1b_forward          -                8     908       2     900       1     900    1503    +    2.8e-235  781.8  18.8  -
Lysobacteraceae_Pseudoxanthomonas                -          A1b_forward          -                7     910       4     900       1     900    1484    +    4.3e-235  781.1  18.8  -
Enterobacteriaceae_Citrobacter                   -          A1b_forward          -               18     919       3     900       1     900    1517    +    4.8e-235  781.0  18.7  -
Alteromonadaceae_Alteromonas                     -          A1b_forward          -                2     896       2     900       1     900    1464    +    4.9e-235  780.8  19.0  -
Neisseriaceae_Kingella                           -          A1b_forward          -               28     925       2     899       1     900    1474    +    6.3e-235  780.6  18.9  -
Burkholderiales_Ideonella                        -          A1b_forward          -                2     894       2     899       1     900    1493    +    6.5e-235  780.6  18.4  -
Methylophilaceae_Methylobacillus                 -          A1b_forward          -                3     885      20     900      18     900    1416    +    9.2e-235  780.3  18.7  -
Moraxellaceae_Enhydrobacter                      -          A1b_forward          -                2     895       2     900       1     900    1484    +    1.2e-234  779.4  19.1  -
Pectobacteriaceae_Dickeya                        -          A1b_forward          -                1     901       4     900       4     900    1421    +    1.3e-234  779.6  19.1  -
Burkholderiaceae_Ralstonia                       -          A1b_forward          -                1     892       9     899       9     900    1446    +    2.8e-234  778.6  18.5  -
Francisellaceae_Allofrancisella                  -          A1b_forward          -                2     896       2     899       1     900    1452    +    3.3e-234  778.3  19.0  -
Oxalobacteraceae_Herbaspirillum                  -          A1b_forward          -                2     898       2     899       1     900    1485    +    8.1e-234  777.1  19.1  -
Enterobacteriaceae_Raoultella                    -          A1b_forward          -                2     900       4     900       3     900    1452    +    9.7e-234  776.8  19.0  -
Enterobacteriaceae_Lelliottia                    -          A1b_forward          -                1     897       6     900       6     900    1449    +    1.4e-233  776.1  18.7  -
Enterobacteriaceae_Salmonella                    -          A1b_forward          -                2     900       6     900       5     900    1457    +    2.3e-233  775.5  18.8  -
Comamonadaceae_Schlegelella                      -          A1b_forward          -               21     915       3     899       1     900    1517    +    2.5e-233  775.3  18.6  -
Burkholderiales_Rubrivivax                       -          A1b_forward          -               22     915       2     899       1     900    1496    +    5.4e-233  774.2  19.0  -
Burkholderiaceae_Cupriavidus                     -          A1b_forward          -                6     900       2     899       1     900    1488    +    5.8e-233  774.3  18.4  -
Alcaligenaceae_Alcaligenes                       -          A1b_forward          -                1     897       6     899       6     900    1469    +    1.1e-232  773.2  18.1  -
Chromobacteriaceae_Microvirgula                  -          A1b_forward          -               23     919       3     900       1     900    1508    +    1.5e-232  772.9  18.7  -
Hafniaceae_Hafnia                                -          A1b_forward          -                3     904       3     900       1     900    1463    +      2e-232  772.3  18.7  -
Nevskiaceae_Solimonas                            -          A1b_forward          -               11     898       2     900       1     900    1476    +      3e-232  772.0  19.1  -
Enterobacteriaceae_Siccibacter                   -          A1b_forward          -               30     931       3     900       1     900    1451    +    3.2e-232  771.8  18.7  -
Alcaligenaceae_Derxia                            -          A1b_forward          -               20     913       3     899       1     900    1481    +    3.6e-232  771.7  19.0  -
Alteromonadaceae_Aliiglaciecola                  -          A1b_forward          -                1     884      15     900      15     900    1440    +    3.6e-232  771.3  18.6  -
Rhodanobacteraceae_Dokdonella                    -          A1b_forward          -                4     899       4     900       2     900    1480    +    5.2e-232  771.0  19.1  -
Burkholderiales_Aquabacterium                    -          A1b_forward          -                2     892       4     899       3     900    1451    +    7.6e-232  770.4  19.4  -
Burkholderiales_Piscinibacter                    -          A1b_forward          -               10     902       2     899       1     900    1470    +    8.2e-232  770.4  19.1  -
Pasteurellaceae_Actinobacillus                   -          A1b_forward          -                2     904       2     900       1     900    1364    +    9.5e-232  770.2  18.8  -
Burkholderiales_Leptothrix                       -          A1b_forward          -               23     913       2     899       1     900    1521    +    9.7e-232  770.1  18.3  -
Erwiniaceae_Tatumella                            -          A1b_forward          -                3     904       3     900       1     900    1490    +      1e-231  770.0  18.8  -
Yersiniaceae_Yersinia                            -          A1b_forward          -                2     904       2     900       1     900    1461    +    1.2e-231  769.7  18.6  -
Alcaligenaceae_Bordetella                        -          A1b_forward          -               22     916       2     899       1     900    1476    +    1.5e-231  769.4  18.6  -
Alcaligenaceae_Pusillimonas                      -          A1b_forward          -                1     878      27     899      27     900    1446    +    1.6e-231  769.4  18.6  -
Alcaligenaceae_Advenella                         -          A1b_forward          -                4     883      25     899      20     900    1428    +    2.3e-231  768.8  18.4  -
Enterobacteriaceae_Shigella                      -          A1b_forward          -               10     912       2     900       1     900    1488    +    3.8e-231  768.1  18.8  -
Vibrionaceae_Salinivibrio                        -          A1b_forward          -               21     936       2     900       1     900    1502    +    4.1e-231  767.5  19.3  -
Alcaligenaceae_Pigmentiphaga                     -          A1b_forward          -                2     896       2     899       1     900    1481    +    4.4e-231  767.9  18.8  -
Oxalobacteraceae_Massilia                        -          A1b_forward          -                2     887      11     899      10     900    1438    +    4.5e-231  767.9  19.2  -
Oxalobacteraceae_Telluria                        -          A1b_forward          -               31     923       4     899       1     900    1469    +      6e-231  767.4  19.3  -
Alcaligenaceae_Kerstersia                        -          A1b_forward          -                1     889      12     899      12     900    1414    +    6.1e-231  767.7  18.2  -
Rhodocyclaceae_Propionivibrio                    -          A1b_forward          -               10     908       2     899       1     900    1496    +    6.9e-231  767.4  19.1  -
Pasteurellaceae_Haemophilus                      -          A1b_forward          -                3     902       3     900       1     900    1450    +      8e-231  767.0  18.9  -
