# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_B05_045_2017_1 -               30     896      13     877       1     879    1526    +    8.3e-305 1012.3  22.4  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-GUTHK2_B05_045_2017_1 -               38     902      15     877       1     879    1520    +    3.2e-222  738.6  21.3  -
Carnobacteriaceae_Granulicatella                 -          LKAP-GUTHK2_B05_045_2017_1 -               35     893      11     877       1     879    1407    +    5.1e-222  737.8  21.8  -
Bacillaceae_Psychrobacillus                      -          LKAP-GUTHK2_B05_045_2017_1 -               28     881      16     877       1     879    1503    +    5.7e-222  737.5  20.6  -
Bacillaceae_Tepidibacillus                       -          LKAP-GUTHK2_B05_045_2017_1 -               24     877      13     877       1     879    1493    +    1.1e-221  736.3  21.5  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-GUTHK2_B05_045_2017_1 -               25     893      12     877       1     879    1506    +      1e-220  733.6  22.9  -
Bacillaceae_Salibacterium                        -          LKAP-GUTHK2_B05_045_2017_1 -               10     869      23     877      11     879    1485    +    1.3e-220  733.2  20.8  -
Bacillales_Gemella                               -          LKAP-GUTHK2_B05_045_2017_1 -               20     875      13     877       1     879    1511    +    9.7e-220  730.4  21.6  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-GUTHK2_B05_045_2017_1 -                8     861      16     877       9     879    1494    +    3.2e-219  728.6  20.1  -
Enterococcaceae_Tetragenococcus                  -          LKAP-GUTHK2_B05_045_2017_1 -               22     883      12     877       1     879    1518    +    8.1e-218  723.9  22.0  -
Aerococcaceae_Facklamia                          -          LKAP-GUTHK2_B05_045_2017_1 -               18     875      14     877       2     879    1501    +    1.5e-217  723.1  20.9  -
Bacillales_Geomicrobium                          -          LKAP-GUTHK2_B05_045_2017_1 -               29     885      14     877       1     879    1537    +    2.2e-217  722.5  21.3  -
Paenibacillaceae_Cohnella                        -          LKAP-GUTHK2_B05_045_2017_1 -               21     876      13     877       1     879    1482    +    5.3e-217  721.4  21.2  -
Bacillaceae_Calditerricola                       -          LKAP-GUTHK2_B05_045_2017_1 -               35     905      11     877       1     879    1535    +    1.8e-216  719.4  22.5  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-GUTHK2_B05_045_2017_1 -               17     886      13     877       2     879    1486    +    1.5e-214  713.1  21.3  -
Eubacteriaceae_Eubacterium                       -          LKAP-GUTHK2_B05_045_2017_1 -               38     873      14     877       2     879    1476    +    6.8e-214  710.9  20.8  -
Carnobacteriaceae_Trichococcus                   -          LKAP-GUTHK2_B05_045_2017_1 -               18     883      12     877       1     879    1513    +    1.2e-213  709.9  21.3  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-GUTHK2_B05_045_2017_1 -               13     867      13     877       3     879    1466    +    9.7e-213  707.2  21.2  -
Bacillaceae_Thermolongibacillus                  -          LKAP-GUTHK2_B05_045_2017_1 -               39     847      79     877      69     879    1432    +    1.2e-212  706.6  17.6  -
Listeriaceae_Brochothrix                         -          LKAP-GUTHK2_B05_045_2017_1 -                6     859      15     877       9     879    1421    +    1.3e-212  706.9  19.6  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-GUTHK2_B05_045_2017_1 -               31     867      14     877       1     879    1493    +    4.8e-212  704.6  20.0  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-GUTHK2_B05_045_2017_1 -                9     861      17     877       9     879    1511    +    3.8e-211  701.6  19.9  -
Paenibacillaceae_Fontibacillus                   -          LKAP-GUTHK2_B05_045_2017_1 -               19     879      10     877       1     879    1487    +    6.2e-211  701.1  21.0  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-GUTHK2_B05_045_2017_1 -               18     862      12     877       1     879    1497    +    6.7e-211  701.1  20.6  -
Paenibacillaceae_Saccharibacillus                -          LKAP-GUTHK2_B05_045_2017_1 -               22     877      15     877       1     879    1498    +    4.6e-210  698.7  20.9  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-GUTHK2_B05_045_2017_1 -                3     866       7     877       5     879    1453    +    8.5e-210  697.2  21.5  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-GUTHK2_B05_045_2017_1 -               39     904      13     877       1     879    1546    +    6.1e-209  694.4  21.7  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-GUTHK2_B05_045_2017_1 -               22     869      10     877       2     879    1489    +    7.2e-209  694.4  21.1  -
Bacillaceae_Marinococcus                         -          LKAP-GUTHK2_B05_045_2017_1 -                8     882      13     877       6     879    1503    +    1.7e-207  689.8  22.1  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-GUTHK2_B05_045_2017_1 -               37     891      13     877       1     879    1510    +    2.2e-207  689.5  21.9  -
Lactobacillaceae_Pediococcus                     -          LKAP-GUTHK2_B05_045_2017_1 -               27     909      14     877       1     879    1526    +    4.8e-206  685.0  22.2  -
Thermoactinomycetaceae_Planifilum                -          LKAP-GUTHK2_B05_045_2017_1 -               36     894      12     877       1     879    1517    +    1.7e-204  679.8  21.3  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-GUTHK2_B05_045_2017_1 -               36     877      12     877       1     879    1509    +    4.3e-204  678.7  21.2  -
Bacillales_Desulfuribacillus                     -          LKAP-GUTHK2_B05_045_2017_1 -               25     880      12     877       1     879    1495    +    3.5e-203  675.3  21.1  -
Thermoactinomycetaceae_Desmospora                -          LKAP-GUTHK2_B05_045_2017_1 -               36     893      13     877       1     879    1548    +    4.4e-203  675.3  21.3  -
Thermoactinomycetaceae_Marininema                -          LKAP-GUTHK2_B05_045_2017_1 -               35     890      12     877       1     879    1553    +    5.9e-202  671.3  20.8  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-GUTHK2_B05_045_2017_1 -               11     843      15     877       6     881    1465    +    1.5e-201  670.2  20.6  -
Bacillaceae_Salirhabdus                          -          LKAP-GUTHK2_B05_045_2017_1 -               31     899      12     877       1     881    1546    +    5.2e-200  664.8  22.5  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-GUTHK2_B05_045_2017_1 -               26     879      12     877       1     879    1439    +    8.1e-199  661.0  21.5  -
Leuconostocaceae_Leuconostoc                     -          LKAP-GUTHK2_B05_045_2017_1 -               10     864      13     877       4     879    1477    +    4.9e-198  658.5  20.6  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-GUTHK2_B05_045_2017_1 -               19     828      14     877       2     879    1428    +    8.6e-198  657.6  18.8  -
Paenibacillaceae_Thermobacillus                  -          LKAP-GUTHK2_B05_045_2017_1 -               36     909      12     877       1     879    1599    +    1.1e-197  657.2  22.4  -
Leuconostocaceae_Weissella                       -          LKAP-GUTHK2_B05_045_2017_1 -               14     896      13     877       2     879    1485    +    2.6e-196  652.7  22.0  -
Streptococcaceae_Lactococcus                     -          LKAP-GUTHK2_B05_045_2017_1 -               23     878      12     877       1     879    1492    +      4e-196  651.8  21.7  -
Streptococcaceae_Streptococcus                   -          LKAP-GUTHK2_B05_045_2017_1 -               23     882      13     877       1     879    1497    +    2.5e-195  649.5  21.7  -
Peptococcaceae_Desulfitobacterium                -          LKAP-GUTHK2_B05_045_2017_1 -               17     897      13     877       2     879    1521    +    2.6e-195  648.8  21.7  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-GUTHK2_B05_045_2017_1 -               23     890      13     877       1     879    1523    +    3.8e-195  648.7  21.5  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-GUTHK2_B05_045_2017_1 -               38     849      12     877       1     879    1464    +      3e-194  646.0  19.3  -
Bacillaceae_Melghiribacillus                     -          LKAP-GUTHK2_B05_045_2017_1 -               26     895      12     877       1     880    1552    +    9.9e-194  644.0  22.6  -
Bacillaceae_Filobacillus                         -          LKAP-GUTHK2_B05_045_2017_1 -               10     878      12     877       3     880    1491    +      6e-193  641.1  22.3  -
Leuconostocaceae_Fructobacillus                  -          LKAP-GUTHK2_B05_045_2017_1 -               16     872      12     877       1     879    1485    +    6.3e-193  641.5  20.8  -
Bacillaceae_Caenibacillus                        -          LKAP-GUTHK2_B05_045_2017_1 -               17     885      12     877       1     880    1490    +    5.8e-191  634.8  22.7  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-GUTHK2_B05_045_2017_1 -               32     859      17     877       1     879    1485    +    8.5e-191  634.2  20.1  -
Bacillaceae_Saliterribacillus                    -          LKAP-GUTHK2_B05_045_2017_1 -               37     912      12     877       1     880    1472    +    2.5e-190  632.6  22.5  -
Peptococcaceae_Pelotomaculum                     -          LKAP-GUTHK2_B05_045_2017_1 -               18     849      14     877       2     879    1467    +    6.2e-190  631.2  19.9  -
Sporolactobacillaceae_Tuberibacillus             -          LKAP-GUTHK2_B05_045_2017_1 -               17     884      12     877       1     881    1486    +    1.5e-189  630.0  22.5  -
Bacillaceae_Aquisalibacillus                     -          LKAP-GUTHK2_B05_045_2017_1 -               40     906      12     877       1     880    1484    +    2.2e-189  629.4  22.5  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-GUTHK2_B05_045_2017_1 -               44     856      19     877       3     879    1510    +    4.3e-189  628.9  19.3  -
Bacillaceae_Halalkalibacillus                    -          LKAP-GUTHK2_B05_045_2017_1 -               10     879      12     877       3     880    1492    +    1.1e-188  627.1  22.4  -
Geobacteraceae_Geobacter                         -          LKAP-GUTHK2_B05_045_2017_1 -               17     877      13     877       2     879    1470    +    7.2e-188  624.5  21.2  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-GUTHK2_B05_045_2017_1 -               26     881      13     877       2     879    1521    +    1.1e-187  624.1  21.5  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-GUTHK2_B05_045_2017_1 -               43     871      16     877       3     880    1516    +    1.3e-187  624.2  20.3  -
Bacillaceae_Paucisalibacillus                    -          LKAP-GUTHK2_B05_045_2017_1 -               32     900      12     877       1     880    1441    +    1.7e-187  623.1  22.5  -
Bacillaceae_Natronobacillus                      -          LKAP-GUTHK2_B05_045_2017_1 -               44     914      12     877       1     880    1473    +    2.1e-187  623.0  22.4  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-GUTHK2_B05_045_2017_1 -               25     881      16     877       2     879    1493    +    2.3e-187  623.1  21.5  -
Bacillaceae_Fermentibacillus                     -          LKAP-GUTHK2_B05_045_2017_1 -               36     890      12     877       1     881    1530    +    2.5e-187  622.5  21.3  -
Bacillaceae_Tenuibacillus                        -          LKAP-GUTHK2_B05_045_2017_1 -               14     882      12     877       2     880    1479    +    3.1e-187  622.3  22.5  -
Clostridiales_Tissierella                        -          LKAP-GUTHK2_B05_045_2017_1 -               35     869      14     877       1     880    1415    +    4.8e-187  621.9  21.4  -
Bacillaceae_Allobacillus                         -          LKAP-GUTHK2_B05_045_2017_1 -                1     865      19     877      19     880    1431    +    7.7e-187  621.0  19.8  -
Spirochaetaceae_Spirochaeta                      -          LKAP-GUTHK2_B05_045_2017_1 -               33     873      17     877       2     880    1495    +    8.6e-187  621.1  20.4  -
Desulfuromonadaceae_Pelobacter                   -          LKAP-GUTHK2_B05_045_2017_1 -               37     897      14     877       2     879    1542    +    9.8e-187  621.0  21.3  -
Clostridiaceae_Brassicibacter                    -          LKAP-GUTHK2_B05_045_2017_1 -               21     850      16     877       2     879    1454    +      1e-186  620.8  21.2  -
Bacillaceae_Sinibacillus                         -          LKAP-GUTHK2_B05_045_2017_1 -               17     888      12     877       1     880    1489    +    1.5e-186  620.2  22.3  -
Peptoniphilaceae_Peptoniphilus                   -          LKAP-GUTHK2_B05_045_2017_1 -                1     821      24     877      24     879    1433    +    2.4e-186  619.8  19.8  -
Bacillaceae_Cerasibacillus                       -          LKAP-GUTHK2_B05_045_2017_1 -               20     890      12     877       1     880    1484    +    8.5e-186  617.6  22.7  -
Ruminococcaceae_Ruminococcus                     -          LKAP-GUTHK2_B05_045_2017_1 -               11     840      18     877       9     879    1394    +    8.5e-186  617.7  19.6  -
Veillonellaceae_Dialister                        -          LKAP-GUTHK2_B05_045_2017_1 -               21     885      18     877       2     879    1502    +      3e-185  615.8  20.8  -
Bacillales_Chungangia                            -          LKAP-GUTHK2_B05_045_2017_1 -               25     878      12     877       1     880    1440    +    4.3e-185  615.2  21.3  -
Clostridiaceae_Alkaliphilus                      -          LKAP-GUTHK2_B05_045_2017_1 -               17     852      13     877       2     879    1465    +    5.6e-185  614.6  21.1  -
Bacillaceae_Streptohalobacillus                  -          LKAP-GUTHK2_B05_045_2017_1 -                2     868      17     877      16     880    1481    +    9.4e-185  614.0  19.6  -
Erysipelotrichaceae_Breznakia                    -          LKAP-GUTHK2_B05_045_2017_1 -               26     894      16     877       2     880    1508    +    1.1e-184  614.0  22.2  -
Selenomonadaceae_Selenomonas                     -          LKAP-GUTHK2_B05_045_2017_1 -               43     905      18     877       1     879    1508    +    1.5e-184  613.5  20.8  -
Acetobacteraceae_Acetobacter                     -          LKAP-GUTHK2_B05_045_2017_1 -               24     809      19     877       2     879    1433    +    1.7e-184  613.6  18.3  -
Rubrobacteraceae_Rubrobacter                     -          LKAP-GUTHK2_B05_045_2017_1 -               22     868      17     877       2     879    1495    +    1.9e-184  613.3  21.1  -
Sporolactobacillaceae_Terrilactibacillus         -          LKAP-GUTHK2_B05_045_2017_1 -               13     838      52     877      38     881    1456    +    1.9e-184  613.1  19.0  -
Clostridiaceae_Caloramator                       -          LKAP-GUTHK2_B05_045_2017_1 -               20     838      17     877       2     879    1453    +    1.1e-183  610.9  19.4  -
Planococcaceae_Filibacter                        -          LKAP-GUTHK2_B05_045_2017_1 -               27     881      12     877       1     880    1517    +    1.3e-183  610.3  21.0  -
Erysipelotrichaceae_Erysipelothrix               -          LKAP-GUTHK2_B05_045_2017_1 -               25     871      13     877       1     880    1467    +    1.6e-183  610.4  22.0  -
Bacillaceae_Alkalilactibacillus                  -          LKAP-GUTHK2_B05_045_2017_1 -               37     913      12     877       1     880    1567    +      2e-183  609.8  22.3  -
Staphylococcaceae_Corticicoccus                  -          LKAP-GUTHK2_B05_045_2017_1 -               12     875      16     877       6     881    1465    +    2.1e-183  609.6  20.7  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-GUTHK2_B05_045_2017_1 -               24     893      12     877       1     880    1521    +    1.2e-182  607.3  22.5  -
Clostridiaceae_Sporosalibacterium                -          LKAP-GUTHK2_B05_045_2017_1 -               37     871      13     877       1     879    1521    +    1.7e-182  606.7  21.0  -
Bacillaceae_Polygonibacillus                     -          LKAP-GUTHK2_B05_045_2017_1 -               35     840      78     877      58     880    1480    +    1.9e-182  606.3  17.9  -
Bacillaceae_Aeribacillus                         -          LKAP-GUTHK2_B05_045_2017_1 -               22     878      12     877       1     880    1516    +      2e-182  606.5  21.0  -
Desulfuromonadaceae_Desulfuromonas               -          LKAP-GUTHK2_B05_045_2017_1 -               28     889      15     877       2     879    1512    +    2.1e-182  606.5  21.3  -
Clostridiaceae_Hathewaya                         -          LKAP-GUTHK2_B05_045_2017_1 -               41     857      17     877       1     879    1507    +    4.4e-182  605.4  20.4  -
Symbiobacteriaceae_Symbiobacterium               -          LKAP-GUTHK2_B05_045_2017_1 -                9     870      10     877       3     879    1468    +    7.6e-182  605.0  21.3  -
Planococcaceae_Savagea                           -          LKAP-GUTHK2_B05_045_2017_1 -               38     893      12     877       1     880    1547    +    9.9e-182  604.1  21.2  -
Bacillaceae_Falsibacillus                        -          LKAP-GUTHK2_B05_045_2017_1 -               37     844      74     877      52     880    1413    +    1.2e-181  603.8  18.1  -
Clostridiaceae_Natronincola                      -          LKAP-GUTHK2_B05_045_2017_1 -               33     865      12     877       1     880    1489    +    2.5e-181  602.7  21.8  -
Veillonellaceae_Megasphaera                      -          LKAP-GUTHK2_B05_045_2017_1 -               46     909      18     877       1     879    1528    +    2.7e-181  602.7  21.0  -
Clostridiaceae_Tepidimicrobium                   -          LKAP-GUTHK2_B05_045_2017_1 -               36     875      12     877       1     880    1528    +    9.3e-181  601.1  21.4  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-GUTHK2_B05_045_2017_1 -               10     865      13     877       4     879    1494    +    1.3e-180  600.5  21.0  -
Bacillaceae_Saccharococcus                       -          LKAP-GUTHK2_B05_045_2017_1 -               37     886      12     877       1     880    1538    +    3.9e-180  598.9  21.2  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-GUTHK2_B05_045_2017_1 -               35     903      14     877       1     879    1529    +    8.4e-180  597.8  21.8  -
Peptostreptococcaceae_Filifactor                 -          LKAP-GUTHK2_B05_045_2017_1 -               22     848      17     877       2     879    1450    +    1.2e-179  597.4  20.6  -
Natranaerobiaceae_Natranaerobius                 -          LKAP-GUTHK2_B05_045_2017_1 -               56     834      75     877      30     879    1424    +    1.3e-179  597.2  17.8  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-GUTHK2_B05_045_2017_1 -                8     822      18     877      12     879    1412    +    1.6e-179  597.1  17.8  -
Peptococcaceae_Thermincola                       -          LKAP-GUTHK2_B05_045_2017_1 -               26     853      17     877       1     879    1482    +    3.8e-179  595.6  19.5  -
Spirochaetaceae_Treponema                        -          LKAP-GUTHK2_B05_045_2017_1 -               15     863      10     877       2     880    1477    +    5.6e-179  595.4  21.2  -
Staphylococcaceae_Auricoccus                     -          LKAP-GUTHK2_B05_045_2017_1 -               42     901      12     877       1     880    1507    +    8.6e-179  594.4  21.2  -
Streptococcaceae_Faecalicoccus                   -          LKAP-GUTHK2_B05_045_2017_1 -               40     885      16     877       2     880    1380    +    1.2e-178  594.3  20.9  -
Staphylococcaceae_Abyssicoccus                   -          LKAP-GUTHK2_B05_045_2017_1 -               65     924      12     877       1     880    1576    +    1.7e-178  593.5  21.2  -
Bacteroidaceae_Bacteroides                       -          LKAP-GUTHK2_B05_045_2017_1 -               33     872      19     877       7     879    1480    +    3.3e-178  592.6  20.0  -
Thermoanaerobacteraceae_Thermoanaerobacter       -          LKAP-GUTHK2_B05_045_2017_1 -               31     864      11     877       1     879    1525    +    5.8e-178  591.4  21.0  -
Clostridiaceae_Romboutsia                        -          LKAP-GUTHK2_B05_045_2017_1 -               35     841      13     877       1     879    1462    +      1e-177  590.8  18.9  -
Peptococcaceae_Sporotomaculum                    -          LKAP-GUTHK2_B05_045_2017_1 -              159     934      79     877      59     879    1510    +    1.7e-177  590.2  17.0  -
Geobacteraceae_Geoalkalibacter                   -          LKAP-GUTHK2_B05_045_2017_1 -               37     901      13     877       2     879    1556    +    1.7e-177  590.0  21.4  -
