# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_E09_071_2018_2 -               19     843      14     835      10     835    1504    +           0 1040.8  21.4  -
Bacillaceae_Piscibacillus                        -          LKAP-TSAKG2_E09_071_2018_2 -                2     836      16     834      15     835    1520    +      1e-243  809.7  21.7  -
Planococcaceae_Filibacter                        -          LKAP-TSAKG2_E09_071_2018_2 -               30     853      15     835       7     835    1517    +    6.3e-243  806.6  21.5  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-TSAKG2_E09_071_2018_2 -                6     833      13     835       9     835    1494    +    2.6e-242  805.0  21.2  -
Bacillaceae_Alkalicoccus                         -          LKAP-TSAKG2_E09_071_2018_2 -               40     885      15     833      10     835    1558    +    3.6e-241  801.2  21.4  -
Paenibacillaceae_Fontibacillus                   -          LKAP-TSAKG2_E09_071_2018_2 -               24     848      14     832      10     835    1487    +    4.6e-241  800.9  21.2  -
Bacillaceae_Salsuginibacillus                    -          LKAP-TSAKG2_E09_071_2018_2 -               52     883      21     832       7     835    1505    +    6.2e-241  800.5  21.4  -
Enterococcaceae_Tetragenococcus                  -          LKAP-TSAKG2_E09_071_2018_2 -               33     854      21     834       9     835    1518    +    7.6e-241  800.2  21.5  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-TSAKG2_E09_071_2018_2 -                8     833      15     835      11     835    1511    +    2.3e-238  791.7  21.4  -
Bacillaceae_Salimicrobium                        -          LKAP-TSAKG2_E09_071_2018_2 -               29     860      22     833      11     835    1500    +    1.1e-235  783.1  21.6  -
Bacillales_Gemella                               -          LKAP-TSAKG2_E09_071_2018_2 -               23     845      15     833      10     835    1511    +    2.3e-235  782.1  21.4  -
Lactobacillaceae_Pediococcus                     -          LKAP-TSAKG2_E09_071_2018_2 -               38     881      23     835      11     835    1526    +    2.4e-235  782.0  21.6  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-TSAKG2_E09_071_2018_2 -               22     833      15     834      10     835    1497    +    8.9e-235  780.1  22.0  -
Paenibacillaceae_Saccharibacillus                -          LKAP-TSAKG2_E09_071_2018_2 -               23     827      15     814       9     834    1498    +    9.1e-235  780.5  21.9  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-TSAKG2_E09_071_2018_2 -               20     846      15     822      11     834    1486    +      2e-234  778.9  21.9  -
Bacillaceae_Pelagirhabdus                        -          LKAP-TSAKG2_E09_071_2018_2 -               52     831      61     834      41     835    1462    +    2.3e-232  771.9  22.3  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-TSAKG2_E09_071_2018_2 -               50     875      22     834       8     835    1546    +    6.9e-232  770.3  21.6  -
Bacillaceae_Thermolongibacillus                  -          LKAP-TSAKG2_E09_071_2018_2 -                2     819      27     835      26     835    1432    +    1.2e-231  769.5  22.2  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-TSAKG2_E09_071_2018_2 -               37     853      22     822      10     834    1506    +    2.3e-231  768.8  22.1  -
Bacillaceae_Salibacterium                        -          LKAP-TSAKG2_E09_071_2018_2 -               56     840      54     834      34     835    1485    +    2.9e-231  768.5  22.0  -
Thermoactinomycetaceae_Desmospora                -          LKAP-TSAKG2_E09_071_2018_2 -               38     853      14     822      10     834    1548    +      8e-229  760.6  21.9  -
Bacillales_Desulfuribacillus                     -          LKAP-TSAKG2_E09_071_2018_2 -               28     849      14     832      10     835    1495    +    2.3e-228  758.7  21.7  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-TSAKG2_E09_071_2018_2 -                7     840      22     833      18     835    1488    +    2.7e-228  758.5  22.0  -
Bacillales_Chungangia                            -          LKAP-TSAKG2_E09_071_2018_2 -               28     850      15     835       7     835    1440    +    3.4e-228  757.8  21.2  -
Paenibacillaceae_Thermobacillus                  -          LKAP-TSAKG2_E09_071_2018_2 -               48     879      21     833      11     835    1599    +    3.1e-227  755.1  21.3  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-TSAKG2_E09_071_2018_2 -               40     860      15     832      10     835    1510    +    6.9e-227  754.1  21.8  -
Eubacteriaceae_Eubacterium                       -          LKAP-TSAKG2_E09_071_2018_2 -               49     844      22     834      12     835    1476    +    2.9e-226  751.8  21.3  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-TSAKG2_E09_071_2018_2 -               30     837      15     820      10     833    1439    +    5.9e-226  750.8  22.2  -
Thermoactinomycetaceae_Marininema                -          LKAP-TSAKG2_E09_071_2018_2 -               39     854      15     827      10     834    1553    +    1.6e-225  749.3  21.9  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-TSAKG2_E09_071_2018_2 -               42     838      22     834      11     835    1493    +    1.2e-224  746.3  21.4  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-TSAKG2_E09_071_2018_2 -               16     839      15     835      11     835    1466    +    2.2e-223  742.3  21.8  -
Bacillaceae_Salisediminibacterium                -          LKAP-TSAKG2_E09_071_2018_2 -               57     834      61     833      39     835    1449    +      3e-222  738.6  22.1  -
Bacillaceae_Falsibacillus                        -          LKAP-TSAKG2_E09_071_2018_2 -                2     816      22     835      21     835    1413    +    1.7e-221  735.5  21.9  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-TSAKG2_E09_071_2018_2 -               39     843      14     829      11     833    1509    +    4.4e-220  731.6  22.1  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-TSAKG2_E09_071_2018_2 -               29     841      16     835       9     835    1489    +      2e-219  729.3  22.0  -
Planococcaceae_Savagea                           -          LKAP-TSAKG2_E09_071_2018_2 -               41     863      15     833       7     835    1547    +    3.1e-219  728.1  21.2  -
Leuconostocaceae_Weissella                       -          LKAP-TSAKG2_E09_071_2018_2 -               26     868      22     835      11     835    1485    +    3.6e-219  728.4  21.6  -
Bacillaceae_Marinococcus                         -          LKAP-TSAKG2_E09_071_2018_2 -               71     854      60     835      40     835    1503    +    1.6e-218  726.3  22.2  -
Thermoactinomycetaceae_Planifilum                -          LKAP-TSAKG2_E09_071_2018_2 -               40     861      15     830      10     834    1517    +      2e-217  722.6  22.1  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-TSAKG2_E09_071_2018_2 -               29     788      22     823       9     834    1428    +    3.1e-216  718.7  22.5  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-TSAKG2_E09_071_2018_2 -               48     821      21     835       7     835    1464    +    2.7e-215  715.6  21.2  -
Streptococcaceae_Lactococcus                     -          LKAP-TSAKG2_E09_071_2018_2 -               26     849      15     834       9     835    1492    +    1.6e-213  709.4  21.7  -
Streptococcaceae_Streptococcus                   -          LKAP-TSAKG2_E09_071_2018_2 -               33     854      21     835      10     835    1497    +    5.2e-213  708.0  21.4  -
Bacillaceae_Calditerricola                       -          LKAP-TSAKG2_E09_071_2018_2 -               52     877      25     835      13     835    1535    +    2.2e-212  705.8  22.2  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-TSAKG2_E09_071_2018_2 -               34     859      21     832       9     835    1523    +    1.7e-211  702.7  21.8  -
Bacillaceae_Paucisalibacillus                    -          LKAP-TSAKG2_E09_071_2018_2 -               43     870      21     833       8     835    1441    +    5.7e-211  700.7  21.5  -
Bacillaceae_Compostibacillus                     -          LKAP-TSAKG2_E09_071_2018_2 -              150     926      58     833      39     835    1555    +    2.8e-210  698.5  21.8  -
Bacillaceae_Salirhabdus                          -          LKAP-TSAKG2_E09_071_2018_2 -               43     869      22     833       8     835    1546    +    4.4e-209  694.7  21.6  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-TSAKG2_E09_071_2018_2 -               11     814      14     834      10     835    1465    +    1.2e-208  693.7  21.8  -
Peptococcaceae_Desulfitobacterium                -          LKAP-TSAKG2_E09_071_2018_2 -               28     867      21     833      10     835    1521    +    1.4e-208  692.8  21.8  -
Leuconostocaceae_Leuconostoc                     -          LKAP-TSAKG2_E09_071_2018_2 -               20     836      21     835      10     835    1477    +    9.7e-208  690.6  21.5  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-TSAKG2_E09_071_2018_2 -               39     830      22     834      11     835    1485    +    3.5e-206  685.1  21.6  -
Bacillaceae_Saccharococcus                       -          LKAP-TSAKG2_E09_071_2018_2 -               40     858      15     835       7     835    1538    +    1.7e-205  682.8  21.3  -
Selenomonadaceae_Selenomonas                     -          LKAP-TSAKG2_E09_071_2018_2 -               50     870      22     828      13     835    1508    +    4.2e-205  681.6  21.9  -
Leuconostocaceae_Fructobacillus                  -          LKAP-TSAKG2_E09_071_2018_2 -               20     843      15     834      10     835    1485    +    1.5e-204  680.0  21.5  -
Bacillaceae_Aeribacillus                         -          LKAP-TSAKG2_E09_071_2018_2 -               25     849      15     834       7     835    1516    +    2.8e-204  678.8  21.6  -
Bacillaceae_Fermentibacillus                     -          LKAP-TSAKG2_E09_071_2018_2 -               39     860      15     833       7     835    1530    +    2.9e-203  675.2  21.3  -
Bacillaceae_Filobacillus                         -          LKAP-TSAKG2_E09_071_2018_2 -               22     849      22     834       9     835    1491    +    7.5e-203  673.8  21.5  -
Erysipelotrichaceae_Breznakia                    -          LKAP-TSAKG2_E09_071_2018_2 -               33     864      21     833       7     835    1508    +    9.9e-203  673.7  21.7  -
Carnobacteriaceae_Atopococcus                    -          LKAP-TSAKG2_E09_071_2018_2 -               20     837      22     834      10     835    1500    +    1.2e-202  673.2  21.5  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-TSAKG2_E09_071_2018_2 -               38     850      22     832      12     835    1521    +    1.4e-202  673.4  22.4  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-TSAKG2_E09_071_2018_2 -               43     842      15     834      11     835    1516    +      1e-201  670.8  22.3  -
Ruminococcaceae_Ruminococcus                     -          LKAP-TSAKG2_E09_071_2018_2 -               17     811      22     834      12     835    1394    +    1.6e-201  669.8  21.4  -
Bacillaceae_Polygonibacillus                     -          LKAP-TSAKG2_E09_071_2018_2 -                1     810      27     833      27     835    1480    +    1.6e-201  669.4  22.0  -
Clostridiaceae_Caloramator                       -          LKAP-TSAKG2_E09_071_2018_2 -               27     809      22     834       7     835    1453    +    1.9e-201  669.6  21.3  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_E09_071_2018_2 -               20     837      21     835       9     835    1494    +    2.5e-201  669.0  21.9  -
Bacillaceae_Allobacillus                         -          LKAP-TSAKG2_E09_071_2018_2 -               53     836      54     834      32     835    1431    +    8.5e-201  667.1  21.7  -
Bacillaceae_Natronobacillus                      -          LKAP-TSAKG2_E09_071_2018_2 -               55     885      21     834       8     835    1473    +    1.3e-200  666.7  21.5  -
Bacillaceae_Aureibacillus                        -          LKAP-TSAKG2_E09_071_2018_2 -               40     868      15     833       7     835    1517    +    2.1e-200  666.0  21.1  -
Clostridiaceae_Alkaliphilus                      -          LKAP-TSAKG2_E09_071_2018_2 -               28     824      21     835      10     835    1465    +    2.8e-200  665.3  21.6  -
Bacillaceae_Melghiribacillus                     -          LKAP-TSAKG2_E09_071_2018_2 -               37     865      21     833       8     835    1552    +    4.4e-199  661.6  21.6  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-TSAKG2_E09_071_2018_2 -               49     828      22     835      10     835    1510    +    4.9e-199  661.7  21.8  -
Entomoplasmataceae_Entomoplasma                  -          LKAP-TSAKG2_E09_071_2018_2 -               27     831      15     835      11     835    1498    +    5.1e-199  661.8  22.3  -
Bacillaceae_Vulcanibacillus                      -          LKAP-TSAKG2_E09_071_2018_2 -               30     857      15     834       7     835    1526    +    1.1e-198  660.2  21.4  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-TSAKG2_E09_071_2018_2 -               46     874      22     834      11     835    1529    +    2.1e-198  659.4  21.8  -
Bacillaceae_Saliterribacillus                    -          LKAP-TSAKG2_E09_071_2018_2 -               49     883      22     834       8     835    1472    +    4.2e-198  658.2  21.6  -
Entomoplasmataceae_Mesoplasma                    -          LKAP-TSAKG2_E09_071_2018_2 -               26     831      14     835      10     835    1497    +    6.9e-198  657.9  22.0  -
Bacillaceae_Aquisalibacillus                     -          LKAP-TSAKG2_E09_071_2018_2 -               52     877      22     834       8     835    1484    +    7.5e-198  657.3  21.4  -
Staphylococcaceae_Auricoccus                     -          LKAP-TSAKG2_E09_071_2018_2 -               46     871      16     833       7     835    1507    +    1.2e-197  656.7  21.6  -
Ruminococcaceae_Acetivibrio                      -          LKAP-TSAKG2_E09_071_2018_2 -               43     850      22     834      13     835    1529    +    1.3e-197  656.8  21.8  -
Staphylococcaceae_Abyssicoccus                   -          LKAP-TSAKG2_E09_071_2018_2 -               69     894      16     833       7     835    1576    +    2.4e-197  655.8  21.6  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-TSAKG2_E09_071_2018_2 -               13     794      21     835      12     835    1412    +    8.1e-197  654.3  21.5  -
Clostridiaceae_Hathewaya                         -          LKAP-TSAKG2_E09_071_2018_2 -               49     809      22     816      12     835    1507    +    1.4e-196  653.4  22.0  -
Acetobacteraceae_Acetobacter                     -          LKAP-TSAKG2_E09_071_2018_2 -               29     781      22     835      11     835    1433    +    2.4e-196  652.8  22.8  -
Sporolactobacillaceae_Terrilactibacillus         -          LKAP-TSAKG2_E09_071_2018_2 -               31     808      55     833      34     835    1456    +    2.9e-196  652.2  21.8  -
Carnobacteriaceae_Desemzia                       -          LKAP-TSAKG2_E09_071_2018_2 -               27     852      16     835       7     835    1505    +    3.3e-196  651.9  21.5  -
Clostridiales_Carboxydocella                     -          LKAP-TSAKG2_E09_071_2018_2 -               10     840      14     830      10     834    1458    +    3.5e-196  652.0  21.9  -
Bacillaceae_Cerasibacillus                       -          LKAP-TSAKG2_E09_071_2018_2 -               31     860      21     833       8     835    1484    +    8.1e-196  650.7  21.5  -
Bacillaceae_Tenuibacillus                        -          LKAP-TSAKG2_E09_071_2018_2 -               26     853      22     834       8     835    1479    +    1.4e-195  649.8  21.5  -
Geobacteraceae_Geobacter                         -          LKAP-TSAKG2_E09_071_2018_2 -               28     849      21     835      10     835    1470    +      2e-195  649.5  21.8  -
Bacillaceae_Streptohalobacillus                  -          LKAP-TSAKG2_E09_071_2018_2 -               61     839      59     834      38     835    1481    +      2e-195  649.2  22.0  -
Peptococcaceae_Sporotomaculum                    -          LKAP-TSAKG2_E09_071_2018_2 -              152     905      55     834      35     835    1510    +    9.3e-195  647.3  21.7  -
Clostridiaceae_Natronincola                      -          LKAP-TSAKG2_E09_071_2018_2 -               37     837      15     835      11     835    1489    +    1.5e-194  646.4  21.7  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-TSAKG2_E09_071_2018_2 -               24     851      15     833       7     835    1493    +    1.6e-194  646.8  22.2  -
Bacillaceae_Alkalilactibacillus                  -          LKAP-TSAKG2_E09_071_2018_2 -               48     885      21     835       8     835    1567    +    2.1e-194  646.1  21.6  -
Erysipelotrichaceae_Erysipelothrix               -          LKAP-TSAKG2_E09_071_2018_2 -               35     823      21     809       9     830    1467    +    3.4e-194  645.7  21.8  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-TSAKG2_E09_071_2018_2 -               35     864      21     834       8     835    1521    +    6.1e-194  644.6  21.5  -
Peptococcaceae_Thermincola                       -          LKAP-TSAKG2_E09_071_2018_2 -               33     815      22     827       9     835    1482    +    6.8e-194  644.4  22.3  -
Thermolithobacteraceae_Thermolithobacter         -          LKAP-TSAKG2_E09_071_2018_2 -               39     881      14     835      10     835    1546    +    1.2e-193  643.4  21.4  -
Peptococcaceae_Pelotomaculum                     -          LKAP-TSAKG2_E09_071_2018_2 -               29     814      22     828      11     835    1467    +    1.9e-193  642.8  22.0  -
Desulfuromonadaceae_Desulfuromonas               -          LKAP-TSAKG2_E09_071_2018_2 -               38     859      22     833      11     835    1512    +    2.9e-193  642.4  22.1  -
Clostridiaceae_Brassicibacter                    -          LKAP-TSAKG2_E09_071_2018_2 -               29     820      22     833       9     835    1454    +    3.2e-193  642.2  21.5  -
Veillonellaceae_Megasphaera                      -          LKAP-TSAKG2_E09_071_2018_2 -               52     871      22     827      11     834    1528    +    3.3e-193  642.0  22.4  -
Spirochaetaceae_Spirochaeta                      -          LKAP-TSAKG2_E09_071_2018_2 -               40     844      22     834      16     835    1495    +    3.5e-193  642.2  22.1  -
Acholeplasmataceae_Acholeplasma                  -          LKAP-TSAKG2_E09_071_2018_2 -               12     813      15     833      11     835    1437    +    6.1e-193  641.2  21.6  -
Bacillaceae_Sinibacillus                         -          LKAP-TSAKG2_E09_071_2018_2 -               29     859      22     834      10     835    1489    +    7.2e-193  641.1  21.6  -
Sporomusaceae_Sporomusa                          -          LKAP-TSAKG2_E09_071_2018_2 -               47     859      21     828      10     835    1532    +    1.9e-192  639.5  22.2  -
Carnobacteriaceae_Lacticigenium                  -          LKAP-TSAKG2_E09_071_2018_2 -               31     848      21     835       8     835    1446    +    2.4e-192  639.2  21.5  -
Bacillaceae_Halalkalibacillus                    -          LKAP-TSAKG2_E09_071_2018_2 -               21     850      21     834       8     835    1492    +    2.7e-192  639.0  21.7  -
Natranaerobiaceae_Natranaerobius                 -          LKAP-TSAKG2_E09_071_2018_2 -               10     806      26     835      16     835    1424    +    3.9e-192  638.6  21.5  -
Enterococcaceae_Bavariicoccus                    -          LKAP-TSAKG2_E09_071_2018_2 -               27     852      21     834       8     835    1470    +    9.2e-192  637.1  21.5  -
Clostridiales_Thermaerobacter                    -          LKAP-TSAKG2_E09_071_2018_2 -               48     866      21     833      11     835    1520    +    1.3e-191  636.9  22.2  -
Carnobacteriaceae_Pisciglobus                    -          LKAP-TSAKG2_E09_071_2018_2 -               19     824      37     835      25     835    1501    +    2.6e-191  635.7  21.8  -
Rubrobacteraceae_Rubrobacter                     -          LKAP-TSAKG2_E09_071_2018_2 -               29     839      22     834      12     835    1495    +    3.2e-191  635.7  21.9  -
Staphylococcaceae_Corticicoccus                  -          LKAP-TSAKG2_E09_071_2018_2 -               19     847      21     835       8     835    1465    +    3.6e-191  635.3  21.8  -
