# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     927       2     933    1466    +           0 1057.0  17.5  -
Vibrionaceae_Photobacterium                      -          B0306_LKAP-FHGF1_A06_048 -               23     950       5     927       2     933    1487    +    1.1e-304 1011.8  17.4  -
Enterobacteriaceae_Pseudocitrobacter             -          B0306_LKAP-FHGF1_A06_048 -               21     937       6     927       2     933    1459    +    1.5e-265  882.2  17.5  -
Morganellaceae_Xenorhabdus                       -          B0306_LKAP-FHGF1_A06_048 -               26     942       6     927       2     933    1493    +    4.5e-265  880.7  17.4  -
Enterobacteriaceae_Gibbsiella                    -          B0306_LKAP-FHGF1_A06_048 -                2     902      21     927      20     933    1396    +    1.2e-264  879.2  17.5  -
Enterobacteriaceae_Buttiauxella                  -          B0306_LKAP-FHGF1_A06_048 -               30     944       6     927       2     933    1503    +    1.7e-264  878.7  17.5  -
Aeromonadaceae_Aeromonas                         -          B0306_LKAP-FHGF1_A06_048 -               43     961       6     927       2     933    1503    +    7.1e-264  876.4  17.4  -
Erwiniaceae_Pantoea                              -          B0306_LKAP-FHGF1_A06_048 -                3     877      47     927      45     933    1416    +    1.3e-263  875.7  17.5  -
Enterobacteriaceae_Siccibacter                   -          B0306_LKAP-FHGF1_A06_048 -               51     967       6     927       2     933    1451    +    8.8e-263  873.1  17.5  -
Enterobacteriaceae_Lelliottia                    -          B0306_LKAP-FHGF1_A06_048 -               19     933       6     927       2     933    1449    +    1.2e-262  872.5  17.6  -
Enterobacteriaceae_Mangrovibacter                -          B0306_LKAP-FHGF1_A06_048 -                3     887      37     927      35     933    1368    +    9.4e-262  869.6  16.5  -
Enterobacteriaceae_Shigella                      -          B0306_LKAP-FHGF1_A06_048 -               32     948       6     927       2     933    1488    +    1.4e-261  869.0  17.5  -
Colwelliaceae_Thalassotalea                      -          B0306_LKAP-FHGF1_A06_048 -               24     938       6     927       2     933    1463    +    1.5e-261  869.0  17.0  -
Psychromonadaceae_Psychromonas                   -          B0306_LKAP-FHGF1_A06_048 -               24     940       6     927       2     933    1467    +    1.6e-261  868.8  17.5  -
Pseudoalteromonadaceae_Algicola                  -          B0306_LKAP-FHGF1_A06_048 -               39     953       6     927       2     933    1490    +    1.7e-261  868.6  17.5  -
Alteromonadaceae_Agarivorans                     -          B0306_LKAP-FHGF1_A06_048 -               31     947       6     927       2     933    1454    +    2.9e-261  868.0  17.1  -
Aeromonadaceae_Zobellella                        -          B0306_LKAP-FHGF1_A06_048 -               31     947       6     927       2     933    1478    +    5.6e-261  866.8  17.4  -
Enterobacteriaceae_Franconibacter                -          B0306_LKAP-FHGF1_A06_048 -               30     944       6     927       2     933    1325    +    6.1e-261  867.1  17.5  -
Enterobacteriaceae_Shimwellia                    -          B0306_LKAP-FHGF1_A06_048 -                2     918       6     927       5     933    1422    +      1e-260  866.3  17.4  -
Budviciaceae_Budvicia                            -          B0306_LKAP-FHGF1_A06_048 -               45     961       6     927       2     933    1536    +    1.3e-260  865.7  17.6  -
Colwelliaceae_Colwellia                          -          B0306_LKAP-FHGF1_A06_048 -               24     940       6     927       2     933    1485    +    1.1e-259  862.7  17.1  -
Hafniaceae_Edwardsiella                          -          B0306_LKAP-FHGF1_A06_048 -               24     942       6     927       2     933    1466    +    1.6e-259  862.1  17.5  -
Vibrionaceae_Salinivibrio                        -          B0306_LKAP-FHGF1_A06_048 -               43     972       6     927       2     933    1502    +    1.8e-259  861.5  17.2  -
Yersiniaceae_Rahnella                            -          B0306_LKAP-FHGF1_A06_048 -                1     861      61     927      61     933    1345    +    1.9e-259  862.0  15.9  -
Morganellaceae_Providencia                       -          B0306_LKAP-FHGF1_A06_048 -               32     946       6     927       2     933    1489    +    1.2e-257  855.9  17.2  -
Gammaproteobacteria_Gallaecimonas                -          B0306_LKAP-FHGF1_A06_048 -               44     960       6     927       2     933    1506    +    1.8e-257  855.3  17.3  -
Morganellaceae_Proteus                           -          B0306_LKAP-FHGF1_A06_048 -               34     950       6     927       2     933    1494    +    3.4e-257  854.5  17.4  -
Alteromonadaceae_Catenovulum                     -          B0306_LKAP-FHGF1_A06_048 -               24     932       6     927       2     934    1451    +    6.6e-257  853.3  16.7  -
Aeromonadaceae_Pseudaeromonas                    -          B0306_LKAP-FHGF1_A06_048 -                7     923       6     927       2     933    1491    +    1.5e-256  852.2  17.5  -
Morganellaceae_Morganella                        -          B0306_LKAP-FHGF1_A06_048 -                3     887      37     927      35     933    1356    +    3.5e-256  851.3  16.7  -
Moritellaceae_Paramoritella                      -          B0306_LKAP-FHGF1_A06_048 -               24     938       6     927       2     933    1512    +    4.1e-256  850.7  17.2  -
Aeromonadaceae_Oceanimonas                       -          B0306_LKAP-FHGF1_A06_048 -               21     939       6     927       2     933    1483    +    6.6e-256  850.0  17.5  -
Chromatiaceae_Rheinheimera                       -          B0306_LKAP-FHGF1_A06_048 -               30     927       5     925       2     933    1472    +    1.8e-255  848.8  17.2  -
Thorselliaceae_Thorsellia                        -          B0306_LKAP-FHGF1_A06_048 -                2     917       3     927       2     933    1421    +    3.7e-255  847.6  17.5  -
Gammaproteobacteria_Alkalimonas                  -          B0306_LKAP-FHGF1_A06_048 -               42     954       6     925       2     933    1502    +    2.9e-254  844.7  17.3  -
Colwelliaceae_Thalassomonas                      -          B0306_LKAP-FHGF1_A06_048 -               24     938       6     927       2     933    1462    +    1.2e-253  842.7  17.1  -
Aeromonadaceae_Tolumonas                         -          B0306_LKAP-FHGF1_A06_048 -               34     951       6     927       2     933    1514    +    1.8e-253  842.2  17.6  -
Enterobacteriaceae_Cedecea                       -          B0306_LKAP-FHGF1_A06_048 -                1     862      60     927      60     933    1403    +    2.1e-253  842.0  15.8  -
Pseudomonadaceae_Pseudomonas                     -          B0306_LKAP-FHGF1_A06_048 -               31     942       6     925       2     933    1502    +    4.2e-253  840.9  17.4  -
Idiomarinaceae_Aliidiomarina                     -          B0306_LKAP-FHGF1_A06_048 -                2     914       9     927       8     933    1410    +    7.5e-253  839.9  17.2  -
Morganellaceae_Photorhabdus                      -          B0306_LKAP-FHGF1_A06_048 -               26     944       6     927       2     933    1478    +    1.1e-252  839.9  17.5  -
Celerinatantimonadaceae_Celerinatantimonas       -          B0306_LKAP-FHGF1_A06_048 -               19     947       6     927       2     933    1433    +    1.2e-251  836.2  17.5  -
Alteromonadaceae_Marinobacterium                 -          B0306_LKAP-FHGF1_A06_048 -               24     938       6     925       2     933    1465    +      3e-251  834.7  17.5  -
Alteromonadaceae_Alishewanella                   -          B0306_LKAP-FHGF1_A06_048 -               30     929       3     925       1     933    1426    +    3.6e-251  834.5  17.0  -
Alteromonadaceae_Bowmanella                      -          B0306_LKAP-FHGF1_A06_048 -               42     952       6     927       2     933    1496    +    7.1e-249  826.9  16.7  -
Idiomarinaceae_Pseudidiomarina                   -          B0306_LKAP-FHGF1_A06_048 -               24     941       6     927       2     933    1499    +    1.3e-248  825.9  17.0  -
Pseudoalteromonadaceae_Psychrosphaera            -          B0306_LKAP-FHGF1_A06_048 -               28     935       6     927       2     933    1450    +    2.7e-248  825.0  16.5  -
Pasteurellaceae_Actinobacillus                   -          B0306_LKAP-FHGF1_A06_048 -               24     940       6     927       2     933    1364    +    5.2e-246  817.5  17.7  -
Pasteurellaceae_Pasteurella                      -          B0306_LKAP-FHGF1_A06_048 -               24     941       6     927       2     933    1365    +      1e-245  816.5  17.6  -
Moritellaceae_Moritella                          -          B0306_LKAP-FHGF1_A06_048 -               44     962       6     927       2     933    1506    +    5.9e-245  813.8  17.0  -
Pectobacteriaceae_Lonsdalea                      -          B0306_LKAP-FHGF1_A06_048 -                1     861      61     927      61     933    1345    +    2.2e-244  812.1  15.8  -
Alteromonadaceae_Glaciecola                      -          B0306_LKAP-FHGF1_A06_048 -               42     952       5     927       2     933    1474    +    2.3e-244  811.8  16.9  -
Pasteurellaceae_Haemophilus                      -          B0306_LKAP-FHGF1_A06_048 -               24     938       6     927       2     933    1450    +    8.5e-244  810.0  17.5  -
Oceanospirillaceae_Thalassolituus                -          B0306_LKAP-FHGF1_A06_048 -               31     942       6     924       2     932    1476    +    9.1e-244  809.8  17.4  -
Alcanivoracaceae_Alcanivorax                     -          B0306_LKAP-FHGF1_A06_048 -               44     959       6     927       2     933    1505    +    1.1e-243  809.5  17.0  -
Alteromonadaceae_Paraglaciecola                  -          B0306_LKAP-FHGF1_A06_048 -               34     942       6     927       2     933    1495    +      2e-243  808.5  16.9  -
Oceanospirillaceae_Marinomonas                   -          B0306_LKAP-FHGF1_A06_048 -               24     938       6     925       2     933    1467    +    2.7e-243  808.1  17.7  -
Alteromonadaceae_Aliiglaciecola                  -          B0306_LKAP-FHGF1_A06_048 -                9     920       5     927       2     933    1440    +    1.6e-242  805.7  16.7  -
Orbaceae_Orbus                                   -          B0306_LKAP-FHGF1_A06_048 -               37     949       6     927       2     933    1522    +    2.5e-242  805.0  17.6  -
Thermoleophilaceae_Thermoleophilum               -          B0306_LKAP-FHGF1_A06_048 -               17     939       6     925       2     932    1494    +    7.3e-242  803.6  17.4  -
Pasteurellaceae_Mannheimia                       -          B0306_LKAP-FHGF1_A06_048 -               44     958       6     927       2     933    1504    +    6.6e-241  800.5  17.7  -
Microbulbiferaceae_Microbulbifer                 -          B0306_LKAP-FHGF1_A06_048 -               24     931       6     925       2     933    1480    +    4.3e-240  797.9  17.0  -
Alteromonadaceae_Alteromonas                     -          B0306_LKAP-FHGF1_A06_048 -               24     932       6     927       2     933    1464    +    6.8e-240  797.0  16.8  -
Alteromonadaceae_Aliagarivorans                  -          B0306_LKAP-FHGF1_A06_048 -               17     946       6     927       2     933    1462    +    2.3e-239  795.6  17.2  -
Alteromonadaceae_Aestuariibacter                 -          B0306_LKAP-FHGF1_A06_048 -               24     932       6     927       2     933    1455    +    2.5e-239  795.2  16.7  -
Cellvibrionaceae_Cellvibrio                      -          B0306_LKAP-FHGF1_A06_048 -               44     951       6     925       2     933    1505    +    4.5e-239  794.4  17.3  -
Oceanospirillaceae_Oceanospirillum               -          B0306_LKAP-FHGF1_A06_048 -               24     936       6     924       2     932    1462    +    1.2e-238  793.1  17.2  -
Pasteurellaceae_Gallibacterium                   -          B0306_LKAP-FHGF1_A06_048 -               24     941       6     927       2     933    1464    +    5.1e-238  791.1  17.5  -
Pasteurellaceae_Ursidibacter                     -          B0306_LKAP-FHGF1_A06_048 -               69     987       6     927       2     933    1409    +    6.8e-238  790.6  17.7  -
Oceanospirillaceae_Marinospirillum               -          B0306_LKAP-FHGF1_A06_048 -               24     932       6     927       2     933    1451    +    5.7e-237  787.5  16.8  -
Hahellaceae_Hahella                              -          B0306_LKAP-FHGF1_A06_048 -               51     961       6     924       2     932    1539    +      7e-237  787.2  17.5  -
Alteromonadaceae_Salinimonas                     -          B0306_LKAP-FHGF1_A06_048 -               24     936       6     927       2     933    1459    +    1.1e-236  786.5  16.8  -
Pseudomonadaceae_Azomonas                        -          B0306_LKAP-FHGF1_A06_048 -                7     919       6     924       2     932    1453    +      5e-236  784.3  17.5  -
Alteromonadaceae_Marinobacter                    -          B0306_LKAP-FHGF1_A06_048 -               24     936       6     925       2     933    1478    +    2.6e-235  781.9  17.4  -
Pseudomonadaceae_Azotobacter                     -          B0306_LKAP-FHGF1_A06_048 -               31     938       6     924       2     932    1473    +    7.3e-235  780.6  17.3  -
Vibrionaceae_Paraphotobacterium                  -          B0306_LKAP-FHGF1_A06_048 -               49     966       6     928       2     934    1539    +    2.5e-234  778.1  17.3  -
Cellvibrionaceae_Gilvimarinus                    -          B0306_LKAP-FHGF1_A06_048 -               19     927       5     925       2     933    1445    +    3.3e-234  778.2  17.2  -
Pasteurellaceae_Avibacterium                     -          B0306_LKAP-FHGF1_A06_048 -               49     965       6     927       2     933    1480    +    3.6e-234  778.2  17.6  -
Halomonadaceae_Halomonas                         -          B0306_LKAP-FHGF1_A06_048 -               23     939       5     927       2     933    1463    +    5.6e-234  777.4  17.2  -
Cellvibrionaceae_Simiduia                        -          B0306_LKAP-FHGF1_A06_048 -               24     935       6     924       2     932    1463    +    7.4e-234  777.1  17.3  -
Oceanospirillaceae_Amphritea                     -          B0306_LKAP-FHGF1_A06_048 -               24     936       6     925       2     933    1463    +    1.3e-233  776.2  17.1  -
Halieaceae_Halioglobus                           -          B0306_LKAP-FHGF1_A06_048 -               25     932       6     927       2     933    1433    +    1.8e-233  775.9  17.1  -
Lysobacteraceae_Lysobacter                       -          B0306_LKAP-FHGF1_A06_048 -               25     944       5     927       2     933    1475    +    1.4e-232  772.8  17.4  -
Methylococcaceae_Methylococcus                   -          B0306_LKAP-FHGF1_A06_048 -               36     945       6     927       3     933    1482    +    1.8e-232  772.5  17.4  -
Oceanospirillaceae_Neptuniibacter                -          B0306_LKAP-FHGF1_A06_048 -               51     962       6     924       2     932    1541    +    6.1e-232  770.5  17.4  -
Lysobacteraceae_Luteimonas                       -          B0306_LKAP-FHGF1_A06_048 -               29     946       6     927       2     933    1490    +    1.4e-231  769.5  17.4  -
Oceanospirillaceae_Neptunomonas                  -          B0306_LKAP-FHGF1_A06_048 -               24     937       6     924       2     932    1484    +    1.6e-231  769.3  17.4  -
Legionellaceae_Legionella                        -          B0306_LKAP-FHGF1_A06_048 -               20     938       6     927       2     933    1446    +      3e-231  768.6  17.2  -
Chromobacteriaceae_Aquaspirillum                 -          B0306_LKAP-FHGF1_A06_048 -               43     953       5     927       2     933    1488    +    3.2e-231  768.5  17.4  -
Halomonadaceae_Salinicola                        -          B0306_LKAP-FHGF1_A06_048 -               24     938       6     927       2     933    1471    +    5.8e-231  767.4  17.4  -
Halieaceae_Parahaliea                            -          B0306_LKAP-FHGF1_A06_048 -               24     933       6     927       2     933    1498    +    1.4e-230  766.2  17.0  -
Methylococcaceae_Methylocaldum                   -          B0306_LKAP-FHGF1_A06_048 -               44     959       6     927       2     933    1491    +    1.2e-229  763.3  17.9  -
Alcanivoracaceae_Pseudohongiella                 -          B0306_LKAP-FHGF1_A06_048 -               24     936       6     925       2     933    1461    +    1.3e-229  763.0  17.7  -
Oceanospirillaceae_Nitrincola                    -          B0306_LKAP-FHGF1_A06_048 -               34     942       6     925       2     933    1477    +    4.1e-228  758.0  16.9  -
Piscirickettsiaceae_Methylophaga                 -          B0306_LKAP-FHGF1_A06_048 -               23     934       6     927       2     933    1487    +    5.6e-228  757.5  17.1  -
Lysobacteraceae_Arenimonas                       -          B0306_LKAP-FHGF1_A06_048 -               28     945       6     927       2     933    1490    +    1.1e-227  756.8  17.5  -
Moraxellaceae_Moraxella                          -          B0306_LKAP-FHGF1_A06_048 -               16     922       6     927       2     933    1446    +      3e-227  755.3  16.8  -
Oceanospirillaceae_Reinekea                      -          B0306_LKAP-FHGF1_A06_048 -               34     939       6     924       2     932    1512    +    3.3e-227  755.0  17.5  -
Halothiobacillaceae_Halothiobacillus             -          B0306_LKAP-FHGF1_A06_048 -               44     961       6     927       2     933    1505    +    1.2e-226  753.3  17.1  -
Pasteurellaceae_Bisgaardia                       -          B0306_LKAP-FHGF1_A06_048 -               32     955       6     927       2     933    1389    +    1.7e-226  752.9  17.6  -
Methylococcaceae_Methylomonas                    -          B0306_LKAP-FHGF1_A06_048 -               43     950       6     927       3     933    1475    +    3.4e-226  751.7  17.6  -
Pasteurellaceae_Aggregatibacter                  -          B0306_LKAP-FHGF1_A06_048 -               49     963       6     927       2     933    1480    +    3.8e-226  751.5  17.7  -
Saccharospirillaceae_Saccharospirillum           -          B0306_LKAP-FHGF1_A06_048 -               25     930       6     924       2     932    1459    +    4.7e-226  751.3  17.5  -
Halieaceae_Haliea                                -          B0306_LKAP-FHGF1_A06_048 -               44     954       6     927       2     933    1500    +    6.1e-226  750.9  17.2  -
Cellvibrionaceae_Pseudomaricurvus                -          B0306_LKAP-FHGF1_A06_048 -               24     928       6     924       2     932    1490    +    8.9e-226  750.2  16.8  -
Thiotrichaceae_Leucothrix                        -          B0306_LKAP-FHGF1_A06_048 -               17     931       5     927       1     933    1445    +    2.1e-225  748.8  17.4  -
Piscirickettsiaceae_Thiomicrospira               -          B0306_LKAP-FHGF1_A06_048 -               28     943       6     927       2     933    1466    +    2.5e-225  748.8  16.8  -
Lysobacteraceae_Thermomonas                      -          B0306_LKAP-FHGF1_A06_048 -               24     941       6     927       2     933    1488    +    3.6e-225  748.4  17.5  -
Chromatiaceae_Thiohalocapsa                      -          B0306_LKAP-FHGF1_A06_048 -               34     940       6     927       2     933    1436    +    3.9e-225  748.5  16.7  -
Oceanospirillaceae_Oleispira                     -          B0306_LKAP-FHGF1_A06_048 -               44     955       6     924       2     932    1500    +    4.3e-225  748.0  17.5  -
Halomonadaceae_Chromohalobacter                  -          B0306_LKAP-FHGF1_A06_048 -               24     938       6     927       2     933    1480    +    4.5e-225  748.0  17.3  -
Spongiibacteraceae_Sinobacterium                 -          B0306_LKAP-FHGF1_A06_048 -               44     960       6     927       1     933    1504    +    8.1e-225  747.0  17.1  -
Cellvibrionaceae_Eionea                          -          B0306_LKAP-FHGF1_A06_048 -               26     934       6     925       2     933    1469    +    9.3e-225  746.9  16.6  -
Moraxellaceae_Alkanindiges                       -          B0306_LKAP-FHGF1_A06_048 -               11     922       6     927       2     933    1396    +      3e-224  745.3  17.1  -
Pasteurellaceae_Volucribacter                    -          B0306_LKAP-FHGF1_A06_048 -                3     910      15     927      13     933    1434    +    5.1e-224  744.7  17.5  -
Cellvibrionaceae_Umboniibacter                   -          B0306_LKAP-FHGF1_A06_048 -               36     940       6     924       2     932    1507    +    7.2e-224  744.2  17.2  -
Gammaproteobacteria_Thiohalomonas                -          B0306_LKAP-FHGF1_A06_048 -               17     935       6     927       2     933    1483    +    7.6e-224  743.7  17.1  -
Cardiobacteriaceae_Suttonella                    -          B0306_LKAP-FHGF1_A06_048 -               25     939       6     927       2     933    1486    +    9.4e-224  743.9  17.3  -
Halomonadaceae_Kushneria                         -          B0306_LKAP-FHGF1_A06_048 -               28     942       6     927       2     933    1461    +    1.5e-223  742.8  17.4  -
Spongiibacteraceae_Spongiibacter                 -          B0306_LKAP-FHGF1_A06_048 -               27     935       6     927       2     933    1441    +    2.6e-223  742.0  17.1  -
Gammaproteobacteria_Sedimenticola                -          B0306_LKAP-FHGF1_A06_048 -               38     959       6     927       2     933    1540    +    4.6e-223  741.3  17.2  -
Methylococcaceae_Methylobacter                   -          B0306_LKAP-FHGF1_A06_048 -               44     952       6     927       3     933    1500    +    6.1e-223  740.8  17.3  -
Pasteurellaceae_Rodentibacter                    -          B0306_LKAP-FHGF1_A06_048 -               50     958       6     926       2     933    1478    +    7.6e-223  740.6  17.6  -
Halomonadaceae_Cobetia                           -          B0306_LKAP-FHGF1_A06_048 -               36     950       6     927       2     933    1516    +      1e-222  740.2  17.3  -
Chromatiaceae_Halochromatium                     -          B0306_LKAP-FHGF1_A06_048 -               24     928       6     927       2     933    1451    +    1.6e-222  739.8  16.9  -
Kangiellaceae_Kangiella                          -          B0306_LKAP-FHGF1_A06_048 -               32     951       6     927       3     933    1478    +    2.2e-222  739.1  17.2  -
Methylococcaceae_Methylomicrobium                -          B0306_LKAP-FHGF1_A06_048 -               44     952       6     927       3     933    1467    +    4.9e-222  737.8  17.2  -
Moraxellaceae_Acinetobacter                      -          B0306_LKAP-FHGF1_A06_048 -               20     932       6     927       2     933    1463    +    7.2e-222  737.5  17.1  -
Succinivibrionaceae_Anaerobiospirillum           -          B0306_LKAP-FHGF1_A06_048 -               34     920       6     927       2     933    1494    +    9.8e-222  736.9  17.1  -
Lysobacteraceae_Wohlfahrtiimonas                 -          B0306_LKAP-FHGF1_A06_048 -               24     940       6     927       2     933    1448    +    1.4e-221  736.4  17.0  -
Chromatiaceae_Thiorhodococcus                    -          B0306_LKAP-FHGF1_A06_048 -               32     902      46     927      13     933    1426    +    1.7e-221  736.2  16.7  -
Lysobacteraceae_Pseudoxanthomonas                -          B0306_LKAP-FHGF1_A06_048 -               26     946       5     927       2     933    1484    +    2.5e-221  735.6  17.5  -
Hahellaceae_Endozoicomonas                       -          B0306_LKAP-FHGF1_A06_048 -               44     958       6     924       2     932    1524    +      4e-221  734.9  17.3  -
Yersiniaceae_Chania                              -          B0306_LKAP-FHGF1_A06_048 -               53     970       6     928       2     934    1546    +    6.7e-221  733.8  17.3  -
Moraxellaceae_Psychrobacter                      -          B0306_LKAP-FHGF1_A06_048 -               24     936       6     927       2     933    1491    +      3e-220  732.0  17.2  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          B0306_LKAP-FHGF1_A06_048 -               15     928       6     927       2     933    1438    +      4e-220  731.4  17.2  -
Rhodanobacteraceae_Dokdonella                    -          B0306_LKAP-FHGF1_A06_048 -               24     935       6     927       2     933    1480    +    5.8e-220  731.1  18.0  -
Lysobacteraceae_Silanimonas                      -          B0306_LKAP-FHGF1_A06_048 -               43     955       6     927       2     933    1493    +    1.4e-219  729.8  18.2  -
Hahellaceae_Allohahella                          -          B0306_LKAP-FHGF1_A06_048 -               44     950       6     925       1     933    1485    +    2.7e-219  729.0  17.3  -
Cardiobacteriaceae_Cardiobacterium               -          B0306_LKAP-FHGF1_A06_048 -               10     920       6     927       3     933    1493    +    4.1e-219  728.3  17.8  -
Lysobacteraceae_Vulcaniibacterium                -          B0306_LKAP-FHGF1_A06_048 -               51     968       6     927       2     933    1549    +    4.3e-219  728.1  17.2  -
Burkholderiaceae_Burkholderia                    -          B0306_LKAP-FHGF1_A06_048 -               30     942       5     927       2     933    1502    +    2.5e-218  725.7  17.1  -
Yersiniaceae_Samsonia                            -          B0306_LKAP-FHGF1_A06_048 -               46     964       6     928       2     934    1503    +    2.5e-218  725.4  17.4  -
Chromatiaceae_Allochromatium                     -          B0306_LKAP-FHGF1_A06_048 -               24     937       6     927       2     933    1462    +    3.8e-218  725.1  17.2  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          B0306_LKAP-FHGF1_A06_048 -               41     950       6     927       2     933    1490    +    6.9e-218  724.2  17.4  -
Chromatiaceae_Thiophaeococcus                    -          B0306_LKAP-FHGF1_A06_048 -               14     918       5     927       1     933    1440    +      1e-217  723.8  16.7  -
Thioalkalispiraceae_Thioprofundum                -          B0306_LKAP-FHGF1_A06_048 -               40     962       6     927       2     933    1537    +      1e-217  723.8  17.1  -
Cellvibrionaceae_Marinimicrobium                 -          B0306_LKAP-FHGF1_A06_048 -               24     930       6     925       2     933    1455    +    1.8e-217  722.7  17.3  -
Neisseriaceae_Neisseria                          -          B0306_LKAP-FHGF1_A06_048 -               37     954       5     927       2     933    1475    +    2.4e-217  722.5  17.3  -
