# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Planococcus                       -          LKAP-TSAKG2_H06_034_2018_2 -               25     860      13     844       6     844    1492    +           0 1055.1  20.3  -
Planococcaceae_Planomicrobium                    -          LKAP-TSAKG2_H06_034_2018_2 -               16     850      14     844       5     844    1485    +           0 1035.7  20.3  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-TSAKG2_H06_034_2018_2 -               12     845      17     844       6     844    1453    +    3.6e-258  857.5  20.3  -
Bacillaceae_Gracilibacillus                      -          LKAP-TSAKG2_H06_034_2018_2 -               22     868      14     844       3     844    1511    +    8.1e-258  856.5  20.5  -
Bacillaceae_Geobacillus                          -          LKAP-TSAKG2_H06_034_2018_2 -               29     866      13     842       5     844    1527    +    7.5e-257  853.3  20.5  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-TSAKG2_H06_034_2018_2 -               50     881      25     844       6     844    1553    +      9e-256  849.7  20.6  -
Bacillaceae_Sediminibacillus                     -          LKAP-TSAKG2_H06_034_2018_2 -               34     850      34     844      14     844    1478    +    9.2e-256  849.6  19.3  -
Bacillaceae_Anaerobacillus                       -          LKAP-TSAKG2_H06_034_2018_2 -               33     871      12     844       6     844    1512    +    1.5e-255  848.7  20.1  -
Bacillaceae_Amphibacillus                        -          LKAP-TSAKG2_H06_034_2018_2 -               33     868      27     844       7     844    1490    +      9e-255  846.3  20.0  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-TSAKG2_H06_034_2018_2 -               12     838      20     844      10     844    1443    +    2.7e-254  844.8  19.7  -
Bacillaceae_Thalassobacillus                     -          LKAP-TSAKG2_H06_034_2018_2 -               43     875      30     844       9     844    1506    +    9.4e-254  843.1  19.8  -
Bacillaceae_Halobacillus                         -          LKAP-TSAKG2_H06_034_2018_2 -               48     868      29     844       9     844    1520    +    1.7e-253  842.1  20.0  -
Carnobacteriaceae_Granulicatella                 -          LKAP-TSAKG2_H06_034_2018_2 -               34     872      12     844       5     844    1407    +    2.5e-252  838.2  20.2  -
Carnobacteriaceae_Trichococcus                   -          LKAP-TSAKG2_H06_034_2018_2 -               17     862      13     844       5     844    1513    +    8.1e-252  836.3  20.2  -
Bacillaceae_Paraliobacillus                      -          LKAP-TSAKG2_H06_034_2018_2 -               34     869      28     844       8     844    1511    +    1.5e-251  835.7  20.1  -
Bacillales_Geomicrobium                          -          LKAP-TSAKG2_H06_034_2018_2 -               27     864      14     844       6     844    1537    +    2.9e-251  834.8  20.5  -
Aerococcaceae_Aerococcus                         -          LKAP-TSAKG2_H06_034_2018_2 -               16     842      19     844       6     844    1461    +    3.5e-251  834.4  20.2  -
Paenibacillaceae_Brevibacillus                   -          LKAP-TSAKG2_H06_034_2018_2 -               13     836      12     843       5     844    1486    +    5.6e-251  833.8  21.2  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-TSAKG2_H06_034_2018_2 -               18     842      14     843       6     844    1483    +    8.8e-251  833.0  20.4  -
Aerococcaceae_Facklamia                          -          LKAP-TSAKG2_H06_034_2018_2 -               15     853      13     843       6     844    1501    +    3.4e-250  831.3  20.4  -
Bacillaceae_Scopulibacillus                      -          LKAP-TSAKG2_H06_034_2018_2 -               71     882      32     843      12     844    1555    +    1.1e-249  829.3  20.0  -
Bacillaceae_Salipaludibacillus                   -          LKAP-TSAKG2_H06_034_2018_2 -               31     849      30     844      15     844    1480    +    2.9e-249  828.1  19.5  -
Bacillaceae_Alkalibacillus                       -          LKAP-TSAKG2_H06_034_2018_2 -               64     856      53     843      21     844    1492    +    3.9e-249  827.7  20.3  -
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_H06_034_2018_2 -               47     875      28     844       8     844    1526    +    2.3e-248  825.1  20.1  -
Bacillaceae_Halolactibacillus                    -          LKAP-TSAKG2_H06_034_2018_2 -               38     855      31     844      13     844    1491    +    3.5e-248  824.4  19.4  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-TSAKG2_H06_034_2018_2 -               16     850      14     844       4     844    1503    +    1.3e-247  822.5  20.4  -
Listeriaceae_Brochothrix                         -          LKAP-TSAKG2_H06_034_2018_2 -               12     838      21     844       9     844    1421    +    2.3e-247  822.0  19.9  -
Bacillaceae_Tepidibacillus                       -          LKAP-TSAKG2_H06_034_2018_2 -               72     856      62     844      37     844    1493    +    4.8e-247  820.3  19.6  -
Bacillaceae_Alteribacillus                       -          LKAP-TSAKG2_H06_034_2018_2 -               53     839      63     844      33     844    1440    +    1.1e-245  816.3  19.7  -
Bacillaceae_Piscibacillus                        -          LKAP-TSAKG2_H06_034_2018_2 -               37     843      38     843      18     844    1520    +    2.8e-244  811.6  19.6  -
Paenibacillaceae_Cohnella                        -          LKAP-TSAKG2_H06_034_2018_2 -               19     855      13     844       4     844    1482    +    1.3e-243  809.6  20.1  -
Bacillaceae_Alkalicoccus                         -          LKAP-TSAKG2_H06_034_2018_2 -               69     894      30     844       9     844    1558    +      4e-243  807.7  19.8  -
Bacillaceae_Salimicrobium                        -          LKAP-TSAKG2_H06_034_2018_2 -               49     869      30     844      10     844    1500    +    1.4e-242  806.0  19.9  -
Bacillaceae_Salsuginibacillus                    -          LKAP-TSAKG2_H06_034_2018_2 -               53     892      24     843       5     844    1505    +    3.1e-241  801.5  20.1  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-TSAKG2_H06_034_2018_2 -               54     840      59     844      37     844    1494    +    5.8e-241  800.6  19.7  -
Enterococcaceae_Tetragenococcus                  -          LKAP-TSAKG2_H06_034_2018_2 -               23     862      16     844       4     844    1518    +    1.5e-240  799.2  20.3  -
Bacillaceae_Pelagirhabdus                        -          LKAP-TSAKG2_H06_034_2018_2 -               53     839      64     844      44     844    1462    +    3.4e-240  797.9  20.1  -
Bacillaceae_Thermolongibacillus                  -          LKAP-TSAKG2_H06_034_2018_2 -                2     826      28     844      27     844    1432    +    2.9e-238  791.5  19.9  -
Paenibacillaceae_Fontibacillus                   -          LKAP-TSAKG2_H06_034_2018_2 -               20     858      13     844       4     844    1487    +    7.4e-238  790.3  20.1  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-TSAKG2_H06_034_2018_2 -               53     840      58     844      38     844    1511    +    3.2e-236  784.6  19.5  -
Bacillales_Gemella                               -          LKAP-TSAKG2_H06_034_2018_2 -               18     854      13     844       6     844    1511    +    3.3e-236  784.9  19.9  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-TSAKG2_H06_034_2018_2 -               54     883      27     844       7     844    1546    +    1.3e-235  782.8  20.2  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-TSAKG2_H06_034_2018_2 -               17     840      13     843       6     844    1497    +    7.2e-234  777.2  20.7  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-TSAKG2_H06_034_2018_2 -               15     863      13     842       6     844    1486    +    5.8e-233  774.0  20.6  -
Bacillaceae_Salibacterium                        -          LKAP-TSAKG2_H06_034_2018_2 -               11     848      23     844      12     844    1485    +    9.3e-233  773.4  19.7  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-TSAKG2_H06_034_2018_2 -               26     870      12     842       4     844    1506    +    2.7e-232  771.9  21.1  -
Lactobacillaceae_Pediococcus                     -          LKAP-TSAKG2_H06_034_2018_2 -              106     888      63     844      43     844    1526    +    3.5e-232  771.6  20.0  -
Bacillaceae_Salisediminibacterium                -          LKAP-TSAKG2_H06_034_2018_2 -               27     843      33     844      13     844    1449    +    5.9e-231  767.5  19.7  -
Paenibacillaceae_Saccharibacillus                -          LKAP-TSAKG2_H06_034_2018_2 -               29     856      20     844       5     844    1498    +    1.4e-230  766.6  20.1  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-TSAKG2_H06_034_2018_2 -               59     849      62     844      39     844    1488    +    3.5e-230  764.8  19.9  -
Planococcaceae_Filibacter                        -          LKAP-TSAKG2_H06_034_2018_2 -               26     860      14     844       3     844    1517    +    1.9e-229  761.9  20.5  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-TSAKG2_H06_034_2018_2 -               27     845      12     843       5     844    1493    +    5.9e-228  757.3  21.7  -
Thermoactinomycetaceae_Desmospora                -          LKAP-TSAKG2_H06_034_2018_2 -               33     870      12     842       5     844    1548    +    2.2e-226  752.5  20.6  -
Bacillales_Chungangia                            -          LKAP-TSAKG2_H06_034_2018_2 -               24     857      14     844       3     844    1440    +    2.6e-226  751.6  20.4  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-TSAKG2_H06_034_2018_2 -               35     869      13     843       6     844    1510    +    3.3e-226  751.9  21.0  -
Bacillales_Desulfuribacillus                     -          LKAP-TSAKG2_H06_034_2018_2 -               23     858      12     843       4     844    1495    +    5.2e-225  747.6  20.4  -
Thermoactinomycetaceae_Marininema                -          LKAP-TSAKG2_H06_034_2018_2 -               34     867      13     842       6     844    1553    +    6.2e-225  747.4  20.8  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-TSAKG2_H06_034_2018_2 -               11     846      13     844       6     844    1466    +    8.4e-224  743.8  20.3  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-TSAKG2_H06_034_2018_2 -               25     848      13     834       6     843    1439    +    8.6e-224  743.7  21.5  -
Bacillaceae_Marinococcus                         -          LKAP-TSAKG2_H06_034_2018_2 -                6     861      10     844       5     844    1503    +    3.2e-223  741.9  20.8  -
Eubacteriaceae_Eubacterium                       -          LKAP-TSAKG2_H06_034_2018_2 -               35     852      13     844       8     844    1476    +    5.3e-223  741.0  21.4  -
Thermoactinomycetaceae_Planifilum                -          LKAP-TSAKG2_H06_034_2018_2 -               35     870      13     841       6     844    1517    +    1.4e-222  739.7  20.6  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-TSAKG2_H06_034_2018_2 -               26     848      12     844       5     844    1489    +    5.4e-222  737.9  21.9  -
Paenibacillaceae_Thermobacillus                  -          LKAP-TSAKG2_H06_034_2018_2 -               53     888      27     844       7     844    1599    +    3.9e-221  734.9  20.5  -
Planococcaceae_Savagea                           -          LKAP-TSAKG2_H06_034_2018_2 -               37     872      14     844       3     844    1547    +    3.9e-220  731.1  20.4  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-TSAKG2_H06_034_2018_2 -               38     828      15     844       3     844    1464    +    1.3e-219  730.0  21.7  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-TSAKG2_H06_034_2018_2 -               34     846      12     834       6     843    1509    +    6.6e-218  724.4  21.5  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-TSAKG2_H06_034_2018_2 -               21     868      13     843       5     844    1523    +    2.1e-217  722.4  20.5  -
Bacillaceae_Falsibacillus                        -          LKAP-TSAKG2_H06_034_2018_2 -                6     823      27     844      22     844    1413    +    7.2e-217  720.3  19.8  -
Leuconostocaceae_Weissella                       -          LKAP-TSAKG2_H06_034_2018_2 -               64     875      48     844      24     844    1485    +    1.3e-216  719.9  19.7  -
Bacillaceae_Calditerricola                       -          LKAP-TSAKG2_H06_034_2018_2 -               53     882      27     842       7     844    1535    +    1.9e-216  719.3  20.9  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-TSAKG2_H06_034_2018_2 -               33     806      27     843       7     844    1428    +    3.1e-216  718.7  22.2  -
Streptococcaceae_Streptococcus                   -          LKAP-TSAKG2_H06_034_2018_2 -               20     861      13     844       5     844    1497    +    3.6e-213  708.5  20.3  -
Streptococcaceae_Lactococcus                     -          LKAP-TSAKG2_H06_034_2018_2 -               33     857      21     844       5     844    1492    +    5.4e-213  707.7  20.4  -
Bacillaceae_Paucisalibacillus                    -          LKAP-TSAKG2_H06_034_2018_2 -               68     879      34     844      13     844    1441    +    2.8e-212  705.1  19.5  -
Peptococcaceae_Desulfitobacterium                -          LKAP-TSAKG2_H06_034_2018_2 -               33     875      27     843       7     844    1521    +      2e-211  702.2  20.3  -
Bacillaceae_Compostibacillus                     -          LKAP-TSAKG2_H06_034_2018_2 -              148     935      58     844      38     844    1555    +    1.5e-210  699.4  19.3  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-TSAKG2_H06_034_2018_2 -               25     838      13     844       6     844    1485    +    1.3e-207  689.8  21.5  -
Bacillaceae_Salirhabdus                          -          LKAP-TSAKG2_H06_034_2018_2 -               66     878      33     844      12     844    1546    +    2.3e-207  689.1  19.7  -
Bacillaceae_Aeribacillus                         -          LKAP-TSAKG2_H06_034_2018_2 -               21     857      14     844       4     844    1516    +    2.4e-207  689.0  20.4  -
Bacillaceae_Saccharococcus                       -          LKAP-TSAKG2_H06_034_2018_2 -               36     863      14     842       3     844    1538    +    6.5e-207  687.5  20.5  -
Bacillaceae_Fermentibacillus                     -          LKAP-TSAKG2_H06_034_2018_2 -               35     868      14     843       4     844    1530    +    1.4e-206  686.2  20.3  -
Leuconostocaceae_Leuconostoc                     -          LKAP-TSAKG2_H06_034_2018_2 -                7     843      13     844       7     844    1477    +    7.9e-205  680.9  20.2  -
Bacillaceae_Polygonibacillus                     -          LKAP-TSAKG2_H06_034_2018_2 -                2     818      29     843      28     844    1480    +      9e-205  680.1  19.9  -
Peptococcaceae_Pelotomaculum                     -          LKAP-TSAKG2_H06_034_2018_2 -               14     827      12     843       5     844    1467    +    8.6e-204  677.1  21.7  -
Selenomonadaceae_Selenomonas                     -          LKAP-TSAKG2_H06_034_2018_2 -               35     883      12     843       6     844    1508    +    1.7e-203  676.3  20.5  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-TSAKG2_H06_034_2018_2 -               31     881      12     843       5     844    1529    +    3.9e-203  675.0  20.5  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-TSAKG2_H06_034_2018_2 -               23     859      12     843       6     844    1521    +    5.1e-203  674.8  20.8  -
Clostridiaceae_Alkaliphilus                      -          LKAP-TSAKG2_H06_034_2018_2 -               15     831      13     844       5     844    1465    +    1.5e-202  672.8  21.6  -
Bacillaceae_Aureibacillus                        -          LKAP-TSAKG2_H06_034_2018_2 -               36     877      14     844       4     844    1517    +    1.7e-202  673.0  19.9  -
Clostridiaceae_Caloramator                       -          LKAP-TSAKG2_H06_034_2018_2 -               25     817      21     844       5     844    1453    +    1.7e-202  673.1  20.8  -
Bacillaceae_Cerasibacillus                       -          LKAP-TSAKG2_H06_034_2018_2 -               74     869      53     844      28     844    1484    +      4e-202  671.6  19.5  -
Erysipelotrichaceae_Breznakia                    -          LKAP-TSAKG2_H06_034_2018_2 -               96     872      57     843      37     844    1508    +    6.1e-202  671.1  19.7  -
Bacillaceae_Melghiribacillus                     -          LKAP-TSAKG2_H06_034_2018_2 -               90     874      62     844      37     844    1552    +    7.8e-202  670.7  19.8  -
Bacillaceae_Natronobacillus                      -          LKAP-TSAKG2_H06_034_2018_2 -              104     893      57     844      19     844    1473    +    9.1e-202  670.5  19.6  -
Bacillaceae_Allobacillus                         -          LKAP-TSAKG2_H06_034_2018_2 -               40     843      42     843      21     844    1431    +    1.4e-201  669.8  19.3  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-TSAKG2_H06_034_2018_2 -               39     859      29     843       8     844    1493    +      2e-201  669.6  20.7  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_H06_034_2018_2 -               22     844      24     844       7     844    1494    +      2e-201  669.4  20.6  -
Bacillaceae_Filobacillus                         -          LKAP-TSAKG2_H06_034_2018_2 -               44     856      31     843      11     844    1491    +    3.3e-201  668.4  19.8  -
Ruminococcaceae_Ruminococcus                     -          LKAP-TSAKG2_H06_034_2018_2 -                4     818      14     843      11     844    1394    +    4.3e-201  668.4  21.1  -
Ruminococcaceae_Acetivibrio                      -          LKAP-TSAKG2_H06_034_2018_2 -               28     857      12     843       7     844    1529    +    8.6e-201  667.3  21.8  -
Natranaerobiaceae_Natranaerobius                 -          LKAP-TSAKG2_H06_034_2018_2 -                2     813      19     844      18     844    1424    +    1.4e-200  666.7  20.2  -
Carnobacteriaceae_Desemzia                       -          LKAP-TSAKG2_H06_034_2018_2 -               22     859      14     844       4     844    1505    +    1.7e-200  666.1  20.3  -
Carnobacteriaceae_Atopococcus                    -          LKAP-TSAKG2_H06_034_2018_2 -               57     845      59     844      37     844    1500    +    2.4e-200  665.7  19.6  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-TSAKG2_H06_034_2018_2 -               21     822      24     844       9     844    1465    +    2.5e-200  666.1  20.4  -
Bacillaceae_Aquisalibacillus                     -          LKAP-TSAKG2_H06_034_2018_2 -               76     884      34     843      14     844    1484    +    4.1e-200  664.8  19.2  -
Leuconostocaceae_Fructobacillus                  -          LKAP-TSAKG2_H06_034_2018_2 -               16     851      14     844       5     844    1485    +    4.4e-200  665.2  20.0  -
Peptococcaceae_Sporotomaculum                    -          LKAP-TSAKG2_H06_034_2018_2 -              156     912      61     843      41     844    1510    +    4.4e-200  665.0  20.7  -
Clostridiales_Carboxydocella                     -          LKAP-TSAKG2_H06_034_2018_2 -                6     851      13     843       8     844    1458    +    5.4e-200  664.7  20.2  -
Bacillaceae_Vulcanibacillus                      -          LKAP-TSAKG2_H06_034_2018_2 -               26     864      14     843       3     844    1526    +    1.4e-199  663.1  20.4  -
Bacillaceae_Saliterribacillus                    -          LKAP-TSAKG2_H06_034_2018_2 -               72     891      34     844      13     844    1472    +    3.7e-199  661.7  19.4  -
Bacillaceae_Alkalilactibacillus                  -          LKAP-TSAKG2_H06_034_2018_2 -               67     892      27     844       7     844    1567    +    7.4e-199  660.9  20.0  -
Bacillaceae_Streptohalobacillus                  -          LKAP-TSAKG2_H06_034_2018_2 -                9     847      24     844      14     844    1481    +    7.5e-199  660.5  19.4  -
Geobacteraceae_Geobacter                         -          LKAP-TSAKG2_H06_034_2018_2 -               14     856      12     844       6     844    1470    +      3e-198  658.9  20.7  -
Staphylococcaceae_Auricoccus                     -          LKAP-TSAKG2_H06_034_2018_2 -               41     880      14     844       4     844    1507    +    3.2e-198  658.7  20.6  -
Staphylococcaceae_Abyssicoccus                   -          LKAP-TSAKG2_H06_034_2018_2 -               64     903      14     844       4     844    1576    +    6.3e-198  657.7  20.6  -
Bacillaceae_Halalkalibacillus                    -          LKAP-TSAKG2_H06_034_2018_2 -               45     857      33     843      13     844    1492    +    6.8e-198  657.6  19.7  -
Bacillaceae_Sinibacillus                         -          LKAP-TSAKG2_H06_034_2018_2 -               47     867      27     844       7     844    1489    +    8.3e-198  657.4  20.1  -
Bacillaceae_Caenibacillus                        -          LKAP-TSAKG2_H06_034_2018_2 -               48     863      29     843       9     844    1490    +    1.4e-197  656.6  19.9  -
Bacillaceae_Tenuibacillus                        -          LKAP-TSAKG2_H06_034_2018_2 -               51     860      34     843      13     844    1479    +    5.4e-197  654.5  19.6  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-TSAKG2_H06_034_2018_2 -               17     801      26     844      13     844    1412    +    6.9e-197  654.5  20.5  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-TSAKG2_H06_034_2018_2 -               56     850      27     844       8     844    1516    +      8e-197  654.6  20.9  -
Carnobacteriaceae_Pisciglobus                    -          LKAP-TSAKG2_H06_034_2018_2 -               25     831      45     844      26     844    1501    +    9.2e-197  653.7  19.7  -
Sporomusaceae_Sporomusa                          -          LKAP-TSAKG2_H06_034_2018_2 -               34     872      13     843       6     844    1532    +    1.3e-196  653.3  20.8  -
Erysipelotrichaceae_Erysipelothrix               -          LKAP-TSAKG2_H06_034_2018_2 -               22     849      13     843       5     844    1467    +    1.3e-196  653.7  20.4  -
Sporomusaceae_Pelosinus                          -          LKAP-TSAKG2_H06_034_2018_2 -               33     870      13     843       4     844    1550    +    1.7e-196  652.4  20.1  -
Thermoanaerobacteraceae_Thermoanaerobacter       -          LKAP-TSAKG2_H06_034_2018_2 -               31     841      13     842       6     844    1525    +    2.2e-196  652.4  22.3  -
Clostridiaceae_Natronincola                      -          LKAP-TSAKG2_H06_034_2018_2 -               46     844      24     844       7     844    1489    +    2.8e-196  652.2  21.3  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-TSAKG2_H06_034_2018_2 -               43     872      30     844       8     844    1521    +    5.2e-196  651.5  19.8  -
Staphylococcaceae_Corticicoccus                  -          LKAP-TSAKG2_H06_034_2018_2 -               14     854      19     844       8     844    1465    +    6.8e-196  650.9  19.7  -
Enterococcaceae_Bavariicoccus                    -          LKAP-TSAKG2_H06_034_2018_2 -               33     860      28     844       7     844    1470    +    8.9e-196  650.4  20.0  -
Veillonellaceae_Dialister                        -          LKAP-TSAKG2_H06_034_2018_2 -               12     863      12     843       5     844    1502    +    1.2e-195  650.3  20.9  -
Sporolactobacillaceae_Terrilactibacillus         -          LKAP-TSAKG2_H06_034_2018_2 -               18     816      41     843      28     844    1456    +    2.9e-195  648.9  19.7  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-TSAKG2_H06_034_2018_2 -               51     833      26     842       9     844    1510    +    8.7e-195  647.7  22.2  -
Desulfuromonadaceae_Desulfuromonas               -          LKAP-TSAKG2_H06_034_2018_2 -               23     868      12     844       6     844    1512    +    1.5e-194  646.7  20.5  -
Sporolactobacillaceae_Tuberibacillus             -          LKAP-TSAKG2_H06_034_2018_2 -               52     862      33     843      13     844    1486    +    2.7e-194  645.7  19.6  -
Enterococcaceae_Catellicoccus                    -          LKAP-TSAKG2_H06_034_2018_2 -               12     840      27     844      18     844    1480    +      3e-194  645.3  19.3  -
Carnobacteriaceae_Isobaculum                     -          LKAP-TSAKG2_H06_034_2018_2 -               59     863      48     844       8     844    1515    +    2.2e-193  642.4  20.0  -
Clostridiaceae_Hathewaya                         -          LKAP-TSAKG2_H06_034_2018_2 -               34     836      12     844       6     844    1507    +    4.6e-193  641.7  21.7  -
Desulfuromonadaceae_Pelobacter                   -          LKAP-TSAKG2_H06_034_2018_2 -               34     876      13     844       6     844    1542    +    5.9e-193  641.5  20.4  -
Peptococcaceae_Desulfitispora                    -          LKAP-TSAKG2_H06_034_2018_2 -               40     829      63     843      43     844    1479    +    6.3e-193  641.2  20.1  -
Veillonellaceae_Megasphaera                      -          LKAP-TSAKG2_H06_034_2018_2 -               37     887      12     843       5     844    1528    +    8.8e-193  640.6  20.7  -
Carnobacteriaceae_Lacticigenium                  -          LKAP-TSAKG2_H06_034_2018_2 -               49     855      47     844      12     844    1446    +    1.5e-192  639.9  19.5  -
