# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          A1d2_reverse         -              501    1442     960      20     960       7    1491    -           0 1087.1   5.1  -
Moraxellaceae_Moraxella                          -          A1d2_reverse         -              487    1426     960      19     960       5    1446    -           0 1025.1   5.1  -
Halieaceae_Haliea                                -          A1d2_reverse         -              518    1434     960      45     960      24    1500    -    9.7e-250  829.8   5.7  -
Spongiibacteraceae_Spongiibacter                 -          A1d2_reverse         -              500    1415     960      44     960      24    1441    -    2.1e-249  828.5   5.7  -
Halieaceae_Parahaliea                            -          A1d2_reverse         -              498    1415     960      42     960      22    1498    -      5e-249  827.4   5.6  -
Halomonadaceae_Cobetia                           -          A1d2_reverse         -              516    1454     959      22     960       8    1516    -    7.4e-249  826.8   5.3  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          A1d2_reverse         -              501    1437     959      23     960       9    1461    -      8e-249  826.6   5.3  -
Spongiibacteraceae_Sinobacterium                 -          A1d2_reverse         -              525    1441     960      43     960      22    1504    -      1e-248  826.3   5.6  -
Pseudoalteromonadaceae_Algicola                  -          A1d2_reverse         -              518    1433     960      43     960      22    1490    -    5.2e-248  824.0   5.7  -
Methylococcaceae_Methylovulum                    -          A1d2_reverse         -              512    1417     960      52     960      37    1492    -    6.9e-248  823.6   6.1  -
Oceanospirillaceae_Reinekea                      -          A1d2_reverse         -              507    1421     960      45     960      24    1512    -      7e-248  823.5   5.7  -
Alteromonadaceae_Marinobacter                    -          A1d2_reverse         -              503    1417     960      44     960      22    1478    -    7.4e-248  823.5   5.7  -
Oceanospirillaceae_Nitrincola                    -          A1d2_reverse         -              509    1423     960      45     960      32    1477    -    9.1e-248  823.2   5.7  -
Halomonadaceae_Salinicola                        -          A1d2_reverse         -              503    1444     960      20     960       6    1471    -    1.2e-247  822.8   5.3  -
Chromatiaceae_Rheinheimera                       -          A1d2_reverse         -              494    1399     960      51     960      35    1472    -    1.4e-247  822.6   6.2  -
Pseudomonadaceae_Azotobacter                     -          A1d2_reverse         -              511    1418     954      46     960      32    1473    -    1.4e-247  822.7   5.7  -
Chromobacteriaceae_Aquaspirillum                 -          A1d2_reverse         -              520    1427     959      50     960      30    1488    -    1.7e-247  822.5   5.6  -
Oceanospirillaceae_Oceanospirillum               -          A1d2_reverse         -              504    1418     960      44     960      23    1462    -    4.3e-247  821.1   5.5  -
Aeromonadaceae_Aeromonas                         -          A1d2_reverse         -              526    1464     960      23     960      10    1503    -    3.9e-246  817.6   5.3  -
Methylococcaceae_Methylobacter                   -          A1d2_reverse         -              516    1431     960      45     960      25    1500    -    1.3e-245  816.0   5.7  -
Oceanospirillaceae_Neptuniibacter                -          A1d2_reverse         -              530    1444     960      45     960      25    1541    -    2.2e-245  815.1   5.6  -
Oceanospirillaceae_Thalassolituus                -          A1d2_reverse         -              510    1427     960      40     960      20    1476    -    2.3e-245  815.2   5.2  -
Cellvibrionaceae_Gilvimarinus                    -          A1d2_reverse         -              494    1432     960      23     960      11    1445    -    2.6e-245  815.0   5.3  -
Vibrionaceae_Vibrio                              -          A1d2_reverse         -              515    1419     960      52     960      32    1466    -      3e-245  814.8   6.1  -
Chromatiaceae_Thiophaeococcus                    -          A1d2_reverse         -              482    1423     960      21     960       7    1440    -    3.4e-245  814.9   5.3  -
Oceanospirillaceae_Marinospirillum               -          A1d2_reverse         -              497    1411     960      45     960      32    1451    -    9.6e-245  813.3   5.8  -
Methylococcaceae_Methylomicrobium                -          A1d2_reverse         -              516    1421     960      52     960      37    1467    -    1.7e-244  812.3   6.1  -
Nevskiaceae_Nevskia                              -          A1d2_reverse         -              493    1405     960      47     960      34    1451    -    3.7e-244  811.6   5.6  -
Idiomarinaceae_Idiomarina                        -          A1d2_reverse         -              510    1451     960      21     960       6    1471    -    3.9e-244  811.0   5.2  -
Chromatiaceae_Thiorhodococcus                    -          A1d2_reverse         -              466    1406     960      21     960       8    1426    -    4.8e-244  811.0   5.3  -
Ferrimonadaceae_Ferrimonas                       -          A1d2_reverse         -              516    1452     959      24     960      10    1475    -    4.8e-244  810.7   5.3  -
Pseudomonadaceae_Azomonas                        -          A1d2_reverse         -              487    1401     960      45     960      32    1453    -    7.8e-244  810.2   5.6  -
Enterobacteriaceae_Cronobacter                   -          A1d2_reverse         -              482    1387     960      51     960      36    1422    -    1.1e-243  809.7   6.2  -
Oceanospirillaceae_Amphritea                     -          A1d2_reverse         -              503    1417     960      45     960      25    1463    -    1.2e-243  809.5   5.6  -
Cellvibrionaceae_Simiduia                        -          A1d2_reverse         -              503    1417     960      45     960      25    1463    -    1.4e-243  809.4   5.5  -
Halomonadaceae_Kushneria                         -          A1d2_reverse         -              507    1422     960      43     960      22    1461    -    1.7e-243  808.9   5.6  -
Alteromonadaceae_Alishewanella                   -          A1d2_reverse         -              496    1400     960      51     960      37    1426    -      2e-243  808.9   6.2  -
Aeromonadaceae_Oceanimonas                       -          A1d2_reverse         -              504    1422     960      41     960      20    1483    -    2.3e-243  808.5   5.5  -
Hahellaceae_Hahella                              -          A1d2_reverse         -              528    1442     960      45     960      32    1539    -      4e-243  807.9   5.6  -
Thermoleophilaceae_Thermoleophilum               -          A1d2_reverse         -              504    1430     960      45     960      34    1494    -    5.7e-243  807.3   5.9  -
Hahellaceae_Endozoicomonas                       -          A1d2_reverse         -              526    1467     960      22     960       9    1524    -    6.4e-243  807.2   5.2  -
Colwelliaceae_Colwellia                          -          A1d2_reverse         -              510    1415     954      49     960      25    1485    -    1.1e-242  806.4   5.9  -
Arenicellaceae_Arenicella                        -          A1d2_reverse         -              509    1444     959      23     960      12    1506    -    1.7e-242  806.0   5.2  -
Spongiibacteraceae_Zhongshania                   -          A1d2_reverse         -              519    1458     960      22     960       6    1501    -    2.5e-242  805.1   5.3  -
Pseudoalteromonadaceae_Psychrosphaera            -          A1d2_reverse         -              501    1408     960      51     960      33    1450    -    2.8e-242  805.1   6.1  -
Enterobacteriaceae_Mangrovibacter                -          A1d2_reverse         -              453    1355     959      52     960      40    1368    -    4.7e-242  804.3   6.0  -
Methylococcaceae_Methylocaldum                   -          A1d2_reverse         -              523    1436     960      45     960      25    1491    -    5.8e-242  804.2   5.4  -
Aeromonadaceae_Pseudaeromonas                    -          A1d2_reverse         -              489    1410     960      44     960      22    1491    -    7.4e-242  803.5   5.6  -
Granulosicoccaceae_Granulosicoccus               -          A1d2_reverse         -              506    1418     959      48     960      25    1471    -    8.1e-242  803.6   5.8  -
Cellvibrionaceae_Eionea                          -          A1d2_reverse         -              500    1415     960      45     960      25    1469    -    8.8e-242  803.4   5.8  -
Oceanospirillaceae_Neptunomonas                  -          A1d2_reverse         -              505    1420     960      44     960      22    1484    -      1e-241  803.1   5.6  -
Thiotrichaceae_Leucothrix                        -          A1d2_reverse         -              496    1413     960      42     960      20    1445    -    1.1e-241  802.8   5.4  -
Chromatiaceae_Thiocystis                         -          A1d2_reverse         -              490    1431     960      21     960       7    1451    -    1.4e-241  803.0   5.3  -
Enterobacteriaceae_Citrobacter                   -          A1d2_reverse         -              520    1424     960      51     960      35    1517    -    2.8e-241  801.7   6.1  -
Cellvibrionaceae_Marinimicrobium                 -          A1d2_reverse         -              496    1435     960      21     960       9    1455    -    2.9e-241  801.6   5.0  -
Chromatiaceae_Thiodictyon                        -          A1d2_reverse         -              495    1409     959      45     960      25    1500    -    3.3e-241  801.7   5.7  -
Rhodanobacteraceae_Dokdonella                    -          A1d2_reverse         -              504    1414     954      46     960      35    1480    -    4.9e-241  801.0   6.0  -
Colwelliaceae_Thalassotalea                      -          A1d2_reverse         -              503    1406     960      53     960      34    1463    -    5.3e-241  800.9   6.0  -
Enterobacteriaceae_Salmonella                    -          A1d2_reverse         -              501    1406     960      50     960      30    1457    -    8.6e-241  800.2   5.9  -
Acidithiobacillaceae_Acidithiobacillus           -          A1d2_reverse         -              501    1414     954      42     960      21    1457    -      1e-240  799.8   5.6  -
Methylococcaceae_Methylosarcina                  -          A1d2_reverse         -              510    1419     960      51     960      33    1515    -    1.5e-240  799.2   6.0  -
Halomonadaceae_Chromohalobacter                  -          A1d2_reverse         -              503    1443     960      20     960       5    1480    -    2.1e-240  798.9   5.0  -
Aeromonadaceae_Zobellella                        -          A1d2_reverse         -              512    1428     960      42     960      22    1478    -    2.1e-240  798.6   5.5  -
Kangiellaceae_Kangiella                          -          A1d2_reverse         -              515    1427     960      46     960      25    1478    -    2.1e-240  798.8   5.4  -
Chromatiaceae_Thiohalocapsa                      -          A1d2_reverse         -              504    1421     960      42     960      33    1436    -    2.5e-240  798.8   5.7  -
Erwiniaceae_Erwinia                              -          A1d2_reverse         -              505    1411     960      50     960      33    1495    -    2.8e-240  798.5   6.1  -
Alcanivoracaceae_Pseudohongiella                 -          A1d2_reverse         -              508    1440     954      22     960       8    1461    -    5.4e-240  797.5   5.0  -
Vibrionaceae_Salinivibrio                        -          A1d2_reverse         -              537    1452     960      44     960      24    1502    -      1e-239  796.0   5.8  -
Nevskiaceae_Hydrocarboniphaga                    -          A1d2_reverse         -              508    1420     960      47     960      35    1487    -    1.2e-239  796.7   5.6  -
Vibrionaceae_Photobacterium                      -          A1d2_reverse         -              515    1431     960      43     960      22    1487    -    1.6e-239  795.8   5.6  -
Piscirickettsiaceae_Methylophaga                 -          A1d2_reverse         -              498    1403     960      50     960      30    1487    -    2.5e-239  795.1   5.9  -
Idiomarinaceae_Aliidiomarina                     -          A1d2_reverse         -              478    1393     960      45     960      35    1410    -    6.4e-239  793.7   5.9  -
Psychromonadaceae_Psychromonas                   -          A1d2_reverse         -              505    1409     960      55     960      35    1467    -    6.8e-239  793.9   5.7  -
Cellvibrionaceae_Pseudomaricurvus                -          A1d2_reverse         -              496    1411     960      44     960      24    1490    -    7.8e-239  793.5   5.6  -
Celerinatantimonadaceae_Celerinatantimonas       -          A1d2_reverse         -              510    1426     960      45     960      38    1433    -    1.1e-238  793.2   6.1  -
Alteromonadaceae_Catenovulum                     -          A1d2_reverse         -              497    1403     960      49     960      28    1451    -    1.6e-238  792.4   5.7  -
Saccharospirillaceae_Saccharospirillum           -          A1d2_reverse         -              498    1412     960      45     960      24    1459    -    1.9e-238  792.4   5.7  -
Erwiniaceae_Pantoea                              -          A1d2_reverse         -              442    1347     960      50     960      30    1416    -    2.2e-238  792.2   6.0  -
Enterobacteriaceae_Kosakonia                     -          A1d2_reverse         -              483    1388     960      50     960      34    1422    -    4.5e-238  790.8   6.0  -
Enterobacteriaceae_Escherichia                   -          A1d2_reverse         -              505    1410     960      50     960      33    1480    -    4.9e-238  791.1   6.0  -
Lysobacteraceae_Arenimonas                       -          A1d2_reverse         -              514    1424     954      46     960      36    1490    -    5.2e-238  791.0   6.0  -
Rhodanobacteraceae_Dyella                        -          A1d2_reverse         -              511    1422     954      45     960      35    1453    -    7.1e-238  790.5   6.0  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          A1d2_reverse         -              515    1458     959      20     960       6    1490    -    8.1e-238  790.3   5.2  -
Vibrionaceae_Enterovibrio                        -          A1d2_reverse         -              509    1426     960      42     960      21    1499    -    8.5e-238  790.0   5.6  -
Chromatiaceae_Halochromatium                     -          A1d2_reverse         -              493    1407     959      42     960      21    1451    -    9.9e-238  790.2   5.4  -
Enterobacteriaceae_Trabulsiella                  -          A1d2_reverse         -              498    1404     960      50     960      34    1471    -    1.6e-237  789.5   6.0  -
Moritellaceae_Paramoritella                      -          A1d2_reverse         -              503    1406     960      53     960      33    1512    -    2.3e-237  788.6   6.1  -
Enterobacteriaceae_Klebsiella                    -          A1d2_reverse         -              515    1419     960      51     960      37    1436    -    4.4e-237  787.9   6.0  -
Thioalkalispiraceae_Thioprofundum                -          A1d2_reverse         -              525    1437     960      51     960      31    1537    -    4.7e-237  787.9   5.7  -
Lysobacteraceae_Lysobacter                       -          A1d2_reverse         -              513    1424     954      45     960      25    1475    -    5.5e-237  787.5   5.8  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          A1d2_reverse         -              492    1432     960      22     960      16    1438    -    5.9e-237  787.2   5.1  -
Enterobacteriaceae_Enterobacter                  -          A1d2_reverse         -              501    1406     960      50     960      32    1476    -    6.2e-237  787.3   5.9  -
Cellvibrionaceae_Umboniibacter                   -          A1d2_reverse         -              508    1423     960      44     960      24    1507    -    6.9e-237  787.4   5.7  -
Alteromonadaceae_Aliagarivorans                  -          A1d2_reverse         -              511    1413     959      53     960      33    1462    -    7.4e-237  787.3   6.0  -
Moritellaceae_Moritella                          -          A1d2_reverse         -              527    1432     960      54     960      34    1506    -    9.1e-237  786.7   5.7  -
Enterobacteriaceae_Pseudocitrobacter             -          A1d2_reverse         -              503    1407     959      50     960      34    1459    -    1.1e-236  786.5   6.0  -
Chromatiaceae_Marichromatium                     -          A1d2_reverse         -              501    1418     959      41     960      22    1440    -    1.1e-236  786.8   5.5  -
Gammaproteobacteria_Alkalimonas                  -          A1d2_reverse         -              521    1426     960      50     960      34    1502    -    1.3e-236  786.2   6.0  -
Desulfobacteraceae_Desulfobacterium              -          A1d2_reverse         -              540    1443     959      56     960      42    1522    -    1.4e-236  786.0   5.9  -
Oceanospirillaceae_Oleispira                     -          A1d2_reverse         -              531    1437     951      43     960      22    1500    -    1.6e-236  785.9   5.3  -
Aeromonadaceae_Tolumonas                         -          A1d2_reverse         -              515    1430     960      45     960      25    1514    -    1.7e-236  785.9   5.6  -
Thiotrichaceae_Beggiatoa                         -          A1d2_reverse         -              512    1422     960      48     960      25    1491    -    2.2e-236  785.8   5.6  -
Enterobacteriaceae_Shigella                      -          A1d2_reverse         -              514    1418     959      50     960      34    1488    -    2.3e-236  785.5   6.0  -
Vibrionaceae_Grimontia                           -          A1d2_reverse         -              515    1453     960      23     960      12    1493    -    2.8e-236  785.1   5.3  -
Gammaproteobacteria_Plasticicumulans             -          A1d2_reverse         -              512    1419     954      46     960      25    1491    -    3.7e-236  784.8   5.8  -
Chromatiaceae_Thiocapsa                          -          A1d2_reverse         -              506    1426     960      40     960      22    1459    -    6.7e-236  784.2   5.6  -
Rhodanobacteraceae_Rhodanobacter                 -          A1d2_reverse         -              516    1426     954      46     960      35    1481    -    8.6e-236  783.7   6.0  -
Hahellaceae_Zooshikella                          -          A1d2_reverse         -              502    1416     959      45     960      25    1483    -    1.7e-235  782.6   5.6  -
Aeromonadaceae_Oceanisphaera                     -          A1d2_reverse         -              506    1419     959      44     960      23    1464    -    2.6e-235  781.8   5.7  -
Enterobacteriaceae_Kluyvera                      -          A1d2_reverse         -              491    1396     960      50     960      30    1455    -    2.6e-235  781.9   5.9  -
Hahellaceae_Allohahella                          -          A1d2_reverse         -              517    1432     960      44     960      22    1485    -    2.9e-235  782.0   5.7  -
Hafniaceae_Edwardsiella                          -          A1d2_reverse         -              507    1412     960      50     960      34    1466    -    3.3e-235  781.5   6.0  -
Lysobacteraceae_Luteimonas                       -          A1d2_reverse         -              515    1427     954      44     960      24    1490    -    4.7e-235  781.1   5.8  -
Yersiniaceae_Serratia                            -          A1d2_reverse         -              509    1414     960      50     960      30    1491    -    7.8e-235  780.3   6.1  -
Nevskiaceae_Steroidobacter                       -          A1d2_reverse         -              507    1424     960      42     960      21    1500    -    9.1e-235  780.4   5.4  -
Enterobacteriaceae_Raoultella                    -          A1d2_reverse         -              502    1406     959      50     960      30    1452    -    1.3e-234  779.8   5.9  -
Halomonadaceae_Larsenimonas                      -          A1d2_reverse         -              525    1461     959      23     960      11    1495    -    1.4e-234  779.5   5.2  -
Rhodanobacteraceae_Fulvimonas                    -          A1d2_reverse         -              515    1426     954      45     960      35    1484    -    1.5e-234  779.5   6.0  -
Alteromonadaceae_Bowmanella                      -          A1d2_reverse         -              517    1419     960      52     960      33    1496    -    2.2e-234  778.9   5.8  -
Alteromonadaceae_Agarivorans                     -          A1d2_reverse         -              512    1415     960      53     960      38    1454    -    3.3e-234  778.4   6.2  -
Ectothiorhodospiraceae_Alkalilimnicola           -          A1d2_reverse         -              515    1429     959      45     960      36    1472    -    5.3e-234  777.8   5.8  -
Colwelliaceae_Thalassomonas                      -          A1d2_reverse         -              503    1409     960      52     960      32    1462    -    5.4e-234  777.6   5.8  -
Alteromonadaceae_Paraglaciecola                  -          A1d2_reverse         -              507    1410     960      51     960      33    1495    -    1.1e-233  776.3   5.8  -
Chromobacteriaceae_Chitinilyticum                -          A1d2_reverse         -              496    1396     952      49     960      28    1455    -    1.3e-233  776.6   5.4  -
Gammaproteobacteria_Gallaecimonas                -          A1d2_reverse         -              525    1464     960      22     960       6    1506    -    1.7e-233  775.9   5.4  -
Enterobacteriaceae_Siccibacter                   -          A1d2_reverse         -              532    1442     960      48     960      37    1451    -    1.7e-233  776.1   5.9  -
Alteromonadaceae_Aestuariibacter                 -          A1d2_reverse         -              497    1400     960      51     960      29    1455    -    1.7e-233  775.9   5.6  -
Lysobacteraceae_Thermomonas                      -          A1d2_reverse         -              510    1419     954      47     960      36    1488    -    2.8e-233  775.3   6.0  -
Gammaproteobacteria_Sedimenticola                -          A1d2_reverse         -              522    1434     960      50     960      35    1540    -    3.1e-233  775.0   6.1  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          A1d2_reverse         -              508    1424     960      45     960      25    1472    -    3.4e-233  774.8   5.5  -
Rhodanobacteraceae_Luteibacter                   -          A1d2_reverse         -              512    1426     959      46     960      36    1457    -    4.4e-233  774.6   5.9  -
Enterobacteriaceae_Lelliottia                    -          A1d2_reverse         -              499    1403     959      50     960      35    1449    -    7.5e-233  773.8   6.1  -
Piscirickettsiaceae_Thiomicrospira               -          A1d2_reverse         -              507    1422     960      43     960      22    1466    -    8.5e-233  773.6   5.3  -
Pectobacteriaceae_Brenneria                      -          A1d2_reverse         -              483    1388     960      50     960      30    1457    -    1.1e-232  773.2   6.0  -
Halothiobacillaceae_Halothiobacillus             -          A1d2_reverse         -              525    1441     960      44     960      22    1505    -    1.1e-232  773.3   5.6  -
Cardiobacteriaceae_Cardiobacterium               -          A1d2_reverse         -              487    1421     960      22     960       7    1493    -    1.4e-232  773.0   5.4  -
Neisseriaceae_Neisseria                          -          A1d2_reverse         -              526    1423     952      53     960      30    1475    -    1.8e-232  772.7   5.6  -
Desulfobulbaceae_Desulforhopalus                 -          A1d2_reverse         -              503    1411     960      53     960      33    1498    -      2e-232  772.6   5.6  -
Pasteurellaceae_Haemophilus                      -          A1d2_reverse         -              506    1421     959      40     960      20    1450    -    2.4e-232  772.1   5.5  -
Pectobacteriaceae_Pectobacterium                 -          A1d2_reverse         -              513    1417     960      51     960      35    1499    -    4.5e-232  771.3   6.2  -
Lysobacteraceae_Silanimonas                      -          A1d2_reverse         -              524    1433     954      47     960      27    1493    -    6.2e-232  770.8   5.8  -
Pasteurellaceae_Gallibacterium                   -          A1d2_reverse         -              508    1446     960      21     960       9    1464    -    6.4e-232  770.9   5.2  -
Ectothiorhodospiraceae_Halorhodospira            -          A1d2_reverse         -              527    1441     959      45     960      30    1479    -    7.1e-232  770.8   5.7  -
Yersiniaceae_Yersinia                            -          A1d2_reverse         -              505    1411     960      50     960      34    1461    -    7.9e-232  770.4   6.1  -
Eubacteriaceae_Eubacterium                       -          A1d2_reverse         -              515    1419     959      55     960      35    1476    -    8.5e-232  770.3   5.7  -
Moraxellaceae_Enhydrobacter                      -          A1d2_reverse         -              496    1435     959      20     960       6    1484    -    9.7e-232  769.8   5.2  -
Desulfovibrionaceae_Desulfovibrio                -          A1d2_reverse         -              524    1427     960      56     960      36    1521    -    1.1e-231  770.0   5.8  -
Hafniaceae_Hafnia                                -          A1d2_reverse         -              505    1411     960      50     960      33    1463    -    1.2e-231  769.7   6.1  -
Cardiobacteriaceae_Suttonella                    -          A1d2_reverse         -              505    1424     960      38     960      17    1486    -    1.4e-231  770.0   5.3  -
Gammaproteobacteria_Thiohalomonas                -          A1d2_reverse         -              499    1412     960      47     960      26    1483    -    1.5e-231  769.3   5.6  -
Moraxellaceae_Faucicola                          -          A1d2_reverse         -              481    1420     959      20     960      11    1430    -    1.9e-231  768.8   5.0  -
Oxalobacteraceae_Undibacterium                   -          A1d2_reverse         -              502    1402     952      46     960      25    1442    -    2.9e-231  768.7   5.6  -
Rhodanobacteraceae_Frateuria                     -          A1d2_reverse         -              531    1442     954      46     960      36    1542    -    3.2e-231  768.4   6.0  -
Enterobacteriaceae_Buttiauxella                  -          A1d2_reverse         -              510    1414     959      50     960      34    1503    -    3.5e-231  768.3   6.0  -
Piscirickettsiaceae_Thiomicrorhabdus             -          A1d2_reverse         -              516    1427     960      47     960      34    1464    -    4.7e-231  767.7   5.7  -
Lysobacteraceae_Ignatzschineria                  -          A1d2_reverse         -              524    1434     959      47     960      27    1541    -    5.2e-231  767.7   5.7  -
Yersiniaceae_Rahnella                            -          A1d2_reverse         -              426    1331     960      51     960      39    1345    -    1.1e-230  766.7   6.1  -
Alteromonadaceae_Alteromonas                     -          A1d2_reverse         -              497    1399     960      52     960      33    1464    -    1.3e-230  766.2   5.8  -
Lysobacteraceae_Stenotrophomonas                 -          A1d2_reverse         -              511    1421     954      46     960      34    1484    -    1.4e-230  766.3   5.9  -
Salinisphaeraceae_Salinisphaera                  -          A1d2_reverse         -              490    1407     960      41     960      23    1429    -    1.4e-230  766.4   5.4  -
Morganellaceae_Xenorhabdus                       -          A1d2_reverse         -              507    1411     960      52     960      34    1493    -    2.4e-230  765.6   6.1  -
Neisseriaceae_Alysiella                          -          A1d2_reverse         -              534    1418     952      66     960      46    1524    -    3.3e-230  765.1   5.9  -
Desulfobulbaceae_Desulfobulbus                   -          A1d2_reverse         -              516    1426     960      55     960      38    1456    -    3.9e-230  764.7   5.7  -
Pasteurellaceae_Pasteurella                      -          A1d2_reverse         -              508    1363     959     103     960     101    1365    -    4.9e-230  764.7   7.1  -
Chromatiaceae_Allochromatium                     -          A1d2_reverse         -              501    1415     960      45     960      24    1462    -    5.3e-230  764.4   5.6  -
Neisseriaceae_Vitreoscilla                       -          A1d2_reverse         -              497    1422     951      22     960       5    1457    -    5.8e-230  764.3   5.0  -
Alteromonadaceae_Aliiglaciecola                  -          A1d2_reverse         -              485    1395     960      47     960      24    1440    -    6.2e-230  764.0   5.6  -
Enterobacteriaceae_Cedecea                       -          A1d2_reverse         -              427    1339     960      46     960      25    1403    -    7.9e-230  763.9   5.6  -
Erwiniaceae_Tatumella                            -          A1d2_reverse         -              505    1421     960      42     960      22    1490    -    1.3e-229  763.1   5.6  -
Chromobacteriaceae_Andreprevotia                 -          A1d2_reverse         -              478    1375     952      52     960      30    1418    -    2.1e-229  762.4   5.5  -
Enterobacteriaceae_Pluralibacter                 -          A1d2_reverse         -              525    1430     960      50     960      30    1532    -    2.2e-229  762.2   6.0  -
Neisseriaceae_Kingella                           -          A1d2_reverse         -              534    1429     952      55     960      30    1474    -    2.6e-229  762.1   5.7  -
Pasteurellaceae_Mannheimia                       -          A1d2_reverse         -              530    1437     954      44     960      22    1504    -      4e-229  761.5   5.7  -
Lysobacteraceae_Pseudoxanthomonas                -          A1d2_reverse         -              515    1425     954      46     960      29    1484    -    4.4e-229  761.3   5.8  -
Yersiniaceae_Rouxiella                           -          A1d2_reverse         -              534    1440     960      50     960      34    1551    -    4.9e-229  761.1   6.1  -
Enterobacteriaceae_Gibbsiella                    -          A1d2_reverse         -              468    1372     959      50     960      36    1396    -    4.9e-229  761.2   6.0  -
Chromatiaceae_Lamprocystis                       -          A1d2_reverse         -              518    1385     959      93     960      73    1406    -    5.5e-229  761.2   6.3  -
Chromobacteriaceae_Chitinibacter                 -          A1d2_reverse         -              477    1376     952      50     960      28    1433    -    6.3e-229  761.0   5.5  -
Succinivibrionaceae_Anaerobiospirillum           -          A1d2_reverse         -              488    1399     960      45     960      25    1494    -    1.9e-228  759.2   5.7  -
Chromobacteriaceae_Deefgea                       -          A1d2_reverse         -              509    1442     952      21     960       8    1511    -    3.3e-228  758.5   5.0  -
Enterobacteriaceae_Shimwellia                    -          A1d2_reverse         -              484    1388     959      50     960      35    1422    -    4.5e-228  758.1   6.1  -
Chromobacteriaceae_Iodobacter                    -          A1d2_reverse         -              506    1405     952      50     960      28    1459    -      5e-228  758.0   5.4  -
Rhodocyclaceae_Azoarcus                          -          A1d2_reverse         -              506    1412     952      45     960      23    1471    -    5.3e-228  757.8   5.4  -
Chromatiaceae_Imhoffiella                        -          A1d2_reverse         -              500    1438     959      23     960      11    1484    -    5.8e-228  757.7   5.2  -
Hahellaceae_Kistimonas                           -          A1d2_reverse         -              524    1441     959      42     960      22    1506    -    6.1e-228  757.6   5.5  -
Ectothiorhodospiraceae_Thiohalospira             -          A1d2_reverse         -              465    1306     960     119     960     108    1318    -    6.5e-228  757.6   7.2  -
Pectobacteriaceae_Dickeya                        -          A1d2_reverse         -              502    1406     960      51     960      38    1421    -    8.5e-228  757.1   6.2  -
Alteromonadaceae_Salinimonas                     -          A1d2_reverse         -              501    1413     960      45     960      25    1459    -    1.1e-227  756.7   5.5  -
