# target name                                    accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          LKAP.g-Gut1_B06_046.seq -               24     908       5     900       2     901    1466    +    8.8e-304 1008.7  18.1  -
Enterobacteriaceae_Salmonella                    -          LKAP.g-Gut1_B06_046.seq -               20     894       5     900       2     901    1457    +      4e-245  814.5  17.5  -
Enterobacteriaceae_Citrobacter                   -          LKAP.g-Gut1_B06_046.seq -               39     913       5     900       2     901    1517    +    4.7e-245  814.2  17.4  -
Pectobacteriaceae_Pectobacterium                 -          LKAP.g-Gut1_B06_046.seq -               32     906       5     900       2     901    1499    +    1.4e-244  812.7  17.6  -
Enterobacteriaceae_Cronobacter                   -          LKAP.g-Gut1_B06_046.seq -                2     875       6     900       5     901    1422    +    1.9e-243  808.9  17.8  -
Enterobacteriaceae_Pluralibacter                 -          LKAP.g-Gut1_B06_046.seq -               44     921       5     900       2     901    1532    +    2.1e-243  808.6  17.6  -
Enterobacteriaceae_Escherichia                   -          LKAP.g-Gut1_B06_046.seq -               24     898       5     900       2     901    1480    +    3.9e-243  807.9  17.6  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP.g-Gut1_B06_046.seq -               23     892       4     900       2     901    1461    +      4e-243  807.6  16.7  -
Enterobacteriaceae_Klebsiella                    -          LKAP.g-Gut1_B06_046.seq -               36     908       5     900       2     901    1436    +    7.5e-243  806.9  17.8  -
Pectobacteriaceae_Brenneria                      -          LKAP.g-Gut1_B06_046.seq -                2     876       5     900       4     901    1457    +    1.1e-242  806.2  17.9  -
Hafniaceae_Hafnia                                -          LKAP.g-Gut1_B06_046.seq -               24     898       5     900       2     901    1463    +      3e-242  804.8  17.7  -
Enterobacteriaceae_Trabulsiella                  -          LKAP.g-Gut1_B06_046.seq -               16     891       4     900       2     901    1471    +      9e-242  803.4  18.4  -
Enterobacteriaceae_Buttiauxella                  -          LKAP.g-Gut1_B06_046.seq -               30     902       5     900       2     901    1503    +      1e-241  803.1  17.9  -
Yersiniaceae_Rouxiella                           -          LKAP.g-Gut1_B06_046.seq -               53     927       5     900       2     901    1551    +    1.7e-241  802.3  17.7  -
Enterobacteriaceae_Gibbsiella                    -          LKAP.g-Gut1_B06_046.seq -               28     860      55     900      38     901    1396    +    3.3e-241  801.5  17.7  -
Enterobacteriaceae_Kluyvera                      -          LKAP.g-Gut1_B06_046.seq -               12     884       5     900       2     901    1455    +    4.1e-241  801.1  17.6  -
Aeromonadaceae_Aeromonas                         -          LKAP.g-Gut1_B06_046.seq -               43     919       5     900       2     901    1503    +    5.8e-240  797.1  17.6  -
Alteromonadaceae_Agarivorans                     -          LKAP.g-Gut1_B06_046.seq -               31     905       5     900       2     901    1454    +    6.6e-240  797.2  17.2  -
Idiomarinaceae_Idiomarina                        -          LKAP.g-Gut1_B06_046.seq -               29     904       5     900       2     901    1471    +    8.2e-240  796.6  17.3  -
Enterobacteriaceae_Franconibacter                -          LKAP.g-Gut1_B06_046.seq -               30     902       5     900       2     901    1325    +    1.2e-239  796.5  17.3  -
Pectobacteriaceae_Dickeya                        -          LKAP.g-Gut1_B06_046.seq -               21     895       5     900       2     901    1421    +    1.5e-239  795.9  18.0  -
Colwelliaceae_Thalassotalea                      -          LKAP.g-Gut1_B06_046.seq -               24     896       5     900       2     901    1463    +    1.7e-239  795.8  17.8  -
Enterobacteriaceae_Kosakonia                     -          LKAP.g-Gut1_B06_046.seq -               45     876      56     900      36     901    1422    +      3e-239  794.6  17.5  -
Morganellaceae_Xenorhabdus                       -          LKAP.g-Gut1_B06_046.seq -               26     900       5     900       2     901    1493    +    3.3e-239  794.9  17.9  -
Yersiniaceae_Yersinia                            -          LKAP.g-Gut1_B06_046.seq -               24     898       5     900       2     901    1461    +    4.1e-239  794.5  17.6  -
Enterobacteriaceae_Lelliottia                    -          LKAP.g-Gut1_B06_046.seq -               19     891       5     900       2     901    1449    +    2.4e-238  791.9  17.8  -
Enterobacteriaceae_Siccibacter                   -          LKAP.g-Gut1_B06_046.seq -               52     925       6     900       2     901    1451    +    6.6e-238  790.6  17.5  -
Enterobacteriaceae_Mangrovibacter                -          LKAP.g-Gut1_B06_046.seq -               16     845      58     900      52     901    1368    +    8.1e-238  790.2  17.2  -
Enterobacteriaceae_Pseudocitrobacter             -          LKAP.g-Gut1_B06_046.seq -               21     895       5     900       2     901    1459    +    1.5e-237  789.3  17.5  -
Enterobacteriaceae_Raoultella                    -          LKAP.g-Gut1_B06_046.seq -               22     894       5     900       2     901    1452    +    1.9e-237  789.1  17.7  -
Enterobacteriaceae_Shigella                      -          LKAP.g-Gut1_B06_046.seq -               32     906       5     900       2     901    1488    +    2.7e-237  788.5  17.6  -
Gammaproteobacteria_Gallaecimonas                -          LKAP.g-Gut1_B06_046.seq -               44     918       5     900       2     901    1506    +    1.8e-236  785.7  17.5  -
Chromatiaceae_Rheinheimera                       -          LKAP.g-Gut1_B06_046.seq -               30     887       4     900       2     901    1472    +      2e-236  785.6  17.6  -
Psychromonadaceae_Psychromonas                   -          LKAP.g-Gut1_B06_046.seq -               24     898       5     900       2     901    1467    +    2.8e-236  785.1  17.9  -
Aeromonadaceae_Oceanisphaera                     -          LKAP.g-Gut1_B06_046.seq -               24     897       5     900       2     901    1464    +      6e-236  783.8  17.7  -
Aeromonadaceae_Zobellella                        -          LKAP.g-Gut1_B06_046.seq -               31     905       5     900       2     901    1478    +    7.4e-236  783.5  17.5  -
Moritellaceae_Paramoritella                      -          LKAP.g-Gut1_B06_046.seq -               24     896       5     900       2     901    1512    +      1e-235  783.0  18.1  -
Enterobacteriaceae_Shimwellia                    -          LKAP.g-Gut1_B06_046.seq -                2     876       5     900       4     901    1422    +      3e-235  781.8  17.7  -
Aeromonadaceae_Oceanimonas                       -          LKAP.g-Gut1_B06_046.seq -               21     897       5     900       2     901    1483    +    9.6e-235  779.8  17.6  -
Pectobacteriaceae_Sodalis                        -          LKAP.g-Gut1_B06_046.seq -               20     894       5     900       2     901    1511    +    2.7e-234  778.4  17.9  -
Gammaproteobacteria_Alkalimonas                  -          LKAP.g-Gut1_B06_046.seq -               42     914       5     900       2     901    1502    +      3e-234  778.3  17.7  -
Pseudoalteromonadaceae_Algicola                  -          LKAP.g-Gut1_B06_046.seq -               39     911       5     900       2     901    1490    +      3e-234  778.2  16.7  -
Alteromonadaceae_Catenovulum                     -          LKAP.g-Gut1_B06_046.seq -               24     890       5     900       2     901    1451    +    5.7e-234  777.3  17.0  -
Yersiniaceae_Rahnella                            -          LKAP.g-Gut1_B06_046.seq -                1     819      69     900      69     901    1345    +    2.9e-233  775.1  16.4  -
Colwelliaceae_Colwellia                          -          LKAP.g-Gut1_B06_046.seq -               24     898       5     900       2     901    1485    +    3.3e-233  774.9  17.7  -
Enterobacteriaceae_Cedecea                       -          LKAP.g-Gut1_B06_046.seq -                1     820      68     900      68     901    1403    +      1e-232  773.4  16.3  -
Morganellaceae_Providencia                       -          LKAP.g-Gut1_B06_046.seq -               32     904       5     900       2     901    1489    +    1.2e-232  773.0  18.2  -
Morganellaceae_Photorhabdus                      -          LKAP.g-Gut1_B06_046.seq -               26     902       5     900       2     901    1478    +    2.7e-232  772.2  17.9  -
Pseudomonadaceae_Pseudomonas                     -          LKAP.g-Gut1_B06_046.seq -               31     902       5     900       2     901    1502    +    2.8e-232  771.8  17.3  -
Morganellaceae_Morganella                        -          LKAP.g-Gut1_B06_046.seq -               17     845      59     900      52     901    1356    +    1.1e-231  770.1  17.3  -
Budviciaceae_Budvicia                            -          LKAP.g-Gut1_B06_046.seq -               45     919       5     900       2     901    1536    +    1.5e-231  769.3  17.8  -
Aeromonadaceae_Pseudaeromonas                    -          LKAP.g-Gut1_B06_046.seq -               49     881      55     900      31     901    1491    +    3.3e-231  768.1  17.0  -
Alteromonadaceae_Alishewanella                   -          LKAP.g-Gut1_B06_046.seq -               31     889       3     900       1     901    1426    +    3.7e-231  768.1  17.2  -
Colwelliaceae_Thalassomonas                      -          LKAP.g-Gut1_B06_046.seq -               24     896       5     900       2     901    1462    +    3.9e-231  768.0  17.4  -
Hafniaceae_Edwardsiella                          -          LKAP.g-Gut1_B06_046.seq -               69     900      56     900      33     901    1466    +    7.7e-231  767.0  17.4  -
Idiomarinaceae_Aliidiomarina                     -          LKAP.g-Gut1_B06_046.seq -                3     872       9     900       7     901    1410    +      1e-230  766.4  17.6  -
Alteromonadaceae_Marinobacterium                 -          LKAP.g-Gut1_B06_046.seq -               24     898       5     900       2     901    1465    +    1.6e-230  766.0  17.4  -
Morganellaceae_Proteus                           -          LKAP.g-Gut1_B06_046.seq -               34     908       5     900       2     901    1494    +    6.3e-230  764.0  17.9  -
Aeromonadaceae_Tolumonas                         -          LKAP.g-Gut1_B06_046.seq -               76     909      55     900      31     901    1514    +    1.1e-228  760.0  17.4  -
Thorselliaceae_Thorsellia                        -          LKAP.g-Gut1_B06_046.seq -                3     875       3     900       1     901    1421    +    8.4e-228  756.9  18.2  -
Alteromonadaceae_Paraglaciecola                  -          LKAP.g-Gut1_B06_046.seq -               34     900       5     900       2     901    1495    +    1.3e-227  756.1  17.4  -
Alteromonadaceae_Glaciecola                      -          LKAP.g-Gut1_B06_046.seq -               44     910       5     900       2     901    1474    +    2.7e-226  751.9  17.1  -
Pectobacteriaceae_Lonsdalea                      -          LKAP.g-Gut1_B06_046.seq -                1     819      69     900      69     901    1345    +    3.7e-226  751.6  16.5  -
Idiomarinaceae_Pseudidiomarina                   -          LKAP.g-Gut1_B06_046.seq -               24     899       5     900       2     901    1499    +    1.3e-225  749.5  17.1  -
Alteromonadaceae_Aliagarivorans                  -          LKAP.g-Gut1_B06_046.seq -               17     904       5     900       2     901    1462    +    2.4e-225  749.0  17.9  -
Celerinatantimonadaceae_Celerinatantimonas       -          LKAP.g-Gut1_B06_046.seq -               19     905       5     900       2     901    1433    +    8.8e-225  747.0  17.4  -
Pseudoalteromonadaceae_Psychrosphaera            -          LKAP.g-Gut1_B06_046.seq -               28     893       5     900       2     901    1450    +    2.8e-224  745.3  17.1  -
Alteromonadaceae_Bowmanella                      -          LKAP.g-Gut1_B06_046.seq -               42     910       5     900       2     901    1496    +    3.6e-224  744.9  17.1  -
Moritellaceae_Moritella                          -          LKAP.g-Gut1_B06_046.seq -               44     920       5     900       2     901    1506    +    4.6e-224  744.5  17.4  -
Alteromonadaceae_Aliiglaciecola                  -          LKAP.g-Gut1_B06_046.seq -                9     878       4     900       2     901    1440    +    8.9e-224  743.5  16.8  -
Pasteurellaceae_Pasteurella                      -          LKAP.g-Gut1_B06_046.seq -               24     899       5     900       2     901    1365    +    3.8e-223  741.7  17.5  -
Oceanospirillaceae_Marinomonas                   -          LKAP.g-Gut1_B06_046.seq -               24     898       5     900       2     901    1467    +      1e-222  739.9  17.5  -
Microbulbiferaceae_Microbulbifer                 -          LKAP.g-Gut1_B06_046.seq -               24     891       5     900       2     901    1480    +    2.1e-222  739.2  18.0  -
Alcanivoracaceae_Alcanivorax                     -          LKAP.g-Gut1_B06_046.seq -               44     917       5     900       2     901    1505    +    2.6e-222  738.6  17.6  -
Pasteurellaceae_Actinobacillus                   -          LKAP.g-Gut1_B06_046.seq -               24     898       5     900       2     901    1364    +    3.2e-222  738.7  17.5  -
Alteromonadaceae_Aestuariibacter                 -          LKAP.g-Gut1_B06_046.seq -               24     890       5     900       2     901    1455    +    5.9e-222  737.6  16.7  -
Orbaceae_Orbus                                   -          LKAP.g-Gut1_B06_046.seq -               37     907       5     900       2     901    1522    +    3.8e-221  734.8  18.0  -
Halieaceae_Halioglobus                           -          LKAP.g-Gut1_B06_046.seq -               25     890       5     900       2     901    1433    +    8.2e-221  733.9  17.6  -
Pasteurellaceae_Haemophilus                      -          LKAP.g-Gut1_B06_046.seq -               24     896       5     900       2     901    1450    +    1.8e-220  732.6  17.5  -
Cellvibrionaceae_Cellvibrio                      -          LKAP.g-Gut1_B06_046.seq -               44     911       5     900       2     901    1505    +    2.1e-220  732.5  17.4  -
Pasteurellaceae_Mannheimia                       -          LKAP.g-Gut1_B06_046.seq -               44     916       5     900       2     901    1504    +    3.6e-220  731.7  17.3  -
Oceanospirillaceae_Thalassolituus                -          LKAP.g-Gut1_B06_046.seq -               31     903       5     900       2     901    1476    +    3.8e-220  731.5  17.2  -
Thermoleophilaceae_Thermoleophilum               -          LKAP.g-Gut1_B06_046.seq -               17     899       5     900       3     901    1494    +    4.7e-220  731.2  17.6  -
Alteromonadaceae_Alteromonas                     -          LKAP.g-Gut1_B06_046.seq -               24     890       5     900       2     901    1464    +    3.1e-219  728.4  17.0  -
Hahellaceae_Hahella                              -          LKAP.g-Gut1_B06_046.seq -               51     922       5     900       2     901    1539    +    3.5e-219  728.5  17.8  -
Alteromonadaceae_Salinimonas                     -          LKAP.g-Gut1_B06_046.seq -               24     894       5     900       2     901    1459    +    7.6e-219  727.4  17.0  -
Cellvibrionaceae_Gilvimarinus                    -          LKAP.g-Gut1_B06_046.seq -               19     887       4     900       2     901    1445    +    1.5e-218  726.2  17.5  -
Oceanospirillaceae_Oceanospirillum               -          LKAP.g-Gut1_B06_046.seq -               24     897       5     900       2     901    1462    +    9.3e-218  723.8  17.4  -
Alteromonadaceae_Marinobacter                    -          LKAP.g-Gut1_B06_046.seq -               24     896       5     900       2     901    1478    +    2.4e-217  722.3  17.5  -
Pseudomonadaceae_Azotobacter                     -          LKAP.g-Gut1_B06_046.seq -               31     899       5     900       2     901    1473    +    4.3e-217  721.6  17.5  -
Methylococcaceae_Methylococcus                   -          LKAP.g-Gut1_B06_046.seq -               36     903       5     900       2     901    1482    +    9.8e-217  720.3  17.7  -
Pseudomonadaceae_Azomonas                        -          LKAP.g-Gut1_B06_046.seq -                7     880       5     900       2     901    1453    +    1.6e-216  719.6  17.0  -
Oceanospirillaceae_Neptuniibacter                -          LKAP.g-Gut1_B06_046.seq -               95     923      59     900      38     901    1541    +    1.2e-215  716.4  17.1  -
Halomonadaceae_Halomonas                         -          LKAP.g-Gut1_B06_046.seq -               23     897       4     900       2     901    1463    +    1.5e-215  716.3  17.7  -
Pasteurellaceae_Ursidibacter                     -          LKAP.g-Gut1_B06_046.seq -               69     945       5     900       2     901    1409    +    1.6e-215  716.4  17.4  -
Oceanospirillaceae_Amphritea                     -          LKAP.g-Gut1_B06_046.seq -               24     896       5     900       2     901    1463    +    3.1e-215  715.3  17.3  -
Oceanospirillaceae_Neptunomonas                  -          LKAP.g-Gut1_B06_046.seq -               24     898       5     900       2     901    1484    +    4.6e-215  714.7  17.3  -
Pasteurellaceae_Gallibacterium                   -          LKAP.g-Gut1_B06_046.seq -               24     899       5     900       2     901    1464    +      6e-215  714.5  17.6  -
Oceanospirillaceae_Marinospirillum               -          LKAP.g-Gut1_B06_046.seq -               24     890       5     900       2     901    1451    +    7.4e-214  710.8  17.1  -
Halieaceae_Parahaliea                            -          LKAP.g-Gut1_B06_046.seq -               24     891       5     900       2     901    1498    +    8.1e-214  710.6  17.6  -
Cellvibrionaceae_Simiduia                        -          LKAP.g-Gut1_B06_046.seq -               24     896       5     900       2     901    1463    +    8.5e-213  707.2  17.1  -
Oceanospirillaceae_Oleispira                     -          LKAP.g-Gut1_B06_046.seq -               44     916       5     900       2     901    1500    +    1.6e-212  706.3  17.6  -
Piscirickettsiaceae_Methylophaga                 -          LKAP.g-Gut1_B06_046.seq -               23     892       5     900       3     901    1487    +    2.9e-212  705.3  16.7  -
Cellvibrionaceae_Pseudomaricurvus                -          LKAP.g-Gut1_B06_046.seq -               24     889       5     900       3     901    1490    +    4.7e-212  704.7  17.0  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP.g-Gut1_B06_046.seq -               24     896       5     900       2     901    1461    +    7.1e-212  704.2  18.2  -
Pasteurellaceae_Avibacterium                     -          LKAP.g-Gut1_B06_046.seq -               49     923       5     900       2     901    1480    +    9.5e-212  703.9  17.5  -
Halieaceae_Haliea                                -          LKAP.g-Gut1_B06_046.seq -               44     912       5     900       2     901    1500    +    1.9e-211  702.8  17.5  -
Vibrionaceae_Paraphotobacterium                  -          LKAP.g-Gut1_B06_046.seq -               49     921       5     898       2     901    1539    +    3.5e-211  701.5  17.8  -
Lysobacteraceae_Lysobacter                       -          LKAP.g-Gut1_B06_046.seq -               26     902       5     900       2     901    1475    +      5e-211  701.4  17.7  -
Chromobacteriaceae_Aquaspirillum                 -          LKAP.g-Gut1_B06_046.seq -               43     911       4     900       2     901    1488    +    7.5e-211  700.9  17.5  -
Saccharospirillaceae_Saccharospirillum           -          LKAP.g-Gut1_B06_046.seq -               26     891       6     900       2     901    1459    +    2.7e-210  699.0  17.3  -
Methylococcaceae_Methylomonas                    -          LKAP.g-Gut1_B06_046.seq -               43     908       5     900       2     901    1475    +    3.7e-210  698.5  17.6  -
Thiotrichaceae_Leucothrix                        -          LKAP.g-Gut1_B06_046.seq -               17     878       4     887       2     900    1445    +    4.8e-210  697.9  17.9  -
Halomonadaceae_Chromohalobacter                  -          LKAP.g-Gut1_B06_046.seq -               24     896       5     900       2     901    1480    +    4.8e-210  698.2  17.6  -
Halomonadaceae_Salinicola                        -          LKAP.g-Gut1_B06_046.seq -               24     896       5     900       2     901    1471    +    5.5e-210  697.9  17.9  -
Moraxellaceae_Moraxella                          -          LKAP.g-Gut1_B06_046.seq -               16     880       5     900       2     901    1446    +    2.3e-209  695.9  16.8  -
Methylococcaceae_Methylobacter                   -          LKAP.g-Gut1_B06_046.seq -               44     910       5     900       2     901    1500    +    2.4e-209  695.6  17.4  -
Oceanospirillaceae_Reinekea                      -          LKAP.g-Gut1_B06_046.seq -               34     900       5     900       2     901    1512    +    3.7e-209  695.1  17.6  -
Gammaproteobacteria_Thiohalomonas                -          LKAP.g-Gut1_B06_046.seq -               17     892       5     899       2     901    1483    +    3.8e-209  694.9  17.9  -
Moraxellaceae_Alkanindiges                       -          LKAP.g-Gut1_B06_046.seq -               11     880       5     900       2     901    1396    +    8.1e-209  694.2  17.0  -
Lysobacteraceae_Luteimonas                       -          LKAP.g-Gut1_B06_046.seq -               29     904       5     900       2     901    1490    +    2.6e-208  692.3  17.7  -
Oceanospirillaceae_Nitrincola                    -          LKAP.g-Gut1_B06_046.seq -               76     902      61     900      39     901    1477    +    2.6e-208  692.3  17.1  -
Methylococcaceae_Methylomicrobium                -          LKAP.g-Gut1_B06_046.seq -               44     910       5     900       2     901    1467    +    3.6e-208  691.8  17.6  -
Legionellaceae_Legionella                        -          LKAP.g-Gut1_B06_046.seq -               20     896       5     900       2     901    1446    +    5.1e-208  691.5  17.6  -
Halomonadaceae_Cobetia                           -          LKAP.g-Gut1_B06_046.seq -               36     908       5     900       2     901    1516    +    7.9e-208  690.7  17.8  -
Spongiibacteraceae_Sinobacterium                 -          LKAP.g-Gut1_B06_046.seq -               44     918       5     900       2     901    1504    +    1.1e-207  690.2  17.6  -
Lysobacteraceae_Arenimonas                       -          LKAP.g-Gut1_B06_046.seq -               28     903       5     900       2     901    1490    +    1.2e-207  690.3  18.0  -
Cellvibrionaceae_Eionea                          -          LKAP.g-Gut1_B06_046.seq -               26     894       5     900       2     901    1469    +    5.4e-207  688.0  16.8  -
Moraxellaceae_Acinetobacter                      -          LKAP.g-Gut1_B06_046.seq -               20     890       5     900       2     901    1463    +    1.3e-206  686.9  17.3  -
Methylococcaceae_Methylocaldum                   -          LKAP.g-Gut1_B06_046.seq -               44     917       5     900       2     901    1491    +    1.6e-206  686.6  17.9  -
Halomonadaceae_Kushneria                         -          LKAP.g-Gut1_B06_046.seq -               28     900       5     900       2     901    1461    +    2.6e-206  685.6  17.6  -
Chromatiaceae_Thiohalocapsa                      -          LKAP.g-Gut1_B06_046.seq -               34     898       5     900       3     901    1436    +    5.2e-206  685.0  17.1  -
Cardiobacteriaceae_Cardiobacterium               -          LKAP.g-Gut1_B06_046.seq -               10     878       5     900       2     901    1493    +      1e-205  683.8  18.4  -
Lysobacteraceae_Vulcaniibacterium                -          LKAP.g-Gut1_B06_046.seq -               51     926       5     900       2     901    1549    +    1.4e-205  683.3  18.4  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          LKAP.g-Gut1_B06_046.seq -               41     908       5     900       2     901    1490    +    1.5e-205  683.3  18.4  -
Chromatiaceae_Halochromatium                     -          LKAP.g-Gut1_B06_046.seq -               24     886       5     900       2     901    1451    +    2.1e-205  683.0  17.1  -
Cellvibrionaceae_Umboniibacter                   -          LKAP.g-Gut1_B06_046.seq -               36     901       5     900       2     901    1507    +    3.6e-205  682.1  17.1  -
Lysobacteraceae_Silanimonas                      -          LKAP.g-Gut1_B06_046.seq -               79     913      55     900      32     901    1493    +    2.2e-204  679.4  17.6  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          LKAP.g-Gut1_B06_046.seq -               15     886       5     900       2     901    1438    +    2.4e-204  679.1  18.0  -
Cardiobacteriaceae_Suttonella                    -          LKAP.g-Gut1_B06_046.seq -               25     897       5     900       2     901    1486    +    2.6e-204  679.4  17.3  -
Spongiibacteraceae_Spongiibacter                 -          LKAP.g-Gut1_B06_046.seq -               27     893       5     900       2     901    1441    +    3.6e-204  678.5  17.3  -
Hahellaceae_Allohahella                          -          LKAP.g-Gut1_B06_046.seq -               44     910       5     900       2     901    1485    +    4.3e-204  678.6  17.7  -
Pasteurellaceae_Aggregatibacter                  -          LKAP.g-Gut1_B06_046.seq -               49     921       5     900       2     901    1480    +    5.3e-204  678.1  17.5  -
Piscirickettsiaceae_Thiomicrospira               -          LKAP.g-Gut1_B06_046.seq -               28     901       5     900       2     901    1466    +    8.9e-204  677.3  17.0  -
Chromatiaceae_Thiorhodococcus                    -          LKAP.g-Gut1_B06_046.seq -                5     860       8     900       4     901    1426    +    1.3e-202  673.6  17.5  -
Moraxellaceae_Psychrobacter                      -          LKAP.g-Gut1_B06_046.seq -               24     894       5     900       2     901    1491    +    2.5e-202  672.6  17.3  -
Methylococcaceae_Methylovulum                    -          LKAP.g-Gut1_B06_046.seq -               43     906       5     900       2     901    1492    +    4.3e-202  671.7  17.2  -
Rhodanobacteraceae_Dokdonella                    -          LKAP.g-Gut1_B06_046.seq -               24     893       5     900       2     901    1480    +    1.1e-201  670.4  18.4  -
Gammaproteobacteria_Sedimenticola                -          LKAP.g-Gut1_B06_046.seq -               39     917       6     900       2     901    1540    +    1.4e-201  670.0  17.9  -
Methylococcaceae_Methylosarcina                  -          LKAP.g-Gut1_B06_046.seq -               38     904       5     900       2     901    1515    +    1.7e-201  669.7  17.3  -
Lysobacteraceae_Thermomonas                      -          LKAP.g-Gut1_B06_046.seq -               67     899      56     900      36     901    1488    +    1.7e-201  669.9  17.5  -
Halothiobacillaceae_Halothiobacillus             -          LKAP.g-Gut1_B06_046.seq -               44     919       5     900       2     901    1505    +    2.3e-201  669.4  17.9  -
Pasteurellaceae_Bisgaardia                       -          LKAP.g-Gut1_B06_046.seq -               32     913       5     900       2     901    1389    +    2.9e-201  669.2  17.3  -
Halomonadaceae_Larsenimonas                      -          LKAP.g-Gut1_B06_046.seq -               45     917       5     900       2     901    1495    +    5.1e-201  668.2  17.8  -
Kangiellaceae_Kangiella                          -          LKAP.g-Gut1_B06_046.seq -               32     909       5     900       2     901    1478    +    8.6e-201  667.4  17.0  -
Piscirickettsiaceae_Hydrogenovibrio              -          LKAP.g-Gut1_B06_046.seq -               24     913       5     900       2     901    1465    +      9e-201  667.3  17.4  -
Pasteurellaceae_Volucribacter                    -          LKAP.g-Gut1_B06_046.seq -               41     868      59     900      39     901    1434    +    1.1e-200  667.3  16.9  -
Ectothiorhodospiraceae_Thiohalospira             -          LKAP.g-Gut1_B06_046.seq -               27     858      56     899      40     901    1318    +    1.3e-200  667.0  17.3  -
Succinivibrionaceae_Anaerobiospirillum           -          LKAP.g-Gut1_B06_046.seq -               36     878       7     900       3     901    1494    +    1.4e-200  666.7  16.6  -
Gammaproteobacteria_Plasticicumulans             -          LKAP.g-Gut1_B06_046.seq -               33     899       5     900       2     901    1491    +    1.5e-200  666.7  18.1  -
Burkholderiaceae_Burkholderia                    -          LKAP.g-Gut1_B06_046.seq -               30     900       4     900       2     901    1502    +      3e-200  665.7  17.7  -
Hahellaceae_Endozoicomonas                       -          LKAP.g-Gut1_B06_046.seq -               44     919       5     900       2     901    1524    +    3.1e-200  665.6  17.3  -
Thermithiobacillaceae_Thermithiobacillus         -          LKAP.g-Gut1_B06_046.seq -                9     877       5     900       2     901    1419    +    4.4e-200  665.2  17.5  -
Pasteurellaceae_Rodentibacter                    -          LKAP.g-Gut1_B06_046.seq -               50     917       5     900       2     901    1478    +    9.2e-200  664.1  17.5  -
Thioalkalispiraceae_Thioprofundum                -          LKAP.g-Gut1_B06_046.seq -               40     920       5     900       2     901    1537    +    1.1e-199  663.9  17.5  -
Lysobacteraceae_Pseudoxanthomonas                -          LKAP.g-Gut1_B06_046.seq -               27     904       5     900       2     901    1484    +    1.1e-199  663.7  17.6  -
Rhodocyclaceae_Azoarcus                          -          LKAP.g-Gut1_B06_046.seq -               23     893       4     900       2     901    1471    +    2.3e-199  662.7  17.6  -
Piscirickettsiaceae_Thiomicrorhabdus             -          LKAP.g-Gut1_B06_046.seq -               31     910       5     900       2     901    1464    +    3.5e-199  662.0  16.6  -
Chromatiaceae_Marichromatium                     -          LKAP.g-Gut1_B06_046.seq -               34     894       5     900       2     901    1440    +    7.9e-199  661.3  17.3  -
