# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_A11_095_2018_2 -               12     919       7     912       2     912    1491    +           0 1158.4  21.1  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_A11_095_2018_2 -                6     905       9     912       4     912    1446    +           0 1032.0  21.1  -
Legionellaceae_Legionella                        -          LKAP-TSAKG2_A11_095_2018_2 -               13     921      12     912       3     912    1446    +    6.1e-256  850.4  20.8  -
Halieaceae_Parahaliea                            -          LKAP-TSAKG2_A11_095_2018_2 -               15     916      10     912       3     912    1498    +    8.9e-256  849.7  21.1  -
Colwelliaceae_Thalassotalea                      -          LKAP-TSAKG2_A11_095_2018_2 -               13     921       8     912       3     912    1463    +    5.4e-255  847.2  21.1  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_A11_095_2018_2 -               20     924      20     912       5     912    1494    +    5.5e-255  847.0  20.6  -
Thiotrichaceae_Thiothrix                         -          LKAP-TSAKG2_A11_095_2018_2 -               17     875      12     912       3     912    1417    +    6.4e-255  846.8  21.5  -
Oceanospirillaceae_Oleispira                     -          LKAP-TSAKG2_A11_095_2018_2 -               32     941       7     912       2     912    1500    +    8.5e-255  846.4  21.1  -
Thioalkalispiraceae_Thioprofundum                -          LKAP-TSAKG2_A11_095_2018_2 -               43     945      20     912       5     912    1537    +    1.1e-254  846.3  20.4  -
Alteromonadaceae_Catenovulum                     -          LKAP-TSAKG2_A11_095_2018_2 -               17     915      12     912       2     912    1451    +    2.4e-254  844.8  21.2  -
Chromatiaceae_Thiorhodococcus                    -          LKAP-TSAKG2_A11_095_2018_2 -               39     885      63     912      41     912    1426    +    3.5e-254  844.5  20.3  -
Gammaproteobacteria_Alkalimonas                  -          LKAP-TSAKG2_A11_095_2018_2 -               36     939      13     912       4     912    1502    +    3.6e-254  844.4  20.7  -
Hahellaceae_Kistimonas                           -          LKAP-TSAKG2_A11_095_2018_2 -               35     942      10     912       3     912    1506    +    5.5e-254  843.8  20.9  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-TSAKG2_A11_095_2018_2 -               17     933      12     912       3     912    1475    +    7.8e-254  843.0  20.9  -
Hahellaceae_Allohahella                          -          LKAP-TSAKG2_A11_095_2018_2 -               32     935       7     912       2     912    1485    +    7.9e-254  843.4  21.3  -
Chromatiaceae_Thiohalocapsa                      -          LKAP-TSAKG2_A11_095_2018_2 -               37     923      20     912       5     912    1436    +    4.1e-253  841.1  20.5  -
Halieaceae_Halioglobus                           -          LKAP-TSAKG2_A11_095_2018_2 -               17     915      11     912       3     912    1433    +    5.5e-253  840.5  20.8  -
Hahellaceae_Zooshikella                          -          LKAP-TSAKG2_A11_095_2018_2 -               14     920       9     912       2     912    1483    +    1.8e-252  838.8  21.1  -
Alteromonadaceae_Agarivorans                     -          LKAP-TSAKG2_A11_095_2018_2 -               22     930      10     912       3     912    1454    +      2e-252  838.7  21.1  -
Colwelliaceae_Colwellia                          -          LKAP-TSAKG2_A11_095_2018_2 -               13     923       8     912       3     912    1485    +    2.5e-252  838.3  21.1  -
Ectothiorhodospiraceae_Alkalilimnicola           -          LKAP-TSAKG2_A11_095_2018_2 -               41     933      20     912       5     912    1472    +    2.6e-252  838.4  20.7  -
Cellvibrionaceae_Marinimicrobium                 -          LKAP-TSAKG2_A11_095_2018_2 -               15     915      10     912       3     912    1455    +    3.6e-252  837.7  21.0  -
Chromatiaceae_Halochromatium                     -          LKAP-TSAKG2_A11_095_2018_2 -               27     911      20     912       5     912    1451    +    4.5e-252  837.7  20.5  -
Methylococcaceae_Methylocaldum                   -          LKAP-TSAKG2_A11_095_2018_2 -               38     942      13     912       4     912    1491    +    1.6e-251  835.8  20.8  -
Cardiobacteriaceae_Suttonella                    -          LKAP-TSAKG2_A11_095_2018_2 -               19     922      13     912       4     912    1486    +    1.6e-251  835.9  20.8  -
Oceanospirillales_Salicola                       -          LKAP-TSAKG2_A11_095_2018_2 -               35     932      10     912       3     912    1492    +    1.7e-251  835.5  21.3  -
Cellvibrionaceae_Eionea                          -          LKAP-TSAKG2_A11_095_2018_2 -               17     919      10     912       2     912    1469    +    2.3e-251  835.1  20.4  -
Piscirickettsiaceae_Methylophaga                 -          LKAP-TSAKG2_A11_095_2018_2 -               26     917      20     912       4     912    1487    +    3.2e-251  834.5  20.7  -
Methylococcaceae_Methylovulum                    -          LKAP-TSAKG2_A11_095_2018_2 -               36     931      12     912       4     912    1492    +    3.7e-251  834.4  20.9  -
Spongiibacteraceae_Zhongshania                   -          LKAP-TSAKG2_A11_095_2018_2 -               35     937      10     912       3     912    1501    +    4.1e-251  834.1  21.1  -
Cellvibrionaceae_Gilvimarinus                    -          LKAP-TSAKG2_A11_095_2018_2 -               12     912      11     912       3     912    1445    +    4.3e-251  834.1  20.9  -
Cellvibrionaceae_Umboniibacter                   -          LKAP-TSAKG2_A11_095_2018_2 -               27     926      10     912       3     912    1507    +    6.1e-251  833.9  20.9  -
Pseudoalteromonadaceae_Algicola                  -          LKAP-TSAKG2_A11_095_2018_2 -               31     936      11     912       3     912    1490    +    1.1e-250  832.7  20.9  -
Chromatiaceae_Thiophaeococcus                    -          LKAP-TSAKG2_A11_095_2018_2 -               14     901      17     912       5     912    1440    +    1.3e-250  832.8  20.5  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-TSAKG2_A11_095_2018_2 -               17     917      12     912       3     912    1461    +    2.7e-250  831.4  20.7  -
Chromatiaceae_Thiodictyon                        -          LKAP-TSAKG2_A11_095_2018_2 -               29     913      20     912       5     912    1500    +    1.1e-249  829.8  21.0  -
Moraxellaceae_Paraperlucidibaca                  -          LKAP-TSAKG2_A11_095_2018_2 -               13     917       8     912       3     912    1460    +    1.9e-248  825.4  20.8  -
Ectothiorhodospiraceae_Spiribacter               -          LKAP-TSAKG2_A11_095_2018_2 -               57     948      20     912       5     912    1544    +    4.6e-248  824.3  20.7  -
Ectothiorhodospiraceae_Aquisalimonas             -          LKAP-TSAKG2_A11_095_2018_2 -               48     940      20     912       5     912    1464    +    1.5e-247  822.6  21.0  -
Chromatiaceae_Thiocystis                         -          LKAP-TSAKG2_A11_095_2018_2 -               27     909      20     912       5     912    1451    +    1.5e-247  822.6  20.5  -
Pseudoalteromonadaceae_Psychrosphaera            -          LKAP-TSAKG2_A11_095_2018_2 -               18     918       9     912       2     912    1450    +    1.7e-247  822.3  21.3  -
Arenicellaceae_Arenicella                        -          LKAP-TSAKG2_A11_095_2018_2 -               25     925      12     912       4     912    1506    +    2.7e-247  821.9  20.7  -
Alteromonadaceae_Paraglaciecola                  -          LKAP-TSAKG2_A11_095_2018_2 -               25     925      10     912       3     912    1495    +    3.3e-247  821.0  21.3  -
Chromatiaceae_Marichromatium                     -          LKAP-TSAKG2_A11_095_2018_2 -               37     919      20     912       5     912    1440    +    4.1e-247  821.3  21.0  -
Chromatiaceae_Imhoffiella                        -          LKAP-TSAKG2_A11_095_2018_2 -               29     918      15     912       4     912    1484    +    4.3e-247  821.1  20.7  -
Salinisphaeraceae_Salinisphaera                  -          LKAP-TSAKG2_A11_095_2018_2 -               15     908      20     912       8     912    1429    +    9.9e-247  819.8  20.5  -
Vibrionaceae_Vibrio                              -          LKAP-TSAKG2_A11_095_2018_2 -               15     933      10     912       3     912    1466    +    1.4e-246  819.1  20.9  -
Chromatiaceae_Thiocapsa                          -          LKAP-TSAKG2_A11_095_2018_2 -               43     925      20     912       5     912    1459    +    1.5e-246  819.5  20.8  -
Piscirickettsiaceae_Thiomicrospira               -          LKAP-TSAKG2_A11_095_2018_2 -               17     926       8     912       3     912    1466    +      2e-246  818.7  21.0  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          LKAP-TSAKG2_A11_095_2018_2 -               37     933      15     912       3     912    1490    +    2.3e-246  818.6  21.0  -
Chromatiaceae_Allochromatium                     -          LKAP-TSAKG2_A11_095_2018_2 -               17     920      12     912       3     912    1462    +    2.3e-246  818.6  20.9  -
Aeromonadaceae_Zobellella                        -          LKAP-TSAKG2_A11_095_2018_2 -               22     930      10     912       3     912    1478    +      4e-246  817.5  20.9  -
Alteromonadaceae_Bowmanella                      -          LKAP-TSAKG2_A11_095_2018_2 -               33     935      10     912       3     912    1496    +    4.4e-246  817.6  21.2  -
Moritellaceae_Moritella                          -          LKAP-TSAKG2_A11_095_2018_2 -               33     945       8     912       3     912    1506    +    5.7e-246  817.1  21.1  -
Chromatiaceae_Lamprocystis                       -          LKAP-TSAKG2_A11_095_2018_2 -               52     936      20     912       5     912    1406    +    7.6e-246  817.0  20.6  -
Lysobacteraceae_Luteimonas                       -          LKAP-TSAKG2_A11_095_2018_2 -               21     929      11     912       3     912    1490    +    1.6e-245  815.7  20.9  -
Halothiobacillaceae_Halothiobacillus             -          LKAP-TSAKG2_A11_095_2018_2 -               38     944      13     912       4     912    1505    +    2.5e-245  815.1  20.7  -
Litoricolaceae_Litoricola                        -          LKAP-TSAKG2_A11_095_2018_2 -               28     934      12     912       4     912    1483    +      5e-245  814.3  20.8  -
Cellvibrionaceae_Pseudomaricurvus                -          LKAP-TSAKG2_A11_095_2018_2 -               15     914      10     912       2     912    1490    +    7.1e-245  813.4  20.3  -
Moritellaceae_Paramoritella                      -          LKAP-TSAKG2_A11_095_2018_2 -               13     921       8     912       2     912    1512    +    1.8e-244  812.1  21.0  -
Vibrionaceae_Photobacterium                      -          LKAP-TSAKG2_A11_095_2018_2 -               17     933      12     912       3     912    1487    +    1.9e-244  812.1  20.8  -
Chromatiaceae_Rheinheimera                       -          LKAP-TSAKG2_A11_095_2018_2 -               24     912      12     912       3     912    1472    +    2.2e-244  812.0  20.9  -
Alteromonadaceae_Glaciecola                      -          LKAP-TSAKG2_A11_095_2018_2 -               35     935      10     912       3     912    1474    +    5.5e-244  810.5  21.4  -
Burkholderiaceae_Paraburkholderia                -          LKAP-TSAKG2_A11_095_2018_2 -               21     912      15     908       4     912    1472    +    1.7e-243  809.2  20.4  -
Cardiobacteriaceae_Cardiobacterium               -          LKAP-TSAKG2_A11_095_2018_2 -               13     903      20     912      11     912    1493    +    1.8e-243  808.9  20.5  -
Thiotrichaceae_Beggiatoa                         -          LKAP-TSAKG2_A11_095_2018_2 -               37     930      12     912       2     912    1491    +    2.9e-243  808.6  21.1  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-TSAKG2_A11_095_2018_2 -               14     922       9     912       3     912    1464    +    3.5e-243  807.8  21.1  -
Burkholderiaceae_Limnobacter                     -          LKAP-TSAKG2_A11_095_2018_2 -               41     932      15     908       5     912    1524    +    3.5e-243  808.1  20.6  -
Colwelliaceae_Thalassomonas                      -          LKAP-TSAKG2_A11_095_2018_2 -               13     921       8     912       3     912    1462    +    7.5e-243  806.9  21.0  -
Burkholderiaceae_Pandoraea                       -          LKAP-TSAKG2_A11_095_2018_2 -               21     914      15     908       5     912    1456    +    1.2e-242  806.4  20.1  -
Ectothiorhodospiraceae_Halorhodospira            -          LKAP-TSAKG2_A11_095_2018_2 -               47     945      20     912       5     912    1479    +    1.4e-242  806.3  20.5  -
Ectothiorhodospiraceae_Arhodomonas               -          LKAP-TSAKG2_A11_095_2018_2 -               31     922      20     912       5     912    1487    +    3.3e-242  805.0  20.9  -
Lysobacteraceae_Arenimonas                       -          LKAP-TSAKG2_A11_095_2018_2 -               18     928       9     912       3     912    1490    +    5.9e-242  804.0  21.1  -
Nevskiaceae_Steroidobacter                       -          LKAP-TSAKG2_A11_095_2018_2 -               33     926      20     912       6     912    1500    +    6.2e-242  804.0  20.7  -
Alteromonadaceae_Aliagarivorans                  -          LKAP-TSAKG2_A11_095_2018_2 -                7     929       9     912       4     912    1462    +    6.6e-242  803.9  21.2  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-TSAKG2_A11_095_2018_2 -               35     943      10     912       2     912    1506    +    9.9e-242  803.1  20.7  -
Lysobacteraceae_Lysobacter                       -          LKAP-TSAKG2_A11_095_2018_2 -               17     927      10     912       2     912    1475    +    1.1e-241  803.1  21.0  -
Burkholderiaceae_Burkholderia                    -          LKAP-TSAKG2_A11_095_2018_2 -               28     921      15     908       5     912    1502    +    5.7e-241  800.7  20.3  -
Methylophilaceae_Methylobacillus                 -          LKAP-TSAKG2_A11_095_2018_2 -                5     901      16     909      13     912    1416    +    6.2e-241  800.8  20.3  -
Piscirickettsiaceae_Hydrogenovibrio              -          LKAP-TSAKG2_A11_095_2018_2 -               14     938       9     912       3     912    1465    +    8.6e-241  800.0  21.0  -
Aeromonadaceae_Oceanimonas                       -          LKAP-TSAKG2_A11_095_2018_2 -               13     922      11     912       3     912    1483    +    2.6e-240  798.3  21.0  -
Idiomarinaceae_Pseudidiomarina                   -          LKAP-TSAKG2_A11_095_2018_2 -               15     924      10     912       3     912    1499    +    2.6e-240  798.3  20.9  -
Erwiniaceae_Erwinia                              -          LKAP-TSAKG2_A11_095_2018_2 -               15     923      10     912       3     912    1495    +    3.4e-240  798.2  20.9  -
Burkholderiaceae_Caballeronia                    -          LKAP-TSAKG2_A11_095_2018_2 -               30     921      15     908       5     912    1479    +    3.5e-240  798.2  19.9  -
Alteromonadaceae_Alishewanella                   -          LKAP-TSAKG2_A11_095_2018_2 -               25     914       9     912       2     912    1426    +      5e-240  797.5  21.0  -
Neisseriaceae_Neisseria                          -          LKAP-TSAKG2_A11_095_2018_2 -               38     933      18     908       4     912    1475    +    5.6e-240  797.5  20.6  -
Oxalobacteraceae_Undibacterium                   -          LKAP-TSAKG2_A11_095_2018_2 -               18     908      16     908       4     912    1442    +    5.9e-240  797.5  20.6  -
Nevskiaceae_Nevskia                              -          LKAP-TSAKG2_A11_095_2018_2 -               32     911      20     912       4     912    1451    +    1.5e-239  796.3  20.3  -
Alcaligenaceae_Advenella                         -          LKAP-TSAKG2_A11_095_2018_2 -                5     899      19     908      15     912    1428    +    1.9e-239  795.6  20.0  -
Aeromonadaceae_Aeromonas                         -          LKAP-TSAKG2_A11_095_2018_2 -               34     944      10     912       3     912    1503    +    1.9e-239  795.4  21.1  -
Celerinatantimonadaceae_Celerinatantimonas       -          LKAP-TSAKG2_A11_095_2018_2 -                9     930       9     912       3     912    1433    +    2.8e-239  795.1  21.1  -
Alcaligenaceae_Paenalcaligenes                   -          LKAP-TSAKG2_A11_095_2018_2 -               16     918      11     908       5     912    1432    +    2.8e-239  795.2  19.9  -
Chromobacteriaceae_Chromobacterium               -          LKAP-TSAKG2_A11_095_2018_2 -               38     930      15     908       3     912    1469    +    3.3e-239  794.9  21.2  -
Psychromonadaceae_Psychromonas                   -          LKAP-TSAKG2_A11_095_2018_2 -               13     923       8     912       3     912    1467    +    4.4e-239  794.4  21.0  -
Alteromonadaceae_Salinimonas                     -          LKAP-TSAKG2_A11_095_2018_2 -               15     919      10     912       3     912    1459    +      5e-239  794.3  20.9  -
Thiotrichales_Caedibacter                        -          LKAP-TSAKG2_A11_095_2018_2 -               37     902      12     912       4     912    1500    +      1e-238  792.9  21.7  -
Alcaligenaceae_Pusillimonas                      -          LKAP-TSAKG2_A11_095_2018_2 -                2     894      21     908      20     912    1446    +    2.1e-238  792.2  20.3  -
Burkholderiaceae_Ralstonia                       -          LKAP-TSAKG2_A11_095_2018_2 -               14     908      16     908       5     912    1446    +    2.9e-238  791.9  20.1  -
Alteromonadaceae_Aestuariibacter                 -          LKAP-TSAKG2_A11_095_2018_2 -               15     915      10     912       3     912    1455    +    5.5e-238  790.7  21.2  -
Alcaligenaceae_Pelistega                         -          LKAP-TSAKG2_A11_095_2018_2 -               28     926      15     908       4     912    1472    +    5.7e-238  790.9  20.5  -
Piscirickettsiaceae_Thiomicrorhabdus             -          LKAP-TSAKG2_A11_095_2018_2 -               19     935       7     912       2     912    1464    +    6.3e-238  790.4  21.0  -
Neisseriaceae_Vitreoscilla                       -          LKAP-TSAKG2_A11_095_2018_2 -               15     902      16     908       6     912    1457    +    7.6e-238  790.3  19.9  -
Pasteurellaceae_Pasteurella                      -          LKAP-TSAKG2_A11_095_2018_2 -               14     924       9     912       3     912    1365    +    7.9e-238  790.4  21.2  -
Lysobacteraceae_Silanimonas                      -          LKAP-TSAKG2_A11_095_2018_2 -               36     938      12     912       2     912    1493    +    1.1e-237  789.8  20.9  -
Enterobacteriaceae_Enterobacter                  -          LKAP-TSAKG2_A11_095_2018_2 -               13     919      10     912       3     912    1476    +    1.2e-237  789.7  20.8  -
Alcaligenaceae_Castellaniella                    -          LKAP-TSAKG2_A11_095_2018_2 -               10     914      12     908       4     912    1464    +      2e-237  789.0  20.7  -
Yersiniaceae_Serratia                            -          LKAP-TSAKG2_A11_095_2018_2 -               18     927       9     912       3     912    1491    +      2e-237  788.8  21.0  -
Vibrionaceae_Enterovibrio                        -          LKAP-TSAKG2_A11_095_2018_2 -               16     927      11     912       3     912    1499    +      4e-237  787.7  20.9  -
Kangiellaceae_Marinicella                        -          LKAP-TSAKG2_A11_095_2018_2 -               47     945      20     912       4     912    1529    +    6.2e-237  787.5  20.5  -
Enterobacteriaceae_Kosakonia                     -          LKAP-TSAKG2_A11_095_2018_2 -                7     901      20     912      15     912    1422    +    8.5e-237  786.5  19.8  -
Alteromonadaceae_Aliiglaciecola                  -          LKAP-TSAKG2_A11_095_2018_2 -                7     903      15     912      10     912    1440    +    9.1e-237  786.6  20.4  -
Enterobacteriaceae_Cronobacter                   -          LKAP-TSAKG2_A11_095_2018_2 -                5     900      21     912      18     912    1422    +    1.1e-236  786.5  20.2  -
Vibrionaceae_Aliivibrio                          -          LKAP-TSAKG2_A11_095_2018_2 -               39     947      10     912       3     912    1474    +    1.2e-236  786.6  20.9  -
Zoogloeaceae_Zoogloea                            -          LKAP-TSAKG2_A11_095_2018_2 -               30     921      17     908       5     912    1474    +    3.4e-236  784.8  21.3  -
Oxalobacteraceae_Oxalicibacterium                -          LKAP-TSAKG2_A11_095_2018_2 -               21     914      15     908       5     912    1489    +      6e-236  784.1  20.6  -
Pectobacteriaceae_Pectobacterium                 -          LKAP-TSAKG2_A11_095_2018_2 -               23     931      10     912       3     912    1499    +    6.6e-236  783.9  20.8  -
Lysobacteraceae_Thermomonas                      -          LKAP-TSAKG2_A11_095_2018_2 -               14     924       9     912       3     912    1488    +    6.8e-236  783.9  21.0  -
Francisellaceae_Allofrancisella                  -          LKAP-TSAKG2_A11_095_2018_2 -               17     916      12     912       3     912    1452    +    8.8e-236  783.5  21.0  -
Lysobacteraceae_Pseudoxanthomonas                -          LKAP-TSAKG2_A11_095_2018_2 -               20     929      12     912       3     912    1484    +    9.5e-236  783.3  20.8  -
Lysobacteraceae_Vulcaniibacterium                -          LKAP-TSAKG2_A11_095_2018_2 -               42     951      10     912       3     912    1549    +      2e-235  782.3  20.9  -
Oxalobacteraceae_Glaciimonas                     -          LKAP-TSAKG2_A11_095_2018_2 -               41     934      15     908       5     912    1525    +    2.3e-235  782.3  20.6  -
Enterobacteriaceae_Citrobacter                   -          LKAP-TSAKG2_A11_095_2018_2 -               30     938      10     912       3     912    1517    +    2.5e-235  781.9  20.8  -
Alcaligenaceae_Alcaligenes                       -          LKAP-TSAKG2_A11_095_2018_2 -               14     913      14     908       4     912    1469    +    2.9e-235  781.7  20.0  -
