# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_G08_052_2018_2 -               33     845      26     838      19     838    1491    +    2.2e-307 1020.7  16.6  -
Alteromonadaceae_Paraglaciecola                  -          LKAP-TSAKG2_G08_052_2018_2 -               42     850      25     837      18     838    1495    +    3.2e-211  701.6  16.8  -
Cellvibrionaceae_Gilvimarinus                    -          LKAP-TSAKG2_G08_052_2018_2 -               25     838      23     838      10     838    1445    +    3.3e-211  701.8  16.6  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          LKAP-TSAKG2_G08_052_2018_2 -               50     858      26     837      15     838    1490    +    3.4e-211  701.9  16.5  -
Arenicellaceae_Arenicella                        -          LKAP-TSAKG2_G08_052_2018_2 -               41     850      26     837      20     838    1506    +    4.3e-211  701.7  16.4  -
Vibrionaceae_Vibrio                              -          LKAP-TSAKG2_G08_052_2018_2 -               33     829      26     808      15     829    1466    +    1.1e-210  700.0  16.3  -
Chromatiaceae_Imhoffiella                        -          LKAP-TSAKG2_G08_052_2018_2 -               73     843      64     837      43     838    1484    +    3.8e-210  698.5  16.5  -
Chromatiaceae_Marichromatium                     -          LKAP-TSAKG2_G08_052_2018_2 -               74     844      64     837      43     838    1440    +    4.5e-210  698.4  16.6  -
Aeromonadaceae_Zobellella                        -          LKAP-TSAKG2_G08_052_2018_2 -               40     826      26     807      20     814    1478    +    4.6e-210  697.9  16.7  -
Chromatiaceae_Thiocystis                         -          LKAP-TSAKG2_G08_052_2018_2 -               64     834      64     837      43     838    1451    +    8.3e-210  697.4  16.5  -
Burkholderiaceae_Paraburkholderia                -          LKAP-TSAKG2_G08_052_2018_2 -               34     806      27     801      18     822    1472    +    9.8e-210  697.2  16.7  -
Lysobacteraceae_Lysobacter                       -          LKAP-TSAKG2_G08_052_2018_2 -               34     823      25     809       8     833    1475    +    1.6e-209  696.3  16.8  -
Piscirickettsiaceae_Thiomicrospira               -          LKAP-TSAKG2_G08_052_2018_2 -               37     850      26     836      18     838    1466    +    1.7e-209  696.2  16.5  -
Nevskiaceae_Steroidobacter                       -          LKAP-TSAKG2_G08_052_2018_2 -               39     811      26     798      20     816    1500    +    2.5e-209  695.8  17.1  -
Burkholderiaceae_Pandoraea                       -          LKAP-TSAKG2_G08_052_2018_2 -               31     806      25     799      19     817    1456    +    3.7e-209  695.2  17.0  -
Pseudoalteromonadaceae_Psychrosphaera            -          LKAP-TSAKG2_G08_052_2018_2 -               37     844      26     838      19     838    1450    +    4.6e-209  694.8  16.7  -
Cardiobacteriaceae_Cardiobacterium               -          LKAP-TSAKG2_G08_052_2018_2 -               19     828      26     837      20     838    1493    +    5.2e-209  694.7  16.8  -
Chromatiaceae_Thiocapsa                          -          LKAP-TSAKG2_G08_052_2018_2 -               80     850      64     837      43     838    1459    +    5.7e-209  694.8  16.6  -
Alteromonadaceae_Bowmanella                      -          LKAP-TSAKG2_G08_052_2018_2 -               47     817      23     794      18     815    1496    +    8.3e-209  693.9  16.9  -
Lysobacteraceae_Arenimonas                       -          LKAP-TSAKG2_G08_052_2018_2 -               37     853      26     837      18     838    1490    +    9.1e-209  693.9  16.5  -
Chromatiaceae_Lamprocystis                       -          LKAP-TSAKG2_G08_052_2018_2 -               89     861      64     837      44     838    1406    +      1e-208  693.8  16.6  -
Vibrionaceae_Photobacterium                      -          LKAP-TSAKG2_G08_052_2018_2 -               33     857      26     836      14     838    1487    +    1.1e-208  693.4  16.2  -
Burkholderiaceae_Limnobacter                     -          LKAP-TSAKG2_G08_052_2018_2 -               53     828      26     803      20     820    1524    +    1.3e-208  693.3  16.9  -
Moritellaceae_Moritella                          -          LKAP-TSAKG2_G08_052_2018_2 -               53     870      26     837      19     838    1506    +    1.9e-208  692.6  16.7  -
Chromatiaceae_Allochromatium                     -          LKAP-TSAKG2_G08_052_2018_2 -               29     845      23     837      14     838    1462    +    2.1e-208  692.7  16.4  -
Alteromonadaceae_Glaciecola                      -          LKAP-TSAKG2_G08_052_2018_2 -               53     859      26     836      20     838    1474    +      3e-208  692.0  16.9  -
Burkholderiaceae_Caballeronia                    -          LKAP-TSAKG2_G08_052_2018_2 -               72     813      60     799      39     817    1479    +    5.3e-208  691.4  16.8  -
Halothiobacillaceae_Halothiobacillus             -          LKAP-TSAKG2_G08_052_2018_2 -               53     836      26     805      20     833    1505    +    5.6e-208  691.2  16.6  -
Litoricolaceae_Litoricola                        -          LKAP-TSAKG2_G08_052_2018_2 -               44     859      26     837      18     838    1483    +      1e-207  690.5  16.4  -
Thiotrichaceae_Beggiatoa                         -          LKAP-TSAKG2_G08_052_2018_2 -               53     817      26     799      19     819    1491    +    1.1e-207  690.5  17.1  -
Burkholderiaceae_Burkholderia                    -          LKAP-TSAKG2_G08_052_2018_2 -               41     813      27     799      19     817    1502    +    1.3e-207  690.0  17.0  -
Lysobacteraceae_Silanimonas                      -          LKAP-TSAKG2_G08_052_2018_2 -               83     862      61     836      41     838    1493    +    5.4e-207  688.0  16.3  -
Ectothiorhodospiraceae_Arhodomonas               -          LKAP-TSAKG2_G08_052_2018_2 -               37     845      26     835      20     838    1487    +    6.6e-207  687.9  16.7  -
Neisseriaceae_Neisseria                          -          LKAP-TSAKG2_G08_052_2018_2 -               47     841      26     816      17     834    1475    +    7.7e-207  687.5  16.3  -
Ectothiorhodospiraceae_Halorhodospira            -          LKAP-TSAKG2_G08_052_2018_2 -               53     870      26     837      20     838    1479    +    1.5e-206  686.7  16.3  -
Moritellaceae_Paramoritella                      -          LKAP-TSAKG2_G08_052_2018_2 -               33     846      26     837      19     838    1512    +    1.5e-206  686.3  16.7  -
Alcaligenaceae_Advenella                         -          LKAP-TSAKG2_G08_052_2018_2 -               13     820      27     829      18     837    1428    +    1.8e-206  686.2  16.5  -
Cellvibrionaceae_Pseudomaricurvus                -          LKAP-TSAKG2_G08_052_2018_2 -               33     840      26     838      20     838    1490    +    2.3e-206  685.7  15.9  -
Methylophilaceae_Methylobacillus                 -          LKAP-TSAKG2_G08_052_2018_2 -               15     790      26     799      16     819    1416    +    3.3e-206  685.5  17.0  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-TSAKG2_G08_052_2018_2 -               32     806      25     795      14     815    1464    +    3.8e-206  684.9  16.6  -
Alcaligenaceae_Pusillimonas                      -          LKAP-TSAKG2_G08_052_2018_2 -                6     800      25     814      21     835    1446    +    6.9e-206  684.3  16.5  -
Chromatiaceae_Rheinheimera                       -          LKAP-TSAKG2_G08_052_2018_2 -               40     838      26     838      15     838    1472    +    1.1e-205  683.6  16.4  -
Burkholderiaceae_Ralstonia                       -          LKAP-TSAKG2_G08_052_2018_2 -               25     800      26     799      14     817    1446    +    1.6e-205  683.3  16.9  -
Nevskiaceae_Nevskia                              -          LKAP-TSAKG2_G08_052_2018_2 -               62     836      64     837      43     838    1451    +    2.8e-205  682.6  16.4  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-TSAKG2_G08_052_2018_2 -               49     836      23     805       7     818    1506    +    3.1e-205  682.0  16.9  -
Piscirickettsiaceae_Hydrogenovibrio              -          LKAP-TSAKG2_G08_052_2018_2 -               33     824      26     799      20     825    1465    +    4.8e-205  681.4  16.6  -
Oxalobacteraceae_Undibacterium                   -          LKAP-TSAKG2_G08_052_2018_2 -               29     803      26     802      16     822    1442    +    5.4e-205  681.5  16.8  -
Alcaligenaceae_Paenalcaligenes                   -          LKAP-TSAKG2_G08_052_2018_2 -               33     827      26     817      20     837    1432    +    5.5e-205  681.4  15.7  -
Chromobacteriaceae_Chromobacterium               -          LKAP-TSAKG2_G08_052_2018_2 -               50     822      25     799      16     819    1469    +    5.6e-205  681.3  17.1  -
Alcaligenaceae_Castellaniella                    -          LKAP-TSAKG2_G08_052_2018_2 -               26     806      26     799       9     815    1464    +    1.9e-204  679.6  17.2  -
Lysobacteraceae_Vulcaniibacterium                -          LKAP-TSAKG2_G08_052_2018_2 -               60     840      26     802      20     823    1549    +    1.9e-204  679.4  16.9  -
Aeromonadaceae_Oceanimonas                       -          LKAP-TSAKG2_G08_052_2018_2 -               30     816      26     805      13     813    1483    +    2.2e-204  679.1  16.6  -
Aeromonadaceae_Aeromonas                         -          LKAP-TSAKG2_G08_052_2018_2 -               52     840      26     808      20     817    1503    +    2.7e-204  678.8  16.8  -
Kangiellaceae_Marinicella                        -          LKAP-TSAKG2_G08_052_2018_2 -               53     834      26     801      20     822    1529    +    4.7e-204  678.4  16.8  -
Neisseriaceae_Vitreoscilla                       -          LKAP-TSAKG2_G08_052_2018_2 -               27     794      27     799      21     818    1457    +    5.1e-204  678.1  16.7  -
Alcaligenaceae_Pelistega                         -          LKAP-TSAKG2_G08_052_2018_2 -               40     837      26     819      19     837    1472    +    8.1e-204  677.5  16.4  -
Lysobacteraceae_Pseudoxanthomonas                -          LKAP-TSAKG2_G08_052_2018_2 -               36     818      26     802      17     823    1484    +    8.7e-204  677.3  16.6  -
Lysobacteraceae_Thermomonas                      -          LKAP-TSAKG2_G08_052_2018_2 -               33     842      26     830      19     838    1488    +    1.2e-203  676.9  16.6  -
Alteromonadaceae_Aliagarivorans                  -          LKAP-TSAKG2_G08_052_2018_2 -               26     813      26     796      20     835    1462    +      2e-203  676.3  16.7  -
Erwiniaceae_Erwinia                              -          LKAP-TSAKG2_G08_052_2018_2 -               33     821      26     810      18     830    1495    +    2.2e-203  676.0  16.3  -
Moraxellaceae_Enhydrobacter                      -          LKAP-TSAKG2_G08_052_2018_2 -               33     839      26     837       8     838    1484    +    2.4e-203  675.7  16.7  -
Colwelliaceae_Thalassomonas                      -          LKAP-TSAKG2_G08_052_2018_2 -               33     845      26     836      19     838    1462    +    2.9e-203  675.5  16.4  -
Lysobacteraceae_Oleiagrimonas                    -          LKAP-TSAKG2_G08_052_2018_2 -               33     849      26     835      20     838    1469    +    9.8e-203  673.8  16.5  -
Psychromonadaceae_Psychromonas                   -          LKAP-TSAKG2_G08_052_2018_2 -               33     804      26     793      19     814    1467    +    1.8e-202  673.0  16.8  -
Alteromonadaceae_Aestuariibacter                 -          LKAP-TSAKG2_G08_052_2018_2 -               33     797      26     794      14     815    1455    +    2.3e-202  672.5  16.9  -
Vibrionaceae_Aliivibrio                          -          LKAP-TSAKG2_G08_052_2018_2 -               57     870      26     835      12     838    1474    +    2.6e-202  672.7  16.3  -
Enterobacteriaceae_Kosakonia                     -          LKAP-TSAKG2_G08_052_2018_2 -               13     798      26     809      17     829    1422    +    3.1e-202  671.9  16.3  -
Alteromonadaceae_Alishewanella                   -          LKAP-TSAKG2_G08_052_2018_2 -               63     839      63     837      43     838    1426    +    3.1e-202  672.1  16.4  -
Neisseriaceae_Alysiella                          -          LKAP-TSAKG2_G08_052_2018_2 -               57     849      26     816      20     835    1524    +    3.7e-202  671.9  16.7  -
Alcaligenaceae_Candidimonas                      -          LKAP-TSAKG2_G08_052_2018_2 -                7     789      26     811      22     833    1411    +    4.1e-202  671.9  16.4  -
Gammaproteobacteria_Plasticicumulans             -          LKAP-TSAKG2_G08_052_2018_2 -               43     813      27     800      21     820    1491    +    4.9e-202  671.5  16.8  -
Francisellaceae_Allofrancisella                  -          LKAP-TSAKG2_G08_052_2018_2 -               33     842      26     838      20     838    1452    +    9.5e-202  670.6  16.6  -
Alteromonadaceae_Salinimonas                     -          LKAP-TSAKG2_G08_052_2018_2 -               33     803      26     796      20     827    1459    +    9.5e-202  670.6  16.6  -
Vibrionaceae_Enterovibrio                        -          LKAP-TSAKG2_G08_052_2018_2 -               33     824      26     809      20     830    1499    +    1.4e-201  669.8  16.4  -
Alcaligenaceae_Alcaligenes                       -          LKAP-TSAKG2_G08_052_2018_2 -               28     820      26     815       8     836    1469    +    1.4e-201  669.9  16.1  -
Alteromonadaceae_Aliiglaciecola                  -          LKAP-TSAKG2_G08_052_2018_2 -               19     787      26     796      19     810    1440    +    1.4e-201  669.8  17.1  -
Celerinatantimonadaceae_Celerinatantimonas       -          LKAP-TSAKG2_G08_052_2018_2 -               28     811      26     795      19     815    1433    +    1.4e-201  670.0  16.8  -
Zoogloeaceae_Zoogloea                            -          LKAP-TSAKG2_G08_052_2018_2 -               40     812      26     800      20     820    1474    +    1.6e-201  669.8  17.3  -
Enterobacteriaceae_Cronobacter                   -          LKAP-TSAKG2_G08_052_2018_2 -               10     798      26     810      20     831    1422    +    1.9e-201  669.6  16.4  -
Alcaligenaceae_Derxia                            -          LKAP-TSAKG2_G08_052_2018_2 -               79     820      59     798      39     817    1481    +    2.6e-201  669.3  16.9  -
Enterobacteriaceae_Enterobacter                  -          LKAP-TSAKG2_G08_052_2018_2 -               31     816      26     809      16     830    1476    +    3.4e-201  668.7  16.3  -
Oxalobacteraceae_Oxalicibacterium                -          LKAP-TSAKG2_G08_052_2018_2 -               33     809      26     802      20     822    1489    +    3.9e-201  668.6  16.9  -
Thiotrichales_Caedibacter                        -          LKAP-TSAKG2_G08_052_2018_2 -               53     828      26     838      21     838    1500    +    5.7e-201  667.7  17.4  -
Oxalobacteraceae_Noviherbaspirillum              -          LKAP-TSAKG2_G08_052_2018_2 -               38     811      27     802      21     822    1464    +    5.9e-201  668.1  16.8  -
Idiomarinaceae_Pseudidiomarina                   -          LKAP-TSAKG2_G08_052_2018_2 -               33     809      26     798      20     820    1499    +    6.8e-201  667.5  16.7  -
