# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_H09_065_2018_2 -               18     877      14     872       7     872    1504    +           0 1083.1  18.5  -
Planococcaceae_Paenisporosarcina                 -          LKAP-TSAKG2_H09_065_2018_2 -               10     872      15     872       8     872    1481    +    3.8e-305 1013.2  18.5  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-TSAKG2_H09_065_2018_2 -               18     892      14     872       8     872    1486    +    2.6e-248  824.9  18.4  -
Lactobacillaceae_Pediococcus                     -          LKAP-TSAKG2_H09_065_2018_2 -               27     914      15     871       7     872    1526    +    1.1e-247  823.0  18.5  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-TSAKG2_H09_065_2018_2 -               20     868      14     872       8     872    1497    +    4.7e-247  820.9  18.8  -
Bacillaceae_Salibacterium                        -          LKAP-TSAKG2_H09_065_2018_2 -               65     874      64     871      43     872    1485    +      1e-245  816.4  18.4  -
Thermoactinomycetaceae_Marininema                -          LKAP-TSAKG2_H09_065_2018_2 -               37     896      14     872       8     872    1553    +    1.2e-243  809.5  18.4  -
Bacillaceae_Thermolongibacillus                  -          LKAP-TSAKG2_H09_065_2018_2 -                2     853      29     872      28     872    1432    +    2.4e-242  805.1  19.5  -
Bacillales_Desulfuribacillus                     -          LKAP-TSAKG2_H09_065_2018_2 -               27     885      14     871       7     872    1495    +    1.2e-240  799.5  18.7  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-TSAKG2_H09_065_2018_2 -                2     876      19     872      18     872    1488    +    1.3e-240  799.4  18.5  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-TSAKG2_H09_065_2018_2 -               14     871      14     870       8     872    1466    +    1.4e-240  799.4  18.6  -
Thermoactinomycetaceae_Desmospora                -          LKAP-TSAKG2_H09_065_2018_2 -               37     899      14     872       7     872    1548    +    3.2e-240  798.4  18.4  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-TSAKG2_H09_065_2018_2 -               32     873      15     872       7     872    1493    +    5.5e-239  793.9  18.0  -
Paenibacillaceae_Thermobacillus                  -          LKAP-TSAKG2_H09_065_2018_2 -               38     915      14     872       8     872    1599    +    3.1e-238  791.6  18.3  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-TSAKG2_H09_065_2018_2 -               27     899      15     872       6     872    1506    +    5.7e-238  790.8  18.4  -
Eubacteriaceae_Eubacterium                       -          LKAP-TSAKG2_H09_065_2018_2 -               39     878      15     871      10     872    1476    +    1.9e-237  788.9  18.0  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-TSAKG2_H09_065_2018_2 -               38     897      14     872       8     872    1510    +    3.4e-237  788.3  18.0  -
Bacillales_Chungangia                            -          LKAP-TSAKG2_H09_065_2018_2 -               27     884      15     872       5     872    1440    +    7.3e-237  786.5  18.3  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-TSAKG2_H09_065_2018_2 -               28     885      14     872       8     872    1439    +    8.4e-237  786.8  18.1  -
Leuconostocaceae_Weissella                       -          LKAP-TSAKG2_H09_065_2018_2 -               16     901      15     871       7     872    1485    +    2.4e-236  785.3  18.5  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-TSAKG2_H09_065_2018_2 -               27     874      15     871       7     872    1489    +    1.1e-233  776.6  18.9  -
Bacillaceae_Falsibacillus                        -          LKAP-TSAKG2_H09_065_2018_2 -                1     850      23     872      23     872    1413    +    3.3e-233  774.4  19.3  -
Bacillaceae_Salisediminibacterium                -          LKAP-TSAKG2_H09_065_2018_2 -               59     870      65     872      44     872    1449    +    1.5e-232  772.8  18.5  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-TSAKG2_H09_065_2018_2 -               38     882      14     871       8     872    1509    +    2.4e-232  772.3  18.5  -
Thermoactinomycetaceae_Planifilum                -          LKAP-TSAKG2_H09_065_2018_2 -               38     900      14     872       8     872    1517    +    2.2e-231  768.9  18.3  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-TSAKG2_H09_065_2018_2 -               19     834      15     872       6     872    1428    +    1.8e-230  765.9  17.5  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-TSAKG2_H09_065_2018_2 -               40     855      15     872       5     872    1464    +    8.5e-230  763.8  17.0  -
Bacillaceae_Marinococcus                         -          LKAP-TSAKG2_H09_065_2018_2 -               13     887      18     871       8     872    1503    +    2.4e-228  758.9  18.6  -
Streptococcaceae_Streptococcus                   -          LKAP-TSAKG2_H09_065_2018_2 -               24     888      15     872       7     872    1497    +    3.7e-228  758.2  18.4  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-TSAKG2_H09_065_2018_2 -               25     896      15     872       6     872    1523    +    4.3e-228  757.8  18.8  -
Streptococcaceae_Lactococcus                     -          LKAP-TSAKG2_H09_065_2018_2 -               25     883      15     871       7     872    1492    +    1.4e-224  746.1  18.6  -
Bacillaceae_Calditerricola                       -          LKAP-TSAKG2_H09_065_2018_2 -               39     911      15     872       8     872    1535    +    1.5e-224  746.2  18.7  -
Bacillaceae_Salirhabdus                          -          LKAP-TSAKG2_H09_065_2018_2 -               33     904      15     871       5     872    1546    +    1.7e-224  745.8  18.5  -
Planococcaceae_Savagea                           -          LKAP-TSAKG2_H09_065_2018_2 -               40     898      15     871       5     872    1547    +    3.4e-224  744.6  18.3  -
Peptococcaceae_Desulfitobacterium                -          LKAP-TSAKG2_H09_065_2018_2 -               19     903      15     872       7     872    1521    +    1.8e-223  742.2  18.9  -
Leuconostocaceae_Fructobacillus                  -          LKAP-TSAKG2_H09_065_2018_2 -               18     877      14     871       7     872    1485    +    9.5e-222  737.0  18.4  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-TSAKG2_H09_065_2018_2 -               10     846      14     869       8     872    1465    +    1.4e-220  733.2  18.9  -
Leuconostocaceae_Leuconostoc                     -          LKAP-TSAKG2_H09_065_2018_2 -               12     869      16     871       8     872    1477    +    2.4e-220  732.4  18.5  -
Bacillaceae_Paucisalibacillus                    -          LKAP-TSAKG2_H09_065_2018_2 -               34     906      15     872       5     872    1441    +    8.3e-220  730.1  18.5  -
Bacillaceae_Compostibacillus                     -          LKAP-TSAKG2_H09_065_2018_2 -              147     962      57     872      47     872    1555    +    9.8e-220  729.9  17.6  -
Bacillaceae_Aeribacillus                         -          LKAP-TSAKG2_H09_065_2018_2 -               24     884      15     872       5     872    1516    +    7.6e-218  723.7  18.6  -
Clostridiaceae_Caloramator                       -          LKAP-TSAKG2_H09_065_2018_2 -               18     842      16     870       5     872    1453    +    2.3e-216  719.1  18.4  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-TSAKG2_H09_065_2018_2 -               33     865      18     872       7     872    1485    +    2.6e-216  718.7  18.6  -
Selenomonadaceae_Selenomonas                     -          LKAP-TSAKG2_H09_065_2018_2 -               45     911      19     872       9     872    1508    +    7.6e-216  717.2  18.8  -
Bacillaceae_Saccharococcus                       -          LKAP-TSAKG2_H09_065_2018_2 -               39     892      15     872       5     872    1538    +    1.9e-215  715.7  18.7  -
Bacillaceae_Fermentibacillus                     -          LKAP-TSAKG2_H09_065_2018_2 -               38     895      15     871       5     872    1530    +    4.7e-215  714.3  18.4  -
Ruminococcaceae_Ruminococcus                     -          LKAP-TSAKG2_H09_065_2018_2 -               11     846      18     872      10     872    1394    +    4.3e-214  711.5  18.0  -
Bacillaceae_Filobacillus                         -          LKAP-TSAKG2_H09_065_2018_2 -               12     884      15     872       7     872    1491    +    5.3e-214  710.8  18.6  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-TSAKG2_H09_065_2018_2 -                5     825      16     869      12     872    1412    +    1.2e-213  710.2  18.1  -
Clostridiaceae_Alkaliphilus                      -          LKAP-TSAKG2_H09_065_2018_2 -               18     855      14     869       7     872    1465    +    1.7e-213  709.2  18.4  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-TSAKG2_H09_065_2018_2 -               37     908      16     871       7     872    1529    +    5.7e-213  707.7  18.6  -
Erysipelotrichaceae_Breznakia                    -          LKAP-TSAKG2_H09_065_2018_2 -               25     896      16     868       5     871    1508    +    5.8e-213  707.7  19.2  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-TSAKG2_H09_065_2018_2 -               28     886      15     871       8     872    1521    +    1.2e-212  706.8  18.8  -
Bacillaceae_Melghiribacillus                     -          LKAP-TSAKG2_H09_065_2018_2 -               28     901      15     872       5     872    1552    +    1.4e-212  706.4  18.6  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-TSAKG2_H09_065_2018_2 -               41     873      14     868       8     872    1516    +    2.9e-212  705.8  18.5  -
Bacillaceae_Polygonibacillus                     -          LKAP-TSAKG2_H09_065_2018_2 -                1     846      29     872      29     872    1480    +    3.3e-212  704.8  19.4  -
Bacillaceae_Saliterribacillus                    -          LKAP-TSAKG2_H09_065_2018_2 -               39     918      15     872       5     872    1472    +    1.5e-211  702.8  18.6  -
Bacillaceae_Natronobacillus                      -          LKAP-TSAKG2_H09_065_2018_2 -               46     920      15     872       6     872    1473    +    3.8e-211  701.6  18.6  -
Bacillaceae_Vulcanibacillus                      -          LKAP-TSAKG2_H09_065_2018_2 -               29     892      15     872       5     872    1526    +    9.5e-211  700.1  18.6  -
Carnobacteriaceae_Atopococcus                    -          LKAP-TSAKG2_H09_065_2018_2 -               10     872      15     872       8     872    1500    +      3e-210  698.5  18.4  -
Bacillaceae_Allobacillus                         -          LKAP-TSAKG2_H09_065_2018_2 -                1     871      19     872      19     872    1431    +    3.5e-210  698.2  18.8  -
Clostridiaceae_Brassicibacter                    -          LKAP-TSAKG2_H09_065_2018_2 -               23     855      18     871       6     872    1454    +    1.2e-209  696.7  18.4  -
Ruminococcaceae_Acetivibrio                      -          LKAP-TSAKG2_H09_065_2018_2 -               38     885      19     872      10     872    1529    +    1.5e-209  696.4  18.3  -
Acetobacteraceae_Acetobacter                     -          LKAP-TSAKG2_H09_065_2018_2 -               20     815      16     872       8     872    1433    +      2e-209  696.2  17.6  -
Clostridiaceae_Hathewaya                         -          LKAP-TSAKG2_H09_065_2018_2 -               44     860      19     869       8     872    1507    +    2.3e-209  695.8  17.5  -
Bacillaceae_Aquisalibacillus                     -          LKAP-TSAKG2_H09_065_2018_2 -               42     912      15     872       5     872    1484    +    3.9e-209  694.7  18.4  -
Entomoplasmataceae_Entomoplasma                  -          LKAP-TSAKG2_H09_065_2018_2 -               25     861      14     868       8     872    1498    +    5.3e-209  695.0  18.9  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_H09_065_2018_2 -               12     871      15     872       8     872    1494    +    5.5e-209  694.5  18.8  -
Peptococcaceae_Pelotomaculum                     -          LKAP-TSAKG2_H09_065_2018_2 -               19     855      15     872       7     872    1467    +    6.3e-209  694.1  18.4  -
Entomoplasmataceae_Mesoplasma                    -          LKAP-TSAKG2_H09_065_2018_2 -               25     862      14     869       8     872    1497    +    8.8e-209  694.1  18.7  -
Staphylococcaceae_Auricoccus                     -          LKAP-TSAKG2_H09_065_2018_2 -               44     907      15     872       5     872    1507    +    1.5e-208  692.9  18.6  -
Staphylococcaceae_Abyssicoccus                   -          LKAP-TSAKG2_H09_065_2018_2 -               67     930      15     872       5     872    1576    +    2.8e-208  692.0  18.6  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-TSAKG2_H09_065_2018_2 -               38     860      14     870       8     872    1510    +      8e-208  690.9  17.9  -
Bacillaceae_Aureibacillus                        -          LKAP-TSAKG2_H09_065_2018_2 -               39     903      15     871       5     872    1517    +    1.1e-207  690.2  18.2  -
Enterococcaceae_Bavariicoccus                    -          LKAP-TSAKG2_H09_065_2018_2 -               18     886      15     871       6     872    1470    +    2.7e-207  688.6  18.5  -
Carnobacteriaceae_Desemzia                       -          LKAP-TSAKG2_H09_065_2018_2 -               25     885      15     871       5     872    1505    +    3.4e-207  688.3  18.5  -
Bacillaceae_Alkalilactibacillus                  -          LKAP-TSAKG2_H09_065_2018_2 -               39     919      15     872       5     872    1567    +    4.1e-207  688.2  18.6  -
Clostridiales_Natranaerovirga                    -          LKAP-TSAKG2_H09_065_2018_2 -               39     882      14     869       8     872    1504    +    6.6e-207  687.6  18.1  -
Bacillaceae_Cerasibacillus                       -          LKAP-TSAKG2_H09_065_2018_2 -               22     896      15     872       5     872    1484    +    2.4e-206  685.6  18.6  -
Peptococcaceae_Thermincola                       -          LKAP-TSAKG2_H09_065_2018_2 -               27     859      18     872       5     872    1482    +    2.4e-206  685.8  18.9  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-TSAKG2_H09_065_2018_2 -               26     899      15     872       5     872    1521    +    3.7e-206  685.1  18.6  -
Sporomusaceae_Sporomusa                          -          LKAP-TSAKG2_H09_065_2018_2 -               37     900      14     872       7     872    1532    +    5.5e-206  684.4  18.6  -
Peptococcaceae_Sporotomaculum                    -          LKAP-TSAKG2_H09_065_2018_2 -              156     940      61     872      41     872    1510    +    1.1e-205  683.5  17.8  -
Bacillaceae_Tenuibacillus                        -          LKAP-TSAKG2_H09_065_2018_2 -               16     888      15     872       6     872    1479    +    2.2e-205  682.3  18.6  -
Clostridiales_Carboxydocella                     -          LKAP-TSAKG2_H09_065_2018_2 -                9     879      14     872       9     872    1458    +    2.5e-205  682.4  18.6  -
Veillonellaceae_Megasphaera                      -          LKAP-TSAKG2_H09_065_2018_2 -               47     915      19     872       7     872    1528    +    3.4e-205  681.9  19.1  -
Staphylococcaceae_Corticicoccus                  -          LKAP-TSAKG2_H09_065_2018_2 -               13     880      17     871       7     872    1465    +    3.5e-205  681.7  18.6  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-TSAKG2_H09_065_2018_2 -               23     887      15     872       5     872    1493    +    7.7e-205  681.0  18.9  -
Erysipelotrichaceae_Erysipelothrix               -          LKAP-TSAKG2_H09_065_2018_2 -               26     873      15     868       7     871    1467    +      1e-204  680.7  19.1  -
Heliobacteriaceae_Heliobacterium                 -          LKAP-TSAKG2_H09_065_2018_2 -               35     866      14     872       8     872    1500    +    1.5e-204  679.9  18.4  -
Carnobacteriaceae_Pisciglobus                    -          LKAP-TSAKG2_H09_065_2018_2 -               29     858      49     872      29     872    1501    +    1.9e-204  679.2  18.2  -
Spirochaetaceae_Spirochaeta                      -          LKAP-TSAKG2_H09_065_2018_2 -               34     876      18     869      10     872    1495    +    2.4e-204  679.2  18.4  -
Bacillaceae_Sinibacillus                         -          LKAP-TSAKG2_H09_065_2018_2 -               19     894      15     872       6     872    1489    +    2.5e-204  679.1  18.6  -
Acholeplasmataceae_Acholeplasma                  -          LKAP-TSAKG2_H09_065_2018_2 -               10     846      14     869      10     872    1437    +    2.6e-204  678.9  18.4  -
Clostridiaceae_Natronincola                      -          LKAP-TSAKG2_H09_065_2018_2 -               35     869      14     870       8     872    1489    +    3.1e-204  678.6  18.4  -
Carnobacteriaceae_Lacticigenium                  -          LKAP-TSAKG2_H09_065_2018_2 -               22     881      15     871       5     872    1446    +      5e-204  677.9  17.9  -
Clostridiales_Thermaerobacter                    -          LKAP-TSAKG2_H09_065_2018_2 -               39     902      15     872       8     872    1520    +    6.2e-204  677.8  19.0  -
Sporolactobacillaceae_Terrilactibacillus         -          LKAP-TSAKG2_H09_065_2018_2 -               27     843      52     871      32     872    1456    +      7e-204  677.4  18.3  -
Peptococcaceae_Peptococcus                       -          LKAP-TSAKG2_H09_065_2018_2 -               18     893      14     871       5     872    1488    +      7e-204  677.6  18.7  -
Bacillaceae_Streptohalobacillus                  -          LKAP-TSAKG2_H09_065_2018_2 -                4     874      19     872      16     872    1481    +    8.7e-204  676.9  18.4  -
Bacillaceae_Halalkalibacillus                    -          LKAP-TSAKG2_H09_065_2018_2 -               12     885      15     872       7     872    1492    +    1.5e-203  676.3  18.9  -
Bacillaceae_Caenibacillus                        -          LKAP-TSAKG2_H09_065_2018_2 -               19     891      15     872       6     872    1490    +    1.7e-203  676.2  18.4  -
