# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_H08_050_2018_2 -               15     819      16     823      12     823    1504    +    9.8e-304 1008.5  22.1  -
Paenibacillaceae_Brevibacillus                   -          LKAP-TSAKG2_H08_050_2018_2 -               15     805      17     822      12     823    1486    +    6.9e-249  826.8  22.4  -
Bacillaceae_Scopulibacillus                      -          LKAP-TSAKG2_H08_050_2018_2 -               35     851      16     822       7     823    1555    +    1.1e-248  826.0  22.7  -
Bacillaceae_Anaerobacillus                       -          LKAP-TSAKG2_H08_050_2018_2 -               35     839      17     822      13     823    1512    +    1.4e-248  825.6  21.6  -
Bacillaceae_Halobacillus                         -          LKAP-TSAKG2_H08_050_2018_2 -               15     837      16     823       7     823    1520    +    2.4e-248  825.0  22.4  -
Bacillaceae_Amphibacillus                        -          LKAP-TSAKG2_H08_050_2018_2 -               15     837      16     823      11     823    1490    +    7.6e-248  823.3  22.3  -
Bacillaceae_Halolactibacillus                    -          LKAP-TSAKG2_H08_050_2018_2 -                4     824      18     823      15     823    1491    +    1.6e-247  822.1  22.3  -
Paenibacillaceae_Cohnella                        -          LKAP-TSAKG2_H08_050_2018_2 -               19     824      16     822       9     823    1482    +    3.2e-247  821.4  21.6  -
Aerococcaceae_Aerococcus                         -          LKAP-TSAKG2_H08_050_2018_2 -                6     810      16     822      12     823    1461    +      3e-246  818.0  22.0  -
Bacillaceae_Paraliobacillus                      -          LKAP-TSAKG2_H08_050_2018_2 -               16     838      17     823      12     823    1511    +    3.5e-246  817.9  22.4  -
Bacillaceae_Tepidibacillus                       -          LKAP-TSAKG2_H08_050_2018_2 -               21     824      16     822       9     823    1493    +    3.7e-246  817.3  21.9  -
Bacillaceae_Thalassobacillus                     -          LKAP-TSAKG2_H08_050_2018_2 -               23     844      17     823      12     823    1506    +    5.8e-246  817.2  22.4  -
Listeriaceae_Brochothrix                         -          LKAP-TSAKG2_H08_050_2018_2 -                4     807      18     823      15     823    1421    +    1.2e-245  816.2  22.5  -
Bacillaceae_Alteribacillus                       -          LKAP-TSAKG2_H08_050_2018_2 -               46     807      63     822      43     823    1440    +    1.3e-245  816.1  22.8  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-TSAKG2_H08_050_2018_2 -                3     807      18     823      16     823    1443    +    2.1e-245  815.3  22.2  -
Carnobacteriaceae_Trichococcus                   -          LKAP-TSAKG2_H08_050_2018_2 -               18     830      17     822      11     823    1513    +      3e-245  814.5  21.9  -
Bacillaceae_Salipaludibacillus                   -          LKAP-TSAKG2_H08_050_2018_2 -                2     817      21     822      20     823    1480    +    4.4e-245  814.2  22.2  -
Bacillaceae_Alkalicoccus                         -          LKAP-TSAKG2_H08_050_2018_2 -               36     862      17     822      11     823    1558    +    9.5e-245  813.1  22.1  -
Paenibacillaceae_Fontibacillus                   -          LKAP-TSAKG2_H08_050_2018_2 -               20     826      16     822      10     823    1487    +    2.4e-242  805.1  21.6  -
Bacillaceae_Salsuginibacillus                    -          LKAP-TSAKG2_H08_050_2018_2 -               39     861      16     822       7     823    1505    +    3.8e-242  804.5  22.1  -
Bacillales_Gemella                               -          LKAP-TSAKG2_H08_050_2018_2 -               19     820      17     818      12     822    1511    +    1.3e-241  802.8  21.1  -
Bacillaceae_Piscibacillus                        -          LKAP-TSAKG2_H08_050_2018_2 -               53     814      61     822      41     823    1520    +    1.9e-241  802.2  22.9  -
Carnobacteriaceae_Granulicatella                 -          LKAP-TSAKG2_H08_050_2018_2 -               36     840      17     822      12     823    1407    +    2.8e-241  801.6  21.6  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-TSAKG2_H08_050_2018_2 -                3     808      16     822      14     823    1494    +    1.5e-239  795.9  22.1  -
Bacillaceae_Salimicrobium                        -          LKAP-TSAKG2_H08_050_2018_2 -               16     838      17     823      12     823    1500    +    6.5e-239  793.8  22.4  -
Paenibacillaceae_Saccharibacillus                -          LKAP-TSAKG2_H08_050_2018_2 -               18     824      16     822      10     823    1498    +    6.8e-238  790.8  21.8  -
Planococcaceae_Filibacter                        -          LKAP-TSAKG2_H08_050_2018_2 -               25     828      16     822       8     823    1517    +    1.4e-237  788.8  22.0  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-TSAKG2_H08_050_2018_2 -               18     810      17     822      12     823    1497    +    4.6e-237  787.7  22.4  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-TSAKG2_H08_050_2018_2 -               16     835      17     822      13     823    1486    +    5.2e-237  787.4  21.9  -
Bacillales_Desulfuribacillus                     -          LKAP-TSAKG2_H08_050_2018_2 -               25     829      17     822      11     823    1495    +    9.6e-236  783.1  21.8  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-TSAKG2_H08_050_2018_2 -                5     808      18     822      14     823    1511    +    1.5e-235  782.4  22.1  -
Enterococcaceae_Tetragenococcus                  -          LKAP-TSAKG2_H08_050_2018_2 -               20     830      16     822      10     823    1518    +      3e-235  781.6  21.8  -
Bacillaceae_Thermolongibacillus                  -          LKAP-TSAKG2_H08_050_2018_2 -                2     794      34     822      33     823    1432    +    1.9e-232  772.2  23.2  -
Thermoactinomycetaceae_Marininema                -          LKAP-TSAKG2_H08_050_2018_2 -               35     838      17     822      12     823    1553    +    3.1e-232  771.5  22.3  -
Bacillaceae_Salibacterium                        -          LKAP-TSAKG2_H08_050_2018_2 -               15     816      33     822      19     823    1485    +    6.3e-231  767.3  22.8  -
Lactobacillaceae_Pediococcus                     -          LKAP-TSAKG2_H08_050_2018_2 -               23     855      16     821      10     823    1526    +    1.6e-230  766.0  21.8  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-TSAKG2_H08_050_2018_2 -               36     852      16     823       7     823    1546    +    3.5e-230  764.7  22.1  -
Paenibacillaceae_Thermobacillus                  -          LKAP-TSAKG2_H08_050_2018_2 -               36     856      17     822      13     823    1599    +    6.9e-230  763.8  21.8  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-TSAKG2_H08_050_2018_2 -               23     841      16     822      10     823    1506    +      2e-229  762.4  22.0  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-TSAKG2_H08_050_2018_2 -               12     813      17     821      13     823    1466    +    3.1e-229  761.8  22.0  -
Thermoactinomycetaceae_Desmospora                -          LKAP-TSAKG2_H08_050_2018_2 -               35     841      17     822      12     823    1548    +    6.9e-229  760.8  22.1  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-TSAKG2_H08_050_2018_2 -                3     817      26     822      24     823    1488    +    1.1e-228  759.9  23.1  -
Eubacteriaceae_Eubacterium                       -          LKAP-TSAKG2_H08_050_2018_2 -               36     820      17     821      14     823    1476    +    4.4e-228  757.8  21.8  -
Thermoactinomycetaceae_Planifilum                -          LKAP-TSAKG2_H08_050_2018_2 -               36     842      17     822      13     823    1517    +    1.7e-227  756.0  22.0  -
Bacillaceae_Pelagirhabdus                        -          LKAP-TSAKG2_H08_050_2018_2 -               48     808      66     823      45     823    1462    +    2.3e-227  755.3  23.1  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-TSAKG2_H08_050_2018_2 -               29     814      17     822      11     823    1493    +    5.2e-227  754.1  21.8  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-TSAKG2_H08_050_2018_2 -               26     827      17     822      12     823    1439    +    6.5e-226  750.7  22.2  -
Bacillaceae_Salisediminibacterium                -          LKAP-TSAKG2_H08_050_2018_2 -               58     811      73     822      49     823    1449    +      2e-223  742.5  23.1  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-TSAKG2_H08_050_2018_2 -               36     840      17     823      13     823    1510    +    2.5e-223  742.3  22.1  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-TSAKG2_H08_050_2018_2 -               36     826      17     822      13     823    1509    +    3.9e-223  741.7  22.7  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-TSAKG2_H08_050_2018_2 -               24     818      17     822      12     823    1489    +    1.4e-220  733.1  23.0  -
Bacillales_Chungangia                            -          LKAP-TSAKG2_H08_050_2018_2 -               23     825      16     822       8     823    1440    +    2.2e-220  731.9  22.0  -
Leuconostocaceae_Weissella                       -          LKAP-TSAKG2_H08_050_2018_2 -               13     844      17     823      10     823    1485    +    1.9e-218  726.0  22.2  -
Bacillaceae_Calditerricola                       -          LKAP-TSAKG2_H08_050_2018_2 -               37     853      18     822      12     823    1535    +      1e-217  723.5  22.0  -
Bacillaceae_Marinococcus                         -          LKAP-TSAKG2_H08_050_2018_2 -                7     829      18     822      13     823    1503    +      1e-217  723.6  22.7  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-TSAKG2_H08_050_2018_2 -               15     777      16     822      10     823    1428    +    3.5e-216  718.5  22.7  -
Streptococcaceae_Lactococcus                     -          LKAP-TSAKG2_H08_050_2018_2 -               21     825      16     821      11     823    1492    +    2.3e-215  715.5  21.8  -
Streptococcaceae_Streptococcus                   -          LKAP-TSAKG2_H08_050_2018_2 -               21     827      17     820      11     822    1497    +    1.7e-214  712.9  21.2  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-TSAKG2_H08_050_2018_2 -               21     835      16     820       9     823    1523    +    4.3e-214  711.4  21.9  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-TSAKG2_H08_050_2018_2 -               36     796      16     822       7     823    1464    +    1.5e-213  709.8  21.8  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-TSAKG2_H08_050_2018_2 -                7     796      16     820      13     823    1465    +    1.6e-213  709.8  22.1  -
Planococcaceae_Savagea                           -          LKAP-TSAKG2_H08_050_2018_2 -               36     840      16     822       8     823    1547    +    1.1e-210  699.7  21.9  -
Peptococcaceae_Desulfitobacterium                -          LKAP-TSAKG2_H08_050_2018_2 -               16     839      17     817      12     823    1521    +    1.2e-210  699.5  21.8  -
Bacillaceae_Falsibacillus                        -          LKAP-TSAKG2_H08_050_2018_2 -                6     791      33     822      29     823    1413    +    4.4e-210  697.8  22.8  -
Leuconostocaceae_Fructobacillus                  -          LKAP-TSAKG2_H08_050_2018_2 -               16     820      17     823      12     823    1485    +    3.6e-209  695.3  22.1  -
Bacillaceae_Salirhabdus                          -          LKAP-TSAKG2_H08_050_2018_2 -               29     846      16     822       8     823    1546    +    3.3e-208  691.8  22.1  -
Selenomonadaceae_Selenomonas                     -          LKAP-TSAKG2_H08_050_2018_2 -               38     849      18     819      13     823    1508    +    4.3e-207  688.2  21.6  -
Leuconostocaceae_Leuconostoc                     -          LKAP-TSAKG2_H08_050_2018_2 -                8     811      17     822      12     823    1477    +    5.9e-207  687.9  22.0  -
Erysipelotrichaceae_Breznakia                    -          LKAP-TSAKG2_H08_050_2018_2 -               20     846      16     819       8     823    1508    +      1e-206  686.9  21.4  -
Clostridiaceae_Caloramator                       -          LKAP-TSAKG2_H08_050_2018_2 -               13     787      16     821       9     823    1453    +    2.8e-206  685.6  21.4  -
Bacillaceae_Paucisalibacillus                    -          LKAP-TSAKG2_H08_050_2018_2 -               30     847      16     822       8     823    1441    +    3.2e-206  685.0  22.1  -
Bacillaceae_Saccharococcus                       -          LKAP-TSAKG2_H08_050_2018_2 -               35     835      16     822       8     823    1538    +    6.3e-206  684.2  22.2  -
Bacillaceae_Compostibacillus                     -          LKAP-TSAKG2_H08_050_2018_2 -              151     903      70     822      50     823    1555    +    1.6e-205  682.7  23.0  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-TSAKG2_H08_050_2018_2 -               40     820      18     817      13     822    1516    +    9.5e-205  680.8  21.6  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-TSAKG2_H08_050_2018_2 -               33     848      17     820      11     823    1529    +    1.3e-204  679.9  21.7  -
Clostridiaceae_Alkaliphilus                      -          LKAP-TSAKG2_H08_050_2018_2 -               16     803      17     822      11     823    1465    +    1.5e-204  679.4  21.8  -
Ruminococcaceae_Ruminococcus                     -          LKAP-TSAKG2_H08_050_2018_2 -                4     787      17     821      14     823    1394    +    3.7e-204  678.5  22.0  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-TSAKG2_H08_050_2018_2 -               25     803      16     820      11     823    1485    +    7.3e-204  677.4  21.7  -
Bacillaceae_Filobacillus                         -          LKAP-TSAKG2_H08_050_2018_2 -                8     827      16     822      11     823    1491    +    1.5e-203  676.1  22.1  -
Bacillaceae_Fermentibacillus                     -          LKAP-TSAKG2_H08_050_2018_2 -               34     837      16     822       8     823    1530    +    8.3e-203  673.7  22.0  -
Ruminococcaceae_Acetivibrio                      -          LKAP-TSAKG2_H08_050_2018_2 -               31     825      18     821      13     823    1529    +    1.7e-202  672.9  22.0  -
Bacillaceae_Melghiribacillus                     -          LKAP-TSAKG2_H08_050_2018_2 -               24     842      16     822       8     823    1552    +    3.2e-202  672.0  22.1  -
Entomoplasmataceae_Entomoplasma                  -          LKAP-TSAKG2_H08_050_2018_2 -               23     810      17     820      13     823    1498    +    1.7e-201  670.0  22.3  -
Bacillaceae_Aeribacillus                         -          LKAP-TSAKG2_H08_050_2018_2 -               20     825      16     822       8     823    1516    +    2.6e-201  668.9  22.1  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-TSAKG2_H08_050_2018_2 -               25     830      17     821      12     823    1521    +    3.9e-201  668.6  22.2  -
Clostridiales_Carboxydocella                     -          LKAP-TSAKG2_H08_050_2018_2 -                7     817      17     819      13     823    1458    +    4.8e-201  668.1  21.7  -
Peptococcaceae_Pelotomaculum                     -          LKAP-TSAKG2_H08_050_2018_2 -               16     791      17     817      11     823    1467    +    8.6e-201  667.1  21.7  -
Entomoplasmataceae_Mesoplasma                    -          LKAP-TSAKG2_H08_050_2018_2 -               23     811      17     821      13     823    1497    +    1.9e-200  666.4  22.2  -
Bacillaceae_Vulcanibacillus                      -          LKAP-TSAKG2_H08_050_2018_2 -               25     833      16     822       8     823    1526    +    5.9e-200  664.3  21.8  -
Clostridiaceae_Brassicibacter                    -          LKAP-TSAKG2_H08_050_2018_2 -               15     798      16     821       8     823    1454    +    6.9e-200  664.3  22.2  -
Bacillaceae_Polygonibacillus                     -          LKAP-TSAKG2_H08_050_2018_2 -                2     787      35     822      34     823    1480    +    7.9e-200  663.7  23.0  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-TSAKG2_H08_050_2018_2 -                3     771      19     822      17     823    1412    +    1.3e-199  663.6  21.9  -
Bacillaceae_Aquisalibacillus                     -          LKAP-TSAKG2_H08_050_2018_2 -               38     855      16     822       8     823    1484    +      2e-199  662.5  21.9  -
Bacillaceae_Allobacillus                         -          LKAP-TSAKG2_H08_050_2018_2 -                2     814      26     822      25     823    1431    +    3.6e-199  661.7  22.6  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-TSAKG2_H08_050_2018_2 -               20     825      17     819       8     823    1493    +    5.6e-199  661.5  21.8  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-TSAKG2_H08_050_2018_2 -               35     807      16     822      11     823    1510    +    8.3e-199  661.0  22.4  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_H08_050_2018_2 -                9     810      17     821      11     823    1494    +    5.8e-198  657.9  22.4  -
Erysipelotrichaceae_Erysipelothrix               -          LKAP-TSAKG2_H08_050_2018_2 -               22     822      16     819      11     823    1467    +    7.1e-198  657.9  21.2  -
Lachnospiraceae_Butyrivibrio                     -          LKAP-TSAKG2_H08_050_2018_2 -               35     833      17     820      11     823    1518    +    5.4e-197  654.7  22.2  -
Clostridiaceae_Hathewaya                         -          LKAP-TSAKG2_H08_050_2018_2 -               37     804      18     820      13     823    1507    +    1.4e-196  653.4  21.7  -
Acholeplasmataceae_Acholeplasma                  -          LKAP-TSAKG2_H08_050_2018_2 -                9     795      18     819      14     823    1437    +    1.8e-196  652.9  21.3  -
Acetobacteraceae_Acetobacter                     -          LKAP-TSAKG2_H08_050_2018_2 -               16     755      17     820      13     823    1433    +    2.8e-196  652.5  22.6  -
Staphylococcaceae_Auricoccus                     -          LKAP-TSAKG2_H08_050_2018_2 -               40     848      16     822       8     823    1507    +    3.1e-196  652.1  22.0  -
Staphylococcaceae_Abyssicoccus                   -          LKAP-TSAKG2_H08_050_2018_2 -               63     871      16     822       8     823    1576    +      6e-196  651.1  22.0  -
Bacillaceae_Tenuibacillus                        -          LKAP-TSAKG2_H08_050_2018_2 -               12     831      16     822       9     823    1479    +    6.5e-196  650.9  22.1  -
Veillonellaceae_Megasphaera                      -          LKAP-TSAKG2_H08_050_2018_2 -               39     851      17     817      11     823    1528    +    7.4e-196  650.8  21.8  -
Bacillaceae_Saliterribacillus                    -          LKAP-TSAKG2_H08_050_2018_2 -               35     859      16     822       8     823    1472    +      8e-196  650.7  22.2  -
Bacillaceae_Cerasibacillus                       -          LKAP-TSAKG2_H08_050_2018_2 -               18     837      16     822       8     823    1484    +    8.3e-196  650.7  22.2  -
Peptococcaceae_Thermincola                       -          LKAP-TSAKG2_H08_050_2018_2 -               19     795      16     817       8     823    1482    +    8.3e-196  650.8  22.4  -
Carnobacteriaceae_Atopococcus                    -          LKAP-TSAKG2_H08_050_2018_2 -                6     812      16     821      12     823    1500    +    9.8e-196  650.4  21.8  -
Clostridiales_Natranaerovirga                    -          LKAP-TSAKG2_H08_050_2018_2 -               37     826      17     822      13     823    1504    +      3e-195  648.8  22.2  -
Rubrobacteraceae_Rubrobacter                     -          LKAP-TSAKG2_H08_050_2018_2 -               15     815      16     822       9     823    1495    +    3.4e-195  648.8  22.3  -
Bacillaceae_Aureibacillus                        -          LKAP-TSAKG2_H08_050_2018_2 -               35     845      16     822       8     823    1517    +    5.5e-195  648.0  21.7  -
Bacillaceae_Natronobacillus                      -          LKAP-TSAKG2_H08_050_2018_2 -               42     861      16     822       8     823    1473    +      7e-195  647.7  22.1  -
Clostridiaceae_Natronincola                      -          LKAP-TSAKG2_H08_050_2018_2 -               33     816      17     822      13     823    1489    +    7.7e-195  647.4  22.1  -
Peptococcaceae_Peptococcus                       -          LKAP-TSAKG2_H08_050_2018_2 -               15     831      16     818       8     823    1488    +    2.7e-194  645.7  21.7  -
Carnobacteriaceae_Desemzia                       -          LKAP-TSAKG2_H08_050_2018_2 -               21     826      16     821       8     823    1505    +    4.1e-194  644.9  21.6  -
Peptococcaceae_Desulfitispora                    -          LKAP-TSAKG2_H08_050_2018_2 -               34     793      66     817      46     823    1479    +    7.4e-194  644.3  22.4  -
Sporolactobacillaceae_Terrilactibacillus         -          LKAP-TSAKG2_H08_050_2018_2 -               24     787      58     822      38     823    1456    +    7.6e-194  644.1  22.5  -
Peptostreptococcaceae_Filifactor                 -          LKAP-TSAKG2_H08_050_2018_2 -               15     799      16     820       9     823    1450    +    1.2e-193  643.7  21.9  -
Streptococcaceae_Faecalicoccus                   -          LKAP-TSAKG2_H08_050_2018_2 -               36     837      17     822      13     823    1380    +    1.5e-193  643.6  22.6  -
Clostridiales_Thermaerobacter                    -          LKAP-TSAKG2_H08_050_2018_2 -               36     838      17     817      12     823    1520    +    1.8e-193  643.1  21.9  -
Clostridiaceae_Sporosalibacterium                -          LKAP-TSAKG2_H08_050_2018_2 -               36     819      17     821      13     823    1521    +    2.4e-193  642.6  21.6  -
Geobacteraceae_Geobacter                         -          LKAP-TSAKG2_H08_050_2018_2 -               16     822      17     820      12     823    1470    +    2.7e-193  642.4  21.7  -
Sporomusaceae_Sporomusa                          -          LKAP-TSAKG2_H08_050_2018_2 -               35     838      17     819      12     823    1532    +      3e-193  642.1  22.1  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-TSAKG2_H08_050_2018_2 -               22     840      16     822       8     823    1521    +    6.3e-193  641.2  22.1  -
Spirochaetaceae_Spirochaeta                      -          LKAP-TSAKG2_H08_050_2018_2 -               34     820      24     820      16     823    1495    +    8.6e-193  640.8  22.3  -
Peptococcaceae_Sporotomaculum                    -          LKAP-TSAKG2_H08_050_2018_2 -               39     881      23     822      10     823    1510    +      9e-193  640.7  22.3  -
Veillonellaceae_Dialister                        -          LKAP-TSAKG2_H08_050_2018_2 -               13     827      16     817      10     823    1502    +    1.3e-192  640.2  22.1  -
Thermoanaerobacteraceae_Thermoanaerobacter       -          LKAP-TSAKG2_H08_050_2018_2 -               32     808      17     817      12     823    1525    +    1.3e-192  639.8  22.1  -
Bacillaceae_Halalkalibacillus                    -          LKAP-TSAKG2_H08_050_2018_2 -                8     828      16     822      11     823    1492    +    1.5e-192  639.9  22.2  -
Clostridiales_Tissierella                        -          LKAP-TSAKG2_H08_050_2018_2 -               33     820      17     822      11     823    1415    +    1.5e-192  640.1  22.1  -
