# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_F03_021_2017_1 -               36    1064      15    1040       2    1043    1526    +           0 1209.4  30.3  -
Bacillaceae_Viridibacillus                       -          LKAP-GUTHK2_F03_021_2017_1 -               24    1041      16    1040       3    1043    1505    +    3.1e-280  930.8  28.1  -
Staphylococcaceae_Salinicoccus                   -          LKAP-GUTHK2_F03_021_2017_1 -               14    1029      14    1040       2    1043    1476    +      4e-280  930.7  29.3  -
Paenibacillaceae_Brevibacillus                   -          LKAP-GUTHK2_F03_021_2017_1 -               20    1024      13    1040       2    1043    1486    +    4.5e-280  930.5  28.3  -
Bacillaceae_Alkalibacillus                       -          LKAP-GUTHK2_F03_021_2017_1 -               12    1044      13    1040       2    1043    1492    +    1.2e-279  929.2  30.6  -
Planococcaceae_Caryophanon                       -          LKAP-GUTHK2_F03_021_2017_1 -              101    1071      73    1040      52    1043    1492    +    1.5e-279  928.6  26.9  -
Planococcaceae_Planomicrobium                    -          LKAP-GUTHK2_F03_021_2017_1 -               20    1039      12    1040       2    1043    1485    +    1.7e-279  928.7  29.0  -
Bacillaceae_Piscibacillus                        -          LKAP-GUTHK2_F03_021_2017_1 -                3    1031      15    1040      13    1043    1520    +    6.9e-279  926.6  29.7  -
Bacillaceae_Geobacillus                          -          LKAP-GUTHK2_F03_021_2017_1 -               38    1059      16    1040       2    1043    1527    +    8.6e-279  926.4  29.1  -
Listeriaceae_Listeria                            -          LKAP-GUTHK2_F03_021_2017_1 -               55    1024      73    1040      53    1043    1458    +    1.6e-278  925.5  26.5  -
Planococcaceae_Paenisporosarcina                 -          LKAP-GUTHK2_F03_021_2017_1 -               15    1034      16    1040       3    1043    1481    +    2.9e-278  924.3  28.1  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-GUTHK2_F03_021_2017_1 -                2    1038      16    1040      15    1043    1488    +    3.4e-278  924.3  29.6  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-GUTHK2_F03_021_2017_1 -                9    1023      15    1040       7    1043    1443    +    4.3e-277  920.6  28.2  -
Bacillaceae_Psychrobacillus                      -          LKAP-GUTHK2_F03_021_2017_1 -               74    1049      70    1040      49    1043    1503    +      6e-277  920.0  27.0  -
Aerococcaceae_Aerococcus                         -          LKAP-GUTHK2_F03_021_2017_1 -               61    1029      73    1040      53    1043    1461    +    1.6e-276  918.6  26.7  -
Bacillaceae_Salimicrobium                        -          LKAP-GUTHK2_F03_021_2017_1 -               23    1056      15    1040       3    1043    1500    +    4.7e-276  917.2  29.7  -
Bacillales_Solibacillus                          -          LKAP-GUTHK2_F03_021_2017_1 -               77    1048      73    1040      53    1043    1525    +    4.8e-276  917.1  26.6  -
Bacillaceae_Pelagirhabdus                        -          LKAP-GUTHK2_F03_021_2017_1 -                1    1026      24    1040      24    1043    1462    +    9.3e-276  916.1  29.8  -
Staphylococcaceae_Staphylococcus                 -          LKAP-GUTHK2_F03_021_2017_1 -               33    1049      16    1040       2    1043    1484    +    1.4e-274  912.2  28.6  -
Bacillaceae_Salisediminibacterium                -          LKAP-GUTHK2_F03_021_2017_1 -                6    1032      22    1040      18    1043    1449    +    2.3e-274  911.7  29.9  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-GUTHK2_F03_021_2017_1 -               42    1068      15    1040       2    1043    1520    +    1.7e-273  908.8  28.7  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-GUTHK2_F03_021_2017_1 -               12    1027      16    1040       4    1043    1494    +    2.6e-272  904.8  28.5  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-GUTHK2_F03_021_2017_1 -               23    1039      15    1040       2    1043    1503    +    3.5e-272  904.3  29.3  -
Bacillaceae_Tepidibacillus                       -          LKAP-GUTHK2_F03_021_2017_1 -               73    1045      73    1040      51    1043    1493    +    1.9e-271  901.5  26.9  -
Carnobacteriaceae_Granulicatella                 -          LKAP-GUTHK2_F03_021_2017_1 -               44    1059      16    1040       2    1043    1407    +    1.8e-270  898.6  28.8  -
Bacillaceae_Alteribacillus                       -          LKAP-GUTHK2_F03_021_2017_1 -                3    1028      23    1040      21    1043    1440    +      3e-270  898.0  30.1  -
Bacillaceae_Anaerobacillus                       -          LKAP-GUTHK2_F03_021_2017_1 -               43    1059      16    1040       3    1043    1512    +    4.7e-269  893.8  27.6  -
Enterococcaceae_Tetragenococcus                  -          LKAP-GUTHK2_F03_021_2017_1 -               27    1049      14    1040       2    1043    1518    +    5.6e-269  893.7  29.5  -
Bacillaceae_Salsuginibacillus                    -          LKAP-GUTHK2_F03_021_2017_1 -               46    1080      14    1040       2    1043    1505    +    3.2e-267  887.9  29.9  -
Aerococcaceae_Facklamia                          -          LKAP-GUTHK2_F03_021_2017_1 -               23    1040      15    1040       3    1043    1501    +    6.2e-267  887.1  28.4  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-GUTHK2_F03_021_2017_1 -               30    1059      14    1040       2    1043    1506    +    1.6e-266  885.7  30.6  -
Bacillaceae_Salibacterium                        -          LKAP-GUTHK2_F03_021_2017_1 -                8    1037      16    1040       9    1043    1485    +    2.8e-266  884.8  30.2  -
Paenibacillaceae_Cohnella                        -          LKAP-GUTHK2_F03_021_2017_1 -               27    1042      15    1040       2    1043    1482    +    1.3e-265  882.7  28.4  -
Eubacteriaceae_Eubacterium                       -          LKAP-GUTHK2_F03_021_2017_1 -               44    1042      16    1040       3    1042    1476    +    9.4e-265  879.7  28.5  -
Carnobacteriaceae_Trichococcus                   -          LKAP-GUTHK2_F03_021_2017_1 -               79    1049      74    1040      49    1043    1513    +    1.1e-264  879.2  26.4  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-GUTHK2_F03_021_2017_1 -               26    1030      16    1040       3    1043    1497    +    7.6e-264  876.8  27.9  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-GUTHK2_F03_021_2017_1 -               24    1052      16    1040       3    1043    1486    +    1.2e-263  876.0  28.8  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-GUTHK2_F03_021_2017_1 -               12    1027      16    1040       3    1043    1511    +    2.2e-263  875.0  28.4  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-GUTHK2_F03_021_2017_1 -               36    1037      15    1040       2    1042    1493    +    5.9e-263  873.6  27.3  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-GUTHK2_F03_021_2017_1 -                7    1032       8    1040       2    1043    1453    +    2.4e-262  871.6  28.6  -
Bacillales_Geomicrobium                          -          LKAP-GUTHK2_F03_021_2017_1 -               35    1051      16    1040       3    1043    1537    +    4.8e-262  870.8  28.2  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-GUTHK2_F03_021_2017_1 -               20    1033      16    1040       3    1043    1466    +    1.5e-261  869.2  28.5  -
Listeriaceae_Brochothrix                         -          LKAP-GUTHK2_F03_021_2017_1 -               55    1025      71    1040      48    1043    1421    +    9.1e-261  866.7  26.5  -
Bacillales_Gemella                               -          LKAP-GUTHK2_F03_021_2017_1 -               27     983      16     981       2    1001    1511    +    1.2e-260  866.2  26.1  -
Bacillaceae_Thermolongibacillus                  -          LKAP-GUTHK2_F03_021_2017_1 -               39    1021      74    1040      65    1043    1432    +    1.6e-260  865.6  26.6  -
Bacillaceae_Calditerricola                       -          LKAP-GUTHK2_F03_021_2017_1 -               43    1077      15    1040       2    1043    1535    +    5.4e-260  864.0  30.5  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-GUTHK2_F03_021_2017_1 -               43    1069      14    1040       2    1043    1546    +      8e-259  860.0  29.6  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-GUTHK2_F03_021_2017_1 -               31    1035      15    1040       3    1043    1489    +    1.5e-258  859.3  28.4  -
Paenibacillaceae_Saccharibacillus                -          LKAP-GUTHK2_F03_021_2017_1 -               26    1043      15    1040       2    1043    1498    +    2.1e-258  859.2  28.1  -
Thermoactinomycetaceae_Planifilum                -          LKAP-GUTHK2_F03_021_2017_1 -               44    1062      16    1040       3    1043    1517    +      5e-255  847.6  28.9  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-GUTHK2_F03_021_2017_1 -               43    1057      15    1040       2    1043    1510    +    9.3e-255  846.8  29.1  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-GUTHK2_F03_021_2017_1 -               44    1043      16    1040       3    1043    1509    +      4e-254  844.7  28.5  -
Bacillales_Desulfuribacillus                     -          LKAP-GUTHK2_F03_021_2017_1 -               80    1046      72    1040      51    1043    1495    +    3.1e-253  841.5  26.8  -
Paenibacillaceae_Fontibacillus                   -          LKAP-GUTHK2_F03_021_2017_1 -               29    1045      16    1040       3    1043    1487    +    1.4e-252  839.3  27.6  -
Lactobacillaceae_Pediococcus                     -          LKAP-GUTHK2_F03_021_2017_1 -              101    1075      68    1040      48    1043    1526    +    1.5e-251  836.0  27.1  -
Thermoactinomycetaceae_Desmospora                -          LKAP-GUTHK2_F03_021_2017_1 -               43    1059      16    1040       3    1043    1548    +    4.3e-251  834.7  28.7  -
Bacillaceae_Marinococcus                         -          LKAP-GUTHK2_F03_021_2017_1 -               11    1050      13    1040       3    1043    1503    +      4e-249  828.1  30.5  -
Leuconostocaceae_Weissella                       -          LKAP-GUTHK2_F03_021_2017_1 -               21    1062      16    1040       2    1043    1485    +    4.1e-247  821.3  29.3  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-GUTHK2_F03_021_2017_1 -               40    1015      11    1040       2    1043    1464    +    2.6e-245  815.5  26.5  -
Streptococcaceae_Streptococcus                   -          LKAP-GUTHK2_F03_021_2017_1 -               26    1048      13    1040       2    1043    1497    +    4.3e-245  814.6  29.1  -
Thermoactinomycetaceae_Marininema                -          LKAP-GUTHK2_F03_021_2017_1 -               87    1056      73    1040      51    1043    1553    +    2.4e-244  812.1  26.5  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-GUTHK2_F03_021_2017_1 -               23     994      15    1040       2    1043    1428    +    2.7e-244  812.0  27.0  -
Paenibacillaceae_Thermobacillus                  -          LKAP-GUTHK2_F03_021_2017_1 -               43    1077      15    1040       3    1043    1599    +      2e-242  805.7  30.0  -
Leuconostocaceae_Leuconostoc                     -          LKAP-GUTHK2_F03_021_2017_1 -               14    1031      14    1040       2    1043    1477    +    3.7e-242  805.0  28.3  -
Mycoplasmataceae_Mycoplasma                      -          LKAP-GUTHK2_F03_021_2017_1 -               16    1005      16    1040       3    1042    1465    +    6.5e-241  800.9  28.7  -
Streptococcaceae_Lactococcus                     -          LKAP-GUTHK2_F03_021_2017_1 -               29    1044      15    1040       2    1043    1492    +    6.5e-239  793.9  29.0  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-GUTHK2_F03_021_2017_1 -               33    1045      15    1040       2    1043    1439    +    9.6e-239  793.5  28.3  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-GUTHK2_F03_021_2017_1 -               30    1059      16    1040       2    1043    1523    +    4.1e-238  791.3  28.9  -
Leuconostocaceae_Fructobacillus                  -          LKAP-GUTHK2_F03_021_2017_1 -               71    1039      73    1040      51    1044    1485    +    5.4e-238  791.1  26.4  -
Fusobacteriaceae_Ilyobacter                      -          LKAP-GUTHK2_F03_021_2017_1 -               44    1025      16    1040       4    1043    1510    +    6.7e-238  790.9  27.7  -
Peptococcaceae_Desulfitobacterium                -          LKAP-GUTHK2_F03_021_2017_1 -               86    1065      73    1040      50    1043    1521    +    1.7e-237  788.9  26.8  -
Ruminococcaceae_Ruminococcus                     -          LKAP-GUTHK2_F03_021_2017_1 -               11    1006      15    1040       6    1043    1394    +    1.7e-237  789.3  28.4  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-GUTHK2_F03_021_2017_1 -               26    1026       8    1040       2    1043    1485    +    4.7e-237  787.7  27.8  -
Bacillaceae_Salirhabdus                          -          LKAP-GUTHK2_F03_021_2017_1 -               35    1065      13    1040       2    1044    1546    +    9.6e-236  783.3  30.4  -
Peptococcaceae_Pelotomaculum                     -          LKAP-GUTHK2_F03_021_2017_1 -               24    1019      16    1040       2    1043    1467    +    4.8e-235  781.0  27.3  -
Clostridiaceae_Brassicibacter                    -          LKAP-GUTHK2_F03_021_2017_1 -               21    1018      13    1040       2    1043    1454    +    1.4e-232  773.0  28.8  -
Clostridiales_Tissierella                        -          LKAP-GUTHK2_F03_021_2017_1 -               40    1037      15    1040       2    1043    1415    +    5.7e-232  771.1  28.9  -
Desulfovibrionaceae_Desulfovibrio                -          LKAP-GUTHK2_F03_021_2017_1 -               33    1049      16    1040       3    1043    1521    +    1.2e-231  770.0  29.2  -
Bacillaceae_Melghiribacillus                     -          LKAP-GUTHK2_F03_021_2017_1 -               30    1061      13    1040       2    1044    1552    +    9.2e-231  766.8  30.5  -
Clostridiaceae_Alkaliphilus                      -          LKAP-GUTHK2_F03_021_2017_1 -               24    1020      16    1040       2    1043    1465    +    1.4e-230  766.1  28.8  -
Spiroplasmataceae_Spiroplasma                    -          LKAP-GUTHK2_F03_021_2017_1 -               77    1033      73    1040      48    1043    1516    +    2.2e-229  762.8  27.0  -
Desulfuromonadaceae_Pelobacter                   -          LKAP-GUTHK2_F03_021_2017_1 -               42    1066      15    1040       2    1043    1542    +      4e-229  761.7  29.0  -
Bacillaceae_Caenibacillus                        -          LKAP-GUTHK2_F03_021_2017_1 -               21    1055      13    1040       2    1044    1490    +      1e-228  759.9  30.7  -
Clostridiaceae_Sporosalibacterium                -          LKAP-GUTHK2_F03_021_2017_1 -               43    1039      15    1040       3    1043    1521    +    1.5e-228  759.6  28.1  -
Selenomonadaceae_Selenomonas                     -          LKAP-GUTHK2_F03_021_2017_1 -               45    1071      16    1040       3    1043    1508    +    1.7e-228  759.4  28.5  -
Clostridiaceae_Tepidimicrobium                   -          LKAP-GUTHK2_F03_021_2017_1 -               44    1043      16    1040       3    1043    1528    +    2.4e-228  759.1  28.8  -
Natranaerobiaceae_Natranaerobius                 -          LKAP-GUTHK2_F03_021_2017_1 -                4    1001      18    1040      15    1043    1424    +    1.1e-227  756.8  27.1  -
Peptoniphilaceae_Peptoniphilus                   -          LKAP-GUTHK2_F03_021_2017_1 -                5     988      24    1040      21    1043    1433    +    1.3e-227  756.8  28.5  -
Bacillaceae_Saliterribacillus                    -          LKAP-GUTHK2_F03_021_2017_1 -               41    1078      13    1040       2    1044    1472    +    4.5e-227  754.4  30.3  -
Planococcaceae_Filibacter                        -          LKAP-GUTHK2_F03_021_2017_1 -               78    1049      73    1040      51    1044    1517    +      5e-227  754.3  26.8  -
Thermoanaerobacteraceae_Moorella                 -          LKAP-GUTHK2_F03_021_2017_1 -               27    1052      15    1040       2    1043    1493    +      1e-226  753.8  30.0  -
Bacillaceae_Sinibacillus                         -          LKAP-GUTHK2_F03_021_2017_1 -               21    1056      13    1040       2    1044    1489    +      1e-226  753.4  30.3  -
Clostridiaceae_Caloramator                       -          LKAP-GUTHK2_F03_021_2017_1 -               68    1006      73    1040      53    1043    1453    +    1.6e-226  753.0  26.2  -
Acetobacteraceae_Acetobacter                     -          LKAP-GUTHK2_F03_021_2017_1 -               50     976      69    1040      24    1043    1433    +      2e-226  752.8  25.6  -
Clostridiaceae_Natronincola                      -          LKAP-GUTHK2_F03_021_2017_1 -               41    1033      16    1040       3    1043    1489    +      2e-226  752.4  29.4  -
Geobacteraceae_Geobacter                         -          LKAP-GUTHK2_F03_021_2017_1 -               24    1045      16    1040       2    1043    1470    +    2.7e-226  752.1  29.0  -
Bacillaceae_Filobacillus                         -          LKAP-GUTHK2_F03_021_2017_1 -               14    1044      13    1040       2    1044    1491    +    4.4e-226  751.0  30.1  -
Spirochaetaceae_Spirochaeta                      -          LKAP-GUTHK2_F03_021_2017_1 -               34    1040      15    1040       3    1043    1495    +    9.1e-226  750.5  28.2  -
Bacillaceae_Paucisalibacillus                    -          LKAP-GUTHK2_F03_021_2017_1 -               36    1066      13    1040       2    1044    1441    +    1.1e-225  749.8  30.3  -
Bacillaceae_Streptohalobacillus                  -          LKAP-GUTHK2_F03_021_2017_1 -                1    1034      13    1040      13    1044    1481    +    1.3e-224  746.1  29.2  -
Bacillales_Chungangia                            -          LKAP-GUTHK2_F03_021_2017_1 -               31    1046      15    1040       2    1044    1440    +    1.6e-224  745.9  28.8  -
Sporolactobacillaceae_Tuberibacillus             -          LKAP-GUTHK2_F03_021_2017_1 -               21    1052      13    1040       2    1044    1486    +      2e-224  745.7  30.6  -
Veillonellaceae_Megasphaera                      -          LKAP-GUTHK2_F03_021_2017_1 -               97    1076      73    1039      51    1043    1528    +    2.4e-224  745.6  26.7  -
Erysipelotrichaceae_Breznakia                    -          LKAP-GUTHK2_F03_021_2017_1 -              103    1062      74    1040      54    1043    1508    +    2.4e-224  745.7  26.5  -
Symbiobacteriaceae_Symbiobacterium               -          LKAP-GUTHK2_F03_021_2017_1 -               62    1041      74    1040      50    1043    1468    +    2.7e-224  745.9  27.2  -
Veillonellaceae_Dialister                        -          LKAP-GUTHK2_F03_021_2017_1 -               71    1052      72    1039      52    1043    1502    +    3.2e-224  745.3  26.7  -
Peptostreptococcaceae_Tepidibacter               -          LKAP-GUTHK2_F03_021_2017_1 -               54     990      74    1040      54    1043    1412    +    4.2e-224  745.0  25.3  -
Bacillaceae_Allobacillus                         -          LKAP-GUTHK2_F03_021_2017_1 -                2    1031      17    1040      16    1043    1431    +    6.9e-224  743.8  29.4  -
Syntrophomonadaceae_Syntrophomonas               -          LKAP-GUTHK2_F03_021_2017_1 -               91    1069      73    1040      50    1043    1529    +    9.5e-224  743.7  26.9  -
Bacillaceae_Aquisalibacillus                     -          LKAP-GUTHK2_F03_021_2017_1 -               44    1072      13    1040       2    1044    1484    +    1.5e-223  742.7  30.2  -
Peptostreptococcaceae_Filifactor                 -          LKAP-GUTHK2_F03_021_2017_1 -               25    1016      17    1040       2    1043    1450    +    3.8e-223  741.7  28.3  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-GUTHK2_F03_021_2017_1 -               17    1032      16    1040       2    1043    1494    +    5.8e-223  741.1  28.6  -
Bacillaceae_Falsibacillus                        -          LKAP-GUTHK2_F03_021_2017_1 -               37    1012      69    1040      49    1044    1413    +    7.7e-223  740.3  27.3  -
Bacillaceae_Cerasibacillus                       -          LKAP-GUTHK2_F03_021_2017_1 -               24    1058      13    1040       2    1044    1484    +    9.4e-223  740.2  30.6  -
Desulfuromonadaceae_Desulfuromonas               -          LKAP-GUTHK2_F03_021_2017_1 -               32    1058      15    1040       2    1043    1512    +    1.5e-222  739.8  28.9  -
Peptococcaceae_Desulfitispora                    -          LKAP-GUTHK2_F03_021_2017_1 -               13    1017      46    1040      34    1043    1479    +    2.5e-222  739.0  28.2  -
Planococcaceae_Savagea                           -          LKAP-GUTHK2_F03_021_2017_1 -               90    1061      72    1040      48    1044    1547    +    7.1e-222  737.2  26.9  -
Peptococcaceae_Sporotomaculum                    -          LKAP-GUTHK2_F03_021_2017_1 -              159    1104      74    1040      54    1043    1510    +    1.1e-221  737.0  25.9  -
Staphylococcaceae_Corticicoccus                  -          LKAP-GUTHK2_F03_021_2017_1 -                6    1039       7    1040       2    1044    1465    +      2e-221  735.7  30.4  -
Bacillaceae_Aeribacillus                         -          LKAP-GUTHK2_F03_021_2017_1 -               74    1046      74    1040      52    1044    1516    +    2.3e-221  735.6  26.8  -
Bacillaceae_Pseudogracilibacillus                -          LKAP-GUTHK2_F03_021_2017_1 -               28    1061      13    1040       2    1044    1521    +    2.6e-221  735.5  30.5  -
Bacillaceae_Halalkalibacillus                    -          LKAP-GUTHK2_F03_021_2017_1 -               14    1045      13    1040       2    1044    1492    +    2.7e-221  735.3  30.7  -
Clostridiales_Sedimentibacter                    -          LKAP-GUTHK2_F03_021_2017_1 -              103    1043      72    1040      49    1043    1478    +    2.9e-221  734.8  25.5  -
Bacillaceae_Natronobacillus                      -          LKAP-GUTHK2_F03_021_2017_1 -               48    1080      13    1040       2    1044    1473    +    4.1e-221  734.8  30.0  -
Heliobacteriaceae_Heliobacterium                 -          LKAP-GUTHK2_F03_021_2017_1 -               85    1028      73    1040      52    1043    1500    +    5.2e-221  734.8  25.8  -
Bacillaceae_Tenuibacillus                        -          LKAP-GUTHK2_F03_021_2017_1 -               18    1048      13    1040       2    1044    1479    +    6.3e-221  734.0  30.4  -
Peptococcaceae_Peptococcus                       -          LKAP-GUTHK2_F03_021_2017_1 -               24    1055      16    1040       3    1043    1488    +    8.2e-221  733.9  29.5  -
Sporolactobacillaceae_Terrilactibacillus         -          LKAP-GUTHK2_F03_021_2017_1 -               12    1006      46    1040      34    1044    1456    +    8.4e-221  733.7  28.7  -
Bacillaceae_Fermentibacillus                     -          LKAP-GUTHK2_F03_021_2017_1 -               86    1058      72    1040      48    1044    1530    +    1.1e-219  729.9  27.0  -
Rubrobacteraceae_Rubrobacter                     -          LKAP-GUTHK2_F03_021_2017_1 -               23    1033      15    1040       2    1043    1495    +    1.2e-219  730.3  28.4  -
Clostridiales_Blautia                            -          LKAP-GUTHK2_F03_021_2017_1 -               20    1017      14    1040       2    1043    1453    +    1.2e-219  730.2  28.9  -
Ruminococcaceae_Acetivibrio                      -          LKAP-GUTHK2_F03_021_2017_1 -              106    1045      70    1040      48    1043    1529    +    1.3e-219  730.0  26.3  -
Leuconostocaceae_Oenococcus                      -          LKAP-GUTHK2_F03_021_2017_1 -               25    1059      15    1040       2    1043    1496    +    1.3e-219  730.3  29.4  -
Clostridiales_Natranaerovirga                    -          LKAP-GUTHK2_F03_021_2017_1 -               45    1046      16    1040       3    1043    1504    +    1.8e-219  729.4  28.1  -
