# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae_Shewanella                        -          F0117_LKAP-FHGF1_A12_096 -               20     871       6     855       1     855    1483    +           0 1034.6  20.3  -
Enterobacteriaceae_Shimwellia                    -          F0117_LKAP-FHGF1_A12_096 -                5     847      11     855       9     855    1422    +    5.2e-244  810.7  20.2  -
Alteromonadaceae_Glaciecola                      -          F0117_LKAP-FHGF1_A12_096 -               38     881       4     855       1     855    1474    +    5.3e-244  810.5  20.2  -
Enterobacteriaceae_Cedecea                       -          F0117_LKAP-FHGF1_A12_096 -                1     791      64     855      64     855    1403    +    5.7e-244  810.6  19.6  -
Yersiniaceae_Rahnella                            -          F0117_LKAP-FHGF1_A12_096 -                1     790      65     855      65     855    1345    +    8.5e-244  810.0  19.9  -
Hafniaceae_Edwardsiella                          -          F0117_LKAP-FHGF1_A12_096 -               28     871      12     855       1     855    1466    +    1.1e-243  809.5  19.7  -
Microbulbiferaceae_Microbulbifer                 -          F0117_LKAP-FHGF1_A12_096 -               19     862       5     855       1     855    1480    +    2.3e-243  808.6  20.8  -
Enterobacteriaceae_Trabulsiella                  -          F0117_LKAP-FHGF1_A12_096 -               20     862      11     855       2     855    1471    +    3.5e-243  808.0  20.2  -
Morganellaceae_Photorhabdus                      -          F0117_LKAP-FHGF1_A12_096 -               21     873       5     855       1     855    1478    +    4.6e-243  807.9  20.0  -
Hahellaceae_Hahella                              -          F0117_LKAP-FHGF1_A12_096 -               54     893      11     855       1     855    1539    +      5e-243  807.4  20.7  -
Cellvibrionaceae_Cellvibrio                      -          F0117_LKAP-FHGF1_A12_096 -               38     881       4     854       1     855    1505    +    1.5e-242  805.8  21.1  -
Halomonadaceae_Halomonas                         -          F0117_LKAP-FHGF1_A12_096 -               20     868       6     855       1     855    1463    +    1.7e-242  805.5  20.6  -
Alteromonadaceae_Aliagarivorans                  -          F0117_LKAP-FHGF1_A12_096 -               20     875      11     855       1     855    1462    +    2.6e-242  805.2  20.2  -
Enterobacteriaceae_Franconibacter                -          F0117_LKAP-FHGF1_A12_096 -               34     873      12     855       1     855    1325    +    1.8e-241  802.5  19.9  -
Oceanospirillaceae_Amphritea                     -          F0117_LKAP-FHGF1_A12_096 -               19     867       5     855       1     855    1463    +    3.3e-241  801.3  20.6  -
Oceanospirillaceae_Oceanospirillum               -          F0117_LKAP-FHGF1_A12_096 -               18     867       4     854       1     855    1462    +    1.7e-240  799.1  20.5  -
Vibrionaceae_Salinivibrio                        -          F0117_LKAP-FHGF1_A12_096 -               38     901       5     855       1     855    1502    +    5.6e-240  796.8  20.1  -
Hahellaceae_Endozoicomonas                       -          F0117_LKAP-FHGF1_A12_096 -               38     890       4     855       1     855    1524    +    7.3e-240  796.9  20.4  -
Pectobacteriaceae_Lonsdalea                      -          F0117_LKAP-FHGF1_A12_096 -                1     790      65     855      65     855    1345    +    1.1e-239  796.4  19.9  -
Pasteurellaceae_Pasteurella                      -          F0117_LKAP-FHGF1_A12_096 -               27     870      11     855       1     855    1365    +    2.8e-239  795.1  20.2  -
Moraxellaceae_Acinetobacter                      -          F0117_LKAP-FHGF1_A12_096 -               23     860      11     854       1     855    1463    +    3.4e-239  794.8  20.8  -
Alteromonadaceae_Paraglaciecola                  -          F0117_LKAP-FHGF1_A12_096 -               28     871       4     855       1     855    1495    +    1.1e-238  792.7  20.1  -
Halomonadaceae_Kushneria                         -          F0117_LKAP-FHGF1_A12_096 -               23     871       5     855       1     855    1461    +    1.2e-238  792.8  20.7  -
Halieaceae_Halioglobus                           -          F0117_LKAP-FHGF1_A12_096 -               19     861       4     855       1     855    1433    +    1.4e-238  792.7  21.2  -
Cellvibrionaceae_Umboniibacter                   -          F0117_LKAP-FHGF1_A12_096 -               31     872       5     855       1     855    1507    +    3.8e-238  791.3  21.0  -
Idiomarinaceae_Pseudidiomarina                   -          F0117_LKAP-FHGF1_A12_096 -               18     870       4     855       1     855    1499    +      5e-238  790.6  20.3  -
Alteromonadaceae_Alishewanella                   -          F0117_LKAP-FHGF1_A12_096 -               63     859      57     854      25     855    1426    +    5.5e-238  790.7  20.4  -
Chromobacteriaceae_Aquaspirillum                 -          F0117_LKAP-FHGF1_A12_096 -               43     881       8     854       1     855    1488    +    1.1e-237  789.7  20.8  -
Alteromonadaceae_Aliiglaciecola                  -          F0117_LKAP-FHGF1_A12_096 -               13     849      11     855       2     855    1440    +    2.4e-237  788.4  19.7  -
Piscirickettsiaceae_Methylophaga                 -          F0117_LKAP-FHGF1_A12_096 -               20     862       7     854       1     855    1487    +    2.6e-237  788.3  20.4  -
Oceanospirillaceae_Marinomonas                   -          F0117_LKAP-FHGF1_A12_096 -               27     869      11     855       1     855    1467    +    3.2e-237  787.9  20.5  -
Spongiibacteraceae_Sinobacterium                 -          F0117_LKAP-FHGF1_A12_096 -               38     889       4     855       1     855    1504    +    5.6e-237  787.2  20.4  -
Alteromonadaceae_Salinimonas                     -          F0117_LKAP-FHGF1_A12_096 -               18     865       4     855       1     855    1459    +      1e-236  786.5  19.9  -
Morganellaceae_Morganella                        -          F0117_LKAP-FHGF1_A12_096 -                1     816      38     855      38     855    1356    +    1.3e-236  786.4  20.4  -
Spongiibacteraceae_Spongiibacter                 -          F0117_LKAP-FHGF1_A12_096 -               23     864       6     855       1     855    1441    +    1.9e-236  785.3  21.0  -
Halomonadaceae_Chromohalobacter                  -          F0117_LKAP-FHGF1_A12_096 -               19     867       5     855       1     855    1480    +    2.4e-236  785.2  20.7  -
Cellvibrionaceae_Marinimicrobium                 -          F0117_LKAP-FHGF1_A12_096 -               19     861       5     855       1     855    1455    +    3.2e-236  784.7  21.3  -
Orbaceae_Orbus                                   -          F0117_LKAP-FHGF1_A12_096 -               40     878      11     855       1     855    1522    +    3.8e-236  784.4  20.2  -
Halomonadaceae_Cobetia                           -          F0117_LKAP-FHGF1_A12_096 -               30     879       4     855       1     855    1516    +    7.7e-236  783.5  20.8  -
Methylococcaceae_Methylomonas                    -          F0117_LKAP-FHGF1_A12_096 -               46     879      11     855       2     855    1475    +    5.4e-235  780.7  20.9  -
Succinivibrionaceae_Anaerobiospirillum           -          F0117_LKAP-FHGF1_A12_096 -               29     849       5     855       1     855    1494    +    8.1e-235  780.1  20.6  -
Oceanospirillaceae_Neptunomonas                  -          F0117_LKAP-FHGF1_A12_096 -               19     868       5     854       1     855    1484    +    1.3e-234  779.5  20.5  -
Alcanivoracaceae_Pseudohongiella                 -          F0117_LKAP-FHGF1_A12_096 -               27     866      11     854       1     855    1461    +    1.6e-234  779.2  20.6  -
Thermoleophilaceae_Thermoleophilum               -          F0117_LKAP-FHGF1_A12_096 -               12     870       5     855       1     855    1494    +    1.8e-234  778.9  20.5  -
Halieaceae_Haliea                                -          F0117_LKAP-FHGF1_A12_096 -               38     883       4     855       1     855    1500    +    2.3e-234  778.7  21.1  -
Halomonadaceae_Salinicola                        -          F0117_LKAP-FHGF1_A12_096 -               18     867       4     855       1     855    1471    +      1e-233  776.5  20.6  -
Hahellaceae_Kistimonas                           -          F0117_LKAP-FHGF1_A12_096 -               38     888       4     855       1     855    1506    +    1.2e-233  776.3  20.4  -
Methylococcaceae_Methylococcus                   -          F0117_LKAP-FHGF1_A12_096 -               39     874      11     855       1     855    1482    +    1.6e-233  775.8  21.0  -
Halieaceae_Parahaliea                            -          F0117_LKAP-FHGF1_A12_096 -               18     862       4     855       1     855    1498    +    2.4e-233  775.3  21.2  -
Cellvibrionaceae_Pseudomaricurvus                -          F0117_LKAP-FHGF1_A12_096 -               18     859       4     854       1     855    1490    +    5.1e-233  774.0  20.3  -
Halomonadaceae_Larsenimonas                      -          F0117_LKAP-FHGF1_A12_096 -               48     888      11     855       1     855    1495    +    6.2e-233  773.9  20.7  -
Methylococcaceae_Methylomicrobium                -          F0117_LKAP-FHGF1_A12_096 -               47     881      11     855       2     855    1467    +    2.9e-232  771.6  20.4  -
Oceanospirillaceae_Neptuniibacter                -          F0117_LKAP-FHGF1_A12_096 -               49     894       8     855       1     855    1541    +    4.1e-232  771.0  20.7  -
Methylococcaceae_Methylobacter                   -          F0117_LKAP-FHGF1_A12_096 -               47     881      11     855       2     855    1500    +    4.1e-232  771.0  20.7  -
Moraxellaceae_Moraxella                          -          F0117_LKAP-FHGF1_A12_096 -               20     851      12     855       1     855    1446    +    6.9e-232  770.5  20.5  -
Pseudomonadaceae_Azomonas                        -          F0117_LKAP-FHGF1_A12_096 -               10     851      11     855       4     855    1453    +    3.5e-231  768.1  20.6  -
Oceanospirillaceae_Reinekea                      -          F0117_LKAP-FHGF1_A12_096 -               37     871      11     855       1     855    1512    +    7.4e-231  766.9  20.2  -
Enterobacteriaceae_Mangrovibacter                -          F0117_LKAP-FHGF1_A12_096 -                2     816      39     855      38     855    1368    +      1e-230  766.6  20.1  -
Thorselliaceae_Thorsellia                        -          F0117_LKAP-FHGF1_A12_096 -                8     846      11     855       4     855    1421    +    1.1e-230  766.4  19.7  -
Thiotrichaceae_Leucothrix                        -          F0117_LKAP-FHGF1_A12_096 -               17     859       8     854       1     855    1445    +    1.1e-230  766.2  20.6  -
Hahellaceae_Zooshikella                          -          F0117_LKAP-FHGF1_A12_096 -               18     866       4     855       1     855    1483    +    1.3e-230  766.2  20.4  -
Pasteurellaceae_Actinobacillus                   -          F0117_LKAP-FHGF1_A12_096 -               27     869      11     855       1     855    1364    +    1.6e-230  766.1  20.2  -
Spongiibacteraceae_Zhongshania                   -          F0117_LKAP-FHGF1_A12_096 -               39     883       5     855       1     855    1501    +    2.4e-230  765.2  20.6  -
Pasteurellaceae_Haemophilus                      -          F0117_LKAP-FHGF1_A12_096 -               27     867      11     855       1     855    1450    +    1.9e-229  762.3  20.5  -
Gammaproteobacteria_Thiohalomonas                -          F0117_LKAP-FHGF1_A12_096 -               14     863       7     854       1     855    1483    +    2.6e-229  761.7  20.6  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          F0117_LKAP-FHGF1_A12_096 -               18     857      11     855       1     855    1438    +    2.8e-229  761.6  20.4  -
Thioalkalispiraceae_Thioprofundum                -          F0117_LKAP-FHGF1_A12_096 -               35     891      10     855       1     855    1537    +    5.4e-229  761.1  20.2  -
Lysobacteraceae_Luteimonas                       -          F0117_LKAP-FHGF1_A12_096 -               25     874       6     854       1     855    1490    +    1.8e-228  759.0  20.4  -
Lysobacteraceae_Lysobacter                       -          F0117_LKAP-FHGF1_A12_096 -               21     872       5     854       1     855    1475    +    1.9e-228  759.0  20.6  -
Oceanospirillaceae_Oleispira                     -          F0117_LKAP-FHGF1_A12_096 -               39     886       5     854       1     855    1500    +    3.1e-227  755.0  20.8  -
Pseudomonadaceae_Azotobacter                     -          F0117_LKAP-FHGF1_A12_096 -               27     870       6     855       1     855    1473    +    1.1e-226  753.4  20.9  -
Piscirickettsiaceae_Thiomicrospira               -          F0117_LKAP-FHGF1_A12_096 -               23     871       5     854       1     855    1466    +    2.4e-226  752.0  20.0  -
Moraxellaceae_Alkanindiges                       -          F0117_LKAP-FHGF1_A12_096 -               14     850      11     854       1     855    1396    +    2.5e-226  752.1  20.4  -
Pasteurellaceae_Gallibacterium                   -          F0117_LKAP-FHGF1_A12_096 -               27     870      11     855       1     855    1464    +    2.6e-226  752.1  20.4  -
Moraxellaceae_Psychrobacter                      -          F0117_LKAP-FHGF1_A12_096 -               27     865      11     855       1     855    1491    +    1.6e-225  749.4  20.4  -
Saccharospirillaceae_Saccharospirillum           -          F0117_LKAP-FHGF1_A12_096 -               21     862       6     855       1     855    1459    +    1.8e-225  749.3  20.0  -
Lysobacteraceae_Thermomonas                      -          F0117_LKAP-FHGF1_A12_096 -               19     869       5     854       1     855    1488    +    1.9e-225  749.2  20.4  -
Kangiellaceae_Kangiella                          -          F0117_LKAP-FHGF1_A12_096 -               35     880      11     855       2     855    1478    +    8.9e-225  746.9  20.1  -
Gammaproteobacteria_Sedimenticola                -          F0117_LKAP-FHGF1_A12_096 -               41     888      11     855       2     855    1540    +    9.2e-225  746.8  20.4  -
Chromatiaceae_Thiorhodococcus                    -          F0117_LKAP-FHGF1_A12_096 -                3     831       9     855       7     855    1426    +    1.8e-224  745.9  20.1  -
Methylococcaceae_Methylosarcina                  -          F0117_LKAP-FHGF1_A12_096 -               41     875      11     855       3     855    1515    +    2.4e-224  745.3  20.8  -
Moraxellaceae_Paraperlucidibaca                  -          F0117_LKAP-FHGF1_A12_096 -               67     862      58     854      38     855    1460    +    7.6e-224  743.7  21.0  -
Ferrimonadaceae_Paraferrimonas                   -          F0117_LKAP-FHGF1_A12_096 -               27     867      11     855       1     855    1463    +      1e-223  742.9  20.3  -
Lysobacteraceae_Arenimonas                       -          F0117_LKAP-FHGF1_A12_096 -               22     873       4     854       1     855    1490    +    1.5e-223  742.9  20.5  -
Hahellaceae_Allohahella                          -          F0117_LKAP-FHGF1_A12_096 -               35     881       2     855       1     855    1485    +    1.9e-223  742.6  21.2  -
Alcaligenaceae_Derxia                            -          F0117_LKAP-FHGF1_A12_096 -               79     878      53     854      33     855    1481    +    5.7e-223  741.1  21.1  -
Neisseriaceae_Neisseria                          -          F0117_LKAP-FHGF1_A12_096 -               41     882      11     854       1     855    1475    +    1.9e-222  739.3  20.4  -
Granulosicoccaceae_Granulosicoccus               -          F0117_LKAP-FHGF1_A12_096 -               27     868      11     853       2     855    1471    +    5.7e-222  737.7  20.4  -
Pasteurellaceae_Ursidibacter                     -          F0117_LKAP-FHGF1_A12_096 -               72     916      11     855       1     855    1409    +    7.5e-222  737.3  20.5  -
Oceanospirillaceae_Nitrincola                    -          F0117_LKAP-FHGF1_A12_096 -               33     872       7     854       1     855    1477    +    8.9e-222  736.9  20.6  -
Pasteurellaceae_Rodentibacter                    -          F0117_LKAP-FHGF1_A12_096 -               53     888      11     855       1     855    1478    +    3.2e-221  735.1  20.2  -
Chromatiaceae_Thiohalocapsa                      -          F0117_LKAP-FHGF1_A12_096 -               37     869      11     855       1     855    1436    +    4.3e-221  734.9  20.8  -
Pasteurellaceae_Mannheimia                       -          F0117_LKAP-FHGF1_A12_096 -               47     887      11     855       1     855    1504    +    8.2e-221  733.7  20.4  -
Rhodocyclaceae_Rhodocyclus                       -          F0117_LKAP-FHGF1_A12_096 -               27     864      11     855       1     855    1460    +    1.4e-220  733.1  20.7  -
Halothiobacillaceae_Halothiobacillus             -          F0117_LKAP-FHGF1_A12_096 -               47     890      11     855       1     855    1505    +    1.6e-220  732.8  20.3  -
Azonexaceae_Azonexus                             -          F0117_LKAP-FHGF1_A12_096 -               28     868      11     855       1     855    1474    +    2.1e-220  732.6  20.6  -
Lysobacteraceae_Silanimonas                      -          F0117_LKAP-FHGF1_A12_096 -               83     883      55     854      35     855    1493    +    2.2e-220  732.4  21.4  -
Cardiobacteriaceae_Suttonella                    -          F0117_LKAP-FHGF1_A12_096 -               28     868      11     855       1     855    1486    +    4.7e-220  731.5  20.5  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          F0117_LKAP-FHGF1_A12_096 -               44     879      11     855       1     855    1490    +    4.9e-220  731.2  20.9  -
Ectothiorhodospiraceae_Thiohalospira             -          F0117_LKAP-FHGF1_A12_096 -               13     830      36     855      22     855    1318    +    1.2e-219  730.0  20.4  -
Neisseriaceae_Vitreoscilla                       -          F0117_LKAP-FHGF1_A12_096 -               20     851      11     854       1     855    1457    +    1.7e-219  729.4  20.3  -
Sulfuricellaceae_Sulfuriferula                   -          F0117_LKAP-FHGF1_A12_096 -               27     865      11     854       4     855    1461    +    1.8e-219  729.3  20.4  -
Alcaligenaceae_Pusillimonas                      -          F0117_LKAP-FHGF1_A12_096 -                6     843      15     854      11     855    1446    +    2.3e-219  729.0  20.4  -
Pasteurellaceae_Bisgaardia                       -          F0117_LKAP-FHGF1_A12_096 -               35     882      11     855       1     855    1389    +    6.1e-219  727.7  20.3  -
Neisseriaceae_Kingella                           -          F0117_LKAP-FHGF1_A12_096 -               53     890      11     854       1     855    1474    +    6.8e-219  727.4  20.4  -
Alcaligenaceae_Advenella                         -          F0117_LKAP-FHGF1_A12_096 -                3     848       8     854       6     855    1428    +    8.1e-219  727.2  20.0  -
Rhodanobacteraceae_Frateuria                     -          F0117_LKAP-FHGF1_A12_096 -               48     890      11     854       1     855    1542    +    9.7e-219  726.8  20.7  -
