# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          A1b_forward          -                2     895       5     900       4     900    1468    +           0 1065.9  19.6  -
Thermoanaerobacterales    -          A1b_forward          -               11     903       3     900       2     900    1472    +    6.9e-207  685.1  20.3  -
Bacteriovoracaceae        -          A1b_forward          -                3     912       3     900       1     900    1473    +    2.1e-206  683.4  18.6  -
Bartonellaceae            -          A1b_forward          -                3     847       3     900       1     900    1410    +    2.2e-206  683.5  18.9  -
Deferribacteraceae        -          A1b_forward          -               10     914       3     900       1     900    1513    +    8.2e-206  681.4  18.9  -
Desulfarculaceae          -          A1b_forward          -               12     931       3     900       1     900    1516    +    1.3e-205  681.0  18.5  -
Haliangiaceae             -          A1b_forward          -               19     934       3     900       2     900    1507    +    2.5e-205  680.0  18.3  -
Micrococcaceae            -          A1b_forward          -               13     896       4     900       2     900    1476    +    3.6e-205  679.5  19.5  -
Woeseiaceae               -          A1b_forward          -               11     912       2     899       1     900    1476    +    7.8e-205  678.0  18.6  -
Halobacteriovoracaceae    -          A1b_forward          -                3     917       3     900       2     900    1480    +    8.6e-205  678.1  19.0  -
Flammeovirgaceae          -          A1b_forward          -                4     892       4     899       2     900    1446    +    8.9e-205  678.3  19.4  -
Spirochaetaceae           -          A1b_forward          -                9     910       3     900       2     900    1486    +    1.3e-204  677.7  18.9  -
Cohaesibacteraceae        -          A1b_forward          -               22     865       3     900       1     900    1425    +    2.4e-204  676.8  18.8  -
Synergistaceae            -          A1b_forward          -                3     877       3     900       2     900    1450    +    1.6e-203  673.9  20.9  -
Campylobacteraceae        -          A1b_forward          -                4     880       4     899       2     900    1429    +    1.8e-203  673.5  19.6  -
Lactobacillaceae          -          A1b_forward          -                6     945       3     900       2     900    1522    +    3.5e-203  672.9  19.0  -
Rickettsiaceae            -          A1b_forward          -                3     858       3     899       1     900    1430    +    3.6e-203  672.9  18.7  -
Leptospiraceae            -          A1b_forward          -                3     874       3     900       2     900    1431    +    4.8e-203  672.2  19.1  -
Streptomycetaceae         -          A1b_forward          -                3     881       3     900       1     900    1479    +    1.2e-202  671.2  19.8  -
Cytophagaceae             -          A1b_forward          -                6     887       4     899       2     900    1437    +    1.4e-202  670.8  19.6  -
Immundisolibacteraceae    -          A1b_forward          -               31     933       2     900       1     900    1555    +    7.3e-202  668.2  18.8  -
Syntrophobacteraceae      -          A1b_forward          -               12     927       4     900       2     900    1496    +    9.8e-202  668.2  19.0  -
Thermoactinomycetaceae    -          A1b_forward          -               11     916       3     900       2     900    1495    +    4.5e-201  666.0  19.0  -
Selenomonadaceae          -          A1b_forward          -               22     942       3     900       2     900    1531    +    6.9e-201  665.1  18.9  -
Brevibacteriaceae         -          A1b_forward          -               13     900       3     900       2     900    1487    +    8.9e-201  664.7  19.2  -
Erysipelotrichaceae       -          A1b_forward          -                9     898       4     900       2     900    1466    +    1.8e-200  663.9  19.3  -
Ventosimonadaceae         -          A1b_forward          -               29     931       2     900       1     900    1489    +    6.4e-200  661.7  18.8  -
Paenibacillaceae          -          A1b_forward          -                4     919       3     900       2     900    1493    +    3.2e-199  659.8  19.1  -
Bacillaceae               -          A1b_forward          -                3     920       3     900       2     900    1493    +    6.6e-199  658.7  19.0  -
Streptococcaceae          -          A1b_forward          -                9     923       3     900       2     900    1497    +    9.3e-199  658.2  19.3  -
Mycoplasmataceae          -          A1b_forward          -                1     885       6     899       6     900    1467    +    7.3e-198  655.4  18.9  -
Verrucomicrobiaceae       -          A1b_forward          -                4     904       3     899       2     900    1470    +    1.5e-197  654.4  19.1  -
Planococcaceae            -          A1b_forward          -                3     914       3     900       2     900    1491    +    1.6e-197  654.0  18.5  -
Desulfomicrobiaceae       -          A1b_forward          -               14     919       4     900       2     900    1495    +    2.9e-197  653.2  18.8  -
Polyangiaceae             -          A1b_forward          -               22     933       3     900       1     900    1548    +    8.4e-196  648.4  18.3  -
Patulibacteraceae         -          A1b_forward          -               23     914       3     900       2     900    1494    +    1.1e-195  647.8  18.7  -
Bernardetiaceae           -          A1b_forward          -                4     895       4     899       2     900    1481    +    1.2e-195  647.8  19.1  -
Desulfurellaceae          -          A1b_forward          -                9     923       3     900       1     900    1529    +      2e-195  646.9  18.3  -
Porphyromonadaceae        -          A1b_forward          -               12     908       4     900       2     900    1473    +      2e-195  647.2  19.4  -
Lysobacteriales           -          A1b_forward          -               30     927       2     899       1     900    1508    +    2.3e-195  646.9  18.9  -
Alicyclobacillaceae       -          A1b_forward          -               23     920       3     900       1     900    1512    +    2.9e-195  646.8  18.9  -
Parviterribacteraceae     -          A1b_forward          -                3     894       3     900       2     900    1456    +    1.3e-194  644.4  19.0  -
Microbacteriaceae         -          A1b_forward          -                6     889       3     900       2     900    1464    +    1.6e-194  644.0  19.4  -
Aerococcaceae             -          A1b_forward          -                3     916       3     899       2     900    1473    +    2.1e-194  643.8  18.8  -
Caldicoprobacteraceae     -          A1b_forward          -               19     913       3     900       2     900    1530    +    2.8e-194  643.2  19.9  -
Thermolithobacteraceae    -          A1b_forward          -               23     949       3     900       2     900    1546    +    1.4e-193  640.7  18.7  -
Halobacteroidaceae        -          A1b_forward          -               11     905       3     900       2     900    1478    +    1.7e-193  640.5  18.7  -
Puniceicoccaceae          -          A1b_forward          -               14     918       4     900       2     900    1485    +    2.3e-193  640.3  18.8  -
Carnobacteriaceae         -          A1b_forward          -                3     917       3     900       2     900    1496    +    2.4e-193  640.3  18.9  -
Calditrichaeota           -          A1b_forward          -               10     921       3     900       2     900    1483    +    2.7e-193  640.2  19.0  -
Rhodothermaceae           -          A1b_forward          -                3     894       3     900       2     900    1457    +    4.9e-193  639.2  19.4  -
Staphylococcaceae         -          A1b_forward          -                6     913       4     899       2     900    1479    +    1.1e-192  638.1  18.8  -
Holophagaceae             -          A1b_forward          -               23     920       4     900       2     900    1502    +    1.1e-192  638.2  19.0  -
Cytophagales              -          A1b_forward          -                4     892       4     899       2     900    1444    +    3.1e-192  636.6  18.9  -
Pseudonocardiaceae        -          A1b_forward          -                9     889       3     900       1     900    1475    +    3.2e-192  636.5  19.9  -
Hymenobacteraceae         -          A1b_forward          -                4     885       4     900       2     900    1445    +    4.3e-192  636.2  19.6  -
Cyclobacteriaceae         -          A1b_forward          -                4     894       4     899       2     900    1447    +    5.1e-192  635.9  19.3  -
Corynebacteriaceae        -          A1b_forward          -                2     887       3     900       2     900    1459    +    8.6e-192  634.9  19.1  -
Nocardiaceae              -          A1b_forward          -                3     880       3     900       1     900    1472    +    1.2e-191  634.7  19.9  -
Intrasporangiaceae        -          A1b_forward          -                3     887       3     900       2     900    1461    +    1.2e-191  634.5  19.7  -
Chitinophagaceae          -          A1b_forward          -                5     897       4     899       2     900    1458    +    1.4e-191  634.6  18.6  -
Algiphilaceae             -          A1b_forward          -               22     917       2     900       1     900    1501    +    1.9e-191  633.5  18.9  -
Heliobacteriaceae         -          A1b_forward          -               20     900       3     900       2     900    1500    +      2e-191  633.9  19.5  -
Bryobacteraceae           -          A1b_forward          -               24     880       5     900       2     900    1417    +    1.5e-190  631.0  19.7  -
Nocardioidaceae           -          A1b_forward          -                3     882       3     900       2     900    1455    +    1.9e-190  630.7  19.7  -
Cystobacteraceae          -          A1b_forward          -                3     912       3     900       1     900    1491    +    3.1e-190  629.9  18.5  -
Corynebacterineae         -          A1b_forward          -                3     879       3     900       2     900    1473    +    3.5e-190  629.8  20.1  -
Cellulomonadaceae         -          A1b_forward          -                7     889       3     900       2     900    1465    +    4.4e-190  629.5  19.8  -
Acidimicrobiaceae         -          A1b_forward          -               23     903       3     900       2     900    1464    +    4.8e-190  629.4  19.9  -
Desulfonatronaceae        -          A1b_forward          -                4     914       4     900       2     900    1495    +    1.5e-189  627.6  19.1  -
Myxococcaceae             -          A1b_forward          -               17     928       3     900       1     900    1517    +    6.6e-189  625.4  18.7  -
Sporomusaceae             -          A1b_forward          -               22     934       3     900       2     900    1535    +    8.3e-189  624.9  19.0  -
Actinomycetaceae          -          A1b_forward          -                3     913       3     900       2     900    1468    +      3e-188  623.4  19.0  -
Cryomorphaceae            -          A1b_forward          -               10     903       4     900       2     900    1454    +    3.4e-188  623.2  19.0  -
Fusobacteriaceae          -          A1b_forward          -               21     885       4     899       2     900    1458    +    4.5e-188  622.8  19.5  -
Marinilabiliaceae         -          A1b_forward          -                4     896       4     900       2     900    1447    +    1.1e-187  621.1  19.1  -
Haliscomenobacteraceae    -          A1b_forward          -               24     914       4     899       2     900    1485    +    1.2e-187  621.9  18.6  -
Sporolactobacillaceae     -          A1b_forward          -                3     911       3     900       2     900    1503    +    2.3e-187  620.4  18.8  -
Kineosporiaceae           -          A1b_forward          -               11     887       3     900       2     900    1463    +    2.7e-187  620.3  19.9  -
Thermomonosporaceae       -          A1b_forward          -                3     880       3     900       1     900    1464    +    5.5e-187  619.1  19.1  -
Enterococcaceae           -          A1b_forward          -                3     922       3     900       1     900    1498    +    6.6e-187  618.9  18.6  -
Dehalococcoidaceae        -          A1b_forward          -                4     870       4     900       2     900    1437    +    2.3e-186  617.5  19.7  -
Rikenellaceae             -          A1b_forward          -               12     908       4     900       2     900    1456    +    4.3e-186  616.2  18.2  -
Salinibacteraceae         -          A1b_forward          -               28     924       3     900       2     900    1497    +    5.6e-186  615.9  18.7  -
Lewinellaceae             -          A1b_forward          -                4     891       4     899       1     900    1446    +    7.4e-186  615.5  18.2  -
Micromonosporaceae        -          A1b_forward          -               17     895       3     900       2     900    1482    +    8.9e-186  615.2  19.9  -
Frankiaceae               -          A1b_forward          -               24     893       3     900       2     900    1499    +    2.2e-185  614.0  18.7  -
Crocinitomicaceae         -          A1b_forward          -                4     901       4     900       2     900    1466    +    2.6e-185  613.4  18.5  -
Tsukamurellaceae          -          A1b_forward          -               22     899       3     900       1     900    1495    +      5e-185  612.7  20.0  -
Halanaerobiaceae          -          A1b_forward          -               11     934       3     900       1     900    1503    +    6.2e-185  612.2  19.0  -
Gallionellaceae           -          A1b_forward          -               19     915       2     899       1     900    1385    +    9.9e-185  611.6  18.9  -
Propionibacteriaceae      -          A1b_forward          -                7     887       3     900       2     900    1462    +    1.2e-184  611.5  19.5  -
Prolixibacteraceae        -          A1b_forward          -                4     893       4     900       2     900    1444    +    1.9e-184  610.7  19.6  -
Streptosporangiaceae      -          A1b_forward          -                3     876       3     900       2     900    1464    +    2.1e-184  610.4  19.7  -
Promicromonosporaceae     -          A1b_forward          -                3     881       3     900       2     900    1462    +    2.2e-184  610.5  19.8  -
Leuconostocaceae          -          A1b_forward          -                2     918       6     900       5     900    1479    +    2.3e-184  610.5  18.7  -
Saprospiraceae            -          A1b_forward          -               15     904       4     899       2     900    1430    +    3.1e-184  610.5  19.1  -
Listeriaceae              -          A1b_forward          -                4     900      17     900      14     900    1448    +    3.6e-184  610.0  18.7  -
Catenulisporaceae         -          A1b_forward          -                3     879       3     900       2     900    1460    +    1.2e-183  608.1  20.1  -
Nakamurellaceae           -          A1b_forward          -                3     880       3     900       2     900    1462    +    1.9e-183  607.4  19.7  -
Mycobacteriaceae          -          A1b_forward          -                8     889       3     900       2     900    1471    +      2e-183  607.3  19.9  -
Oscillatoriales           -          A1b_forward          -                4     851       4     900       2     900    1445    +    2.5e-183  607.2  19.2  -
Sterolibacteriaceae       -          A1b_forward          -               17     921       2     899       1     900    1531    +    2.5e-183  607.0  18.9  -
Sanguibacteraceae         -          A1b_forward          -               20     901       3     900       2     900    1483    +    1.1e-182  604.9  19.9  -
Persicobacteraceae        -          A1b_forward          -                4     893       4     899       2     900    1448    +    1.2e-182  604.9  19.1  -
Geodermatophilaceae       -          A1b_forward          -               16     896       3     900       1     900    1479    +    1.3e-182  604.7  19.9  -
Peptoniphilaceae          -          A1b_forward          -                1     864      25     899      25     900    1437    +    1.3e-182  604.9  19.3  -
Dermacoccaceae            -          A1b_forward          -                2     882       5     900       4     900    1456    +    1.6e-182  604.2  19.8  -
Thermaceae                -          A1b_forward          -               14     885       4     900       2     900    1477    +    1.6e-182  604.5  19.4  -
Bogoriellaceae            -          A1b_forward          -                3     889       3     900       2     900    1470    +    1.7e-182  604.3  19.0  -
Rubrobacteraceae          -          A1b_forward          -                3     908       3     900       2     900    1495    +    1.7e-182  604.3  18.6  -
Acholeplasmataceae        -          A1b_forward          -                1     879       9     896       9     900    1437    +    1.9e-182  604.0  19.2  -
Actinomycetales           -          A1b_forward          -               23     917       3     900       2     900    1535    +    2.1e-182  603.9  19.7  -
Micrococcales             -          A1b_forward          -                3     882       3     900       2     900    1475    +    2.8e-182  603.6  19.8  -
Demequinaceae             -          A1b_forward          -                3     884       3     900       2     900    1478    +    3.5e-182  603.2  20.0  -
Desulfurobacteriaceae     -          A1b_forward          -                3     927       3     900       1     900    1497    +    4.2e-182  603.3  18.8  -
Dermatophilaceae          -          A1b_forward          -                8     887       3     900       2     900    1480    +    5.7e-182  602.5  19.8  -
Thermodesulfobiaceae      -          A1b_forward          -               19     904       3     900       2     900    1520    +    5.8e-182  602.5  19.3  -
