# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     927       2     933    1474    +           0 1046.9  17.5  -
Chromatiaceae             -          B0306_LKAP-FHGF1_A06_048 -               24     929       6     927       2     933    1455    +    4.9e-257  851.4  17.5  -
Oceanospirillales         -          B0306_LKAP-FHGF1_A06_048 -               30     944       6     926       2     933    1489    +    1.6e-256  849.5  17.3  -
Pseudomonadaceae          -          B0306_LKAP-FHGF1_A06_048 -               30     942       5     925       2     933    1491    +    2.9e-255  845.4  17.1  -
Cellvibrionaceae          -          B0306_LKAP-FHGF1_A06_048 -               24     937       6     925       2     933    1472    +    4.9e-254  841.4  17.3  -
Alcanivoracaceae          -          B0306_LKAP-FHGF1_A06_048 -               44     959       6     927       2     933    1504    +    1.6e-252  836.3  17.1  -
Celerinatantimonadaceae   -          B0306_LKAP-FHGF1_A06_048 -               19     947       6     927       2     933    1433    +    1.9e-252  836.2  17.5  -
Pasteurellaceae           -          B0306_LKAP-FHGF1_A06_048 -               24     941       6     927       2     933    1422    +    5.8e-252  834.5  17.5  -
Piscirickettsiaceae       -          B0306_LKAP-FHGF1_A06_048 -               26     943       6     927       2     933    1466    +    8.3e-252  833.9  17.3  -
Methylococcaceae          -          B0306_LKAP-FHGF1_A06_048 -               38     947       6     927       2     933    1481    +    1.6e-247  819.7  17.2  -
Succinivibrionaceae       -          B0306_LKAP-FHGF1_A06_048 -               27     917       6     927       2     933    1473    +    1.3e-246  816.7  17.7  -
Lysobacteraceae           -          B0306_LKAP-FHGF1_A06_048 -               25     942       6     927       2     933    1484    +    4.9e-246  814.9  17.4  -
Orbaceae                  -          B0306_LKAP-FHGF1_A06_048 -               51     964       6     927       2     933    1539    +    2.7e-245  812.3  17.4  -
Hahellaceae               -          B0306_LKAP-FHGF1_A06_048 -               24     936       6     925       2     932    1473    +      4e-245  811.9  17.5  -
Halothiobacillaceae       -          B0306_LKAP-FHGF1_A06_048 -               41     958       6     927       2     933    1500    +    2.7e-244  809.1  17.2  -
Thermoleophilaceae        -          B0306_LKAP-FHGF1_A06_048 -               17     939       6     925       2     932    1494    +    1.2e-242  803.6  17.4  -
Halieaceae                -          B0306_LKAP-FHGF1_A06_048 -               32     940       6     927       2     933    1484    +    3.4e-242  802.0  17.2  -
Ectothiorhodospiraceae    -          B0306_LKAP-FHGF1_A06_048 -               31     946       6     927       2     933    1463    +    3.5e-242  802.2  17.3  -
Thioalkalispiraceae       -          B0306_LKAP-FHGF1_A06_048 -               36     958       6     927       2     933    1479    +    4.1e-242  801.8  17.2  -
Halomonadaceae            -          B0306_LKAP-FHGF1_A06_048 -               23     939       5     927       2     933    1466    +    2.5e-241  799.2  17.2  -
Microbulbiferaceae        -          B0306_LKAP-FHGF1_A06_048 -               24     931       6     925       2     933    1480    +      7e-241  797.9  17.0  -
Moraxellaceae             -          B0306_LKAP-FHGF1_A06_048 -               21     931       6     927       2     933    1468    +    7.9e-241  797.8  17.3  -
Kangiellaceae             -          B0306_LKAP-FHGF1_A06_048 -               33     952       6     927       2     933    1479    +    2.1e-240  796.2  17.3  -
Spongiibacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               26     937       5     927       2     933    1462    +    2.8e-239  792.3  17.0  -
Litoricolaceae            -          B0306_LKAP-FHGF1_A06_048 -               31     943       5     924       2     931    1474    +    2.6e-238  789.4  17.6  -
Saccharospirillaceae      -          B0306_LKAP-FHGF1_A06_048 -               25     930       6     924       2     931    1468    +    8.3e-238  787.6  17.5  -
Chromobacteriaceae        -          B0306_LKAP-FHGF1_A06_048 -               22     932       5     927       2     933    1460    +    8.4e-236  781.1  17.2  -
Legionellaceae            -          B0306_LKAP-FHGF1_A06_048 -               20     938       6     927       2     933    1446    +    4.9e-232  768.6  17.2  -
Cardiobacteriaceae        -          B0306_LKAP-FHGF1_A06_048 -               32     944       6     927       2     933    1464    +    7.4e-232  768.2  17.2  -
Coxiellaceae              -          B0306_LKAP-FHGF1_A06_048 -               24     947       6     927       2     933    1475    +    5.9e-231  764.9  17.7  -
Thiotrichaceae            -          B0306_LKAP-FHGF1_A06_048 -               24     896       6     927       2     933    1421    +      7e-231  764.6  16.3  -
Rhodocyclaceae            -          B0306_LKAP-FHGF1_A06_048 -               23     937       5     927       2     933    1484    +    1.4e-230  763.6  17.4  -
Granulosicoccaceae        -          B0306_LKAP-FHGF1_A06_048 -               24     941       6     927       3     933    1471    +    6.5e-230  761.5  17.3  -
Neisseriaceae             -          B0306_LKAP-FHGF1_A06_048 -               37     954       5     927       2     933    1477    +    1.8e-229  760.1  17.2  -
Rhodanobacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               25     942       6     927       2     933    1473    +    1.5e-228  757.0  17.5  -
Nevskiaceae               -          B0306_LKAP-FHGF1_A06_048 -               33     934       6     927       2     933    1470    +    4.5e-228  755.6  17.0  -
Burkholderiaceae          -          B0306_LKAP-FHGF1_A06_048 -               23     933       5     927       2     933    1482    +    7.1e-228  754.8  17.3  -
Alcaligenaceae            -          B0306_LKAP-FHGF1_A06_048 -               23     936       5     927       2     933    1467    +    3.7e-225  745.8  16.9  -
Rhodospirillaceae         -          B0306_LKAP-FHGF1_A06_048 -               26     886       6     925       2     933    1429    +    1.3e-223  740.8  16.8  -
Hydrogenophilaceae        -          B0306_LKAP-FHGF1_A06_048 -               23     935       5     927       2     933    1461    +    3.5e-223  739.3  17.2  -
Sulfuricellaceae          -          B0306_LKAP-FHGF1_A06_048 -               24     938       5     927       3     933    1463    +    4.1e-223  739.0  16.9  -
Sutterellaceae            -          B0306_LKAP-FHGF1_A06_048 -               23     937       5     927       2     933    1487    +    4.7e-223  738.6  17.3  -
Thiotrichales             -          B0306_LKAP-FHGF1_A06_048 -               44     959       6     927       3     933    1519    +    5.3e-223  738.2  16.9  -
Arenicellaceae            -          B0306_LKAP-FHGF1_A06_048 -               24     934       6     927       3     933    1488    +    2.2e-222  736.6  17.0  -
Methylophilaceae          -          B0306_LKAP-FHGF1_A06_048 -                6     924       5     927       3     933    1431    +    3.7e-222  735.9  17.0  -
Oxalobacteraceae          -          B0306_LKAP-FHGF1_A06_048 -               23     935       5     927       2     933    1459    +    5.1e-220  728.8  17.3  -
Acidiferrobacteraceae     -          B0306_LKAP-FHGF1_A06_048 -               64     931      54     927      31     933    1454    +    5.6e-219  725.3  16.8  -
Burkholderiales           -          B0306_LKAP-FHGF1_A06_048 -               23     934       5     927       2     933    1463    +    3.9e-217  719.1  17.4  -
Francisellaceae           -          B0306_LKAP-FHGF1_A06_048 -               34     941       6     927       3     933    1508    +    6.4e-217  718.4  16.9  -
Salinisphaeraceae         -          B0306_LKAP-FHGF1_A06_048 -               11     925       5     927       2     933    1429    +      1e-216  717.8  17.6  -
Azonexaceae               -          B0306_LKAP-FHGF1_A06_048 -               24     939       5     927       2     933    1474    +    2.5e-216  716.6  17.3  -
Nitrosomonadaceae         -          B0306_LKAP-FHGF1_A06_048 -               23     936       5     927       2     933    1461    +      9e-216  714.8  17.3  -
Geobacteraceae            -          B0306_LKAP-FHGF1_A06_048 -               32     959       6     925       2     933    1487    +      4e-214  709.1  17.3  -
Desulfovibrionaceae       -          B0306_LKAP-FHGF1_A06_048 -               39     962       6     927       2     933    1527    +    1.5e-213  707.2  17.1  -
Deltaproteobacteria       -          B0306_LKAP-FHGF1_A06_048 -               40     971       6     926       2     933    1514    +    1.6e-213  707.2  17.1  -
Hyphomicrobiaceae         -          B0306_LKAP-FHGF1_A06_048 -               24     882       6     925       2     933    1427    +    1.8e-213  707.0  16.8  -
Desulfobacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               37     970       6     925       2     933    1516    +    6.6e-212  701.8  17.2  -
Comamonadaceae            -          B0306_LKAP-FHGF1_A06_048 -               23     933       5     927       2     933    1466    +    1.4e-211  700.5  17.3  -
Rhodobiaceae              -          B0306_LKAP-FHGF1_A06_048 -               34     889       6     924       2     933    1440    +    3.3e-211  699.7  16.5  -
Thermithiobacillaceae     -          B0306_LKAP-FHGF1_A06_048 -                9     919       6     927       3     933    1419    +    3.3e-211  699.5  17.4  -
Syntrophaceae             -          B0306_LKAP-FHGF1_A06_048 -               41     971       6     927       2     933    1551    +    1.5e-210  697.3  17.0  -
Thiobacilliaceae          -          B0306_LKAP-FHGF1_A06_048 -               42     954       5     927       2     933    1517    +    5.7e-210  695.4  17.3  -
Zoogloeaceae              -          B0306_LKAP-FHGF1_A06_048 -               30     942       5     927       2     933    1474    +    6.9e-210  695.1  17.4  -
Alphaproteobacteria       -          B0306_LKAP-FHGF1_A06_048 -               24     880       6     925       2     933    1409    +      2e-209  693.9  17.1  -
Clostridiaceae            -          B0306_LKAP-FHGF1_A06_048 -               38     926       6     924       2     932    1485    +    2.2e-209  693.3  17.3  -
Acetobacteraceae          -          B0306_LKAP-FHGF1_A06_048 -               29     888       6     925       2     933    1438    +    1.6e-208  690.8  16.9  -
Syntrophomonadaceae       -          B0306_LKAP-FHGF1_A06_048 -               41     966       6     927       2     933    1515    +    8.2e-208  688.0  17.5  -
Desulfuromonadaceae       -          B0306_LKAP-FHGF1_A06_048 -               41     968       6     924       2     933    1518    +      9e-208  688.1  17.4  -
Eubacteriaceae            -          B0306_LKAP-FHGF1_A06_048 -               38     937       6     924       2     932    1485    +    9.4e-208  688.0  17.9  -
Desulfobulbaceae          -          B0306_LKAP-FHGF1_A06_048 -               25     955       6     927       2     933    1483    +    1.5e-207  687.3  16.9  -
Methylocystaceae          -          B0306_LKAP-FHGF1_A06_048 -               35     891       6     924       2     932    1424    +    1.6e-207  687.4  16.6  -
Acidithiobacillaceae      -          B0306_LKAP-FHGF1_A06_048 -               23     931       6     927       2     933    1457    +    1.9e-207  686.9  17.3  -
Clostridiales             -          B0306_LKAP-FHGF1_A06_048 -               31     930       6     924       2     931    1470    +    2.6e-207  686.5  17.6  -
Sneathiellaceae           -          B0306_LKAP-FHGF1_A06_048 -               29     894       6     924       2     932    1427    +    2.9e-207  686.5  16.1  -
Desulfohalobiaceae        -          B0306_LKAP-FHGF1_A06_048 -               30     966       6     927       2     933    1509    +    1.4e-206  684.2  17.3  -
Methylothermaceae         -          B0306_LKAP-FHGF1_A06_048 -               45     961       6     927       2     933    1491    +    2.3e-206  683.4  17.4  -
Sphingomonadaceae         -          B0306_LKAP-FHGF1_A06_048 -               31     887       6     924       2     933    1434    +      1e-204  678.3  15.6  -
Wenzhouxiangellaceae      -          B0306_LKAP-FHGF1_A06_048 -               24     945       6     927       2     933    1472    +    6.5e-203  671.8  16.9  -
Syntrophobacteraceae      -          B0306_LKAP-FHGF1_A06_048 -               32     961       6     925       2     933    1496    +    1.9e-202  670.6  17.2  -
Bdellovibrionaceae        -          B0306_LKAP-FHGF1_A06_048 -               20     909       6     927       3     933    1430    +    2.5e-202  670.0  16.2  -
Rhizobiales               -          B0306_LKAP-FHGF1_A06_048 -               29     889       3     924       1     932    1438    +    5.2e-202  669.2  17.0  -
Xanthobacteraceae         -          B0306_LKAP-FHGF1_A06_048 -               24     877       6     924       2     932    1415    +    1.9e-201  667.3  16.7  -
Peptococcaceae            -          B0306_LKAP-FHGF1_A06_048 -               31     923       6     924       2     933    1479    +    2.3e-201  666.7  17.8  -
Rhizobiaceae              -          B0306_LKAP-FHGF1_A06_048 -               24     878       6     924       2     932    1422    +    6.2e-201  665.5  16.8  -
Hyphomonadaceae           -          B0306_LKAP-FHGF1_A06_048 -               24     879       6     924       2     932    1400    +    8.1e-201  665.3  16.2  -
Rhodobacteraceae          -          B0306_LKAP-FHGF1_A06_048 -               24     881       6     924       2     931    1402    +    2.1e-200  663.8  16.6  -
Phyllobacteriaceae        -          B0306_LKAP-FHGF1_A06_048 -               24     878       6     924       2     932    1424    +    1.1e-199  661.5  16.7  -
Erythrobacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               25     881       6     924       2     932    1433    +    7.9e-199  658.7  15.7  -
Ruminococcaceae           -          B0306_LKAP-FHGF1_A06_048 -               24     929       6     925       2     932    1457    +    1.5e-198  657.4  17.5  -
Anaplasmataceae           -          B0306_LKAP-FHGF1_A06_048 -               35     915       6     928       2     933    1441    +    6.4e-198  655.7  16.7  -
Acidobacteria             -          B0306_LKAP-FHGF1_A06_048 -               44     970       6     926       2     933    1505    +    1.9e-197  654.4  17.4  -
Brucellaceae              -          B0306_LKAP-FHGF1_A06_048 -               29     882       6     924       2     932    1411    +    1.9e-196  650.7  16.9  -
Aurantimonadaceae         -          B0306_LKAP-FHGF1_A06_048 -               41     896       6     924       2     932    1442    +    3.1e-196  650.1  16.4  -
Deferribacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               31     950       6     927       2     932    1513    +      1e-195  648.0  17.2  -
Desulfomicrobiaceae       -          B0306_LKAP-FHGF1_A06_048 -               34     955       6     927       2     933    1495    +    4.2e-195  646.0  17.0  -
Methylobacteriaceae       -          B0306_LKAP-FHGF1_A06_048 -               23     881       5     924       2     932    1426    +      7e-195  645.4  17.2  -
Holophagaceae             -          B0306_LKAP-FHGF1_A06_048 -               74     954      55     925      33     933    1502    +    1.2e-194  644.8  17.1  -
Thermoanaerobacteraceae   -          B0306_LKAP-FHGF1_A06_048 -               30     936       6     926       2     932    1492    +      2e-194  643.7  18.7  -
Peptostreptococcaceae     -          B0306_LKAP-FHGF1_A06_048 -               24     911       6     924       2     930    1441    +    6.5e-194  642.0  17.6  -
Kordiimonadaceae          -          B0306_LKAP-FHGF1_A06_048 -               24     890       6     924       1     933    1421    +    1.9e-193  640.8  17.1  -
Bacillaceae               -          B0306_LKAP-FHGF1_A06_048 -               21     955       5     926       1     933    1493    +    2.7e-193  640.2  17.3  -
Nautiliaceae              -          B0306_LKAP-FHGF1_A06_048 -               24     903       6     923       2     926    1431    +    3.3e-193  640.1  18.2  -
Desulfarculaceae          -          B0306_LKAP-FHGF1_A06_048 -               80     965      55     925      25     933    1516    +    4.6e-193  639.4  16.7  -
Beijerinckiaceae          -          B0306_LKAP-FHGF1_A06_048 -               37     892       6     924       2     932    1421    +      5e-193  639.2  17.3  -
Lachnospiraceae           -          B0306_LKAP-FHGF1_A06_048 -               24     928       6     925       2     932    1469    +    1.7e-192  637.4  17.6  -
Kiloniellaceae            -          B0306_LKAP-FHGF1_A06_048 -               43     908       6     924       2     933    1450    +    2.9e-192  636.6  16.9  -
Streptomycetaceae         -          B0306_LKAP-FHGF1_A06_048 -               24     915       6     925       2     933    1479    +    4.5e-192  636.2  17.9  -
Bacteroidaceae            -          B0306_LKAP-FHGF1_A06_048 -               33     949       6     925       2     930    1480    +    9.9e-192  634.9  17.5  -
Bradyrhizobiaceae         -          B0306_LKAP-FHGF1_A06_048 -               24     884       6     927       2     933    1428    +    1.7e-191  634.1  16.6  -
Bacillales                -          B0306_LKAP-FHGF1_A06_048 -               31     960       6     924       2     932    1503    +    2.1e-191  633.9  18.0  -
Caulobacteraceae          -          B0306_LKAP-FHGF1_A06_048 -               24     879       6     924       2     932    1415    +    1.4e-190  631.2  16.3  -
Micrococcaceae            -          B0306_LKAP-FHGF1_A06_048 -               33     932       6     927       2     933    1476    +    2.1e-190  630.6  17.5  -
Thermoactinomycetaceae    -          B0306_LKAP-FHGF1_A06_048 -               32     949       6     924       2     931    1495    +    2.9e-190  630.3  17.6  -
Lactobacillaceae          -          B0306_LKAP-FHGF1_A06_048 -               29     980       8     926       3     932    1522    +    3.6e-190  629.8  17.3  -
Synergistaceae            -          B0306_LKAP-FHGF1_A06_048 -               24     913       6     927       2     931    1450    +    4.6e-190  629.4  18.6  -
Haliangiaceae             -          B0306_LKAP-FHGF1_A06_048 -               40     968       6     925       2     933    1507    +    7.5e-190  628.8  17.5  -
Thermoanaerobacterales    -          B0306_LKAP-FHGF1_A06_048 -               31     937       5     925       2     932    1472    +    2.1e-189  627.2  18.4  -
Spirochaetaceae           -          B0306_LKAP-FHGF1_A06_048 -               32     944       8     925       3     930    1486    +      2e-188  624.1  17.7  -
Verrucomicrobiaceae       -          B0306_LKAP-FHGF1_A06_048 -               26     941       7     927       2     933    1470    +    6.2e-188  622.5  17.7  -
Paenibacillaceae          -          B0306_LKAP-FHGF1_A06_048 -               24     952       5     924       2     930    1493    +    6.9e-187  618.9  18.0  -
Selenomonadaceae          -          B0306_LKAP-FHGF1_A06_048 -               43     975       6     924       2     932    1531    +    2.7e-186  616.8  17.3  -
Alicyclobacillaceae       -          B0306_LKAP-FHGF1_A06_048 -               45     953       7     924       2     930    1512    +    3.3e-186  616.9  18.0  -
Oleiphilaceae             -          B0306_LKAP-FHGF1_A06_048 -               33     938       6     928       2     934    1437    +    8.6e-186  615.1  16.7  -
Bacteriovoracaceae        -          B0306_LKAP-FHGF1_A06_048 -               24     945       6     924       2     932    1473    +    9.5e-186  615.0  17.3  -
Halobacteriovoracaceae    -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     924       2     933    1480    +    1.4e-185  614.5  16.9  -
Helicobacteraceae         -          B0306_LKAP-FHGF1_A06_048 -               43     916       6     924       2     929    1473    +    1.5e-185  614.1  16.4  -
Rubrobacteraceae          -          B0306_LKAP-FHGF1_A06_048 -               26     944       8     927       3     933    1495    +    1.9e-185  614.1  17.7  -
Patulibacteraceae         -          B0306_LKAP-FHGF1_A06_048 -               44     948       6     925       2     933    1494    +    2.1e-185  613.7  17.5  -
Chelatococcaceae          -          B0306_LKAP-FHGF1_A06_048 -               35     890       6     924       2     933    1439    +      1e-184  611.9  17.1  -
Spirillaceae              -          B0306_LKAP-FHGF1_A06_048 -               39     959       5     927       2     933    1447    +    1.7e-184  611.1  17.1  -
Desulfonatronaceae        -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     927       2     933    1495    +      3e-184  610.1  17.2  -
Bartonellaceae            -          B0306_LKAP-FHGF1_A06_048 -               24     880       6     924       2     933    1410    +    3.9e-184  609.8  16.6  -
Planococcaceae            -          B0306_LKAP-FHGF1_A06_048 -               24     947       6     924       2     931    1491    +      6e-184  609.1  17.8  -
Polyangiaceae             -          B0306_LKAP-FHGF1_A06_048 -               43     967       6     925       2     933    1548    +      8e-184  608.7  17.2  -
Heliobacteriaceae         -          B0306_LKAP-FHGF1_A06_048 -               41     934       6     925       2     933    1500    +    2.5e-183  607.1  17.6  -
Cystobacteraceae          -          B0306_LKAP-FHGF1_A06_048 -               24     946       6     925       2     933    1491    +    2.6e-183  607.0  17.0  -
Erysipelotrichaceae       -          B0306_LKAP-FHGF1_A06_048 -               29     931       6     924       2     932    1466    +    2.7e-183  607.1  18.3  -
Brevibacteriaceae         -          B0306_LKAP-FHGF1_A06_048 -               34     936       6     927       2     933    1487    +      4e-183  606.3  17.4  -
Cohaesibacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               67     898      45     924      17     933    1425    +    4.1e-183  606.5  15.9  -
Nitrospiraceae            -          B0306_LKAP-FHGF1_A06_048 -               30     924       6     927       2     933    1479    +    7.9e-183  605.4  16.3  -
Aerococcaceae             -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     924       2     930    1473    +    8.2e-183  605.4  17.8  -
Fusobacteriaceae          -          B0306_LKAP-FHGF1_A06_048 -               41     920       6     925       3     932    1458    +    1.2e-182  604.9  17.4  -
Pseudonocardiaceae        -          B0306_LKAP-FHGF1_A06_048 -               30     925       6     927       2     933    1475    +    1.8e-182  604.3  17.8  -
Parvularculaceae          -          B0306_LKAP-FHGF1_A06_048 -               44     899       6     924       2     932    1428    +    2.2e-182  604.3  16.6  -
Immundisolibacteraceae    -          B0306_LKAP-FHGF1_A06_048 -               53     970       6     928       2     935    1555    +    5.2e-182  602.5  17.2  -
Rickettsiaceae            -          B0306_LKAP-FHGF1_A06_048 -               24     893       6     925       3     931    1430    +      1e-181  601.8  16.2  -
Solirubrobacteraceae      -          B0306_LKAP-FHGF1_A06_048 -                8     926       6     925       3     933    1443    +    1.5e-181  601.1  17.8  -
Thermolithobacteraceae    -          B0306_LKAP-FHGF1_A06_048 -               44     983       6     925       2     933    1546    +    1.5e-181  600.9  17.5  -
Carnobacteriaceae         -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     924       2     932    1496    +    2.1e-181  600.7  17.8  -
Myxococcaceae             -          B0306_LKAP-FHGF1_A06_048 -               38     962       6     925       2     933    1517    +    2.3e-181  600.5  17.1  -
Campylobacteraceae        -          B0306_LKAP-FHGF1_A06_048 -               24     914       6     924       2     929    1429    +    3.5e-181  599.7  17.1  -
Propionibacteriaceae      -          B0306_LKAP-FHGF1_A06_048 -               28     923       6     927       2     933    1462    +    8.9e-181  598.7  17.4  -
Streptococcaceae          -          B0306_LKAP-FHGF1_A06_048 -               30     956       6     924       2     930    1497    +    2.6e-180  597.1  17.6  -
Microbacteriaceae         -          B0306_LKAP-FHGF1_A06_048 -               27     925       6     927       2     933    1464    +    2.6e-180  597.0  17.5  -
Staphylococcaceae         -          B0306_LKAP-FHGF1_A06_048 -               26     947       6     924       2     931    1479    +      3e-180  596.9  17.3  -
Leptospiraceae            -          B0306_LKAP-FHGF1_A06_048 -               55     908      54     925      33     929    1431    +    3.8e-180  596.4  16.0  -
Oscillatoriales           -          B0306_LKAP-FHGF1_A06_048 -               24     887       6     927       2     933    1445    +    7.1e-180  595.8  16.4  -
Veillonellaceae           -          B0306_LKAP-FHGF1_A06_048 -                2     936       6     924       5     932    1450    +    1.7e-179  594.2  17.6  -
Rhodothermaceae           -          B0306_LKAP-FHGF1_A06_048 -               24     931       6     928       2     933    1457    +      4e-179  593.2  17.0  -
Nocardiaceae              -          B0306_LKAP-FHGF1_A06_048 -               24     916       6     927       2     933    1472    +    4.9e-179  592.9  17.9  -
Nakamurellaceae           -          B0306_LKAP-FHGF1_A06_048 -               24     916       6     927       2     933    1462    +      5e-179  592.8  17.4  -
Intrasporangiaceae        -          B0306_LKAP-FHGF1_A06_048 -               24     923       6     927       2     933    1461    +    6.7e-179  592.4  17.8  -
Acidimicrobiaceae         -          B0306_LKAP-FHGF1_A06_048 -               44     939       6     927       2     933    1464    +    8.7e-179  592.2  17.8  -
Sporolactobacillaceae     -          B0306_LKAP-FHGF1_A06_048 -               24     945       6     925       2     932    1503    +      1e-178  591.7  17.6  -
Porticoccaceae            -          B0306_LKAP-FHGF1_A06_048 -               32     942       6     928       2     934    1497    +    2.6e-178  590.3  16.8  -
Flavobacteriaceae         -          B0306_LKAP-FHGF1_A06_048 -               23     935       6     925       2     929    1451    +      3e-178  590.2  17.6  -
Actinomycetaceae          -          B0306_LKAP-FHGF1_A06_048 -               24     949       6     927       2     933    1468    +    5.1e-178  589.5  17.6  -
Calditrichaeota           -          B0306_LKAP-FHGF1_A06_048 -               31     957       6     927       2     933    1483    +    7.1e-178  589.2  17.2  -
Halanaerobiaceae          -          B0306_LKAP-FHGF1_A06_048 -               32     970       6     927       3     933    1503    +    7.2e-178  588.8  17.5  -
Flammeovirgaceae          -          B0306_LKAP-FHGF1_A06_048 -               24     927       6     925       2     929    1446    +      1e-177  588.7  17.5  -
Mycoplasmataceae          -          B0306_LKAP-FHGF1_A06_048 -               19     918       6     923       3     929    1467    +    7.6e-177  585.8  17.1  -
Ventosimonadaceae         -          B0306_LKAP-FHGF1_A06_048 -               51     967       6     927       2     934    1489    +    1.5e-176  584.4  17.1  -
Tsukamurellaceae          -          B0306_LKAP-FHGF1_A06_048 -               43     935       6     927       2     933    1495    +    1.9e-176  584.3  17.6  -
Micromonosporaceae        -          B0306_LKAP-FHGF1_A06_048 -               38     931       6     927       2     933    1482    +    2.7e-176  583.8  17.5  -
Mycobacteriaceae          -          B0306_LKAP-FHGF1_A06_048 -               29     925       6     927       2     933    1471    +    4.4e-176  583.0  17.6  -
Nocardioidaceae           -          B0306_LKAP-FHGF1_A06_048 -               24     918       6     927       2     933    1455    +    8.5e-176  582.2  17.9  -
Leuconostocaceae          -          B0306_LKAP-FHGF1_A06_048 -               20     951       6     924       2     930    1479    +    8.5e-176  582.2  17.4  -
Listeriaceae              -          B0306_LKAP-FHGF1_A06_048 -               12     933       7     924       3     932    1448    +      1e-175  582.0  17.4  -
Corynebacteriaceae        -          B0306_LKAP-FHGF1_A06_048 -               23     923       6     927       2     933    1459    +    1.2e-175  581.5  17.7  -
Geodermatophilaceae       -          B0306_LKAP-FHGF1_A06_048 -               37     932       6     927       2     933    1479    +    1.6e-175  581.3  17.8  -
Acidaminococcaceae        -          B0306_LKAP-FHGF1_A06_048 -               31     957       6     925       2     933    1504    +    1.6e-175  580.8  16.9  -
