# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_A11_095_2018_2 -                9     914       7     912       2     912    1468    +           0 1071.8  21.6  -
Azonexaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               22     918      15     908       4     912    1474    +    2.6e-226  749.7  20.4  -
Clostridiales             -          LKAP-TSAKG2_A11_095_2018_2 -               34     916      20     912       6     912    1470    +    3.9e-226  748.9  20.7  -
Syntrophomonadaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               44     949      20     912       6     912    1515    +      3e-225  745.8  20.8  -
Rhodobacteraceae          -          LKAP-TSAKG2_A11_095_2018_2 -               15     867      10     912       3     912    1402    +    9.2e-225  744.5  20.6  -
Orbaceae                  -          LKAP-TSAKG2_A11_095_2018_2 -               41     947       9     912       3     912    1539    +    9.3e-225  744.2  21.2  -
Thorselliaceae            -          LKAP-TSAKG2_A11_095_2018_2 -                1     892      21     912      21     912    1419    +    2.9e-224  742.6  20.3  -
Desulfovibrionaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               42     945      20     912       6     912    1527    +    3.1e-224  742.6  20.6  -
Desulfobacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               40     955      20     912       6     912    1516    +    3.4e-224  742.4  20.4  -
Hyphomonadaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               12     865       7     912       3     912    1400    +    1.1e-223  741.0  20.9  -
Methylocystaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               25     877       9     912       3     912    1424    +      2e-223  740.1  21.2  -
Deltaproteobacteria       -          LKAP-TSAKG2_A11_095_2018_2 -               43     955      20     912       6     912    1514    +    3.9e-223  739.0  20.3  -
Phyllobacteriaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               12     864       7     912       2     912    1424    +    4.1e-223  739.1  21.4  -
Rhizobiales               -          LKAP-TSAKG2_A11_095_2018_2 -               21     875       6     912       3     912    1438    +    2.7e-222  736.4  21.4  -
Ruminococcaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               27     914      20     912       5     912    1457    +    6.7e-222  734.8  21.2  -
Desulfohalobiaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               33     949      20     912       6     912    1509    +    6.6e-221  731.6  20.4  -
Nautiliaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               21     890      16     912       4     912    1431    +    8.8e-221  731.5  20.7  -
Methylothermaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               39     944      13     912       4     912    1491    +    9.6e-221  731.0  20.9  -
Rhizobiaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               12     864       7     912       2     912    1422    +    3.9e-220  729.1  21.3  -
Xanthobacteraceae         -          LKAP-TSAKG2_A11_095_2018_2 -               12     863       7     912       2     912    1415    +    4.8e-220  728.9  21.2  -
Syntrophaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               44     954      20     912       6     912    1551    +    6.1e-220  728.3  20.5  -
Desulfobulbaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               28     938      20     912       6     912    1483    +    9.7e-220  727.6  20.4  -
Aurantimonadaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               30     882       8     912       3     912    1442    +      2e-219  726.9  21.0  -
Peptococcaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               34     909      20     912       5     912    1479    +    7.3e-219  724.7  21.7  -
Sneathiellaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               20     880      10     912       3     912    1427    +    4.5e-218  722.3  21.1  -
Kiloniellaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               31     894       7     912       2     912    1450    +    9.5e-218  721.0  20.9  -
Sphingomonadaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               29     873      17     912       4     912    1434    +    1.8e-216  717.2  20.1  -
Helicobacteraceae         -          LKAP-TSAKG2_A11_095_2018_2 -               46     902      20     912       6     912    1473    +    2.9e-216  715.9  20.3  -
Geobacteraceae            -          LKAP-TSAKG2_A11_095_2018_2 -               35     944      20     912       5     912    1487    +      3e-216  716.1  20.1  -
Beijerinckiaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               28     878      10     912       3     912    1421    +    1.6e-215  713.8  21.2  -
Lachnospiraceae           -          LKAP-TSAKG2_A11_095_2018_2 -               27     913      20     912       5     912    1469    +      3e-215  712.7  21.5  -
Methylobacteriaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               14     867       9     912       3     912    1426    +    2.2e-214  710.1  20.8  -
Anaplasmataceae           -          LKAP-TSAKG2_A11_095_2018_2 -               28     897      12     912       4     912    1441    +    2.4e-214  710.1  20.4  -
Thermoanaerobacteraceae   -          LKAP-TSAKG2_A11_095_2018_2 -               33     920      20     912       6     912    1492    +      3e-214  709.3  20.9  -
Spirillaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               37     939      15     909       5     912    1447    +    7.8e-214  708.4  20.5  -
Bradyrhizobiaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               13     867       8     912       2     912    1428    +    1.4e-213  707.3  21.0  -
Desulfuromonadaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               44     954      20     912       5     912    1518    +    2.2e-212  703.4  20.4  -
Brucellaceae              -          LKAP-TSAKG2_A11_095_2018_2 -               18     868       8     912       3     912    1411    +      3e-212  703.1  21.3  -
Bdellovibrionaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               23     892      20     912       6     912    1430    +    9.1e-212  701.3  20.8  -
Parvularculaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               35     885      10     912       3     912    1428    +    1.2e-211  701.3  20.7  -
Erythrobacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               28     867      20     912       4     912    1433    +    1.5e-210  697.5  20.0  -
Caulobacteraceae          -          LKAP-TSAKG2_A11_095_2018_2 -               15     865      10     912       3     912    1415    +    5.3e-210  695.5  20.6  -
Porticoccaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               23     924      10     912       2     912    1497    +    8.6e-210  694.5  20.8  -
Oleiphilaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               24     920      10     912       2     912    1437    +    1.3e-209  693.9  21.2  -
Peptostreptococcaceae     -          LKAP-TSAKG2_A11_095_2018_2 -               27     897      20     912       5     912    1441    +    2.2e-209  693.3  20.6  -
Acidobacteria             -          LKAP-TSAKG2_A11_095_2018_2 -               47     954      20     912       7     912    1505    +    2.5e-209  693.7  20.3  -
Thermoanaerobacterales    -          LKAP-TSAKG2_A11_095_2018_2 -               33     922      19     912       5     912    1472    +    3.1e-209  692.9  21.7  -
Bacillales                -          LKAP-TSAKG2_A11_095_2018_2 -               35     946      21     912       7     912    1503    +    4.6e-209  692.4  20.3  -
Spirochaetaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               30     929      17     912       6     912    1486    +    1.6e-208  690.7  20.2  -
Flavobacteriaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               14     920      10     912       4     912    1451    +      2e-208  690.1  21.0  -
Bacteroidaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               27     934      13     912       5     912    1480    +    2.5e-208  689.8  20.6  -
Nitrospiraceae            -          LKAP-TSAKG2_A11_095_2018_2 -               33     907      20     912       7     912    1479    +    1.3e-207  687.5  20.0  -
Bacteriovoracaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               27     928      20     909       6     912    1473    +    6.2e-207  685.2  20.2  -
Chelatococcaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               25     876       9     912       3     912    1439    +      1e-206  684.8  20.8  -
Flammeovirgaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               20     912      15     912       5     912    1446    +    2.6e-206  683.4  20.8  -
Leptospiraceae            -          LKAP-TSAKG2_A11_095_2018_2 -               26     893      19     912       7     912    1431    +    3.1e-206  682.9  20.3  -
Bartonellaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               14     866       9     912       3     912    1410    +    5.1e-206  682.3  20.8  -
Kordiimonadaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               27     876      20     912       4     912    1421    +    6.3e-206  682.2  20.2  -
Desulfarculaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               25     950      11     912       3     912    1516    +    1.8e-205  680.5  20.6  -
Haliangiaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               34     953      13     912       6     912    1507    +    3.1e-205  679.7  19.8  -
Micrococcaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               29     915      15     912       4     912    1476    +      6e-205  678.8  21.0  -
Deferribacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               34     932      20     911       5     912    1513    +      1e-204  677.8  20.6  -
Cohaesibacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               33     884       9     912       2     912    1425    +      1e-204  678.1  20.7  -
Lactobacillaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               30     964      20     912       5     912    1522    +    1.1e-204  677.9  20.6  -
Synergistaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               27     895      20     911       5     912    1450    +    1.4e-204  677.4  22.5  -
Cytophagaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               19     907      12     912       4     912    1437    +    3.5e-204  676.2  21.2  -
Woeseiaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               36     932      20     912       3     912    1476    +    2.4e-203  673.1  20.5  -
Halobacteriovoracaceae    -          LKAP-TSAKG2_A11_095_2018_2 -               27     933      20     909       6     912    1480    +    5.5e-203  672.1  20.5  -
Campylobacteraceae        -          LKAP-TSAKG2_A11_095_2018_2 -               27     900      20     912       5     912    1429    +    5.9e-203  671.8  20.9  -
Bacillaceae               -          LKAP-TSAKG2_A11_095_2018_2 -               24     939      20     912       4     912    1493    +    6.8e-203  671.9  20.6  -
Immundisolibacteraceae    -          LKAP-TSAKG2_A11_095_2018_2 -               46     952      12     912       3     912    1555    +    1.3e-202  670.7  20.8  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_A11_095_2018_2 -               35     935      20     912       6     912    1495    +    2.1e-202  670.5  20.5  -
Rickettsiaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               20     878      15     912       6     912    1430    +    2.8e-202  670.0  20.1  -
Erysipelotrichaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               32     917      20     912       6     912    1466    +    3.6e-202  669.6  20.9  -
Syntrophobacteraceae      -          LKAP-TSAKG2_A11_095_2018_2 -               35     946      20     912       6     912    1496    +    7.8e-202  668.5  20.5  -
Selenomonadaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               46     961      20     912       5     912    1531    +    9.8e-202  667.9  20.5  -
Ventosimonadaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               42     950      10     912       2     912    1489    +    1.1e-201  667.5  21.0  -
Streptomycetaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               20     900      15     912       4     912    1479    +    4.1e-201  666.1  21.5  -
Paenibacillaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               28     938      20     912       5     912    1493    +      8e-201  665.1  20.7  -
Streptococcaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               33     942      20     912       5     912    1497    +    2.6e-200  663.4  20.8  -
Brevibacteriaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               37     919      20     912       5     912    1487    +    2.7e-200  663.1  20.6  -
Mycoplasmataceae          -          LKAP-TSAKG2_A11_095_2018_2 -               23     905      21     912       6     912    1467    +    5.5e-200  662.4  20.5  -
Verrucomicrobiaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               28     924      20     912       6     912    1470    +    4.6e-198  656.0  20.7  -
Planococcaceae            -          LKAP-TSAKG2_A11_095_2018_2 -               27     933      20     912       6     912    1491    +    4.9e-198  655.7  20.1  -
Polyangiaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               46     952      20     912       9     912    1548    +    3.9e-197  652.8  19.6  -
Desulfomicrobiaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               37     938      20     912       6     912    1495    +    1.7e-196  650.7  20.2  -
Alicyclobacillaceae       -          LKAP-TSAKG2_A11_095_2018_2 -               47     939      20     912       6     912    1512    +    1.9e-196  650.8  20.5  -
Aerococcaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               27     936      20     912       5     912    1473    +    4.9e-196  649.2  20.4  -
Puniceicoccaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               38     937      21     912       8     912    1485    +    5.9e-196  648.9  19.9  -
Caldicoprobacteraceae     -          LKAP-TSAKG2_A11_095_2018_2 -               43     932      20     912       6     912    1530    +    6.6e-196  648.7  21.3  -
Lysobacteriales           -          LKAP-TSAKG2_A11_095_2018_2 -               53     947      19     912       4     912    1508    +    1.7e-195  647.3  20.7  -
Bernardetiaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               17     915      12     912       6     912    1481    +    2.3e-195  646.9  20.6  -
Porphyromonadaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               26     927      13     912       8     912    1473    +      7e-195  645.4  20.4  -
Carnobacteriaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               27     936      20     912       4     912    1496    +    1.4e-194  644.4  20.5  -
Cytophagales              -          LKAP-TSAKG2_A11_095_2018_2 -               16     912      11     912       5     912    1444    +    1.5e-194  644.3  20.3  -
Hymenobacteraceae         -          LKAP-TSAKG2_A11_095_2018_2 -               27     904      20     912       4     912    1445    +    1.7e-194  644.1  21.2  -
Desulfurellaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               33     942      20     912       6     912    1529    +    3.7e-194  642.7  19.9  -
Staphylococcaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               29     933      20     912       5     912    1479    +    4.6e-194  642.7  20.3  -
Patulibacteraceae         -          LKAP-TSAKG2_A11_095_2018_2 -               47     933      20     912       6     912    1494    +    5.2e-194  642.2  20.1  -
Microbacteriaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               23     908      15     912       4     912    1464    +      7e-194  641.9  20.9  -
Parviterribacteraceae     -          LKAP-TSAKG2_A11_095_2018_2 -               27     913      20     912       5     912    1456    +    3.8e-193  639.5  20.6  -
Thermolithobacteraceae    -          LKAP-TSAKG2_A11_095_2018_2 -               47     968      20     912       6     912    1546    +    4.8e-193  639.0  20.1  -
Chitinophagaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               18     917      12     912       4     912    1458    +    6.6e-193  639.1  20.2  -
Calditrichaeota           -          LKAP-TSAKG2_A11_095_2018_2 -               34     940      20     912       6     912    1483    +    9.6e-193  638.4  20.5  -
Halobacteroidaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               35     924      20     912       6     912    1478    +    1.6e-192  637.3  20.2  -
Holophagaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               77     939      68     912      47     912    1502    +    2.1e-192  637.3  20.0  -
Heliobacteriaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               44     919      20     912       5     912    1500    +      4e-192  636.2  20.9  -
Cyclobacteriaceae         -          LKAP-TSAKG2_A11_095_2018_2 -               18     914      13     912       5     912    1447    +    1.1e-191  634.8  20.7  -
Algiphilaceae             -          LKAP-TSAKG2_A11_095_2018_2 -               36     935      11     911       2     912    1501    +    1.3e-191  634.2  20.9  -
Pseudonocardiaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               26     908      15     912       4     912    1475    +    1.3e-191  634.5  21.4  -
Intrasporangiaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               19     906      14     912       3     912    1461    +    2.5e-191  633.5  21.2  -
Bryobacteraceae           -          LKAP-TSAKG2_A11_095_2018_2 -               46     899      20     912       6     912    1417    +    5.9e-191  632.4  21.1  -
Fusobacteriaceae          -          LKAP-TSAKG2_A11_095_2018_2 -               37     905      15     912       5     912    1458    +    7.2e-191  632.1  20.9  -
Rhodothermaceae           -          LKAP-TSAKG2_A11_095_2018_2 -               17     913      12     912       4     912    1457    +    9.9e-191  631.6  21.3  -
Corynebacteriaceae        -          LKAP-TSAKG2_A11_095_2018_2 -               20     906      16     912       5     912    1459    +    1.1e-190  631.3  20.4  -
