# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0516_LKAP-FHGF1_D07_057 -               24     963       6     938       2     938    1474    +           0 1083.8  18.5  -
Xanthobacteraceae         -          A0516_LKAP-FHGF1_D07_057 -               24     893       6     938       3     938    1415    +    5.1e-216  715.6  17.9  -
Rhodobacteraceae          -          A0516_LKAP-FHGF1_D07_057 -               24     897       6     938       3     938    1402    +    1.1e-215  714.4  17.1  -
Hyphomonadaceae           -          A0516_LKAP-FHGF1_D07_057 -               24     895       6     938       3     938    1400    +    1.4e-215  714.2  17.4  -
Ruminococcaceae           -          A0516_LKAP-FHGF1_D07_057 -               24     944       6     938       3     938    1457    +    1.4e-214  710.6  18.0  -
Phyllobacteriaceae        -          A0516_LKAP-FHGF1_D07_057 -               24     894       6     938       3     938    1424    +    5.6e-214  708.8  18.0  -
Rhizobiaceae              -          A0516_LKAP-FHGF1_D07_057 -               24     894       6     938       3     938    1422    +    1.1e-213  707.8  17.9  -
Acidobacteria             -          A0516_LKAP-FHGF1_D07_057 -               44     984       6     938       3     938    1505    +    1.1e-213  708.2  18.5  -
Erythrobacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               25     897       6     938       3     938    1433    +      2e-213  707.1  17.1  -
Syntrophobacteraceae      -          A0516_LKAP-FHGF1_D07_057 -               32     976       6     938       3     938    1496    +    4.8e-213  705.7  18.4  -
Aurantimonadaceae         -          A0516_LKAP-FHGF1_D07_057 -               41     912       6     938       3     938    1442    +    8.8e-210  695.0  17.7  -
Kordiimonadaceae          -          A0516_LKAP-FHGF1_D07_057 -               24     906       6     938       3     938    1421    +    9.3e-210  694.9  17.5  -
Beijerinckiaceae          -          A0516_LKAP-FHGF1_D07_057 -               37     908       6     938       3     938    1421    +    6.6e-209  691.9  17.9  -
Brucellaceae              -          A0516_LKAP-FHGF1_D07_057 -               29     898       6     938       3     938    1411    +    1.5e-208  690.9  18.0  -
Bradyrhizobiaceae         -          A0516_LKAP-FHGF1_D07_057 -               24     897       6     938       3     938    1428    +    2.6e-208  689.9  17.9  -
Thermoanaerobacteraceae   -          A0516_LKAP-FHGF1_D07_057 -               30     950       6     938       3     938    1492    +    3.4e-208  689.3  18.2  -
Methylobacteriaceae       -          A0516_LKAP-FHGF1_D07_057 -               23     897       5     938       2     938    1426    +    1.3e-207  687.6  17.9  -
Peptostreptococcaceae     -          A0516_LKAP-FHGF1_D07_057 -               24     927       6     938       3     938    1441    +    1.6e-207  687.1  18.3  -
Lachnospiraceae           -          A0516_LKAP-FHGF1_D07_057 -               24     943       6     938       3     938    1469    +    1.9e-207  687.0  18.0  -
Kiloniellaceae            -          A0516_LKAP-FHGF1_D07_057 -               43     924       6     938       3     938    1450    +    5.4e-207  685.4  17.6  -
Bacteroidaceae            -          A0516_LKAP-FHGF1_D07_057 -               33     964       6     938       3     938    1480    +    7.3e-207  685.0  18.3  -
Bacillales                -          A0516_LKAP-FHGF1_D07_057 -               31     976       6     938       3     938    1503    +    5.6e-206  682.3  18.3  -
Desulfarculaceae          -          A0516_LKAP-FHGF1_D07_057 -               33     980       6     938       3     938    1516    +    1.8e-205  680.6  18.0  -
Bacillaceae               -          A0516_LKAP-FHGF1_D07_057 -               22     969       6     938       2     938    1493    +    3.9e-205  679.4  18.1  -
Verrucomicrobiaceae       -          A0516_LKAP-FHGF1_D07_057 -               26     954       7     938       3     938    1470    +      1e-204  678.1  18.5  -
Desulfomicrobiaceae       -          A0516_LKAP-FHGF1_D07_057 -               34     968       6     938       3     938    1495    +    1.1e-204  677.8  18.4  -
Synergistaceae            -          A0516_LKAP-FHGF1_D07_057 -               24     926       6     938       3     938    1450    +    1.6e-204  677.3  19.5  -
Streptomycetaceae         -          A0516_LKAP-FHGF1_D07_057 -               24     930       6     938       3     938    1479    +    1.7e-204  677.4  18.7  -
Haliangiaceae             -          A0516_LKAP-FHGF1_D07_057 -               40     983       6     938       3     938    1507    +    2.5e-204  676.8  18.6  -
Deferribacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               31     962       6     937       3     938    1513    +      8e-204  674.9  19.0  -
Helicobacteraceae         -          A0516_LKAP-FHGF1_D07_057 -               43     932       6     938       3     938    1473    +    1.6e-203  673.6  16.7  -
Nautiliaceae              -          A0516_LKAP-FHGF1_D07_057 -               24     920       6     938       3     938    1431    +    4.2e-203  672.9  17.6  -
Selenomonadaceae          -          A0516_LKAP-FHGF1_D07_057 -               43     991       6     938       3     938    1531    +    4.2e-203  672.5  18.0  -
Micrococcaceae            -          A0516_LKAP-FHGF1_D07_057 -               33     945       6     938       3     938    1476    +    5.2e-203  672.4  18.2  -
Holophagaceae             -          A0516_LKAP-FHGF1_D07_057 -               77     969      60     938      42     938    1502    +    9.5e-203  671.6  18.6  -
Caulobacteraceae          -          A0516_LKAP-FHGF1_D07_057 -               24     895       6     938       3     938    1415    +    1.4e-202  670.9  17.1  -
Paenibacillaceae          -          A0516_LKAP-FHGF1_D07_057 -               25     968       6     938       2     938    1493    +    2.4e-202  670.2  18.5  -
Lactobacillaceae          -          A0516_LKAP-FHGF1_D07_057 -               27     994       6     938       3     938    1522    +    4.9e-202  669.1  18.1  -
Thermoanaerobacterales    -          A0516_LKAP-FHGF1_D07_057 -               31     952       5     938       3     938    1472    +      6e-201  665.5  18.8  -
Thermoactinomycetaceae    -          A0516_LKAP-FHGF1_D07_057 -               32     965       6     938       3     938    1495    +    1.1e-200  664.8  18.5  -
Spirochaetaceae           -          A0516_LKAP-FHGF1_D07_057 -               32     959       8     938       3     938    1486    +    1.6e-200  664.1  19.0  -
Spirillaceae              -          A0516_LKAP-FHGF1_D07_057 -               39     972       5     938       3     938    1447    +    2.2e-200  663.8  18.1  -
Patulibacteraceae         -          A0516_LKAP-FHGF1_D07_057 -               45     963       7     938       4     938    1494    +    3.6e-200  662.7  18.3  -
Bacteriovoracaceae        -          A0516_LKAP-FHGF1_D07_057 -               24     961       6     938       3     938    1473    +    7.2e-200  661.8  18.3  -
Heliobacteriaceae         -          A0516_LKAP-FHGF1_D07_057 -               41     949       6     938       3     938    1500    +    8.9e-200  661.6  18.2  -
Chelatococcaceae          -          A0516_LKAP-FHGF1_D07_057 -               35     906       6     938       3     938    1439    +    2.1e-199  660.6  17.7  -
Alicyclobacillaceae       -          A0516_LKAP-FHGF1_D07_057 -               45     969       7     938       4     938    1512    +    2.5e-199  660.4  18.9  -
Bartonellaceae            -          A0516_LKAP-FHGF1_D07_057 -               24     896       6     938       3     938    1410    +    4.8e-199  659.2  17.9  -
Cystobacteraceae          -          A0516_LKAP-FHGF1_D07_057 -               24     961       6     938       3     938    1491    +      1e-198  658.0  18.1  -
Campylobacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               24     930       6     938       3     938    1429    +    4.6e-198  655.6  17.5  -
Brevibacteriaceae         -          A0516_LKAP-FHGF1_D07_057 -               34     949       6     938       3     938    1487    +    1.6e-197  654.0  17.9  -
Myxococcaceae             -          A0516_LKAP-FHGF1_D07_057 -               38     977       6     938       3     938    1517    +    3.6e-197  652.8  18.1  -
Planococcaceae            -          A0516_LKAP-FHGF1_D07_057 -               24     963       6     938       3     938    1491    +    6.1e-197  652.2  18.2  -
Halobacteriovoracaceae    -          A0516_LKAP-FHGF1_D07_057 -               24     966       6     938       3     938    1480    +    1.5e-196  650.8  18.5  -
Veillonellaceae           -          A0516_LKAP-FHGF1_D07_057 -                2     952       6     938       5     938    1450    +    1.5e-196  650.7  18.4  -
Erysipelotrichaceae       -          A0516_LKAP-FHGF1_D07_057 -               30     947       7     938       4     938    1466    +    4.1e-196  649.6  19.1  -
Parvularculaceae          -          A0516_LKAP-FHGF1_D07_057 -               44     915       6     938       3     938    1428    +    8.1e-196  648.9  17.3  -
Thermolithobacteraceae    -          A0516_LKAP-FHGF1_D07_057 -               44     998       6     938       3     938    1546    +    2.5e-195  646.6  18.1  -
Rickettsiaceae            -          A0516_LKAP-FHGF1_D07_057 -               24     908       6     938       3     938    1430    +    5.5e-195  645.8  17.0  -
Cohaesibacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               74     914      56     938      35     938    1425    +    6.1e-195  645.7  17.9  -
Oscillatoriales           -          A0516_LKAP-FHGF1_D07_057 -               24     900       6     938       3     938    1445    +    9.4e-195  645.1  17.3  -
Fusobacteriaceae          -          A0516_LKAP-FHGF1_D07_057 -               41     935       6     938       3     938    1458    +    1.6e-194  644.2  18.4  -
Streptococcaceae          -          A0516_LKAP-FHGF1_D07_057 -               30     972       6     938       3     938    1497    +    1.7e-194  644.1  18.0  -
Rubrobacteraceae          -          A0516_LKAP-FHGF1_D07_057 -               65     957      56     938      33     938    1495    +    1.8e-194  644.0  19.2  -
Aerococcaceae             -          A0516_LKAP-FHGF1_D07_057 -               24     966       6     938       3     938    1473    +    1.9e-194  644.0  18.0  -
Pseudonocardiaceae        -          A0516_LKAP-FHGF1_D07_057 -               30     938       6     938       3     938    1475    +    2.6e-194  643.5  18.7  -
Flavobacteriaceae         -          A0516_LKAP-FHGF1_D07_057 -               23     950       6     938       2     938    1451    +      4e-194  642.8  18.3  -
Propionibacteriaceae      -          A0516_LKAP-FHGF1_D07_057 -               28     936       6     938       3     938    1462    +    5.6e-194  642.4  18.6  -
Carnobacteriaceae         -          A0516_LKAP-FHGF1_D07_057 -               24     966       6     938       3     938    1496    +    9.1e-194  641.7  18.5  -
Microbacteriaceae         -          A0516_LKAP-FHGF1_D07_057 -               27     938       6     938       3     938    1464    +      1e-193  641.5  17.8  -
Polyangiaceae             -          A0516_LKAP-FHGF1_D07_057 -               43     982       6     938       3     938    1548    +    1.1e-193  641.5  18.6  -
Desulfonatronaceae        -          A0516_LKAP-FHGF1_D07_057 -               24     963       6     938       3     938    1495    +    1.5e-193  640.9  18.7  -
Leptospiraceae            -          A0516_LKAP-FHGF1_D07_057 -               54     923      55     938      35     938    1431    +    1.9e-193  640.5  18.6  -
Intrasporangiaceae        -          A0516_LKAP-FHGF1_D07_057 -               24     936       6     938       3     938    1461    +    2.2e-193  640.4  18.0  -
Rhodothermaceae           -          A0516_LKAP-FHGF1_D07_057 -               24     943       6     938       3     938    1457    +    2.6e-193  640.2  18.5  -
Nocardiaceae              -          A0516_LKAP-FHGF1_D07_057 -               24     929       6     938       3     938    1472    +    6.1e-193  639.0  18.8  -
Oleiphilaceae             -          A0516_LKAP-FHGF1_D07_057 -               33     950       6     938       2     938    1437    +    7.8e-193  638.5  18.5  -
Staphylococcaceae         -          A0516_LKAP-FHGF1_D07_057 -               26     963       6     938       3     938    1479    +    7.8e-193  638.6  18.0  -
Acidimicrobiaceae         -          A0516_LKAP-FHGF1_D07_057 -               44     952       6     938       3     938    1464    +    9.2e-193  638.5  17.8  -
Nitrospiraceae            -          A0516_LKAP-FHGF1_D07_057 -               30     937       6     938       3     938    1479    +    2.8e-192  636.7  17.3  -
Halanaerobiaceae          -          A0516_LKAP-FHGF1_D07_057 -               32     983       6     938       3     938    1503    +    3.6e-192  636.2  18.4  -
Flammeovirgaceae          -          A0516_LKAP-FHGF1_D07_057 -               24     942       6     938       3     938    1446    +    1.1e-191  635.0  18.5  -
Solirubrobacteraceae      -          A0516_LKAP-FHGF1_D07_057 -               50     941      55     938      30     938    1443    +      2e-191  633.8  19.1  -
Immundisolibacteraceae    -          A0516_LKAP-FHGF1_D07_057 -               53     982       6     938       3     938    1555    +    7.7e-191  631.7  18.3  -
Actinomycetaceae          -          A0516_LKAP-FHGF1_D07_057 -               24     962       6     938       3     938    1468    +    2.9e-190  630.1  17.9  -
Sporolactobacillaceae     -          A0516_LKAP-FHGF1_D07_057 -               24     960       6     938       3     938    1503    +      2e-189  627.3  18.2  -
Porticoccaceae            -          A0516_LKAP-FHGF1_D07_057 -               32     954       6     938       2     938    1497    +    3.1e-189  626.5  18.7  -
Leuconostocaceae          -          A0516_LKAP-FHGF1_D07_057 -               20     967       6     938       3     938    1479    +    3.9e-189  626.4  18.1  -
Corynebacteriaceae        -          A0516_LKAP-FHGF1_D07_057 -               23     936       6     938       3     938    1459    +      4e-189  626.2  17.9  -
Mycoplasmataceae          -          A0516_LKAP-FHGF1_D07_057 -               20     935       7     938       4     938    1467    +    6.3e-189  625.8  18.4  -
Parviterribacteraceae     -          A0516_LKAP-FHGF1_D07_057 -               67     943      56     938      31     938    1456    +      8e-189  625.2  18.6  -
Halobacteroidaceae        -          A0516_LKAP-FHGF1_D07_057 -               32     954       6     938       3     938    1478    +    1.1e-188  624.6  18.6  -
Nakamurellaceae           -          A0516_LKAP-FHGF1_D07_057 -               24     929       6     938       3     938    1462    +    2.3e-188  623.7  18.8  -
Salinibacteraceae         -          A0516_LKAP-FHGF1_D07_057 -               49     973       6     938       3     938    1497    +    3.9e-188  623.1  18.3  -
Nocardioidaceae           -          A0516_LKAP-FHGF1_D07_057 -               24     931       6     938       3     938    1455    +    3.9e-188  623.1  18.7  -
Tsukamurellaceae          -          A0516_LKAP-FHGF1_D07_057 -               43     948       6     938       3     938    1495    +    6.1e-188  622.4  18.5  -
Sporomusaceae             -          A0516_LKAP-FHGF1_D07_057 -               43     983       6     938       3     938    1535    +    9.4e-188  621.5  18.2  -
Acidaminococcaceae        -          A0516_LKAP-FHGF1_D07_057 -               31     972       6     938       3     938    1504    +    1.1e-187  621.1  18.2  -
Corynebacterineae         -          A0516_LKAP-FHGF1_D07_057 -               24     928       6     938       3     938    1473    +    1.2e-187  621.5  18.4  -
Mycobacteriaceae          -          A0516_LKAP-FHGF1_D07_057 -               29     938       6     938       3     938    1471    +    1.2e-187  621.3  19.1  -
