# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_A10_080.seq -               27     976       6     957       2     958    1474    +           0 1110.4  20.0  -
Syntrophaceae             -          LKAP.g-Gut1_A10_080.seq -               56     997      22     957       4     958    1551    +      6e-221  731.7  19.4  -
Desulfobulbaceae          -          LKAP.g-Gut1_A10_080.seq -               38     981      20     957       4     958    1483    +    1.4e-220  730.5  19.7  -
Clostridiales             -          LKAP.g-Gut1_A10_080.seq -               34     959       6     957       3     958    1470    +    6.2e-220  728.4  19.9  -
Desulfuromonadaceae       -          LKAP.g-Gut1_A10_080.seq -               50     996      16     956       3     958    1518    +    8.1e-220  728.1  19.7  -
Clostridiaceae            -          LKAP.g-Gut1_A10_080.seq -               41     955       6     957       3     958    1485    +    8.8e-220  727.8  19.7  -
Acidithiobacillaceae      -          LKAP.g-Gut1_A10_080.seq -               28     956       8     956       3     958    1457    +    1.5e-219  727.0  20.2  -
Thiobacilliaceae          -          LKAP.g-Gut1_A10_080.seq -               79     980      53     957      32     958    1517    +    1.9e-219  726.8  19.2  -
Methylothermaceae         -          LKAP.g-Gut1_A10_080.seq -               48     987       6     957       3     958    1491    +    6.4e-219  725.0  20.1  -
Comamonadaceae            -          LKAP.g-Gut1_A10_080.seq -               29     959       8     957       3     958    1466    +      3e-218  722.6  19.5  -
Acetobacteraceae          -          LKAP.g-Gut1_A10_080.seq -               56     916      55     957      34     958    1438    +      3e-218  723.1  19.2  -
Alphaproteobacteria       -          LKAP.g-Gut1_A10_080.seq -               53     908      58     957      36     958    1409    +    4.7e-218  722.5  18.6  -
Zoogloeaceae              -          LKAP.g-Gut1_A10_080.seq -               67     968      53     957      31     958    1474    +      1e-217  721.0  19.1  -
Syntrophomonadaceae       -          LKAP.g-Gut1_A10_080.seq -               45     992       7     957       3     958    1515    +    7.2e-217  718.1  20.1  -
Desulfohalobiaceae        -          LKAP.g-Gut1_A10_080.seq -               33     992       6     957       3     958    1509    +    7.5e-216  714.9  20.2  -
Methylocystaceae          -          LKAP.g-Gut1_A10_080.seq -               62     920      55     957      33     958    1424    +    8.4e-216  714.9  18.8  -
Sphingomonadaceae         -          LKAP.g-Gut1_A10_080.seq -               60     915      58     956      37     957    1434    +    5.5e-215  712.3  18.3  -
Sneathiellaceae           -          LKAP.g-Gut1_A10_080.seq -               64     923      54     957      15     958    1427    +    7.5e-214  708.3  18.5  -
Bdellovibrionaceae        -          LKAP.g-Gut1_A10_080.seq -               25     935       8     957       4     958    1430    +      1e-213  707.8  19.8  -
Wenzhouxiangellaceae      -          LKAP.g-Gut1_A10_080.seq -               70     971      57     957      37     958    1472    +    1.5e-212  703.8  18.6  -
Hyphomonadaceae           -          LKAP.g-Gut1_A10_080.seq -               52     908      57     957      36     958    1400    +    1.9e-212  703.9  17.9  -
Syntrophobacteraceae      -          LKAP.g-Gut1_A10_080.seq -               44     986      19     954       3     957    1496    +    1.2e-211  701.1  20.0  -
Rhizobiales               -          LKAP.g-Gut1_A10_080.seq -               60     918      55     957      31     958    1438    +    1.7e-211  700.7  18.5  -
Rhodobacteraceae          -          LKAP.g-Gut1_A10_080.seq -               50     910      53     957      32     958    1402    +    1.2e-210  697.7  18.4  -
Anaplasmataceae           -          LKAP.g-Gut1_A10_080.seq -               39     940       7     957       3     958    1441    +    1.3e-210  697.8  18.9  -
Rhizobiaceae              -          LKAP.g-Gut1_A10_080.seq -               51     907      57     957      35     958    1422    +    2.5e-210  696.7  18.3  -
Peptococcaceae            -          LKAP.g-Gut1_A10_080.seq -               34     951       6     956       3     957    1479    +    2.5e-210  696.4  20.5  -
Xanthobacteraceae         -          LKAP.g-Gut1_A10_080.seq -               53     906      60     957      39     958    1415    +    2.6e-210  696.7  18.5  -
Phyllobacteriaceae        -          LKAP.g-Gut1_A10_080.seq -               51     907      57     957      36     958    1424    +      7e-210  695.3  18.2  -
Erythrobacteraceae        -          LKAP.g-Gut1_A10_080.seq -               44     909      34     956      12     958    1433    +    2.1e-209  693.8  18.3  -
Ruminococcaceae           -          LKAP.g-Gut1_A10_080.seq -               27     957       6     957       3     958    1457    +      1e-208  691.2  20.0  -
Acidobacteria             -          LKAP.g-Gut1_A10_080.seq -               81     992      55     952      33     957    1505    +    6.6e-208  689.1  19.6  -
Brucellaceae              -          LKAP.g-Gut1_A10_080.seq -               57     911      59     957      39     958    1411    +    3.5e-207  686.4  18.0  -
Holophagaceae             -          LKAP.g-Gut1_A10_080.seq -               77     981      64     956      50     958    1502    +      8e-206  681.8  19.1  -
Peptostreptococcaceae     -          LKAP.g-Gut1_A10_080.seq -               27     940       6     957       3     958    1441    +      1e-205  681.2  19.6  -
Bacillales                -          LKAP.g-Gut1_A10_080.seq -               34     989       6     957       3     958    1503    +    1.5e-205  680.9  19.7  -
Aurantimonadaceae         -          LKAP.g-Gut1_A10_080.seq -               69     925      57     957      36     958    1442    +    2.9e-205  680.0  18.1  -
Lachnospiraceae           -          LKAP.g-Gut1_A10_080.seq -               28     956       7     957       3     958    1469    +    8.8e-205  678.1  20.0  -
Thermoanaerobacteraceae   -          LKAP.g-Gut1_A10_080.seq -               33     955       6     949       3     957    1492    +    1.8e-203  673.6  21.8  -
Deferribacteraceae        -          LKAP.g-Gut1_A10_080.seq -               54     975      34     956      12     957    1513    +    3.2e-203  672.9  20.1  -
Methylobacteriaceae       -          LKAP.g-Gut1_A10_080.seq -               54     910      57     957      33     958    1426    +    4.1e-203  672.8  19.0  -
Kordiimonadaceae          -          LKAP.g-Gut1_A10_080.seq -               33     919      16     957       3     958    1421    +    1.9e-202  670.7  19.0  -
Beijerinckiaceae          -          LKAP.g-Gut1_A10_080.seq -               67     921      59     957      38     958    1421    +    4.1e-202  669.4  18.6  -
Synergistaceae            -          LKAP.g-Gut1_A10_080.seq -               27     933       6     951       3     957    1450    +    4.5e-202  669.2  22.0  -
Kiloniellaceae            -          LKAP.g-Gut1_A10_080.seq -               56     937      20     957       4     958    1450    +      3e-201  666.4  19.0  -
Desulfarculaceae          -          LKAP.g-Gut1_A10_080.seq -               43     986      17     950       3     956    1516    +    6.4e-201  665.5  19.9  -
Lactobacillaceae          -          LKAP.g-Gut1_A10_080.seq -               31    1007       7     957       3     958    1522    +    7.5e-201  665.2  20.2  -
Nautiliaceae              -          LKAP.g-Gut1_A10_080.seq -               27     933       6     957       3     958    1431    +    7.7e-201  665.4  19.9  -
Bradyrhizobiaceae         -          LKAP.g-Gut1_A10_080.seq -               56     910      59     957      39     958    1428    +    8.4e-201  665.0  18.6  -
Caulobacteraceae          -          LKAP.g-Gut1_A10_080.seq -               42     908      33     957      11     958    1415    +    1.9e-200  664.0  18.5  -
Desulfomicrobiaceae       -          LKAP.g-Gut1_A10_080.seq -               69     981      53     957      13     958    1495    +    2.2e-200  663.6  19.1  -
Bacillaceae               -          LKAP.g-Gut1_A10_080.seq -               25     981       6     956       2     957    1493    +    9.4e-200  661.6  20.3  -
Paenibacillaceae          -          LKAP.g-Gut1_A10_080.seq -               28     981       6     957       3     958    1493    +    1.8e-199  660.7  19.8  -
Thermoanaerobacterales    -          LKAP.g-Gut1_A10_080.seq -               35     958       6     950       2     957    1472    +    2.1e-199  660.4  21.7  -
Haliangiaceae             -          LKAP.g-Gut1_A10_080.seq -               44     989       7     950       3     953    1507    +    4.5e-199  659.4  21.0  -
Streptomycetaceae         -          LKAP.g-Gut1_A10_080.seq -               61     943      56     957      12     958    1479    +    8.7e-199  658.5  20.3  -
Spirochaetaceae           -          LKAP.g-Gut1_A10_080.seq -               32     965       5     950       2     957    1486    +    1.3e-198  657.9  20.6  -
Bacteroidaceae            -          LKAP.g-Gut1_A10_080.seq -               36     975       6     955       3     957    1480    +    1.8e-198  657.2  20.3  -
Selenomonadaceae          -          LKAP.g-Gut1_A10_080.seq -               47    1003       7     956       3     957    1531    +    1.9e-198  657.1  19.9  -
Verrucomicrobiaceae       -          LKAP.g-Gut1_A10_080.seq -               73     967      56     957      28     958    1470    +    5.8e-198  655.8  19.2  -
Thermoactinomycetaceae    -          LKAP.g-Gut1_A10_080.seq -               35     973       6     952       3     957    1495    +    6.5e-198  655.7  20.2  -
Micrococcaceae            -          LKAP.g-Gut1_A10_080.seq -               75     958      58     957      34     958    1476    +    1.4e-197  654.4  19.2  -
Helicobacteraceae         -          LKAP.g-Gut1_A10_080.seq -               87     945      57     957      34     958    1473    +    3.1e-197  652.9  17.3  -
Patulibacteraceae         -          LKAP.g-Gut1_A10_080.seq -               80     975      53     956      32     958    1494    +    5.5e-196  648.8  19.4  -
Alicyclobacillaceae       -          LKAP.g-Gut1_A10_080.seq -               48     980       7     955       2     957    1512    +    6.1e-196  649.2  20.3  -
Erysipelotrichaceae       -          LKAP.g-Gut1_A10_080.seq -               33     959       7     956       3     957    1466    +    1.2e-195  648.0  20.3  -
Fusobacteriaceae          -          LKAP.g-Gut1_A10_080.seq -               73     948      47     957      17     958    1458    +    2.4e-195  647.0  19.4  -
Spirillaceae              -          LKAP.g-Gut1_A10_080.seq -               44     985       7     957       3     958    1447    +    2.5e-195  647.1  19.1  -
Chelatococcaceae          -          LKAP.g-Gut1_A10_080.seq -               49     919      29     957       9     958    1439    +    5.8e-195  645.9  19.1  -
Halobacteriovoracaceae    -          LKAP.g-Gut1_A10_080.seq -               33     979      16     957       3     958    1480    +    8.6e-195  645.0  19.7  -
Heliobacteriaceae         -          LKAP.g-Gut1_A10_080.seq -               44     962       6     957       3     958    1500    +    1.5e-194  644.3  20.1  -
Parvularculaceae          -          LKAP.g-Gut1_A10_080.seq -               72     928      57     957      15     958    1428    +      4e-194  643.3  18.3  -
Bartonellaceae            -          LKAP.g-Gut1_A10_080.seq -               55     909      59     957      39     958    1410    +    6.7e-194  642.2  18.6  -
Aerococcaceae             -          LKAP.g-Gut1_A10_080.seq -               28     979       7     957       3     958    1473    +    9.8e-194  641.7  19.3  -
Bacteriovoracaceae        -          LKAP.g-Gut1_A10_080.seq -               62     974      58     957      37     958    1473    +    1.8e-193  640.7  18.9  -
Polyangiaceae             -          LKAP.g-Gut1_A10_080.seq -               81     988      58     950      37     956    1548    +    4.8e-193  639.3  19.9  -
Rubrobacteraceae          -          LKAP.g-Gut1_A10_080.seq -               31     969      14     956       4     958    1495    +    5.8e-193  639.1  20.3  -
Cohaesibacteraceae        -          LKAP.g-Gut1_A10_080.seq -               45     927       4     957       1     958    1425    +    5.9e-193  639.2  18.0  -
Rhodothermaceae           -          LKAP.g-Gut1_A10_080.seq -               37     951      20     952       4     957    1457    +    1.7e-192  637.5  19.9  -
Planococcaceae            -          LKAP.g-Gut1_A10_080.seq -               27     976       6     957       3     958    1491    +    3.9e-192  636.2  20.2  -
Rickettsiaceae            -          LKAP.g-Gut1_A10_080.seq -               70     921      61     957      39     958    1430    +    6.1e-192  635.8  18.0  -
Oleiphilaceae             -          LKAP.g-Gut1_A10_080.seq -               39     962       9     956       2     958    1437    +      7e-192  635.3  19.9  -
Cystobacteraceae          -          LKAP.g-Gut1_A10_080.seq -               59     974      57     957      36     958    1491    +    1.2e-191  634.6  18.7  -
Carnobacteriaceae         -          LKAP.g-Gut1_A10_080.seq -               70     979      56     957      30     958    1496    +    1.2e-191  634.7  19.0  -
Staphylococcaceae         -          LKAP.g-Gut1_A10_080.seq -               30     976       7     957       3     958    1479    +    1.5e-191  634.4  19.4  -
Leptospiraceae            -          LKAP.g-Gut1_A10_080.seq -               55     936      60     957      40     958    1431    +      8e-191  631.8  18.3  -
Streptococcaceae          -          LKAP.g-Gut1_A10_080.seq -               35     985       8     957       3     958    1497    +      1e-190  631.6  19.6  -
Campylobacteraceae        -          LKAP.g-Gut1_A10_080.seq -               73     943      60     957      35     958    1429    +    1.4e-190  630.8  18.0  -
Desulfonatronaceae        -          LKAP.g-Gut1_A10_080.seq -               33     971      11     952       3     957    1495    +    2.4e-190  630.3  20.2  -
Brevibacteriaceae         -          LKAP.g-Gut1_A10_080.seq -               81     962      59     957      35     958    1487    +    2.9e-190  630.0  19.2  -
Nitrospiraceae            -          LKAP.g-Gut1_A10_080.seq -               33     950       6     957       3     958    1479    +    2.9e-190  630.1  20.1  -
Mycoplasmataceae          -          LKAP.g-Gut1_A10_080.seq -               49     948      57     957      33     958    1467    +    3.1e-190  630.2  18.8  -
Veillonellaceae           -          LKAP.g-Gut1_A10_080.seq -               48     965      57     957      31     958    1450    +    3.2e-190  629.8  19.0  -
Myxococcaceae             -          LKAP.g-Gut1_A10_080.seq -               75     990      57     957      37     958    1517    +    3.3e-190  629.8  18.9  -
Halanaerobiaceae          -          LKAP.g-Gut1_A10_080.seq -               35     992       6     953       3     957    1503    +    3.7e-190  629.6  20.8  -
Calditrichaeota           -          LKAP.g-Gut1_A10_080.seq -               65     975      49     949      17     955    1483    +    8.6e-190  628.7  20.1  -
Pseudonocardiaceae        -          LKAP.g-Gut1_A10_080.seq -               34     948       7     954       3     957    1475    +    1.1e-189  628.2  20.6  -
Oscillatoriales           -          LKAP.g-Gut1_A10_080.seq -               56     905      60     949      38     957    1445    +      4e-189  626.5  18.9  -
Nakamurellaceae           -          LKAP.g-Gut1_A10_080.seq -               34     942      12     957       3     958    1462    +    3.1e-188  623.4  20.6  -
Acidimicrobiaceae         -          LKAP.g-Gut1_A10_080.seq -               89     958      59     950      38     957    1464    +    3.7e-188  623.2  19.6  -
Salinibacteraceae         -          LKAP.g-Gut1_A10_080.seq -               94     983      58     954      37     957    1497    +    4.6e-188  622.9  19.8  -
Thermolithobacteraceae    -          LKAP.g-Gut1_A10_080.seq -               94    1004      59     950      30     957    1546    +    5.2e-188  622.4  19.8  -
Porticoccaceae            -          LKAP.g-Gut1_A10_080.seq -               42     967      12     957       3     958    1497    +    5.3e-188  622.4  19.9  -
Parviterribacteraceae     -          LKAP.g-Gut1_A10_080.seq -               63     955      56     956      33     958    1456    +    8.4e-188  621.9  19.4  -
Propionibacteriaceae      -          LKAP.g-Gut1_A10_080.seq -               37     942      11     950       3     957    1462    +    8.7e-188  621.9  20.3  -
Solirubrobacteraceae      -          LKAP.g-Gut1_A10_080.seq -               48     953      57     956      34     958    1443    +    1.1e-187  621.5  19.7  -
Intrasporangiaceae        -          LKAP.g-Gut1_A10_080.seq -               71     949      60     957      36     958    1461    +    1.3e-187  621.2  19.3  -
Microbacteriaceae         -          LKAP.g-Gut1_A10_080.seq -               73     951      60     957      37     958    1464    +    2.3e-187  620.4  19.2  -
Nocardiaceae              -          LKAP.g-Gut1_A10_080.seq -               28     935       7     950       3     957    1472    +      5e-187  619.5  21.3  -
Sporolactobacillaceae     -          LKAP.g-Gut1_A10_080.seq -               28     973       7     957       3     958    1503    +    1.2e-186  618.0  19.3  -
Woeseiaceae               -          LKAP.g-Gut1_A10_080.seq -               70     975      50     957      28     958    1476    +    2.6e-186  616.8  19.3  -
Flammeovirgaceae          -          LKAP.g-Gut1_A10_080.seq -               28     949       7     951       3     957    1446    +    2.8e-186  617.1  19.9  -
Nannocystaceae            -          LKAP.g-Gut1_A10_080.seq -               51     966      20     950       4     952    1487    +    6.4e-186  615.8  20.5  -
Micromonosporaceae        -          LKAP.g-Gut1_A10_080.seq -               41     950       6     950       3     957    1482    +    9.9e-186  615.1  21.1  -
Nocardioidaceae           -          LKAP.g-Gut1_A10_080.seq -               27     937       6     950       2     957    1455    +    1.1e-185  615.0  21.0  -
Leuconostocaceae          -          LKAP.g-Gut1_A10_080.seq -               75     980      57     957      30     958    1479    +    1.7e-185  614.4  18.9  -
Actinomycetaceae          -          LKAP.g-Gut1_A10_080.seq -               35     974      18     956       4     957    1468    +    1.1e-184  611.6  20.1  -
Chroococcales             -          LKAP.g-Gut1_A10_080.seq -               70     919      61     949      40     957    1445    +    1.3e-184  611.2  19.5  -
Halobacteroidaceae        -          LKAP.g-Gut1_A10_080.seq -               36     965       7     955       3     957    1478    +    1.5e-184  610.9  19.7  -
Corynebacteriaceae        -          LKAP.g-Gut1_A10_080.seq -               27     946       7     954       3     957    1459    +    2.1e-184  610.5  20.5  -
Mycobacteriaceae          -          LKAP.g-Gut1_A10_080.seq -               32     944       6     950       3     957    1471    +    2.2e-184  610.5  21.1  -
Enterococcaceae           -          LKAP.g-Gut1_A10_080.seq -               33     984      11     957       3     958    1498    +    3.5e-184  610.0  20.0  -
Conexibacteraceae         -          LKAP.g-Gut1_A10_080.seq -               88     990      61     956      40     958    1536    +    4.6e-184  609.3  19.6  -
Flavobacteriaceae         -          LKAP.g-Gut1_A10_080.seq -               26     956       6     950       2     956    1451    +    1.1e-183  608.2  20.4  -
Natranaerobiaceae         -          LKAP.g-Gut1_A10_080.seq -                2     932       2     949       1     957    1429    +    1.3e-183  608.0  20.7  -
