# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_F12_086   -               12     935       6     924       1     924    1474    +           0 1126.4  26.7  -
Ferrimonadaceae           -          LKAP-GutHK_F12_086   -               11     935       5     924       1     924    1475    +           0 1029.6  26.6  -
Halothiobacillaceae       -          LKAP-GutHK_F12_086   -               44     943      17     924       2     924    1500    +    6.9e-259  857.5  26.7  -
Kangiellaceae             -          LKAP-GutHK_F12_086   -               36     937      17     924       2     924    1479    +    1.4e-257  853.1  25.7  -
Saccharospirillaceae      -          LKAP-GutHK_F12_086   -               27     918      15     924       1     924    1468    +    1.5e-257  853.0  25.5  -
Chromobacteriaceae        -          LKAP-GutHK_F12_086   -               26     917      17     924       2     924    1460    +    7.8e-255  844.1  26.6  -
Granulosicoccaceae        -          LKAP-GutHK_F12_086   -               27     926      17     924       2     924    1471    +    1.1e-250  830.4  25.9  -
Thiotrichaceae            -          LKAP-GutHK_F12_086   -               27     881      17     924       3     924    1421    +      2e-250  829.3  24.9  -
Legionellaceae            -          LKAP-GutHK_F12_086   -               23     923      17     924       2     924    1446    +    2.5e-250  829.2  25.9  -
Rhodanobacteraceae        -          LKAP-GutHK_F12_086   -               28     927      17     924       2     924    1473    +    3.7e-250  828.6  26.5  -
Nevskiaceae               -          LKAP-GutHK_F12_086   -               67     919      71     924      50     924    1470    +    1.4e-249  826.8  24.8  -
Rhodocyclaceae            -          LKAP-GutHK_F12_086   -               27     921      17     923       2     924    1484    +    5.4e-249  824.6  27.0  -
Coxiellaceae              -          LKAP-GutHK_F12_086   -               27     932      17     924       2     924    1475    +    1.2e-248  823.5  26.2  -
Cardiobacteriaceae        -          LKAP-GutHK_F12_086   -               35     929      17     924       2     924    1464    +    8.8e-248  820.9  25.4  -
Burkholderiaceae          -          LKAP-GutHK_F12_086   -               27     917      17     923       2     924    1482    +    8.8e-244  807.5  26.9  -
Alcaligenaceae            -          LKAP-GutHK_F12_086   -               27     920      17     923       2     924    1467    +    4.1e-243  805.3  25.9  -
Rhodospirillaceae         -          LKAP-GutHK_F12_086   -               53     873      66     924      43     924    1429    +    1.5e-242  803.5  24.3  -
Arenicellaceae            -          LKAP-GutHK_F12_086   -               47     919      45     924      23     924    1488    +    2.6e-242  802.6  25.1  -
Neisseriaceae             -          LKAP-GutHK_F12_086   -               41     939      17     924       2     924    1477    +    3.5e-242  802.1  26.1  -
Methylophilaceae          -          LKAP-GutHK_F12_086   -               10     909      17     924       9     924    1431    +    1.1e-241  800.6  25.4  -
Sulfuricellaceae          -          LKAP-GutHK_F12_086   -               28     923      17     924       5     924    1463    +    9.1e-240  794.1  26.6  -
Hydrogenophilaceae        -          LKAP-GutHK_F12_086   -               27     919      17     923       2     924    1461    +    1.9e-239  793.2  27.1  -
Acidiferrobacteraceae     -          LKAP-GutHK_F12_086   -               64     916      72     924      52     924    1454    +    1.2e-238  790.5  24.7  -
Salinisphaeraceae         -          LKAP-GutHK_F12_086   -               15     910      17     924       6     924    1429    +      2e-238  789.7  26.1  -
Thiotrichales             -          LKAP-GutHK_F12_086   -               47     944      17     924       4     924    1519    +    4.2e-237  785.0  24.7  -
Sutterellaceae            -          LKAP-GutHK_F12_086   -               27     921      17     923       2     924    1487    +    8.9e-237  784.0  26.7  -
Oxalobacteraceae          -          LKAP-GutHK_F12_086   -               26     919      16     923       2     924    1459    +    1.7e-236  783.4  26.6  -
Burkholderiales           -          LKAP-GutHK_F12_086   -               27     918      17     923       2     924    1463    +    2.3e-234  776.2  26.4  -
Deltaproteobacteria       -          LKAP-GutHK_F12_086   -               50     957      23     924       6     924    1514    +    1.3e-233  773.8  25.5  -
Geobacteraceae            -          LKAP-GutHK_F12_086   -               61     946      59     924      35     924    1487    +    1.7e-233  773.3  25.4  -
Francisellaceae           -          LKAP-GutHK_F12_086   -               70     926      67     924      39     924    1508    +    3.2e-233  772.5  24.9  -
Hyphomicrobiaceae         -          LKAP-GutHK_F12_086   -               53     869      68     924      46     924    1427    +    1.3e-232  770.5  24.1  -
Thermithiobacillaceae     -          LKAP-GutHK_F12_086   -               12     904      17     924      10     924    1419    +    2.4e-232  769.5  25.9  -
Desulfovibrionaceae       -          LKAP-GutHK_F12_086   -               42     947      17     924       6     924    1527    +    1.5e-230  763.6  25.0  -
Desulfobacteraceae        -          LKAP-GutHK_F12_086   -               84     957      72     924      51     924    1516    +    3.8e-230  762.2  24.8  -
Rhodobiaceae              -          LKAP-GutHK_F12_086   -               55     877      62     924      26     924    1440    +    6.2e-230  761.7  24.3  -
Eubacteriaceae            -          LKAP-GutHK_F12_086   -               41     925      17     924       5     924    1485    +      8e-230  761.1  26.2  -
Thiobacilliaceae          -          LKAP-GutHK_F12_086   -               46     938      17     923       4     924    1517    +    8.3e-230  761.1  26.6  -
Azonexaceae               -          LKAP-GutHK_F12_086   -               28     923      17     923       2     924    1474    +    2.4e-229  759.7  26.7  -
Desulfuromonadaceae       -          LKAP-GutHK_F12_086   -               46     956      19     924       5     924    1518    +      6e-229  758.3  25.4  -
Acetobacteraceae          -          LKAP-GutHK_F12_086   -               55     875      66     924      44     924    1438    +    1.4e-228  757.3  25.0  -
Nitrosomonadaceae         -          LKAP-GutHK_F12_086   -               27     921      17     924       2     924    1461    +    2.4e-228  756.4  26.7  -
Clostridiaceae            -          LKAP-GutHK_F12_086   -               41     914      17     924       5     924    1485    +    3.1e-228  755.7  25.7  -
Desulfobulbaceae          -          LKAP-GutHK_F12_086   -               53     940      49     924      27     924    1483    +    3.5e-228  755.6  24.8  -
Syntrophaceae             -          LKAP-GutHK_F12_086   -               85     956      72     924      51     924    1551    +    5.2e-228  755.1  24.8  -
Clostridiales             -          LKAP-GutHK_F12_086   -               34     918      17     924       3     924    1470    +    5.8e-228  754.9  25.6  -
Acidithiobacillaceae      -          LKAP-GutHK_F12_086   -               26     916      17     924       2     924    1457    +    7.8e-228  754.4  26.2  -
Methylothermaceae         -          LKAP-GutHK_F12_086   -               48     946      17     924       2     924    1491    +    1.9e-227  753.2  26.5  -
Syntrophomonadaceae       -          LKAP-GutHK_F12_086   -               45     951      18     924       5     924    1515    +    7.3e-227  751.1  25.8  -
Wenzhouxiangellaceae      -          LKAP-GutHK_F12_086   -               64     930      63     924      41     924    1472    +    1.9e-225  746.5  24.8  -
Alphaproteobacteria       -          LKAP-GutHK_F12_086   -               27     867      17     924       2     924    1409    +    2.6e-225  746.5  24.7  -
Comamonadaceae            -          LKAP-GutHK_F12_086   -               27     917      17     923       2     924    1466    +    4.4e-225  745.2  26.5  -
Desulfohalobiaceae        -          LKAP-GutHK_F12_086   -               33     951      17     924       3     924    1509    +    1.2e-224  744.0  25.4  -
Zoogloeaceae              -          LKAP-GutHK_F12_086   -               34     926      17     923       2     924    1474    +    1.5e-224  743.7  26.8  -
Sneathiellaceae           -          LKAP-GutHK_F12_086   -               32     882      17     924       2     924    1427    +    1.9e-224  743.4  24.5  -
Sphingomonadaceae         -          LKAP-GutHK_F12_086   -               61     875      71     924      50     924    1434    +    3.4e-224  742.8  23.2  -
Methylocystaceae          -          LKAP-GutHK_F12_086   -               62     879      67     924      41     924    1424    +      5e-224  742.1  24.2  -
Hyphomonadaceae           -          LKAP-GutHK_F12_086   -               28     867      18     924       2     924    1400    +      1e-221  734.6  23.9  -
Bdellovibrionaceae        -          LKAP-GutHK_F12_086   -               44     894      47     924      25     924    1430    +    1.5e-221  733.8  24.3  -
Peptococcaceae            -          LKAP-GutHK_F12_086   -               34     911      17     924       4     924    1479    +    2.9e-220  729.3  26.0  -
Rhizobiales               -          LKAP-GutHK_F12_086   -               37     877      17     924       2     924    1438    +    4.9e-220  728.9  24.6  -
Syntrophobacteraceae      -          LKAP-GutHK_F12_086   -               80     948      73     924      52     924    1496    +      7e-220  728.4  25.2  -
Erythrobacteraceae        -          LKAP-GutHK_F12_086   -               53     869      69     924      49     924    1433    +    5.4e-219  725.5  23.4  -
Xanthobacteraceae         -          LKAP-GutHK_F12_086   -               50     865      69     924      49     924    1415    +    6.4e-219  725.2  23.8  -
Rhodobacteraceae          -          LKAP-GutHK_F12_086   -               48     869      63     924      32     924    1402    +    2.3e-218  723.3  23.9  -
Anaplasmataceae           -          LKAP-GutHK_F12_086   -               38     899      17     924       2     924    1441    +      4e-218  722.6  24.1  -
Ruminococcaceae           -          LKAP-GutHK_F12_086   -               27     916      17     924       3     924    1457    +    1.7e-217  720.2  26.0  -
Rhizobiaceae              -          LKAP-GutHK_F12_086   -               50     866      68     924      47     924    1422    +      4e-216  715.9  23.7  -
Acidobacteria             -          LKAP-GutHK_F12_086   -               83     956      69     924      45     924    1505    +    6.7e-216  715.5  25.4  -
Phyllobacteriaceae        -          LKAP-GutHK_F12_086   -               50     866      68     924      47     924    1424    +    1.5e-215  714.0  23.8  -
Lachnospiraceae           -          LKAP-GutHK_F12_086   -               27     915      17     924       4     924    1469    +    3.2e-214  709.4  26.2  -
Nautiliaceae              -          LKAP-GutHK_F12_086   -               27     892      17     924       2     924    1431    +    7.6e-214  708.5  25.4  -
Bacillales                -          LKAP-GutHK_F12_086   -               34     948      17     924       5     924    1503    +    2.2e-213  706.8  25.4  -
Thermoanaerobacteraceae   -          LKAP-GutHK_F12_086   -               33     922      17     924       6     924    1492    +    4.3e-213  705.5  26.4  -
Peptostreptococcaceae     -          LKAP-GutHK_F12_086   -               27     899      17     924       4     924    1441    +    5.1e-213  705.3  25.5  -
Deferribacteraceae        -          LKAP-GutHK_F12_086   -               56     935      48     924      27     924    1513    +    5.6e-213  705.2  25.6  -
Aurantimonadaceae         -          LKAP-GutHK_F12_086   -               65     884      65     924      43     924    1442    +    8.8e-213  704.9  23.8  -
Brucellaceae              -          LKAP-GutHK_F12_086   -               55     870      69     924      48     924    1411    +    2.2e-212  703.6  23.6  -
Bacteroidaceae            -          LKAP-GutHK_F12_086   -               36     936      17     924       4     924    1480    +    3.4e-212  702.7  26.2  -
Methylobacteriaceae       -          LKAP-GutHK_F12_086   -               47     869      62     924      38     924    1426    +    1.1e-211  701.1  24.6  -
Holophagaceae             -          LKAP-GutHK_F12_086   -               76     941      75     924      54     924    1502    +    3.2e-211  699.7  25.0  -
Synergistaceae            -          LKAP-GutHK_F12_086   -               27     898      17     924       3     924    1450    +    3.3e-211  699.5  26.9  -
Kordiimonadaceae          -          LKAP-GutHK_F12_086   -               28     878      18     924       2     924    1421    +    1.1e-210  698.0  23.8  -
Desulfarculaceae          -          LKAP-GutHK_F12_086   -               79     952      72     924      15     924    1516    +    3.2e-210  696.3  24.4  -
Bacillaceae               -          LKAP-GutHK_F12_086   -               24     941      16     924       2     924    1493    +      4e-210  695.9  25.9  -
Streptomycetaceae         -          LKAP-GutHK_F12_086   -               39     902      40     924      19     924    1479    +    6.6e-210  695.3  25.4  -
Desulfomicrobiaceae       -          LKAP-GutHK_F12_086   -               76     940      72     924      49     924    1495    +    2.1e-209  693.4  24.6  -
Beijerinckiaceae          -          LKAP-GutHK_F12_086   -               68     880      72     924      52     924    1421    +    2.4e-209  693.3  23.8  -
Caulobacteraceae          -          LKAP-GutHK_F12_086   -               28     867      18     924       2     924    1415    +      4e-209  692.6  23.7  -
Lactobacillaceae          -          LKAP-GutHK_F12_086   -               31     966      18     924       4     924    1522    +    2.3e-208  690.1  25.8  -
Paenibacillaceae          -          LKAP-GutHK_F12_086   -               28     940      17     924       3     924    1493    +    2.5e-208  690.0  25.7  -
Bradyrhizobiaceae         -          LKAP-GutHK_F12_086   -               55     869      70     924      49     924    1428    +    5.3e-208  688.8  23.9  -
Thermoanaerobacterales    -          LKAP-GutHK_F12_086   -               34     924      16     924       2     924    1472    +    1.1e-207  687.8  26.7  -
Patulibacteraceae         -          LKAP-GutHK_F12_086   -               79     935      64     924      34     924    1494    +    1.3e-207  687.3  25.2  -
Haliangiaceae             -          LKAP-GutHK_F12_086   -               85     955      73     924      50     924    1507    +    1.7e-207  687.3  24.8  -
Micrococcaceae            -          LKAP-GutHK_F12_086   -               62     916      57     923      20     924    1476    +    2.5e-207  686.6  25.2  -
Thermoactinomycetaceae    -          LKAP-GutHK_F12_086   -               35     937      17     924       4     924    1495    +    4.2e-207  686.1  26.0  -
Kiloniellaceae            -          LKAP-GutHK_F12_086   -               85     896      73     924      49     924    1450    +    1.7e-206  683.7  23.9  -
Spirochaetaceae           -          LKAP-GutHK_F12_086   -               31     931      15     924       3     924    1486    +    2.5e-206  683.4  26.2  -
Selenomonadaceae          -          LKAP-GutHK_F12_086   -               85     963      66     924      26     924    1531    +    3.4e-206  682.7  25.3  -
Helicobacteraceae         -          LKAP-GutHK_F12_086   -               88     904      70     924      47     924    1473    +    1.7e-205  680.2  23.1  -
Verrucomicrobiaceae       -          LKAP-GutHK_F12_086   -               74     926      69     924      39     924    1470    +      7e-205  678.7  25.2  -
Halobacteriovoracaceae    -          LKAP-GutHK_F12_086   -               46     938      44     924      19     924    1480    +    1.5e-204  677.4  24.8  -
Erysipelotrichaceae       -          LKAP-GutHK_F12_086   -               55     919      63     924      31     924    1466    +    5.5e-204  675.6  25.6  -
Spirillaceae              -          LKAP-GutHK_F12_086   -               43     944      17     924       2     924    1447    +    1.3e-203  674.5  25.6  -
Chelatococcaceae          -          LKAP-GutHK_F12_086   -               38     878      17     924       2     924    1439    +      2e-203  673.9  24.3  -
Alicyclobacillaceae       -          LKAP-GutHK_F12_086   -               53     941      22     924       6     924    1512    +    2.1e-203  673.9  25.9  -
Rubrobacteraceae          -          LKAP-GutHK_F12_086   -               51     929      49     924      27     924    1495    +    3.6e-203  672.8  25.1  -
Fusobacteriaceae          -          LKAP-GutHK_F12_086   -               74     907      70     924      46     924    1458    +    5.7e-203  672.2  25.4  -
Bacteriovoracaceae        -          LKAP-GutHK_F12_086   -               65     933      73     924      53     924    1473    +    9.2e-203  671.4  24.6  -
Cohaesibacteraceae        -          LKAP-GutHK_F12_086   -               36     886      11     924       1     924    1425    +    1.3e-202  671.1  23.9  -
Polyangiaceae             -          LKAP-GutHK_F12_086   -               84     954      73     924      53     924    1548    +    2.9e-202  669.8  25.0  -
Heliobacteriaceae         -          LKAP-GutHK_F12_086   -               44     921      17     924       2     924    1500    +    3.3e-202  669.6  25.7  -
Brevibacteriaceae         -          LKAP-GutHK_F12_086   -               66     920      59     923      20     924    1487    +    5.2e-201  665.5  25.5  -
Rhodothermaceae           -          LKAP-GutHK_F12_086   -               51     915      49     924      27     924    1457    +    5.9e-201  665.5  25.6  -
Campylobacteraceae        -          LKAP-GutHK_F12_086   -               72     902      71     924      45     924    1429    +    6.6e-201  665.0  23.9  -
Leptospiraceae            -          LKAP-GutHK_F12_086   -               56     895      73     924      53     924    1431    +    7.6e-201  665.0  24.2  -
Rickettsiaceae            -          LKAP-GutHK_F12_086   -               70     879      73     923      52     924    1430    +    1.5e-200  664.2  23.0  -
Aerococcaceae             -          LKAP-GutHK_F12_086   -               29     938      19     924       3     924    1473    +    8.6e-200  661.7  25.1  -
Thermolithobacteraceae    -          LKAP-GutHK_F12_086   -               62     970      55     924      35     924    1546    +    1.3e-199  660.8  25.6  -
Planococcaceae            -          LKAP-GutHK_F12_086   -               27     935      17     924       2     924    1491    +    1.4e-199  660.9  24.8  -
Staphylococcaceae         -          LKAP-GutHK_F12_086   -               30     935      18     924       4     924    1479    +      3e-199  659.9  25.3  -
Desulfonatronaceae        -          LKAP-GutHK_F12_086   -               67     935      71     924      49     924    1495    +      3e-199  659.8  24.7  -
Calditrichaeota           -          LKAP-GutHK_F12_086   -               79     942      75     924      53     924    1483    +    3.8e-199  659.7  24.9  -
Flammeovirgaceae          -          LKAP-GutHK_F12_086   -               27     914      17     924       2     924    1446    +    3.8e-199  659.7  25.7  -
Bartonellaceae            -          LKAP-GutHK_F12_086   -               53     868      69     924      48     924    1410    +    4.6e-199  659.3  24.0  -
Cystobacteraceae          -          LKAP-GutHK_F12_086   -               62     933      72     924      52     924    1491    +    9.3e-199  658.1  24.4  -
Oleiphilaceae             -          LKAP-GutHK_F12_086   -               24     922       9     924       1     924    1437    +      1e-198  657.9  26.1  -
Parvularculaceae          -          LKAP-GutHK_F12_086   -               72     887      69     924      49     924    1428    +    1.4e-198  658.0  23.4  -
Mycoplasmataceae          -          LKAP-GutHK_F12_086   -               51     907      71     924      48     924    1467    +    1.9e-198  657.4  24.5  -
Solirubrobacteraceae      -          LKAP-GutHK_F12_086   -               36     913      58     924      36     924    1443    +    4.8e-198  655.7  25.7  -
Porticoccaceae            -          LKAP-GutHK_F12_086   -               37     926      19     924       2     924    1497    +    5.3e-198  655.5  26.0  -
Halanaerobiaceae          -          LKAP-GutHK_F12_086   -               35     955      17     924       6     924    1503    +    5.4e-198  655.5  25.8  -
Microbacteriaceae         -          LKAP-GutHK_F12_086   -               69     909      68     923      39     924    1464    +    5.7e-198  655.5  24.6  -
Streptococcaceae          -          LKAP-GutHK_F12_086   -               78     944      67     924      40     924    1497    +    6.8e-198  655.3  24.8  -
Acidimicrobiaceae         -          LKAP-GutHK_F12_086   -               89     923      71     923      51     924    1464    +    9.9e-198  654.9  24.7  -
Veillonellaceae           -          LKAP-GutHK_F12_086   -               50     924      71     924      49     924    1450    +    1.2e-197  654.4  25.0  -
Immundisolibacteraceae    -          LKAP-GutHK_F12_086   -               56     954      17     924       3     924    1555    +    1.5e-197  653.9  25.9  -
Carnobacteriaceae         -          LKAP-GutHK_F12_086   -               70     938      68     924      43     924    1496    +    3.6e-197  653.0  24.9  -
Pseudonocardiaceae        -          LKAP-GutHK_F12_086   -               34     910      18     924       4     924    1475    +    3.7e-197  652.9  26.0  -
Nitrospiraceae            -          LKAP-GutHK_F12_086   -               34     909      18     924       6     924    1479    +    4.3e-197  652.7  24.9  -
Parviterribacteraceae     -          LKAP-GutHK_F12_086   -               67     915      72     924      50     924    1456    +    5.6e-197  652.3  24.9  -
Myxococcaceae             -          LKAP-GutHK_F12_086   -               78     949      72     924      51     924    1517    +    8.8e-197  651.6  24.6  -
Oscillatoriales           -          LKAP-GutHK_F12_086   -               56     872      72     924      51     924    1445    +    1.3e-196  651.2  23.9  -
Intrasporangiaceae        -          LKAP-GutHK_F12_086   -               63     907      64     923      24     924    1461    +      8e-196  648.4  25.1  -
Flavobacteriaceae         -          LKAP-GutHK_F12_086   -               12     922       7     924       1     924    1451    +    1.8e-195  647.2  25.9  -
Nocardiaceae              -          LKAP-GutHK_F12_086   -               27     901      17     924       4     924    1472    +    2.4e-195  647.0  26.3  -
Propionibacteriaceae      -          LKAP-GutHK_F12_086   -               61     907      62     923      39     924    1462    +    3.4e-195  646.4  25.3  -
Salinibacteraceae         -          LKAP-GutHK_F12_086   -               97     945      73     924      52     924    1497    +    1.1e-194  644.8  25.1  -
Halobacteroidaceae        -          LKAP-GutHK_F12_086   -               35     926      17     924       6     924    1478    +    1.1e-194  644.5  24.5  -
Micromonosporaceae        -          LKAP-GutHK_F12_086   -               41     915      17     923       3     924    1482    +    1.3e-194  644.6  25.4  -
Nannocystaceae            -          LKAP-GutHK_F12_086   -               69     932      66     924      45     924    1487    +    1.6e-194  644.3  25.2  -
Sporomusaceae             -          LKAP-GutHK_F12_086   -               47     955      18     924       6     924    1535    +    6.5e-194  641.9  25.3  -
Leuconostocaceae          -          LKAP-GutHK_F12_086   -               73     939      67     924      41     924    1479    +    8.3e-194  641.9  24.8  -
Natranaerobiaceae         -          LKAP-GutHK_F12_086   -                2     899      13     924      12     924    1429    +    9.3e-194  641.6  25.3  -
Nakamurellaceae           -          LKAP-GutHK_F12_086   -               64     900      71     923      50     924    1462    +    2.8e-193  640.0  25.0  -
Sporolactobacillaceae     -          LKAP-GutHK_F12_086   -               28     932      18     924       5     924    1503    +    3.2e-193  639.8  25.2  -
Actinomycetaceae          -          LKAP-GutHK_F12_086   -               28     933      18     923       6     924    1468    +    5.6e-193  639.1  25.6  -
Puniceicoccaceae          -          LKAP-GutHK_F12_086   -               37     939      17     924       3     924    1485    +    1.7e-192  637.4  25.4  -
Conexibacteraceae         -          LKAP-GutHK_F12_086   -               88     950      73     924      52     924    1536    +    1.7e-192  637.2  25.3  -
Thermodesulfobiaceae      -          LKAP-GutHK_F12_086   -               43     925      17     924       5     924    1520    +    2.7e-192  636.8  24.8  -
Chroococcales             -          LKAP-GutHK_F12_086   -               70     886      73     924      52     924    1445    +    3.7e-192  636.2  23.9  -
Nocardioidaceae           -          LKAP-GutHK_F12_086   -               27     902      17     923       3     924    1455    +      4e-192  636.3  25.9  -
Mycobacteriaceae          -          LKAP-GutHK_F12_086   -               33     910      18     924       5     924    1471    +    6.5e-192  635.4  26.1  -
Thermaceae                -          LKAP-GutHK_F12_086   -               51     906      53     924      33     924    1477    +    7.3e-192  635.5  25.8  -
Tsukamurellaceae          -          LKAP-GutHK_F12_086   -               82     920      70     924      48     924    1495    +    1.1e-191  634.8  25.2  -
Geodermatophilaceae       -          LKAP-GutHK_F12_086   -               65     917      58     924      24     924    1479    +    1.1e-191  634.8  25.6  -
Corynebacteriaceae        -          LKAP-GutHK_F12_086   -               28     908      19     924       5     924    1459    +      4e-191  632.8  25.3  -
Balneolaceae              -          LKAP-GutHK_F12_086   -               64     919      67     924      45     924    1459    +    4.9e-191  632.6  25.6  -
Acidaminococcaceae        -          LKAP-GutHK_F12_086   -               73     944      73     924      51     924    1504    +    7.1e-191  631.7  24.9  -
Cytophagaceae             -          LKAP-GutHK_F12_086   -               59     909      70     924      46     924    1437    +    7.6e-191  632.0  25.2  -
Cellulomonadaceae         -          LKAP-GutHK_F12_086   -               73     909      72     923      48     924    1465    +    7.6e-191  632.1  24.8  -
Kineosporiaceae           -          LKAP-GutHK_F12_086   -               37     907      19     923       4     924    1463    +    1.3e-190  631.4  25.5  -
Woeseiaceae               -          LKAP-GutHK_F12_086   -               37     934      18     924       2     924    1476    +      3e-190  629.8  25.8  -
Listeriaceae              -          LKAP-GutHK_F12_086   -               53     921      67     924      45     924    1448    +    3.1e-190  630.1  24.8  -
