# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               27    1030      18    1003       4    1014    1474    +           0 1069.9  18.3  -
Piscirickettsiaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               29    1011      18     990       6    1012    1466    +    5.2e-256  847.9  18.5  -
Alcanivoracaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               47     992      18     961       5     982    1504    +    7.7e-255  844.0  19.2  -
Methylococcaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               41    1027      18    1003       9    1014    1481    +    8.6e-255  844.0  18.2  -
Hahellaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               22     974      15     963       4     985    1473    +    1.4e-253  840.1  19.3  -
Succinivibrionaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               30     997      18    1003       6    1014    1473    +    8.6e-252  834.0  17.8  -
Orbaceae                  -          LKAP-GUTHK2_G01_003_2017_1 -               54    1037      18     995       6    1013    1539    +    6.5e-251  831.1  18.3  -
Ectothiorhodospiraceae    -          LKAP-GUTHK2_G01_003_2017_1 -               33    1009      17     985       6     989    1463    +      8e-249  824.3  19.5  -
Halieaceae                -          LKAP-GUTHK2_G01_003_2017_1 -               35    1003      18     985       6    1005    1484    +    1.1e-248  823.7  18.8  -
Thioalkalispiraceae       -          LKAP-GUTHK2_G01_003_2017_1 -               40     992      19     962       6     983    1479    +    1.3e-248  823.5  19.3  -
Lysobacteraceae           -          LKAP-GUTHK2_G01_003_2017_1 -               27    1013      17     993       3    1013    1484    +      2e-248  822.9  18.5  -
Halomonadaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               27    1019      18    1003       3    1014    1466    +    4.2e-248  821.7  18.2  -
Moraxellaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               24     999      18     990       5    1011    1468    +    1.2e-247  820.5  18.5  -
Saccharospirillaceae      -          LKAP-GUTHK2_G01_003_2017_1 -               29     968      18     962       3     984    1468    +    8.9e-247  817.4  19.2  -
Litoricolaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               35     978      18     960       5     981    1474    +    5.3e-246  815.0  19.5  -
Thermoleophilaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               20     974      18     961       6     982    1494    +    6.8e-245  811.1  19.5  -
Spongiibacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               29     999      17     984       3     999    1462    +      2e-244  809.5  18.7  -
Halothiobacillaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               44    1020      18     984       8     997    1500    +      2e-243  806.4  18.9  -
Kangiellaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               36    1015      18     985       8    1004    1479    +    3.5e-243  805.5  18.4  -
Microbulbiferaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               27     966      18     961       5     981    1480    +      3e-242  802.6  19.7  -
Chromobacteriaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               26     995      18     985       3    1005    1460    +    2.5e-238  789.5  19.0  -
Thiotrichaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               27     975      18    1002       6    1013    1421    +    1.4e-235  780.3  16.8  -
Coxiellaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               27    1009      18     984       7     992    1475    +    2.3e-234  776.3  19.0  -
Nevskiaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               43     969      24     963       9    1003    1470    +    8.4e-234  774.7  18.8  -
Cardiobacteriaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               35    1017      18     995       8    1013    1464    +      1e-233  774.5  18.2  -
Granulosicoccaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               27     972      18     959       9     980    1471    +    3.3e-233  772.6  19.1  -
Rhodocyclaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               27     999      18     984       7    1004    1484    +    1.7e-232  770.1  19.1  -
Legionellaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               23    1007      18     991       6    1011    1446    +    4.1e-232  768.9  18.4  -
Rhodanobacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               28    1005      18     985       5    1005    1473    +    4.9e-231  765.3  18.9  -
Thiotrichales             -          LKAP-GUTHK2_G01_003_2017_1 -               47    1021      18     995       7    1008    1519    +    2.2e-229  759.5  17.5  -
Arenicellaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               34     997      24     985       7    1005    1488    +    8.6e-229  758.0  18.9  -
Neisseriaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               41    1033      18    1002       8    1013    1477    +    6.4e-228  755.0  18.2  -
Rhodospirillaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               31     938      20     979       6     998    1429    +    6.5e-227  751.8  17.3  -
Hydrogenophilaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               27     997      18     984       7     994    1461    +      1e-226  751.1  19.3  -
Alcaligenaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               27     989      18     977       5     988    1467    +    3.1e-226  749.5  19.2  -
Burkholderiaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               27     966      18     961       7     982    1482    +      7e-226  748.3  19.6  -
Sutterellaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               27     992      18     979       6     986    1487    +      1e-224  744.2  19.5  -
Acidiferrobacteraceae     -          LKAP-GUTHK2_G01_003_2017_1 -               64    1012      65    1004      56    1014    1454    +    1.3e-224  744.1  18.7  -
Sulfuricellaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               28     971      18     961       9     981    1463    +    2.2e-222  736.7  19.1  -
Methylophilaceae          -          LKAP-GUTHK2_G01_003_2017_1 -                9     957      17     961      10     982    1431    +    3.5e-220  729.4  19.0  -
Oxalobacteraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               27     989      18     978       5     998    1459    +    5.4e-220  728.8  19.0  -
Salinisphaeraceae         -          LKAP-GUTHK2_G01_003_2017_1 -               15     987      18     984       7    1003    1429    +      7e-220  728.4  19.1  -
Burkholderiales           -          LKAP-GUTHK2_G01_003_2017_1 -               27     983      18     973       6     987    1463    +    2.2e-219  726.7  19.6  -
Hyphomicrobiaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               50     927      58     971      34     999    1427    +      1e-217  721.2  17.0  -
Francisellaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               38     973      19     960       6     981    1508    +    2.8e-217  719.7  19.2  -
Acidithiobacillaceae      -          LKAP-GUTHK2_G01_003_2017_1 -               26     993      18     984       7    1004    1457    +    6.9e-217  718.3  19.2  -
Geobacteraceae            -          LKAP-GUTHK2_G01_003_2017_1 -               35     995      18     962       5     983    1487    +    1.5e-215  713.9  19.5  -
Nitrosomonadaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               27     997      18     983       8     986    1461    +    8.6e-215  711.6  19.5  -
Desulfobulbaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               29    1022      19     989       7    1009    1483    +    9.1e-215  711.3  18.3  -
Comamonadaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               27     965      18     960       5     980    1466    +    1.1e-214  710.9  19.7  -
Methylothermaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               48    1022      18     983       3     990    1491    +    3.1e-214  709.6  19.6  -
Thermithiobacillaceae     -          LKAP-GUTHK2_G01_003_2017_1 -               12     983      18     986      13    1006    1419    +    4.8e-214  709.0  18.4  -
Rhodobiaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               64     943      64     980      42    1000    1440    +    4.9e-214  709.2  17.4  -
Desulfobacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               40    1036      18     986       9    1006    1516    +    1.7e-213  707.1  18.2  -
Deltaproteobacteria       -          LKAP-GUTHK2_G01_003_2017_1 -               83    1006      62     961      23     982    1514    +    2.1e-213  706.9  19.5  -
Desulfovibrionaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               42     995      18     961       6     983    1527    +    4.1e-213  705.9  19.6  -
Clostridiaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               41     962      18     961       5     988    1485    +    5.5e-213  705.3  18.8  -
Zoogloeaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               34     977      18     963       8     983    1474    +    6.8e-213  705.1  19.7  -
Eubacteriaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               41     996      18     986       9    1007    1485    +    1.6e-212  703.8  17.4  -
Azonexaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               28     989      18     974       8     985    1474    +    2.1e-212  703.7  19.7  -
Clostridiales             -          LKAP-GUTHK2_G01_003_2017_1 -               34     990      18     987       6    1007    1470    +    2.1e-212  703.5  17.0  -
Thiobacilliaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               46     984      18     958       7     979    1517    +    7.1e-212  701.8  19.8  -
Acetobacteraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               58     942      63     981      43    1003    1438    +    2.2e-211  700.4  18.0  -
Alphaproteobacteria       -          LKAP-GUTHK2_G01_003_2017_1 -               27     932      18     979       5     999    1409    +    4.5e-211  699.4  17.4  -
Syntrophaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               62    1004      44     961      23     982    1551    +    2.4e-210  696.7  19.0  -
Syntrophomonadaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               44    1041      18     997       5    1008    1515    +      2e-209  693.4  18.5  -
Desulfuromonadaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               45    1004      19     961       6     981    1518    +    3.6e-209  692.9  19.4  -
Methylocystaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               40     945      20     975       7     997    1424    +    7.7e-209  691.9  17.4  -
Desulfohalobiaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               33    1030      18     986       5     988    1509    +      9e-209  691.5  19.7  -
Hyphomonadaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               27     915      18     961       5     983    1400    +    4.7e-208  689.4  18.2  -
Wenzhouxiangellaceae      -          LKAP-GUTHK2_G01_003_2017_1 -               27     977      18     960       4     982    1472    +    1.1e-206  684.4  19.2  -
Sphingomonadaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               61     946      64     985      42    1005    1434    +    1.2e-206  684.8  16.7  -
Sneathiellaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               32     927      18     958       6     979    1427    +    8.2e-206  681.8  18.2  -
Peptococcaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               34     987      18     984       5    1005    1479    +    9.7e-205  678.0  17.9  -
Rhodobacteraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               27     949      18     994       5    1011    1402    +    1.1e-204  678.0  16.7  -
Rhizobiales               -          LKAP-GUTHK2_G01_003_2017_1 -               37     926      18     962       4     987    1438    +    3.2e-204  676.6  18.4  -
Anaplasmataceae           -          LKAP-GUTHK2_G01_003_2017_1 -               38     945      18     959       6     979    1441    +    5.6e-204  675.9  17.5  -
Ruminococcaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               27     985      18     978       5     999    1457    +    1.9e-203  673.8  17.9  -
Bdellovibrionaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               23     940      18     959       7     979    1430    +    4.5e-203  672.6  19.2  -
Rhizobiaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               49     929      60     978      28     999    1422    +    1.1e-202  671.4  17.0  -
Xanthobacteraceae         -          LKAP-GUTHK2_G01_003_2017_1 -               52     920      64     967      43     999    1415    +    1.3e-202  671.3  17.2  -
Erythrobacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               55     941      64     984      42    1004    1433    +    9.9e-202  668.4  16.9  -
Phyllobacteriaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               50     930      61     978      38     994    1424    +    1.1e-201  668.1  17.3  -
Syntrophobacteraceae      -          LKAP-GUTHK2_G01_003_2017_1 -               70     996      61     961      24     981    1496    +    1.2e-201  668.1  19.3  -
Helicobacteraceae         -          LKAP-GUTHK2_G01_003_2017_1 -               46    1004      18    1004       5    1012    1473    +    4.3e-201  665.7  16.0  -
Nautiliaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               27     974      18     989       6    1004    1431    +      7e-201  665.6  17.6  -
Bacillales                -          LKAP-GUTHK2_G01_003_2017_1 -               34    1027      18     994       6    1008    1503    +      9e-201  665.1  17.8  -
Acidobacteria             -          LKAP-GUTHK2_G01_003_2017_1 -               85    1003      64     960      42     980    1505    +    5.9e-199  659.5  19.9  -
Bacillaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               24    1007      17     974       2     994    1493    +    1.7e-198  657.5  18.9  -
Deferribacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               73    1019      66     991      45    1008    1513    +    1.8e-198  657.2  18.3  -
Bacteroidaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               36     985      18     962      10     982    1480    +    1.7e-197  654.1  19.1  -
Peptostreptococcaceae     -          LKAP-GUTHK2_G01_003_2017_1 -               27     948      18     962       7     985    1441    +    2.6e-197  653.4  18.8  -
Aurantimonadaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               69     938      62     967      40     994    1442    +    8.1e-197  652.1  17.2  -
Synergistaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               27     948      18     963       5    1000    1450    +    1.7e-196  650.9  19.5  -
Brucellaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               57     935      64     979      42     999    1411    +    3.2e-196  650.1  17.2  -
Verrucomicrobiaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               28     974      18     961       1     983    1470    +    3.4e-196  650.0  20.2  -
Thermoanaerobacteraceae   -          LKAP-GUTHK2_G01_003_2017_1 -               33    1003      18     986       5    1006    1492    +    5.3e-196  649.0  19.1  -
Lachnospiraceae           -          LKAP-GUTHK2_G01_003_2017_1 -               27     964      18     962       6     990    1469    +    1.4e-195  647.7  18.3  -
Holophagaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               77    1016      69     987      56    1000    1502    +    1.5e-195  647.9  19.2  -
Lactobacillaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               30    1035      18     978       5     996    1522    +      6e-195  645.8  18.5  -
Beijerinckiaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               63     927      60     960      39     985    1421    +      1e-194  644.9  18.2  -
Desulfomicrobiaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               75    1018      64     985      43     995    1495    +    1.1e-194  644.8  18.7  -
Campylobacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               27     982      18     987       5    1006    1429    +    1.3e-194  644.3  17.2  -
Methylobacteriaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               27     937      18     977       4     998    1426    +    1.4e-194  644.6  17.7  -
Kiloniellaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               48     963      20     980       4     998    1450    +    2.5e-194  643.5  17.4  -
Selenomonadaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               46    1050      18    1003       6    1012    1531    +    5.3e-194  642.5  17.8  -
Caulobacteraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               54     934      64     976      42     996    1415    +    5.9e-194  642.5  16.9  -
Bradyrhizobiaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               50     934      57     979      30     999    1428    +    1.3e-193  641.3  16.9  -
Spirochaetaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               31    1029      16    1004       4    1014    1486    +      8e-193  638.8  18.0  -
Kordiimonadaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               28     925      19     960       7     980    1421    +      1e-192  638.5  17.9  -
Paenibacillaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               28     989      18     962       3     994    1493    +      2e-192  637.4  19.1  -
Streptomycetaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               27     968      18     974       5     997    1479    +    4.6e-192  636.3  19.1  -
Micrococcaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               36     975      18     969       3     993    1476    +    5.3e-192  636.0  19.3  -
Thermoanaerobacterales    -          LKAP-GUTHK2_G01_003_2017_1 -               34    1004      17     987       2    1005    1472    +    9.1e-191  631.8  19.3  -
Thermoactinomycetaceae    -          LKAP-GUTHK2_G01_003_2017_1 -               35     984      18     960       6     981    1495    +    2.8e-190  630.5  19.5  -
Planococcaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               27     990      18     966       3     988    1491    +    2.1e-189  627.3  19.3  -
Fusobacteriaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               67     976      52     985      30    1003    1458    +    4.8e-189  626.2  17.9  -
Desulfarculaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               80    1000      66     961      45     981    1516    +    8.9e-189  625.4  19.1  -
Carnobacteriaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               27     986      18     961       4     981    1496    +    9.9e-189  625.1  19.6  -
Rhodothermaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               52     957      51     955      28     970    1457    +      2e-188  624.1  19.3  -
Spirillaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               43    1039      18    1003       8    1014    1447    +    3.7e-188  623.4  17.9  -
Alicyclobacillaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               47    1005      18     979       4     996    1512    +    5.5e-188  622.9  19.0  -
Haliangiaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               44     989      19     947       5     968    1507    +    7.5e-188  622.3  21.1  -
Veillonellaceae           -          LKAP-GUTHK2_G01_003_2017_1 -                8    1002      21     993      15    1006    1450    +    1.1e-187  621.5  18.2  -
Erysipelotrichaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               32     968      18     962       8     982    1466    +    4.1e-187  619.9  19.7  -
Parvularculaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               74     952      64     979      43     998    1428    +    6.2e-187  619.5  17.4  -
Brevibacteriaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               37     994      18     981       5    1002    1487    +    6.8e-187  618.9  17.9  -
Bartonellaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               39     925      44     971      22     991    1410    +    1.5e-186  617.9  17.5  -
Heliobacteriaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               44     998      18     984       9     995    1500    +    2.4e-186  617.2  18.5  -
Halobacteriovoracaceae    -          LKAP-GUTHK2_G01_003_2017_1 -               59    1014      60     983      33     999    1480    +    2.8e-186  616.9  18.3  -
Aerococcaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               27    1002      18     973       5     993    1473    +    3.9e-186  616.5  18.6  -
Oleiphilaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               36     970      18     961       3     984    1437    +    8.2e-186  615.3  19.6  -
Bacteriovoracaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               65     981      66     961      44     981    1473    +    8.8e-186  615.3  19.5  -
Chelatococcaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               64     923      63     958      23     978    1439    +    1.9e-185  614.5  17.7  -
Staphylococcaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               29     982      18     960       4     980    1479    +    2.2e-185  614.0  18.8  -
Patulibacteraceae         -          LKAP-GUTHK2_G01_003_2017_1 -               86     995      64     971      43     990    1494    +    7.4e-185  612.0  18.9  -
Rickettsiaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               27     954      18     988      10    1000    1430    +    1.6e-184  611.2  16.5  -
Rubrobacteraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               65     975      65     959      44     978    1495    +    2.5e-184  610.5  19.9  -
Streptococcaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               33     992      18     961       5     982    1497    +    5.8e-184  609.3  19.0  -
Cohaesibacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               42     957      13     985       2    1004    1425    +    6.9e-184  609.2  17.7  -
Microbacteriaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               30    1004      18    1003       4    1010    1464    +    9.5e-184  608.5  17.6  -
Intrasporangiaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               26     987      17     987       2    1007    1461    +      1e-183  608.4  18.2  -
Puniceicoccaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               37    1014      18     990       1    1004    1485    +    1.3e-183  608.1  18.1  -
Salinibacteraceae         -          LKAP-GUTHK2_G01_003_2017_1 -               59     987      24     955       8     968    1497    +    1.5e-183  608.0  20.3  -
Thermolithobacteraceae    -          LKAP-GUTHK2_G01_003_2017_1 -               47    1044      18     988       5    1008    1546    +    2.5e-183  607.0  18.3  -
Mycoplasmataceae          -          LKAP-GUTHK2_G01_003_2017_1 -               22     954      18     960      12     970    1467    +    4.6e-183  606.5  18.8  -
Pseudonocardiaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               33     989      18     987       3     999    1475    +    6.3e-183  605.9  19.2  -
Halanaerobiaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               36    1030      19     984       9    1004    1503    +    8.7e-183  605.3  18.7  -
Polyangiaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               84     995      66     954      45     977    1548    +    1.1e-182  605.1  20.2  -
Cystobacteraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               28     982      19     962       5     982    1491    +    1.9e-182  604.2  19.4  -
Flammeovirgaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               27     956      18     955       5     976    1446    +    1.9e-182  604.5  19.5  -
Myxococcaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               42     997      19     961       6     981    1517    +    3.2e-182  603.4  19.2  -
Leptospiraceae            -          LKAP-GUTHK2_G01_003_2017_1 -               54     940      64     958      44     979    1431    +    3.5e-182  603.3  18.7  -
Flavobacteriaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               25     982      17     975       4     998    1451    +    3.6e-182  603.3  18.6  -
Propionibacteriaceae      -          LKAP-GUTHK2_G01_003_2017_1 -               31     959      18     961       4     995    1462    +    5.2e-182  602.9  18.8  -
Desulfonatronaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               28    1012      19     984       4     989    1495    +      9e-182  602.0  19.7  -
Nitrospiraceae            -          LKAP-GUTHK2_G01_003_2017_1 -               33     956      18     960       6     976    1479    +    2.3e-181  600.6  17.9  -
Acidimicrobiaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               47     969      18     958       8     979    1464    +    3.6e-181  600.2  18.6  -
Porticoccaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               35     974      18     961       3     982    1497    +    4.8e-181  599.5  19.7  -
Woeseiaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               36     981      18     960       4     981    1476    +    2.3e-180  597.2  19.5  -
Actinomycetaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               27    1014      18     988       8    1004    1468    +    3.4e-180  596.8  18.0  -
Calditrichaeota           -          LKAP-GUTHK2_G01_003_2017_1 -               79    1019      68     985      45     994    1483    +    3.9e-180  596.8  19.0  -
Enterococcaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               27     990      18     960       3     981    1498    +    6.7e-180  595.9  19.3  -
Oscillatoriales           -          LKAP-GUTHK2_G01_003_2017_1 -               56     950      65     985      43    1004    1445    +      2e-179  594.4  17.6  -
Immundisolibacteraceae    -          LKAP-GUTHK2_G01_003_2017_1 -               56    1050      18    1004       5    1014    1555    +    2.1e-179  594.0  18.2  -
Listeriaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               15     968      19     960       7     980    1448    +    5.2e-179  593.0  18.3  -
Nocardiaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               27     976      18     983       5     994    1472    +    5.3e-179  592.9  19.2  -
