# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          A1d2_reverse         -              496    1437     960      20     960       6    1468    -           0 1037.6   5.1  -
Budviciaceae              -          A1d2_reverse         -              495    1400     960      51     960      35    1483    -    5.1e-233  771.7   6.2  -
Syntrophomonadaceae       -          A1d2_reverse         -              538    1423     951      67     960      45    1515    -    3.5e-232  768.8   6.1  -
Methylophilaceae          -          A1d2_reverse         -              495    1405     952      44     960      27    1431    -    3.8e-232  769.0   5.6  -
Salinisphaeraceae         -          A1d2_reverse         -              490    1407     960      41     960      23    1429    -    2.3e-231  766.4   5.4  -
Hydrogenophilaceae        -          A1d2_reverse         -              506    1414     952      45     960      35    1461    -    3.5e-231  765.9   5.7  -
Geobacteraceae            -          A1d2_reverse         -              525    1431     960      54     960      34    1487    -    1.1e-230  764.0   5.5  -
Oxalobacteraceae          -          A1d2_reverse         -              508    1409     952      45     960      24    1459    -    4.6e-230  762.1   5.6  -
Acetobacteraceae          -          A1d2_reverse         -              456    1362     959      54     960      32    1438    -    2.7e-229  759.7   5.8  -
Ruminococcaceae           -          A1d2_reverse         -              504    1394     951      55     960      39    1457    -    3.7e-229  758.9   5.5  -
Francisellaceae           -          A1d2_reverse         -              508    1418     954      45     960      25    1508    -    5.1e-229  758.5   5.6  -
Sulfuricellaceae          -          A1d2_reverse         -              509    1418     952      44     960      22    1463    -    3.1e-228  755.9   5.4  -
Lactobacillaceae          -          A1d2_reverse         -              547    1448     958      55     960      35    1522    -      4e-228  755.6   5.6  -
Thiobacilliaceae          -          A1d2_reverse         -              525    1429     952      44     960      23    1517    -    1.6e-227  753.6   5.5  -
Thermithiobacillaceae     -          A1d2_reverse         -              484    1400     960      45     960      36    1419    -    2.9e-227  752.7   6.0  -
Desulfuromonadaceae       -          A1d2_reverse         -              535    1439     960      57     960      38    1518    -    3.3e-227  752.6   5.5  -
Hyphomicrobiaceae         -          A1d2_reverse         -              451    1353     959      54     960      37    1427    -    6.9e-227  751.5   5.6  -
Lachnospiraceae           -          A1d2_reverse         -              496    1398     958      57     960      40    1469    -    7.9e-227  751.2   5.8  -
Sutterellaceae            -          A1d2_reverse         -              510    1411     952      45     960      36    1487    -    9.1e-227  750.9   5.7  -
Burkholderiales           -          A1d2_reverse         -              507    1408     952      45     960      24    1463    -    3.2e-226  749.3   5.5  -
Nitrosomonadaceae         -          A1d2_reverse         -              507    1412     952      48     960      33    1461    -    8.7e-226  748.0   5.7  -
Helicobacteraceae         -          A1d2_reverse         -              484    1396     960      49     960      27    1473    -    4.1e-225  745.3   5.7  -
Nautiliaceae              -          A1d2_reverse         -              474    1386     959      49     960      28    1431    -    4.1e-225  745.9   5.6  -
Bacillales                -          A1d2_reverse         -              528    1427     959      60     960      39    1503    -    9.5e-225  744.5   5.7  -
Deferribacteraceae        -          A1d2_reverse         -              514    1427     960      55     960      37    1513    -    8.1e-224  741.2   6.0  -
Peptostreptococcaceae     -          A1d2_reverse         -              482    1386     959      54     960      36    1441    -    1.1e-223  740.6   5.7  -
Thorselliaceae            -          A1d2_reverse         -              474    1385     960      47     960      29    1419    -    3.5e-223  739.1   5.8  -
Azonexaceae               -          A1d2_reverse         -              510    1419     952      44     960      23    1474    -      8e-223  738.2   5.5  -
Peptococcaceae            -          A1d2_reverse         -              492    1398     958      59     960      39    1479    -    1.7e-222  736.8   6.0  -
Spirillaceae              -          A1d2_reverse         -              517    1431     958      45     960      35    1447    -    2.8e-222  736.4   5.7  -
Thermoanaerobacterales    -          A1d2_reverse         -              504    1416     959      55     960      35    1472    -    4.4e-222  735.6   6.1  -
Methylothermaceae         -          A1d2_reverse         -              526    1433     959      55     960      41    1491    -      1e-221  734.3   5.7  -
Bdellovibrionaceae        -          A1d2_reverse         -              478    1376     954      55     958      37    1430    -    2.2e-221  733.2   5.7  -
Desulfomicrobiaceae       -          A1d2_reverse         -              522    1424     960      57     960      39    1495    -    2.4e-221  733.1   5.7  -
Thermoanaerobacteraceae   -          A1d2_reverse         -              509    1414     951      60     960      40    1492    -    4.8e-221  731.9   6.1  -
Spirochaetaceae           -          A1d2_reverse         -              523    1404     950      68     960      46    1486    -    5.2e-221  732.1   6.0  -
Alphaproteobacteria       -          A1d2_reverse         -              448    1353     960      54     960      42    1409    -    8.3e-221  731.6   5.6  -
Bacillaceae               -          A1d2_reverse         -              517    1427     959      55     960      37    1493    -    5.8e-220  728.6   5.6  -
Zoogloeaceae              -          A1d2_reverse         -              513    1419     952      47     960      26    1474    -    2.1e-219  726.6   5.8  -
Campylobacteraceae        -          A1d2_reverse         -              482    1408     960      35     960      15    1429    -    2.7e-219  726.0   5.3  -
Bacteroidaceae            -          A1d2_reverse         -              520    1417     959      55     960      41    1480    -      7e-219  724.9   5.9  -
Erysipelotrichaceae       -          A1d2_reverse         -              507    1395     957      57     960      36    1466    -    7.1e-219  725.1   5.9  -
Comamonadaceae            -          A1d2_reverse         -              506    1431     952      22     960       3    1466    -    1.1e-218  724.0   5.2  -
Syntrophobacteraceae      -          A1d2_reverse         -              527    1433     960      55     960      43    1496    -    1.9e-218  723.6   5.9  -
Synergistaceae            -          A1d2_reverse         -              481    1401     959      46     960      35    1450    -    1.2e-217  720.9   6.1  -
Leptospiraceae            -          A1d2_reverse         -              485    1377     950      52     960      35    1431    -    1.5e-217  720.4   5.3  -
Leuconostocaceae          -          A1d2_reverse         -              531    1422     946      54     959      35    1479    -    2.3e-217  720.0   5.0  -
Paenibacillaceae          -          A1d2_reverse         -              521    1417     959      64     960      45    1493    -    3.2e-217  719.5   6.1  -
Streptococcaceae          -          A1d2_reverse         -              535    1426     948      55     960      35    1497    -    2.1e-216  716.8   5.3  -
Fusobacteriaceae          -          A1d2_reverse         -              501    1404     949      45     960      30    1458    -    4.5e-215  712.4   5.4  -
Rhodobiaceae              -          A1d2_reverse         -              458    1363     960      54     960      34    1440    -      1e-213  708.1   5.5  -
Acidobacteria             -          A1d2_reverse         -              535    1417     960      76     960      50    1505    -    1.3e-213  708.0   6.1  -
Methylocystaceae          -          A1d2_reverse         -              462    1361     958      55     960      35    1424    -    2.3e-213  706.8   5.6  -
Aerococcaceae             -          A1d2_reverse         -              526    1420     950      54     960      33    1473    -    3.4e-213  706.1   5.5  -
Calditrichaeota           -          A1d2_reverse         -              524    1412     954      68     960      49    1483    -    6.3e-213  705.4   6.1  -
Thermoactinomycetaceae    -          A1d2_reverse         -              518    1415     959      60     960      40    1495    -      3e-212  703.2   6.0  -
Heliobacteriaceae         -          A1d2_reverse         -              501    1393     959      68     960      47    1500    -    1.1e-211  701.1   6.1  -
Nitrospiraceae            -          A1d2_reverse         -              491    1405     959      55     960      39    1479    -    1.1e-211  701.0   5.9  -
Desulfonatronaceae        -          A1d2_reverse         -              518    1419     960      57     960      43    1495    -    1.5e-211  700.6   6.0  -
Selenomonadaceae          -          A1d2_reverse         -              544    1447     959      55     960      37    1531    -      3e-211  699.6   5.9  -
Hyphomonadaceae           -          A1d2_reverse         -              448    1333     960      55     960      35    1400    -    3.7e-211  699.6   5.4  -
Peptoniphilaceae          -          A1d2_reverse         -              474    1359     959      66     960      46    1437    -    4.8e-211  699.2   6.4  -
Rhizobiaceae              -          A1d2_reverse         -              448    1349     959      56     960      35    1422    -    1.2e-210  697.8   5.7  -
Sporolactobacillaceae     -          A1d2_reverse         -              512    1414     959      57     960      40    1503    -    4.2e-210  695.8   5.6  -
Carnobacteriaceae         -          A1d2_reverse         -              519    1419     958      56     960      37    1496    -      8e-210  695.0   5.7  -
Desulfarculaceae          -          A1d2_reverse         -              531    1437     960      52     960      32    1516    -    8.5e-210  695.0   5.7  -
Rhizobiales               -          A1d2_reverse         -              459    1359     959      58     960      38    1438    -    8.9e-210  695.0   5.6  -
Cytophagaceae             -          A1d2_reverse         -              492    1395     959      52     960      32    1437    -    1.9e-209  693.7   5.9  -
Thermaceae                -          A1d2_reverse         -              490    1393     960      55     960      43    1477    -    2.8e-209  693.3   6.1  -
Sphingomonadaceae         -          A1d2_reverse         -              455    1360     960      55     960      35    1434    -    4.8e-209  692.7   5.6  -
Planococcaceae            -          A1d2_reverse         -              517    1416     957      59     960      39    1491    -    6.4e-209  691.9   5.6  -
Natranaerobiaceae         -          A1d2_reverse         -              486    1353     951      83     960      60    1429    -    1.8e-208  690.4   6.0  -
Rhodobacteraceae          -          A1d2_reverse         -              450    1335     960      55     960      36    1402    -    1.9e-208  690.5   5.4  -
Flammeovirgaceae          -          A1d2_reverse         -              496    1399     960      52     960      32    1446    -    5.1e-208  689.2   5.7  -
Alicyclobacillaceae       -          A1d2_reverse         -              523    1423     959      56     960      41    1512    -    5.6e-208  689.1   5.9  -
Mycoplasmataceae          -          A1d2_reverse         -              494    1386     960      54     960      34    1467    -    6.4e-208  688.8   5.8  -
Enterococcaceae           -          A1d2_reverse         -              531    1425     950      55     960      35    1498    -      1e-207  688.0   5.6  -
Aurantimonadaceae         -          A1d2_reverse         -              466    1365     959      56     960      40    1442    -    1.1e-207  688.1   5.7  -
Haliangiaceae             -          A1d2_reverse         -              534    1438     960      55     960      38    1507    -    1.9e-207  687.2   6.0  -
Streptomycetaceae         -          A1d2_reverse         -              482    1392     958      55     960      39    1479    -    1.2e-206  684.6   5.5  -
Bradyrhizobiaceae         -          A1d2_reverse         -              451    1354     959      54     960      37    1428    -    1.8e-206  683.8   5.7  -
Caldicoprobacteraceae     -          A1d2_reverse         -              514    1421     959      65     960      43    1530    -    2.4e-206  683.4   6.1  -
Anaplasmataceae           -          A1d2_reverse         -              483    1377     960      63     960      45    1441    -    5.2e-206  682.5   5.8  -
Halobacteroidaceae        -          A1d2_reverse         -              514    1414     951      55     960      37    1478    -    9.4e-206  681.2   5.8  -
Phyllobacteriaceae        -          A1d2_reverse         -              448    1352     959      55     960      35    1424    -    1.9e-205  680.6   5.4  -
Sneathiellaceae           -          A1d2_reverse         -              463    1368     960      55     960      35    1427    -    4.9e-205  679.1   5.7  -
Staphylococcaceae         -          A1d2_reverse         -              516    1418     958      56     960      36    1479    -    5.3e-205  679.0   5.5  -
Bacteriovoracaceae        -          A1d2_reverse         -              517    1421     954      51     960      34    1473    -    1.1e-204  677.9   5.7  -
Xanthobacteraceae         -          A1d2_reverse         -              448    1350     958      55     960      42    1415    -    1.5e-204  677.6   5.6  -
Caulobacteraceae          -          A1d2_reverse         -              449    1326     959      56     960      35    1415    -    2.8e-204  676.7   5.4  -
Micrococcaceae            -          A1d2_reverse         -              497    1411     958      47     960      33    1476    -    1.3e-203  674.4   5.7  -
Methylobacteriaceae       -          A1d2_reverse         -              451    1345     959      61     960      51    1426    -    1.7e-203  674.1   5.6  -
Brucellaceae              -          A1d2_reverse         -              453    1354     958      56     960      37    1411    -    1.8e-203  674.1   5.5  -
Erythrobacteraceae        -          A1d2_reverse         -              449    1354     960      55     960      36    1433    -    6.4e-203  672.3   5.6  -
Deinococcaceae            -          A1d2_reverse         -              482    1375     960      63     960      46    1455    -    6.5e-203  672.0   6.1  -
Puniceicoccaceae          -          A1d2_reverse         -              518    1415     960      60     960      40    1485    -    7.5e-203  671.8   5.7  -
Halobacteriovoracaceae    -          A1d2_reverse         -              522    1422     954      55     960      38    1480    -    1.2e-202  671.0   5.6  -
Flavobacteriaceae         -          A1d2_reverse         -              504    1391     960      68     960      48    1451    -    2.2e-202  670.2   6.2  -
Polyangiaceae             -          A1d2_reverse         -              534    1443     959      52     960      38    1548    -    2.8e-202  669.9   5.8  -
Beijerinckiaceae          -          A1d2_reverse         -              462    1364     959      57     960      37    1421    -    4.4e-202  669.3   5.4  -
Myxococcaceae             -          A1d2_reverse         -              528    1429     960      55     960      35    1517    -    2.5e-201  666.7   5.5  -
Planctomycetaceae         -          A1d2_reverse         -              507    1368     950      95     960      75    1486    -    4.4e-200  662.9   6.2  -
Oscillatoriales           -          A1d2_reverse         -              452    1349     959      60     960      42    1445    -    8.1e-200  661.9   5.7  -
Anaeroplasmataceae        -          A1d2_reverse         -              515    1387     951      67     960      46    1453    -    1.8e-199  660.7   6.0  -
Bernardetiaceae           -          A1d2_reverse         -              507    1394     952      61     960      40    1481    -    2.6e-199  660.0   6.0  -
Cohaesibacteraceae        -          A1d2_reverse         -              469    1370     958      56     960      35    1425    -    2.9e-199  660.1   5.6  -
Listeriaceae              -          A1d2_reverse         -              503    1402     957      55     960      35    1448    -    3.8e-199  659.7   5.4  -
Sporomusaceae             -          A1d2_reverse         -              536    1442     959      55     960      40    1535    -    6.6e-199  658.5   5.8  -
Cystobacteraceae          -          A1d2_reverse         -              512    1413     960      55     960      35    1491    -    1.6e-198  657.4   5.6  -
Porticoccaceae            -          A1d2_reverse         -              508    1423     958      42     960      21    1497    -    2.8e-198  656.5   5.5  -
Holophagaceae             -          A1d2_reverse         -              520    1387     960      93     960      73    1502    -    3.5e-198  656.5   6.1  -
Leptotrichiaceae          -          A1d2_reverse         -              514    1404     948      54     960      36    1492    -    3.7e-198  656.2   5.3  -
Rhodothermaceae           -          A1d2_reverse         -              496    1386     960      67     960      49    1457    -    5.9e-198  655.6   5.9  -
Desulfurellaceae          -          A1d2_reverse         -              530    1442     952      52     960      34    1529    -    6.8e-198  655.2   5.8  -
Veillonellaceae           -          A1d2_reverse         -              506    1411     958      55     960      36    1450    -    8.5e-198  654.9   5.9  -
Immundisolibacteraceae    -          A1d2_reverse         -              536    1442     958      50     960      28    1555    -    2.6e-197  653.2   5.6  -
Pseudonocardiaceae        -          A1d2_reverse         -              496    1391     951      57     960      37    1475    -    3.5e-197  653.1   5.7  -
Thermodesulfobacteriaceae -          A1d2_reverse         -              517    1436     959      54     960      34    1497    -      4e-197  653.0   6.1  -
Kiloniellaceae            -          A1d2_reverse         -              482    1379     954      57     960      43    1450    -    6.7e-197  651.9   5.3  -
Cytophagales              -          A1d2_reverse         -              498    1384     959      68     960      48    1444    -    8.1e-197  651.9   6.1  -
Nannocystaceae            -          A1d2_reverse         -              512    1424     960      45     960      26    1487    -    9.1e-197  651.7   5.7  -
Corynebacterineae         -          A1d2_reverse         -              486    1383     952      55     960      38    1473    -      1e-196  651.6   5.6  -
Thermolithobacteraceae    -          A1d2_reverse         -              550    1437     959      81     960      59    1546    -    1.3e-196  651.0   6.1  -
Nocardiaceae              -          A1d2_reverse         -              486    1384     952      55     960      38    1472    -      2e-196  650.6   5.7  -
Chlorobiaceae             -          A1d2_reverse         -              512    1391     958      69     960      48    1455    -    2.4e-196  650.3   5.9  -
Rikenellaceae             -          A1d2_reverse         -              513    1398     959      68     960      57    1456    -    2.8e-196  650.0   5.9  -
Rickettsiaceae            -          A1d2_reverse         -              463    1367     959      55     960      39    1430    -    3.4e-196  649.9   5.7  -
Kordiimonadaceae          -          A1d2_reverse         -              459    1361     960      57     960      37    1421    -    4.7e-196  649.5   5.3  -
Propionibacteriaceae      -          A1d2_reverse         -              494    1374     951      71     959      46    1462    -    5.9e-196  649.0   6.0  -
Rubrobacteraceae          -          A1d2_reverse         -              509    1400     959      66     960      45    1495    -    8.4e-196  648.5   5.9  -
Lewinellaceae             -          A1d2_reverse         -              495    1384     960      68     960      48    1446    -    1.9e-195  647.4   6.0  -
Acidaminococcaceae        -          A1d2_reverse         -              526    1429     958      55     960      42    1504    -    3.9e-195  645.8   5.8  -
Sphingobacteriaceae       -          A1d2_reverse         -              498    1397     960      56     960      36    1450    -    4.9e-195  645.9   6.1  -
Halanaerobiaceae          -          A1d2_reverse         -              543    1441     951      55     960      43    1503    -    9.7e-195  644.8   5.8  -
Hymenobacteraceae         -          A1d2_reverse         -              489    1375     960      69     960      49    1445    -    1.1e-194  644.9   6.4  -
Acidobacteriaceae         -          A1d2_reverse         -              487    1386     954      55     960      41    1462    -    1.4e-194  644.3   5.8  -
Frankiaceae               -          A1d2_reverse         -              499    1390     952      61     960      43    1499    -    2.4e-194  643.8   5.9  -
Corynebacteriaceae        -          A1d2_reverse         -              493    1394     952      54     960      34    1459    -    2.7e-194  643.3   5.7  -
Chelatococcaceae          -          A1d2_reverse         -              461    1359     958      60     960      42    1439    -    3.1e-194  643.5   5.6  -
Chroococcales             -          A1d2_reverse         -              465    1366     960      60     960      40    1445    -    3.5e-194  643.0   6.0  -
Nocardioidaceae           -          A1d2_reverse         -              489    1356     951      82     960      55    1455    -    4.9e-194  642.7   5.9  -
Ventosimonadaceae         -          A1d2_reverse         -              537    1445     954      45     960      24    1489    -    6.6e-194  641.9   5.7  -
Microbacteriaceae         -          A1d2_reverse         -              495    1380     952      69     960      46    1464    -    6.8e-194  642.1   6.0  -
Bartonellaceae            -          A1d2_reverse         -              451    1354     958      55     960      36    1410    -    1.1e-193  641.6   5.6  -
Brevibacteriaceae         -          A1d2_reverse         -              501    1397     958      65     960      43    1487    -    1.5e-193  640.8   5.9  -
Acidimicrobiaceae         -          A1d2_reverse         -              508    1403     951      58     959      41    1464    -    1.7e-193  640.9   5.7  -
Crocinitomicaceae         -          A1d2_reverse         -              505    1390     960      68     960      53    1466    -    2.5e-193  640.1   5.8  -
Iamiaceae                 -          A1d2_reverse         -              494    1383     951      63     960      43    1480    -    5.5e-193  639.4   5.8  -
Chitinophagaceae          -          A1d2_reverse         -              502    1400     960      60     960      45    1458    -    6.6e-193  639.2   6.2  -
Chrysiogenaceae           -          A1d2_reverse         -              504    1410     958      51     960      38    1513    -    1.4e-192  637.9   5.6  -
Parviterribacteraceae     -          A1d2_reverse         -              495    1382     959      70     960      50    1456    -    2.5e-192  636.9   6.1  -
Stigonematales            -          A1d2_reverse         -              474    1372     959      59     960      39    1450    -    2.9e-192  636.9   5.5  -
Micromonosporaceae        -          A1d2_reverse         -              501    1361     951      93     959      63    1482    -    6.7e-192  635.6   6.1  -
Phormidiaceae             -          A1d2_reverse         -              473    1370     959      60     960      42    1483    -    7.4e-192  635.7   5.7  -
Acholeplasmataceae        -          A1d2_reverse         -              492    1342     960      96     960      73    1437    -    7.7e-192  635.2   6.9  -
Actinomycetaceae          -          A1d2_reverse         -              517    1418     951      56     960      38    1468    -    9.3e-192  635.1   5.7  -
Gemmatimonadaceae         -          A1d2_reverse         -              505    1406     960      60     960      48    1525    -    1.1e-191  634.9   6.0  -
Pyrinomonadaceae          -          A1d2_reverse         -              541    1451     958      53     960      38    1526    -    1.3e-191  634.4   6.2  -
Salinibacteraceae         -          A1d2_reverse         -              527    1418     960      67     960      51    1497    -    1.4e-191  634.5   5.8  -
Symbiobacteriaceae        -          A1d2_reverse         -              511    1417     959      57     960      44    1468    -    1.5e-191  634.6   6.3  -
Verrucomicrobiaceae       -          A1d2_reverse         -              505    1410     960      54     960      34    1470    -    1.5e-191  634.5   5.7  -
Geodermatophilaceae       -          A1d2_reverse         -              502    1400     952      56     960      39    1479    -      7e-191  632.2   5.7  -
Lysobacteriales           -          A1d2_reverse         -              530    1466     959      23     960       7    1508    -      1e-190  631.6   5.2  -
Intrasporangiaceae        -          A1d2_reverse         -              493    1355     952      93     960      62    1461    -      3e-190  630.0   6.1  -
Oleiphilaceae             -          A1d2_reverse         -              504    1416     958      44     960      33    1437    -    3.2e-190  629.8   5.7  -
Porphyromonadaceae        -          A1d2_reverse         -              513    1399     959      68     960      50    1473    -    3.3e-190  630.0   6.1  -
