# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_D12_090   -               27     940      17     929       2     929    1474    +           0 1122.5  24.5  -
Ferrimonadaceae           -          LKAP-GutHK_D12_090   -               22     940      14     929       2     929    1475    +    8.1e-304 1006.1  24.7  -
Hydrogenophilaceae        -          LKAP-GutHK_D12_090   -               27     925      17     929       3     929    1461    +    1.4e-234  777.1  24.0  -
Acidiferrobacteraceae     -          LKAP-GutHK_D12_090   -               58     920      65     928      44     929    1454    +    1.8e-234  776.6  22.6  -
Methylophilaceae          -          LKAP-GutHK_D12_090   -               11     914      18     929      12     929    1431    +    1.7e-233  773.4  22.9  -
Salinisphaeraceae         -          LKAP-GutHK_D12_090   -               15     915      17     929       6     929    1429    +    2.2e-233  773.0  23.7  -
Sutterellaceae            -          LKAP-GutHK_D12_090   -               64     927      64     929      42     929    1487    +    4.3e-233  771.8  22.5  -
Geobacteraceae            -          LKAP-GutHK_D12_090   -               35     951      17     929       2     929    1487    +    1.3e-232  770.3  23.9  -
Hyphomicrobiaceae         -          LKAP-GutHK_D12_090   -               53     874      67     929      46     929    1427    +    3.6e-232  769.0  22.1  -
Burkholderiales           -          LKAP-GutHK_D12_090   -               56     924      60     929      34     929    1463    +    2.4e-231  766.2  22.5  -
Eubacteriaceae            -          LKAP-GutHK_D12_090   -               41     930      17     929       3     929    1485    +    3.8e-231  765.5  24.2  -
Desulfovibrionaceae       -          LKAP-GutHK_D12_090   -               42     952      17     929       3     929    1527    +    7.3e-231  764.6  23.9  -
Deltaproteobacteria       -          LKAP-GutHK_D12_090   -               44     962      18     929       2     929    1514    +    7.4e-231  764.6  24.0  -
Clostridiaceae            -          LKAP-GutHK_D12_090   -               41     919      17     929       3     929    1485    +    8.7e-231  764.2  23.7  -
Desulfuromonadaceae       -          LKAP-GutHK_D12_090   -               45     961      18     929       2     929    1518    +    1.4e-230  763.7  24.2  -
Desulfobacteraceae        -          LKAP-GutHK_D12_090   -               45     962      26     929       6     929    1516    +    2.4e-230  762.9  23.1  -
Francisellaceae           -          LKAP-GutHK_D12_090   -               72     931      68     929      44     929    1508    +    2.5e-230  762.8  22.1  -
Rhodobiaceae              -          LKAP-GutHK_D12_090   -               49     882      57     929      26     929    1440    +    6.6e-230  761.7  21.9  -
Clostridiales             -          LKAP-GutHK_D12_090   -               34     923      17     929       3     929    1470    +      9e-230  761.0  23.3  -
Thermithiobacillaceae     -          LKAP-GutHK_D12_090   -               12     909      17     929      11     929    1419    +    1.2e-228  757.2  23.2  -
Desulfobulbaceae          -          LKAP-GutHK_D12_090   -               34     945      27     929       7     929    1483    +    2.9e-228  755.9  23.3  -
Syntrophaceae             -          LKAP-GutHK_D12_090   -               50     961      27     929       7     929    1551    +    3.9e-228  755.5  23.1  -
Azonexaceae               -          LKAP-GutHK_D12_090   -               58     928      58     928      37     929    1474    +    1.1e-227  754.2  22.6  -
Nitrosomonadaceae         -          LKAP-GutHK_D12_090   -               62     925      64     928      39     929    1461    +    1.2e-226  750.7  22.2  -
Syntrophomonadaceae       -          LKAP-GutHK_D12_090   -               44     956      17     929       2     929    1515    +    2.4e-226  749.4  24.0  -
Comamonadaceae            -          LKAP-GutHK_D12_090   -               27     923      17     929       3     929    1466    +    3.3e-226  748.9  23.8  -
Acidithiobacillaceae      -          LKAP-GutHK_D12_090   -               27     921      18     929       3     929    1457    +      4e-226  748.7  23.9  -
Acetobacteraceae          -          LKAP-GutHK_D12_090   -               54     880      64     929      43     929    1438    +    4.6e-226  748.9  22.1  -
Sphingomonadaceae         -          LKAP-GutHK_D12_090   -               44     880      55     929      35     929    1434    +      8e-226  748.2  21.2  -
Desulfohalobiaceae        -          LKAP-GutHK_D12_090   -               33     956      17     929       3     929    1509    +    5.8e-225  745.0  24.1  -
Alphaproteobacteria       -          LKAP-GutHK_D12_090   -               53     872      69     929      47     929    1409    +    1.9e-224  743.6  22.2  -
Methylothermaceae         -          LKAP-GutHK_D12_090   -               48     951      17     929       2     929    1491    +    5.7e-224  741.7  24.5  -
Thiobacilliaceae          -          LKAP-GutHK_D12_090   -               79     944      64     929      42     929    1517    +    6.2e-224  741.7  22.7  -
Methylocystaceae          -          LKAP-GutHK_D12_090   -               61     884      65     929      43     929    1424    +      8e-224  741.5  21.7  -
Sneathiellaceae           -          LKAP-GutHK_D12_090   -               32     887      17     929       2     929    1427    +    9.2e-224  741.1  22.9  -
Hyphomonadaceae           -          LKAP-GutHK_D12_090   -               38     872      56     929      36     929    1400    +    1.4e-223  740.8  21.2  -
Bdellovibrionaceae        -          LKAP-GutHK_D12_090   -               24     899      18     929       3     929    1430    +    1.7e-223  740.2  23.0  -
Peptococcaceae            -          LKAP-GutHK_D12_090   -               34     916      17     929       2     929    1479    +    1.7e-222  736.7  24.2  -
Ruminococcaceae           -          LKAP-GutHK_D12_090   -               27     921      17     929       3     929    1457    +      6e-221  731.6  24.0  -
Rhizobiales               -          LKAP-GutHK_D12_090   -               25     882       8     929       1     929    1438    +      3e-220  729.6  24.3  -
Xanthobacteraceae         -          LKAP-GutHK_D12_090   -               52     870      70     929      50     929    1415    +    3.3e-220  729.4  21.7  -
Lachnospiraceae           -          LKAP-GutHK_D12_090   -               27     920      17     929       3     929    1469    +    9.7e-220  727.7  24.3  -
Erythrobacteraceae        -          LKAP-GutHK_D12_090   -               38     874      55     929      35     929    1433    +    1.2e-219  727.7  21.2  -
Zoogloeaceae              -          LKAP-GutHK_D12_090   -               67     931      64     928      42     929    1474    +    2.3e-219  726.5  22.4  -
Rhodobacteraceae          -          LKAP-GutHK_D12_090   -               48     874      62     929      41     929    1402    +    3.3e-219  726.1  21.3  -
Syntrophobacteraceae      -          LKAP-GutHK_D12_090   -               36     953      22     929       2     929    1496    +    8.5e-219  724.8  23.9  -
Wenzhouxiangellaceae      -          LKAP-GutHK_D12_090   -               69     935      67     929      45     929    1472    +    3.3e-218  722.5  22.1  -
Phyllobacteriaceae        -          LKAP-GutHK_D12_090   -               50     871      67     929      47     929    1424    +    1.9e-217  720.3  21.4  -
Rhizobiaceae              -          LKAP-GutHK_D12_090   -               50     871      67     929      46     929    1422    +    3.5e-217  719.4  21.5  -
Acidobacteria             -          LKAP-GutHK_D12_090   -               81     961      66     929      28     929    1505    +    6.1e-216  715.7  22.6  -
Peptostreptococcaceae     -          LKAP-GutHK_D12_090   -               27     904      17     929       3     929    1441    +    7.5e-215  711.4  23.5  -
Bacillales                -          LKAP-GutHK_D12_090   -               34     953      17     929       3     929    1503    +    8.7e-214  708.1  23.5  -
Deferribacteraceae        -          LKAP-GutHK_D12_090   -               57     940      48     929      25     929    1513    +    1.6e-213  707.0  22.9  -
Thermoanaerobacteraceae   -          LKAP-GutHK_D12_090   -               33     927      17     929       2     929    1492    +    4.2e-213  705.5  25.6  -
Methylobacteriaceae       -          LKAP-GutHK_D12_090   -               51     874      65     929      43     929    1426    +    4.9e-213  705.6  21.8  -
Brucellaceae              -          LKAP-GutHK_D12_090   -               56     875      69     929      48     929    1411    +    6.3e-213  705.3  21.6  -
Nautiliaceae              -          LKAP-GutHK_D12_090   -               27     897      17     929       3     929    1431    +    2.5e-212  703.5  24.6  -
Holophagaceae             -          LKAP-GutHK_D12_090   -               77     946      75     929      64     929    1502    +    2.8e-212  703.2  22.2  -
Anaplasmataceae           -          LKAP-GutHK_D12_090   -               38     904      17     929       2     929    1441    +      7e-212  702.0  23.2  -
Caulobacteraceae          -          LKAP-GutHK_D12_090   -               39     872      57     929      26     929    1415    +    1.9e-211  700.4  21.1  -
Bacillaceae               -          LKAP-GutHK_D12_090   -               24     946      16     929       2     929    1493    +      2e-211  700.2  24.2  -
Bacteroidaceae            -          LKAP-GutHK_D12_090   -               36     941      17     929       8     929    1480    +    2.6e-211  699.7  23.5  -
Desulfomicrobiaceae       -          LKAP-GutHK_D12_090   -               43     945      27     929       7     929    1495    +      3e-211  699.6  23.3  -
Beijerinckiaceae          -          LKAP-GutHK_D12_090   -               65     885      68     929      47     929    1421    +    3.5e-211  699.4  21.9  -
Aurantimonadaceae         -          LKAP-GutHK_D12_090   -               66     889      65     929      44     929    1442    +    4.7e-211  699.2  21.4  -
Kordiimonadaceae          -          LKAP-GutHK_D12_090   -               28     883      18     929       3     929    1421    +      6e-211  698.8  23.1  -
Desulfarculaceae          -          LKAP-GutHK_D12_090   -               38     957      23     929       3     929    1516    +    8.8e-211  698.2  23.9  -
Streptomycetaceae         -          LKAP-GutHK_D12_090   -               63     907      69     929      45     929    1479    +    1.4e-210  697.6  23.5  -
Synergistaceae            -          LKAP-GutHK_D12_090   -               27     903      17     929       3     929    1450    +    8.1e-210  694.9  25.4  -
Lactobacillaceae          -          LKAP-GutHK_D12_090   -               30     971      17     929       2     929    1522    +    1.1e-209  694.4  23.9  -
Bradyrhizobiaceae         -          LKAP-GutHK_D12_090   -               57     874      71     929      50     929    1428    +    5.6e-209  692.1  21.6  -
Kiloniellaceae            -          LKAP-GutHK_D12_090   -               46     901      17     929       2     929    1450    +    1.3e-208  690.7  23.9  -
Paenibacillaceae          -          LKAP-GutHK_D12_090   -               28     945      17     929       3     929    1493    +    1.5e-208  690.7  23.9  -
Thermoanaerobacterales    -          LKAP-GutHK_D12_090   -               34     929      16     929       2     929    1472    +      5e-208  688.9  25.4  -
Haliangiaceae             -          LKAP-GutHK_D12_090   -               43     960      17     929       3     929    1507    +    1.1e-207  687.9  23.9  -
Spirochaetaceae           -          LKAP-GutHK_D12_090   -               31     936      15     929       3     929    1486    +    1.7e-207  687.2  24.0  -
Thermoactinomycetaceae    -          LKAP-GutHK_D12_090   -               35     942      17     929       3     929    1495    +    1.9e-207  687.2  23.9  -
Verrucomicrobiaceae       -          LKAP-GutHK_D12_090   -               34     931      27     929       7     929    1470    +    3.1e-207  686.5  23.6  -
Helicobacteraceae         -          LKAP-GutHK_D12_090   -               87     909      68     929      46     929    1473    +    3.3e-206  682.6  20.6  -
Micrococcaceae            -          LKAP-GutHK_D12_090   -               75     922      69     929      45     929    1476    +    4.5e-206  682.5  22.8  -
Heliobacteriaceae         -          LKAP-GutHK_D12_090   -               44     926      17     929       3     929    1500    +    3.6e-204  676.2  23.5  -
Alicyclobacillaceae       -          LKAP-GutHK_D12_090   -               47     946      17     929       2     929    1512    +    3.8e-204  676.3  24.2  -
Fusobacteriaceae          -          LKAP-GutHK_D12_090   -               72     912      67     929      43     929    1458    +      5e-204  675.8  22.6  -
Selenomonadaceae          -          LKAP-GutHK_D12_090   -               47     968      18     929       3     929    1531    +    8.1e-204  674.9  23.4  -
Chelatococcaceae          -          LKAP-GutHK_D12_090   -               38     883      17     929       1     929    1439    +    1.1e-203  674.7  23.7  -
Erysipelotrichaceae       -          LKAP-GutHK_D12_090   -               33     924      18     929       4     929    1466    +    1.2e-203  674.5  23.5  -
Polyangiaceae             -          LKAP-GutHK_D12_090   -               80     958      68     928      48     929    1548    +      8e-203  671.7  22.6  -
Leptospiraceae            -          LKAP-GutHK_D12_090   -               55     900      71     929      50     929    1431    +    8.7e-203  671.4  21.8  -
Halobacteriovoracaceae    -          LKAP-GutHK_D12_090   -               31     943      25     929       5     929    1480    +    2.3e-202  670.1  23.4  -
Rickettsiaceae            -          LKAP-GutHK_D12_090   -               70     885      72     929      52     929    1430    +      6e-202  668.9  20.8  -
Rubrobacteraceae          -          LKAP-GutHK_D12_090   -               28     933      22     928       4     929    1495    +    6.2e-202  668.8  24.3  -
Rhodothermaceae           -          LKAP-GutHK_D12_090   -               33     920      27     929       7     929    1457    +    1.2e-201  667.8  23.6  -
Campylobacteraceae        -          LKAP-GutHK_D12_090   -               73     907      71     929      42     929    1429    +    1.8e-201  666.9  21.0  -
Planococcaceae            -          LKAP-GutHK_D12_090   -               27     940      17     929       2     929    1491    +    2.4e-201  666.7  23.6  -
Bartonellaceae            -          LKAP-GutHK_D12_090   -               55     873      70     929      50     929    1410    +    2.9e-201  666.6  22.0  -
Parvularculaceae          -          LKAP-GutHK_D12_090   -               57     892      55     929      35     929    1428    +    5.1e-201  666.1  21.4  -
Aerococcaceae             -          LKAP-GutHK_D12_090   -               27     943      17     929       3     929    1473    +    1.4e-200  664.3  23.2  -
Carnobacteriaceae         -          LKAP-GutHK_D12_090   -               27     943      17     929       2     929    1496    +    2.2e-200  663.6  23.8  -
Brevibacteriaceae         -          LKAP-GutHK_D12_090   -               81     926      70     929      45     929    1487    +    4.4e-200  662.4  22.5  -
Nitrospiraceae            -          LKAP-GutHK_D12_090   -               33     914      17     929       2     929    1479    +    1.4e-199  660.9  23.8  -
Patulibacteraceae         -          LKAP-GutHK_D12_090   -               80     940      64     929      43     929    1494    +    1.4e-199  660.6  22.3  -
Halanaerobiaceae          -          LKAP-GutHK_D12_090   -               36     960      18     929       3     929    1503    +    1.7e-199  660.5  23.7  -
Desulfonatronaceae        -          LKAP-GutHK_D12_090   -               28     940      18     929       2     929    1495    +    1.8e-199  660.5  24.3  -
Cohaesibacteraceae        -          LKAP-GutHK_D12_090   -               43     891      13     929       1     929    1425    +    1.9e-199  660.7  23.1  -
Mycoplasmataceae          -          LKAP-GutHK_D12_090   -               48     912      67     929      44     929    1467    +      3e-199  660.0  22.0  -
Spirillaceae              -          LKAP-GutHK_D12_090   -               44     949      18     929       4     929    1447    +    3.3e-199  659.9  23.1  -
Cystobacteraceae          -          LKAP-GutHK_D12_090   -               55     938      64     929      42     929    1491    +    3.6e-199  659.5  22.1  -
Streptococcaceae          -          LKAP-GutHK_D12_090   -               34     949      18     929       3     929    1497    +    7.5e-199  658.5  23.6  -
Thermolithobacteraceae    -          LKAP-GutHK_D12_090   -               95     975      71     929      50     929    1546    +    1.6e-198  657.2  22.5  -
Staphylococcaceae         -          LKAP-GutHK_D12_090   -               29     940      17     929       2     929    1479    +    2.6e-198  656.8  23.5  -
Acidimicrobiaceae         -          LKAP-GutHK_D12_090   -               57     929      31     929      10     929    1464    +      4e-198  656.2  23.0  -
Myxococcaceae             -          LKAP-GutHK_D12_090   -               75     954      68     929      47     929    1517    +    4.6e-198  655.8  22.4  -
Bacteriovoracaceae        -          LKAP-GutHK_D12_090   -               62     938      69     929      48     929    1473    +    4.9e-198  655.7  22.2  -
Flammeovirgaceae          -          LKAP-GutHK_D12_090   -               27     919      17     929       4     929    1446    +    5.1e-198  656.0  23.4  -
Pseudonocardiaceae        -          LKAP-GutHK_D12_090   -               34     915      18     929       2     929    1475    +    6.6e-198  655.4  24.9  -
Sporolactobacillaceae     -          LKAP-GutHK_D12_090   -               27     937      17     929       2     929    1503    +      7e-198  655.2  23.3  -
Microbacteriaceae         -          LKAP-GutHK_D12_090   -               73     914      71     928      46     929    1464    +      4e-197  652.7  22.8  -
Nocardiaceae              -          LKAP-GutHK_D12_090   -               27     906      17     929       3     929    1472    +    3.8e-196  649.6  24.8  -
Flavobacteriaceae         -          LKAP-GutHK_D12_090   -               25     927      16     929       3     929    1451    +    4.8e-196  649.1  23.8  -
Veillonellaceae           -          LKAP-GutHK_D12_090   -               49     929      69     929      46     929    1450    +    7.2e-196  648.5  22.3  -
Micromonosporaceae        -          LKAP-GutHK_D12_090   -               41     920      17     928       3     929    1482    +    8.7e-196  648.4  24.5  -
Propionibacteriaceae      -          LKAP-GutHK_D12_090   -               37     912      22     928       3     929    1462    +    1.4e-195  647.7  24.4  -
Calditrichaeota           -          LKAP-GutHK_D12_090   -               66     947      61     929      28     929    1483    +      2e-195  647.3  22.4  -
Intrasporangiaceae        -          LKAP-GutHK_D12_090   -               71     913      71     929      44     929    1461    +      3e-195  646.5  22.7  -
Leuconostocaceae          -          LKAP-GutHK_D12_090   -               74     944      67     929      39     929    1479    +      5e-195  645.9  21.8  -
Thermodesulfobiaceae      -          LKAP-GutHK_D12_090   -               43     930      17     929       3     929    1520    +    6.1e-195  645.5  24.4  -
Nakamurellaceae           -          LKAP-GutHK_D12_090   -               29     905      19     928       3     929    1462    +    8.3e-195  645.1  24.3  -
Nannocystaceae            -          LKAP-GutHK_D12_090   -               47     937      27     929       7     929    1487    +    1.3e-194  644.5  23.2  -
Natranaerobiaceae         -          LKAP-GutHK_D12_090   -                2     904      13     929      12     929    1429    +    5.1e-194  642.4  22.3  -
Oscillatoriales           -          LKAP-GutHK_D12_090   -               54     877      69     929      48     929    1445    +    7.8e-194  642.1  21.9  -
Desulfurellaceae          -          LKAP-GutHK_D12_090   -               60     949      59     929      38     929    1529    +    7.9e-194  641.7  22.2  -
Halobacteroidaceae        -          LKAP-GutHK_D12_090   -               35     931      17     929       3     929    1478    +    4.9e-193  639.0  23.2  -
Salinibacteraceae         -          LKAP-GutHK_D12_090   -               94     949      69     928      48     929    1497    +    7.3e-193  638.7  22.7  -
Actinomycetaceae          -          LKAP-GutHK_D12_090   -               29     938      19     928       4     929    1468    +    7.5e-193  638.7  23.6  -
Porticoccaceae            -          LKAP-GutHK_D12_090   -               37     931      19     929       2     929    1497    +    9.2e-193  638.2  24.3  -
Corynebacteriaceae        -          LKAP-GutHK_D12_090   -               26     913      17     929       3     929    1459    +    1.2e-192  637.8  24.1  -
Nocardioidaceae           -          LKAP-GutHK_D12_090   -               27     908      17     929       2     929    1455    +    1.6e-192  637.7  25.0  -
Conexibacteraceae         -          LKAP-GutHK_D12_090   -               88     955      72     929      51     929    1536    +    2.5e-192  636.7  22.7  -
Cytophagaceae             -          LKAP-GutHK_D12_090   -               59     914      69     929      49     929    1437    +    1.2e-191  634.7  22.5  -
Oleiphilaceae             -          LKAP-GutHK_D12_090   -               37     927      18     929       2     929    1437    +    1.3e-191  634.4  24.2  -
Enterococcaceae           -          LKAP-GutHK_D12_090   -               76     948      67     929      43     929    1498    +    1.3e-191  634.5  22.2  -
Parviterribacteraceae     -          LKAP-GutHK_D12_090   -               61     920      65     929      43     929    1456    +      3e-191  633.3  22.5  -
Tsukamurellaceae          -          LKAP-GutHK_D12_090   -               82     925      69     929      29     929    1495    +    3.5e-191  633.2  23.1  -
Mycobacteriaceae          -          LKAP-GutHK_D12_090   -               32     915      17     929       3     929    1471    +    4.6e-191  632.6  24.9  -
Listeriaceae              -          LKAP-GutHK_D12_090   -               58     926      71     929      50     929    1448    +    8.7e-191  632.0  22.0  -
Solirubrobacteraceae      -          LKAP-GutHK_D12_090   -               48     918      68     929      45     929    1443    +    8.7e-191  631.7  22.5  -
Segniliparaceae           -          LKAP-GutHK_D12_090   -               32     907      18     929       2     929    1462    +    1.3e-190  631.4  24.7  -
Kineosporiaceae           -          LKAP-GutHK_D12_090   -               49     912      52     928      32     929    1463    +    1.6e-190  631.1  23.3  -
Chrysiogenaceae           -          LKAP-GutHK_D12_090   -               67     928      63     929      43     929    1513    +    1.7e-190  630.9  22.0  -
Demequinaceae             -          LKAP-GutHK_D12_090   -               69     909      71     928      43     929    1478    +    2.5e-190  630.3  22.7  -
Frankiaceae               -          LKAP-GutHK_D12_090   -               69     919      62     929      42     929    1499    +    2.7e-190  630.3  23.1  -
Corynebacterineae         -          LKAP-GutHK_D12_090   -               27     905      17     929       3     929    1473    +    4.2e-190  629.6  24.3  -
Thermaceae                -          LKAP-GutHK_D12_090   -               37     911      17     929       3     929    1477    +    5.4e-190  629.3  24.2  -
Immundisolibacteraceae    -          LKAP-GutHK_D12_090   -               92     959      61     929      39     929    1555    +    5.5e-190  628.9  22.4  -
Sporomusaceae             -          LKAP-GutHK_D12_090   -               48     960      19     929       2     929    1535    +    6.2e-190  628.7  23.8  -
