# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudoalteromonadaceae    -          LKAP.g-Gut1_E11_087.seq -               27    1022       6    1010       3    1011    1469    +           0 1032.0  11.3  -
Vibrionaceae              -          LKAP.g-Gut1_E11_087.seq -               27    1036       6    1010       2    1011    1474    +    8.4e-305 1009.6  12.0  -
Orbaceae                  -          LKAP.g-Gut1_E11_087.seq -               91    1050      54    1010      30    1011    1539    +    6.5e-251  831.0  11.5  -
Thermoleophilaceae        -          LKAP.g-Gut1_E11_087.seq -               20    1021       6    1003       2    1011    1494    +      3e-249  825.5  11.7  -
Saccharospirillaceae      -          LKAP.g-Gut1_E11_087.seq -               31    1019       8    1010       2    1011    1468    +    4.1e-249  825.1  11.5  -
Chromobacteriaceae        -          LKAP.g-Gut1_E11_087.seq -               33    1012      17    1004       3    1011    1460    +    4.2e-248  821.9  12.0  -
Kangiellaceae             -          LKAP.g-Gut1_E11_087.seq -               36    1038       6    1010       3    1011    1479    +    2.5e-247  819.2  11.8  -
Thiotrichaceae            -          LKAP.g-Gut1_E11_087.seq -               27     982       6    1010       3    1011    1421    +    4.4e-247  818.4  11.1  -
Nevskiaceae               -          LKAP.g-Gut1_E11_087.seq -               66    1018      57    1008      36    1011    1470    +    9.7e-241  797.7  11.5  -
Rhodocyclaceae            -          LKAP.g-Gut1_E11_087.seq -               29    1016       8    1001       3    1011    1484    +    1.5e-240  796.8  12.2  -
Legionellaceae            -          LKAP.g-Gut1_E11_087.seq -               29    1024      16    1010       3    1011    1446    +    6.6e-240  794.8  11.7  -
Coxiellaceae              -          LKAP.g-Gut1_E11_087.seq -               27    1032       6    1009       3    1011    1475    +    5.2e-239  791.7  12.2  -
Granulosicoccaceae        -          LKAP.g-Gut1_E11_087.seq -               28    1012       7     995       3    1011    1471    +    1.2e-237  787.3  11.9  -
Rhodanobacteraceae        -          LKAP.g-Gut1_E11_087.seq -               29    1020       7    1002       3    1011    1473    +    1.4e-237  787.0  12.2  -
Neisseriaceae             -          LKAP.g-Gut1_E11_087.seq -               76    1032      48    1004      25    1011    1477    +    1.6e-236  783.5  11.8  -
Thiotrichales             -          LKAP.g-Gut1_E11_087.seq -               47    1045       6    1010       3    1011    1519    +      2e-234  776.2  11.3  -
Salinisphaeraceae         -          LKAP.g-Gut1_E11_087.seq -               15    1010       6    1009       2    1011    1429    +      2e-234  776.6  12.0  -
Sulfuricellaceae          -          LKAP.g-Gut1_E11_087.seq -               39    1000      21     986       3    1006    1463    +    4.1e-234  775.5  12.7  -
Alcaligenaceae            -          LKAP.g-Gut1_E11_087.seq -               31    1016      14    1004       3    1011    1467    +    5.5e-234  775.2  11.8  -
Rhodospirillaceae         -          LKAP.g-Gut1_E11_087.seq -               53     940      53     973      33     995    1429    +    1.6e-231  767.0  11.3  -
Acidiferrobacteraceae     -          LKAP.g-Gut1_E11_087.seq -               61    1016      56    1009      50    1011    1454    +      2e-231  766.6  11.6  -
Burkholderiaceae          -          LKAP.g-Gut1_E11_087.seq -               49     984      40     974      18    1004    1482    +    3.7e-231  765.8  12.3  -
Arenicellaceae            -          LKAP.g-Gut1_E11_087.seq -               33     995      16     977       4     998    1488    +      5e-231  765.3  12.2  -
Oxalobacteraceae          -          LKAP.g-Gut1_E11_087.seq -               33     987      16     975       3    1001    1459    +    6.5e-230  761.7  12.5  -
Hydrogenophilaceae        -          LKAP.g-Gut1_E11_087.seq -               31    1017      10    1004       3    1011    1461    +    8.2e-230  761.4  12.1  -
Sutterellaceae            -          LKAP.g-Gut1_E11_087.seq -               28    1017       7    1002       3    1011    1487    +    1.3e-229  760.4  12.2  -
Burkholderiales           -          LKAP.g-Gut1_E11_087.seq -               60     992      52     981      25    1002    1463    +    3.7e-226  749.1  12.1  -
Methylophilaceae          -          LKAP.g-Gut1_E11_087.seq -               11     986       7     985       3    1006    1431    +    4.5e-225  745.6  12.3  -
Desulfovibrionaceae       -          LKAP.g-Gut1_E11_087.seq -               42    1043       6    1003       3    1011    1527    +    1.6e-224  743.7  12.1  -
Thermithiobacillaceae     -          LKAP.g-Gut1_E11_087.seq -               13     999       7    1004       3    1010    1419    +    4.1e-224  742.4  12.2  -
Francisellaceae           -          LKAP.g-Gut1_E11_087.seq -               69    1026      53    1009      13    1011    1508    +    4.5e-224  742.2  11.5  -
Acidithiobacillaceae      -          LKAP.g-Gut1_E11_087.seq -               27    1011       7    1004       3    1011    1457    +    6.8e-224  741.5  11.9  -
Thiobacilliaceae          -          LKAP.g-Gut1_E11_087.seq -               66    1030      40     999      18    1011    1517    +    3.9e-223  739.2  12.3  -
Nitrosomonadaceae         -          LKAP.g-Gut1_E11_087.seq -               59     985      49     972      25     993    1461    +    6.7e-222  735.2  12.3  -
Geobacteraceae            -          LKAP.g-Gut1_E11_087.seq -               36    1038       7    1001       3    1011    1487    +    7.2e-222  734.8  12.0  -
Desulfohalobiaceae        -          LKAP.g-Gut1_E11_087.seq -               33    1048       6    1004       3    1011    1509    +    9.2e-221  731.2  11.9  -
Zoogloeaceae              -          LKAP.g-Gut1_E11_087.seq -               40    1016      16     997       3    1011    1474    +    6.3e-220  728.4  12.3  -
Desulfobacteraceae        -          LKAP.g-Gut1_E11_087.seq -               46    1058      16    1009       4    1011    1516    +      7e-220  728.3  11.7  -
Hyphomicrobiaceae         -          LKAP.g-Gut1_E11_087.seq -               54     953      56     992      35    1011    1427    +      1e-219  727.8  10.8  -
Acetobacteraceae          -          LKAP.g-Gut1_E11_087.seq -               52     941      50     972      30     996    1438    +    2.6e-219  726.7  11.7  -
Comamonadaceae            -          LKAP.g-Gut1_E11_087.seq -               29     991       8     981       3    1002    1466    +      4e-219  725.6  12.6  -
Clostridiaceae            -          LKAP.g-Gut1_E11_087.seq -               41     999       6     992       3    1007    1485    +    5.2e-219  725.3  11.9  -
Azonexaceae               -          LKAP.g-Gut1_E11_087.seq -               34    1001      16     985       3    1005    1474    +    1.5e-218  724.1  12.6  -
Eubacteriaceae            -          LKAP.g-Gut1_E11_087.seq -               41    1021       6    1003       3    1007    1485    +    3.5e-218  722.6  12.2  -
Rhodobiaceae              -          LKAP.g-Gut1_E11_087.seq -               56     927      50     958      14     978    1440    +    5.2e-217  719.0  11.6  -
Clostridiales             -          LKAP.g-Gut1_E11_087.seq -               34    1003       6     993       3    1008    1470    +      7e-217  718.3  11.8  -
Desulfuromonadaceae       -          LKAP.g-Gut1_E11_087.seq -               50    1020      16     970       3     992    1518    +    1.4e-216  717.4  12.4  -
Alphaproteobacteria       -          LKAP.g-Gut1_E11_087.seq -               53     921      57     962      36     994    1409    +    3.6e-216  716.3  11.5  -
Syntrophomonadaceae       -          LKAP.g-Gut1_E11_087.seq -               45    1045       7    1003       3    1010    1515    +    7.4e-216  714.8  12.0  -
Deltaproteobacteria       -          LKAP.g-Gut1_E11_087.seq -               48    1054      15    1003       3    1011    1514    +    7.7e-215  711.7  11.9  -
Syntrophaceae             -          LKAP.g-Gut1_E11_087.seq -               51    1052      17    1003       4    1011    1551    +    1.3e-214  710.8  11.8  -
Methylocystaceae          -          LKAP.g-Gut1_E11_087.seq -               64     975      56    1005      35    1011    1424    +    2.1e-214  710.3  10.5  -
Wenzhouxiangellaceae      -          LKAP.g-Gut1_E11_087.seq -               63    1014      49     993      28    1011    1472    +    1.5e-213  707.2  11.5  -
Sneathiellaceae           -          LKAP.g-Gut1_E11_087.seq -               38     933      16     959       3     980    1427    +    1.4e-212  704.2  12.0  -
Desulfobulbaceae          -          LKAP.g-Gut1_E11_087.seq -               34    1018      16     979       4    1007    1483    +    3.1e-212  702.9  11.9  -
Methylothermaceae         -          LKAP.g-Gut1_E11_087.seq -               48    1001       6     963       3     986    1491    +    3.8e-212  702.6  12.8  -
Sphingomonadaceae         -          LKAP.g-Gut1_E11_087.seq -               59     960      56     992      36    1011    1434    +    3.8e-212  703.0  10.5  -
Ruminococcaceae           -          LKAP.g-Gut1_E11_087.seq -               27    1008       6     999       3    1007    1457    +    4.5e-211  699.0  12.1  -
Hyphomonadaceae           -          LKAP.g-Gut1_E11_087.seq -               51     933      55     972      33     992    1400    +    2.8e-210  696.8  11.3  -
Rhodobacteraceae          -          LKAP.g-Gut1_E11_087.seq -               38     968      41    1003      19    1011    1402    +    2.9e-209  693.3  11.1  -
Bdellovibrionaceae        -          LKAP.g-Gut1_E11_087.seq -               24     955       7     969       3     991    1430    +    3.4e-208  689.6  11.5  -
Xanthobacteraceae         -          LKAP.g-Gut1_E11_087.seq -               53     926      59     969      38     992    1415    +    9.5e-208  688.3  11.1  -
Rhizobiales               -          LKAP.g-Gut1_E11_087.seq -               38     966       7     996       3    1011    1438    +    1.5e-207  687.6  11.1  -
Peptococcaceae            -          LKAP.g-Gut1_E11_087.seq -               34     992       6     986       3    1006    1479    +    4.8e-207  685.6  12.2  -
Anaplasmataceae           -          LKAP.g-Gut1_E11_087.seq -               38     948       6     957       3     975    1441    +    1.5e-206  684.4  11.8  -
Rhizobiaceae              -          LKAP.g-Gut1_E11_087.seq -               51     964      56    1005      35    1011    1422    +    4.5e-206  682.7  10.7  -
Nautiliaceae              -          LKAP.g-Gut1_E11_087.seq -               28     991       7    1002       3    1011    1431    +    2.4e-205  680.4  12.1  -
Lachnospiraceae           -          LKAP.g-Gut1_E11_087.seq -               28    1010       7    1003       3    1009    1469    +    9.3e-205  678.1  12.0  -
Erythrobacteraceae        -          LKAP.g-Gut1_E11_087.seq -               53     919      56     958      14     993    1433    +    2.4e-204  677.1  11.2  -
Phyllobacteriaceae        -          LKAP.g-Gut1_E11_087.seq -               51     916      56     958      35     978    1424    +    3.9e-204  676.3  11.7  -
Acidobacteria             -          LKAP.g-Gut1_E11_087.seq -               81    1045      54     999      30    1008    1505    +      1e-202  671.9  11.9  -
Bacillales                -          LKAP.g-Gut1_E11_087.seq -               34    1027       6     987       3    1007    1503    +    1.5e-202  671.0  12.2  -
Campylobacteraceae        -          LKAP.g-Gut1_E11_087.seq -               29    1004       8    1007       3    1011    1429    +    1.5e-201  667.3  11.5  -
Helicobacteraceae         -          LKAP.g-Gut1_E11_087.seq -               86    1004      55    1005      27    1011    1473    +    2.2e-201  666.7  10.7  -
Peptostreptococcaceae     -          LKAP.g-Gut1_E11_087.seq -               27     978       6     986       3    1006    1441    +    2.9e-201  666.5  12.5  -
Deferribacteraceae        -          LKAP.g-Gut1_E11_087.seq -               55    1012      34     986      12    1007    1513    +      1e-200  664.7  11.9  -
Spirillaceae              -          LKAP.g-Gut1_E11_087.seq -               49    1040      16    1005       3    1011    1447    +    3.4e-200  663.3  11.8  -
Caulobacteraceae          -          LKAP.g-Gut1_E11_087.seq -               52     952      56     995      30    1011    1415    +    4.2e-200  662.9  10.8  -
Syntrophobacteraceae      -          LKAP.g-Gut1_E11_087.seq -               45    1035      20     996       4    1011    1496    +    5.2e-200  662.6  11.9  -
Brucellaceae              -          LKAP.g-Gut1_E11_087.seq -               57     922      58     960      38     983    1411    +    6.8e-200  662.3  11.6  -
Aurantimonadaceae         -          LKAP.g-Gut1_E11_087.seq -               67     960      54     983      33    1006    1442    +    9.4e-200  661.8  11.2  -
Beijerinckiaceae          -          LKAP.g-Gut1_E11_087.seq -               68     942      59     970      39     999    1421    +    1.8e-199  660.7  11.1  -
Thermoanaerobacteraceae   -          LKAP.g-Gut1_E11_087.seq -               33     979       6     965       3     991    1492    +    3.1e-199  659.7  13.4  -
Kiloniellaceae            -          LKAP.g-Gut1_E11_087.seq -               52     946      16     958       4     978    1450    +    3.6e-199  659.5  11.8  -
Bacillaceae               -          LKAP.g-Gut1_E11_087.seq -               25    1025       6     991       2    1006    1493    +    9.4e-199  658.4  12.3  -
Spirochaetaceae           -          LKAP.g-Gut1_E11_087.seq -               32     997       5     973       2     994    1486    +    1.2e-198  658.1  12.5  -
Desulfomicrobiaceae       -          LKAP.g-Gut1_E11_087.seq -               48    1042      21    1009       4    1011    1495    +    1.9e-198  657.2  12.0  -
Bradyrhizobiaceae         -          LKAP.g-Gut1_E11_087.seq -               57     928      59     967      38     992    1428    +    2.4e-198  656.9  11.5  -
Kordiimonadaceae          -          LKAP.g-Gut1_E11_087.seq -               33     928      16     958       3     979    1421    +    3.7e-198  656.6  11.7  -
Bacteroidaceae            -          LKAP.g-Gut1_E11_087.seq -               36    1006       6     977       3     999    1480    +    6.1e-198  655.6  12.4  -
Methylobacteriaceae       -          LKAP.g-Gut1_E11_087.seq -               50     950      51     991      29    1010    1426    +    8.3e-198  655.3  11.3  -
Lactobacillaceae          -          LKAP.g-Gut1_E11_087.seq -               31    1049       7     992       3    1007    1522    +    7.7e-197  652.0  12.1  -
Synergistaceae            -          LKAP.g-Gut1_E11_087.seq -               27     945       6     955       3     976    1450    +    1.4e-196  651.1  13.7  -
Thermoanaerobacterales    -          LKAP.g-Gut1_E11_087.seq -               35    1006       6     991       2    1006    1472    +    3.1e-196  650.0  12.8  -
Desulfarculaceae          -          LKAP.g-Gut1_E11_087.seq -               40    1003      14     959       3     980    1516    +    4.2e-196  649.6  12.6  -
Selenomonadaceae          -          LKAP.g-Gut1_E11_087.seq -               47    1053       7    1000       3    1007    1531    +    2.3e-195  647.0  12.0  -
Leptospiraceae            -          LKAP.g-Gut1_E11_087.seq -               55     941      59     954      45     974    1431    +    1.8e-194  644.0  11.5  -
Fusobacteriaceae          -          LKAP.g-Gut1_E11_087.seq -               69     995      51     994      30    1007    1458    +    3.6e-194  643.2  11.9  -
Streptomycetaceae         -          LKAP.g-Gut1_E11_087.seq -               59     968      53     973      30     991    1479    +    5.9e-194  642.5  12.5  -
Holophagaceae             -          LKAP.g-Gut1_E11_087.seq -               77     984      63     951      45     971    1502    +    6.1e-194  642.5  12.5  -
Paenibacillaceae          -          LKAP.g-Gut1_E11_087.seq -               28    1035       6    1003       3    1009    1493    +    1.2e-193  641.5  12.1  -
Halobacteriovoracaceae    -          LKAP.g-Gut1_E11_087.seq -               33    1032      16    1001       3    1011    1480    +    1.6e-193  640.9  11.7  -
Heliobacteriaceae         -          LKAP.g-Gut1_E11_087.seq -               44    1014       6    1002       3    1008    1500    +    2.2e-193  640.6  12.1  -
Haliangiaceae             -          LKAP.g-Gut1_E11_087.seq -               45     989       8     942       4     965    1507    +    5.8e-193  639.2  13.6  -
Erysipelotrichaceae       -          LKAP.g-Gut1_E11_087.seq -               33     974       7     963       3     985    1466    +    1.2e-192  638.2  13.2  -
Patulibacteraceae         -          LKAP.g-Gut1_E11_087.seq -               81     982      53     955      21     973    1494    +      2e-192  637.1  12.3  -
Oleiphilaceae             -          LKAP.g-Gut1_E11_087.seq -               37    1022       7    1009       2    1011    1437    +    3.5e-192  636.4  11.8  -
Micrococcaceae            -          LKAP.g-Gut1_E11_087.seq -               46     983      20     973       3     993    1476    +    4.8e-192  636.1  12.5  -
Thermoactinomycetaceae    -          LKAP.g-Gut1_E11_087.seq -               35     987       6     958       3     990    1495    +    1.4e-191  634.7  12.9  -
Immundisolibacteraceae    -          LKAP.g-Gut1_E11_087.seq -               86    1045      47    1001      19    1011    1555    +      2e-191  633.8  12.0  -
Porticoccaceae            -          LKAP.g-Gut1_E11_087.seq -               66    1015      51     998      14    1011    1497    +    4.4e-191  632.7  11.9  -
Rickettsiaceae            -          LKAP.g-Gut1_E11_087.seq -               34     925      12     953       4     973    1430    +      7e-191  632.3  11.6  -
Mycoplasmataceae          -          LKAP.g-Gut1_E11_087.seq -               47     955      54     956      31     968    1467    +    3.7e-190  630.0  12.1  -
Desulfonatronaceae        -          LKAP.g-Gut1_E11_087.seq -               33    1027      11    1001       3    1011    1495    +    2.8e-189  626.9  12.6  -
Cohaesibacteraceae        -          LKAP.g-Gut1_E11_087.seq -               45     936       4     958       1     978    1425    +    8.1e-189  625.6  11.7  -
Planococcaceae            -          LKAP.g-Gut1_E11_087.seq -               27    1013       6     985       3    1005    1491    +    8.7e-189  625.2  12.2  -
Alicyclobacillaceae       -          LKAP.g-Gut1_E11_087.seq -               48     989       7     956       3     977    1512    +    1.5e-188  624.8  13.3  -
Parvularculaceae          -          LKAP.g-Gut1_E11_087.seq -               73     936      57     957      36     977    1428    +    2.2e-188  624.3  11.6  -
Carnobacteriaceae         -          LKAP.g-Gut1_E11_087.seq -               29    1008       8     978       3     998    1496    +    3.4e-188  623.3  12.4  -
Staphylococcaceae         -          LKAP.g-Gut1_E11_087.seq -               29    1000       6     973       3     994    1479    +    3.8e-188  623.2  12.4  -
Bartonellaceae            -          LKAP.g-Gut1_E11_087.seq -               55     918      58     958      38     973    1410    +    1.1e-187  621.8  12.2  -
Halanaerobiaceae          -          LKAP.g-Gut1_E11_087.seq -               36    1020       7     973       4     993    1503    +    2.2e-187  620.5  12.5  -
Chelatococcaceae          -          LKAP.g-Gut1_E11_087.seq -               65     928      58     958      15     979    1439    +    4.8e-187  619.7  11.6  -
Bacteriovoracaceae        -          LKAP.g-Gut1_E11_087.seq -               62     978      57     953      36     973    1473    +    5.6e-187  619.2  12.3  -
Microbacteriaceae         -          LKAP.g-Gut1_E11_087.seq -               70     989      56     991      29    1007    1464    +    7.1e-187  618.9  11.8  -
Streptococcaceae          -          LKAP.g-Gut1_E11_087.seq -               34    1009      11     972       3     993    1497    +    9.4e-187  618.5  12.6  -
Calditrichaeota           -          LKAP.g-Gut1_E11_087.seq -               35    1023       7     991       3    1010    1483    +    1.7e-186  617.9  12.2  -
Woeseiaceae               -          LKAP.g-Gut1_E11_087.seq -               43    1032      12    1007       3    1011    1476    +    1.7e-186  617.4  12.2  -
Polyangiaceae             -          LKAP.g-Gut1_E11_087.seq -               81    1039      57     994      36    1003    1548    +    2.8e-186  617.0  12.3  -
Oscillatoriales           -          LKAP.g-Gut1_E11_087.seq -               54     961      57     998      36    1008    1445    +      3e-186  617.0  10.9  -
Halobacteroidaceae        -          LKAP.g-Gut1_E11_087.seq -               35     990       6     972       3     996    1478    +    5.4e-186  615.8  12.2  -
Aerococcaceae             -          LKAP.g-Gut1_E11_087.seq -               28    1019       7     991       3    1007    1473    +    1.7e-185  614.4  12.3  -
Rubrobacteraceae          -          LKAP.g-Gut1_E11_087.seq -               34     976      17     955       4     976    1495    +    2.4e-185  613.9  13.3  -
Rhodothermaceae           -          LKAP.g-Gut1_E11_087.seq -               50     957      35     950      14     970    1457    +    1.2e-184  611.6  12.8  -
Veillonellaceae           -          LKAP.g-Gut1_E11_087.seq -               42    1016      50    1000      22    1008    1450    +    1.4e-184  611.2  11.7  -
Myxococcaceae             -          LKAP.g-Gut1_E11_087.seq -               75    1003      56     962      36     984    1517    +    1.8e-184  610.9  12.3  -
Flammeovirgaceae          -          LKAP.g-Gut1_E11_087.seq -               28     957       7     951       3     977    1446    +    2.2e-184  610.9  12.5  -
Leuconostocaceae          -          LKAP.g-Gut1_E11_087.seq -               30    1021      12     992       3    1007    1479    +    2.8e-184  610.5  11.9  -
Brevibacteriaceae         -          LKAP.g-Gut1_E11_087.seq -               75     993      52     979      21     998    1487    +    4.4e-184  609.5  11.7  -
Nitrospiraceae            -          LKAP.g-Gut1_E11_087.seq -               33     957       6     956       3     966    1479    +    1.1e-183  608.4  12.5  -
Sporolactobacillaceae     -          LKAP.g-Gut1_E11_087.seq -               28    1002       7     978       3     998    1503    +    1.2e-183  608.2  12.3  -
Sporomusaceae             -          LKAP.g-Gut1_E11_087.seq -               49    1047       9    1001       3    1008    1535    +    1.4e-183  607.7  11.9  -
Intrasporangiaceae        -          LKAP.g-Gut1_E11_087.seq -               62     974      50     973      12     993    1461    +    1.9e-183  607.6  12.2  -
Acidimicrobiaceae         -          LKAP.g-Gut1_E11_087.seq -               89     977      58     961      37     981    1464    +    2.3e-183  607.4  12.4  -
Cystobacteraceae          -          LKAP.g-Gut1_E11_087.seq -               59     990      56     965      36     986    1491    +    4.9e-183  606.2  12.3  -
Listeriaceae              -          LKAP.g-Gut1_E11_087.seq -               21     985      12     972       3     992    1448    +    5.9e-183  606.1  12.1  -
Solirubrobacteraceae      -          LKAP.g-Gut1_E11_087.seq -               15     975      14     969       4     990    1443    +    1.1e-182  604.9  12.4  -
Flavobacteriaceae         -          LKAP.g-Gut1_E11_087.seq -               26     963       6     949       2     970    1451    +    4.1e-182  603.1  13.0  -
Parviterribacteraceae     -          LKAP.g-Gut1_E11_087.seq -               33     970      16     962       4     983    1456    +    6.7e-182  602.4  12.4  -
Verrucomicrobiaceae       -          LKAP.g-Gut1_E11_087.seq -               30     974       8     956       4     997    1470    +    7.8e-182  602.4  12.4  -
Cytophagaceae             -          LKAP.g-Gut1_E11_087.seq -               59     977      57     976      36    1000    1437    +    1.3e-181  601.5  12.0  -
Puniceicoccaceae          -          LKAP.g-Gut1_E11_087.seq -               38     997       7     966       4     993    1485    +    2.5e-181  600.5  12.2  -
Algiphilaceae             -          LKAP.g-Gut1_E11_087.seq -               50    1033       9    1004       3    1011    1501    +      5e-181  599.2  12.0  -
Stigonematales            -          LKAP.g-Gut1_E11_087.seq -               75     976      57     991      36    1008    1450    +    1.2e-180  598.4  11.2  -
Pseudonocardiaceae        -          LKAP.g-Gut1_E11_087.seq -               34     976       7     973       3     992    1475    +    2.5e-180  597.3  12.7  -
Nakamurellaceae           -          LKAP.g-Gut1_E11_087.seq -               30     966       9     972       3     992    1462    +    2.9e-180  597.0  12.5  -
Ventosimonadaceae         -          LKAP.g-Gut1_E11_087.seq -               88    1053      51    1010      23    1011    1489    +    3.9e-180  596.4  11.8  -
