# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcaligenaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               25     919      19     918       6     918    1467    +           0 1063.1  17.9  -
Deltaproteobacteria       -          LKAP-TSAKG2_D07_057_2018_2 -               41     949      19     912       8     918    1514    +    1.6e-208  690.6  17.7  -
Francisellaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               37     918      21     912      10     918    1508    +    2.3e-208  690.1  18.2  -
Geobacteraceae            -          LKAP-TSAKG2_D07_057_2018_2 -               34     938      20     912       8     918    1487    +    2.4e-208  689.9  18.0  -
Rhizobiales               -          LKAP-TSAKG2_D07_057_2018_2 -               37     869      21     912      12     918    1438    +    6.2e-208  688.8  17.6  -
Helicobacteraceae         -          LKAP-TSAKG2_D07_057_2018_2 -               45     896      20     912       9     917    1473    +    1.1e-207  687.5  17.9  -
Desulfobacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               40     949      21     912      11     917    1516    +    5.1e-207  685.5  17.9  -
Desulfovibrionaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               42     939      21     912      10     918    1527    +    1.1e-206  684.5  17.8  -
Ruminococcaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               25     910      19     914       8     918    1457    +    3.9e-206  682.5  18.6  -
Phyllobacteriaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               25     858      19     912       7     918    1424    +    6.1e-206  682.2  18.0  -
Desulfohalobiaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               33     943      21     912       9     918    1509    +    1.4e-205  680.7  18.0  -
Gallionellaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               42     933      19     916       6     918    1385    +    3.5e-205  679.3  17.8  -
Xanthobacteraceae         -          LKAP-TSAKG2_D07_057_2018_2 -               27     857      21     912      10     918    1415    +    4.8e-205  679.2  17.5  -
Syntrophomonadaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               44     943      21     912       9     917    1515    +      6e-205  678.5  17.8  -
Sneathiellaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               32     874      21     912      13     918    1427    +    4.3e-204  675.9  17.1  -
Desulfobulbaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               28     932      21     912       8     918    1483    +    9.8e-204  674.6  17.6  -
Peptococcaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               33     903      20     912       8     918    1479    +    2.2e-203  673.3  18.6  -
Caulobacteraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               26     859      20     912      10     918    1415    +    2.7e-203  673.3  17.2  -
Bdellovibrionaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               23     887      21     913       9     918    1430    +    2.9e-203  673.1  17.9  -
Sphingomonadaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               31     867      18     912       9     918    1434    +    7.5e-203  672.1  17.1  -
Rhizobiaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               26     858      20     912       7     918    1422    +    8.1e-203  671.7  18.0  -
Desulfuromonadaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               44     948      21     912       8     918    1518    +    3.1e-202  669.7  17.9  -
Syntrophaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               44     948      21     912       9     917    1551    +    3.3e-202  669.6  17.9  -
Methylobacteriaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               25     861      19     912       7     918    1426    +    7.9e-202  668.5  17.9  -
Bradyrhizobiaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               26     861      20     912       7     918    1428    +    2.3e-201  666.8  17.6  -
Campylobacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               26     894      20     912       8     918    1429    +    4.6e-201  665.5  18.3  -
Lachnospiraceae           -          LKAP-TSAKG2_D07_057_2018_2 -               27     907      21     912       8     917    1469    +    2.1e-200  663.6  18.8  -
Beijerinckiaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               40     872      21     912      13     918    1421    +    3.3e-200  663.0  17.9  -
Anaplasmataceae           -          LKAP-TSAKG2_D07_057_2018_2 -               38     891      21     912       8     918    1441    +    6.2e-200  662.3  17.6  -
Parvularculaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               47     879      21     912      10     918    1428    +    1.9e-198  657.6  17.3  -
Erysipelotrichaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               31     911      20     912       9     918    1466    +    2.7e-198  656.8  18.0  -
Erythrobacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               27     861      20     912      10     918    1433    +    6.5e-198  655.6  16.9  -
Methylothermaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               48     939      21     913       9     918    1491    +    1.7e-197  654.0  17.7  -
Betaproteobacteria        -          LKAP-TSAKG2_D07_057_2018_2 -                3     895      16     916      14     918    1454    +    1.9e-197  653.7  17.8  -
Peptostreptococcaceae     -          LKAP-TSAKG2_D07_057_2018_2 -               27     890      21     911       9     917    1441    +    2.2e-197  653.5  18.5  -
Brucellaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               32     862      21     912      10     918    1411    +    1.1e-196  651.5  17.9  -
Aurantimonadaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               44     876      21     912       9     918    1442    +    1.5e-196  651.1  17.3  -
Kordiimonadaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               26     870      20     912      11     918    1421    +    2.2e-196  650.6  17.3  -
Rickettsiaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               27     872      21     912       7     918    1430    +    3.4e-196  649.8  17.4  -
Bacillales                -          LKAP-TSAKG2_D07_057_2018_2 -               34     940      21     912       9     918    1503    +    8.3e-196  648.5  18.3  -
Kiloniellaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               46     888      21     912       6     918    1450    +    1.5e-195  647.4  16.4  -
Mycoplasmataceae          -          LKAP-TSAKG2_D07_057_2018_2 -               22     899      21     912      12     918    1467    +    2.3e-195  647.2  17.8  -
Acidobacteria             -          LKAP-TSAKG2_D07_057_2018_2 -               46     949      20     913       9     918    1505    +    2.7e-195  647.2  18.4  -
Paenibacillaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               26     933      19     913       7     918    1493    +    1.1e-194  644.8  18.4  -
Thermoanaerobacteraceae   -          LKAP-TSAKG2_D07_057_2018_2 -               32     914      20     912       8     917    1492    +    1.3e-194  644.3  19.3  -
Leptospiraceae            -          LKAP-TSAKG2_D07_057_2018_2 -               55     887      67     912      46     917    1431    +    1.9e-194  643.8  17.6  -
Desulfarculaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               35     945      20     913       9     918    1516    +      7e-194  642.1  17.7  -
Haliangiaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               43     947      21     912       9     918    1507    +    1.1e-193  641.4  18.1  -
Spirochaetaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               31     923      19     912       8     917    1486    +    2.2e-193  640.5  18.3  -
Bacteroidaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               36     928      21     912      11     918    1480    +    1.2e-192  637.9  18.3  -
Synergistaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               25     890      19     912       8     917    1450    +    1.3e-192  637.8  20.2  -
Lactobacillaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               27     958      18     912       8     917    1522    +    2.1e-192  637.2  18.5  -
Thermoanaerobacterales    -          LKAP-TSAKG2_D07_057_2018_2 -               29     916      15     912       7     917    1472    +    2.3e-192  637.0  19.2  -
Bacillaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               22     933      18     912       6     918    1493    +    8.6e-192  635.2  18.1  -
Syntrophobacteraceae      -          LKAP-TSAKG2_D07_057_2018_2 -               34     941      20     913       9     918    1496    +    4.3e-191  632.9  17.7  -
Bartonellaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               27     860      21     912       8     918    1410    +    2.4e-190  630.4  17.4  -
Chelatococcaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               38     870      21     912      10     918    1439    +    3.8e-190  629.9  17.1  -
Micrococcaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               34     908      19     911       6     917    1476    +    8.9e-190  628.5  19.1  -
Bacteriovoracaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               25     930      19     917       7     918    1473    +    9.9e-190  628.2  17.5  -
Streptomycetaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               26     894      20     912       7     917    1479    +    2.9e-189  626.8  18.5  -
Brevibacteriaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               35     912      19     911       8     917    1487    +    3.8e-189  626.2  18.8  -
Patulibacteraceae         -          LKAP-TSAKG2_D07_057_2018_2 -               46     926      20     911       8     917    1494    +    7.9e-189  625.0  17.8  -
Immundisolibacteraceae    -          LKAP-TSAKG2_D07_057_2018_2 -               54     947      19     913       6     918    1555    +    8.1e-189  625.0  18.4  -
Desulfomicrobiaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               36     933      20     913       8     918    1495    +    8.4e-189  625.2  17.4  -
Verrucomicrobiaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               24     918      17     912       7     918    1470    +    8.6e-189  625.3  18.6  -
Rhodothermaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               27     908      21     913      11     918    1457    +      1e-188  625.0  17.8  -
Cystobacteraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               26     925      20     912       8     918    1491    +    2.2e-188  623.7  17.8  -
Carnobacteriaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               24     930      18     912       7     918    1496    +    3.3e-188  623.3  18.4  -
Planococcaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               22     928      16     913       8     918    1491    +      4e-188  622.9  18.0  -
Microbacteriaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               28     900      19     910       7     917    1464    +    7.1e-188  622.0  19.1  -
Deferribacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               55     927      55     912      27     916    1513    +    9.8e-188  621.5  18.4  -
Nitrospiraceae            -          LKAP-TSAKG2_D07_057_2018_2 -               33     901      21     912       9     917    1479    +    7.3e-187  618.7  18.2  -
Fusobacteriaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               44     899      21     912      11     917    1458    +    1.6e-186  617.7  18.2  -
Myxococcaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               40     941      20     912       8     918    1517    +    1.6e-186  617.5  18.0  -
Desulfurellaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               33     936      21     912       9     918    1529    +    3.5e-186  616.3  17.7  -
Streptococcaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               30     936      18     912       8     918    1497    +    9.2e-186  615.1  18.4  -
Selenomonadaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               46     955      21     912       8     918    1531    +      1e-185  614.9  18.3  -
Flavobacteriaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               23     916      18     914       7     918    1451    +    3.3e-185  613.2  17.9  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_D07_057_2018_2 -               34     929      20     912       9     918    1495    +    6.4e-185  612.5  18.1  -
Alicyclobacillaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               42     933      16     912       8     918    1512    +    7.1e-185  612.4  18.4  -
Cohaesibacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               46     878      21     912       9     918    1425    +    4.5e-184  609.7  17.2  -
Flammeovirgaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               26     906      20     912       9     917    1446    +    7.3e-184  609.0  18.3  -
Ventosimonadaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               49     945      16     913       7     918    1489    +      1e-183  608.1  18.2  -
Woeseiaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               32     927      17     913       7     918    1476    +    2.1e-183  607.1  18.3  -
Intrasporangiaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               23     898      17     910       6     917    1461    +    2.1e-183  607.3  18.9  -
Acholeplasmataceae        -          LKAP-TSAKG2_D07_057_2018_2 -               18     901      20     917       9     918    1437    +    2.5e-183  606.9  17.7  -
Aerococcaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               26     930      20     912       9     917    1473    +    3.6e-183  606.6  18.4  -
Staphylococcaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               27     927      19     912       7     918    1479    +    5.4e-183  606.0  18.3  -
Listeriaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               10     913      17     912       9     918    1448    +    1.3e-182  604.9  19.1  -
Sporolactobacillaceae     -          LKAP-TSAKG2_D07_057_2018_2 -               23     925      17     913       7     918    1503    +    6.3e-182  602.3  18.3  -
Halobacteriovoracaceae    -          LKAP-TSAKG2_D07_057_2018_2 -               27     935      21     917      12     918    1480    +    8.4e-182  601.9  17.6  -
Acidimicrobiaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               47     915      21     911       9     917    1464    +    1.7e-181  601.1  19.0  -
Holophagaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               46     933      21     912       9     918    1502    +    3.2e-181  600.2  17.6  -
Halanaerobiaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               35     947      21     912       9     918    1503    +    3.4e-181  599.9  18.5  -
Cellulomonadaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               29     900      19     910       7     917    1465    +    1.4e-180  598.1  19.2  -
Cytophagaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               27     901      19     912       7     917    1437    +    1.5e-180  597.9  18.3  -
Rubrobacteraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               26     920      20     911       7     918    1495    +    1.7e-180  597.7  18.2  -
Porticoccaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               34     919      20     913       8     918    1497    +    1.9e-180  597.4  18.0  -
Leuconostocaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               22     931      20     912       8     917    1479    +    1.9e-180  597.6  18.7  -
Heliobacteriaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               44     913      21     912      11     917    1500    +    2.2e-180  597.3  18.3  -
Actinomycetaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               27     924      21     910       9     917    1468    +    3.9e-180  596.5  18.7  -
Polyangiaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               46     946      21     912       8     918    1548    +    5.5e-180  596.0  17.8  -
Anaerolineaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               27     890      21     909       9     915    1430    +    1.3e-179  595.2  18.8  -
Enterococcaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               22     935      16     912       7     918    1498    +    1.6e-179  594.5  18.7  -
Halobacteroidaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               35     917      21     911      10     917    1478    +    2.9e-179  593.4  18.0  -
Veillonellaceae           -          LKAP-TSAKG2_D07_057_2018_2 -                5     916      21     912      18     918    1450    +    7.2e-179  592.1  18.6  -
