# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               29     955      22     946      13     948    1468    +           0 1081.4  18.9  -
Wenzhouxiangellaceae      -          LKAP-TSAKG2_D09_073_2018_2 -               32     963      22     940       9     947    1472    +    1.9e-266  882.4  18.6  -
Chromobacteriaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               32     956      23     946      11     948    1460    +    7.6e-266  880.7  18.6  -
Cardiobacteriaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               41     968      23     946      15     948    1464    +    4.8e-265  878.2  18.5  -
Shewanellaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               33     965      23     945      11     948    1483    +    2.3e-263  872.3  18.6  -
Idiomarinaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               32     955      22     937      11     945    1466    +    1.2e-262  869.8  18.8  -
Pseudoalteromonadaceae    -          LKAP-TSAKG2_D09_073_2018_2 -               31     955      22     941      11     947    1469    +    1.1e-261  866.7  18.6  -
Nevskiaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               54     958      31     946      17     948    1470    +    1.1e-261  867.0  18.3  -
Lysobacteraceae           -          LKAP-TSAKG2_D09_073_2018_2 -               31     966      21     946      10     949    1484    +    1.4e-261  866.4  18.4  -
Ferrimonadaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               29     972      20     944       8     948    1475    +    1.4e-260  862.9  18.6  -
Coxiellaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               33     965      23     940      16     946    1475    +    2.2e-259  859.2  18.8  -
Arenicellaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               33     953      23     941      13     947    1488    +    4.3e-259  858.3  18.4  -
Thermoleophilaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               22     965      20     946      12     948    1494    +    4.5e-259  858.0  18.5  -
Legionellaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               29     957      23     941      14     947    1446    +    1.5e-258  856.5  18.5  -
Colwelliaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               32     955      22     937      14     945    1467    +    2.3e-258  855.8  18.8  -
Alcaligenaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               32     955      22     941      12     947    1467    +    3.3e-258  855.4  18.5  -
Moritellaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               48     980      23     945      15     948    1501    +      9e-258  853.6  18.6  -
Aeromonadaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               45     978      23     946      12     948    1496    +    2.3e-257  852.2  18.4  -
Burkholderiaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               33     952      23     941      14     947    1482    +    2.9e-257  852.2  18.4  -
Acidiferrobacteraceae     -          LKAP-TSAKG2_D09_073_2018_2 -               64     954      61     945      50     948    1454    +    3.1e-257  852.1  18.6  -
Neisseriaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               47     978      23     946      14     948    1477    +    9.7e-256  847.1  18.3  -
Vibrionaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               33     973      23     945      11     948    1474    +    1.6e-255  846.2  18.6  -
Thiotrichales             -          LKAP-TSAKG2_D09_073_2018_2 -               53     983      23     946      16     948    1519    +    5.7e-255  844.2  19.0  -
Rhodocyclaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               32     956      22     941      13     947    1484    +    2.2e-251  832.6  18.6  -
Succinivibrionaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               36     941      23     946      15     948    1473    +    2.4e-251  832.5  19.0  -
Salinisphaeraceae         -          LKAP-TSAKG2_D09_073_2018_2 -               17     948      20     945      10     948    1429    +    4.3e-250  828.4  18.8  -
Burkholderiales           -          LKAP-TSAKG2_D09_073_2018_2 -               33     952      23     940      12     946    1463    +    2.2e-249  826.0  18.5  -
Methylophilaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               14     948      22     946      13     948    1431    +    7.2e-249  824.4  18.7  -
Oxalobacteraceae          -          LKAP-TSAKG2_D09_073_2018_2 -               33     954      23     941      12     947    1459    +    4.3e-248  821.8  18.7  -
Rhodanobacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               32     966      21     946      12     948    1473    +    1.4e-247  820.1  18.4  -
Enterobacteriaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               33     964      23     946      11     948    1465    +    2.4e-247  819.3  18.4  -
Sulfuricellaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               34     957      23     941      15     947    1463    +    1.5e-246  816.6  18.7  -
Erwiniaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               27     959      22     946      10     948    1483    +    1.7e-244  809.8  18.4  -
Rhodospirillaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               34     906      22     940      12     947    1429    +    6.1e-244  808.1  18.6  -
Francisellaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               41     965      21     946      12     948    1508    +    1.3e-243  807.0  18.5  -
Pectobacteriaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               28     960      22     945      11     948    1477    +    1.6e-242  803.2  18.5  -
Pasteurellaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               33     964      23     945      15     948    1422    +    2.9e-242  802.4  18.4  -
Celerinatantimonadaceae   -          LKAP-TSAKG2_D09_073_2018_2 -               28     970      23     945      14     948    1433    +    1.6e-241  800.0  18.6  -
Sutterellaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               29     958      20     943      11     948    1487    +    4.4e-241  798.3  18.6  -
Yersiniaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               33     963      23     945      13     948    1473    +    4.8e-241  798.3  18.5  -
Psychromonadaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               33     954      23     937      14     945    1467    +    1.6e-240  796.6  18.7  -
Hafniaceae                -          LKAP-TSAKG2_D09_073_2018_2 -               26     957      22     945      10     948    1459    +    4.9e-240  794.9  18.5  -
Zoogloeaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               40     961      23     941      14     947    1474    +    7.5e-240  794.4  19.2  -
Hydrogenophilaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               33     954      23     941      13     947    1461    +    9.7e-239  790.9  18.4  -
Morganellaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               36     966      23     945      13     948    1487    +    6.6e-238  788.1  18.5  -
Thiobacilliaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               52     973      23     941      14     947    1517    +      7e-237  784.6  19.0  -
Thermithiobacillaceae     -          LKAP-TSAKG2_D09_073_2018_2 -               18     943      23     946      15     948    1419    +    8.1e-237  784.4  18.7  -
Hyphomicrobiaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               51     907      55     945      33     948    1427    +    9.8e-237  784.2  18.4  -
Budviciaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               23     953      23     945      15     948    1483    +    5.8e-236  781.5  18.5  -
Acetobacteraceae          -          LKAP-TSAKG2_D09_073_2018_2 -               59     914      60     946      39     948    1438    +    8.3e-236  781.3  19.4  -
Comamonadaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               32     949      22     938      12     945    1466    +    8.3e-235  777.4  18.9  -
Rhodobiaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               64     911      60     941      39     947    1440    +    1.5e-234  777.0  18.5  -
Nitrosomonadaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               33     955      23     941      14     947    1461    +    5.4e-234  775.2  18.8  -
Acidithiobacillaceae      -          LKAP-TSAKG2_D09_073_2018_2 -               32     955      23     946      15     948    1457    +    2.7e-232  769.2  18.7  -
Clostridiaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               47     953      23     946      15     948    1485    +    8.1e-231  764.3  18.9  -
Alphaproteobacteria       -          LKAP-TSAKG2_D09_073_2018_2 -               52     905      58     945      27     948    1409    +    2.4e-230  763.2  18.4  -
Eubacteriaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               47     964      23     946      16     948    1485    +    4.7e-229  758.6  19.4  -
Azonexaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               34     958      23     941      15     947    1474    +      5e-229  758.7  18.6  -
Clostridiales             -          LKAP-TSAKG2_D09_073_2018_2 -               40     957      23     946      16     948    1470    +    1.3e-228  757.1  18.6  -
Syntrophomonadaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               50     990      23     946      15     948    1515    +    6.2e-228  754.7  18.7  -
Desulfovibrionaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               48     986      23     946      16     948    1527    +    1.4e-227  753.7  18.6  -
Orbaceae                  -          LKAP-TSAKG2_D09_073_2018_2 -               60     988      23     946      15     948    1539    +    2.1e-227  753.0  18.6  -
Thorselliaceae            -          LKAP-TSAKG2_D09_073_2018_2 -                6     932      23     945      19     948    1419    +    5.2e-227  751.7  18.6  -
Desulfobacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               46     996      23     946      16     948    1516    +    2.7e-226  749.5  18.5  -
Rhodobacteraceae          -          LKAP-TSAKG2_D09_073_2018_2 -               33     900      23     938      13     946    1402    +    4.3e-226  748.9  18.4  -
Deltaproteobacteria       -          LKAP-TSAKG2_D09_073_2018_2 -               50     995      24     945      16     948    1514    +      1e-225  747.6  18.4  -
Ruminococcaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               33     955      23     946      13     948    1457    +    6.6e-225  744.8  19.0  -
Desulfohalobiaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               39     990      23     946      15     948    1509    +    3.8e-224  742.4  18.4  -
Syntrophaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               85     995      61     946      40     948    1551    +    2.3e-223  739.8  18.5  -
Hyphomonadaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               33     902      23     942      15     947    1400    +    2.7e-223  739.8  18.4  -
Phyllobacteriaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               50     900      57     941      36     947    1424    +    3.6e-223  739.3  18.5  -
Methylocystaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               64     913      58     941      36     947    1424    +    7.3e-223  738.3  18.5  -
Desulfobulbaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               35     979      24     946      15     948    1483    +    7.5e-223  738.0  18.3  -
Rhizobiales               -          LKAP-TSAKG2_D09_073_2018_2 -               43     916      23     946      15     948    1438    +    1.5e-222  737.3  18.5  -
Methylothermaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               54     984      23     945      12     948    1491    +    1.7e-222  736.8  18.6  -
Nautiliaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               33     931      23     946      14     948    1431    +    3.4e-222  736.2  18.4  -
Peptococcaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               40     950      23     946      14     948    1479    +    6.7e-221  731.5  19.5  -
Rhizobiaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               49     901      56     942      30     947    1422    +    3.6e-220  729.3  18.5  -
Xanthobacteraceae         -          LKAP-TSAKG2_D09_073_2018_2 -               52     898      60     940      40     947    1415    +    5.1e-220  728.8  18.5  -
Aurantimonadaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               69     921      58     944      37     948    1442    +    2.6e-219  726.6  18.5  -
Lachnospiraceae           -          LKAP-TSAKG2_D09_073_2018_2 -               33     954      23     946      12     948    1469    +    8.7e-219  724.5  19.2  -
Geobacteraceae            -          LKAP-TSAKG2_D09_073_2018_2 -               41     985      23     946      14     948    1487    +      1e-218  724.3  18.1  -
Helicobacteraceae         -          LKAP-TSAKG2_D09_073_2018_2 -               49     943      20     946      11     948    1473    +    1.5e-218  723.5  18.2  -
Sneathiellaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               60     917      51     942      23     947    1427    +    1.5e-217  720.6  18.7  -
Kiloniellaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               52     929      23     940      15     947    1450    +    3.6e-217  719.1  18.4  -
Anaplasmataceae           -          LKAP-TSAKG2_D09_073_2018_2 -               44     930      23     938      15     946    1441    +    4.2e-217  719.3  18.2  -
Sphingomonadaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               61     907      60     939      39     947    1434    +    8.1e-217  718.4  18.4  -
Spirillaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               49     977      23     940      14     946    1447    +    9.2e-217  718.1  18.7  -
Thermoanaerobacteraceae   -          LKAP-TSAKG2_D09_073_2018_2 -               39     961      23     946      14     948    1492    +    3.5e-216  715.8  18.9  -
Beijerinckiaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               64     914      57     941      36     947    1421    +    1.1e-215  714.4  18.5  -
Bdellovibrionaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               29     933      23     946      15     948    1430    +    1.9e-215  713.6  18.8  -
Desulfuromonadaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               51     995      24     946      16     948    1518    +    1.4e-214  710.7  18.4  -
Methylobacteriaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               33     898      23     937      11     946    1426    +    4.6e-214  709.0  18.6  -
Bradyrhizobiaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               54     903      58     941      32     947    1428    +      5e-214  708.8  18.3  -
Parvularculaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               74     920      60     940      40     947    1428    +    1.4e-212  704.5  18.5  -
Brucellaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               57     904      60     941      38     947    1411    +    2.4e-212  703.5  18.5  -
Leptospiraceae            -          LKAP-TSAKG2_D09_073_2018_2 -               54     934      60     946      40     948    1431    +    2.4e-212  703.1  18.9  -
Acidobacteria             -          LKAP-TSAKG2_D09_073_2018_2 -               85     994      60     945      39     948    1505    +      5e-212  702.7  18.6  -
Peptostreptococcaceae     -          LKAP-TSAKG2_D09_073_2018_2 -               33     938      23     946      15     948    1441    +    1.3e-211  700.7  18.6  -
Porticoccaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               40     965      22     946       9     948    1497    +      2e-211  699.9  18.4  -
Oleiphilaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               41     961      22     946       9     948    1437    +    2.5e-211  699.6  18.8  -
Erythrobacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               55     902      60     940      40     947    1433    +      3e-211  699.9  18.4  -
Spirochaetaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               39     969      23     945      11     948    1486    +    3.9e-211  699.4  18.4  -
Thermoanaerobacterales    -          LKAP-TSAKG2_D09_073_2018_2 -               37     963      20     946      11     948    1472    +    4.6e-211  699.0  19.6  -
Bacillales                -          LKAP-TSAKG2_D09_073_2018_2 -               40     987      23     946      14     948    1503    +    5.7e-211  698.8  18.3  -
Bacteroidaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               42     975      23     946      16     948    1480    +    9.5e-211  697.9  18.5  -
Nitrospiraceae            -          LKAP-TSAKG2_D09_073_2018_2 -               60     948      30     946      17     948    1479    +    1.3e-210  697.5  18.1  -
Flavobacteriaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               30     961      22     946      12     948    1451    +    8.3e-210  694.8  18.6  -
Caulobacteraceae          -          LKAP-TSAKG2_D09_073_2018_2 -               55     896      61     937      39     945    1415    +    1.2e-209  694.4  18.6  -
Flammeovirgaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               32     953      22     946      11     948    1446    +    4.5e-209  692.7  18.6  -
Bacteriovoracaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               65     971      62     945      41     948    1473    +    7.6e-209  691.6  18.6  -
Lactobacillaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               89    1005      49     946      24     948    1522    +    9.6e-208  688.1  18.5  -
Cytophagaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               29     948      17     946       9     948    1437    +    2.4e-207  686.7  18.8  -
Bacillaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               24     980      16     946       6     948    1493    +    3.1e-207  686.4  18.4  -
Desulfarculaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               80     988      62     943      41     949    1516    +      4e-207  686.1  18.4  -
Chelatococcaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               66     916      61     945      41     948    1439    +    4.3e-207  686.1  18.3  -
Micrococcaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               40     951      22     941      11     947    1476    +      1e-206  684.6  19.0  -
Bartonellaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               33     901      23     940      14     947    1410    +    1.5e-206  684.1  18.4  -
Cohaesibacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               43     919      14     940       9     947    1425    +    1.6e-206  684.1  18.3  -
Synergistaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               33     936      23     945      14     948    1450    +    2.2e-206  683.5  20.3  -
Haliangiaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               85     992      62     944      41     948    1507    +      3e-206  683.1  18.2  -
Campylobacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               32     941      22     946      12     948    1429    +    4.1e-206  682.3  18.7  -
Kordiimonadaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               33     911      23     940      15     947    1421    +    4.5e-206  682.7  18.2  -
Woeseiaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               41     971      22     944      11     948    1476    +    5.9e-206  681.8  18.4  -
Halobacteriovoracaceae    -          LKAP-TSAKG2_D09_073_2018_2 -               66     976      61     945      41     948    1480    +    1.8e-205  680.4  18.7  -
Deferribacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               75     974      64     946      42     948    1513    +    1.9e-205  680.3  18.8  -
Erysipelotrichaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               38     958      23     946      14     948    1466    +    2.2e-205  680.3  18.7  -
Syntrophobacteraceae      -          LKAP-TSAKG2_D09_073_2018_2 -               80     987      62     946      42     948    1496    +    3.8e-205  679.6  18.6  -
Immundisolibacteraceae    -          LKAP-TSAKG2_D09_073_2018_2 -               61     991      22     944      11     948    1555    +    7.4e-205  678.1  18.6  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_D09_073_2018_2 -               40     976      22     946      13     948    1495    +    2.8e-204  676.7  18.5  -
Paenibacillaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               32     979      21     946      10     948    1493    +    1.1e-203  674.7  18.6  -
Selenomonadaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               52    1002      23     946      14     948    1531    +    1.1e-203  674.5  18.3  -
Rickettsiaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               33     910      23     938      15     945    1430    +    1.1e-203  674.6  18.3  -
Ventosimonadaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               60     991      23     946      10     948    1489    +    4.5e-203  672.2  18.6  -
Brevibacteriaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               43     958      23     944      13     948    1487    +    9.6e-203  671.3  18.7  -
Streptococcaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               39     983      23     946      13     948    1497    +      1e-202  671.4  18.6  -
Streptomycetaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               33     936      23     941      13     948    1479    +      2e-202  670.6  19.3  -
Mycoplasmataceae          -          LKAP-TSAKG2_D09_073_2018_2 -               29     946      24     946      15     948    1467    +    7.1e-202  668.8  18.5  -
Verrucomicrobiaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               34     965      23     946      12     948    1470    +    2.8e-201  666.8  18.6  -
Planococcaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               32     974      22     946      12     948    1491    +    8.1e-201  665.0  18.0  -
Desulfomicrobiaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               76     979      61     946      41     948    1495    +    5.2e-200  662.3  18.5  -
Alicyclobacillaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               51     980      21     946      11     948    1512    +    7.7e-199  658.8  18.6  -
Polyangiaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               84     993      62     946      42     948    1548    +    1.1e-198  658.0  18.4  -
Puniceicoccaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               43     978      23     946      16     948    1485    +    1.9e-198  657.1  18.2  -
Aerococcaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               33     977      23     946      13     948    1473    +    3.7e-198  656.3  18.3  -
Lysobacteriales           -          LKAP-TSAKG2_D09_073_2018_2 -               60     988      22     946       9     949    1508    +    4.3e-198  656.0  18.5  -
Caldicoprobacteraceae     -          LKAP-TSAKG2_D09_073_2018_2 -               49     972      23     945      14     948    1530    +      1e-197  654.7  19.2  -
Patulibacteraceae         -          LKAP-TSAKG2_D09_073_2018_2 -               86     974      60     946      43     948    1494    +    1.6e-197  653.9  18.5  -
Holophagaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               77     980      65     946      46     948    1502    +    4.3e-197  652.9  18.4  -
Porphyromonadaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               41     966      23     944      16     948    1473    +    5.2e-197  652.5  18.7  -
Carnobacteriaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               32     977      22     946      12     948    1496    +    6.8e-197  652.1  18.3  -
Bernardetiaceae           -          LKAP-TSAKG2_D09_073_2018_2 -               33     956      23     946      15     948    1481    +    1.2e-196  651.3  18.3  -
Hymenobacteraceae         -          LKAP-TSAKG2_D09_073_2018_2 -               33     944      23     945      11     947    1445    +    1.2e-196  651.3  19.0  -
Cytophagales              -          LKAP-TSAKG2_D09_073_2018_2 -               29     953      20     946      13     948    1444    +    1.3e-196  651.2  17.9  -
Calditrichaeota           -          LKAP-TSAKG2_D09_073_2018_2 -               79     978      64     943      44     948    1483    +    4.3e-196  649.6  18.7  -
Microbacteriaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               35     943      22     940      10     947    1464    +    6.4e-196  648.8  19.0  -
Parviterribacteraceae     -          LKAP-TSAKG2_D09_073_2018_2 -               67     954      61     946      47     948    1456    +    8.7e-196  648.3  19.2  -
Desulfurellaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               73     983      62     946      41     948    1529    +    1.1e-195  647.8  18.3  -
Staphylococcaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               34     967      22     939      11     947    1479    +    4.3e-195  646.1  18.5  -
Pseudonocardiaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               38     949      22     946      11     948    1475    +    5.9e-195  645.7  19.3  -
Thermolithobacteraceae    -          LKAP-TSAKG2_D09_073_2018_2 -               95    1008      61     945      38     948    1546    +    2.4e-194  643.4  18.2  -
Chitinophagaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               32     958      21     946      10     948    1458    +    2.9e-194  643.6  18.0  -
Bryobacteraceae           -          LKAP-TSAKG2_D09_073_2018_2 -               86     940      62     946      42     948    1417    +    5.8e-194  642.5  19.2  -
Cyclobacteriaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               31     955      21     946      10     948    1447    +    7.6e-194  642.1  18.5  -
Corynebacteriaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               31     947      22     946      12     948    1459    +      8e-194  641.7  18.3  -
Heliobacteriaceae         -          LKAP-TSAKG2_D09_073_2018_2 -               50     960      23     946      16     948    1500    +    9.5e-194  641.6  18.9  -
Nocardiaceae              -          LKAP-TSAKG2_D09_073_2018_2 -               33     937      23     943      11     949    1472    +    1.5e-193  641.1  19.4  -
Halobacteroidaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               41     964      23     945      16     948    1478    +    1.9e-193  640.4  18.5  -
Algiphilaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               52     977      22     946      11     948    1501    +    2.1e-193  640.1  18.5  -
Intrasporangiaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               32     940      22     939      11     947    1461    +      4e-193  639.5  19.2  -
Fusobacteriaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               76     942      61     942      39     948    1458    +    1.4e-192  637.8  19.1  -
