# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcaligenaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               16     924      11     921       6     921    1467    +           0 1085.9  20.9  -
Alphaproteobacteria       -          LKAP-TSAKG2_H07_049_2018_2 -               47     869      58     920      36     921    1409    +    1.8e-219  727.1  20.4  -
Sterolibacteriaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               32     946      12     921       6     921    1531    +    4.3e-219  725.4  21.3  -
Clostridiaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               47     916      26     920      13     921    1485    +    7.1e-219  724.7  21.0  -
Nautiliaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               30     894      24     920      11     921    1431    +    1.9e-218  723.7  21.8  -
Eubacteriaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               47     927      26     920      12     921    1485    +    1.5e-216  717.1  21.6  -
Thorselliaceae            -          LKAP-TSAKG2_H07_049_2018_2 -                6     896      26     920      22     921    1419    +      4e-216  715.6  21.5  -
Clostridiales             -          LKAP-TSAKG2_H07_049_2018_2 -               40     920      26     920      13     921    1470    +    1.2e-215  714.1  21.2  -
Hyphomonadaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               34     869      27     920      12     921    1400    +    2.3e-215  713.5  20.5  -
Rhodobacteraceae          -          LKAP-TSAKG2_H07_049_2018_2 -               37     871      46     920      26     921    1402    +    8.9e-214  708.1  20.9  -
Methylocystaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               59     881      58     920      35     921    1424    +    1.8e-213  707.2  20.6  -
Rhizobiales               -          LKAP-TSAKG2_H07_049_2018_2 -               40     879      24     920      12     921    1438    +    7.9e-213  705.0  20.5  -
Deltaproteobacteria       -          LKAP-TSAKG2_H07_049_2018_2 -               54     959      39     920      22     921    1514    +    1.1e-212  704.4  21.1  -
Francisellaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               28     928      13     920       8     921    1508    +    2.2e-212  703.3  21.2  -
Geobacteraceae            -          LKAP-TSAKG2_H07_049_2018_2 -               38     948      24     920      12     921    1487    +    2.3e-212  703.2  21.2  -
Helicobacteraceae         -          LKAP-TSAKG2_H07_049_2018_2 -               51     906      25     920      13     921    1473    +    2.7e-212  702.7  20.9  -
Desulfovibrionaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               54     949      40     920      20     921    1527    +    1.8e-211  700.3  21.1  -
Phyllobacteriaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               45     868      57     920      36     921    1424    +    2.6e-211  699.9  21.0  -
Desulfobacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               50     959      38     920      18     921    1516    +    7.2e-211  698.3  21.2  -
Xanthobacteraceae         -          LKAP-TSAKG2_H07_049_2018_2 -               43     867      56     920      35     921    1415    +    1.7e-210  697.2  20.5  -
Ruminococcaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               33     918      26     920      12     921    1457    +    3.1e-210  696.1  21.8  -
Desulfohalobiaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               46     953      41     920      22     921    1509    +    7.6e-210  694.9  21.3  -
Gallionellaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               34     939      12     920       6     921    1385    +    2.7e-209  692.9  20.6  -
Sneathiellaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               38     884      26     920      15     921    1427    +    6.1e-209  692.0  20.4  -
Syntrophomonadaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               50     953      26     920      13     921    1515    +    8.1e-209  691.3  20.9  -
Desulfobulbaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               34     942      26     920      12     921    1483    +      5e-208  688.8  20.7  -
Rhizobiaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               45     868      57     920      37     921    1422    +    6.8e-208  688.6  20.9  -
Peptococcaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               40     913      26     920      12     921    1479    +    1.4e-207  687.3  21.8  -
Caulobacteraceae          -          LKAP-TSAKG2_H07_049_2018_2 -               41     869      52     920      32     921    1415    +    1.4e-207  687.5  20.3  -
Methylobacteriaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               37     871      46     920      26     921    1426    +    4.9e-207  685.7  21.4  -
Sphingomonadaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               57     877      60     920      34     921    1434    +    8.4e-207  685.2  20.4  -
Syntrophaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               54     958      38     920      22     921    1551    +      3e-206  682.9  21.3  -
Bdellovibrionaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               29     896      26     920      13     921    1430    +    3.3e-206  682.9  21.1  -
Desulfuromonadaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               50     958      26     920      12     921    1518    +    3.7e-206  682.7  21.0  -
Bradyrhizobiaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               52     871      61     920      37     921    1428    +    6.1e-206  682.0  20.6  -
Campylobacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               29     904      23     920      12     921    1429    +    1.5e-205  680.4  21.4  -
Lachnospiraceae           -          LKAP-TSAKG2_H07_049_2018_2 -               78     917      61     920      36     921    1469    +    1.5e-205  680.6  21.3  -
Beijerinckiaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               63     882      61     920      38     921    1421    +    4.3e-205  679.2  20.7  -
Anaplasmataceae           -          LKAP-TSAKG2_H07_049_2018_2 -               44     901      26     920      12     921    1441    +    1.5e-204  677.7  20.6  -
Erysipelotrichaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               38     921      26     920      12     921    1466    +    1.1e-203  674.7  21.0  -
Erythrobacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               44     871      54     920      33     921    1433    +    7.9e-203  671.9  20.0  -
Parvularculaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               61     889      52     920      32     921    1428    +    1.3e-202  671.3  20.3  -
Methylothermaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               54     948      26     920      14     921    1491    +    4.1e-202  669.2  20.9  -
Brucellaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               46     872      54     920      33     921    1411    +    5.2e-202  669.2  21.0  -
Aurantimonadaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               58     886      52     920      31     921    1442    +    7.2e-202  668.7  20.6  -
Peptostreptococcaceae     -          LKAP-TSAKG2_H07_049_2018_2 -               34     901      27     920      13     921    1441    +    7.9e-202  668.2  21.4  -
Betaproteobacteria        -          LKAP-TSAKG2_H07_049_2018_2 -                3     901      16     920      14     921    1454    +    5.9e-201  665.3  20.9  -
Kordiimonadaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               39     880      40     920      20     921    1421    +      1e-200  664.9  20.7  -
Kiloniellaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               55     898      41     920      21     921    1450    +    2.5e-200  663.3  20.0  -
Leptospiraceae            -          LKAP-TSAKG2_H07_049_2018_2 -               55     897      66     920      46     921    1431    +    2.8e-200  663.1  20.9  -
Bacillales                -          LKAP-TSAKG2_H07_049_2018_2 -               40     950      26     920      14     921    1503    +    3.6e-200  663.0  21.5  -
Rickettsiaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               19     881      14     919       8     921    1430    +    1.1e-199  661.4  20.2  -
Mycoplasmataceae          -          LKAP-TSAKG2_H07_049_2018_2 -               48     909      62     920      39     921    1467    +    1.9e-199  660.7  20.6  -
Spirochaetaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               29     933      17     920      10     921    1486    +    2.2e-199  660.4  21.2  -
Paenibacillaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               31     942      24     920      11     921    1493    +    3.5e-199  659.7  21.6  -
Thermoanaerobacteraceae   -          LKAP-TSAKG2_H07_049_2018_2 -               39     924      26     920      14     921    1492    +    7.7e-199  658.2  22.5  -
Acidobacteria             -          LKAP-TSAKG2_H07_049_2018_2 -               82     958      62     920      40     921    1505    +    8.9e-199  658.7  21.4  -
Desulfarculaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               45     954      37     920      21     921    1516    +      1e-198  658.2  21.3  -
Bacteroidaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               39     938      24     920      12     921    1480    +    6.1e-198  655.4  21.4  -
Synergistaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               33     900      26     920      12     921    1450    +    8.8e-198  655.0  23.3  -
Bacillaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               26     943      22     920       8     921    1493    +    2.3e-197  653.6  21.3  -
Lactobacillaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               75     968      52     920      27     921    1522    +      5e-197  652.5  21.2  -
Haliangiaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               84     957      66     920      42     921    1507    +    9.9e-197  651.6  20.9  -
Thermoanaerobacterales    -          LKAP-TSAKG2_H07_049_2018_2 -               37     926      23     920      11     921    1472    +      1e-196  651.5  22.1  -
Bartonellaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               37     870      46     920      26     921    1410    +    1.6e-195  647.6  21.0  -
Syntrophobacteraceae      -          LKAP-TSAKG2_H07_049_2018_2 -               45     950      38     920      23     921    1496    +    2.2e-195  647.2  21.2  -
Chelatococcaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               52     880      52     920      32     921    1439    +    1.2e-194  644.8  20.2  -
Deferribacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               55     937      54     920      36     921    1513    +    2.7e-194  643.2  21.5  -
Rhodothermaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               37     917      38     920      23     921    1457    +      1e-193  641.5  21.4  -
Bacteriovoracaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               65     935      67     920      45     921    1473    +    1.6e-193  640.8  20.3  -
Streptomycetaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               33     904      26     920      12     921    1479    +    3.3e-193  639.9  21.6  -
Micrococcaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               38     919      23     920      11     921    1476    +    4.7e-193  639.3  22.2  -
Cystobacteraceae          -          LKAP-TSAKG2_H07_049_2018_2 -               62     935      66     920      45     921    1491    +      2e-192  637.1  20.5  -
Patulibacteraceae         -          LKAP-TSAKG2_H07_049_2018_2 -               72     937      48     920      27     921    1494    +    4.8e-192  635.7  20.4  -
Planococcaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               31     937      25     920      12     921    1491    +    5.3e-192  635.8  21.0  -
Microbacteriaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               32     913      23     921      10     921    1464    +    6.8e-192  635.4  22.2  -
Carnobacteriaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               30     940      24     920      11     921    1496    +    7.1e-192  635.4  21.6  -
Desulfomicrobiaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               49     942      40     920      21     921    1495    +    7.2e-192  635.3  20.7  -
Fusobacteriaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               64     909      54     920      34     921    1458    +    7.9e-192  635.3  21.3  -
Brevibacteriaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               39     923      23     920      11     921    1487    +      1e-191  634.7  21.9  -
Nitrospiraceae            -          LKAP-TSAKG2_H07_049_2018_2 -               39     911      26     920      17     921    1479    +    1.6e-191  634.2  21.3  -
Immundisolibacteraceae    -          LKAP-TSAKG2_H07_049_2018_2 -               47     956      13     920       7     921    1555    +    1.8e-191  633.8  21.4  -
Flavobacteriaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               28     924      23     920      11     921    1451    +    1.9e-191  633.9  21.2  -
Streptococcaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               39     946      26     920      13     921    1497    +    2.9e-191  633.3  21.5  -
Myxococcaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               77     951      65     920      45     921    1517    +    1.1e-190  631.4  20.5  -
Verrucomicrobiaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               32     928      25     920      13     921    1470    +    2.2e-190  630.6  21.9  -
Desulfurellaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               59     946      53     920      33     921    1529    +    2.9e-190  629.9  20.8  -
Cohaesibacteraceae        -          LKAP-TSAKG2_H07_049_2018_2 -               46     888      20     920      11     921    1425    +    3.7e-190  629.8  20.4  -
Selenomonadaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               50     965      25     920      12     921    1531    +      1e-189  628.1  21.4  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_H07_049_2018_2 -               41     939      26     920      13     921    1495    +    4.8e-189  626.2  21.1  -
Alicyclobacillaceae       -          LKAP-TSAKG2_H07_049_2018_2 -               70     943      57     920      33     921    1512    +    6.8e-189  625.8  21.3  -
Flammeovirgaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               33     916      26     920      13     921    1446    +    4.5e-188  623.0  21.4  -
Aerococcaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               33     940      26     920      12     921    1473    +    1.8e-187  620.8  21.4  -
Acholeplasmataceae        -          LKAP-TSAKG2_H07_049_2018_2 -               38     904      53     918      30     921    1437    +    2.6e-187  620.1  20.8  -
Intrasporangiaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               29     911      23     921      10     921    1461    +    2.7e-187  620.2  22.0  -
Staphylococcaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               33     937      25     920      12     921    1479    +    3.6e-187  619.8  21.5  -
Listeriaceae              -          LKAP-TSAKG2_H07_049_2018_2 -               20     923      26     920      13     921    1448    +    7.4e-187  618.9  22.2  -
Cytophagaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               59     911      64     920      38     921    1437    +    1.5e-186  617.8  21.1  -
Ventosimonadaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               59     954      25     920      11     921    1489    +    1.7e-186  617.3  21.5  -
Halobacteriovoracaceae    -          LKAP-TSAKG2_H07_049_2018_2 -               37     940      38     920      18     921    1480    +    1.9e-186  617.3  21.2  -
Woeseiaceae               -          LKAP-TSAKG2_H07_049_2018_2 -               39     936      24     920       9     921    1476    +    3.2e-186  616.4  21.4  -
Halanaerobiaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               90     957      63     920      42     921    1503    +    7.1e-186  615.4  21.1  -
Sporolactobacillaceae     -          LKAP-TSAKG2_H07_049_2018_2 -               33     934      26     920      13     921    1503    +    9.1e-186  615.1  21.4  -
Holophagaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               72     943      65     920      45     921    1502    +      1e-185  615.1  20.7  -
Leuconostocaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               29     941      26     920      13     921    1479    +      3e-185  613.5  21.7  -
Porticoccaceae            -          LKAP-TSAKG2_H07_049_2018_2 -               44     928      41     920      20     921    1497    +    2.5e-184  610.2  21.4  -
Acidimicrobiaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               53     924      26     918      12     921    1464    +    4.1e-184  609.8  21.7  -
Heliobacteriaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               47     923      24     920      12     921    1500    +    4.2e-184  609.6  21.3  -
Actinomycetaceae          -          LKAP-TSAKG2_H07_049_2018_2 -               30     937      24     921      12     921    1468    +    5.5e-184  609.3  21.7  -
Polyangiaceae             -          LKAP-TSAKG2_H07_049_2018_2 -               83     956      66     920      37     921    1548    +    7.2e-184  608.9  20.8  -
Salinibacteraceae         -          LKAP-TSAKG2_H07_049_2018_2 -               62     947      38     920      21     921    1497    +    9.9e-184  608.4  21.3  -
Halobacteroidaceae        -          LKAP-TSAKG2_H07_049_2018_2 -               47     928      40     920      23     921    1478    +    1.2e-183  607.9  21.3  -
Rubrobacteraceae          -          LKAP-TSAKG2_H07_049_2018_2 -               18     929      13     918       7     919    1495    +    1.3e-183  608.0  20.6  -
Enterococcaceae           -          LKAP-TSAKG2_H07_049_2018_2 -               33     945      26     920      12     921    1498    +    1.4e-183  608.0  21.7  -
Calditrichaeota           -          LKAP-TSAKG2_H07_049_2018_2 -               67     944      62     920      41     921    1483    +    2.2e-183  607.4  20.8  -
Cellulomonadaceae         -          LKAP-TSAKG2_H07_049_2018_2 -               32     912      22     920      11     921    1465    +    2.8e-183  607.0  22.2  -
