# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_E11_087_2017_1 -               13     967       7     949       3     951    1474    +           0 1081.6  22.7  -
Neisseriaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               36     971      13     949       4     950    1477    +    2.9e-229  759.3  22.0  -
Thiotrichales             -          LKAP-GUTHK2_E11_087_2017_1 -               44     976      15     949       6     951    1519    +    4.9e-228  755.0  21.4  -
Rhodospirillaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               25     905      14     949       4     951    1429    +    8.7e-228  754.6  21.0  -
Burkholderiaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               22     950      13     949       4     951    1482    +    1.4e-227  753.8  21.8  -
Alcaligenaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               23     953      14     949       4     951    1467    +    5.6e-227  751.8  21.9  -
Sutterellaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               22     954      13     949       4     951    1487    +    8.8e-226  747.6  21.9  -
Hydrogenophilaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               22     952      13     949       4     951    1461    +    8.1e-225  744.7  22.2  -
Sulfuricellaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               24     955      14     949       5     951    1463    +    8.6e-225  744.5  21.5  -
Acidiferrobacteraceae     -          LKAP-GUTHK2_E11_087_2017_1 -               64     948      65     949      44     950    1454    +    1.1e-223  740.9  22.6  -
Methylophilaceae          -          LKAP-GUTHK2_E11_087_2017_1 -                6     941      14     949      11     950    1431    +    1.6e-223  740.4  21.5  -
Salinisphaeraceae         -          LKAP-GUTHK2_E11_087_2017_1 -               10     942      13     949       5     950    1429    +    1.2e-220  730.8  22.1  -
Oxalobacteraceae          -          LKAP-GUTHK2_E11_087_2017_1 -               22     952      13     949       4     951    1459    +    1.3e-220  730.8  21.7  -
Burkholderiales           -          LKAP-GUTHK2_E11_087_2017_1 -               22     951      13     949       4     951    1463    +    3.4e-219  726.0  21.9  -
Hyphomicrobiaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               15     901       9     949       4     951    1427    +    5.2e-219  725.4  21.1  -
Acidithiobacillaceae      -          LKAP-GUTHK2_E11_087_2017_1 -               23     948      15     949       4     950    1457    +    5.6e-219  725.1  22.4  -
Geobacteraceae            -          LKAP-GUTHK2_E11_087_2017_1 -               32     978      15     949       4     950    1487    +    3.2e-218  722.6  21.8  -
Thermithiobacillaceae     -          LKAP-GUTHK2_E11_087_2017_1 -                9     936      15     949      11     950    1419    +    1.4e-217  720.6  21.8  -
Francisellaceae           -          LKAP-GUTHK2_E11_087_2017_1 -               34     958      15     949       5     950    1508    +    1.7e-217  720.3  21.9  -
Nitrosomonadaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               22     953      13     949       4     951    1461    +    1.5e-216  717.3  21.6  -
Methylothermaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               44     978      14     949       4     950    1491    +    5.2e-216  715.4  22.4  -
Desulfobacteraceae        -          LKAP-GUTHK2_E11_087_2017_1 -               37     989      15     949       5     950    1516    +    1.1e-215  714.3  21.6  -
Comamonadaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               22     950      13     949       4     951    1466    +    1.5e-215  713.6  22.0  -
Desulfobulbaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               24     972      14     949       4     950    1483    +    2.9e-215  712.9  22.1  -
Rhodobiaceae              -          LKAP-GUTHK2_E11_087_2017_1 -               25     909       9     949       3     951    1440    +    4.1e-215  712.7  20.6  -
Clostridiaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               38     946      15     949       4     951    1485    +    4.8e-215  712.1  21.5  -
Zoogloeaceae              -          LKAP-GUTHK2_E11_087_2017_1 -               29     959      13     949       4     951    1474    +    7.6e-215  711.5  22.1  -
Deltaproteobacteria       -          LKAP-GUTHK2_E11_087_2017_1 -               40     989      15     949       4     950    1514    +    1.2e-214  710.9  22.1  -
Eubacteriaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               38     957      15     949       5     951    1485    +    2.4e-214  709.8  21.2  -
Clostridiales             -          LKAP-GUTHK2_E11_087_2017_1 -               30     950      14     949       4     951    1470    +    5.1e-214  708.8  21.0  -
Thiobacilliaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               42     971      14     949       4     951    1517    +    7.6e-214  708.3  22.1  -
Azonexaceae               -          LKAP-GUTHK2_E11_087_2017_1 -               24     956      14     949       4     951    1474    +      1e-213  707.9  22.0  -
Desulfovibrionaceae       -          LKAP-GUTHK2_E11_087_2017_1 -               39     979      15     949       5     950    1527    +    4.7e-213  705.6  22.2  -
Syntrophaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               41     988      15     949       5     950    1551    +    5.5e-213  705.3  21.7  -
Acetobacteraceae          -          LKAP-GUTHK2_E11_087_2017_1 -               29     907      15     949       5     951    1438    +    1.9e-212  703.8  21.4  -
Alphaproteobacteria       -          LKAP-GUTHK2_E11_087_2017_1 -               14     899       8     949       4     951    1409    +    4.6e-212  702.6  21.0  -
Desulfuromonadaceae       -          LKAP-GUTHK2_E11_087_2017_1 -               41     988      15     949       4     950    1518    +    8.5e-212  701.5  22.0  -
Syntrophomonadaceae       -          LKAP-GUTHK2_E11_087_2017_1 -               41     983      15     949       4     951    1515    +    1.7e-211  700.2  22.3  -
Methylocystaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               24     911       7     949       4     951    1424    +    5.4e-211  699.0  21.0  -
Sneathiellaceae           -          LKAP-GUTHK2_E11_087_2017_1 -               18     914       7     949       4     951    1427    +    1.5e-209  694.1  20.8  -
Hyphomonadaceae           -          LKAP-GUTHK2_E11_087_2017_1 -               14     899       8     949       4     951    1400    +    1.7e-209  694.1  20.4  -
Wenzhouxiangellaceae      -          LKAP-GUTHK2_E11_087_2017_1 -               23     962      14     949       3     951    1472    +      2e-209  693.5  21.9  -
Sphingomonadaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               31     907      15     949       4     951    1434    +    4.9e-209  692.6  20.3  -
Rhizobiales               -          LKAP-GUTHK2_E11_087_2017_1 -               23     909       7     949       3     951    1438    +    1.7e-208  690.7  20.9  -
Desulfohalobiaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               30     983      15     949       4     950    1509    +    3.1e-208  689.6  22.5  -
Rhodobacteraceae          -          LKAP-GUTHK2_E11_087_2017_1 -               15     901       9     949       4     951    1402    +    5.1e-207  685.7  20.2  -
Bdellovibrionaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               20     926      15     949       5     950    1430    +    1.1e-206  684.5  21.7  -
Peptococcaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               31     943      15     949       4     951    1479    +    1.2e-206  684.2  21.6  -
Xanthobacteraceae         -          LKAP-GUTHK2_E11_087_2017_1 -               13     897       7     949       2     951    1415    +    7.2e-206  682.0  21.0  -
Ruminococcaceae           -          LKAP-GUTHK2_E11_087_2017_1 -               23     948      14     949       4     951    1457    +    1.1e-205  681.0  21.2  -
Rhizobiaceae              -          LKAP-GUTHK2_E11_087_2017_1 -               16     898      10     949       3     951    1422    +    3.2e-205  679.8  20.6  -
Anaplasmataceae           -          LKAP-GUTHK2_E11_087_2017_1 -               34     931      14     949       4     951    1441    +    1.4e-204  677.8  20.2  -
Phyllobacteriaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               23     898      14     949       3     951    1424    +    2.7e-204  676.7  20.8  -
Erythrobacteraceae        -          LKAP-GUTHK2_E11_087_2017_1 -               24     901      14     949       4     951    1433    +    4.6e-204  676.1  20.5  -
Syntrophobacteraceae      -          LKAP-GUTHK2_E11_087_2017_1 -               32     980      15     949       5     950    1496    +    2.5e-203  673.5  22.0  -
Acidobacteria             -          LKAP-GUTHK2_E11_087_2017_1 -               44     988      15     949       5     950    1505    +    7.6e-202  669.0  22.1  -
Nautiliaceae              -          LKAP-GUTHK2_E11_087_2017_1 -               23     924      14     949       4     950    1431    +    4.9e-201  666.1  21.2  -
Aurantimonadaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               31     916       8     949       3     951    1442    +    1.2e-200  664.7  20.8  -
Brucellaceae              -          LKAP-GUTHK2_E11_087_2017_1 -               19     902       8     949       3     951    1411    +    6.8e-200  662.2  21.1  -
Helicobacteraceae         -          LKAP-GUTHK2_E11_087_2017_1 -               43     936      15     949       4     951    1473    +    1.1e-199  661.0  19.8  -
Bacillales                -          LKAP-GUTHK2_E11_087_2017_1 -               31     980      15     949       5     951    1503    +    1.1e-199  661.4  21.6  -
Thermoanaerobacteraceae   -          LKAP-GUTHK2_E11_087_2017_1 -               30     954      15     949       4     951    1492    +    2.7e-199  659.8  22.7  -
Peptostreptococcaceae     -          LKAP-GUTHK2_E11_087_2017_1 -               24     931      15     949       4     951    1441    +    3.5e-199  659.5  21.4  -
Bacteroidaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               33     968      15     949       5     951    1480    +    8.4e-199  658.3  21.9  -
Lachnospiraceae           -          LKAP-GUTHK2_E11_087_2017_1 -               24     947      15     949       4     951    1469    +    2.1e-198  657.0  21.3  -
Bacillaceae               -          LKAP-GUTHK2_E11_087_2017_1 -               20     973      13     949       3     951    1493    +    3.7e-198  656.3  21.6  -
Beijerinckiaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               26     912       7     949       4     951    1421    +    4.9e-198  655.8  20.9  -
Selenomonadaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               43     995      15     949       4     951    1531    +    9.4e-198  654.8  21.6  -
Methylobacteriaceae       -          LKAP-GUTHK2_E11_087_2017_1 -               14     901       8     949       3     951    1426    +    9.8e-198  654.9  21.2  -
Caulobacteraceae          -          LKAP-GUTHK2_E11_087_2017_1 -               13     899       7     949       4     951    1415    +    1.9e-197  654.0  20.2  -
Holophagaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               77     973      69     949      49     950    1502    +      4e-197  653.0  22.4  -
Kordiimonadaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               23     910      14     949       4     951    1421    +    1.5e-196  651.1  20.4  -
Kiloniellaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               42     928      14     949       2     951    1450    +    3.9e-196  649.4  21.2  -
Deferribacteraceae        -          LKAP-GUTHK2_E11_087_2017_1 -               31     967      15     949       5     950    1513    +    4.7e-196  649.1  22.1  -
Campylobacteraceae        -          LKAP-GUTHK2_E11_087_2017_1 -               23     934      14     949       4     950    1429    +    3.1e-195  646.2  20.4  -
Verrucomicrobiaceae       -          LKAP-GUTHK2_E11_087_2017_1 -               25     958      15     949       4     951    1470    +    3.3e-195  646.7  22.1  -
Bradyrhizobiaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               23     901      14     949       3     951    1428    +      4e-195  646.2  21.2  -
Paenibacillaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               24     972      14     949       3     951    1493    +    6.9e-195  645.5  22.2  -
Streptomycetaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               23     934      14     949       4     951    1479    +    1.1e-194  644.9  22.5  -
Lactobacillaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               27     998      15     949       4     951    1522    +    2.4e-194  643.7  21.4  -
Desulfomicrobiaceae       -          LKAP-GUTHK2_E11_087_2017_1 -               34     972      15     949       5     951    1495    +    4.9e-194  642.5  22.0  -
Thermoactinomycetaceae    -          LKAP-GUTHK2_E11_087_2017_1 -               32     969      15     949       5     951    1495    +      6e-194  642.5  21.8  -
Micrococcaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               32     949      14     949       3     951    1476    +    8.8e-194  641.8  22.0  -
Synergistaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               24     930      15     949       4     950    1450    +    9.7e-194  641.6  22.9  -
Thermoanaerobacterales    -          LKAP-GUTHK2_E11_087_2017_1 -               30     956      13     949       4     951    1472    +    1.1e-193  641.4  22.6  -
Desulfarculaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               32     984      14     949       3     950    1516    +    5.8e-193  639.1  21.6  -
Haliangiaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               39     987      14     949       4     950    1507    +      3e-192  636.8  22.8  -
Spirochaetaceae           -          LKAP-GUTHK2_E11_087_2017_1 -               29     963      14     949       4     951    1486    +    2.1e-191  634.0  22.6  -
Alicyclobacillaceae       -          LKAP-GUTHK2_E11_087_2017_1 -               44     973      15     949       5     951    1512    +    4.9e-190  629.6  22.2  -
Rhodothermaceae           -          LKAP-GUTHK2_E11_087_2017_1 -               23     947      14     949       4     950    1457    +    7.9e-190  628.7  22.2  -
Planococcaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               23     967      14     949       4     951    1491    +      1e-189  628.3  21.7  -
Erysipelotrichaceae       -          LKAP-GUTHK2_E11_087_2017_1 -               29     951      15     949       5     951    1466    +    1.1e-189  628.3  22.3  -
Brevibacteriaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               33     953      14     949       4     951    1487    +    1.9e-189  627.2  21.4  -
Spirillaceae              -          LKAP-GUTHK2_E11_087_2017_1 -               38     976      13     949       4     951    1447    +    2.2e-189  627.4  21.8  -
Bacteriovoracaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               24     965      15     949       4     951    1473    +    2.5e-189  626.9  21.8  -
Chelatococcaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               24     910       7     949       3     951    1439    +    3.6e-189  626.7  20.7  -
Parvularculaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               34     919       8     949       4     951    1428    +    6.5e-189  626.0  20.2  -
Bartonellaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               23     900      14     949       3     951    1410    +    1.1e-188  624.9  20.9  -
Fusobacteriaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               41     939      15     949       6     951    1458    +    1.3e-188  624.7  22.0  -
Veillonellaceae           -          LKAP-GUTHK2_E11_087_2017_1 -                2     956      15     949      14     951    1450    +    1.3e-188  624.4  21.9  -
Carnobacteriaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               24     970      15     949       4     951    1496    +    1.6e-188  624.4  21.8  -
Heliobacteriaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               41     953      15     949       5     951    1500    +    2.1e-188  624.0  21.8  -
Oleiphilaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               24     954       9     949       3     951    1437    +    2.7e-188  623.5  22.1  -
Polyangiaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               43     986      15     949       4     950    1548    +      7e-188  622.2  22.2  -
Halobacteriovoracaceae    -          LKAP-GUTHK2_E11_087_2017_1 -               24     970      15     949       5     951    1480    +    2.2e-187  620.5  21.8  -
Patulibacteraceae         -          LKAP-GUTHK2_E11_087_2017_1 -               44     967      15     949       5     950    1494    +    2.6e-187  620.1  21.6  -
Aerococcaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               24     970      15     949       4     951    1473    +      4e-187  619.7  21.3  -
Streptococcaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               30     976      15     949       4     951    1497    +    1.6e-186  617.7  21.4  -
Flavobacteriaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               13     954       8     949       4     951    1451    +    7.5e-186  615.4  21.7  -
Staphylococcaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               26     967      15     949       4     951    1479    +      9e-186  615.2  21.1  -
Flammeovirgaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               14     946       8     949       4     950    1446    +    1.1e-185  615.1  22.0  -
Salinibacteraceae         -          LKAP-GUTHK2_E11_087_2017_1 -               38     977       7     949       4     951    1497    +    1.9e-185  614.2  22.4  -
Microbacteriaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               26     942      14     949       4     951    1464    +    1.9e-185  614.0  21.5  -
Thermolithobacteraceae    -          LKAP-GUTHK2_E11_087_2017_1 -               44    1002      15     949       4     951    1546    +      2e-185  613.8  21.9  -
Intrasporangiaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               23     940      14     949       4     951    1461    +    2.2e-185  613.9  21.5  -
Acidimicrobiaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               44     956      15     949       5     950    1464    +    2.6e-185  613.8  21.1  -
Porticoccaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               23     958       9     949       3     951    1497    +    2.7e-185  613.5  22.5  -
Leptospiraceae            -          LKAP-GUTHK2_E11_087_2017_1 -               54     927      64     949      43     951    1431    +    6.3e-185  612.3  21.6  -
Propionibacteriaceae      -          LKAP-GUTHK2_E11_087_2017_1 -               27     940      14     949       4     950    1462    +    8.4e-185  612.0  21.9  -
Cohaesibacteraceae        -          LKAP-GUTHK2_E11_087_2017_1 -               75     918      66     949      44     951    1425    +    9.7e-185  611.9  20.6  -
Cystobacteraceae          -          LKAP-GUTHK2_E11_087_2017_1 -               24     965      15     949       4     950    1491    +    1.5e-184  611.1  21.7  -
Pseudonocardiaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               29     942      14     949       4     950    1475    +    1.5e-184  611.2  22.5  -
Myxococcaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               38     981      15     949       4     950    1517    +    1.8e-184  610.8  21.6  -
Rubrobacteraceae          -          LKAP-GUTHK2_E11_087_2017_1 -               65     961      65     949      41     950    1495    +    3.7e-184  609.9  22.7  -
Mycoplasmataceae          -          LKAP-GUTHK2_E11_087_2017_1 -               19     939      15     949       7     951    1467    +    6.3e-184  609.3  21.8  -
Rickettsiaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               24     912      15     949       6     951    1430    +    1.3e-183  608.1  19.9  -
Halanaerobiaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               32     987      15     949       4     950    1503    +    1.8e-183  607.4  21.9  -
Nitrospiraceae            -          LKAP-GUTHK2_E11_087_2017_1 -               30     941      15     949       5     950    1479    +    4.5e-183  606.2  20.3  -
Woeseiaceae               -          LKAP-GUTHK2_E11_087_2017_1 -               32     966      14     949       3     951    1476    +    3.1e-182  603.3  22.2  -
Nocardiaceae              -          LKAP-GUTHK2_E11_087_2017_1 -               24     933      15     949       4     950    1472    +    5.2e-182  602.8  22.5  -
Calditrichaeota           -          LKAP-GUTHK2_E11_087_2017_1 -               31     974      15     949       5     950    1483    +    5.8e-182  602.7  22.1  -
Actinomycetaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               23     966      14     949       4     951    1468    +    6.1e-182  602.5  21.4  -
Desulfonatronaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               24     967      15     949       4     951    1495    +    6.5e-182  602.4  22.6  -
Oscillatoriales           -          LKAP-GUTHK2_E11_087_2017_1 -               24     904      15     949       5     951    1445    +      3e-181  600.4  20.5  -
Sporolactobacillaceae     -          LKAP-GUTHK2_E11_087_2017_1 -               24     964      15     949       4     951    1503    +    7.3e-181  598.9  21.6  -
Immundisolibacteraceae    -          LKAP-GUTHK2_E11_087_2017_1 -               52     986      14     949       4     951    1555    +    1.2e-180  598.0  21.9  -
Nakamurellaceae           -          LKAP-GUTHK2_E11_087_2017_1 -               24     933      15     949       4     951    1462    +    1.5e-180  597.9  22.4  -
Leuconostocaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               20     971      15     949       4     951    1479    +    1.5e-180  598.0  21.2  -
Listeriaceae              -          LKAP-GUTHK2_E11_087_2017_1 -               11     953      15     949       6     951    1448    +    1.9e-180  597.7  20.7  -
Acidaminococcaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               31     976      15     949       4     951    1504    +    3.4e-180  596.3  21.9  -
