# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               18    1119      10    1091       2    1100    1474    +           0 1121.9  10.8  -
Hahellaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               18    1101      10    1085       2    1096    1473    +    7.4e-266  880.8  10.9  -
Methylococcaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               36    1116      14    1091       3    1100    1481    +    1.9e-265  879.4  10.9  -
Alcanivoracaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               34    1130       6    1093       2    1099    1504    +    3.6e-265  878.4  10.8  -
Halomonadaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               18    1101      10    1084       2    1097    1466    +    1.1e-260  863.6  10.9  -
Halieaceae                -          LKAP-GUTHK2_D08_058_2017_1 -               27    1103      11    1085       2    1096    1484    +    8.4e-260  860.6  11.1  -
Saccharospirillaceae      -          LKAP-GUTHK2_D08_058_2017_1 -               24    1096      15    1085       2    1099    1468    +    4.7e-259  858.2  10.5  -
Thermoleophilaceae        -          LKAP-GUTHK2_D08_058_2017_1 -                6    1104       5    1084       2    1095    1494    +    1.6e-257  853.0  11.1  -
Moraxellaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               20    1094      15    1085       3    1099    1468    +      2e-257  853.0  10.9  -
Ectothiorhodospiraceae    -          LKAP-GUTHK2_D08_058_2017_1 -               25    1110      10    1086       2    1099    1463    +    2.1e-257  852.9  11.0  -
Litoricolaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               31    1108      15    1084       3    1097    1474    +    2.7e-257  852.5  10.6  -
Thioalkalispiraceae       -          LKAP-GUTHK2_D08_058_2017_1 -               27    1123       7    1087       2    1099    1479    +    3.1e-257  852.1  10.8  -
Halothiobacillaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               38    1124      13    1088       3    1099    1500    +    5.2e-257  851.5  10.6  -
Kangiellaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               30    1125      13    1096       3    1100    1479    +    1.6e-256  849.8  10.6  -
Spongiibacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               22    1106      11    1091       2    1097    1462    +      5e-255  844.7  10.7  -
Lysobacteraceae           -          LKAP-GUTHK2_D08_058_2017_1 -               16    1110       7    1090       2    1096    1484    +    7.4e-255  844.3  10.7  -
Microbulbiferaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               16    1103       8    1092       2    1099    1480    +    1.4e-252  837.0  11.1  -
Chromobacteriaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               23    1099      15    1087       2    1099    1460    +    2.4e-249  826.2  10.8  -
Thiotrichaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               26    1064      17    1090       3    1098    1421    +    2.6e-247  819.2   9.8  -
Cardiobacteriaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               23    1104       7    1082       2    1095    1464    +    2.7e-247  819.6  10.8  -
Coxiellaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               14    1118       6    1093       2    1100    1475    +    6.5e-247  818.0  11.1  -
Granulosicoccaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               21    1106      13    1087       3    1099    1471    +    1.4e-245  813.7  10.9  -
Rhodocyclaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               24    1104      15    1087       3    1097    1484    +      4e-244  808.8  10.6  -
Legionellaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               19    1102      15    1086       3    1097    1446    +    1.5e-243  807.0  10.6  -
Nevskiaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               23    1105       6    1094       2    1099    1470    +    4.1e-243  805.7  11.1  -
Neisseriaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               38    1118      15    1086       3    1097    1477    +    4.5e-240  795.4  10.4  -
Rhodospirillaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               16    1059       6    1089       2    1099    1429    +    8.6e-240  794.6  10.3  -
Thiotrichales             -          LKAP-GUTHK2_D08_058_2017_1 -               33    1122       5    1085       2    1098    1519    +    9.5e-240  794.0  10.4  -
Rhodanobacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               16    1108       7    1088       2    1097    1473    +    2.2e-238  789.8  10.7  -
Arenicellaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               28    1097      19    1086       5    1095    1488    +    5.4e-238  788.6  10.7  -
Sutterellaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               24    1106      15    1089       3    1096    1487    +    1.2e-236  783.8  10.5  -
Burkholderiaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               23    1101      14    1088       2    1098    1482    +    1.7e-236  783.6  10.7  -
Alcaligenaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               24    1105      15    1089       3    1097    1467    +    5.7e-236  781.9  10.4  -
Hydrogenophilaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               24    1101      15    1086       3    1096    1461    +      6e-234  775.2  10.7  -
Acidiferrobacteraceae     -          LKAP-GUTHK2_D08_058_2017_1 -               64    1097      64    1088      44    1099    1454    +    7.6e-234  774.8  10.7  -
Methylophilaceae          -          LKAP-GUTHK2_D08_058_2017_1 -                8    1075      16    1072      11    1092    1431    +    5.7e-231  765.3  10.5  -
Sulfuricellaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               27    1103      17    1085       6    1098    1463    +      1e-230  764.4  10.4  -
Salinisphaeraceae         -          LKAP-GUTHK2_D08_058_2017_1 -               11    1088      15    1085       5    1099    1429    +      4e-230  762.4  10.8  -
Hyphomicrobiaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               27    1050      18    1086       3    1097    1427    +      2e-229  760.2  10.1  -
Burkholderiales           -          LKAP-GUTHK2_D08_058_2017_1 -               26    1103      17    1089       3    1095    1463    +    3.9e-229  759.1  10.8  -
Oxalobacteraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               23    1104      14    1089       2    1096    1459    +    3.9e-229  759.2  10.5  -
Acidithiobacillaceae      -          LKAP-GUTHK2_D08_058_2017_1 -               13    1096       6    1085       2    1097    1457    +    2.8e-228  756.1  11.0  -
Desulfovibrionaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               27    1133       4    1091       2    1099    1527    +    9.1e-226  748.0  11.3  -
Rhodobiaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               37    1059      18    1085       3    1098    1440    +    2.4e-225  746.8   9.9  -
Thermithiobacillaceae     -          LKAP-GUTHK2_D08_058_2017_1 -                6    1086      13    1087       8    1099    1419    +    3.2e-225  746.2  10.5  -
Nitrosomonadaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               25    1090      16    1075       4    1095    1461    +    4.7e-225  745.8  10.6  -
Geobacteraceae            -          LKAP-GUTHK2_D08_058_2017_1 -               21    1127       5    1086       2    1098    1487    +    5.2e-225  745.4  10.9  -
Francisellaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               31    1100      13    1084       2    1096    1508    +    8.6e-225  744.7  10.9  -
Alphaproteobacteria       -          LKAP-GUTHK2_D08_058_2017_1 -               21    1049      13    1085       2    1098    1409    +    2.5e-224  743.4  10.1  -
Clostridiaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               28    1100       6    1089       2    1099    1485    +    5.6e-224  741.9  10.9  -
Zoogloeaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               31    1107      15    1085       4    1097    1474    +    2.6e-223  739.8  10.6  -
Comamonadaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               23    1100      14    1087       2    1096    1466    +    3.1e-223  739.3  10.9  -
Methylothermaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               35    1126       6    1085       2    1094    1491    +    4.4e-223  739.0  11.3  -
Desulfobacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               27    1138       6    1087       2    1099    1516    +    8.7e-223  738.0  10.7  -
Desulfobulbaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               15    1133       6    1094       2    1099    1483    +    1.4e-222  737.3  11.0  -
Deltaproteobacteria       -          LKAP-GUTHK2_D08_058_2017_1 -               29    1139       5    1086       2    1099    1514    +    1.9e-222  737.0  11.1  -
Clostridiales             -          LKAP-GUTHK2_D08_058_2017_1 -               21    1100       6    1086       2    1099    1470    +    3.6e-222  736.0  10.3  -
Thiobacilliaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               45    1121      17    1087       5    1095    1517    +    3.8e-222  736.0  10.6  -
Eubacteriaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               28    1109       6    1089       2    1099    1485    +    1.6e-221  733.9  10.6  -
Desulfohalobiaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               19    1137       5    1091       2    1099    1509    +    2.8e-221  733.0  11.4  -
Acetobacteraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               32    1061      18    1090       3    1099    1438    +    3.9e-221  732.8  10.5  -
Methylocystaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               33    1058      14    1086       3    1098    1424    +    5.2e-221  732.4  10.2  -
Azonexaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               23    1093      14    1075       2    1095    1474    +    5.9e-221  732.2  10.9  -
Syntrophaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               31    1136       6    1085       2    1097    1551    +    9.8e-221  731.2  10.9  -
Hyphomonadaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               24    1055      16    1091       3    1099    1400    +    1.5e-218  724.3   9.9  -
Syntrophomonadaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               30    1129       5    1085       2    1098    1515    +    1.8e-218  723.6  11.3  -
Sphingomonadaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               24    1058       9    1086       2    1098    1434    +      9e-218  721.8   9.8  -
Desulfuromonadaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               31    1138       6    1086       2    1097    1518    +    1.4e-217  720.9  11.1  -
Wenzhouxiangellaceae      -          LKAP-GUTHK2_D08_058_2017_1 -               19    1110      11    1087       2    1099    1472    +    1.8e-217  720.3  10.6  -
Xanthobacteraceae         -          LKAP-GUTHK2_D08_058_2017_1 -               27    1047      18    1086       3    1098    1415    +    4.2e-216  716.1  10.1  -
Bdellovibrionaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               10    1082       6    1096       2    1099    1430    +    6.1e-216  715.4  11.2  -
Rhizobiales               -          LKAP-GUTHK2_D08_058_2017_1 -               30    1059      13    1086       2    1097    1438    +    1.1e-215  714.7  10.3  -
Sneathiellaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               24    1070      11    1091       3    1099    1427    +    1.8e-215  713.9  10.0  -
Rhizobiaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               27    1046      18    1085       3    1098    1422    +    9.8e-215  711.5  10.0  -
Rhodobacteraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               15    1055       7    1088       2    1099    1402    +      4e-214  709.5   9.9  -
Peptococcaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               20    1101       5    1091       2    1099    1479    +    2.1e-213  706.8  10.9  -
Erythrobacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               23    1052      14    1086       2    1098    1433    +    1.1e-212  704.9   9.7  -
Ruminococcaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               13    1098       5    1087       2    1098    1457    +    5.7e-212  702.1  10.7  -
Anaplasmataceae           -          LKAP-GUTHK2_D08_058_2017_1 -               31    1080      12    1085       3    1098    1441    +    9.3e-212  701.8   9.6  -
Deferribacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               21    1123       6    1088       2    1100    1513    +    3.3e-211  699.6  11.2  -
Phyllobacteriaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               28    1049      19    1086       3    1099    1424    +    4.8e-211  699.3  10.0  -
Acidobacteria             -          LKAP-GUTHK2_D08_058_2017_1 -               33    1140       5    1093       2    1100    1505    +    2.9e-210  697.1  11.3  -
Syntrophobacteraceae      -          LKAP-GUTHK2_D08_058_2017_1 -               21    1128       5    1085       2    1098    1496    +    8.2e-210  695.2  11.1  -
Helicobacteraceae         -          LKAP-GUTHK2_D08_058_2017_1 -               32    1087       5    1086       2    1099    1473    +    9.7e-209  691.2   9.7  -
Brucellaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               57    1052      63    1086      39    1099    1411    +    4.9e-208  689.4   9.6  -
Nautiliaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               14    1077       6    1086       2    1099    1431    +    5.3e-208  689.4  10.4  -
Bacillales                -          LKAP-GUTHK2_D08_058_2017_1 -               20    1130       5    1087       2    1099    1503    +    8.2e-208  688.6  10.8  -
Peptostreptococcaceae     -          LKAP-GUTHK2_D08_058_2017_1 -               13    1082       5    1087       2    1099    1441    +    3.2e-207  686.3  10.6  -
Aurantimonadaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               44    1062      18    1085       3    1097    1442    +    3.9e-207  686.4   9.9  -
Caulobacteraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               20    1046      12    1086       2    1098    1415    +    3.8e-206  683.0   9.8  -
Bacillaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               19    1123      13    1086       2    1098    1493    +    5.6e-206  682.4  10.4  -
Bacteroidaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               30    1111      13    1085       3    1099    1480    +    7.4e-206  681.9  10.5  -
Lachnospiraceae           -          LKAP-GUTHK2_D08_058_2017_1 -               13    1090       5    1081       2    1097    1469    +      1e-205  681.4  10.6  -
Beijerinckiaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               63    1062      59    1085      37    1097    1421    +    3.6e-205  679.7   9.7  -
Methylobacteriaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               17    1048       9    1086       2    1098    1426    +    3.7e-205  679.7  10.5  -
Desulfomicrobiaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               24    1125       6    1090       2    1097    1495    +    1.3e-204  677.8  11.0  -
Kordiimonadaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               13    1060       5    1085       2    1097    1421    +    1.9e-204  677.5  10.0  -
Verrucomicrobiaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               15    1105       6    1087       2    1098    1470    +    1.9e-204  677.4  11.1  -
Lactobacillaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               17    1144       6    1085       2    1098    1522    +    2.3e-204  677.1  10.5  -
Bradyrhizobiaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               49    1051      55    1087      28    1099    1428    +    4.7e-204  676.0   9.7  -
Thermoanaerobacteraceae   -          LKAP-GUTHK2_D08_058_2017_1 -               19    1114       5    1085       2    1097    1492    +    5.2e-204  675.6  11.7  -
Spirochaetaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               21    1110       7    1084       2    1097    1486    +    2.7e-203  673.6  11.2  -
Selenomonadaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               33    1144       6    1088       2    1097    1531    +    5.6e-203  672.3  10.7  -
Synergistaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               13    1085       5    1085       1    1098    1450    +    7.6e-203  672.0  11.6  -
Micrococcaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               23    1096       6    1085       2    1097    1476    +    1.6e-202  671.0  11.1  -
Streptomycetaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               14    1082       6    1089       2    1099    1479    +    1.8e-202  670.9  11.5  -
Kiloniellaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               41    1079      14    1086       2    1099    1450    +    2.4e-202  670.2  10.1  -
Paenibacillaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               15    1125       6    1091       1    1099    1493    +    3.1e-202  670.0  10.9  -
Holophagaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               77    1118      68    1085      47    1096    1502    +    3.1e-202  670.1  10.5  -
Campylobacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               13    1069       5    1072       2    1092    1429    +    3.7e-201  666.1  10.3  -
Thermoanaerobacterales    -          LKAP-GUTHK2_D08_058_2017_1 -               21    1110       5    1085       2    1095    1472    +    1.2e-199  661.4  11.5  -
Thermoactinomycetaceae    -          LKAP-GUTHK2_D08_058_2017_1 -               22    1115       6    1085       2    1098    1495    +    8.6e-199  658.8  11.0  -
Spirillaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               38    1124      14    1087       2    1095    1447    +    1.2e-198  658.2  10.8  -
Desulfarculaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               80    1130      65    1085      42    1099    1516    +    1.3e-198  658.1  10.4  -
Planococcaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               14    1125       6    1095       2    1099    1491    +      1e-197  655.0  10.7  -
Bacteriovoracaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               13    1113       5    1085       2    1096    1473    +    5.6e-197  652.5  10.9  -
Bartonellaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               27    1051      18    1086       3    1098    1410    +    9.2e-197  651.9   9.9  -
Brevibacteriaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               25    1100       7    1085       2    1095    1487    +      1e-196  651.5  10.7  -
Haliangiaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               31    1118       7    1072       2    1092    1507    +    1.3e-196  651.5  11.9  -
Fusobacteriaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               67    1087      51    1083      27    1099    1458    +    1.4e-196  651.3  10.3  -
Erysipelotrichaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               19    1093       6    1085       2    1100    1466    +    2.4e-196  650.6  11.4  -
Oleiphilaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               28    1097      11    1082       2    1098    1437    +    3.4e-196  649.8  10.7  -
Carnobacteriaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               14    1124       6    1094       2    1099    1496    +    5.7e-196  649.2  10.7  -
Parvularculaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               74    1068      63    1085      41    1097    1428    +    7.5e-196  649.2   9.6  -
Heliobacteriaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               31    1110       6    1094       2    1100    1500    +      1e-195  648.4  11.1  -
Alicyclobacillaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               33    1118       5    1084       2    1096    1512    +    1.7e-195  647.9  11.2  -
Flammeovirgaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               19    1096      11    1092       3    1098    1446    +    1.8e-195  647.8  10.6  -
Aerococcaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               14    1115       6    1085       2    1099    1473    +    2.6e-195  647.0  10.5  -
Rhodothermaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               14    1078       6    1072       2    1091    1457    +    5.9e-195  645.9  11.2  -
Streptococcaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               20    1123       6    1086       2    1099    1497    +      9e-195  645.3  10.6  -
Patulibacteraceae         -          LKAP-GUTHK2_D08_058_2017_1 -               33    1095       5    1070       2    1091    1494    +    1.1e-194  644.7  11.1  -
Pseudonocardiaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               20    1086       6    1085       2    1097    1475    +      3e-194  643.5  11.4  -
Chelatococcaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               32    1060      13    1085       2    1098    1439    +    3.5e-194  643.5  10.3  -
Polyangiaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               32    1134       5    1085       2    1099    1548    +    6.9e-194  642.3  11.3  -
Staphylococcaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               15    1116       5    1086       2    1098    1479    +      7e-194  642.3  10.3  -
Desulfonatronaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               13    1121       5    1091       2    1098    1495    +      2e-193  640.8  11.5  -
Intrasporangiaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               14    1085       6    1085       2    1097    1461    +    2.1e-193  640.7  10.9  -
Flavobacteriaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               19    1106      12    1093       3    1100    1451    +    2.2e-193  640.5  10.4  -
Microbacteriaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               17    1087       6    1085       2    1095    1464    +    2.4e-193  640.4  10.9  -
Rubrobacteraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               65    1104      64    1083      41    1100    1495    +    3.1e-193  640.2  11.1  -
Acidimicrobiaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               33    1108       5    1093       2    1100    1464    +    5.2e-193  639.5  10.9  -
Rickettsiaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               23    1061      15    1084       4    1092    1430    +    5.4e-193  639.4   9.4  -
Halobacteriovoracaceae    -          LKAP-GUTHK2_D08_058_2017_1 -               19    1118      11    1085       3    1097    1480    +    1.2e-192  638.1  10.6  -
Cohaesibacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               44    1069      15    1086       2    1099    1425    +      3e-192  637.0   9.8  -
Mycoplasmataceae          -          LKAP-GUTHK2_D08_058_2017_1 -               14    1077      11    1081       3    1099    1467    +    3.9e-192  636.7  10.7  -
Propionibacteriaceae      -          LKAP-GUTHK2_D08_058_2017_1 -               18    1083       6    1085       2    1099    1462    +    6.1e-192  635.9  11.2  -
Halanaerobiaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               22    1144       6    1093       2    1100    1503    +      9e-192  635.2  10.9  -
Nocardiaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               14    1077       6    1085       2    1097    1472    +      1e-191  635.2  11.4  -
Veillonellaceae           -          LKAP-GUTHK2_D08_058_2017_1 -                7    1104      20    1085      15    1096    1450    +    1.4e-191  634.5  10.4  -
Corynebacteriaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               13    1086       6    1085       2    1095    1459    +    1.5e-191  634.5  10.7  -
Calditrichaeota           -          LKAP-GUTHK2_D08_058_2017_1 -               21    1120       6    1086       2    1100    1483    +      2e-191  634.3  11.2  -
Leptospiraceae            -          LKAP-GUTHK2_D08_058_2017_1 -               14    1071       6    1086       2    1099    1431    +    2.7e-191  633.6  10.5  -
Salinibacteraceae         -          LKAP-GUTHK2_D08_058_2017_1 -               49    1107      16    1071       3    1091    1497    +    3.1e-191  633.6  11.1  -
Porticoccaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               27    1104      11    1085       2    1098    1497    +    3.5e-191  633.2  11.0  -
Oscillatoriales           -          LKAP-GUTHK2_D08_058_2017_1 -               27    1051      18    1086       4    1098    1445    +    9.1e-191  632.1   9.7  -
Actinomycetaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               14    1111       6    1085       2    1097    1468    +    2.9e-190  630.3  10.7  -
Myxococcaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               27    1132       5    1088       2    1097    1517    +    3.4e-190  630.0  10.9  -
Woeseiaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               24    1113       7    1086       2    1096    1476    +    3.9e-190  629.6  10.9  -
