# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_B12_094   -               11     934       4     922       1     922    1474    +           0 1128.6  27.0  -
Cellvibrionaceae          -          LKAP-GutHK_B12_094   -               11     923       4     922       1     922    1472    +    4.6e-274  907.7  26.7  -
Moritellaceae             -          LKAP-GutHK_B12_094   -               41     941      15     922       1     922    1501    +    6.3e-274  907.1  26.1  -
Oceanospirillales         -          LKAP-GutHK_B12_094   -               17     929       4     922       1     922    1489    +    7.4e-274  906.8  26.7  -
Psychromonadaceae         -          LKAP-GutHK_B12_094   -               11     924       4     922       1     922    1467    +    5.2e-273  904.3  26.1  -
Chromatiaceae             -          LKAP-GutHK_B12_094   -               26     913      15     922       1     922    1455    +    9.7e-273  903.4  26.7  -
Pseudomonadaceae          -          LKAP-GutHK_B12_094   -               18     928       4     922       1     922    1491    +    3.6e-272  901.4  26.5  -
Thorselliaceae            -          LKAP-GutHK_B12_094   -               38     893      66     922      43     922    1419    +    6.8e-272  900.5  25.0  -
Piscirickettsiaceae       -          LKAP-GutHK_B12_094   -               29     927      16     922       1     922    1466    +    9.5e-269  890.0  26.3  -
Alcanivoracaceae          -          LKAP-GutHK_B12_094   -               31     943       4     922       1     922    1504    +    1.1e-268  889.8  26.5  -
Halieaceae                -          LKAP-GutHK_B12_094   -               18     924       3     922       1     922    1484    +    1.4e-263  873.0  27.0  -
Methylococcaceae          -          LKAP-GutHK_B12_094   -               41     931      16     922       1     922    1481    +    1.4e-263  872.9  26.5  -
Hahellaceae               -          LKAP-GutHK_B12_094   -               11     922       4     922       1     922    1473    +    8.7e-263  870.4  26.6  -
Orbaceae                  -          LKAP-GutHK_B12_094   -               54     948      16     922       1     922    1539    +      9e-262  866.9  26.1  -
Pasteurellaceae           -          LKAP-GutHK_B12_094   -               11     925       4     922       1     922    1422    +    2.8e-261  865.4  26.2  -
Celerinatantimonadaceae   -          LKAP-GutHK_B12_094   -                6     931       4     922       1     922    1433    +      6e-261  864.3  26.7  -
Moraxellaceae             -          LKAP-GutHK_B12_094   -                8     915       4     922       1     922    1468    +    1.5e-260  863.1  26.5  -
Succinivibrionaceae       -          LKAP-GutHK_B12_094   -               14     901       4     922       1     922    1473    +    1.3e-258  856.5  26.2  -
Microbulbiferaceae        -          LKAP-GutHK_B12_094   -               10     917       3     922       1     922    1480    +    2.7e-258  855.6  26.7  -
Ectothiorhodospiraceae    -          LKAP-GutHK_B12_094   -               32     930      14     922       1     922    1463    +    2.8e-258  855.5  26.6  -
Halomonadaceae            -          LKAP-GutHK_B12_094   -               11     923       4     922       1     922    1466    +    1.7e-257  852.8  26.6  -
Thioalkalispiraceae       -          LKAP-GutHK_B12_094   -               41     942      18     922       1     922    1479    +    1.8e-257  852.6  25.9  -
Spongiibacteraceae        -          LKAP-GutHK_B12_094   -               14     921       4     922       1     922    1462    +    2.8e-257  851.9  26.3  -
Lysobacteraceae           -          LKAP-GutHK_B12_094   -               12     926       4     922       1     922    1484    +    3.6e-257  851.8  26.7  -
Halothiobacillaceae       -          LKAP-GutHK_B12_094   -               44     942      16     922       1     922    1500    +    6.7e-256  847.5  26.3  -
Thermoleophilaceae        -          LKAP-GutHK_B12_094   -               20     925      16     922       1     922    1494    +    1.4e-255  846.4  26.0  -
Saccharospirillaceae      -          LKAP-GutHK_B12_094   -               13     917       5     922       1     922    1468    +    4.6e-255  844.7  25.9  -
Litoricolaceae            -          LKAP-GutHK_B12_094   -               19     930       4     922       1     922    1474    +    1.7e-254  843.0  26.5  -
Kangiellaceae             -          LKAP-GutHK_B12_094   -               36     936      16     922       1     922    1479    +    8.8e-251  830.5  25.8  -
Chromobacteriaceae        -          LKAP-GutHK_B12_094   -               26     915      16     921       1     922    1460    +    2.5e-248  822.6  26.1  -
Thiotrichaceae            -          LKAP-GutHK_B12_094   -               27     880      16     922       1     922    1421    +    6.2e-247  817.8  25.4  -
Cardiobacteriaceae        -          LKAP-GutHK_B12_094   -               35     928      16     922       1     922    1464    +    3.3e-245  812.4  25.9  -
Nevskiaceae               -          LKAP-GutHK_B12_094   -               66     918      68     922      46     922    1470    +    6.5e-245  811.4  24.8  -
Legionellaceae            -          LKAP-GutHK_B12_094   -               63     922      64     922      40     922    1446    +    1.8e-243  806.4  24.9  -
Arenicellaceae            -          LKAP-GutHK_B12_094   -               47     918      43     922      22     922    1488    +    2.1e-243  806.2  25.5  -
Rhodocyclaceae            -          LKAP-GutHK_B12_094   -               27     919      16     920       1     922    1484    +    9.5e-243  804.0  26.6  -
Coxiellaceae              -          LKAP-GutHK_B12_094   -               27     931      16     922       1     922    1475    +      3e-242  802.3  26.5  -
Granulosicoccaceae        -          LKAP-GutHK_B12_094   -               68     925      65     922      44     922    1471    +    5.1e-241  798.3  25.2  -
Rhodospirillaceae         -          LKAP-GutHK_B12_094   -               55     872      66     922      44     922    1429    +    1.7e-240  796.7  24.5  -
Rhodanobacteraceae        -          LKAP-GutHK_B12_094   -               28     926      16     922       1     922    1473    +    2.4e-240  796.1  26.4  -
Thiotrichales             -          LKAP-GutHK_B12_094   -               47     943      16     922       1     922    1519    +    4.3e-238  788.3  25.3  -
Burkholderiaceae          -          LKAP-GutHK_B12_094   -               56     915      59     920      30     922    1482    +    1.5e-237  786.9  25.1  -
Acidiferrobacteraceae     -          LKAP-GutHK_B12_094   -               59     915      65     922      44     922    1454    +      1e-236  784.1  25.1  -
Hydrogenophilaceae        -          LKAP-GutHK_B12_094   -               27     917      16     920       1     922    1461    +    9.1e-235  777.7  26.5  -
Neisseriaceae             -          LKAP-GutHK_B12_094   -               80     936      63     920      40     922    1477    +    1.7e-234  776.6  24.9  -
Alcaligenaceae            -          LKAP-GutHK_B12_094   -               28     918      17     920       1     922    1467    +    5.4e-234  775.0  25.6  -
Sulfuricellaceae          -          LKAP-GutHK_B12_094   -               64     921      64     921      44     922    1463    +    7.9e-233  771.1  24.8  -
Methylophilaceae          -          LKAP-GutHK_B12_094   -               10     907      16     921       9     922    1431    +    7.3e-232  768.0  25.0  -
Deltaproteobacteria       -          LKAP-GutHK_B12_094   -               44     956      17     922       1     922    1514    +    3.6e-230  762.4  25.9  -
Oxalobacteraceae          -          LKAP-GutHK_B12_094   -               27     917      16     920       1     922    1459    +    5.9e-230  761.7  26.2  -
Geobacteraceae            -          LKAP-GutHK_B12_094   -               35     945      16     922       1     922    1487    +    1.4e-229  760.3  25.8  -
Salinisphaeraceae         -          LKAP-GutHK_B12_094   -               15     909      16     922       3     922    1429    +    1.6e-229  760.2  26.0  -
Sutterellaceae            -          LKAP-GutHK_B12_094   -               27     919      16     920       1     922    1487    +    2.6e-229  759.3  25.7  -
Hyphomicrobiaceae         -          LKAP-GutHK_B12_094   -               55     868      68     922      46     922    1427    +    6.7e-229  758.2  24.3  -
Burkholderiales           -          LKAP-GutHK_B12_094   -               27     916      16     920       1     922    1463    +    5.8e-228  755.0  26.3  -
Thermithiobacillaceae     -          LKAP-GutHK_B12_094   -               12     903      16     922      11     922    1419    +    1.2e-227  754.0  25.5  -
Desulfobacteraceae        -          LKAP-GutHK_B12_094   -               41     956      17     922       1     922    1516    +      2e-227  753.2  25.7  -
Francisellaceae           -          LKAP-GutHK_B12_094   -               43     925      21     922       2     922    1508    +    2.3e-227  753.0  25.2  -
Rhodobiaceae              -          LKAP-GutHK_B12_094   -               22     876       5     922       1     922    1440    +    5.5e-227  752.0  25.5  -
Eubacteriaceae            -          LKAP-GutHK_B12_094   -               41     924      16     922       1     922    1485    +    1.5e-226  750.3  27.0  -
Desulfobulbaceae          -          LKAP-GutHK_B12_094   -               28     939      16     922       1     922    1483    +    1.1e-225  747.3  26.0  -
Nitrosomonadaceae         -          LKAP-GutHK_B12_094   -               62     919      63     921      37     922    1461    +    1.4e-225  747.3  24.7  -
Syntrophaceae             -          LKAP-GutHK_B12_094   -               55     955      31     922       9     922    1551    +    3.3e-225  745.8  25.0  -
Desulfovibrionaceae       -          LKAP-GutHK_B12_094   -               42     946      16     922       1     922    1527    +    6.3e-225  744.9  26.0  -
Clostridiaceae            -          LKAP-GutHK_B12_094   -               41     913      16     922       1     922    1485    +    1.7e-224  743.3  26.2  -
Clostridiales             -          LKAP-GutHK_B12_094   -               34     917      16     922       1     922    1470    +    2.8e-224  742.7  26.1  -
Acidithiobacillaceae      -          LKAP-GutHK_B12_094   -               26     915      16     922       1     922    1457    +    2.9e-224  742.6  26.6  -
Azonexaceae               -          LKAP-GutHK_B12_094   -               28     921      16     920       1     922    1474    +    3.3e-224  742.7  25.8  -
Desulfuromonadaceae       -          LKAP-GutHK_B12_094   -               45     955      17     922       1     922    1518    +    4.1e-224  742.3  26.0  -
Acetobacteraceae          -          LKAP-GutHK_B12_094   -               58     874      68     922      45     922    1438    +    5.4e-224  742.1  24.9  -
Alphaproteobacteria       -          LKAP-GutHK_B12_094   -               26     866      15     922       1     922    1409    +    1.4e-223  740.8  25.4  -
Methylothermaceae         -          LKAP-GutHK_B12_094   -               48     945      16     922       1     922    1491    +    6.5e-222  734.9  26.8  -
Syntrophomonadaceae       -          LKAP-GutHK_B12_094   -               44     950      16     922       1     922    1515    +    6.9e-222  734.6  26.0  -
Sphingomonadaceae         -          LKAP-GutHK_B12_094   -               59     874      67     922      47     922    1434    +    2.2e-221  733.5  23.8  -
Comamonadaceae            -          LKAP-GutHK_B12_094   -               27     915      16     920       1     922    1466    +    8.3e-221  731.0  26.3  -
Desulfohalobiaceae        -          LKAP-GutHK_B12_094   -               33     950      16     922       1     922    1509    +      1e-220  731.0  26.3  -
Zoogloeaceae              -          LKAP-GutHK_B12_094   -               34     924      16     920       1     922    1474    +    1.5e-220  730.3  26.0  -
Thiobacilliaceae          -          LKAP-GutHK_B12_094   -               80     936      64     920      42     922    1517    +    1.6e-220  730.4  25.2  -
Methylocystaceae          -          LKAP-GutHK_B12_094   -               63     878      66     922      43     922    1424    +    1.7e-220  730.4  24.5  -
Sneathiellaceae           -          LKAP-GutHK_B12_094   -               15     881       3     922       1     922    1427    +    6.7e-220  728.3  25.7  -
Bdellovibrionaceae        -          LKAP-GutHK_B12_094   -               24     893      17     922       2     922    1430    +    4.4e-218  722.2  25.9  -
Rhizobiales               -          LKAP-GutHK_B12_094   -               20     876       3     922       1     922    1438    +    2.7e-217  719.8  25.8  -
Wenzhouxiangellaceae      -          LKAP-GutHK_B12_094   -               70     929      67     922      47     922    1472    +    3.6e-217  719.1  24.4  -
Hyphomonadaceae           -          LKAP-GutHK_B12_094   -               11     866       4     922       1     922    1400    +    4.7e-217  719.1  25.0  -
Peptococcaceae            -          LKAP-GutHK_B12_094   -               34     910      16     922       1     922    1479    +    4.3e-216  715.5  26.6  -
Xanthobacteraceae         -          LKAP-GutHK_B12_094   -               53     864      70     922      49     922    1415    +    5.2e-216  715.5  24.2  -
Syntrophobacteraceae      -          LKAP-GutHK_B12_094   -               36     947      21     922       1     922    1496    +    5.4e-216  715.5  25.8  -
Rhodobacteraceae          -          LKAP-GutHK_B12_094   -               27     868      16     922       1     922    1402    +    8.1e-216  714.9  25.1  -
Erythrobacteraceae        -          LKAP-GutHK_B12_094   -               29     868      21     922       1     922    1433    +    9.8e-216  714.7  24.9  -
Phyllobacteriaceae        -          LKAP-GutHK_B12_094   -               51     865      67     922      46     922    1424    +    4.4e-214  709.2  23.9  -
Rhizobiaceae              -          LKAP-GutHK_B12_094   -               51     865      67     922      45     922    1422    +    5.3e-214  708.8  24.0  -
Anaplasmataceae           -          LKAP-GutHK_B12_094   -               37     898      15     922       1     922    1441    +    1.5e-213  707.5  25.3  -
Ruminococcaceae           -          LKAP-GutHK_B12_094   -               27     915      16     922       1     922    1457    +    3.4e-213  705.9  26.7  -
Acidobacteria             -          LKAP-GutHK_B12_094   -               81     955      65     922      43     922    1505    +    3.1e-212  703.3  24.9  -
Brucellaceae              -          LKAP-GutHK_B12_094   -               57     869      69     922      49     922    1411    +    1.2e-210  697.8  24.0  -
Deferribacteraceae        -          LKAP-GutHK_B12_094   -               35     933      17     921       1     922    1513    +    3.6e-210  695.9  26.1  -
Bacillales                -          LKAP-GutHK_B12_094   -               34     947      16     922       1     922    1503    +    2.3e-209  693.5  25.9  -
Methylobacteriaceae       -          LKAP-GutHK_B12_094   -               13     868       6     922       1     922    1426    +    2.9e-209  693.1  26.3  -
Aurantimonadaceae         -          LKAP-GutHK_B12_094   -               69     883      67     922      46     922    1442    +    2.9e-209  693.2  24.0  -
Lachnospiraceae           -          LKAP-GutHK_B12_094   -               27     914      16     922       1     922    1469    +    2.9e-209  692.9  26.7  -
Peptostreptococcaceae     -          LKAP-GutHK_B12_094   -               27     898      16     922       1     922    1441    +    6.2e-209  691.7  26.2  -
Thermoanaerobacteraceae   -          LKAP-GutHK_B12_094   -               33     921      16     922       1     922    1492    +    6.4e-209  691.7  27.2  -
Holophagaceae             -          LKAP-GutHK_B12_094   -               77     940      74     922      63     922    1502    +    6.8e-209  692.0  24.4  -
Synergistaceae            -          LKAP-GutHK_B12_094   -               27     896      16     921       1     922    1450    +    2.2e-208  690.1  27.9  -
Kordiimonadaceae          -          LKAP-GutHK_B12_094   -               11     877       4     922       1     922    1421    +    9.9e-208  688.2  25.5  -
Nautiliaceae              -          LKAP-GutHK_B12_094   -               27     891      16     922       1     922    1431    +    2.1e-207  687.1  26.3  -
Beijerinckiaceae          -          LKAP-GutHK_B12_094   -               67     879      69     922      48     922    1421    +    4.2e-207  685.8  24.2  -
Kiloniellaceae            -          LKAP-GutHK_B12_094   -               56     895      30     922       6     922    1450    +    7.6e-207  684.8  24.8  -
Lactobacillaceae          -          LKAP-GutHK_B12_094   -               30     965      16     922       1     922    1522    +    3.1e-206  683.0  26.1  -
Desulfarculaceae          -          LKAP-GutHK_B12_094   -               20     951       4     922       1     922    1516    +    3.6e-206  682.9  26.3  -
Bradyrhizobiaceae         -          LKAP-GutHK_B12_094   -               57     868      70     922      49     922    1428    +    4.6e-206  682.4  24.4  -
Caulobacteraceae          -          LKAP-GutHK_B12_094   -               11     866       4     922       1     922    1415    +    5.5e-206  682.2  25.1  -
Bacteroidaceae            -          LKAP-GutHK_B12_094   -               36     935      16     922       2     922    1480    +    5.7e-206  682.0  26.1  -
Spirochaetaceae           -          LKAP-GutHK_B12_094   -               31     930      14     922       1     922    1486    +    7.5e-206  681.8  26.3  -
Bacillaceae               -          LKAP-GutHK_B12_094   -               14     940       7     922       1     922    1493    +    1.4e-205  680.9  26.4  -
Thermoanaerobacterales    -          LKAP-GutHK_B12_094   -               33     923      14     922       1     922    1472    +    1.3e-204  677.6  27.6  -
Streptomycetaceae         -          LKAP-GutHK_B12_094   -               28     901      17     922       1     922    1479    +    1.8e-204  677.3  26.9  -
Paenibacillaceae          -          LKAP-GutHK_B12_094   -               28     939      16     922       1     922    1493    +    1.9e-204  677.1  26.0  -
Haliangiaceae             -          LKAP-GutHK_B12_094   -               43     954      16     922       1     922    1507    +    2.6e-204  676.7  26.4  -
Thermoactinomycetaceae    -          LKAP-GutHK_B12_094   -               35     936      16     922       1     922    1495    +    4.2e-204  676.1  25.9  -
Desulfomicrobiaceae       -          LKAP-GutHK_B12_094   -               70     939      64     922      24     922    1495    +    7.8e-204  675.0  24.8  -
Selenomonadaceae          -          LKAP-GutHK_B12_094   -               46     962      16     922       1     922    1531    +    2.2e-203  673.4  25.6  -
Micrococcaceae            -          LKAP-GutHK_B12_094   -               36     916      16     922       1     922    1476    +    7.8e-203  671.8  26.1  -
Helicobacteraceae         -          LKAP-GutHK_B12_094   -               87     903      67     922      45     922    1473    +    1.6e-202  670.3  23.3  -
Verrucomicrobiaceae       -          LKAP-GutHK_B12_094   -               29     925      17     922       1     922    1470    +      4e-202  669.5  26.2  -
Alicyclobacillaceae       -          LKAP-GutHK_B12_094   -               47     940      16     922       1     922    1512    +      1e-201  668.3  26.0  -
Chelatococcaceae          -          LKAP-GutHK_B12_094   -               22     877       4     922       1     922    1439    +      2e-200  663.9  26.1  -
Erysipelotrichaceae       -          LKAP-GutHK_B12_094   -               32     918      16     922       1     922    1466    +    2.1e-200  663.8  26.0  -
Fusobacteriaceae          -          LKAP-GutHK_B12_094   -               73     906      66     922      29     922    1458    +    9.7e-200  661.5  25.6  -
Halobacteriovoracaceae    -          LKAP-GutHK_B12_094   -               28     936      17     921       1     922    1480    +    1.4e-199  660.8  25.8  -
Bacteriovoracaceae        -          LKAP-GutHK_B12_094   -               62     931      68     921      47     922    1473    +    2.2e-199  660.2  24.6  -
Patulibacteraceae         -          LKAP-GutHK_B12_094   -               80     934      63     922      42     922    1494    +    3.1e-199  659.6  24.7  -
Polyangiaceae             -          LKAP-GutHK_B12_094   -               81     953      68     922      47     922    1548    +    5.3e-199  659.0  25.2  -
Rubrobacteraceae          -          LKAP-GutHK_B12_094   -               31     928      24     922       4     922    1495    +      7e-199  658.6  25.9  -
Cohaesibacteraceae        -          LKAP-GutHK_B12_094   -               30     885       4     922       1     922    1425    +    9.1e-199  658.4  25.1  -
Heliobacteriaceae         -          LKAP-GutHK_B12_094   -               44     920      16     922       1     922    1500    +    1.4e-198  657.6  26.7  -
Rhodothermaceae           -          LKAP-GutHK_B12_094   -               11     914       4     922       1     922    1457    +    2.2e-198  657.0  26.4  -
Parvularculaceae          -          LKAP-GutHK_B12_094   -               47     886      16     922       1     922    1428    +    1.8e-197  654.3  24.9  -
Bartonellaceae            -          LKAP-GutHK_B12_094   -               55     867      69     922      49     922    1410    +    2.6e-197  653.5  24.3  -
Spirillaceae              -          LKAP-GutHK_B12_094   -               43     942      16     921       1     922    1447    +    3.9e-197  653.0  25.7  -
Campylobacteraceae        -          LKAP-GutHK_B12_094   -               73     901      70     922      40     922    1429    +      4e-197  652.5  23.8  -
Aerococcaceae             -          LKAP-GutHK_B12_094   -               27     937      16     922       1     922    1473    +    1.1e-196  651.4  25.5  -
Planococcaceae            -          LKAP-GutHK_B12_094   -               26     934      15     922       1     922    1491    +    3.5e-196  649.6  26.1  -
Leptospiraceae            -          LKAP-GutHK_B12_094   -               55     894      70     922      50     922    1431    +    6.4e-196  648.7  24.0  -
Oleiphilaceae             -          LKAP-GutHK_B12_094   -               21     921       5     922       1     922    1437    +    6.5e-196  648.6  26.5  -
Rickettsiaceae            -          LKAP-GutHK_B12_094   -               70     879      71     922      51     922    1430    +    6.8e-196  648.8  23.7  -
Streptococcaceae          -          LKAP-GutHK_B12_094   -               33     943      16     922       1     922    1497    +    8.1e-196  648.5  25.8  -
Carnobacteriaceae         -          LKAP-GutHK_B12_094   -               27     937      16     922       1     922    1496    +    1.2e-195  647.9  25.7  -
Mycoplasmataceae          -          LKAP-GutHK_B12_094   -               23     906      17     922       9     922    1467    +      2e-195  647.3  24.6  -
Halanaerobiaceae          -          LKAP-GutHK_B12_094   -               35     954      16     922       1     922    1503    +    2.1e-195  647.0  26.3  -
Cystobacteraceae          -          LKAP-GutHK_B12_094   -               59     932      67     922      46     922    1491    +    2.4e-195  646.9  24.5  -
Brevibacteriaceae         -          LKAP-GutHK_B12_094   -               81     920      69     922      45     922    1487    +    7.4e-195  645.1  24.8  -
Staphylococcaceae         -          LKAP-GutHK_B12_094   -               29     934      16     922       1     922    1479    +    1.2e-194  644.6  25.2  -
Desulfonatronaceae        -          LKAP-GutHK_B12_094   -               28     934      17     922       1     922    1495    +    1.5e-194  644.2  25.9  -
Veillonellaceae           -          LKAP-GutHK_B12_094   -               49     923      68     922      45     922    1450    +    3.5e-194  642.9  24.8  -
Nitrospiraceae            -          LKAP-GutHK_B12_094   -               33     908      16     922       1     922    1479    +    4.3e-194  642.7  26.2  -
Myxococcaceae             -          LKAP-GutHK_B12_094   -               75     948      67     922      47     922    1517    +    7.3e-194  641.9  24.7  -
Calditrichaeota           -          LKAP-GutHK_B12_094   -               67     941      61     922      27     922    1483    +    8.1e-194  642.0  24.8  -
Pseudonocardiaceae        -          LKAP-GutHK_B12_094   -               33     909      16     922       1     922    1475    +    1.5e-193  641.0  26.6  -
Propionibacteriaceae      -          LKAP-GutHK_B12_094   -               32     907      17     922       1     922    1462    +      2e-193  640.6  26.2  -
Salinibacteraceae         -          LKAP-GutHK_B12_094   -               93     944      67     922      33     922    1497    +    2.1e-193  640.5  25.3  -
Thermolithobacteraceae    -          LKAP-GutHK_B12_094   -               94     969      69     922      40     922    1546    +    2.6e-193  639.9  24.9  -
Flammeovirgaceae          -          LKAP-GutHK_B12_094   -               27     913      16     922       1     922    1446    +    2.6e-193  640.4  25.6  -
Porticoccaceae            -          LKAP-GutHK_B12_094   -               20     925       5     922       1     922    1497    +    2.6e-193  640.0  26.7  -
Acidimicrobiaceae         -          LKAP-GutHK_B12_094   -               56     923      29     922       6     922    1464    +      1e-192  638.3  25.3  -
Nannocystaceae            -          LKAP-GutHK_B12_094   -               47     931      26     922       6     922    1487    +      3e-192  636.7  25.1  -
Oscillatoriales           -          LKAP-GutHK_B12_094   -               56     871      70     922      49     922    1445    +    3.1e-192  636.8  24.2  -
Microbacteriaceae         -          LKAP-GutHK_B12_094   -               73     909      70     922      48     922    1464    +    4.3e-192  636.0  24.8  -
Nakamurellaceae           -          LKAP-GutHK_B12_094   -               28     900      17     922       1     922    1462    +    5.6e-192  635.7  26.6  -
Intrasporangiaceae        -          LKAP-GutHK_B12_094   -               71     907      70     922      46     922    1461    +    6.4e-192  635.5  25.0  -
Nocardiaceae              -          LKAP-GutHK_B12_094   -               27     900      16     922       1     922    1472    +    7.1e-192  635.5  27.0  -
Parviterribacteraceae     -          LKAP-GutHK_B12_094   -               63     914      66     922      43     922    1456    +    2.8e-191  633.4  24.7  -
Sporolactobacillaceae     -          LKAP-GutHK_B12_094   -               27     931      16     922       1     922    1503    +    4.4e-191  632.7  25.3  -
Leuconostocaceae          -          LKAP-GutHK_B12_094   -               64     938      56     922       2     922    1479    +      6e-191  632.4  25.5  -
Actinomycetaceae          -          LKAP-GutHK_B12_094   -               27     933      16     922       1     922    1468    +    1.1e-190  631.5  25.7  -
Flavobacteriaceae         -          LKAP-GutHK_B12_094   -               23     921      13     922       1     922    1451    +    1.2e-190  631.2  26.0  -
Solirubrobacteraceae      -          LKAP-GutHK_B12_094   -               48     912      67     922      44     922    1443    +    3.4e-190  629.7  25.1  -
Nocardioidaceae           -          LKAP-GutHK_B12_094   -               27     902      16     922       1     922    1455    +    4.7e-190  629.4  26.7  -
Micromonosporaceae        -          LKAP-GutHK_B12_094   -               41     915      16     922       1     922    1482    +    5.5e-190  629.2  26.6  -
Halobacteroidaceae        -          LKAP-GutHK_B12_094   -               35     925      16     922       1     922    1478    +    5.9e-190  628.8  25.7  -
Natranaerobiaceae         -          LKAP-GutHK_B12_094   -                2     898      12     922      11     922    1429    +    7.8e-190  628.6  25.9  -
Mycobacteriaceae          -          LKAP-GutHK_B12_094   -               32     909      16     922       1     922    1471    +    2.3e-189  627.0  26.8  -
Sporomusaceae             -          LKAP-GutHK_B12_094   -               47     954      17     922       1     922    1535    +    1.2e-188  624.4  25.5  -
Thermodesulfobiaceae      -          LKAP-GutHK_B12_094   -               43     924      16     922       1     922    1520    +    3.2e-188  623.3  26.8  -
Chroococcales             -          LKAP-GutHK_B12_094   -               70     885      71     922      50     922    1445    +    3.3e-188  623.1  24.9  -
Corynebacteriaceae        -          LKAP-GutHK_B12_094   -               26     907      16     922       1     922    1459    +    4.3e-188  622.7  26.1  -
Acidaminococcaceae        -          LKAP-GutHK_B12_094   -               34     943      16     922       1     922    1504    +    8.2e-188  621.5  25.1  -
Enterococcaceae           -          LKAP-GutHK_B12_094   -               33     942      21     922       1     922    1498    +      1e-187  621.7  26.0  -
Tsukamurellaceae          -          LKAP-GutHK_B12_094   -               53     919      22     922       2     922    1495    +      2e-187  620.7  26.5  -
Kineosporiaceae           -          LKAP-GutHK_B12_094   -               35     907      16     922       1     922    1463    +    2.5e-187  620.5  26.2  -
Thermaceae                -          LKAP-GutHK_B12_094   -               37     905      16     922       1     922    1477    +    2.9e-187  620.2  26.2  -
Cytophagaceae             -          LKAP-GutHK_B12_094   -               59     908      68     922      48     922    1437    +    4.2e-187  619.6  24.8  -
Geodermatophilaceae       -          LKAP-GutHK_B12_094   -               41     916      17     922       1     922    1479    +    5.1e-187  619.4  26.5  -
Woeseiaceae               -          LKAP-GutHK_B12_094   -               38     933      18     922       1     922    1476    +    5.5e-187  618.9  25.9  -
Balneolaceae              -          LKAP-GutHK_B12_094   -               69     918      70     922      17     922    1459    +    5.7e-187  619.1  25.2  -
Conexibacteraceae         -          LKAP-GutHK_B12_094   -               88     949      71     922      50     922    1536    +    6.2e-187  618.8  25.0  -
Listeriaceae              -          LKAP-GutHK_B12_094   -               58     920      70     922      50     922    1448    +      7e-187  619.0  24.5  -
Corynebacterineae         -          LKAP-GutHK_B12_094   -               27     899      16     922       1     922    1473    +      1e-186  618.3  26.6  -
Puniceicoccaceae          -          LKAP-GutHK_B12_094   -               37     938      16     922       1     922    1485    +    1.5e-186  617.7  25.5  -
Immundisolibacteraceae    -          LKAP-GutHK_B12_094   -               95     953      63     922      39     922    1555    +    3.8e-186  616.2  25.0  -
