# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_F11_085   -               27     936      16     924       2     924    1474    +           0 1131.9  25.8  -
Flavobacteriaceae         -          LKAP-GutHK_F11_085   -               26     923      16     924       2     924    1451    +    1.8e-192  637.3  25.3  -
Actinomycetaceae          -          LKAP-GutHK_F11_085   -               28     934      17     923       2     924    1468    +      2e-192  637.3  24.8  -
Micromonosporaceae        -          LKAP-GutHK_F11_085   -               41     916      16     923       2     924    1482    +    3.5e-192  636.5  25.7  -
Parviterribacteraceae     -          LKAP-GutHK_F11_085   -               63     916      66     924      43     924    1456    +    3.5e-192  636.4  23.8  -
Natranaerobiaceae         -          LKAP-GutHK_F11_085   -                2     900      12     924      11     924    1429    +    3.8e-192  636.2  24.9  -
Halobacteroidaceae        -          LKAP-GutHK_F11_085   -               35     927      16     924       2     924    1478    +    5.2e-192  635.6  24.8  -
Nocardioidaceae           -          LKAP-GutHK_F11_085   -               27     903      16     923       1     924    1455    +    5.7e-192  635.8  26.0  -
Mycobacteriaceae          -          LKAP-GutHK_F11_085   -               32     911      16     924       2     924    1471    +    6.6e-192  635.4  25.9  -
Corynebacteriaceae        -          LKAP-GutHK_F11_085   -               26     909      16     924       2     924    1459    +    5.5e-191  632.3  25.2  -
Solirubrobacteraceae      -          LKAP-GutHK_F11_085   -               48     914      67     924      44     924    1443    +    7.2e-191  631.9  24.1  -
Enterococcaceae           -          LKAP-GutHK_F11_085   -               34     944      22     924       2     924    1498    +    6.6e-190  628.9  25.0  -
Thermodesulfobiaceae      -          LKAP-GutHK_F11_085   -               43     926      16     924       2     924    1520    +      8e-190  628.6  25.9  -
Tsukamurellaceae          -          LKAP-GutHK_F11_085   -               82     921      68     924      26     924    1495    +      1e-189  628.3  24.6  -
Sporomusaceae             -          LKAP-GutHK_F11_085   -               47     956      17     924       2     924    1535    +      2e-189  627.0  24.7  -
Corynebacterineae         -          LKAP-GutHK_F11_085   -               27     901      16     924       2     924    1473    +    3.2e-189  626.7  25.8  -
Chroococcales             -          LKAP-GutHK_F11_085   -               70     887      71     924      50     924    1445    +    4.8e-189  625.9  24.0  -
Kineosporiaceae           -          LKAP-GutHK_F11_085   -               35     908      16     923       2     924    1463    +    7.5e-189  625.5  25.2  -
Acidaminococcaceae        -          LKAP-GutHK_F11_085   -               35     945      17     924       2     924    1504    +    7.8e-189  624.9  24.1  -
Cytophagaceae             -          LKAP-GutHK_F11_085   -               59     910      68     924      48     924    1437    +    8.1e-189  625.3  23.9  -
Listeriaceae              -          LKAP-GutHK_F11_085   -               58     922      70     924      50     924    1448    +      2e-188  624.1  23.5  -
Immundisolibacteraceae    -          LKAP-GutHK_F11_085   -               95     955      63     924      39     924    1555    +    2.4e-188  623.5  24.0  -
Geodermatophilaceae       -          LKAP-GutHK_F11_085   -               41     917      17     923       1     924    1479    +    2.8e-188  623.5  25.7  -
Woeseiaceae               -          LKAP-GutHK_F11_085   -               73     935      63     924      40     924    1476    +    4.7e-188  622.5  24.0  -
Balneolaceae              -          LKAP-GutHK_F11_085   -               69     920      70     924      49     924    1459    +    7.3e-188  622.1  24.2  -
Conexibacteraceae         -          LKAP-GutHK_F11_085   -               88     951      71     924      50     924    1536    +      1e-187  621.3  24.1  -
Thermaceae                -          LKAP-GutHK_F11_085   -               37     907      16     924       4     924    1477    +    1.1e-187  621.6  25.2  -
Desulfurellaceae          -          LKAP-GutHK_F11_085   -               67     945      65     924      43     924    1529    +    1.2e-187  621.2  24.0  -
